,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
25,Gaufrettes au Chocolat - Cora,3257980533692,['Cora'],['Cora'],['France'],"['Farine de blé - sucre - huile de palme - cacao maigre en poudre - chocolat noir 7 % ', 'pâte de cacao - sucre - beurre de cacao - lait écrémé en poudre - émulsifiant : lécithine de soja - arôme', ' - praliné noisette ', 'noisette - sucre', "" - huile de coco - jaunes d'œufs en poudre - émulsifiant : lécithine de soja - poudres à lever : carbonates de sodium"", 'diphosphates - sel - colorant : caramel']","['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E150 - Caramel']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,501,2096 kj(501 kcal),29,16,54,32,"5,8","0,31","0,124",C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,,,29 g,en quantité élevée,16 g,en quantité élevée,32 g,en quantité élevée,0.31 g,en quantité modérée,,0%,+0%,+17%,+7%,-13%,-9%,+11%,-4%,-4%,20,-10%,E,-10%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,['Huile de palme'],
26,Gaufrette Parfum vanille - Cora - 7.3g,3257980533708,['Cora'],['Cora'],['France'],"[""Huile de palme et de coco - farine de blé - sucre - dextrose - poudre de lactosérum - jaunes d'œufs en poudre - poudres à lever : carbonates de sodium"", 'diphosphates - émulsifiant : lécithine de soja - arôme naturel de vanille 0,3 % - sel - colorant : caramel - arôme', "" Traces éventuelles d'arachides et de fruits à coque""]","['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E150 - Caramel']",['Gluten'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,565,2364 kj(565 kcal),"38,6","23,3","50,3","29,7","3,8","0,425","0,17",,,7.3 g,['110g'],"['Biscuits et gâteaux', 'Gâteaux']",,,,38.6 g,en quantité élevée,23.3 g,en quantité élevée,29.7 g,en quantité élevée,0.425 g,en quantité modérée,,+40%,+41%,+98%,+205%,+1%,+6%,-30%,-30%,-30%,24,+34%,E,+34%,,,,,,,,,['Huile de palme'],
27,Chips Saveur Poulet et Thym - Cora - 30g e,3257980534071,['Cora'],['Cora'],['France'],['Pommes de terre - huile de tournesol 35% - farine de riz - arôme - extrait de levure - viande de poulet déshydratée - sel - persil - ail déshydraté - antioxydant : extrait de romarin'],['E392 - Extrait de romarin'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,552,2310 kj(552 kcal),35,"3,2",51,"1,5","5,6","1,5","0,6",B,,30 g e,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips au poulet']","[""À l'huile de tournesol"", 'Origine France']",['France'],"['EMB 13005C', 'Aubagne (Bouches-du-Rhône, France)']",35 g,en quantité élevée,3.2 g,en quantité modérée,1.5 g,en faible quantité,1.5 g,en quantité modérée,,+4%,+4%,+7%,+10%,0%,-18%,-10%,+4%,+4%,10,-9%,C,-9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['France'],,
28,Sirop de Fruits Exotiques - Cora,3257980534248,['Cora'],['Cora'],['France'],"['Jus de fruits concentrés minimum ', 'fruits de la passion 20% minimum', 'cltroMB010 minimum', 'ananas 2% minimum', ' - sirop de glucose/fructor - sucre colorant : lutéine - stabilisant : esters glycériques de rési ? de bois']",['E161b - Lutéine'],,[],4,?,41,172 kj(41 kcal),"0,2","0,05","9,9","9,4","0,2","0,3","0,12",,,,,['Boissons'],,,,0.2 g,en faible quantité,0.05 g,en faible quantité,9.4 g,en quantité élevée,0.3 g,en quantité modérée,,-27%,-29%,-42%,-58%,-12%,-0%,-60%,+623%,+623%,14,+83%,E,+83%,,,,,,,,,,
29,Taboulé Oriental à la Menthe - Cora - 500g,3257980550569,['Cora'],['Cora'],['France'],"[""Semoule de blé dur 29 % - eau - tomate 15 % - huile de colza - oignon 4 % - poivron vert 4 % - poivron rouge 3 % - vinaigre d'alcool - raisin sec réhydraté 2 % "", 'raisin - eau - contient huile de colza et/ou graines de coton', "" - huile d'olive vierge extra - sel - menthe 1 % - purée de citron sucrée "", 'Citron - jus de citron - sucre', ' - jus de citron à base de concentré - conservateur E202 - coriandre - cumin - antioxydant : E300 - poivre - fenouil - épaississant : E415 - curcuma']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,192,803 kj(192 kcal),"7,8","0,5",25,"3,6","4,9","0,7","0,28",B,,500 g,"['Barquette', 'Plastique']","['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",['Point Vert'],,,7.8 g,en quantité modérée,0.5 g,en faible quantité,3.6 g,en faible quantité,0.7 g,en quantité modérée,,+8%,+8%,+15%,-29%,+6%,-11%,+14%,-26%,-26%,1,-63%,B,-63%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,
30,Carottes Râpées - Cora - 500g,3257980550583,['Cora'],['Cora'],['France'],"[""Carotte râpée 82% - eau - huile de colza - vinaigre d'alcool - jus de citron à base de concentré - sel - moutarde "", ""eau graines de moutarde - vinaigre d'alcool - sel"", ' - sucre - épaississants : E412', 'E415 - conservateur : E202 - poivre blanc']","['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Moutarde'],[],4,?,57,238 kj(57 kcal),"2,9","0,2","6,2","4,3","0,5","0,94","0,376",B,,500 g,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",,,,2.9 g,en faible quantité,0.2 g,en faible quantité,4.3 g,en faible quantité,0.94 g,en quantité modérée,,-29%,-28%,-43%,-55%,+2%,-15%,-42%,+45%,+45%,-3,-776%,A,-776%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,
31,Bêtises De Cambrai - Menthe - Cora,3257980572950,['Cora'],,['France'],[],,,[],,?,389,1628 kj(389 kcal),"0,5","0,1","97,1","65,7","0,5","0,02","0,008",E,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,65.7 g,en quantité élevée,0.02 g,en faible quantité,,+1%,+1%,+29%,+275%,+1%,-11%,+47%,-64%,-64%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
32,Moutarde de Dijon - Nature bio - 200g,3257980576279,"['Nature bio', 'Cora&Match']",['la louve'],['France'],"['Vinaigre de cidre ', 'contient du lait', ' - graines de moutarde -  eau - sel']",,"['Lait', 'Moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,152,636 kj(152 kcal),"11,3",1,"3,1","2,8","6,8","6,3","2,52",A,,200 g,"['Bocal', 'Verre']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,11.3 g,en quantité modérée,1 g,en faible quantité,2.8 g,en faible quantité,6.3 g,en quantité élevée,,-4%,-5%,-2%,+31%,-15%,+24%,-5%,+6%,+6%,6,-44%,C,-44%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,
33,Patrimoine Gourmand - Grands Nids,3257980576873,['Patrimoine gourmand'],"['Cora', 'Match']",['France'],"[""Pâtes d'Alsace aux 7 Œufs semoule de blé ""]",,,[],,?,369,1544 kj(369 kcal),5,"1,3",67,"2,6",14,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bouillabaisse - Patrimoine Gourmand - 780g,3257980577115,['Patrimoine Gourmand'],"['Cora', 'Match']",['France'],"['Poissons en morceaux et/ ou réduits : 67 % ', 'congres', 'lotte', 'anneaux de seiche', 'merlans', 'rougets', 'Eau', 'pommes de terre ', 'antioxygène: E223', 'moules - concentré de tomates oignons', 'poireaux', ""amidon transformé de maïs huile d'olive vierge extra "", '0,3 %', 'huile de colza', 'sel', 'plantes aromatiques', 'épices dont safran']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']","['Poisson', 'Mollusques', 'Congres', 'Lotte']","['Non végétalien', 'Non végétarien']",4,?,75,314 kj(75 kcal),"3,1","0,8","0,5","0,5",10,"0,75","0,3",,,780 g,,"['Plats préparés', 'Plats préparés au poisson', 'Bouillabaisses']",['Point Vert'],,,3.1 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,0.75 g,en quantité modérée,,+12%,+13%,+21%,+50%,-78%,-25%,+24%,-2%,-2%,-4,,A,,,,,,,,,['France'],,
35,Petits Nids - Patrimoine Gourmand - 250g,3257980577573,['Patrimoine Gourmand'],['Cora'],['France'],"['Semoule de blé dur de qualité supérieure', 'œufs frais 30% ', 'soit 320 g par kilo de semoule']",,"['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1552,367,1552 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",B,Petits Nids,250 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes aux œufs', 'Pâtes sèches aux œufs', ""Pâtes de blé dur à l'œuf""]","['IGP', 'Point Vert', 'Fabriqué en France']",,"['EMB 67282', 'Marlenheim (Bas-Rhin, France)']",5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,+15%,+14%,+16%,+26%,+2%,+13%,+7%,+19%,-57%,-57%,-3,,A,,63.3%,21.1%,6.6%,5.4%,2.9%,0.8%,75,"['Alsace', 'France']",,
36,Thé de Ceylan - Cora - 50g,3257980577801,['Cora'],['Cora'],['France'],['100% thé noir'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,A,,50 g,"['Carton', 'Sachets']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Boissons sans sucre ajouté']",,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
37,Thé English Breakfast - Cora - 50g,3257980577818,['Cora'],['Cora'],"['Belgique', 'France']",['100% thé noir'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,A,Thé en sachets,50 g,"['Sachets', 'Carton']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Boissons sans sucre ajouté']",,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['France'],,
38,Thé Earl Grey - Cora - 50g,3257980577825,['Cora'],['Cora'],['France'],['Thé noir 90% - arôme 10%'],,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,A,Thé aromatisé Bergamote,50 g,"['Sachets', 'Carton']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés à la bergamote', 'Thés noirs aromatisés à la bergamote', 'Boissons sans sucre ajouté']",,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
39,Thé Citron - Cora - 50g,3257980577832,['Cora'],['Cora'],['France'],['Thé noir 83% - arôme naturel de citron avec autres arômes naturels 12% - écorces de citron 5%'],,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,A,,50 g,"['Carton', 'Sachets']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron', 'Boissons sans sucre ajouté']",,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
40,"Marshmallow Parfum Vanille, 300 g - Cora - 375g",3257980578273,"['Cora', 'famille michaud']","['Leclerc', 'Cora']",['France'],"['glucose-fructose - sucre - eau dextrose gélatine de porc - vanille - co!orant : El 20', ' MARSHMALLOW MET AP WGREDIËNTEN: Glucose - fructosestroop - q er dextrose - varkensgelatine - vani/paroma -']",,,[],4,?,330,1381 kj(330 kcal),0,0,79,71,"3,5","0,03","0,012",,,375 g,['Pot'],,,['100\xa0% récolté en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['64290 gan'],,
41,Poulet basquaise - Patrimoine gourmand,3257980578297,['Patrimoine gourmand'],"['Cora', 'Match']",['France'],"['Cuisses de pelées 28,9% - oignons - poivrons verts et rouges - sucre - pulpe vierge extra 0,6% - vin blanc - amidon modifié de manioc - sel - piment disc-l 0,3% persil - thym']",['E14XX - Amidons modifiés'],,[],4,?,125,523 kj(125 kcal),"7,2","1,7","4,4","2,2","10,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Pizza Chèvre, Lardons - Cora",3257980578631,['Cora'],['Cora'],['France'],[],,,[],,?,246,1029 kj(246 kcal),"10,3","4,9","26,2","3,7","11,1","1,15","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pizza garnie de chorizo précuit et de poivrons - Cora - 450g,3257980578662,['Cora'],['Cora'],['France'],"['Pâte cuite 38,8% ', 'farine de blé', 'eau', 'huile de colza', 'sel', 'levure', 'poudre à lever : carbonate de sodium', 'purée de tomates mi-réduite', 'chorizo précuit 15% ', 'viande de porc', 'piments', 'sel', 'dextrose', 'conservateur : nitrite de sodium', 'plantes aromatiques', 'arômes', 'stabilisant : triphosphates', 'antioxydant : ascorbate de sodium', 'fromage fondu 10,6% ', 'fromages', 'eau', 'beurre', 'protéines de lait', 'amidon transformé de maïs', 'sels de fonte : citrate de sodium', 'lactosérum', 'sel', 'antiagglomérant : cellulose', 'emmental 4,5% ', 'dont antiagglomérant : cellulose', 'poivrons vert 2,8%', 'poivrons rouges 2,8%', 'farine de blé', 'eau', 'origan', 'basilic', ""huile d'olive vierge extra"", ""pulpe d'ail""]","['E500i - Carbonate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E460 - Cellulose']","['Gluten', 'Lait', 'Iactosèrum']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,976,232,976 kj(232 kcal),"8,5","1,8","27,9","2,1","10,2","1,49","0,596",B,Pizza au chorizo,450 g,"['Film en plastique', 'Plaque en carton', 'Frais']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au chorizo']",,,"['EMB 49331H', 'Segré (Maine-et-Loire, France)']",8.5 g,en quantité modérée,1.8 g,en quantité modérée,2.1 g,en faible quantité,1.49 g,en quantité modérée,-0%,-4%,-2%,-12%,-58%,+5%,-35%,+1%,+9%,+9%,3,-69%,C,-69%,59.0%,18.5%,4.6%,5.4%,2.6%,9.9%,70,,,
44,Aiguillettes de poulet aux deux moutardes et riz aux légumes - Cora - 290g,3257980578891,['Cora'],['Cora'],['France'],"['Aiguillettes de poulet sauce moutarde ', '51,7%', "" : aiguillettes de poulet 29,3% - sauce 22,4% [crème fraîche - eau - moutarde à l'ancienne 3,8% "", 'eau - graines de moutarde - vinaigre - sel', ' - moutarde de Dijon 2,9% ', 'eau - graines de moutarde - vinaigre - sel - conservateur : E222 ', ' contient sulfites', ' - arôme naturel [colorants : E150a', 'E100', 'E160c ', 'contient céleri', '] - vin blanc ', 'contient sulfites', ' - épaississant E415]', '\rRiz cuisiné aux légumes ', '48,3%', ' : riz long cuit 33,6% ', 'riz', 'eau', ' - carotte 6,7% - petits pois 3,3% - huile de tournesol - riz sauvage 1,6% ', 'zizania aquatica : graminée différente de celle connue sous le nom de riz', ' - sel - poivre']","['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E415 - Gomme xanthane']","['Céleri', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,?,121,506 kj(121 kcal),"3,9","1,5","8,8","0,8","10,3",1,"0,4",D,,290 g,"['Carton', 'Barquette', 'Plastique']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",,,"['EMB 84007W', 'Avignon (Vaucluse, France)', 'FR 84.007.020 CE', 'Avignon (Vaucluse, France)']",3.9 g,en quantité modérée,1.5 g,en quantité modérée,0.8 g,en faible quantité,1 g,en quantité modérée,,-19%,-18%,-34%,-11%,-36%,-59%,+28%,+18%,+18%,-4,-380%,A,-380%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,
45,"Tarte Flambée Alsacienne, 260 Grammes, Marque Patrimoine Gourmand - 260g",3257980579096,['Patrimoine gourmand'],"['Cora', 'Match']",['France'],"['Farine de blé ', 'farine de blé - agent de traitement de la farine : L-cystéine - farine de blé malté', ' - crème épaisse 27% - eau - lardons crus fumés 10,7 % [poitrine de porc 10,2% ', 'origine : France', ' - sel - dextrose - épices - arôme de fumée - arômes naturels - antioxydant : ascorbate dp sodium - conservateur : nitrite de sodium] - oignon 8% - huile de colza - préparation déshydratée pour béchamel [épaississants : amidons transformés', 'gomme guar', 'gomme xanthane - lactosérum en poudre maltodextrine - lait entier en poudre - sel - sirop de glucose - huiles de palme et de colza - ', 'émulsifiant : esters acétiques des mono et diglycérides diacides gras - protéines de lait - arômes naturels ', 'contient moutarde', "" - antioxydant : esters d'acides gras de llacide ascorbique"", ' - sel - amidon transformé - poivre', ' Traces éventuelles de poissons', 'crustacés', 'mollusques']","['E920 - L-Cystéine et ses chlorhydrates', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', ""E472a - Ester diacétyl-acétique d'acides gras""]","['Gluten', 'Lait', 'Moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,237,992 kj(237 kcal),"16,9","7,7","24,9","5,3","5,5","1,17","0,468",,,260 g,,,,,"['EMB 67067', 'Brumath (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
46,Chorizo Doux - Cora - 225g,3257980618658,['Cora'],['Cora'],['France'],"[""Maigre de porc - gras de porc - piment I {d'Espagne 4% - sel - lactose - dextrose - épices et extraits diépices - conservateurs I ascorbate de sodium"", 'nitrite de sodium - ferments', ' Boyau naturel', ' 142 g de viande mis en oeuvre sur 100g de produit fini', ' Produit sujet à dessiccation']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,?,445,1862 kj(445 kcal),"38,9","14,5","3,1","1,8","19,5","4,4","1,76",D,,225 g,,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,,,38.9 g,en quantité élevée,14.5 g,en quantité élevée,1.8 g,en faible quantité,4.4 g,en quantité élevée,,+9%,+9%,+14%,+12%,+6%,+1%,-15%,+17%,+17%,23,-3%,E,-3%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,
47,Saucisson Sec d\'Ardèche - Patrimoine Gourmand - 250g,3257980629630,['Patrimoine Gourmand'],"['Cora', 'Match']",['France'],"['Viande et gras de porc', 'sel', 'lactose', 'vin rouge', 'dextrose de blé', 'poivre', 'ail', 'conservateur : ', 'salpêtre', 'ferments lactiques', 'Boyau naturel de porc']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,402,1682 kj(402 kcal),"32,8","14,6","0,5","0,5","26,3","5,9","2,36",C,Saucisson sec,250 g,"['Plastique', 'pièce']","['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc', ""Saucissons d'Ardèche""]",,"['France', 'Ardèche']","['FR 07.110.002 CE', 'Joyeuse (Ardèche, France)']",32.8 g,en quantité élevée,14.6 g,en quantité élevée,0.5 g,en faible quantité,5.9 g,en quantité élevée,,-2%,-2%,+1%,+14%,-79%,-67%,-4%,+27%,+27%,25,+3%,E,+3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,
48,"Confit De Carnard, Ente - Patrimoine gourmand",3257980629685,['Patrimoine gourmand'],"['Cora', 'Match']",['France'],"['cuisses de canard du sud ouest', 'graisse de canard', 'sel']",,,"['Non végétalien', 'Non végétarien']",3,1280,308,1280 kj(308 kcal),"23,6","8,2","0,5",0,"23,6","1,5","0,6",D,,,['Conserve'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards']",,,,23.6 g,en quantité élevée,8.2 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,+51%,+29%,+29%,+37%,+36%,-88%,-100%,+59%,+30%,+30%,17,+72%,D,+72%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,
49,Mousse de foie - Cora - 180g,3257980630520,['Cora'],['Cora'],['France'],['Foie de porc 27% - gras de porc - eau - couenne de porc - farine de blé - sel - crème - oignons - gélatine de porc - poudre de lait demi-écrémé - amidon de maïs - sucre - poivre - antioxydant : érythorbate de sodium - coriandre - thym - caramel ordinaire - nitrite de sodium'],"['E428 - Gélatine', 'E316 - Érythorbate de sodium', 'E150a - Caramel E150a', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1033,249,1033 kj(249 kcal),"20,8","8,5","4,2","1,4","11,3","1,65","0,66",,Pâté de foie,180 g,"['Barquette', 'Film', 'Plastique', 'Frais', 'Sous atmosphère protectrice']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']","['Viande-francaise', 'Point Vert', 'Viande-porcine-francaise']",['France'],"['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)']",20.8 g,en quantité élevée,8.5 g,en quantité élevée,1.4 g,en faible quantité,1.65 g,en quantité élevée,-19%,-25%,-26%,-33%,-25%,+47%,-11%,+9%,+4%,+4%,18,-7%,D,-7%,,,,,,,,,,
50,Mousse De Foie - Cora,3257980630551,['Cora'],['Cora'],['France'],[],,,[],,?,249,1042 kj(249 kcal),"20,8","8,5","4,2","1,4","11,3","1,7","0,68",,,,['Barquette'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']","['Viande-francaise', 'Viande-porcine-francaise']",['France'],,20.8 g,en quantité élevée,8.5 g,en quantité élevée,1.4 g,en faible quantité,1.7 g,en quantité élevée,,-25%,-25%,-33%,-25%,+47%,-11%,+9%,+8%,+8%,18,-7%,D,-7%,,,,,,,,,,
51,Café moulu pur arabica - Nature Bio - 250g,3257980631435,"['Nature Bio', 'Cora & Match']",,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,250 g,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Fairtrade International', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,
52,"Lait écrémé Uht, 6 Bouteilles D'un Litre, Marque Cora",3257980632494,['Cora'],,['France'],[],,,[],,?,32,134 kj(32 kcal),"0,1","0,02",5,"1,37","3,2",,,D,,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés']",,,,0.1 g,en faible quantité,0.02 g,en faible quantité,1.37 g,en faible quantité,,,,-53%,-56%,-75%,-89%,-50%,-86%,-49%,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,
53,"Saucisse sèche pur porc Bio, 200g - Nature Bio - 200g",3257980648907,"['Nature Bio', 'Cora']",,['France'],[],,,[],,?,448,1874 kj(448 kcal),34,12,"1,5","0,5",34,"4,25","1,7",D,,200 g,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",['Bio'],,,34 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,4.25 g,en quantité élevée,,+9%,+9%,+6%,-5%,-33%,-66%,+18%,-8%,-8%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,
