,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
591,Saucisson Iberique,8422003016734,,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"39,5",,"7,5",,"0,9",,"0,24",,"27,5",,"4,32",,"1,728",,,,,,,,,,,,,,,,,,,,,,,,,,
592,sirop de Cannes canadou citron - 70cl,13611170,,['Canadou'],['Sirops'],['France'],"['sucre de canne,eau,jus de citron concentré  ', '10%', ',arôme naturel citron ', '0,4%', ',arôme naturel de citron vert ', '1,6%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,70cl,['bouteille en verre'],,,4,,,,,,,,
593,Pain au maïs -,0209070007876,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains au maïs']",['France'],[],[],6.5 g,en quantité modérée,0.3 g,en faible quantité,1.2 g,en faible quantité,0.5 g,en quantité modérée,?,,317,+14%,1326 kj(317 kcal),+13%,"6,5",+27%,"0,3",-45%,51,+8%,"1,2",-47%,12,+19%,"0,5",-64%,"0,2",-64%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,
594,Crackers pizza,3760020821005,,,,['France'],[],[],,,,,,,,,?,,529,,2213 kj(529 kcal),,"28,5",,"3,5",,57,,"6,6",,"9,5",,"1,8",,"0,72",,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
595,Lipton Bring the Boost,8714100781227,,['Lipton'],,['France'],[],[],,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Minced,5701977079017,,,,['France'],[],[],,,,,,,,,?,,202,,845 kj(202 kcal),,10,,8,,"6,2",,"1,5",,18,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
597,Couscous à la marocaine et ses petits légumes - Fleury Michon - 450g,3899791843104,,['Fleury Michon'],"['Plats préparés', 'Plats à base de semoule', 'Couscous préparés']",['France'],"['Semoule de couscous cuite 24% ', ' eau', 'semoule de blé dur', 'haut de cuisse de poulet traité en solaison ', 'poulet 19%', 'sirop de glucose', 'fécule de manioc', 'sel', 'mélange légumes 15% ', ' courgettes', 'navets', 'poivrons rouges', 'merguez 11% ', 'viande de boeuf', 'viande et gras de mouton', 'épices', 'plantes aromatiques', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'eau', 'carottes 8%', 'pois chiches 2%', 'raisins secs 2%', 'huile de colza', 'concentré de tomates', 'oignons', 'graisse de canard', 'sel', 'farine de tapioca', 'épices ', 'dont fibre de blé', 'ail', 'jus concentrés ', 'céleri et poivrons rouges', 'thym', "" Traces éventuelles d'eufs"", ' Poulet origine France', 'Boeuf et Mouton origine Union Européenne']","['Non végétalien', 'Non végétarien']",6.3 g,en quantité modérée,1.9 g,en quantité modérée,3.3 g,en faible quantité,0.8 g,en quantité modérée,?,,0,-100%,0 kj(0 kcal),-100%,"6,3",+46%,"1,9",+61%,11,-37%,"3,3",+55%,"8,1",+9%,"0,8",+5%,"0,32",+5%,-1,-1873%,A,-1873%,,,,,,,,,450 g,,"['Nutriscore', 'Nutriscore A']",['Céleri'],4,,,,,,,,
598,Babybel - 100g,03028780,,['Babybel'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
599,8008845073564,8008845073564,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Cuisine nature noix de cajou - ECO MIL. - 200ml,42817192,,['ECO MIL.'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner']",['France'],"['Eau', 'noix de cajou ', '7% ', 'huile de tournesol* štabilisants ', 'gomme arabiqué', 'gomme xanthane', 'sel marin', '*Ingrédients issus de lagriculture biologique', ' Fabriqué dans une usine ni sont également traités des fruits à coque']","['Végétalien', 'Végétarien']",8.3 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en quantité modérée,?,,389,+151%,1628 kj(389 kcal),+154%,"8,3",-40%,"1,1",-74%,"2,8",-33%,"0,5",-73%,"1,3",-38%,"0,3",+191%,"0,12",+191%,6,+73%,C,+73%,,,,,,,,,200 ml,['Brique'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['Fruits à coque'],4,['Murcia'],,,"[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane']",,,,
601,Vin blanc chardonnay - Ribeaupierre - 3L,3439495506044,D,['Ribeaupierre'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,3L,,,,,,,,,,,,
602,Emmental Râpé VDC 29 % -,3153406244008,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages pasteurisés', 'Fromages râpés', 'Emmentals râpés']",['France'],[],[],29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,?,,1532,+311%,6410 kj(1532 kcal),+311%,29,+0%,19,-4%,"< 0,5",-45%,"< 0,5",+24%,27,-1%,"0,5",-34%,"0,2",-34%,17,+43%,D,+43%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['Produits destinés aux professionnels'],,,,"['FR 35.184.003 CE', 'Montauban-de-Bretagne (Ille-et-Vilaine, France)', 'FR 22.272.001 CE', ""Saint-Agathon (Côtes-d'Armor, France)"", 'FR 31.582.001 CE', 'Villefranche-de-Lauragais (Haute-Garonne, France)']",,,,,,
603,Lait de Bretagne - Les éleveurs de Bretagne - 50cl,3496080003210,C,['Les éleveurs de Bretagne'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits de vache', 'Laits demi-écrémés biologiques']",['France'],[],[],1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,46,0%,192 kj(46 kcal),-1%,"1,6",+3%,1,+0%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-11%,"0,04",-11%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,50 cl,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,"['EMB 56179C', 'Pont-Scorff (Morbihan, France)', 'FR 56.179.006 CE', 'Pont-Scorff (Morbihan, France)']",,,,,,
604,Chupa Chups Fun Pen,8410031959116,,['Chupa Chups'],,['France'],[],[],,,,,,,,,?,,339,,1418 kj(339 kcal),,0,,0,,84,,74,,0,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
605,"Aceto balsamico di modena igp - Gradassi - 0,25l",8026277000118,B,['Gradassi'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,"0,25l",,['IGP'],,,,,,,,,,
606,Shiitakés Déshydratés - Le jardin de Nina - 30g,3760168619007,,['Le jardin de Nina'],,['France'],['Shiitakes bio déshydratés'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,30g,['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
607,08213745,08213745,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Knorr Basis für Pasta Asciutta - 67g,9000275645013,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,67 g,['Stück'],,,,,,,,,,,
609,Knorr Basis für Serbisches Reisfleisch - 40g,9000275487712,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,40 g,['Stück'],,,,,,,,,,,
610,Miel de manuka,9421900325986,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,15.6 g,en quantité élevée,0 g,en faible quantité,?,,268,-15%,1121 kj(268 kcal),-15%,0,-100%,0,-100%,"15,9",-79%,"15,6",-77%,"0,08",-23%,0,-100%,0,-100%,6,-51%,C,-51%,,,,,,,,,,,,,,,,,,,,,
611,Filmogel - Urgo - 25ml,3401062080554,,['Urgo'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,25 ml,['Flacon'],,,,,,,,,,,
612,Wela Klare Delikateß suppe 1 / 2 Glas,4029399500966,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,7,,29 kj(7 kcal),,"0,5",,"0,3",,0,,0,,0,,"0,98",,"0,392",,,,,,,,,,,,,,,['Produkt'],,,,,,,,,,,
613,Mesost Norsk Gudbrand,7038010028809,,,,['France'],[],[],,,,,,,,,?,,448,,1874 kj(448 kcal),,29,,19,,36,,31,,11,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
614,"Cantal entre deux 29 0/0 MG appellation origine protégée - Geant Casino - 0,190kg",0204799018561,,['Geant Casino'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"0,190 kg",,,,,,,,,,,,
615,Pure Whey Protéines • Croissance musculaire,3518681009580,,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,"3,8",,2,,"6,4",,"4,5",,80,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
616,Instant Noodles Chicken,6923744358128,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],,,,,,,,,?,,466,+56%,1950 kj(466 kcal),+55%,"19,8",+71%,"10,1",+92%,"59,2",+46%,"1,1",-55%,11,+73%,"1,49",-43%,"0,596",-43%,,,,,,,,,,,,,,,,,,,,,,,,,
617,Valdispert Mélatonine 4 Actions 30 Capsules,8711744046743,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,10287996,10287996,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Sal - 250g,5601170163530,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
620,Cereals - Passionfruit Crunch Ancient Grain-ola,9420000251980,,,,['France'],[],[],,,,,,,,,?,,564,,2360 kj(564 kcal),,46,,"9,1",,"17,3",,9,,"17,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
621,Ice breakers sours -,0034000723805,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Contient des OGMs'],,,,,,,,,,
622,Detox - Verway,0635131981920,,['Verway'],['Compléments alimentaires'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.73 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"2,73",+392%,"1,09",+392%,10,+52%,C,+52%,,,,,,,,,,,,,,,,,,,,,
623,Moutarde de dijon - Kerets,3448270001643,B,['Kerets'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",['France'],[],[],12 g,en quantité modérée,0.76 g,en faible quantité,2 g,en faible quantité,5.87 g,en quantité élevée,?,,156,-2%,653 kj(156 kcal),-2%,12,+4%,"0,76",-1%,"3,1",-15%,2,-11%,"7,3",+2%,"5,87",-1%,"2,348",-1%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,"['Bocal', 'Verre']",,,,,,,,,,,
624,Green tea infused MINTS - Trader Joe's - 1.2oz (35g),00960045,B,"[""Trader Joe's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Menthe']","['France', 'États-Unis']","['INGREDIENTS: CANE SUGAR', 'MATCHA GREEN TEA AND GREEN TEA EXTRACT ', '95% POLYPHENOLS', 'NATURAL FLAVORS', 'PEPPERMINT OILS', 'HONEY GRANULES', 'VEGETABLE COLOR ', 'TURMERIC', 'RED CABBAGE EXTRACT', 'CALCIUM STEARATE', 'STEARIC ACID', ' MAY CONTAIN TRACES OF WHEAT', 'MILK', 'SOY']",['Non végétalien'],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,,10,-85%,42 kj(10 kcal),-85%,0,-100%,0,-100%,2,-84%,2,+483%,0,-100%,0,-100%,0,-100%,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,1.2oz (35g),"['Square tin', 'chartreuse pretty']",['en:May contain traces of wheat milk and soy'],,4,,,"[""Trader Joe's""]","['E572 - Stéarate de magnésium', 'E570 - Acide stéarique']",,,,
625,Snack soufflé saveur fromage bacon,3760006881221,,,,['France'],[],[],,,,,,,,,?,,487,,2038 kj(487 kcal),,"22,4",,"9,9",,"64,4",,"9,9",,"6,8",,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,,
626,Freshly squeezed orange juice,8888123100256,,,,['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,"10,4",,"8,7",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Ratatouille à la provençale - jardin Bio - 650g,12593187,B,['jardin Bio'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",['France'],"['Légumes en morceaux 87 % ', 'tomates', 'courgettes', 'aubergines', 'oignons', 'poivrons rouges', 'poivrons verts', 'double concentré de tomates à 28 %', ""huile d'olive vierge extra"", 'sucre de canne brut', 'plantes aromatiques', 'huile de tournesol', 'sel marin', 'jus concentré de citron', 'poivre noir']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3.5 g,en quantité modérée,0.5 g,en faible quantité,5.2 g,en quantité modérée,0.47 g,en quantité modérée,?,,64,-6%,268 kj(64 kcal),-4%,"3,5",-7%,"0,5",-7%,"6,1",+19%,"5,2",+34%,"1,2",+2%,"0,47",-34%,"0,188",-34%,-3,-407%,A,-407%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,650g,['Bocal'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,3,,,,,,,,
628,Röstzwiebeln / Oignons frits,4099200017624,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",['France'],[],[],44 g,en quantité élevée,21 g,en quantité élevée,9 g,en quantité modérée,1.2 g,en quantité modérée,?,,590,+4%,2469 kj(590 kcal),+4%,44,+4%,21,+15%,40,-0%,9,-15%,6,+2%,"1,2",+9%,"0,48",+9%,15,+11%,D,+11%,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,,,,,,,,,,,
629,Banane bio classe 2 - CFF Strasbourg - 1kg,2600480011947,B,['CFF Strasbourg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,1 kg,,['Bio'],,,,,,,,,,
630,Magnum Chocolate Double Peanut Butter - 39g,5010775193253,,['Magnum'],,"['France', 'Suisse']",[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,32,,15,,47,,39,,10,,"0,73",,"0,292",,,,,,,,,,,,,,39 g,,,,,,,,,,,,
631,miel de fleurs cremeux - les apiculteurs gascons - 250g,3770009008099,B,"['les apiculteurs gascons', 'coopérative  regionnale']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],['Mélange de miels de fleurs récoltés en Gascogne'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,miel français,250g,"['Bocal', 'Verre', 'Capsule']",['Miel de France'],,2,['France'],,,,['Sud ouest de la france'],http://lesapiculteursgascons.com,,
632,Dry roasted cashew nuts,7039317006460,,,,['France'],[],[],,,,,,,,,?,,578,,2418 kj(578 kcal),,43,,"7,6",,30,,"5,9",,18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
633,I Leggiadri,8032755321101,,,,['France'],[],[],,,,,,,,,?,,452,,1891 kj(452 kcal),,13,,"1,4",,74,,22,,"8,7",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,,
634,Miel de châtaignier - Rucher du mas de Tessan - 1kg,31200479,A,['Rucher du mas de Tessan'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,1kg,['pot en verre'],,,2,['F-30700 Uzes'],,,,['France'],,,
635,Avenes un godzi,4750011850380,,,,['France'],[],[],,,,,,,,,?,,424,,1774 kj(424 kcal),,14,,"8,6",,68,,63,,"3,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Ananas Tranches,6111069000413,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,60,-38%,251 kj(60 kcal),-36%,0,-100%,0,-100%,16,-19%,0,-100%,0,-100%,0,-100%,0,-100%,-5,,A,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,,,,,,,,
637,Soupe lentilles corail cumin - Olivier Marseille Traiteur - 640g,3520832130746,,['Olivier Marseille Traiteur'],"['Plats préparés', 'Soupes']",['France'],"['Eau', 'lentilles corail * ', '12,5%', 'poireaux *', 'carotte*', ""huile d'olive vierge extra*"", 'jus de citron*', 'sel', 'cumin* ', '0,25%', ""\r *ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.7 g,en faible quantité,0.3 g,en faible quantité,1.3 g,en faible quantité,0.46 g,en quantité modérée,?,,64,+12%,268 kj(64 kcal),+13%,"1,7",-12%,"0,3",-50%,"7,9",+37%,"1,3",-25%,"3,7",+68%,"0,46",-47%,"0,184",-47%,0,-100%,B,-100%,,,,,,,,,640 g,"['bocal verre', 'couvercle métal']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09', 'AB Agriculture Biologique']",,3,['Provence'],,,,,,,
638,Balsamico Essig -,4027400760293,B,,"['Vinaigres', 'Vinaigres balsamiques']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,
639,Pain de campagne,3015678200086,,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"1,2",,"0,3",,55,,"1,3",,10,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
640,getrocknete Aprikosen,4306205044129,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
641,Schokopudding -,28414629,,,"['Desserts', 'Puddings']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Yogur de Cabra Ecologico - Cantero de Letur,8437000140443,B,['Cantero de Letur'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'es:Yogur de cabra']",['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,37,-49%,155 kj(37 kcal),-48%,"0,1",-97%,"0,1",-96%,0,-100%,0,-100%,4,-3%,"0,1",-17%,"0,04",-17%,-2,-453%,A,-453%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,['Bio'],,,,,,,,,,
643,dinde wassila halal - 0.176kg,0209849014968,,['Wassila'],,['France'],['Escalopes de dinde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,0.176 kg,,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,,,,,,,,
644,Graines de turnesol,4840811000761,,,,['France'],[],[],,,,,,,,,?,,572,,2393 kj(572 kcal),,"52,9",,0,,"3,4",,0,,"20,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Migros daily,7613404057322,,['Migros'],,"['France', 'Suisse']","['eau', 'gingembre 2%', 'menthe 1%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,5,,21 kj(5 kcal),,"0,5",,"0,5",,"0,5",,"0,5",,0,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,
646,Blitz Household Towel - Heinz,5000157062482,,"['Heinz', 'Regina']",,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"7,8",,"1,2",,"13,6",,"13,6",,"4,6",,"1,7",,"0,68",,,,,,,,,,,,,,,['aluminium-can'],,,,,,,,,,,
647,Finger - 700g,8698509286319,,,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,"14,2",,"7,4",,"78,1",,"13,8",,"5,2",,"0,122",,"0,049",,,,,,,,,,,,,,700 g,,,,,,,,,,,,
648,Amandes décortiqués,2600112032340,,,,['France'],[],[],,,,,,,,,?,,645,,2699 kj(645 kcal),,"49,9",,"3,8",,"21,5",,"4,2",,"21,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
649,Radis -,0200380006955,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Radis', 'Radis noirs', 'Radis noirs frais']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,21,+40%,88 kj(21 kcal),+38%,0,-100%,0,-100%,"1,2",-69%,0,-100%,"2,3",+73%,0,-100%,0,-100%,-6,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,,,,,,,,,,,,
650,ulker dore,8690504008743,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Oméga 3 - Biotechusa,5999076202263,,['Biotechusa'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Yaourt au lait frais de chèvre à la vanille - YOgourmand - 460g,3454840010014,,['YOgourmand'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de chèvre', 'Yaourts vanille']",['France'],"['Lait entier frais de chèvre ', '85,3%', 'sucre ', '5,6%', 'crème de lait de chèvre ', '5,4%', 'arôme naturel de vanille', 'pectines', 'ferments lactiques']",[],4.6 g,en quantité modérée,2.9 g,en quantité modérée,8.6 g,en quantité modérée,0.09 g,en faible quantité,?,,92,+3%,385 kj(92 kcal),+2%,"4,6",+9%,"2,9",+1%,"8,6",+6%,"8,6",+17%,"4,2",+4%,"0,09",-5%,"0,036",-5%,2,-4%,B,-4%,,,,,,,,Yaourt au lait frais de chèvre vanille YOgourmand,460 g,"['Pots', 'Plastique', 'Carton']","['Sud de France', 'en:lait-francais-french-milk']",['Lait'],4,['Toulouse'],"['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)']",,['E440 - Pectines'],,https://www.yogourmand.fr/,,
653,Mandorle tostate e salate - Esselunga,80425311,,['Esselunga'],,['France'],[],[],,,,,,,,,?,,633,,2648 kj(633 kcal),,"54,8",,"4,6",,"5,8",,"3,8",,"25,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
654,Gofret,8690766040451,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Klas Cake - Keks,8690766337612,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,"17,2",,"7,6",,"77,9",,"37,2",,"3,5",,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,,,
656,Boisson pomme cassis à l'eau de source sans conservateur - Monoprix,3350033139961,,['Monoprix'],,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,0,,0,,"9,3",,"8,4",,0,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,['Monoprix'],,,,,
