,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
369,L'original pomme - Ifri,6130093063102,['Ifri'],,,['France'],[],[],?,27,"0,02","12,5","0,025",,,,,,,,,,,,,,,,,,,,,,,,113 kj(27 kcal),,0,,"12,5",,"0,013",,"0,005",,,,,,,,,,,,,,,,,
370,Filets de poulet,2424503044015,,,,['France'],[],[],?,95,"0,6","1,2",21,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-27%,-79%,+151%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,0.6 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,1 g,en quantité modérée,397 kj(95 kcal),-27%,"0,1",-87%,"0,1",-59%,1,+33%,"0,4",+33%,0,,B,,,,,,,,,,,,,
371,"Chocolate Chip Biscuits, Scholkolade",5453002802205,,,,['France'],[],[],?,427,"21,4","23,7",31,,,,,,,,,,,,,,,,,,,,,,,,1787 kj(427 kcal),,3,,"3,8",,"2,04",,"0,816",,,,,,,,,,,,,,,,,
372,MIO ESPRESSO,8004769253587,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Toast brioches  au ble complet - Casino,3222473040865,['Casino'],['Bio'],['Casino'],['France'],[],[],?,380,"3,3",70,14,,,,,,,,,,,,,,,,,,,,,,,,1590 kj(380 kcal),,"1,9",,"9,8",,"0,81",,"0,324",,,,,,,,,,,,,,,,,
374,Tarte aux pommes - 110g,1311311311310,,,,['France'],[],[],?,276,12,36,"5,5",,,,,,,,,,,,,,,,,,,,,,,,1155 kj(276 kcal),,"0,6",,"16,1",,"0,17",,"0,068",,,,,,110 g,,,,,,,,,,,
375,Galette Briochée,0204419019022,,,,['France'],[],[],?,304,"9,8",44,"8,8",,,,,,,,,,,,,,,,,,,,,,,,1272 kj(304 kcal),,"5,9",,11,,"1,1",,"0,44",,,,,,,,,,,,,,,,,
376,Pain aux raisins,3257399020004,,,,['France'],[],[],?,?,?,?,?,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",,,,,,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Confiture extra ananas,3540860003645,,,,['France'],[],[],?,242,"0,1","59,7","0,3",,,,,,,,,,,,,,,,,,,,,,,,1013 kj(242 kcal),,"0,1",,"59,5",,"0,003",,"0,001",,,,,,,,,,,,,,,,,
378,Rollitos - 150g,8420957108109,,,,['France'],[],[],?,492,"25,3","60,05","4,95",,,,,,,,,,,,,,,,,,,,,,,,2059 kj(492 kcal),,"10,43",,"26,54",,"0,014",,"0,006",,,,,,150 g,,,,,,,,,,,
379,Jus de Pomme fermier,3760095732114,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Dos de cabillaud -,2869992039492,,,,['France'],[],[],?,?,?,?,?,,"['Produits de la mer', 'Poissons']",,,,,,,,,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Steak haché,3460323000472,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['FR 43.190.003 CE', 'Saint-Germain-Laprade (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,la Provençale à Poêler - Bonduelle - 600g,14123481,['Bonduelle'],,['Leclerc'],['France'],"['haricots verts 46%', 'carottes 24%', 'aubergines grilles 11% ', 'poivrons rouges 9', '3%', ""huile d'oiive vierge extra 1,7%"", 'tomates séchées au soleil 1,6% ', 'tomates séchées 1,40% sel', ' persil', 'ail en poudre 0,8%', 'eau', 'jus de citron concentré', 'sel', 'aromes naturels', 'antioxydant: acide ascorbique', 'graisse de poulet 0,03%', 'extrait naturel de romarin', 'épices', ' Hazian Paine']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,['boîte de conserve'],,['France'],4,,['E300 - Acide ascorbique'],,,,,
383,Yaourt vanille - Ferme Bernadotte - 120g,,['Ferme Bernadotte'],,,['France'],"['lait entier pasteurisé', 'ferments lactiques', 'vanille naturelle', '3% de sucre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,3,,,['Lait'],,,,
384,Pilons de poulet,3266980212919,,,,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Madeleine,35855743,,,,['France'],[],[],?,454,23,55,6,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,+3%,+1%,+4%,+6%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,23 g,en quantité élevée,2.5 g,en quantité modérée,26 g,en quantité élevée,0.68 g,en quantité modérée,1900 kj(454 kcal),+3%,"2,5",-64%,26,-5%,"0,68",-16%,"0,272",-16%,15,-18%,D,-18%,,,,,,,,,,,,
386,Miel - Produit De Montagne - La Grande Epicerie de Paris - 350g,3346041395727,['La Grande Epicerie de Paris'],['Fabriqué en France'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['EMB 21231', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,
387,Crush Peanut Chikki bar - Haldiram's,8904004411218,"[""Haldiram's""]",,,['France'],[],[],?,508,"26,12","54,57","13,74",,,,,,,,,,,,,,,,,,,,,,,,2125 kj(508 kcal),,"3,32",,"36,16",,2,,"0,8",,,,,,,,,,,,,,,,,
388,Déjeunette x6,2011000018047,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Stimium Pro-energy - 12 Gommes Arôme Cassis - Biocodex,3583310000023,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Petit pois,3760080430094,,['Fabriqué en France'],,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,,,,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Emmental francais rape - Carrefour - 200g,7346815561651,['Carrefour'],,['Carrefour'],['France'],[],[],?,391,30,"0,8",29,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,+3%,+2%,+32%,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,30 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,1636 kj(391 kcal),+4%,19,-4%,0,-100%,"0,5",-15%,"0,2",-15%,11,-2%,D,-2%,200 g,,,,,,,,,,,
392,Petit ragout d'haricots,8437014583953,,['en:gluten-free'],,['France'],[],[],?,56,25,"4,9","2,6",,,,,,,,,,,,,,,,,,,,,,,,234 kj(56 kcal),,"0,45",,"1,9",,"0,032",,"0,013",,,,,,,,,,,,,,,,,
393,Magor,0204123018373,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Fruits à tartiner,3546940022605,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Duo fraise kiwi,2055883020605,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Monastery of chrysoskalitissa,5200101807064,,,,['France'],[],[],?,828,92,0,0,,,,,,,,,,,,,,,,,,,,,,,,3464 kj(828 kcal),,13,,0,,0,,0,,,,,,,,,,,,,,,,,
397,Saumon fumé,3250391154869,,,,['France'],[],[],?,?,?,?,?,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Salchichón español,8436566502856,,['en:gluten-free'],,['France'],[],[],?,360,19,"1,5",0,,,,,,,,,,,,,,,,,,,,,,,,1506 kj(360 kcal),,11,,0,,0,,0,,,,,,,,,,,,,,,,,
399,Pomme  royal gala,0239640010500,,,,['France'],[],[],?,54,"0,25","11,6","0,25",,,,,,,,,,,,,,,,,,,,,,,,226 kj(54 kcal),,"0,052",,"9,35",,"1,5",,"0,6",,,,,,,,,,,,,,,,,
400,Riz complet grain rond - 1kg,5412939923469,,['Bio'],,"['Belgique', 'France']",[],[],?,353,"2,7",73,"7,5",,,,,,,,,,,,,,,,,,,,,,,,1477 kj(353 kcal),,"0,5",,1,,"0,01",,"0,004",,,,,,1 kg,['Carton'],,,,,,,,,,
401,Jus tox Victorine,5404023470003,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Le trio des saveurs - Jean Floc'h,3434350007049,"[""Jean Floc'h""]",,,['France'],[],[],?,259,21,"2,5",15,,,,,,,,,,,,,,,,,,,,,,,,1084 kj(259 kcal),,"8,4",,1,,"1,5",,"0,6",,,,,,,,,,,,,,,,,
403,Chorizo doux - 200g,8437000210016,,,,['France'],[],[],?,433,"35,14","5,55","23,63",,,,,,,,,,,,,,,,,,,,,,,,1812 kj(433 kcal),,"12,91",,"0,6",,"1,3",,"0,52",,,,,,200 g,,,,,,,,,,,
404,Truffes fantaisie aux éclats de noix de pecan - Chocmod,3472710013446,['Chocmod'],,,['France'],[],[],?,620,"49,3","34,9","5,9",,,,,,,,,,,,,,,,,,,,,,,,2594 kj(620 kcal),,"26,1",,"29,9",,"0,15",,"0,06",,,,,,,,,,,,,,,,,
405,Museau de boeuf,2610204025716,,,,['France'],[],[],?,118,"4,4","0,3","19,6",,,,,,,,,,,,,,,"['FR 68.376.005 CE', 'Wittenheim (Haut-Rhin, France)', 'FR 68.876.005 CE']",,,,,,,,,494 kj(118 kcal),,"1,9",,"0,3",,"0,97",,"0,388",,,,,,,,,,,,,,,,,
406,Lepicurien - L'épicurien,3441260000930,"[""L'épicurien""]",,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,The des vahines - 105g,2700883001054,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 g,,,,,,,,,,,
408,Montagnon,2449874049988,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['FR 05.148.001 CE', 'Saint-Laurent-du-Cros (Hautes-Alpes, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Cywku - Steinhauer - 300g,4820033590479,['Steinhauer'],,,"['France', 'Allemagne']",[],[],?,392,6,"75,4","9,1",,,,,,,,,,,,,,,,,,,,,,,,1640 kj(392 kcal),,"0,3",,18,,"0,85",,"0,34",,,,,,300g,,,,,,,,,,,
410,Rooibos,3760004670254,,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Jambon noir de Bigorre AOP,2559052009786,,,,['France'],[],[],?,390,33,0,25,,,,,,,,,,,,,,,,,,,,,,,,1632 kj(390 kcal),,13,,0,,"4,9",,"1,96",,,,,,,,,,,,,,,,,
412,Saucisson sec aux olives noires de Nyons AOP,3330180016803,,,,['France'],[],[],?,363,"28,4","0,8","26,1",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,-10%,-10%,-64%,-5%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,28.4 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,5.1 g,en quantité élevée,1519 kj(363 kcal),-10%,11,-11%,"0,6",-56%,"5,1",+9%,"2,04",+9%,24,0%,E,0%,,,,,,,,,,,,
413,Frizzy pazzy - 350g,8410576003268,,['Fabriqué en Espagne'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,
414,Spring'O,3800103433012,,,,['France'],[],[],?,45,0,"11,1",0,,,,,,,,,,,,,,,,,,,,,,,,188 kj(45 kcal),,0,,"11,1",,0,,0,,,,,,,,,,,,,,,,,
415,Saucisse de morteau IGP cuite,2281503039690,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,276,"22,6","0,2","18,5",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,-13%,-18%,-64%,+10%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",22.6 g,en quantité élevée,9.6 g,en quantité élevée,0.2 g,en faible quantité,2.6 g,en quantité élevée,1155 kj(276 kcal),-13%,"9,6",-9%,"0,2",-48%,"2,6",+17%,"1,04",+17%,22,+1%,E,+1%,,,,,,,,,,,,
416,Prosciutto di parma,16933630,,,,['France'],[],[],?,269,"17,4","0,1",28,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés italiens', 'Jambons de Parme', 'en:raw-cured-ham']",,+5%,+7%,-73%,+4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,17.4 g,en quantité modérée,7.4 g,en quantité élevée,0 g,en faible quantité,5.6 g,en quantité élevée,1125 kj(269 kcal),+5%,"7,4",+32%,0,-100%,"5,6",+15%,"2,24",+15%,20,+10%,E,+10%,,,,,,,,,,,,
417,Emmental au lait cru,2404915031629,,,,['France'],[],[],?,?,?,?,?,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Emmental au lait cru']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Aroma intence - Auchan,3245678169261,['Auchan'],,['Auchan'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Jus pamplemousse,8718096110733,,,,['France'],[],[],?,33,0,"7,6","0,5",,,,,,,,,,,,,,,,,,,,,,,,138 kj(33 kcal),,0,,"7,6",,0,,0,,,,,,,,,,,,,,,,,
420,Cuisse de poulet roti - Le Gaulois,0217637032216,['Le Gaulois'],,,['France'],[],[],?,168,10,0,19,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-12%,-19%,-100%,+3%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,703 kj(168 kcal),-12%,"2,6",-22%,0,-100%,"1,4",+84%,"0,56",+84%,5,+42%,C,+42%,,,,,,,,,,,,
421,Biscuits salé,8719497705627,,,,['France'],[],[],?,489,21,64,10,,,,,,,,,,,,,,,,,,,,,,,,2046 kj(489 kcal),,"1,6",,11,,"2,5",,1,,,,,,,,,,,,,,,,,
422,Choux farci,0214495033324,,,,['France'],[],[],?,186,13,"8,8","7,1",,,,,,,,,,,,,,,"['FR 15.004.002 CE', 'Andelat (Cantal, France)']",,,,,,,,,778 kj(186 kcal),,"4,7",,"1,4",,"1,8",,"0,72",,,,,,,,,,,,,,,,,
423,Crème Fraîche Normande,3265776103004,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sirop de citron - Dille & Kamille - 500ml,,['Dille & Kamille'],"['Commerce équitable', 'Bio', 'Fairtrade International']",,['France'],"['eau', 'sucre de canne*', 'jus de citron* ', '18,6%', 'verveine* ', '0,4%', 'acidifiant : acide citrique', "" \r* issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,153,"0,2","37,7",0,A,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,-27%,+61%,-28%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,640 kj(153 kcal),-28%,0,-100%,"36,9",-25%,0,-100%,0,-100%,,,,,500 ml,"['Bouteille', 'Verre']",,,3,,['E330 - Acide citrique'],,,,,
425,Noix de pecan caramelisés - 1kg,3236330008271,,['Point Vert'],,['France'],[],[],?,548,"35,4","50,3","4,6",,,,,,,,,,,,,,,,,,,,,,,,2293 kj(548 kcal),,4,,"49,8",,"0,1",,"0,04",,,,,,1 kg,,,,,,,,,,,
426,Risotto avrc cèoes - 200g,3462670001928,,,,['France'],[],[],?,188,"0,3","41,5","3,7",,,,,,,,,,,,,,,"['EMB 46309C', 'Souillac (Lot, France)']",,,,,,,,,787 kj(188 kcal),,"0,06",,"0,15",,"0,005",,"0,002",,,,,,200 g,,,,,,,,,,,
427,Escalope de dinde fermiere - Monoprix,0227578056080,['Monoprix'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Monoprix'],['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Carrefour - 200g,01941212,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
429,Poulet cuit fumé - 1.157kg,2209700004273,,,,['France'],[],[],?,191,12,"0,7",20,,,,,,,,,,,,,,,,,,,,,,,,799 kj(191 kcal),,"3,4",,"0,7",,"1,5",,"0,6",,,,,,1.157 kg,,,,,,,,,,,
430,Pain baguette parisienne,3434030062504,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Lomo au piment doux - Hiruak,2676319033398,['Hiruak'],,,['France'],"['viande de porc origine Espagne ', '95%', 'sel', 'ail', ""épices et extrait d'épices"", 'dextrose', 'sucre', 'antioxidant ', 'E316', 'conservateurs ', 'E250 et E252']","['Non végétalien', 'Non végétarien']",?,442,34,3,"20,2",,"['Viandes', 'Porc']",,+130%,+204%,+237%,+2%,,,,,,,,['ES 10.03651/LO CE'],34 g,en quantité élevée,4.3 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,1849 kj(442 kcal),+134%,"4,3",0%,1,+63%,2,+5%,"0,8",+5%,17,+53%,D,+53%,,,['Espagne'],,4,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,Longe de porc saumurée,
432,Nougat,3343001111922,,,,['France'],[],[],?,461,"17,4","66,5",9,,,,,,,,,,,,,,,,,,,,,,,,1929 kj(461 kcal),,"1,3",,"41,7",,"0,03",,"0,012",,,,,,,,,,,,,,,,,
433,Filets de poulet - Carrefour,0201937030171,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Confiserie drageifiees,2600507032474,,['Fabriqué en France'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Naturreis et mehrkorn,89300749,,,,['France'],[],[],?,180,"4,1",24,"5,7",,,,,,,,,,,,,,,,,,,,,,,,753 kj(180 kcal),,"0,6",,"0,6",,"0,38",,"0,152",,,,,,,,,,,,,,,,,
436,Bananes chips,2411973007749,,,,['France'],[],[],?,?,?,?,?,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",,,,,,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Fraise 400g - 400g,6110048033503,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,
438,Berlingots de pezenas,3593670000199,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Choco Chip Cookies,0041385100053,,,,['France'],[],[],?,500,"27,5",60,5,,,,,,,,,,,,,,,,,,,,,,,,2092 kj(500 kcal),,"12,5",,20,,0,,0,,,,,,,,,,,,,,,,,
440,Cordon bleu de volaille à poeler - 0.335kg,2616039018046,,,,['France'],[],[],?,261,17,14,12,D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",,+2%,+4%,-1%,-1%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,1092 kj(261 kcal),+2%,"4,5",+5%,"1,6",+7%,"1,29",-1%,"0,516",-1%,12,+5%,D,+5%,0.335 kg,,,,,,,,,,,
441,Yaourt myrtilles,3036858061716,,,,['France'],[],[],?,97,"2,7","14,3","3,6",,,,,,,,,,,,,,,,,,,,,,,,406 kj(97 kcal),,"1,7",,"13,3",,"0,15",,"0,06",,,,,,,,,,,,,,,,,
442,L'ovale chorizo poivrons grillés - Sodebo,3242272833758,['Sodebo'],"['Nutriscore', 'Nutriscore C']",,['France'],[],[],?,219,"8,1",27,"8,2",C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au chorizo']",,-9%,-16%,+2%,-19%,59.0%,18.5%,4.6%,5.4%,2.6%,9.9%,70,,8.1 g,en quantité modérée,3.8 g,en quantité modérée,3.2 g,en faible quantité,1.5 g,en quantité modérée,916 kj(219 kcal),-8%,"3,8",-12%,"3,2",-1%,"1,5",+9%,"0,6",+9%,11,+13%,D,+13%,,,,,,,,,,,,
443,Mini-kartoffel-knödel - Chef Select - 375g,10872733,['Chef Select'],,,['France'],[],[],?,123,"0,1","28,4","1,5",,,,,,,,,,,,,,,,,,,,,,,,515 kj(123 kcal),,"0,1",,"0,3",,"1,2",,"0,48",,,,,,375 g,,,,,,,,,,,
444,Fromage de brebis,2192776006725,,,,['France'],[],[],?,?,?,?,?,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,,,,,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,"['FR 28.346.003 CE', 'Saint-Lubin-de-Cravant (Eure-et-Loir, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Reblochon de Savoie,2233409002322,,,,['France'],[],[],?,332,"27,6","0,1","20,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+2%,+3%,-73%,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,27.6 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.19 g,en quantité modérée,1389 kj(332 kcal),+3%,"16,9",-10%,"0,1",-56%,"1,19",-11%,"0,476",-11%,14,-2%,D,-2%,,,,,,,,,,,,
446,Pure jus d'orange blonde,3760101491516,,"['Sans additifs', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,?,?,?,?,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Strawberry white hot chocolate - Whittard - 350g,5022032125136,['Whittard'],,,"['France', 'Allemagne']",[],[],?,45,"1,5","7,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,188 kj(45 kcal),,1,,"7,5",,0,,0,,,,,,350 g,['Carton'],,,,,,,,,,
448,Colorant alimentaire,3558820540109,,,,['France'],[],[],?,?,?,?,?,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Croissants beurre,0202115020991,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
