,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
76,Gouda Holland IGP -,2488620015686,['France'],[],[],?,372,1556 kj(372 kcal),"30,5","21,2",0,0,"23,4","1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",30.5 g,en quantité élevée,21.2 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,0%,+0%,0%,+3%,-100%,-100%,-3%,-5%,-5%,16,-5%,D,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['IGP'],,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,
77,Abricots amandes de corqe - 210g,3441260004907,['France'],[],[],?,236,987 kj(236 kcal),1,"0,1",55,55,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Point Vert']",,,210 g,,,,,,,,,,
78,6 chocolate filled crepes,3178530409543,['France'],[],[],?,478,2000 kj(478 kcal),22,"8,1",60,35,"6,1","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
79,Confit d'abricot au cumin et orange confite,3760031920728,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Huile d'olives, Ail et Thym",3330147900299,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Escalopes de poulet panées crues - Père Dodu,0227080028803,['France'],[],[],?,135,565 kj(135 kcal),"1,8","0,6","8,5","1,4",20,"1,1","0,44",D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",1.8 g,en faible quantité,0.6 g,en faible quantité,1.4 g,en faible quantité,1.1 g,en quantité modérée,,+2%,+3%,-33%,-18%,+143%,+159%,-8%,+151%,+151%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Nutriscore', 'Nutriscore A']",['Père Dodu'],,,,,,,,,,,,
82,Le Cinq Parfum - Spigol,3102870044270,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Spigol'],,,,,,,,,,,,
83,Tarte pomme,0202781038702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Crispy filet,4260312750017,['France'],[],[],?,196,820 kj(196 kcal),"8,2","0,7","13,5","0,5","16,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,
85,Choucroute d'Alsace,3760237750280,['France'],[],[],?,132.09,553 kj(132 kcal),"10,36","3,62","1,84","0,45","6,71","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Fricadelle - 40x 100g,5410341011507,['France'],[],[],?,988,4134 kj(988 kcal),18,"6,7","5,6","1,6",13,"2,1","0,84",,"['Viandes', 'Charcuteries', 'Fricadelles']",18 g,en quantité modérée,6.7 g,en quantité élevée,1.6 g,en faible quantité,2.1 g,en quantité élevée,,+343%,+347%,+26%,+49%,-36%,+55%,+5%,+0%,+0%,25,+69%,E,+69%,,,,,,,,,,,40 x 100 g,,,,,,,,,,
87,Dots au chocolat,0207173019024,['France'],[],[],?,456,1908 kj(456 kcal),31,16,33,12,"7,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Classic - Thorntons,5016346516889,['France'],[],[],?,520,2176 kj(520 kcal),31,20,52,46,"5,1","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thorntons'],,,,,,,,,,,,
89,2 tranches de coeur de veau,2411007019427,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Carpaccio de truffes d'été,3700900100028,['France'],[],[],?,273,1142 kj(273 kcal),"28,3","3,6","0,1","0,1","2,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Terrine de sanglier - Orocbat,3254637003638,['France'],[],[],?,302,1264 kj(302 kcal),27,10,1,1,15,"1,6","0,64",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",27 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,+0%,+1%,-52%,+62%,+7%,+1%,+1%,19,+5%,E,+5%,,,,,,,,,['Orocbat'],,,,,,,,,,,,
92,Mousse de foie forestière,2846154013323,['France'],[],[],?,333,1393 kj(333 kcal),"30,6","11,8","1,7","1,5","12,6","1,78","0,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Chocolat blanc ""white crisp"" - Hema - 180g",8718537033812,['France'],"['sucre', 'POUDRE DE LAIT ENTIER', 'beurre de cacao', '4,3 % farine de riz', '0,8% semoule de mais', 'émulsifiant LÉCITHINE DE SOJA', 'sel', 'arôme naturel de vanille', ' Peut contenir: GLUTEN', 'BLÉ', 'FRUITS À COQUE', ' Teneur en cacao du chocolat blanc au moins 24%']",['Non végétalien'],?,533,2230 kj(533 kcal),"29,3","17,6","60,7",56,"6,6","0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",29.3 g,en quantité élevée,17.6 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,,-6%,-6%,-19%,-19%,+14%,+11%,-1%,-22%,-22%,26,-3%,E,-3%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,['Fabriqué en Belgique'],['Hema'],,180 g,,,,['Soja'],4,,,,,
94,Cocoa,0013562110438,"['France', 'États-Unis']","['whole grain oats*', 'cane sugar*', 'whole grain corn meal*', 'white rice flour*', 'cocoa powder*â€ ', 'expeller-pressed sunflower oil*', 'honey*', 'malted barley flour*', 'tapioca syrup*', 'invert cane syrup*', 'calcium phosphate', 'molasses*', 'sea salt', 'baking soda', 'natural flavor', 'mixed tocopherols ', 'vitamin e', ' added to protect flavor', '*organic ingredientsâ€ fair trade certifiedâ„¢ by fair trade usa']",['Non végétalien'],?,389,1628 kj(389 kcal),"5,56",0,"80,56","30,56","8,33","0,798","0,319",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",5.56 g,en quantité modérée,0 g,en faible quantité,30.6 g,en quantité élevée,0.797 g,en quantité modérée,,+12%,+12%,-3%,-100%,+37%,+437%,-12%,+165%,+165%,8,+391%,C,+391%,,,,,,,,['Bio'],,,,,,"['E500ii - Carbonate acide de sodium', 'E306 - Extrait riche en tocophérols']",['Gluten'],4,GENERAL MILLS SALES INC.,,,,
95,Microdélices Apéro Tomate séchée au soleil 50 grillons - Micronutris,3770004621552,['France'],[],[],?,444,1858 kj(444 kcal),"21,5","7,85","2,7",0,"57,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Micronutris'],,,,,,,,,,,,
96,Pécharmant 2015,3760004065920,['France'],[],[],?,25,105 kj(25 kcal),5,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Miel de sapin,3770009276092,['France'],[],[],?,?,,?,,?,,?,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
98,Roquefort AOP,2250878019613,['France'],[],[],?,366,1531 kj(366 kcal),32,24,"0,5",0,19,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 12.203.036 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,,,,,,,,,
99,Southern pecan pie,0612781102202,"['France', 'États-Unis']","['Filling: Corn Syrup', 'Sugar', 'Pecans', 'Eggs', 'Margarine ', 'Hydrogenated Soybean Oil', 'Water', 'Salt', 'Mono - and Diglycerides', 'Soy Lecithin', 'Sodium Benzoate [A Preservative]', 'Citric Acid', 'Natural and Artificial Flavor', 'Calcium Disodium EDTA [Added To Protect Flavor]', 'Beta Carotene [Color]', 'Vitamin A Palmitate', 'Water', 'Salt', 'Caramel Color', 'Natural and Artificial Flavor', 'Crust: Enriched Wheat Flour ', 'Wheat Flour', 'Niacin', 'Reduced Iron', 'Thiamine Mononitrate', 'Riboflavin', 'Folic Acid', 'Soybean Oil', 'Hydrogenated Soybean Oil', 'Water', 'Dextrose', 'Salt', 'Sodium Metabisulfite', 'Contains: Tree Nut ', 'Pecan', 'Egg', 'Soy', 'Wheat', 'This Product Is Manufactured On Shared Equipment With Peanut Containing Products']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,460,1925 kj(460 kcal),"23,01","5,31","60,18","26,55","2,65","0,51","0,204",,"['Biscuits et gâteaux', 'Pâtisseries']",23 g,en quantité élevée,5.31 g,en quantité élevée,26.6 g,en quantité élevée,0.51 g,en quantité modérée,,+22%,+23%,+37%,-35%,+25%,-9%,-51%,+23%,+23%,16,-6%,D,-6%,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E160ai - Bêta-carotène', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Fruits à coque', 'Soja']",4,Conagra Brands,,,,
100,Nougat au sésame,1111111001455,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Jersey apple brandy cream - 75cl,5031431201006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,,
102,Ithaca cold crafted roasted red pepper,0853883006061,"['France', 'États-Unis']","['Chickpeas', 'water', 'roasted red peppers', 'organic sunflower oil', 'tahini', 'fresh lemon juice', 'vinegar', 'salt', 'cumin', 'fresh garlic', 'crushed red pepper']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,214,895 kj(214 kcal),"10,71",0,"21,43","3,57","7,14","0,848","0,339",,"['Epicerie', 'Sauces', 'Trempettes']",10.7 g,en quantité modérée,0 g,en faible quantité,3.57 g,en faible quantité,0.848 g,en quantité modérée,,+17%,+19%,-4%,-100%,+82%,-42%,+120%,-37%,-37%,-4,-151%,A,-151%,,,,,,,,,,,,,,,,3,ITHACA,,,,
103,Gauffre sucree,2079406025588,['France'],[],[],?,0,0 kj(0 kcal),15,15,50,45,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Point Vert', 'Fabriqué en Belgique']",,,,,,,,,,,,,
104,8436028965847,8436028965847,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Whole wheat loaf,0060383191054,['France'],[],[],?,238.09523809524,996 kj(238 kcal),"2,381","0,952","47,619","4,762","9,524","0,893","0,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PureThé Thé vert Aloe vera,3551740079360,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,6","4,6","0,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Baguetpte de campagne Auchan,5040100331852,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,['Auchan'],,,,,,,,,
108,Jamón serrano - Dulano,4056489163640,['France'],[],[],?,173,724 kj(173 kcal),5,"1,9",1,1,31,5,2,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",5 g,en quantité modérée,1.9 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,,-28%,-28%,-60%,-59%,+39%,+124%,+2%,+7%,+7%,13,-21%,D,-21%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,['Dulano'],,,,,,,,,,,,
109,Mélange à brownies - Betty Crocker,0065633074620,['France'],[],[],?,392.85714285714,1644 kj(392 kcal),"5,357","3,571","85,714","60,714","3,571","0,848","0,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Betty Crocker'],,,,,,,,,,,,
110,Lovare,4820097818038,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Double crème,0200715042641,['France'],[],[],?,423,1770 kj(423 kcal),45,27,"2,7","2,7","1,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Arachid wasabi boule,2600272016204,['France'],[],[],?,432,1807 kj(432 kcal),14,"4,2",64,20,11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Chocolat noisette façon pâte à tartiner - Nestlé,13603793,['France'],[],[],?,225,941 kj(225 kcal),11,"6,8",28,24,3,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
114,Pomme de terre,3723689582403,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Gingembre tranché,2600121016461,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Hope chocolate cashew & almond dip,0850643007313,"['France', 'États-Unis']","['water', 'cashew butter', 'roasted almonds', 'cane sugar*', 'sunflower oil*', 'cocoa powder*', 'agave nectar*', 'tapioca starch*', 'vanilla flavor*', 'sea salt', 'citric acid', 'xanthan gum,']",[],?,286,1197 kj(286 kcal),"21,43","3,57",25,"14,29","7,14","0,312","0,125",,"['Epicerie', 'Sauces', 'Trempettes']",21.4 g,en quantité élevée,3.57 g,en quantité modérée,14.3 g,en quantité élevée,0.312 g,en quantité modérée,,+56%,+59%,+91%,+108%,+112%,+131%,+120%,-77%,-77%,3,-61%,C,-61%,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E415 - Gomme xanthane']",,4,HOPE,,,,
117,Extrait de bouleau (xylitol),3700216248292,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Wodka Gorbatschow -,4003310013834,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Miel de Corse,3770004061044,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
120,Poulet fermier,2209330008054,['France'],[],[],?,156,653 kj(156 kcal),8,"2,2",0,0,21,"0,13","0,052",D,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",8 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.13 g,en faible quantité,,+12%,+13%,+29%,+36%,-100%,-100%,+2%,-19%,-19%,-2,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Label Rouge'],,,,,,,,,,,,,
121,Poivre noir et blanc,3760197502929,['France'],[],[],?,186,778 kj(186 kcal),"2,7","0,9","34,7","0,3","10,7","0,06","0,024",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs']",2.7 g,en faible quantité,0.9 g,en faible quantité,0.3 g,en faible quantité,0.06 g,en faible quantité,,+464%,+254%,+264%,+504%,+353%,+136%,+400%,+10%,+10%,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
122,Crème de rhum,3760159472000,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 97103L', 'Baie-Mahault (Guadeloupe, France)', 'EMB 97193']",,,,,,,,,,,
123,Ginseng - Nat & Form,3535400008983,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Nat & Form'],,,,,,,,,,,,
124,Milk peanut soup,4710873400277,['France'],[],[],?,153,640 kj(153 kcal),"8,6","1,9",14,10,5,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Popcorn with peanuts,0064144102358,"['France', 'États-Unis']","['Corn Syrup', 'Popcorn', 'Peanuts', 'Sugar', 'Brown Sugar', 'Butter', 'Canola Oil', 'Less than 2% of: Salt', 'Soybean Oil', 'Soy Lecithin', 'Sodium Bicarbonate', 'Citric Acid and TBHQ ', 'for freshness', ' CONTAINS: MILK', 'PEANUTS', 'SOY', ' MAY CONTAIN: TREE NUTS ', 'ALMONDS', 'CASHEWS', 'PECANS', 'WALNUTS']",['Non végétalien'],?,484,2025 kj(484 kcal),"16,13","3,23","77,42","41,94","6,45","1,29","0,516",,['Snacks'],16.1 g,en quantité modérée,3.23 g,en quantité modérée,41.9 g,en quantité élevée,1.29 g,en quantité modérée,,+8%,+8%,-23%,-64%,+38%,+39%,+3%,+145%,+145%,20,+12%,E,+12%,,,,,,,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E330 - Acide citrique', 'E319 - Butylhydroquinone tertiaire']","['Lait', 'Arachides', 'Soja']",3,Conagra Brands,,,,
126,Confiture de mangue passion,06723781,['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
127,Chocolate chip cookies - 150g,5400265037455,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,
128,Badiane entière -,3102870045581,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Boissons chaudes', 'Boissons à base de végétaux', 'Epices', 'Infusions', 'Étoiles de badiane']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,['Sachet en plastique'],,,,,,,,
129,Tata CTC Tea Premium JR,8901052010325,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Tang Powder Orange,7622210369864,['France'],[],[],?,49,205 kj(49 kcal),"0,1","0,1","11,5","11,5","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Buttermilk for golden - Wegmans - 32oz,0077890940822,"['France', 'États-Unis']","['Wheat flour', 'enriched wheat flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'malted barley flour', 'whole wheat flour', 'dextrose', 'whey', 'leavening ', 'monocalcium phosphate', 'baking soda', 'soybean oil', 'contains 2% or less of each: buttermilk', 'salt']",['Non végétalien'],?,364,1523 kj(364 kcal),"4,55",0,"69,09","7,27","9,09","2,455","0,982",,"['Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",,,,,,,,,,-2%,-2%,-56%,-100%,+17%,-76%,+52%,+295%,+295%,,,,,,,,,,,,,['Wegmans'],,32 oz,,,"['E341i - Phosphate monocalcique', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait']",4,"Wegmans Food Markets, Inc.",,,,
132,75C CHAMP PHILIP R NON DOSE BL,3370896100007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,lait cru fermier,3760107460011,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Rosemary,0011110018861,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Oranges,3661030123267,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Chocolate Therapy Ice Cream,0058779692018,['France'],[],[],?,254.11764705882,1063 kj(254 kcal),"14,118","7,529","29,176","23,529","4,706","0,188","0,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Sanitarium Skippy Cornflakes,9414942030505,['France'],[],[],?,370,1548 kj(370 kcal),"0,3","0,1","82,1","8,3","7,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Filets de haddock fumé,0240609061990,['France'],[],[],?,101,423 kj(101 kcal),"0,7","0,1",0,0,24,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
139,L'unique poire,3770005999834,['France'],[],[],?,148,619 kj(148 kcal),"0,5","0,1",35,35,"0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
140,Tomme de brebis corse,0247076035165,['France'],[],[],?,405,1695 kj(405 kcal),34,24,"1,5","0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Fromage de chèvre fermier lait cru entier,2865980031554,['France'],[],[],?,218,912 kj(218 kcal),"16,2","11,3","2,9",2,0,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Davet,8690120088761,['France'],[],[],?,481,2013 kj(481 kcal),"20,8","2,3","64,6","39,2","7,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Miel - 1kg,4214214215006,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,1 kg,,,,,,,,,,
144,Galette frangipane,2109999924729,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Pain epi 400g,0204008008468,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,La miellée du Soleil,3701263600149,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Morbidelle céréali e semi - 310g,8002234461055,['France'],[],[],?,115,481 kj(115 kcal),2,"0,4",18,"3,2","4,3","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310 g,,,,,,,,,,
148,Farine de blé,3770001588544,['France'],[],[],?,25,105 kj(25 kcal),0,0,0,0,35,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-93%,-93%,-100%,-100%,-100%,-100%,+221%,-100%,-100%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,
149,Noix du lot,3301221452423,['France'],[],[],?,655,2741 kj(655 kcal),"8,9","8,9","4,7",0,15,"0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",8.9 g,en quantité modérée,8.9 g,en quantité élevée,0 g,en faible quantité,0.01 g,en faible quantité,,+6%,+7%,-82%,+41%,-71%,-100%,-23%,-98%,-98%,16,+225%,D,+225%,,,,,,,,,,,,,,,,,,,,,
150,Muffins blancs - Épi d'Or - 250g,3564700430095,['France'],[],[],?,224,937 kj(224 kcal),"1,4","0,2",41,"6,5","10,5","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Épi d'Or"", 'Marque Repère']",,250 g,['Leclerc'],,,,,,,,,
151,Jasnière,3770001399201,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Whey,5999100017283,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Mimolette 1/2 vielle,0236789022241,['France'],[],[],?,364,1523 kj(364 kcal),26,10,"1,5","1,5",31,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
