,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
32,Liebig pur soupe Velouté de 10 Légumes 1+1,3036811364069,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['eau', 'légumes 42 % ', 'jus de tomates à base de concentré', 'carotte', 'pomme de terre', 'oignon', 'poireau', 'potiron', 'céleri', 'petit pois', 'navet', 'chou-fleur', 'lait écrémé reconstitué', 'amidon transformé de maïs', 'huile de colza', 'sucre', 'beurre de cuisine', 'sel', 'arôme', ' Peut contenir des traces de blé et œuf']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2.1 g,en faible quantité,0.7 g,en faible quantité,2.5 g,en faible quantité,0.75 g,en quantité modérée,?,,46,+18%,192 kj(46 kcal),+18%,"2,1",+36%,"0,7",+16%,"5,5",+16%,"2,5",+35%,"0,8",-6%,"0,75",+16%,"0,3",+16%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],['E14XX - Amidons modifiés'],['Céleri'],4,,,,,,,,,
33,Mouliné de 10 légumes - liebig - 1L,3036811364397,,,['France'],[],[],,,,,,,,,?,,27,,113 kj(27 kcal),,"0,7",,"0,4",,4,,"0,7",,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],,,,,1 L,"['Bio', 'Bio européen', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,
34,Soupe foretiere - Liebig,3036811365530,,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,1,,"0,6",,"4,2",,1,,"0,8",,"0,79",,"0,316",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
35,Velouté De Poireaux Pomme de terre à la crème fraiche - Liebig,3036811365677,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"2,4",,"0,6",,"4,9",,"1,1",,"0,8",,"0,69",,"0,276",,,,,,,,,,,,,,['Liebig'],,,,,,['Fabriqué en France'],,,,,,
36,Soupe Potager Malin Liebig Légumes Vermicellles 2x1L,3036811365721,,,['France'],"['eau', 'légumes 35% ', 'carotte', 'pomme de terre', 'jus de tomates à base de concentré', 'oignon', 'poireau', 'potiron', 'petits pois', 'celeri-rave', 'vermicelles cuits 8 % ', 'semoule de blé', 'blanc dtœuf', 'lait écrémé reconstitué', 'sucre', 'amidon transformé de maïs', 'huile de colza', 'sel', 'beurre de cuisine', 'arôme']",['Non végétalien'],,,,,,,,,?,,39,,163 kj(39 kcal),,"1,2",,"0,3",,"5,5",,2,,1,,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],['E14XX - Amidons modifiés'],['Céleri'],4,,,,,,,,,
37,Velouté de poireaux pommes de terre - Liebig,3036811365820,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"2,4",,"0,6",,"4,9",,"1,1",,"0,8",,"0,69",,"0,276",,,,,,,,,,,,,,['Liebig'],,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,
38,Delice potiron chateigne - Liebig,3036811365912,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,"0,8",,"0,4",,"5,5",,"2,3",,"0,7",,"0,76",,"0,304",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
39,Soupe courgettes et vache qui rit - Liebig,3036811365981,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes aux courgettes']",['France'],"['Eau', 'légumes 31% ', 'courgettes', 'pomme de terre', 'oignon', 'épinard', 'fromage fondu La vache qui rit ', 'lait écrémé reconstitué', 'fromages', 'beurre', 'sels de fonte : E452', 'E341', 'E330', 'E450', 'protéines de lait', 'amidon modifié de maïs', 'crème fraîche', 'sel', 'arômes ', 'contient lait']",['Non végétalien'],1.3 g,en faible quantité,0.8 g,en faible quantité,0.3 g,en faible quantité,0.72 g,en quantité modérée,?,,34,-11%,142 kj(34 kcal),-10%,"1,3",-36%,"0,8",+14%,"4,4",+50%,"0,3",-74%,"1,1",+30%,"0,72",+29%,"0,288",+29%,3,+46%,C,+46%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",['Lait'],4,,,,,,,,,
40,Potiron et vermicelles - Liebig,3036811365998,,,['France'],"['eau', 'légumes 30 % ', 'potiron 17 %', 'carotte', 'jus de tomates à base de concentré', 'pomme de terre', 'oignon', 'vermicelles cuits 8 % ', 'semoule de blé', ""blanc d'?uf"", 'amidon transformé de maïs', 'crème fraîche', 'sel', 'sucre', 'arômes ', 'contient lait', ' Peut contenir des traces de Céleri']",['Non végétalien'],,,,,,,,,?,,26,,109 kj(26 kcal),,"0,4",,"0,2",,"4,5",,"1,7",,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],['E14XX - Amidons modifiés'],['Lait'],4,,,,,,,,,
41,Velouté De Légumes Du Soleil - Liebig,3036811366018,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],[],[],1.7 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0.7 g,en quantité modérée,?,,38,-3%,159 kj(38 kcal),-2%,"1,7",+10%,"0,3",-50%,"4,2",-12%,"2,5",+35%,1,+17%,"0,7",+9%,"0,28",+9%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],,,,,,,,,,,,
42,Soupe Légumes et Vermicelles - Liebig,3036811366049,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['France'],[],[],1 g,en faible quantité,0.4 g,en faible quantité,1.4 g,en faible quantité,0.77 g,en quantité modérée,?,,33,-20%,138 kj(33 kcal),-20%,1,-42%,"0,4",-29%,"4,6",+0%,"1,4",-28%,"0,9",-3%,"0,77",+18%,"0,308",+18%,3,+111%,C,+111%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],,,,,,"['en:FSC', 'en:fsc-c020428', 'FSC Mix']",,,,,,
43,Velouté de legumes du soleil - Liebig,3036811366148,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],[],[],1.7 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0.73 g,en quantité modérée,?,,38,-3%,159 kj(38 kcal),-2%,"1,7",+10%,"0,3",-50%,"4,2",-12%,"2,5",+35%,1,+17%,"0,73",+13%,"0,292",+13%,3,+124%,C,+124%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],,,,,,,,,,,,
44,Mouliné de légumes printaniers - Liebig - 60cl (2* 30cl e),3036811366483,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['France'],"['Eau', 'légumes 38 % ', 'carotte', 'pomme de terre', 'navet', 'petits pois', 'asperge', 'oignon', 'épinards', 'crème', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'arômes ', 'contient lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.2 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.7 g,en quantité modérée,?,,36,-12%,151 kj(36 kcal),-12%,"1,2",-31%,"0,7",+25%,"4,7",+3%,"0,9",-54%,"0,9",-3%,"0,7",+7%,"0,28",+7%,2,+41%,B,+41%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Brique', 'Carton']",['Liebig'],['E14XX - Amidons modifiés'],['Lait'],4,,60 cl (2* 30 cl e),"['Point Vert', 'Fabriqué en France']",,,['France'],,,
45,Legumes et vermicelles - Liebig,3036811366612,,,['France'],"['eau', 'légumes 32 % ', 'carotte', 'pomme de terre', 'oignon', 'tus de tomates à base de concentré', 'ceEri-rave', 'poireau', 'petit pois', 'vermicelles cuits 8 % ', 'semoule de blé', ""blanc d'œufl"", 'amidon transformé de maïs', 'crème', 'sel', 'huile de colza', 'sucre', 'de cuisine', 'arômes ', 'contient lait', 'exhausteur de goût : E621']",['Non végétalien'],,,,,,,,,?,,32,,134 kj(32 kcal),,1,,"0,3",,"4,4",,"1,1",,"0,9",,"0,75",,"0,3",,,,,,,,,,,,,,['Liebig'],"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,
46,Velouté Potiron à la crème fraîche - Liebig,3036811366643,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']",['France'],"['eau', 'légumes 47 % ', 'potiron 35 0%', 'oignon', 'pomme de terre', 'carotte', 'jus de tomates à base de concentré', 'crème fraîche 1,7% amidon transformé de maïs', 'sel', 'sucre', 'beurre de cuisine', 'arômes ', 'contient lait', ' Peut contenir des traces de céleri', 'blé', ' oeuf']",['Non végétalien'],1.1 g,en faible quantité,0.6 g,en faible quantité,2.3 g,en faible quantité,0.72 g,en quantité modérée,?,,33,-8%,138 kj(33 kcal),-8%,"1,1",-25%,"0,6",-31%,"4,7",+3%,"2,3",+9%,"0,6",-13%,"0,72",+14%,"0,288",+14%,1,-47%,B,-47%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],,['Lait'],4,,,,,,,,,
47,Velouté de poireaux pommes de terre a la creme fraiche - Liebig,3036811366667,,,['France'],"['eau', ' pomme de terre 17%', ' potreau 16%', 'crème frcvche 37}', ' lait écrémé reconstitué', ' cm don transiormé de mois', ' tune de colza', ' e-utrcx! naturel dioignon', ' ep:nafd', ' sel', ' sucre', "" arômes Peut conten' des traces de cèleri"", 'œuf 100 mi pout grasses']",['Non végétalien'],,,,,,,,,?,,45,,188 kj(45 kcal),,"2,4",,"0,6",,"4,9",,"1,1",,"0,8",,"0,69",,"0,276",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
48,8 légumes à la crème fraîche - Liebig - 30cl,3036811366674,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['légumes 45% ', 'carotte', 'jus de tomates à base de concentré', 'pomme de terre', 'oignon', 'potiron', ' petit pois', 'céleri-rave', 'poireau', 'eau', 'crème fraiche 3,8%', 'beurre de cuisine', 'amidon transformé de mais', 'sucre', 'arômes ', 'contient : hit', 'sel', 'graisse de poule ', 'antioxydant : de romarin', 'jus concentré de citron']","['Non végétalien', 'Non végétarien']",3.5 g,en quantité modérée,2 g,en quantité modérée,2.8 g,en faible quantité,0.77 g,en quantité modérée,?,,60,+54%,251 kj(60 kcal),+54%,"3,5",+127%,2,+230%,"5,9",+24%,"2,8",+51%,"0,8",-6%,"0,77",+20%,"0,308",+20%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Brique aluminium-plastique'],['Liebig'],['E14XX - Amidons modifiés'],"['Céleri', 'Lait']",4,Velouté de légumes,30cl,,,,,,,
49,"Mouliné de Carottes, Poireaux, Pommes de Terre - Liebig",3036811366780,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,"1,5",,"0,9",,"3,6",,"1,1",,"0,8",,"0,71",,"0,284",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
50,Délice de champignons et Boursin® - Liebig - 1l,3036811367251,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Soupes', 'Veloutés', 'Veloutés de champignons']",['France'],"['eau', 'champignons de Paris 7,8%', 'lait écrémé reconstitué', 'pomme de terre', 'oignon', 'fromage Boursin® 3,1% ', 'lait', 'crème', 'ferments lactiques', 'ail et fines herbes 1,8%', 'sel', 'poivre', 'amidon transformé de maïs', 'crème fraîche', 'sel', 'arômes ', 'contient : lait', 'huile de tournesol oléïque', 'persil', 'lactose et protéines de lait', 'ail']",['Non végétalien'],1.9 g,en faible quantité,1.1 g,en faible quantité,0.6 g,en faible quantité,0.67 g,en quantité modérée,164,,?,,164 kj(39 kcal),-5%,"1,9",-5%,"1,1",+11%,"4,3",-1%,"0,6",-22%,1,-3%,"0,67",-5%,"0,268",-5%,-2,,A,,,,,,,,,['Brique'],['Liebig'],['E14XX - Amidons modifiés'],['Lait'],4,,1l,,,,['France'],,,
51,Soupe aux Légumes du Soleil et Basilic - Liebig,3036811460020,,,['France'],"['li Œebig Légumes 69% ', 'jus de tomates 43%', 'carotte', 'courgette', 'poivron', 'poireau', 'éleri-rave', 'oignon haricot vert', 'aubergine', 'eau', 'huile dolive vierg extra', 'sucre', 'basilic 0,6%', 'sel', 'extrait de levur< extrait naturels de thym et de poivre', ' Peut contenir des traces de lait', ' 250 ml', ' iodes A', 'f Vàieors nutritionnelles 100 ml']",[],,,,,,,,,?,,31,,130 kj(31 kcal),,"1,4",,"0,2",,"3,1",,"2,6",,1,,"0,72",,"0,288",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
52,Soupe poireaux/pomme de terre - Liebig,3036811460044,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,?,,"1,4",,?,,"0,2",,"1,1",,"0,67",,"0,268",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
53,Soupe potiron/noix muscade - Liebig,3036811460051,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,?,,"0,4",,?,,"2,4",,"0,9",,"0,69",,"0,276",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
54,Gaspacho Bio - Liebig,3036811460136,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],1.5 g,en faible quantité,0.3 g,en faible quantité,1.9 g,en faible quantité,0.68 g,en quantité modérée,?,,26,-37%,109 kj(26 kcal),-37%,"1,5",-39%,"0,3",-22%,"2,1",-38%,"1,9",-25%,"0,7",-11%,"0,68",+2%,"0,272",+2%,3,+152%,C,+152%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,['Liebig'],,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans colorants']",,,,,,
55,Soup’bistrot delice de 8 legumes - Liebig,3036811460204,,['Boissons'],['France'],"['eau', 'légumes 43% ', 'carotte', 'pomme de terre', 'navet', 'poireau', 'CELERI-RAVE', 'courgette', 'petit pois', 'brocoli', 'oignon', 'CRÈME fraîche 3%', 'amidon de riz', 'sel', 'persil', 'cerfeuil', 'extrait de levure', ' Peut contenir des traces de moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.1 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en quantité modérée,?,,32,-43%,134 kj(32 kcal),-44%,"1,1",+217%,"0,6",+408%,"3,9",-65%,"0,8",-92%,"1,1",+122%,"0,7",+1587%,"0,28",+1587%,6,-22%,D,-22%,,,,,,,,,['Liebig'],,"['Céleri', 'Lait']",3,,,,,,,,,
56,Soup' Bistrot tomate mascarpone - Liebig,3036811460228,,,['France'],"['eau', 'légumes 52% ', 'potiron 37%', 'carotte', 'pomme de terre', 'eau', 'crème fraîche 2%', 'amidon de riz', 'sel', 'extrait de levure', 'noix de muscade 0', '03%', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Liebig'],,['Lait'],,Soupe tomate mascarpone,,['Fabriqué en France'],,,,,,
57,Tabacso,3036811476106,,,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,"0,6",,"0,2",,"1,5",,"0,4",,"0,9",,"1,8",,"0,72",,,,,,,,,,,,,,['Tabacso'],,,,,,,,,,,,
58,Crème de légumes - Royco,3036812020674,,"['Plats préparés', 'Soupes']",['France'],[],[],3.3 g,en quantité modérée,1.8 g,en quantité modérée,1.1 g,en faible quantité,0.59 g,en quantité modérée,?,,68,+19%,285 kj(68 kcal),+20%,"3,3",+70%,"1,8",+198%,"8,6",+50%,"1,1",-36%,"1,1",-50%,"0,59",-32%,"0,236",-32%,3,+83%,C,+83%,,,,,,,,,['Royco'],,,,,,['Sans conservateurs'],,,,,,
59,Veloute Poireaux Pommes de Terre - Royco,3036812020933,,,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,"0,4",,"0,2",,"2,67",,"0,73",,"0,43",,,,,,,,,,,,,,,,,,['Royco'],,,,,,,,,,,,
60,Royco Minut soup champignons et mini pâtes,3036812100116,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,1,,"0,5",,8,,"0,5",,"0,9",,"0,7",,"0,28",,,,,,,,,,,,,,['Royco'],,,,,,,,,,,,
61,Bouillon Volaille et vermicelles - Royco,3036812100260,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,1",,"0,05",,4,,"0,3",,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,['Royco'],,,,,,,,,,,,
62,"Royco, Delice de legumes et croutons extra craquants, 25,4 g",3036812901195,,,['France'],"['INGRÉDIENTS DE LA SOUPE DÉSHYDRATÉE : Croûtons 27 % ', 'farine de blé', 'huile de palme', 'riz', 'sel', 'levure', 'antioxydant ', ' extrait de romarin', 'amidon de pomme de terre', 'sirop de glucose', 'huile de palme', 'sucre', 'légumes 6,3 96 ', 'carotte', 'oignon', 'potiron', 'poireau', 'tonnate', 'betterave', 'sel', 'arômes ', 'contient : lait', 'orge', 'beurre erl poudre', 'exhausteurs de goût ', 'chlorure de potassiunn', 'glutamate de sodiurn', 'arniclon de maïs', 'émulsifiant ', 'E472', 'lait écrérne curcuma', 'stabilisant ', 'E 340', 'acidifiant ', 'acide citrique', 'ail', 'persil', 'céleri« Peut contenir des traces de soja']",['Huile de palme'],,,,,,,,,?,,68,,285 kj(68 kcal),,"3,5",,"1,8",,"8,5",,"1,9",,"0,5",,"0,6",,"0,24",,,,,,,,,,,,,,['Royco'],"['E392 - Extrait de romarin', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E472 - Esters d'acides gras alimentaires"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Céleri', 'Gluten', 'Lait', 'Soja']",4,,,,,,,['Huile de palme'],,
63,950ML Sauce Bearnaise California Lesieur,3036813710062,D,"['Epicerie', 'Sauces', 'Sauces béarnaises']",['France'],[],[],32 g,en quantité élevée,2.6 g,en quantité modérée,4.1 g,en faible quantité,3.1 g,en quantité élevée,?,,322,-27%,1347 kj(322 kcal),-25%,32,-27%,"2,6",-54%,"8,4",+74%,"4,1",+72%,"1,1",-6%,"3,1",+91%,"1,24",+91%,16,-2%,D,-2%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,['Lesieur'],,,,,,,,,,,,
64,950ML Sauce Americaine California Lesieur,3036813710109,,,['France'],[],[],,,,,,,,,?,,331,,1385 kj(331 kcal),,31,,"2,5",,12,,"7,4",,1,,"3,3",,"1,32",,,,,,,,,,,,,,['Lesieur'],,,,,,,,,,,,
65,950ML Sauce Poivre Vert California Lesieur,3036813710123,B,"['Epicerie', 'Sauces', 'Sauces au poivre', 'Sauces au poivre vert']",['France'],[],[],31 g,en quantité élevée,2.5 g,en quantité modérée,8.4 g,en quantité modérée,3.3 g,en quantité élevée,?,,332,+72%,1389 kj(332 kcal),+58%,31,+135%,"2,5",-33%,12,-9%,"8,4",+202%,"0,7",-79%,"3,3",+22%,"1,32",+22%,17,+57%,D,+57%,40.2%,32.8%,11.0%,7.9%,4.7%,3.3%,90,,['Lesieur'],,,,,,,,,,,,
66,950ML Sauce Pomme Frite California Lesieur,3036813710130,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,31,,"2,4",,"16,8",,"11,1",,"1,5",,"2,6",,"1,04",,,,,,,,,,,,,,['Lesieur'],,,,,,,,,,,,
67,Gaspacho recette originale - Liebig,3036818250051,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"1,5",,"0,3",,"2,5",,"2,2",,"0,8",,"0,05",,"0,02",,,,,,,,,,,,,,['Liebig'],,,,,,"['Fabriqué en France', 'Sans colorants']",,,,,,
68,Gazpacho bio - Liebig,3036818250068,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],1.4 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0.66 g,en quantité modérée,?,,27,-34%,113 kj(27 kcal),-35%,"1,4",-43%,"0,3",-22%,"2,5",-26%,"2,4",-6%,"0,7",-11%,"0,66",-1%,"0,264",-1%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,['Liebig'],,,,,,"['Bio', 'Fabriqué en France']",,,,,,
69,Soupe froide - Liebig,3036818250099,,,['France'],[],[],,,,,,,,,?,,27,,113 kj(27 kcal),,"1,4",,"0,2",,"2,3",,"2,1",,"0,3",,"0,65",,"0,26",,,,,,,,,,,,,,['Liebig'],,,,,,"['Bio', 'Sans colorants']",,,,,,
70,Activia céréales,3037491275775,,,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,"3,7",,"2,2",,"13,4",,"12,5",,"3,9",,"0,13",,"0,052",,,,,,,,,,,,,,['Activia'],,,,,,,,,,,,
71,Activia Céréales - Danone,3037491275782,,,['France'],[],[],,,,,,,,,?,,108,,452 kj(108 kcal),,"3,4",,"2,2",,"14,5",,"13,5",,"3,8",,"0,13",,"0,052",,,,,,,,,,,,,,"['Danone', 'Activia']",,,,,,,,,,,,
72,367G Pilchard Hareng Tomate / Huile Vegetale -,3037640000036,B,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Harengs', 'Harengs en conserve']",['France'],[],[],11.7 g,en quantité modérée,3.1 g,en quantité modérée,0.9 g,en faible quantité,0.9 g,en quantité modérée,?,,163,-18%,682 kj(163 kcal),-18%,"11,7",-18%,"3,1",+6%,"0,9",-64%,"0,9",-50%,"13,4",-4%,"0,9",-47%,"0,36",-47%,3,-60%,C,-60%,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,,,,,,,,,,,,,,
73,Le lait concentré sucré -,3037745575095,B,"['Produits laitiers', 'Laits concentrés', 'Laits concentrés non sucrés', 'Laits concentrés sucrés', 'Laits entiers concentrés']",['France'],[],[],8 g,en quantité modérée,5 g,en quantité modérée,55 g,en quantité élevée,0.26 g,en faible quantité,?,,322,+26%,1347 kj(322 kcal),+30%,8,+3%,5,+0%,55,+48%,55,+49%,"7,5",+7%,"0,26",+7%,"0,104",+7%,19,+45%,E,+45%,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,,,,,,,,,,,,,
74,Dos de cabillaud,3037980062398,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",['France'],[],[],4.8 g,en quantité modérée,3.1 g,en quantité modérée,0 g,en faible quantité,1.25 g,en quantité modérée,?,,117,-51%,490 kj(117 kcal),-49%,"4,8",-74%,"3,1",+15%,"0,7",-79%,0,-100%,18,+48%,"1,25",+47%,"0,5",+47%,4,-18%,C,-18%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,
75,Les pâtes à compter ! - Panzani - 500g,3038350010407,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['France'],['100% semoule de blé dur de qualité supérieure'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2 g,en faible quantité,0.35 g,en faible quantité,3.7 g,en faible quantité,0.013 g,en faible quantité,1548,+3%,?,,1548 kj(370 kcal),+3%,2,0%,"0,35",-21%,72,+3%,"3,7",+19%,13,+4%,"0,013",-53%,"0,005",-53%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Sachet', 'Plastique']",['Panzani'],,['Gluten'],1,Pâtes alimentaires de qualité supérieure,500 g,['Qualité Or'],['Carrefour Market'],,,,,
76,Farfalle - Panzani - 500g,3038350013057,,,['France'],"['LISTE DES INGRÉDIENTS', ""' 100 % semoule de blé dur de qualité supérieure""]",[],,,,,,,,,?,,365,,1527 kj(365 kcal),,2,,"0,35",,72,,"3,7",,13,,"0,013",,"0,005",,,,,,,,,,,,,['Plastique'],['Panzani'],,,,,500 g,,,,,,,
77,Torti - Panzani,3038350013668,,,['France'],"[' Pour 1009 de pâtes sèches', ' DE SUPÉRIEURE i', ' LISTE DES INGRÉDIENTS 100% semoule de blé dur de qualité supérieure', ""Si le numéro de lot contient la lettre N : peut contenir de Mode de Préparation Plonger les pâtes 3 min dans de l'eau bouillante salée à votre convenance "", 'II pour 100g de pâtes', ' Si vous ailliez déqu«ter des pales plus fondant"" • laissez les cuire la 2 nrinutes supplenltvltaires 11,4 INDIQUI Appel non surtax depu s la France métropolitaine Poids net : 0970 809115 PANZANI -4', ""Boiteau - 69006 LYON 500ge N'oubliez pas de nous indiquer les références du pqoduit "", 'date de pétemption', 'lot de lubricatitm,code txjrrc', ',']",[],,,,,,,,,?,,365,,1527 kj(365 kcal),,2,,"0,35",,72,,"3,7",,13,,"0,013",,"0,005",,,,,,,,,,,,,,['Panzani'],,,,,,,,,,,,
