,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
50,Sweet carob  - Savvy - 340g,5060405630108,['France'],"['Sésame 53%', ' Sirop de caroube 44%', ' poudre de caroube 3%\r Sans sucre', 'sans gluten ', 'sans noix', 'sans lait', 'sans caféine', 'sans OGM']","['Végétalien', 'Végétarien']",?,456,1908 kj(456 kcal),"28,7","4,5","43,7","31,3","11,8","0,169","0,067",,['Savvy'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caroube']",,-13%,-12%,-11%,-44%,-13%,-28%,+90%,-7%,-7%,11,-46%,D,-46%,,,,,,,,,340g,['Bocal'],"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans sucre ajouté', 'Sans caféine', 'Sans OGM', 'Sans lait']",['Angleterre'],,['Graines de sésame'],,,28.7 g,en quantité élevée,4.5 g,en quantité modérée,31.3 g,en quantité élevée,0.169 g,en faible quantité,['Angleterre'],Pâte à tariner sesame spread,http://savvyfoods.co.uk/caroube-en-francais/ ,,
51,Organic Chocolate Carob Sesame Spread - Savvy,5060405630221,['France'],"['INGRED Tahini ', 'SeSame', ' 50%', 'Carob Syrup 47%', 'Cocoa Powder 30K For allergens', 'see ingredients in bold', ' No Added Sugar', 'Organic', 'Gluten free', 'nut free', 'dairy free', 'caffeine free', 'GMO free', 'V ôeatlivesavvy /livesavvy']",[],?,436,1824 kj(436 kcal),"25,8","4,193","46,46","33,8","10,7","0,15","0,06",,['Savvy'],,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans gluten', 'Sans sucre ajouté', 'Sans caféine', 'Sans OGM', 'Sans lait']",,,['Graines de sésame'],,,,,,,,,,,,,,,
52,Chocolat au lait le plus fin - Hardys,5060406190311,['France'],"['Sugar', 'Cocoa Butter', 'Cocoa Mass', 'Whole Milk Powder', 'Emutsifier: Soya Lecithin', 'Natural Vani!ta Flavouc CONTAINS COCOA SOLIDS 30% MINIMUM', ' Atlergy advice: Contains MILK & SOYA', ' MAY CONTAIN TRACES OF NIJTS']",['Non végétalien'],?,563,2356 kj(563 kcal),"36,2","26,9",50,50,7,"0,23","0,092",,['Hardys'],,,,,,,,,,,,,,,,,,,,,,,,,,['Pur beurre de cacao'],,,"['Lait', 'Soja']",,['E322i - Lécithine'],,,,,,,,,,,,,
53,Caramel & Sea Salt Fudge - Hardys - 150g,5060406197174,['France'],"['Sugar', 'glucose syrup', 'sweetened condensed milk ', 'whole milk', 'sugar', 'vegetable oil ', 'palm', 'butter ', 'milk', 'sea salt ', '0,5%', 'caramel flavouring', 'emulsifier : Soya lecithin\rSucre', 'sirop de glucose', 'lait concentré sucré ', 'lait entier', 'sucre', 'huile végétale ', 'palme', 'beurre', 'sel marin ', '0,5%', 'parfum caramel', 'émulsifiant : lécithine de soja']","['Huile de palme', 'Non végétalien']",?,426,1782 kj(426 kcal),"14,8","7,3","71,7","62,7","1,5","0,7","0,28",,['Hardys'],,,,,,,,,,,,,,,,,,,,,,,,150g,,,,,"['Lait', 'Soja', 'en:beurre', 'en:lait']",4,,,,,,,,,,,,https://www.hardyssweets.co.uk/,['Huile de palme'],
54,Pate de fruits apple & cherries,5060406197976,['France'],[],[],?,332,1389 kj(332 kcal),"0,09","0,01","75,75","75,75","7,2","0,01","0,004",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,+5%,+5%,-74%,-92%,-0%,+14%,+1009%,-92%,-92%,5,-40%,C,-40%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,0.09 g,en faible quantité,0.01 g,en faible quantité,75.8 g,en quantité élevée,0.01 g,en faible quantité,,,,,
55,Fair player - NutriTeam europe,5060410260000,['France'],"['Eau', ' Isolate deprotéine de Régulateur Alirhentaire de PH ', ' Acide Malique,Acide Arôme', 'Conservateurs ', ' Sorbate de Potassium,BenZ0ate Edulcorant ', ' Sucratose', 'Colorant ', 'Acide carminiqoe', ""' Do not exceed 2 bottles per day""]",[],?,?,,?,,?,,?,,,,['NutriTeam europe'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E296 - Acide malique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
56,Nosh Oats And Honey - Nosh Drinks,5060410480019,['France'],[],[],?,131,548 kj(131 kcal),?,"1,8",?,9,"3,5","0,05","0,02",,['Nosh Drinks'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Paleonola Pomme Cannelle 200G Super Foodies - 200g,5060411191716,"['France', 'Pays-Bas']","['Graines de tournesol* ', 'noix de coco* ', 'datte* ', 'noix de cajou* ', 'amandes* ', 'sucre de palme* ', 'pomme* ', '4', '0%', 'graines de chia* ', 'Salvia hispanica', ' ', '3', '870', 'oudre de lucuma* ', '1', '5%', 'poudre de cannelle* ', '1 001', ' *indique des sources organiques']","['Végétalien', 'Végétarien']",?,521,2180 kj(521 kcal),40,"13,4","36,6","19,5","12,8","0,05","0,02",,['Super Foodies'],,,,,,,,,,,,,,,,,,,,,,,,200 g,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE']",,['Ekoplaza'],['Fruits à coque'],,,,,,,,,,,,,,,
58,Cheesy peasy & onion - Taking the pea,5060411860001,['France'],"['petits POIS séchés 72%', 'amidon,huiles végétales ', 'palme,soja', ',sucre', 'assaisonnement ', 'fromage en poudre ', 'lait', ' 1%', 'ojgnon en poudre de levure,arômes', 'sel', ' Convient aux végans', ' Peut contenir du gluten ', ""blé des arachides,du sésames et d'autres fruits à coques""]","['Huile de palme', 'Végétalien', 'Végétarien']",?,360,1506 kj(360 kcal),7,2,61,10,14,1,"0,4",,['Taking the pea'],,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,"['Lait', 'Soja']",4,,,,,,,,,,,,,['Huile de palme'],
59,Taking the peas,5060411860018,['France'],[],[],?,363,1519 kj(363 kcal),7,3,60,11,15,1,"0,4",,['Taking The Peas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Wacky wasabi - Taking The Pea - 40g e,5060411860025,['France'],"['Petits pois 71%', 'amidon', 'huile de palme', 'huile de soja', 'épices', 'sel', 'sucre', 'poudre de wasabi 0,2%']","['Huile de palme', 'Végétalien', 'Végétarien']",?,349,1460 kj(349 kcal),7,3,57,5,15,2,"0,8",,['Taking The Pea'],"['Snacks', 'Snacks salés']",,-24%,-24%,-71%,-29%,+19%,+53%,+76%,+30%,+30%,10,-18%,C,-18%,,,,,,,,,40 g e,"['Sachet', 'Plastique']",,['United Kingdom'],['Noz'],['Soja'],3,,7 g,en quantité modérée,3 g,en quantité modérée,5 g,en quantité modérée,2 g,en quantité élevée,,,,['Huile de palme'],
61,Coated Crunchy Peas Smoked Ham Flavour - Taking the Pea - 40g e,5060411860032,['France'],"['Petits pois 71 %', 'amidon', 'huile de palme', 'huile de soja', 'épices', 'sel', 'sucre', 'sauce soja', 'extrait de levure', 'maltodextrine', ""poudre d'oignon"", ""poudre d'ail"", 'poivre noir', 'cannelle', 'colorants', 'extrait de paprika', 'sel']","['Huile de palme', 'Végétalien', 'Végétarien']",1461,?,1461 kj(349 kcal),7,3,56,11,15,1,"0,4",,['Taking the Pea'],"['Snacks', 'Snacks salés']",-25%,,-24%,-71%,-29%,+17%,+236%,+76%,-35%,-35%,7,-43%,C,-43%,,,,,,,,,40 g e,"['Sachet', 'Papier']",['Riche en fibres'],,['Noz'],['Soja'],4,['E160c - Extrait de paprika'],7 g,en quantité modérée,3 g,en quantité modérée,11 g,en quantité modérée,1 g,en quantité modérée,,Pois verts enrobés saveur jambon fumé,,['Huile de palme'],
62,Monty Bojangles Choccy Scoffy Truffles,5060413263152,['France'],[],[],?,597,2498 kj(597 kcal),"45,7","41,2","42,1","39,9","3,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,"['card-box', 'mixed plastic film-packet']",,,,,,,,,,,,,,,,,,,
63,Monty Bojangles - Scofflets - Maple & Hazelnuts Truffle Bites - 100G - Mapple & Hazelnut,5060413264821,['France'],"['VEGETABLE OILS ', 'coconut', 'Palm  kernel', ' SUGAR', 'FAT REDUCED COCOA POWDER', 'whey powder ', 'FROM milK', 'CARAMELIZED hazelnut chips ', '5%', ' ', 'HAZELNUTS SUGAR', 'cocoA POWDER', 'EMULSIFIER ', 'SOYA lecithin', 'flavoring']","['Huile de palme', 'Non végétalien']",?,597,2498 kj(597 kcal),"45,1","36,9",41,"39,1","4,5","0,1","0,04",,['Mapple & Hazelnut'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fruits à coque', 'Soja']",4,['E322i - Lécithine'],,,,,,,,,,,,,
64,BULK DEAL 12 X Protein Dynamix 20% OFF DynaBar Protein Bar,5060413671575,['France'],[],[],?,418,1749 kj(418 kcal),16,"9,3",39,24,31,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Yumm - Protein Crunchers,5060413677386,['France'],"['Milk Chocolate With Sweetener ', '60%', ' ', 'Sweetener ', 'Maltitol', 'Milk\rPowder', 'Cocoa Butter', 'Cocoa Paste', 'Whey Powder ', 'Milk', '\rEmulsifier ', 'Sunflower Lecithin', 'Whey Protein Crisps ', 'Milk', ' ', '20%', ' \r', 'Whey Protein Isolate ', 'Milk', 'Rice Flour', 'Emulsifier ', 'Soy Lecithin', '\rSoy Protein Concentrate ', '20%']",['Non végétalien'],?,99,414 kj(99 kcal),"4,7","2,9","9,4","1,45","6,2","0,1","0,04",,['Protein Crunchers'],,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Pur beurre de cacao']",,,"['Lait', 'Soja']",4,"['E965 - Maltitol', 'E322i - Lécithine']",,,,,,,,,,,,,
66,Yusgoi,5060413750133,['France'],[],[],?,419,1753 kj(419 kcal),14,"0,9","47,2","2,2","19,2","1,5","0,6",,['Yusgoi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Yushoi Snapea Rice Sticks Soy Balsamic Vinegar,5060413750171,['France'],[],[],?,417,1745 kj(417 kcal),"13,7","0,8","47,9","2,5","18,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Yushoi Snapea Seasonal Edition,5060413751048,['France'],"['0,50 Eur 4*76 EUR/KG BISCUITS AU CURRY ET PETITS POIS ngrédients : pois vers de 72 Ohlhuile', ' ùjlza,farine de poudre de 17ème ', 'lait', ' poudre dioiqllorllütrait de extrait X', 'urrrltodeytrine', 'séinate poudre ', 'pimentmrflintsel', 'de sodium ', ""lait] k origarlIP011 poudre daille,ktraits y Seasoning d'éplœsjarôïfles"", ' ,salt', ""Garder' dans url endroit trais et set de préférerie avaritle voir emballagei einate"", 'Milk', 'der', ""Spice Valeurs nutritiorfflelles pour 100g énergie 1740kl/ 415kaMlI rfjatières grasses 14z'g dont'fiddes gras saturés 1114 gfas rfi0110 insaturés ntdedaration"", ' addes glutides45 dont ewjrz [Salz', 'surs', ' lg fifres protÈiìes sell', '17g Maltodextrin', ',']",['Non végétalien'],?,415,1736 kj(415 kcal),"14,2","1,1","45,7","4,1","19,1","1,07","0,428",,['Yushoi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,,,,,,,,,,,
69,Sweet chili - So Good,5060413751413,['France'],"['farine de lentilles,farine de pois cilicheamid0Ìl de pom me de terre,huile de colza,fibres de mes de terrejpim ent doux ', ""sucrepxtrait de levure,épices de tom ates en poudre,extrait di de Citriquetpéudre dlailJ poudre d'oignon,arfbÌÌl es,coloraÌlt [extrait de paprika"", ' exlìausteur de goût IcllloFure de potassium I']",[],?,407,1703 kj(407 kcal),"10,2",1,60,"4,8","14,8","1,17","0,468",,['So Good'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['E160c - Extrait de paprika'],,,,,,,,,,,,,
70,Barbecue,5060413751673,['France'],[],[],?,433,1812 kj(433 kcal),"14,7","0,8",9,"2,6","18,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Organic coconut sugar,5060413821123,['France'],[],"['Végétalien', 'Végétarien']",?,379,1586 kj(379 kcal),0,0,"93,1","93,1","1,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,
72,Organic goji berries,5060413821161,['France'],[],[],?,340,1423 kj(340 kcal),"1,8","0,2","64,4","54,6","14,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5060414210117,5060414210117,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Coconut chips,5060415234365,['France'],[],[],?,655,2741 kj(655 kcal),"65,4","58,4","9,2","5,3","7,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Spoon Cereals Granola Peanut & Apple - Spoon Cereal,5060419540011,['France'],[],[],?,464,1941 kj(464 kcal),?,"5,3",?,21,"9,8","0,07","0,028",,['Spoon Cereal'],,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,
76,Spoon Cinnamon & Pecan Granola 400G - 400g,5060419540028,['France'],[],[],?,505,2113 kj(505 kcal),"26,8","8,6",53,12,"9,3","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,
77,Muesly,5060419540066,['France'],[],[],?,393,1644 kj(393 kcal),"9,7","1,4","59,9","1,8","11,5","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Nut clusters Hot & Spicy -,5060419890543,['France'],[],"['Végétalien', 'Végétarien']",?,1980,8300 kj(1980 kcal),153,"24,3","86,7","19,3","66,7","2,33","0,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,
79,Go-Go-Goji Berries - Real Handful - 40g,5060422870099,['France'],"['raisins jumbo ', '20%', ' [raisins', 'huile de tournesol]', 'chocolat noir ', '18%', '[sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme nturel de vanille]', 'baies de Goji ', '17%', '[baies de Goji', 'conservateur : dioxide de soufre] cacahuètes blanchies ', '17%', 'amandes ', '13%', 'graines de courges ', '12%']",[],2040,?,2040 kj(488 kcal),"27,5","5,75","41,2","35,5","15,5","0,25","0,1",,['Real Handful'],"['Snacks', 'Snacks sucrés']",+6%,,+9%,+35%,-42%,-28%,0%,+160%,-34%,-34%,13,-32%,D,-32%,,,,,,,,['G78976'],40 g,['Sachet'],,['Royaume-Uni'],['www.snackies.fr'],['Fruits à coque'],4,['E322i - Lécithine'],27.5 g,en quantité élevée,5.75 g,en quantité élevée,35.5 g,en quantité élevée,0.25 g,en faible quantité,,Mix de fruits secs et chocolat,http://www.realhandful.com,,
80,Real Handful Blueberry Blitz,5060422870112,['France'],"['Jumbo Raisins ', '30%', ' [Raisins', 'Oill', 'Cash"" I Nuts ', '25%', 'Blueberry Flavoured Sweetened Dried Cranberries ', '25%', ' I [Sugar', 'Cranberries', 'Natural Flavouring', 'Water', 'Sunflower AppleJu*ite I Infused Blueberries ', '20%', ' LBlueberries,Apple Juice Concentrate', 'I Sunflower Oille 1 I see ingredients in bold', ' Packed in afactTf I that handles peanuts', 'nuts and cereals containing gluten', 'Store in a cool dry place', ' Once opened store in an airtight container I and consume within 3 days ', 'if you can wait that long']",[],?,384,1607 kj(384 kcal),13,"2,4","58,3","50,3","5,8","0,08","0,032",,['Real Handful'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Fruits à coque']",4,,,,,,,,,,,,,,
81,REAL HANDFUL,5060422870150,['France'],[],[],?,425,1778 kj(425 kcal),21,"1,7",45,41,11,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino blast,5060424706365,['France'],[],"['Végétalien', 'Végétarien']",?,3,13 kj(3 kcal),0,0,0,0,"7,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,
83,Crunch Raspberry Lemon Cheesecake,5060424875559,['France'],[],[],?,379,1586 kj(379 kcal),17,"9,9",38,"3,2",31,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3Ganaches au chocolat et Caramel au sel de Guérande - Gü,5060425280307,['France'],"['3 GANACHES AU CHOCOLAT ET CARAMEL SALÉ INGRÉDENTS • Crème Oside ', '40 en', ' caramel au se! de Guérarde ', '27 %', ' ce gase-fructc:se', 'svcre', 'eau', 'lait rcentre sucré', 'crème', 'beurre', 'besrre see cara-e', 'Fsé', ' de Guérande', 'agent stabilisant ', 'pectine', 'chocolat nr ', '21 te', ' béte de cacao', 'sce', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja\\ nets ce vanY*', ' chocolat au lait ', '9 %', ' ', 'sucre', 'beurre de cacao', 'poutre de ia', 't enter', 'pâte de cacao', 'émulsifiant ', 'lécithine de soja', 'arôme va-&', 'de glucose', 'eau', 'conservateur ', 'sorbate de potassium']",['Non végétalien'],?,381,1594 kj(381 kcal),"26,5","15,9","31,6","30,1","3,2","0,4","0,16",,['Gü'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",4,"['E440 - Pectines', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
85,Chocolate & salted caramel cheesecakes - GÜ,5060425280314,['France'],[],[],?,395,1653 kj(395 kcal),?,"13,4",?,"3,6","3,6","0,6","0,24",,['GÜ'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Crème gourmande cassis - Gü,5060425280659,['France'],[],[],?,312,1305 kj(312 kcal),25,"15,6","21,2","17,1","1,1","0,03","0,012",,['Gü'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,,,,,,,,,,,
87,Gü Zesty Spanish Lemon Cheesecakes 2X79G - 2x 79g,5060425281410,['France'],"['Full fat soft cheese ', '23%', ' ', 'cream', 'water', 'milk protein powder', 'modified starch', 'culture', 'sea salt', 'preservative ', 'potassium sorbate', 'biscuit crumb ', 'wheatflour ', 'Wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'wholemeal flour ', 'wheat', 'vegetade 011 ', 'palm oil', 'rapeseed oil', 'sugar', 'invert sugar syrup', 'raising agents ', 'sodium ammonium bicarbonate', 'salt', 'whipping cream', 'sugar', 'pasteurised whcle egt demerara sugar', 'vegetable oil ', 'palm oil', 'rapeseed oil', 'lemon luice ', '50/ù unelted butter', 'cornflour', 'water', 'pasteurised egg yolk', 'lemon zest ', '0', '4%', 'modified starch', 'acidity regulator ', 'citric acid', 'preservative ', 'potassium sorbate', ' IMPORTANT INFORMATION 79g ramekin Allergens: see Ingredientslstinbold', ' 100g Manufactured on a site thathandles 1571 kJ 1241 kJ Suitable for vegetarians']","['Huile de palme', 'Non végétalien']",?,377,1577 kj(377 kcal),24,"13,1",35,22,"3,8","0,34","0,136",,['Gu'],,,,,,,,,,,,,,,,,,,,,,,,2 x 79 g,,,,,"['Gluten', 'Lait']",4,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E503ii - Carbonate acide d'ammonium"", 'E330 - Acide citrique']",,,,,,,,,,,,,
88,Pudd to share - Gü,5060425282721,['France'],"['CHOCOLATE GANACHE WITH A CARAMEL LAYER INGREDIENTS Whipping cream', 'Guérande salted caramel ', '27%', ' ', 'glucose-fructose syrup', 'sugar', 'water', 'sweetened condense&: milk', 'cream', 'butter', 'salted butter caramelised', 'Guérande salt', 'stabiliser ', 'pectin', 'dark chocolate ', '21%', ' ', 'cocoa mass', 'sugar', 'cocoa butter', 'emulsifier ', 'soya lecithin', 'natural vanilla flavouring', 'milk chocolate ', '9%', ' ', 'sugar', 'cocoa butter', 'whole milk powder', 'cocoa mass', 'emulsifier ', 'soya lecithin', 'natural vanilla flavouring', 'glucose syrup', 'water', 'preservative ', 'potassium sorbate', 'Allergens: see ingredients list in bold', ' Manufactured on a site that handles nuts', ' Suitable for vegetarians', 'Keep me chilled', 'OOC - 50C„ Dont freeze me', ' Eat me cold']","['Non végétalien', 'Végétarien']",?,381,1594 kj(381 kcal),"26,5","15,9","33,2","30,1","3,2","0,36","0,144",,['Gü'],,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Pur beurre de cacao', 'Au sel de Guérande']",,,"['Lait', 'Soja']",4,"['E440 - Pectines', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
89,4 souffles craquants au chocolat - Gü,5060425282905,['France'],[],[],?,456,1908 kj(456 kcal),"34,6","19,4","27,8","25,2","6,9","0,11","0,044",,['Gü'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5060425980214,5060425980214,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,
91,Chips De Coco Framboise - Inspiral,5060425980221,['France'],"['chips de noix de coco crues*', '44%', 'framboises* ', '40%', 'sucre dl nectar de Palmyre*', 'betterave*', 'baobab*', 'vanille*', ' *biologique ', '100%', ' Allergènes: peut contenir des traces de fruits à coque et moutarde Stockage']",[],?,596,2494 kj(596 kcal),"47,3","41,4",30,30,"5,8","0,13","0,052",,['Inspiral'],['Matières grasses'],,-26%,-26%,-47%,+82%,+13293%,+18419%,+3177%,-33%,-33%,10,-12%,C,-12%,,,,,,,,,,,['Bio'],,,['Fruits à coque'],2,,47.3 g,en quantité élevée,41.4 g,en quantité élevée,30 g,en quantité élevée,0.13 g,en faible quantité,,,,,
92,Chips De Coco Caramel Salé - Inspiral,5060425980689,['France'],"['Chips de noix de coco crues ', '80%', '*', 'sucre de coco*', 'sel de mer ', '2,5%', 'vanille en poudre*', "" \r *Issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,654,2736 kj(654 kcal),57,52,24,24,"6,5","2,09","0,836",,['Inspiral'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Chips de noix de coco séchée']",,+11%,+12%,+4%,+16%,+74%,+163%,+0%,+743%,+743%,18,+137%,D,+137%,,,,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,,3,,57 g,en quantité élevée,52 g,en quantité élevée,24 g,en quantité élevée,2.09 g,en quantité élevée,,Chips de noix de coco,,,
93,Bbq chipotle cabbage crips - Inspiral,5060425980702,['France'],"['savoy cabbage ', '77%', 'apple cider vinegar*', 'extra virgin olive oil*', 'deactivated nutritional yeast', 'smoked paprika ', '2', '9%', 'garlic powder*', 'coconut palm sugar*', 'sea salt', 'chipotle powder ', '0', '3%', 'black pepper* and nothing else! ', '*15% organic']","['Végétalien', 'Végétarien']",?,422,1766 kj(422 kcal),23,3,28,17,15,"2,5",1,,['Inspiral'],,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,
94,Raw millionaire bites -,5060426310195,['France'],"['Date Paste', 'Gluten Free Oat Flour', 'Organic Dark Chocolate ', 'Raw Cacao Mass', 'Coconut Sugar', 'Cacao Butter', 'Cocoa Solids 72%', 'Coconut Oil', 'Maple Syrup', 'Orange Zest ', '1%', 'Orange Oil', ' ALLERGY ADVICE: May']",[],?,340,1423 kj(340 kcal),"9,4","6,5","59,8","48,5","5,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans gluten'],,,,,,,,,,,,,,,,,,
95,Pomegranate - Exotica,5060426670213,['France'],[],[],?,53,222 kj(53 kcal),13,0,0,0,0,0,0,,['Exotica'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Dessert vegetal nature - The Coconut Collaborative,5060426810268,['France'],"['Lait de coco ', '50%', ' ', 'extrait de noix de coco', 'eau de coco', 'eau de coco ', '45%', 'amidon de maïs', 'amidon de pomme de terre', 'épaississant : pectines ', ' ferments lactiques sans lactose ', 'streptococcus thermophilus', 'lactobacillus bulgaricus', ' lactobacillus acidophilus', 'bifidobacterium']",[],?,131,548 kj(131 kcal),12,11,"5,8","2,5","1,2","0,05","0,02",,['The Coconut Collaborative'],,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,4,['E440 - Pectines'],,,,,,,,,,,,,
