,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
1598,Riz niçois duo de poivrons et pointe de basilic,0205973012214,['France'],[],[],?,156,"6,9",19,"4,1",,,653 kj(156 kcal),"0,6","0,7","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Farce à légumes,2450233038376,['France'],[],[],?,226,17,"1,9",16,"['Viande Française', 'Viande Porcine Française']",,946 kj(226 kcal),7,"0,9","1,9","0,76",,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée']",,+3%,+6%,-21%,+5%,,,,,,,,,,,17 g,en quantité modérée,7 g,en quantité élevée,0.9 g,en faible quantité,1.9 g,en quantité élevée,+4%,+11%,+21%,+58%,+58%,16,+38%,D,+38%,,,,,,,,,
1600,Jus de fruit,5010102241336,['France'],[],[],?,61,0,16,0,,,255 kj(61 kcal),0,14,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['card-box'],,,,,,,,
1601,Sel et epices,3663350045762,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Fondue au chocolat & crousty fruits,2012346906647,['France'],[],[],?,409,13,65,"6,8",,,1711 kj(409 kcal),7,42,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Naengmyon Asian Style noodle,0081652080190,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Tomates confites,2600218017784,['France'],[],[],?,141,"11,8",6,"3,2",,,590 kj(141 kcal),"1,5",6,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Crème de pois chiches à l'orientale,3025058000076,['France'],[],[],?,216,"15,2","12,3","5,6",,,904 kj(216 kcal),"1,05","0,3","1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Papilla Cereales Con Galleta María Baby Natur Hero 500 GR +,8410175049032,['France'],[],['Sans huile de palme'],?,382,"2,6",78,9,"['Sans sucre ajouté', 'en:palm-oil-free']",,1598 kj(382 kcal),1,23,"0,05","0,02",,,,,,,,,,,,,,,['Hero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Protifast En Cas Caramel,3401579908624,['France'],[],[],?,353,"0,9",7,"78,3",,,1477 kj(353 kcal),"0,4","1,7","1,62","0,648",,,,,,,,,,,,,,,['Protifast'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Moelleux choco decongele,3209870032471,['France'],[],[],?,450,27,44,"6,3",,,1883 kj(450 kcal),17,34,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Tome Blanche,0208185013123,['France'],[],[],?,327,27,1,20,,,1368 kj(327 kcal),19,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,SÁNDWICH SALMÓN WASABI - 170g,8422388996331,['France'],[],[],?,289,"16,6","24,4","9,6",,,1209 kj(289 kcal),"2,4","1,6","1,44","0,576",,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Mini Crackers Cheese and Pepper,0200030168446,['France'],[],[],?,345,14,47,"7,1",,,1443 kj(345 kcal),"1,7","0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Pâtes fraîches Italienne I BIGOLI - 500g,8000889200012,['France'],[],[],?,290,"3,8","52,5",10,,,1213 kj(290 kcal),"1,2","1,3","0,07","0,028",,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Plateau de mini Chevrot au lait cru - 2x 80g,3199240002732,['France'],[],[],?,292,24,18,18,,"['FR 79.061.001 CE', 'Celles-sur-Belle (Deux-Sèvres, France)']",1222 kj(292 kcal),24,"0,58","1,8","0,72",,,,,,,,,,,,,,,,2 x 80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Sancy glaces - 450ml 330g,0645760731414,['France'],"['Lait', 'dextrose', 'beurre ', 'lait', 'sucre', 'lait écrémé en poudre', 'sucre inverti', ""jaune d'oeuf"", 'extrait de vanille ', 'sucre', 'gousses de vanille de Madagascar', 'stabilisants: farine de grains de caroube et gomme guar']",['Non végétalien'],?,188,"7,9","25,2","3,9",,,787 kj(188 kcal),"4,4","22,9","0,14","0,056",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,-19%,-32%,-10%,+23%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Sancy Glaces'],450ml 330g,,7.9 g,en quantité modérée,4.4 g,en quantité modérée,22.9 g,en quantité élevée,0.14 g,en faible quantité,-19%,-42%,-2%,-7%,-7%,11,-18%,D,-18%,['Carton'],,"['Œufs', 'Lait']",4,,"['E410 - Gomme de caroube', 'E412 - Gomme de guar']",,,
1615,Olivade noire à la moutarde d'Orléans,3547130085462,['France'],[],[],?,220,22,"1,1","2,5",,,920 kj(220 kcal),"3,2",1,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2470526035820,2470526035820,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Fromage de chèvre au lait cru. - 80g,3561841100009,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Ribs de porc à la provençale,0210998039368,['France'],[],[],?,265,21,"1,4",18,"['Viande Française', 'Viande Porcine Française']","['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",1109 kj(265 kcal),"8,1","0,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Mélange cocktail rhum Mojito pomme - Quai Sud,3662051005518,['France'],[],[],?,350,"0,1",85,"0,4",,,1464 kj(350 kcal),0,84,"0,01","0,004",,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,La mémé,3760082240752,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Gaufres fourrées au sirop,8710565001177,['France'],[],[],?,424,16,66,"3,5",,,1774 kj(424 kcal),9,38,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Élixir du mont Ventoux,3365340000224,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Bavettes d'Aloyau - Charal,0292430053996,['France'],[],[],?,131,"5,7",0,20,"['Viande Française', 'Viande-bovine-francaise']",,548 kj(131 kcal),"2,2",0,"0,19","0,076",,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,0%,0%,-100%,0%,,,,,,,,['Charal'],,,5.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.19 g,en faible quantité,0%,0%,-100%,0%,0%,-2,,A,,,,,,,,,,
1624,Creatine monohydrate,5999100000056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Cookies cheesecake,8420878589988,['France'],[],[],?,366,25,30,"4,4",,,1531 kj(366 kcal),16,19,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Citrons givrés,3760068620554,['France'],[],[],?,92,0,21,"0,7",,,385 kj(92 kcal),0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Mozartkugeln,4305615235868,['France'],[],[],?,492,25,"57,5","6,9",,,2059 kj(492 kcal),"11,6","57,2","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,6 Cornets glacés café - Argel,3565270011486,['France'],[],[],?,262,11,39,"2,3",,,1096 kj(262 kcal),9,28,"0,13","0,052",,,,,,,,,,,,,,,['Argel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Picolo petit bâtonnet Kiwi - 1x 84g,3770008444584,['France'],[],[],?,123,"0,2","29,8","0,3",,,515 kj(123 kcal),"0,1","24,5","0,02","0,008",,,,,,,,,,,,,,,,1 x 84 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Yaourt Frucht auf Joghurt,4061458010214,['France'],[],[],?,92,3,"13,3","2,8",,,385 kj(92 kcal),"2,1","12,1","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Chocolat noir Fidji - Chapon,3297880030853,['France'],[],[],?,555,41,28,11,,,2322 kj(555 kcal),24,28,5,2,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,-0%,+4%,-27%,+44%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Chapon'],,,41 g,en quantité élevée,24 g,en quantité élevée,28 g,en quantité élevée,5 g,en quantité élevée,+0%,+4%,-12%,+10607%,+10607%,32,+51%,E,+51%,,,,,,,,,
1632,Perles argentés,3322219198116,['France'],[],[],?,397,0,98,"1,4",,,1661 kj(397 kcal),0,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Orzech Pickles Dill Cucumbers - 830g,5906013001018,['France'],[],[],?,17,"0,5",3,"0,5",['en:gluten-free'],,71 kj(17 kcal),"0,1","0,7","1,2","0,48",,,,,,,,,,,,,,,,830 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Baguette mie dinette oignons,2030509001022,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Confiture de pastèque,3760170960302,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Banyuls ambre,3253821310002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Protéines de soja gros morceaux,3329463101756,['France'],[],[],?,323,"7,5",14,50,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,1351 kj(323 kcal),"1,2","7,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Tosa ponzu,4902591018944,['France'],[],[],?,74,"0,3","15,1",3,,,310 kj(74 kcal),0,"0,8","8,9","3,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Maison Cailler,7610100450808,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Cailler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,artisan sweet cracknels - 200g,8710293041438,['France'],[],[],?,549,"27,9","64,9","8,5",,,2297 kj(549 kcal),"18,9","28,6","0,9","0,36",,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Tarte de montagne au citron,3583852398589,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Baguette Campagne,3760030630024,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Travers de porc,2418640050770,['France'],[],[],?,203,15,0,17,"['Viande Française', 'Viande Porcine Française']",,849 kj(203 kcal),"6,3",0,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Confiture de pommes caramélisées au beurre salé - 225g,3760192730891,['France'],[],[],?,236,"0,959","42,8","13,6",,,987 kj(236 kcal),"0,598","40,1","0,004","0,002",,,,,,,,,,,,,,,,225 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Crèm'Riz / griotte - gingembre,0634438824671,['France'],[],[],?,?,?,?,?,['Agriculture UE/Non UE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Pomme de terre de plouhinec,3760094660012,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Cocktail de fruits - Freshona,15197500,['France'],[],[],?,128,"0,1","14,8","0,3",,,536 kj(128 kcal),0,"13,2","0,01","0,004",,,,,,,,,,,,,,,['Freshona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Aubergine a la Thaïlandaise,3423990006550,['France'],[],[],?,121,"6,8",13,"0,9",,,506 kj(121 kcal),"1,1",12,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Coeur de chocolat - Motta,3700125801151,['France'],[],[],?,460,17,69,"4,2",,,1925 kj(460 kcal),11,63,"0,01","0,004",,,,,,,,,,,,,,,['Motta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Galettes,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Saucisson,2678236040732,['France'],[],[],?,407,33,"1,5",26,,,1703 kj(407 kcal),12,"0,9","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Saucisson sec de taureau,2702196002902,['France'],[],[],?,158,"10,5","0,1","15,7",,,661 kj(158 kcal),4,"0,1","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Chicken & Grilled Vegetables Focaccia - 170g,3700365098366,['France'],[],[],?,253,"11,1","27,3","9,8",,,1059 kj(253 kcal),"2,7","3,4","0,6","0,24",,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Cookies triple chocolat,0259046022969,['France'],[],[],?,480,25,57,"5,5",,,2008 kj(480 kcal),16,39,"0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Mélange peps,2600697032674,['France'],[],[],?,537,39,27,15,,,2247 kj(537 kcal),3,26,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Ontbijtkoek - Albert Heijn,8710400212003,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Frambozen,8718906822634,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Caresse antillaise,2291350442444,['France'],[],[],?,61,"1,6","9,6",0,,,255 kj(61 kcal),"1,4","9,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Macarrão Somen Beijing Jingdu Trigo,4996445000155,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Antep Fistikli Nar aromali lokum - 300g,8690504274711,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Colorant gel alimentaire,3700392471408,['France'],[],[],?,230,0,"56,6",0,,,962 kj(230 kcal),0,"49,2","1,75","0,7",,"['Additifs alimentaires', 'Colorants alimentaires']",,+191%,-100%,+368%,-100%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,49.2 g,en quantité élevée,1.75 g,en quantité élevée,+192%,-100%,+888%,+457%,+457%,,,,,,,,,,,,,
1662,Jambon cuit supérieur découenné dégraissé - 130g,3177340015241,['France'],[],[],?,114,3,"0,8",21,,"['EMB 87065', 'Feytiat (Haute-Vienne, France)']",477 kj(114 kcal),"1,1","0,7","1,9","0,76",,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Purée de pommes - 340g,3193840956648,['France'],[],[],?,?,?,?,?,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Jambon,2871621028142,['France'],[],[],?,468,3,1,20,,,1958 kj(468 kcal),"1,2","0,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Kit Valise 20 kg - Kits Haltères Fitness - Domyos,3583781315978,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Mentos Fresh Talk,89725795,['France'],[],[],?,182,0,73,0,,,761 kj(182 kcal),0,0,"0,05","0,02",,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,2 filets poulet fermier Loué,0217247041981,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Granola Blueberry - 360g,8681267006008,['France'],[],"['Végétalien', 'Végétarien']",?,431,"16,4","65,7","12,3","['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,1803 kj(431 kcal),"8,1","12,4","0,2","0,08",,,,,,,,,,,,,,,,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Aiguillettes plt cornflakes kg,0203730038835,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,12 mini viennoiseries,0205112019616,['France'],[],[],?,322,16,38,"5,7",,,1347 kj(322 kcal),10,11,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Bolognaise extra riche - Panzani,53980380,['France'],[],[],?,93,"4,7","6,6","5,7",['Sans conservateurs'],,389 kj(93 kcal),"1,3","4,8","1,2","0,48",,,,,,,,,,,,,,,['Panzani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,2 filets de poulet,2633792016607,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,"Smoothie de manzana, piña, mango y maracuyá natural - El Corte Inglés",8433329081191,['France'],[],[],?,48,"0,5",11,"0,5",,,201 kj(48 kcal),0,11,0,0,,,,,,,,,,,,,,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Gateaux crème vanille,0205523009190,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,G fuel Peach iced tea,0653341661913,"['France', 'Espagne']",[],[],?,25,0,0,0,,,105 kj(25 kcal),0,0,"0,079","0,032",,"['Boissons', 'Boissons énergisantes']",,-31%,-100%,-100%,-100%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.079 g,en faible quantité,-30%,-100%,-100%,-31%,-31%,4,-63%,C,-63%,,,,,,,,,
1676,Salade piémontaise,0207103029857,['France'],[],[],?,129,"9,3","9,2","1,1",,,540 kj(129 kcal),1,"0,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Kyoto Matcha - Arche,4020943135757,['France'],[],[],?,?,?,?,?,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,['Arche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Coulis cassis - 160g,19664361,['France'],[],[],?,154,"0,4","32,7","0,7",['Fabriqué en France'],,644 kj(154 kcal),"0,1","29,7",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de cassis']",,+15%,+17%,+7%,+7%,,,,,,,,,160 g,,0.4 g,en faible quantité,0.1 g,en faible quantité,29.7 g,en quantité élevée,0 g,en faible quantité,+14%,+129%,+2%,-100%,-100%,2,-52%,B,-52%,,,,,,,,,
1679,Preema pink food colour,5021507998077,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Sirop Saveur Lavande,3424096060064,['France'],[],[],?,250,"0,05",62,"0,2",,"['EMB 83129M', 'Six-Fours-les-Plages (Var, France)']",1046 kj(250 kcal),0,59,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Croustikao,3700774300807,['France'],[],['Sans huile de palme'],?,568,39,45,"6,1",['en:palm-oil-free'],,2377 kj(568 kcal),"7,2",41,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Wholemeal Digestive Biscuits,5011766999991,['France'],[],[],?,446,"19,5","61,6","5,9",,,1866 kj(446 kcal),"8,7","24,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Arôme de rose,3760034625347,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Torsade chocolat noir - 75g,3419280003910,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Peach Fizz,5060377261065,['France'],[],[],?,335,"0,1",81,"0,8",,,1402 kj(335 kcal),"0,09",58,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Camembert de Normandie - Fromages de France - 250g,3700179532049,['France'],[],[],?,268,20,"0,5",22,['AOP'],"['FR 14.608.001 CE', 'Saint-Loup-de-Fribois (Calvados, France)']",1121 kj(268 kcal),13,"0,5","1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages au lait cru', 'Camemberts au lait cru', 'Camemberts de Normandie']",,-4%,-7%,-3%,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Fromages de France', 'Lactalis']",250 g,,20 g,en quantité modérée,13 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,-3%,-10%,+49%,+6%,+6%,15,+1%,D,+1%,['Frais'],,,,,,,,
1687,Maple Syrup,0008577004698,"['France', 'États-Unis']",['Pure maple syrup'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,333,0,"88,33",0,,,1393 kj(333 kcal),,"88,33","0,02","0,008",,"['Édulcorants', 'Sirops', 'Sirops simples']",,+16%,-100%,+23%,-100%,,,,,,,,,,,0 g,en faible quantité,,,88.3 g,en quantité élevée,0.02 g,en faible quantité,+15%,,+37%,-66%,-66%,,,,,,,,3,,,,,Butternut Mountain Farm
1688,Olives noires,8436033876480,['France'],[],[],?,134,14,0,"0,5",,,561 kj(134 kcal),"2,2",0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Cotes de provence,3547105310001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,pains chocolat premier prix,0202778025913,['France'],[],[],?,476,25,53,"7,9",,,1992 kj(476 kcal),16,13,"0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Viande canard confite,3443705040747,['France'],[],[],?,298,21,"0,5",28,,,1247 kj(298 kcal),"6,5","0,4","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Carvery roast turkey - Morrisons,5010251848448,['France'],[],[],?,110,"1,2","1,2","23,4",,,460 kj(110 kcal),"0,4","1,2","1,33","0,532",,,,,,,,,,,,,,,['Morrisons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,rain bow,6006507002091,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Pain choco brioche ×4 -,2088120001471,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,pains au chocolat,
1695,Huile d'olive Sitia - 1l,5204719011844,['France'],[],[],?,828,92,0,0,,,3464 kj(828 kcal),13,0,0,0,,,,,,,,,,,,,,,,1 l,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Thé vert au jasmin,3419041130145,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Saucisses cocktail apéro - Stephan,3261830434930,['France'],[],[],?,273,25,1,11,"['Viande Française', 'Viande Porcine Française']",,1142 kj(273 kcal),11,"0,5","1,5","0,6",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']",,+10%,+16%,-39%,-7%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,['Stephan'],,,25 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,+10%,+38%,-32%,-21%,-21%,19,+7%,E,+7%,['Conserve'],,,,,,,,
1698,Pasta Chiocciole - 500g,8000755001736,['France'],[],[],?,349,"1,2",69,14,,,1460 kj(349 kcal),"0,2","2,5",0,0,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Antton chocolatier,3514962711111,['France'],[],[],?,586,45,31,"8,9",,,2452 kj(586 kcal),22,25,"0,01","0,004",,,,,,,,,,,,,,,['Antton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
