,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
44,Santé & Bien-être / Résistance Et Vitalité / Baies De Goji - Purasana,5400706000406,['France'],"['100% baies de goji* séchées ', 'Lybium barbarum', "" Les baies de goji séchées peuvent s'ajouter au yaourt"", 'aux céréales du petit déjeuner', 'aux milk-shakes ou manger directement', ' Conserver dans un endroit frais et sec', ""refermer l'emballage après chaque usage""]",[],?,343,1435 kj(343 kcal),"1,5","0,3",55,50,11,,,,,['Purasana'],,['Bio'],,,,,,,,,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,
45,Raw powder Spirulina - Purasana,5400706103381,['France'],[],"['Végétalien', 'Végétarien']",?,389,1628 kj(389 kcal),"6,9","3,3",17,0,66,D,,,,['Purasana'],"['Compléments alimentaires', 'Spiruline']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien']",,,,6.9 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+55%,+54%,+89%,+158%,+65%,-100%,+33%,1,-13%,"0,4",-13%,11,+125%,D,+125%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,
46,Boule De Noel Metal - Hamlet - 36g,54083523,['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactosérum en poudre', 'lécithine de soja', 'vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,516,2159 kj(516 kcal),27,17,61,60,"5,8",,,36 g,,['Hamlet'],,"['Agriculture durable', 'Point Vert', 'Fabriqué en Italie', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,4,,['E322i - Lécithine'],['Soja'],,,
47,Mix paques,54083691,['France'],[],[],?,539,2255 kj(539 kcal),30,20,61,60,"4,8",,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,
48,Tongerlo - 33cl,54085190,"['Belgique', 'France', 'Allemagne']","[""malt d'orge""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",220,53,220 kj(53 kcal),?,,?,,?,C,,33 cl,"['Verre', 'Bouteille', 'Verre consigné']",['Tongerlo'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières belges', 'Bières blondes']","['Déconseillé à certaines catégories de personnes', ""Bière belge d'Abbaye reconnue"", 'Point Vert', 'Déconseillé aux femmes enceintes', 'World-s-best-beers-2014']",,"['Brouwerij Haacht', 'Provincieweg 28', '3190', 'Boortmeerbeek', 'Belgique']",['Magasins U'],,,,,,,,,-11%,-7%,-11%,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,3,,,['Gluten'],,,
49,Pomme - Kidibul - 25cl,54096141,"['Belgique', 'France']","['jus de pomme à base de concentré', 'gaz carbonique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",172,41,172 kj(41 kcal),0,0,10,"9,5",0,C,,25 cl,['Canette'],"['Kidibul', 'Neobulles']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']",,,['Belgique'],['Delhaize'],0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,-8%,-7%,-7%,-100%,-100%,-5%,-6%,-100%,0,-100%,0,-100%,3,-22%,C,-22%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,4,,"['E290 - Dioxyde de carbone', 'E300 - Acide ascorbique']",,,,
50,Farine 6cereales - Soubry,5410028820705,"['Belgique', 'France']","['Farine de froment ', '70,4%', 'seigle ', 'II,8%', 'avoine ', '11,8%', 'mais ', '2%', 'orge ', '1,5%', 'épeautre ', 'I,5%', 'soja ', '1,5%', 'protéines de ble Aalt', 'enzymes', 'agent de traitement de la farine ', 'acide ascorbique L']",[],?,331,1385 kj(331 kcal),"2,5","0,1",64,2,"10,2",,,,,['Soubry'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"0,025",,"0,01",,,,,,,,,,,,,,,['E300 - Acide ascorbique'],"['Gluten', 'Avoine', 'Soja']",,,
51,Confiture de prunes - Materne - 450g,5410046000165,"['Belgique', 'France']",[],[],?,240,1004 kj(240 kcal),"0,5","0,1",58,55,"0,5",B,,450 g,['Bocal'],['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes']","['Sans colorants', 'Sans conservateurs']",,,['Delhaize'],0.5 g,en faible quantité,0.1 g,en faible quantité,55 g,en quantité élevée,0.01 g,en faible quantité,,+10%,+9%,+125%,+116%,+8%,+7%,+23%,"0,01",-58%,"0,004",-58%,11,+14%,D,+14%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
52,Enjoy fraise-rhubarbe - Materne - 310,5410046001766,"['Belgique', 'France']","['gé fiant', ' pectines', ""correcteurs d'acidité: acide citrique"", 'citratesde concentré', 'antioxydant acide ascorbique']",[],?,166,695 kj(166 kcal),"0,5","0,1",39,38,"0,5",D,,310,,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,['Delhaize'],0.5 g,en faible quantité,0.1 g,en faible quantité,38 g,en quantité élevée,0.02 g,en faible quantité,,-25%,-25%,+91%,+101%,-27%,-26%,-3%,"0,02",-14%,"0,008",-14%,8,-14%,C,-14%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,4,,"['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
53,Airelles sauvage - Materne,5410046018726,['France'],[],[],?,174,728 kj(174 kcal),"0,5","0,1",42,42,"0,5",B,,,,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,42 g,en quantité élevée,0.01 g,en faible quantité,,+160%,+161%,+53%,+18%,+188%,+216%,+20%,"0,01",+1%,"0,004",+1%,6,,C,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,
54,Sauce tartare - d&L - 125ml,5410056190276,['France'],"['Huile de colza', 'oignon 10 %', 'vinaigre', 'moutarde ', 'vinaigre', 'graines de moutarde', 'eau', 'sel', 'épices', ""jaune d'œuf"", 'dextrose', 'sel', 'amidon modifié', 'sucre', 'herbes et épices 0,3 %', 'arôme ', 'contient de la moutarde et du céleri', 'épaississants : gomme de guar et de xanthane', 'antioxydant : E385']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,497,2079 kj(497 kcal),"51,9",4,"5,8","4,3","1,2",B,,125 ml,"['Bocal', 'Verre']",['d&L'],"['Epicerie', 'Sauces', 'Sauces tartare']",,,,,51.9 g,en quantité élevée,4 g,en quantité modérée,4.3 g,en faible quantité,2.28 g,en quantité élevée,,-5%,-4%,-4%,-12%,+23%,+59%,+3%,"2,28",+27%,"0,912",+27%,19,+9%,E,+9%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,4,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Céleri', 'Œufs', 'Moutarde']",,,
55,Bubblizz Original - Lutti - 275g,5410057169110,['France'],"['Sirop de glucose-fructose', 'sucre', 'gélatine', 'acidifiants ', 'acide citrique', 'acide malique', ""correcteur d'acidité "", 'malate de sodium', 'colorants ', 'E120', 'E133', 'E170', 'arôme,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1400,329,1400 kj(329 kcal),0,0,"74,5","62,6","4,8",E,Confiserie gélifiée aromatisée,275 g,"['Sachet', 'Plastique']",['Lutti'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['en:gluten-free'],,,"['Leclerc', 'Cora', 'Carrefour express']",0 g,en faible quantité,0 g,en faible quantité,62.6 g,en quantité élevée,0.4 g,en quantité modérée,-3%,-4%,-3%,-100%,-100%,-7%,+9%,+30%,"0,4",+248%,"0,16",+248%,15,+6%,D,+6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E350i - Malate de sodium', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E170 - Carbonates de calcium']",,,,
56,Sirop d'Agave,5410063027077,['France'],[],"['Végétalien', 'Végétarien']",?,300,1255 kj(300 kcal),"0,1","0,1",75,75,"0,1",,,,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-001']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,75 g,en quantité élevée,0.1 g,en faible quantité,,-3%,-3%,-57%,+485%,-2%,+3%,+34%,"0,1",+103%,"0,04",+103%,13,+1%,D,+1%,,,,,,,,,,,,,,
57,Margarine vegetale de cuisine -,5410093917287,['France'],[],[],?,720,3012 kj(720 kcal),80,40,"0,3","0,3",0,C,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']",,,,,80 g,en quantité élevée,40 g,en quantité élevée,0.3 g,en faible quantité,0.83 g,en quantité modérée,,+41%,+42%,+42%,+147%,-26%,+24%,-100%,"0,83",+46%,"0,332",+46%,18,+55%,D,+55%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,,,,
58,Riz à la crème Vanille - BOSS - 400g,5410106080953,"['Belgique', 'France']","['Lait ', 'matières grasses 3,5%', 'riz ', '10%', 'saccharose', 'glucose', 'crème de lait ', '0,7%', 'arôme de vanille', 'colorant : bèta-carotène', ' Boost Nutrition c', 'v', ' - S Oostkaai 16-B-2170 Merksem ', 'Antwerpen', ' Sales@boost', 'be']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,124,519 kj(124 kcal),"3,2",2,"20,2","12,68","3,5",C,,400 g,['Boite'],['BOSS'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Spécialité laitière aromatisée sucrée non allégée en matières grasses']",,,,,3.2 g,en quantité modérée,2 g,en quantité modérée,12.7 g,en quantité élevée,0.1 g,en faible quantité,,+24%,+25%,+2%,+1%,+51%,+2%,-4%,"0,1",-12%,"0,04",-12%,2,-28%,B,-28%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,4,,['E160ai - Bêta-carotène'],['Lait'],,,
59,The original speculoos - Lotus,5410126266221,['France'],"['Farine de blé', 'sucre', 'huiles végétales ', 'huile de palme issue de plantations durables et certifiées', 'huile de colza', 'sirop de sucre candi', 'poudre à lever ', 'carbonate acide de sodium', 'farine de soja', 'sel', 'cannelle']",['Huile de palme'],?,484,2025 kj(484 kcal),19,"8,8","72,6","38,1","4,9",,,,,['Lotus'],,,,,,,,,,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],"['Gluten', 'Soja']",,['Huile de palme'],
60,Looza apple,5410188511512,['France'],[],[],?,40,167 kj(40 kcal),0,0,"9,5","9,1",0,,,,,['Looza'],,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
61,Topping - Dr. Oetker - 140g,5410231055123,['France'],"['Sucre', 'eau', 'huile vététale ', 'palme', 'colza', 'sirop de glucose', 'amidon modifié', 'arômes naturels ', 'contenant du LAIT', 'émulsifiant ', 'E435', 'conservateur ', 'E202', 'colorant ', 'carmine', ""correcteur d'acidité "", 'acide citrique']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,389,1628 kj(389 kcal),"6,2","2,4",83,81,0,,Topping Rose au goût vanille,140 g,"['Plastique', 'Poche', 'Doypack']",['Dr. Oetker'],"['Aides culinaires', 'Aides à la pâtisserie', 'Décorations alimentaires', 'Nappages']",,,,['Carrefour'],6.2 g,en quantité modérée,2.4 g,en quantité modérée,81 g,en quantité élevée,0.01 g,en faible quantité,,+40%,+36%,+139%,+70%,+32%,+60%,-100%,"0,01",-92%,"0,004",-92%,16,+20%,D,+20%,,,,,,,,4,,"['E14XX - Amidons modifiés', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E330 - Acide citrique']",['Lait'],https://www.oetker.be/be-fr/nos-produits/cupcakes/cupcake-topping-rose.html,['Huile de palme'],
62,Culinary Cream 20% Campina,5410281002627,['France'],[],[],?,212,887 kj(212 kcal),20,14,"5,1","3,7","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,
63,Mix Gratin 3 fromages,5410298052592,['France'],[],[],?,376,1573 kj(376 kcal),29,17,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,
64,Emmental - Dilea - 100g,5410298059829,"['Belgique', 'France']",[],[],?,386,1615 kj(386 kcal),30,"16,5",0,0,29,D,,100 g,['plastic bag'],['Dilea'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,,,['Delhaize'],30 g,en quantité élevée,16.5 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,,+3%,+4%,+4%,-16%,-100%,-100%,+6%,"0,7",-8%,"0,28",-8%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
65,Feta Zero Lactose - Dilea - 150g,5410298086627,"['Belgique', 'France']","['* Fromage Feta sans lactose A,O,P', 'Ingrédients: Lait de brebis pasteurisé ', '70% min,', 'lait de chèvre pasteurisé ', '30% max,', 'sel', 'ferments lactiques', 'présure', 'Lactosevrije feta kaas4 B,O,B', 'Ingrediënten: Gepas teuriseerde schapenmelk ', 'min', '70%', 'gepasteuriseerde gei - tenmelk ', 'max', '30%', 'zout', 'melk - fermenten', 'stremsel,']","['Non végétalien', 'Non végétarien']",?,276,1155 kj(276 kcal),23,17,7,"0,7","16,5",D,,150 g,,['Dilea'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages de brebis', 'Fetan']","['AOP', 'Sans lactose']",['Grèce'],,['Delhaize'],23 g,en quantité élevée,17 g,en quantité élevée,0.7 g,en faible quantité,2.25 g,en quantité élevée,,-2%,-2%,-2%,+10%,+788%,+117%,+2%,"2,25",-5%,"0,9",-5%,17,-1%,D,-1%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,['Lait'],,,
66,Café Moulu,5410456015216,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
67,Vegetop sucrée - Debic,5410488822189,['France'],[],[],?,341,1427 kj(341 kcal),31,24,15,15,2,,,,,['Debic'],,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
68,Limonade citron - Villers,5410499992130,['France'],"['Eau minérale naturelle gazéifiée', 'sucre', 'acidifiant: acide citrique', 'arôme naturel de citron avec autres arômes naturels', 'conservateur : benzoate de sodium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,32,134 kj(32 kcal),"0,5","0,5",8,8,"0,5",,,,,['Villers'],"['Boissons', 'Boissons avec sucre ajouté']",,,,,0.5 g,en faible quantité,0.5 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,,-62%,-64%,+33%,+201%,-60%,-56%,-7%,0,-100%,0,-100%,11,-8%,E,-8%,,,,,,,,4,,"['E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,
69,Gommes verte menthe - Red Band - 200gr,5410601375011,"['Belgique', 'France', 'Espagne']",[],[],?,389,1628 kj(389 kcal),0,0,92,49,0,E,,200gr,,['Red Band'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,,0 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,,+13%,+13%,-100%,-100%,+14%,-15%,-100%,0,-100%,0,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
70,Moutarde au miel - Bister - 250g,5410641100154,"['Belgique', 'France']",[],[],?,175,732 kj(175 kcal),"12,1","0,8","7,1","5,4","9,3",B,,250 g,"['Bocal', 'Verre']",['Bister'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",,,,,12.1 g,en quantité modérée,0.8 g,en faible quantité,5.4 g,en quantité modérée,2.1 g,en quantité élevée,,-19%,-18%,+20%,+10%,-59%,-63%,+65%,"2,1",-42%,"0,84",-42%,12,-15%,D,-15%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,
71,"2,5KG Riz Basmati Uncle Ben's",5410673727527,['France'],[],[],?,200,837 kj(200 kcal),"0,3",0,"29,2",0,"3,3",C,,,,"[""Uncle Ben's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en faible quantité,,-39%,-40%,-71%,-100%,-59%,-100%,-56%,"0,03",-16%,"0,012",-16%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
72,Bonpan sandwich,5410766013506,['France'],"['10x45g NI Ingrediënten: El gi!t', ' pli0tù3rdbe clie Rt ', ' G', '{322 ', ""E482• TAR',l/Ertcut - 620 !920"", ' < Kan sporen be:atten van: lupine', 'moster', ' notent sesam', 'soja en andere gluten bewttende granen', 'Ingrédmts•', ' Farine de BLÉ', 'Qu• OEUF• !ecre,• Iode', ""'i31m"", '?', ',• émulsifiants Ü22 {471', 'E482', ""farne BIÉ de la 920,' de arôme enzymz "", 'BLÉ', ' Peutontenird6 tra - ', 'd rnwtrde fruits à coque', 'sésame', 'soja et autres ', 'Üiald contermt gluten', ' 5 410766 013506 tot zie']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,353,1477 kj(353 kcal),"10,4","3,8","54,9","7,3","9,1",,,,,['Bonpan'],,,,,,,,,,,,,,,,,,,,,,"1,275",,"0,51",,,,,,,,,,,,,4,,"['E482 - Stéaroyl-2-lactylate de calcium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Graines de sésame', 'Soja']",,,
73,Amandes efillées biologiques,5410781300247,['France'],[],[],?,255,1067 kj(255 kcal),"52,3","4,2","10,1",4,"21,3",,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,
74,Sauce Thaï chili - Colona,5410803300682,['France'],"['Eau', 'sucre', 'vinaigre', 'purée de tomates ', '3', '35%', 'amidon modifié', 'arômes', 'sel', 'herbes et épices ', 'dont 0,2% de chili', 'acidifiant : acide citrique', 'conservateurs : E202 - E211', 'édulcorant : glucoside de steviol', 'colorant : extrait de paprika']",[],?,177,741 kj(177 kcal),"0,1",0,"43,6","40,8","0,3",,,,,['Colona'],,,,,,,,,,,,,,,,,,,,,,"1,175",,"0,47",,,,,,,,,,,,,4,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika']",,,,
75,Tomate ketchup - Colona,5410803510739,['France'],[],[],?,109,456 kj(109 kcal),"0,1","0,05",25,"23,9",20,,,,,['Colona'],,,,,,,,,,,,,,,,,,,,,,25,,10,,,,,,,,,,,,,,,,,,,
76,Bourgyburger,5410803520073,['France'],[],[],?,668,2795 kj(668 kcal),73,"5,6",4,"3,2","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",,"0,66",,,,,,,,,,,,,,,,,,,
77,Salade de Poulet - Chef Jérôme - 150g,5410920904114,['France'],"['Poulet 44 % ', 'poulet', 'eau', 'sel', 'sauce de couverture ', 'huile de colza', 'eau', ""jaune d'œuf de ferme "", 'sel', 'vinaigre', 'amidon modifié de maïs', 'moutarde ', 'vinaigre', 'graine de moutarde', 'sel', 'curcuma', 'sucre', 'sel', 'stabilisants ', 'E415', 'E412', ""extrait d'épices"", 'concentré de carottes', 'antioxydant ', 'E385', 'arôme', 'arôme naturel', 'acidifiants ', 'E262', 'E260', 'E270', 'conservateurs ', 'E202', 'E211']","['Non végétalien', 'Non végétarien']",1354,324,1354 kj(324 kcal),"28,89","2,7","4,27","1,26",12,,,150 g,"['Plastique', 'Barquette']",['Chef Jérôme'],"['Produits à tartiner', 'Produits à tartiner salés']",,,,,28.9 g,en quantité élevée,2.7 g,en quantité modérée,1.26 g,en faible quantité,0.975 g,en quantité modérée,+10%,+9%,+10%,+10%,-65%,+22%,-1%,+37%,"0,975",-26%,"0,39",-26%,5,-60%,C,-60%,,,,,,,,4,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E262 - Acétates de sodium', 'E260 - Acide acétique', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Moutarde']",,,
78,Orange Dressing,5410951071724,['France'],[],[],?,256,1071 kj(256 kcal),"15,5","1,8",28,"25,3",1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,33",,"0,532",,,,,,,,,,,,,,,,,,,
79,Creme Dessert Vanille - Alpro - 500g (4 * 125g e),5411188096764,['France'],"['eau', 'sucre', 'i feves de soja cecortlquees ', 'am:don modifie de tapioca', 'pecme', 'carraahenznes', 'phosphate tnaoque', 'aròme', 'sel mann', 'vitamines ', 'riboflavne ', '52', '?12,02', 'colorants ren m:nste tt / A ce preference avant te: Gemiddelde voedingswaardeNaleurs numoonet,ks moyennes per/pour 100 g: S i,:y cesses 99 g www,alproom - VerpaKt oncer']",[],?,85,356 kj(85 kcal),"1,9","0,4","13,6","10,7","3,2",C,,500 g (4 * 125 g e),"['Frais', 'Pot', 'Plastique']",['Alpro'],"['Produits laitiers', 'Desserts', 'Desserts végétaliens', 'Desserts lactés', 'Crèmes dessert', 'Desserts au soja', 'Dessert au soja aromatisé', 'Crèmes dessert rayon frais', 'Desserts de soja à la vanille', 'Crèmes dessert vanille']",,,,,1.9 g,en faible quantité,0.4 g,en faible quantité,10.7 g,en quantité modérée,0.15 g,en faible quantité,,-1%,-3%,+7%,+27%,-6%,+4%,+3%,"0,15",+11%,"0,06",+11%,2,+37%,B,+37%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,4,,,,,,
80,Légumes pour potage - verdi - 1000,5411348000228,['France'],"['F Ingrédients des différents mélanges de légumes en quantité minimum garantie: Légumes peur potage: cảrottes 28%', 'choux-fleurs 16 %', 'poireaux 15%', 'navets 9%', 'E garniture de céleri 4%', 'haricots coupés 4%', 'céleri rave 3%', 'petits pois 3%']",[],?,71,297 kj(71 kcal),"0,2","0,1","4,8","3,8","1,3",,,1000,['Plastique'],['Verdi'],['Legumes mélangés'],,['Belgique'],['Belgique'],['Auchan'],0.2 g,en faible quantité,0.1 g,en faible quantité,3.8 g,en faible quantité,0.12 g,en faible quantité,,,,,,,,,"0,12",,"0,048",,-1,,A,,,,,,,,,1,,,['Céleri'],,,
