,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
264,Crêpes de froment,0205856013413,B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",['France'],[],[],11 g,en quantité modérée,2.9 g,en quantité modérée,18 g,en quantité élevée,?,,301,+3%,1259 kj(301 kcal),+3%,11,+42%,"2,9",-0%,43,-8%,18,-12%,"7,9",+3%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,"0,56","0,224",0.56 g,en quantité modérée,-29%,-29%,6,-43%,C,-43%,,,,,,,,,,,,,
265,Mozzarella di bufalla campana,0205874085140,,,['France'],[],[],,,,,,,?,,262,,1096 kj(262 kcal),,23,,16,,"0,8",,0,,13,,,,,,,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,
266,Salade catalane -,0205881023425,B,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Plats à base de riz', 'Salades au thon', 'Salades de riz', 'Salades catalanes']",['France'],[],[],12 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,?,,180,+42%,753 kj(180 kcal),+43%,12,+82%,"0,9",+48%,11,+55%,0,-100%,"6,6",-21%,57.3%,16.5%,9.1%,11.3%,4.6%,1.2%,90,,1,"0,4",1 g,en quantité modérée,+14%,+14%,2,,B,,,,,,,,,,,,,,
267,Pate a pain sans gluten,0205904009450,,,['France'],[],[],,,,,,,?,,639,,2674 kj(639 kcal),,"4,1",,"0,7",,"30,4",,"1,4",,"3,8",,,,,,,,,,"1,21","0,484",,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
268,Cordon bleu - U,0205904023166,D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['France'],"['Viande blanche de dinde traitée \ren salaison 55% ', 'viande de dinde 57%', 'peau de volaille', '\reau', 'fibres végétales', 'dextrose', 'sel', ' Panure et chapelure 25% ', 'farine de BLE ', 'GLUTEN', ' sel', 'levures', 'épices \rnaturelle: curcuma', 'paprika', 'huile de tournesol', ' Jambon \rde dinegoût fumé 10% ', 'viande rouge de dinde 79%', 'eau', '\rdextrose', 'fibres végétales', 'sel', 'arôme fumé', 'protéines \rde soja', 'conservateur: E250', ' fromage \rfondu 10% ', 'fromage', 'beurre', 'eau', 'matière grasse laitière \rprotéines de LAIT', 'poudre de LAIT écrémé', 'sels de \rfonte: E452', 'E450', 'E331', 'E341ii', 'E339ii', 'poudre de \rlactosérum', 'sel', 'épaississants :E407', 'amidon modifié \rde pomme de terre', 'acidifiants E330', ' \rORIGINE FRANCE']","['Non végétalien', 'Non végétarien']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,?,,10,-95%,42 kj(10 kcal),-95%,1,-92%,1,-69%,1,-93%,1,-37%,3,-77%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,['U'],1,"0,4",1 g,en quantité modérée,-23%,-23%,3,-58%,C,-58%,,,,,,['Magasins U'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E341ii - Phosphate dicalcique', 'E339ii - Phosphate disodique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Gluten', 'Lait']",4,,,,
269,Frangipane - Leclerc,0205910051825,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],"['Pâtes ', 'farine de blé']",['Sans huile de palme'],25 g,en quantité élevée,14 g,en quantité élevée,6.9 g,en quantité modérée,?,,373,-12%,1561 kj(373 kcal),-11%,25,-5%,14,-5%,29,-25%,"6,9",-47%,6,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,['Leclerc'],"0,57","0,228",0.57 g,en quantité modérée,-18%,-18%,17,-11%,D,-11%,,,,,,,,['Gluten'],1,,,,
270,Pâté en Croûte de Volaille - Carrefour - 130g,0205919010694,D,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Pâté en croûte']",['France'],"['Farine de blé', 'viande de porc 16,6 %', 'filet de poulet 16,3 %', 'beurre', 'gelée ', 'eau', 'vin blanc', 'gélatine de porc', 'sel', 'Madère', 'céleri carotte', 'oignon', 'échalote', 'ail', 'thym', 'laurier', 'persil', 'conservateur : nitrite de sodium', 'arôme naturel de volaille', 'eau', 'foie de poulet 5,2 %', 'Madère', 'gras de porc', 'sel', 'œuf entier', ""jaune d_'œuf_"", 'graisse de canard', 'lait', 'épices et plantes aromatiques', 'échalote', 'persil', 'poivre', 'oignon', 'muscade', 'ail', 'cannelle', 'girofle', 'crème ', 'crème', 'ferments lactiques ', 'trompette de la mort', 'vin blanc', 'sirop de glucose', 'Brandy', 'sucre', 'colorant : caroténoïdes', 'antioxydants : ascorbate de sodium et acide ascorbique', 'sucre vanillé ', 'sucre', 'extrait de vanille', 'amidon de maïs', 'conservateur : nitrite de sodium', "" Ce produit est composé d'environ 40 % de pâte et de 52 % de farce""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",16 g,en quantité modérée,8.9 g,en quantité élevée,1.4 g,en faible quantité,1099,-11%,?,,1099 kj(263 kcal),-10%,16,-13%,"8,9",+13%,18,-12%,"1,4",+27%,11,+3%,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,['Carrefour'],"1,6","0,64",1.6 g,en quantité élevée,-5%,-5%,18,+5%,D,+5%,130 g,"['Frais', 'Plastique']","['Viande-francaise', 'Viande-porcine-francaise', 'Volaille-francaise']",['France'],['France'],['Carrefour'],"['E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']","['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,,,
271,Pate en croute de volaille - Carrefour,0205919012537,,,['France'],[],[],,,,,,,?,,263,,1100 kj(263 kcal),,16,,"8,9",,18,,"1,4",,11,,,,,,,,,['Carrefour'],"1,6","0,64",,,,,,,,,,,['Fabriqué en France'],,,['Carrefour'],,,,"['EMB 39173A', 'Cousance (Jura, France)']",,,
272,"Emmental president - Leclerc - 0,170kg",0205920014896,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,?,,369,-2%,1544 kj(369 kcal),-2%,29,-1%,21,+7%,"0,5",-25%,"0,5",+21%,27,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Leclerc'],"0,6","0,24",0.6 g,en quantité modérée,-8%,-8%,11,-4%,D,-4%,"0,170 kg",,,,,,,,,,,,
273,Beignet chocolat noisette - Leclerc,0205924013789,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],"['Farine de blé ', 'gluten', ' - Huiles végétales ', 'colza', 'tournesol', "" - Sucre - œufs - Eau - Cacao maigre en poudre 1,5% - levure - Jaunes d'œufs - Lactosérum en poudre "", 'lait', ' - Lactose ', 'lait', ' - Emulsifiants : E471', 'E472', 'lécithines de tournesol - Sel - Gluten de blé - Noisettes 0,5% - Arômes naturels - Colorant : caroténoïdes', ' Contient : gluten', 'œufs', 'fruits à coque', 'lait', ' Ce produit a pu être en contact avec : arachides', 'soja']","['Sans huile de palme', 'Non végétalien']",18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,?,,385,+8%,1611 kj(385 kcal),+8%,18,+14%,2,-42%,47,+4%,19,+17%,"6,5",+3%,,,,,,,,['Leclerc'],"0,71","0,284",0.71 g,en quantité modérée,-4%,-4%,12,0%,D,0%,,,['en:palm-oil-free'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472 - Esters d'acides gras alimentaires"", 'E322i - Lécithine', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,
274,1/2 viennoise x 4 choc,0205929011810,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Doony's chocolat,0205941020999,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],28 g,en quantité élevée,13 g,en quantité élevée,16 g,en quantité élevée,?,,441,+8%,1845 kj(441 kcal),+8%,28,+23%,13,+23%,41,-8%,16,-5%,"6,7",+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,"1,6","0,64",1.6 g,en quantité élevée,+68%,+68%,25,+28%,E,+28%,,,,,,,,,,,,,
276,Clusters,0205944015114,,,['France'],[],[],,,,,,,?,,426,,1782 kj(426 kcal),,"12,4",,"3,3",,"66,7",,"23,9",,"7,9",,,,,,,,,,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,
277,Chips de légumes -,0205949024012,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",['France'],[],[],13 g,en quantité modérée,6.4 g,en quantité élevée,14 g,en quantité élevée,?,,301,-41%,1259 kj(301 kcal),-41%,13,-56%,"6,4",+107%,34,-37%,14,+496%,"5,3",-7%,,,,,,,,,"0,7","0,28",0.7 g,en quantité modérée,-47%,-47%,15,+28%,D,+28%,,,,,,,,,,,,,
278,Perle de lait caramek fleur de sel,0205950010837,,,['France'],[],[],,,,,,,?,,141,,590 kj(141 kcal),,"7,8",,"5,2",,"14,4",,"12,1",,"2,5",,,,,,,,,,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,
279,Merguez orientale pour mouton,0205953025456,,,['France'],[],[],,,,,,,?,,354,,1481 kj(354 kcal),,34,,17,,"1,7",,"1,7",,11,,,,,,,,,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,
280,Petit pot de yaourt aux amandes,0205954009462,,,['France'],[],[],,,,,,,?,,142,,594 kj(142 kcal),,7,,"3,7",,17,,16,,"2,8",,,,,,,,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,
281,0205959067306,0205959067306,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Pains au lait,0205968003227,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",['France'],[],[],9 g,en quantité modérée,4.4 g,en quantité modérée,14 g,en quantité élevée,?,,347,-1%,1452 kj(347 kcal),-1%,9,-21%,"4,4",+5%,58,+10%,14,+5%,"7,6",-11%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,"0,82","0,328",0.82 g,en quantité modérée,-20%,-20%,14,+5%,D,+5%,,,,,,,,,,,,,
283,Sablés aux pépites de chocolat - U,0205969009853,,,['France'],"['Farine de blé ', 'France', ' 41,5%', 'beurre 20,7% sucre', 'pépites de chocolat 13,8% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel vanille', ""jaune d'œufs"", 'œufs', 'sel', 'poudre à lever : diphosphates et carbonates de sodium,alfiidondeblé', ' Certains ingrédients de ce produit ne proviennent pas de France']",['Non végétalien'],,,,,,,?,,433,,1812 kj(433 kcal),,19,,13,,57,,23,,"6,7",,,,,,,,,['U'],1,"0,4",,,,,,,,,,,['Certains ingrédients ne proviennent pas de France'],,,['Magasins U'],"['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait']",4,,,,
284,Croissant au beurre,0205969022630,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],20 g,en quantité modérée,13 g,en quantité élevée,8.1 g,en quantité modérée,?,,367,-4%,1536 kj(367 kcal),-5%,20,-8%,13,-8%,38,-7%,"8,1",+15%,8,+7%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,1,"0,4",1 g,en quantité modérée,+1%,+1%,19,+2%,E,+2%,,,,,,,,,,,,,
285,Bruschetta mexicaine,0205972024270,,,['France'],[],[],,,,,,,?,,249,,1042 kj(249 kcal),,14,,"6,7",,18,,"3,9",,12,,,,,,,,,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,
286,Foie gras canard entier sud est - Montfort,0205973163992,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entier du Sud-Ouest']",['France'],"['Foie gras de canard', 'sel', 'Armagnac', 'Porto', 'poivre', 'sucre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",54 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en faible quantité,?,,528,-0%,2209 kj(528 kcal),-0%,54,-1%,23,-0%,"2,7",+12%,"0,9",-33%,"7,6",+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Montfort'],"1,2","0,48",1.2 g,en quantité modérée,+0%,+0%,21,+1%,E,+1%,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,,,
287,Émincés de thon albacore,0205989016473,D,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",['France'],[],[],0.4 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,?,,106,-15%,444 kj(106 kcal),-14%,"0,4",-81%,"0,3",-45%,"0,5",+223%,"0,3",+194%,25,0%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,3,"1,2",3 g,en quantité élevée,+209%,+209%,11,+2685%,D,+2685%,,,,,,,,,,,,,
288,Tarte au maroilles,0205990032738,D,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles']",['France'],[],[],27 g,en quantité élevée,17.5 g,en quantité élevée,1.1 g,en faible quantité,?,,376,+27%,1573 kj(376 kcal),+27%,27,+55%,"17,5",+55%,19,-8%,"1,1",-36%,14,+15%,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,,"1,43","0,572",1.43 g,en quantité modérée,+19%,+19%,20,+23%,E,+23%,,,,,,,,,,,,,
289,Assortiment de 3 mini cakes,0205994025590,,,['France'],[],[],,,,,,,?,,376,,1573 kj(376 kcal),,27,,"6,2",,21,,"1,6",,11,,,,,,,,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,
290,Pain- pave du larzac,0206000015093,,,['France'],[],[],,,,,,,?,,269,,1125 kj(269 kcal),,"1,8",,"0,53",,"52,6",,"2,6",,9,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
291,Pain complet,0206002007089,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 53062E', 'Château-Gontier (Mayenne, France)']",,,
292,Pain dantan,0206002009311,,,['France'],[],[],,,,,,,?,,267,,1117 kj(267 kcal),,"1,3",,"0,3",,50,,1,,11,,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,
293,Croissant pur beurre - leclerc - 6,0206006009454,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],26 g,en quantité élevée,17 g,en quantité élevée,8.2 g,en quantité modérée,?,,450,+17%,1883 kj(450 kcal),+16%,26,+20%,17,+20%,47,+15%,"8,2",+16%,8,+7%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,['Leclerc'],"1,1","0,44",1.1 g,en quantité modérée,+12%,+12%,20,+7%,E,+7%,6,,,,,['Leclerc'],,,,,,,
294,Baguette - E.Leclerc Basse Goulaine,0206011003485,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],[],[],1.9 g,en faible quantité,0.3 g,en faible quantité,2.6 g,en faible quantité,?,,288,+12%,1205 kj(288 kcal),+12%,"1,9",-19%,"0,3",-33%,57,+17%,"2,6",+16%,"9,4",+14%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,['E.Leclerc Basse Goulaine'],"1,6","0,64",1.6 g,en quantité élevée,+31%,+31%,5,+64%,C,+64%,,,,,,,,,,,,,
295,Couscous aux 4 épices,0206015005515,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",['France'],[],[],4.72 g,en quantité modérée,0.86 g,en faible quantité,4.2 g,en faible quantité,?,,372,+4%,1556 kj(372 kcal),+4%,"4,72",+137%,"0,86",+125%,67,-4%,"4,2",+58%,13,+7%,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,"1,1","0,44",1.1 g,en quantité modérée,+697%,+697%,3,,C,,,,,,,,,,,,,,
296,Pain complet tranché olus,0206016009314,,,['France'],[],[],,,,,,,?,,272,,1138 kj(272 kcal),,"4,7",,1,,40,,"2,5",,13,,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,
297,Granapadano AOP Brignoles,0206016043691,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,?,,388,+692%,1623 kj(388 kcal),+560%,28,+1767%,18,+1887%,0,-100%,0,-100%,33,+1628%,,,,,,,,,"1,6","0,64",,,+1019%,+1019%,,,,,,,,,,,,,,,,,
298,Taboulé a l'orientale -,0206019021320,B,"['Plats préparés', 'Taboulés']",['France'],[],[],7.6 g,en quantité modérée,0.6 g,en faible quantité,2.6 g,en faible quantité,?,,164,-2%,686 kj(164 kcal),-3%,"7,6",+17%,"0,6",-16%,20,-6%,"2,6",-20%,"3,4",-23%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,"1,3","0,52",1.3 g,en quantité modérée,+38%,+38%,5,+84%,C,+84%,,,,,,,,,,,,,
299,eclair chocolat,0206021013450,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",['France'],[],[],14 g,en quantité modérée,5.1 g,en quantité élevée,41 g,en quantité élevée,?,,364,+42%,1523 kj(364 kcal),+42%,14,+14%,"5,1",-12%,52,+65%,41,+103%,"6,5",+49%,,,,,,,,,"0,48","0,192",0.48 g,en quantité modérée,+26%,+26%,20,+55%,E,+55%,,,,,,,,,,,,,
300,Mimolette extra vieille F.E,0206021028805,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes extra vieilles', 'Fromages-du-nord-pas-de-calais']",['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,2 g,en faible quantité,?,,405,+3%,1695 kj(405 kcal),+3%,29,-0%,20,-3%,2,+123%,2,+164%,34,+6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,3,"1,2",3 g,en quantité élevée,+0%,+0%,20,+4%,E,+4%,,,,,,,,,,,,,
301,Pain complet 330g,0206023008201,,,['France'],[],[],,,,,,,?,,221,,925 kj(221 kcal),,"1,6",,"0,4",,40,,2,,"8,5",,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
302,Pain d'antan,0206023009772,,,['France'],[],[],,,,,,,?,,359,,1502 kj(359 kcal),,1,,"0,2",,73,,"0,2",,12,,,,,,,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,
303,Magret de canard du sud ouest - Monoprix Gourmet,0206024049524,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],"['MAGRET DE CANARD DIJ SUD-OUEST - PRODUIT FRAIS - CATÉGORIE A INGRÉDIENT Magret de canard du Sud-Ouest ', 'origine : France']",[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,365,+7%,1527 kj(365 kcal),+8%,33,+13%,11,+10%,"0,6",-52%,"0,6",-10%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Monoprix Gourmet'],"0,1","0,04",0.1 g,en faible quantité,-94%,-94%,14,-24%,D,-24%,,,,,,,,,,,,,
304,Magret de canard,0206024057406,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,,,
305,Magret de canard - Monoprix Gourmet,0206024059561,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],"['A conserver er DE CANARD DU SUD-OUEST - PRODUIT FRAIS - CATÉGORIE A de du Szd•0zest ', 'ori', ' France', "" les 24 après ouïerture la dàte l'etlquette""]",[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,365,+7%,1527 kj(365 kcal),+8%,33,+13%,11,+10%,"0,6",-52%,"0,6",-10%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,"['Monoprix Gourmet', 'Monoprix']","0,1","0,04",0.1 g,en faible quantité,-94%,-94%,14,-24%,D,-24%,,,['Fabriqué en France'],,,['Monoprix'],,,,,,,
306,Magret de canard du sud-ouest - Monoprix,0206024059738,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magret de canard du Sud-Ouest']",['France'],"['INGRÉDIENT Magret de canard du Sud-Ouest ', 'origine : Francet']",[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,100,-71%,418 kj(100 kcal),-71%,33,+11%,11,+6%,"0,6",-42%,"0,6",-17%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Monoprix'],"0,1","0,04",0.1 g,en faible quantité,-93%,-93%,11,-39%,D,-39%,,,,,,['Monoprix'],,,,,,,
307,Magret de Canard du sud-ouest,0206024060512,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magret de canard du Sud-Ouest']",['France'],[],[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,365,+6%,1527 kj(365 kcal),+6%,33,+11%,11,+6%,"0,6",-42%,"0,6",-17%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"0,1","0,04",0.1 g,en faible quantité,-93%,-93%,14,-22%,D,-22%,,,,,,,,,,,,,
308,Magret de canard du sud-ouest - Monoprix Gourmet,0206024061144,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magret de canard du Sud-Ouest']",['France'],[],[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,365,+6%,1527 kj(365 kcal),+6%,33,+11%,11,+6%,"0,6",-42%,"0,6",-17%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Monoprix Gourmet'],"0,1","0,04",0.1 g,en faible quantité,-93%,-93%,14,-22%,D,-22%,,,,,,,,,,,,,
309,Magret de canard du sud-ouest - Monoprix Gourmet,0206024063377,E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magret de canard du Sud-Ouest']",['France'],[],[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,?,,365,+6%,1527 kj(365 kcal),+6%,33,+11%,11,+6%,"0,6",-42%,"0,6",-17%,16,-11%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Monoprix Gourmet'],"0,1","0,04",0.1 g,en faible quantité,-93%,-93%,14,-22%,D,-22%,,,,,,,,,,,,,
310,PATE A TARTINER,0206027020407,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],[],['Sans huile de palme'],35 g,en quantité élevée,17 g,en quantité élevée,12 g,en quantité modérée,?,,563,+8%,2356 kj(563 kcal),+8%,35,+9%,17,+110%,50,-1%,12,-73%,12,+93%,,,,,,,,,"0,1","0,04",0.1 g,en faible quantité,-45%,-45%,19,-7%,E,-7%,,,"['Bio', 'en:palm-oil-free']",,,,,,,,,,
311,Poulet cuit a la broche,0206027050183,,,['France'],[],[],,,,,,,?,,165,,690 kj(165 kcal),,"8,1",,"2,2",,0,,0,,23,,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
312,Poulet rôti cuit à la broche,0206027053856,D,"['Viandes', 'Volailles', 'Poulets']",['France'],[],[],8.1 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,?,,165,+9%,690 kj(165 kcal),+9%,"8,1",+39%,"2,2",+47%,0,-100%,0,-100%,23,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"1,1","0,44",1.1 g,en quantité modérée,+28%,+28%,3,+113%,C,+113%,,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,,
313,Cookies tout chocolat,0206027055034,,,['France'],[],[],,,,,,,?,,504,,2109 kj(504 kcal),,23,,"6,6",,66,,37,,"6,1",,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
314,AOP COMTÉ FLEUR BUGEY,0206028035554,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],32 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,?,,410,+3%,1715 kj(410 kcal),+4%,32,-2%,22,+1%,0,-100%,0,-100%,26,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,8","0,32",0.8 g,en quantité modérée,-18%,-18%,13,-3%,D,-3%,,,,,,,,,,,,,
315,Épaule de veau,0206030099124,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
