,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
51,Mini cookies noisette/pépites de chocolat pur beurre - U - 120g,3256227995316,120 g,['France'],"['Farine de BLE ', 'France', ' 36%', 'pépites de chocolat noir 20% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', 'BEURRE 19,5%', 'sucre', 'NOISETTES 7%', 'poudre de LAIT ÉCRÉMÉ', 'OEUF entier en poudre', ""poudres à lever : carbonates de sodium et carbonates d'ammonium"", 'sel marin', ' Traces éventuelles de soja', 'autres fruits à coque', 'graines de sésame et arachides']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2184,523,2184 kj(523 kcal),28,16,58,30,"6,9","0,56","0,224",['Farine de blé français'],['U'],C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat et aux noisettes']",['Magasins U'],28 g,en quantité élevée,16 g,en quantité élevée,30 g,en quantité élevée,0.56 g,en quantité modérée,+2%,+3%,+3%,+3%,+28%,+1%,-0%,+3%,-1%,-1%,21,-4%,E,-4%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,
52,Flocon de Savoie - Chabert - 110g,3414170013895,110 g,['France'],[],[],1218,294,1218 kj(294 kcal),24,20,"0,5","0,5",19,"1,5","0,6",,['Chabert'],D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,24 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-3%,-11%,-11%,-10%,+12%,-59%,-33%,-7%,+15%,+15%,14,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 74.255.072 CE', 'Sales (Haute-Savoie, France)']",,,,,,,,
53,Shaker & drink,3401525007678,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Coca-Cola Energy,06789602,,['France'],[],[],?,39,163 kj(39 kcal),0,0,"10,3","10,3",0,0,0,,['Coca-Cola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Confiture de myrtilles - Planet Bio,3301595002200,,['France'],"['myrtilles bio', 'sucre roux bio', 'gélifiant : pectines', ' Préparée avec 70g de fruits pour 100g']",[],?,181,757 kj(181 kcal),"0,6",0,40,40,"0,6",0,0,['Bio'],['Planet Bio'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.6 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,,-17%,-18%,+130%,-100%,-25%,-21%,+54%,-100%,-100%,8,-13%,C,-13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],4,,,,,,
56,La Bressane - Fromage frais de Campagne - 5kg,3302551157101,,['France'],[],[],?,81,339 kj(81 kcal),"4,8",3,"5,4","5,4","4,1","0,5","0,2",,['La Bressane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Preparado para cocido envasado al vacío - 380g,8412582003744,380 g,['France'],[],[],?,588,2460 kj(588 kcal),"59,2","20,5","2,6","0,5","12,1","3,4","1,36",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,mortadelle a la provençale - Aljadid,3760114530462,,['France'],[],[],?,217,908 kj(217 kcal),"17,3","5,8","5,8","0,3",10,"2,1","0,84",,['Aljadid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Energy Drink Sugar Free,0180854000811,,['France'],[],[],?,3.1712,13 kj(3 kcal),0,0,0,,"0,021","0,106","0,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Salade mâche betterave,3334320011550,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,VINAIGRE D’ALCOOL CRISTAL - 1l,3104180424018,1l,['France'],[],[],?,?,,?,,?,,?,,,['Fabriqué en France'],"[""Vinaigre d'alcool cristal""]",B,['1l'],"['Vinaigres', ""Vinaigres d'alcools"", ""Vinaigre d'alcool cristal""]",,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['France'],,,,,,,http://www.burggroup.eu,,
62,molasses,8690710135004,,['France'],[],[],?,301,1259 kj(301 kcal),0,0,"75,3","73,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Riz boisson 100% végétale - Santal,8410285999142,,"['France', 'Italie']",[],[],?,66,276 kj(66 kcal),"1,5","0,2",13,3,"0,11","0,1","0,04","['Sans sucre ajouté', 'Sans lactose', 'Sans conservateurs']",['Santal'],E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']",,1.5 g,en quantité modérée,0.2 g,en faible quantité,3 g,en quantité modérée,0.1 g,en faible quantité,,+14%,+13%,+23%,-15%,+17%,-47%,-68%,+6%,+6%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,,,
64,Pain de mie - 375g,3760044431129,375 g,['France'],[],[],?,311,1301 kj(311 kcal),"9,82","6,23","48,98","7,98","6,77","1,05","0,42",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,9.82 g,en quantité modérée,6.23 g,en quantité élevée,7.98 g,en quantité modérée,1.05 g,en quantité modérée,,+17%,+16%,+120%,+861%,+7%,+53%,-20%,-8%,-8%,14,+866%,D,+866%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,,
65,Filets de Poulet - Carrefour,0219965020477,,['France'],[],[],?,?,,?,,?,,?,,,"['Viande Française', 'Volaille-francaise']",['Carrefour'],D,"['Sous vide', 'Frais']","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['France'],,,,,,,,,
66,Poids Chiches - Mémé Hélène,3324321361259,,['France'],[],[],?,97.1,406 kj(97 kcal),"1,9","0,2","14,5","0,7","5,4","0,58","0,232",,['Mémé Hélène'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Terrine de canard au lard fume - 180g,3274763677879,180 g,['France'],[],[],?,865,3619 kj(865 kcal),"15,2","5,4","2,4","0,8","16,5","1,6","0,64","['Bio', 'Bio européen', 'FR-BIO-09']",,D,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,15.2 g,en quantité modérée,5.4 g,en quantité élevée,0.8 g,en faible quantité,1.6 g,en quantité élevée,,+183%,+183%,-42%,-43%,+40%,+29%,+16%,+5%,+5%,22,+23%,E,+23%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,
68,Organic Vegan Protein Blend,5060293441534,,['France'],[],[],?,379,1586 kj(379 kcal),7,"1,9","10,3","1,9","62,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Emmentaler gerieben - Milfina - 250g,4099200019666,250g,"['Autriche', 'France']","['Heumilch g', 't', 'S', 'Stärke', 'Milchsäurebakterienkulturen', 'Propionsäurebakterien', 'mikrobielles Lab', 'Salz']",['Non végétalien'],1620,390,1620 kj(390 kcal),30,22,1,0,29,"0,6","0,24",,['Milfina'],D,"['Packung(en)', 'Kunststoff']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,30 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,+5%,+5%,+4%,+4%,+12%,+10%,-100%,+6%,-21%,-21%,11,-8%,D,-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,3,['de:Heumilch'],,,,,
70,Torten Pfirsiche - REWE - 825g,4388860439762,825g,"['France', 'Allemagne']",[],[],?,77,322 kj(77 kcal),"0,1","0,1","18,5","16,8","0,4",,,,['REWE'],,['Konserve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Irische Butter - 250g,4316268486552,250 g,"['France', 'Allemagne']",[],[],?,744,3113 kj(744 kcal),82,54,"0,6","0,6","0,7",,,,,,['Folie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6 aiguillettes de poulet blanc - La Nouvelle Agriculture,0253097018766,,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,1","0,04",,['La Nouvelle Agriculture'],D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-17%,-17%,-30%,-16%,-100%,-100%,+1%,-77%,-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
73,Raisin du sud-est,3760211820985,,['France'],[],[],?,68,285 kj(68 kcal),0,0,16,16,"0,5",0,0,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Huile D'olive vierge extra - Kalios,3770003906711,,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,['Kalios'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,-7%,,,,,,6,-1%,C,-1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
75,Confiture allégée,3363477203303,,['France'],[],[],?,149,623 kj(149 kcal),0,0,35,35,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pasta grainway,8008703010410,,['France'],[],"['Végétalien', 'Végétarien']",?,339,1418 kj(339 kcal),"2,2","0,5","54,5","2,4","21,6","0,1","0,04","['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en Italie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Chocolat au lait origine Pérou 50% cacao - Monoprix - 100g,3350033692473,100 g,['France'],"['Sucre de canne - beurre de cacao* - pâte de cacao origine Pérou - lait entier en poudre 15% - vanille en poudre""', ' Cacao:50% minimum', ' Traces de fruits à coque et soja', ' ""Ingrédients issus de l\'agriculture biologique']",['Non végétalien'],?,602,2519 kj(602 kcal),45,28,39,38,"7,7","0,13","0,052","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Max Havelaar']","['Monoprix', 'Monoprix Gourmet']",D,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['Monoprix'],45 g,en quantité élevée,28 g,en quantité élevée,38 g,en quantité élevée,0.13 g,en faible quantité,,+9%,+9%,+30%,+43%,-25%,-22%,+7%,-44%,-44%,25,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,"['EMB 24547H', 'Terrasson-Lavilledieu (Dordogne, France)']",,3,,,,,,
78,Terrine de poulet citron confit et estragon,3383740007698,,['France'],[],[],?,253,1059 kj(253 kcal),19,6,2,0,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Crevettes sauvages - Palais Des Mets - 125g,3760089332429,125 g,['France'],[],[],?,76,318 kj(76 kcal),"0,9","0,2",0,0,"16,6","1,8","0,72",,['Palais Des Mets'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Farine de riz complet - Moulin des moines - 500g,3347430020565,500g,['France'],"[""riz complet* *produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1484,350,1484 kj(350 kcal),"2,78","0,56","71,9","0,85","7,23","0,02","0,008","['Bio', 'Bio européen', 'FR-BIO-01']",['Moulin des moines'],B,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",,2.78 g,en faible quantité,0.56 g,en faible quantité,0.85 g,en faible quantité,0.02 g,en faible quantité,,-1%,+0%,+60%,+29%,-7%,+57%,+5%,+68%,+68%,-4,,A,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,1,,,,,,
81,Basilic ducro,3166291525602,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Flacon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Huile D'olive Extra Vierge Biologique (délicate),0069593120137,,['France'],[],[],?,800,3347 kj(800 kcal),90,15,0,0,0,0,0,['Bio'],,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,90 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-7%,-7%,-6%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
83,Ramona's Heavenly Houmous,5060228323065,,"['France', 'Royaume-Uni']",[],[],?,274,1146 kj(274 kcal),"21,6","1,8","10,5","0,6","6,4",1,"0,4",,['Ramona’s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Curry couscous - Knorr - 58g,8711200478330,58 g,['France'],[],[],?,91,381 kj(91 kcal),"0,8","0,2",17,3,"3,1","0,62","0,248",,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Divella 85 Farfalle al pomodoro e spinaci,8005121050851,,['France'],[],[],?,356,1490 kj(356 kcal),"1,8","0,9",72,"3,8",13,,,,['Divella'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,WHOLE FUEL BLEND -,5056104500002,,['France'],"[""Farine d'Avoine "", '42%', 'Isolat de Protéine de Pois ', '22%', 'Crème végétale ', 'Huile de Tournesol', 'Emulsifiants ', ""Gomme d'Acacia"", 'Lécithirie de Tournesol', 'Sirop de Riz Brun', 'Aromatisant Naturel', 'Agent Antiagglomérant ', 'Dioxyde de Silicone', 'Antioxydant ', 'Alpha-Tocopherol', 'Poudre de Cacao ', ""Régulateur d'Acidité "", 'Carbonate d', ' utassium', 'Protéine de Riz Brun ', '6%', 'Graines de Lin en Poudre ', '5%', 'Phosphate de Potassium', 'Aromatisant Naturel ', 'Arômes', 'Poudre de Cacao', 'Calcium', 'Emulsifiant ', 'Gomme de Xanthane', 'Épaississant ', 'Gomme de Guar', ""Poudre d'Inuline"", 'Mélange de Minéraux et de Vitamines ', 'Maltodextrine', 'Vitamine C', 'Zinc', 'Fer', 'Vitamine E', 'Niacine', 'Sélénite de Sodium', 'Vitamine A', 'Cuivre', 'Manganèse', 'Acide Panthoténique', 'Biotine', 'Chrome', 'Acide Folique', 'Vitamine D ', 'Ergocalciférol', 'Vitamine B6', 'Vitamine B12', 'Vitamine K', 'Iodate de Potassium', 'Vitamine B1', 'Molybdène', 'Vitamine B2', 'Édulcorant ', 'Sucralose', 'Magnésium', ' ALLERGÈNES: Pour les allergènes', 'y compris les céréales contenant du gluten', 'voir ingrédients en gras', ' Peut contenir du lait', ' DOSAGE SUGGÉRÉ: Pour un maximum de bienfaits', 'nous recommandons de melanger 100g ', '3 mesures', "" avec 350-500ml d'eau tout au long de la journée"", ' INFORMATION IMPORTANTES: Conservez dans un endroit frais et sec', ""à l'abri de la lumière directe du soleil"", ' Ce produit est destiné à être utilisé parallèlement à un mode de vie actif et à une alimentation équilibrée', ' Convient aux végétariens et végétaliens', ' 54']","['Végétalien', 'Végétarien']",?,436,1824 kj(436 kcal),13,"1,5",44,"4,1",30,"0,8","0,32","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E414 - Gomme d'acacia"", 'E307 - Alphatocophérol', 'E502 - Carbonates', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E955 - Sucralose']",4,"['Gluten', 'Avoine']",,,,,
87,Haricot de mer bio,3770011698066,,['France'],[],[],?,239,1000 kj(239 kcal),"2,63","0,1","28,3","0,3","10,1","9,22","3,688",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Gourmet Glühwein sirup,4250422240690,,['France'],[],[],?,112,469 kj(112 kcal),0,0,28,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Brechbohnen - Tegut - 360g,4305720006919,360 g,"['France', 'Allemagne']","['Brechbohnen', 'Wasser', 'Kochsalz', ' Säuerungsmittel: Citronensäure']",[],96,23,96 kj(23 kcal),"< 0,5",0,"2,6","0,7","1,5","0,87","0,348",,['Tegut'],B,['Verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",,0.5 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,0.87 g,en quantité modérée,-3%,-4%,-3%,+99%,-100%,-2%,-9%,+1%,+30%,+30%,-2,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,['E330 - Acide citrique'],3,,,['de:Belgique'],,,
90,Confiture De Figue - Mehader,3564040019547,,['France'],[],[],?,247,1033 kj(247 kcal),"0,25",0,60,60,"0,65",0,0,"['Sans colorants', 'Sans conservateurs']",['Mehader'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0.25 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,,+6%,+6%,-45%,-100%,+8%,+13%,-12%,-100%,-100%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
91,Tielle - Briau,3571495010234,,['France'],[],[],?,269,1125 kj(269 kcal),14,"1,7",27,"2,6","7,2","1,4","0,56",,['Briau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 34.113.500 CE', 'Gigean (Hérault, France)']",,,,,,,,
92,Tranches de filet de merlu du Pacifique surgelés - Super U - 10x 100g,3256227764967,10 x 100 g,['France'],"['Portion de merlu du Pacifique ', 'Merluccius productus', ' issu de pêcherie certifiées MSC', 'pêché aux chaluts en Océan Pacifique Nord-Est ', 'zone FAO 67']","['Non végétalien', 'Non végétarien']",294,70,294 kj(70 kcal),"1,5","0,3",0,0,14,"0,4","0,16","['Pêche durable', 'Pêche durable MSC']","['Super U', 'U']",D,['Surgelés'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Fruits de mer surgelés', 'Plats préparés au poisson', 'Poissons surgelés', 'Filet de merlu', 'Filet de merlu surgelé']",['Magasins U'],1.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.4 g,en quantité modérée,-29%,-28%,-30%,-45%,-42%,-100%,-100%,-10%,-5%,-5%,-4,,A,,84.9%,3.6%,1.7%,7.6%,1.4%,0.8%,27,,,['MSC-C-50192'],,,['Poisson'],,,,,
93,Purée casino bio pomme abricot,3222477359147,,['France'],[],[],?,43,180 kj(43 kcal),0,0,10,10,"0,5","0,5","0,2","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",['Casino'],,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Fromage frais lait de chevre - Moléson - 80g,7623700272602,80 g,['France'],[],[],?,207,866 kj(207 kcal),16,"9,2","3,7","2,3",12,"0,6","0,24",,['Moléson'],D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,16 g,en quantité modérée,9.2 g,en quantité élevée,2.3 g,en faible quantité,0.6 g,en quantité modérée,,-37%,-37%,-40%,-48%,+206%,+210%,-41%,-54%,-54%,8,-42%,C,-42%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
95,Tendres perles - Tipiak,3600900021395,,['France'],[],[],?,370,1548 kj(370 kcal),"1,6","0,3",75,"3,6",12,0,0,,['Tipiak'],,['boîte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Champignons de Paris émincés bio -  - 400g,3329489900623,400 g,['France'],[],[],?,18,75 kj(18 kcal),"0,4",0,"0,2","0,1","2,1","0,45","0,18","['Bio', 'Bio européen']",,A,['Conserve'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons de Paris', 'Champignons de Paris émincés']",,0.4 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0.45 g,en quantité modérée,,-14%,-11%,+21%,-100%,-82%,-66%,-1%,+12%,+12%,-5,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,
97,Crousti'pause abricot - 25g,3175681260863,25 g,['France'],[],[],?,353,1477 kj(353 kcal),"0,8","0,2",82,46,"3,2",,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Huevas cocidas premium - embumar - 70g,8437004577184,70 g,['France'],[],[],?,136,569 kj(136 kcal),"5,3","1,2","1,1","0,5",21,"1,5","0,6",,['Embumar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,'great Value' Eggs (large Size),0681131911955,,['France'],[],[],?,132.0755,553 kj(132 kcal),"9,434","2,83","1,887",0,"11,321","0,307","0,123",,['Great Value'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Soupe verte aux pousses d' orties - La Source du Verger,3448550010525,,['France'],[],[],?,39,163 kj(39 kcal),"1,2","0,75","6,3","0,3","0,8","0,53","0,212","['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",['La Source du Verger'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",,1.2 g,en faible quantité,0.75 g,en faible quantité,0.3 g,en faible quantité,0.53 g,en quantité modérée,,-5%,-5%,-31%,+33%,+38%,-85%,-14%,-19%,-19%,2,+41%,B,+41%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,,
101,Mélange du boulanger - Moulin des Moines - 250g,3347430022347,250 g,['France'],"['graines de tournesol', 'lin doré', 'lin brun', 'sésame']",[],2162,0,2162 kj(0 kcal),"41,8","7,4","7,6",1,"20,7","0,05","0,02","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Moulin des Moines'],,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Mélanges de céréales']",,41.8 g,en quantité élevée,7.4 g,en quantité élevée,1 g,en faible quantité,0.05 g,en faible quantité,,,+46%,+636%,+776%,-86%,-56%,+37%,+96%,+96%,8,,C,,,,,,,,,,,,,1,['Graines de sésame'],,,,,
102,Gyoza - Vici - 400g,4770190120043,400 g,['France'],[],[],?,172,720 kj(172 kcal),"4,52","0,04","22,98","0,58","8,46","1,31","0,524",,['Vici'],,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Cordon bleu de poulet Haut de France - 280g,3287890001318,280 g,['France'],[],[],?,181,757 kj(181 kcal),"8,2","3,6","11,1","2,2","15,8","1,28","0,512",,,D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,8.2 g,en quantité modérée,3.6 g,en quantité modérée,2.2 g,en faible quantité,1.28 g,en quantité modérée,,-14%,-15%,-25%,+27%,-20%,+32%,+15%,-2%,-2%,5,-3%,C,-3%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,
104,Poivrons grillés,8002170555504,,['France'],[],[],?,68,285 kj(68 kcal),"4,7","0,6","5,1","4,8","0,3","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
