,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
589,Caldo de pollo sin gluten natural - Gallina Blanca,8410300360094,,['Gallina Blanca'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre']",,"['France', 'Espagne']","['Sal', 'lactosa', 'almidón de maíz', 'extracto de levadura', 'aceite de oliva virgen extra 3%', 'carne de pollo de corral 2,5%', 'cebolla 2%', 'fibra vegetal', 'zanahoria 0,5%', 'hortalizas en proporción variable 0,4% ', 'perejil', 'apio', 'pimiento', 'puerro 0,05%', 'tomate 0,005%', 'aroma natural de pollo ', 'con huevo', 'especias', ' Puede contener trazas de soja', 'leche', 'pescado y crustáceos']",,['Non végétalien'],4,,,,,,,,,?,,145,+2%,607 kj(145 kcal),+2%,"3,6",+32%,"0,6",-34%,20,-10%,17,+175%,"8,4",+121%,"0,9",-96%,"0,36",-96%,,,,,,"['Céleri', 'Œufs', 'Lait']",,,,,,,,,,,"['Sans gluten', 'Sans huile de palme', 'Sans conservateurs']",,,,,,,
590,Ferrero Pocket Coffee Espresso 18 Pack - 225g / 18Pralinen,4008400141824,225 g / 18 Pralinen,['Ferrero'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,"['France', 'Allemagne', 'Maroc']","['Flüssige Kaffee-Füllung 54 % ', 'Zucker', 'flüssiger Kaffee', 'Halbbitterschokolade 23 % ', 'Kakaomasse', 'Zucker', 'Kakaobutter', 'Kaffee-Extrakt', 'Emulgator Lecithine ', 'SOJA', 'Vanillin', 'VOLLMILCHSCHOKOLADE 14,5 % ', 'Zucker', 'Kakaomasse', 'VOLLMILCHPULVER', 'Kakaobutter', 'Kaffee-Extrakt', 'Emulgator Lecithine ', 'SOJA', 'Vanillin', 'Kakaobutter', 'Kakaomasse', 'MILCHZUCKER', 'Zucker', 'Kaffee-Extrakt', 'Emulgator Lecithine ', 'SOJA', 'Vanillin']",['E322 - Lécithines'],['Non végétalien'],4,20.5 g,en quantité élevée,13.3 g,en quantité élevée,56.6 g,en quantité élevée,0 g,en faible quantité,?,,440,+5%,1841 kj(440 kcal),+5%,"20,5",+39%,"13,3",+106%,"57,8",-13%,"56,6",+14%,"3,5",-17%,0,-100%,0,-100%,25,+37%,E,+37%,,"['Lait', 'Soja']",,,,,,,,,['Karton'],,,,,,,,,
591,Noodle konjac & avoine - 200g,3701268000098,200 g,,,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,4",,"0,5",,0,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,
592,Pindakaas - Calvé,8711200431045,,['Calvé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",,['France'],"['CACAHUÈTE 81%', 'huile végétale ', 'colza', 'soja', ""palme totalement hydrogénée'"", 'dextrose', 'sel', "" 'Palmolie op duurzame wijze geteeld"", ""/ L'huile de palme cultivée de manière durable""]",,['Huile de palme'],4,55 g,en quantité élevée,36 g,en quantité élevée,10 g,en quantité modérée,0.55 g,en quantité modérée,?,,651,+8%,2724 kj(651 kcal),+9%,55,+14%,36,+334%,15,+4%,10,+57%,20,-19%,"0,55",+3%,"0,22",+3%,7,-36%,C,-36%,D,"['Arachides', 'Soja']",74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,['Huile de palme'],,,
593,Lait concentré non sucré entier - Régilait - 4x 170g,3043933333705,4 x 170g,['Régilait'],"['Produits laitiers', 'Laits concentrés', 'Laits concentrés non sucrés']",,['France'],"['Lait entier ', 'origine U', 'E', 'stabilisants : phosphates de sodium', 'carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,7.5 g,en quantité modérée,5 g,en quantité modérée,10 g,en quantité modérée,0.25 g,en faible quantité,551,-38%,132,-42%,551 kj(132 kcal),-41%,"7,5",+3%,5,+8%,10,-68%,10,-68%,"6,1",-12%,"0,25",-1%,"0,1",-1%,5,-55%,C,-55%,B,['Lait'],80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,['Boîte en métal'],,,['Allemagne'],,,,,,
594,"Kerrygold Original Irische Butter, Mild Gesalzen - 250g",4001954161294,250g,['Kerrygold'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Pâtes à tartiner végétales', 'Produits laitiers à tartiner', 'Beurres', 'de:Streichfette', 'Beurres salés']",,"['France', 'Allemagne']","['Butter', 'Speisesalz ', '1,8%']",,[],,80 g,en quantité élevée,54 g,en quantité élevée,0.6 g,en faible quantité,1.8 g,en quantité élevée,?,,725,-0%,3033 kj(725 kcal),+0%,80,-1%,54,+1%,"0,6",-4%,"0,6",+5%,"0,7",+7%,"1,8",-8%,"0,72",-8%,26,+3%,E,+3%,D,['Lait'],91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,['DE NW-40015 EG'],,['Irlande'],,,,,,
595,Filets de maquereaux au naturel et au citron - Jacques Gonidec - 169g,3365620304110,169 g,['Jacques Gonidec'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['naturéO'],['France'],"['filets de maquereaux 60%', 'eau', 'citron* 3%', 'sel', "" 5,5% des produits d'origine agricole sont issus de l'agriculture biologique"", ' Certifié par FR-BIO-10']",,"['Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,235,+6%,983 kj(235 kcal),+7%,15,-9%,4,+8%,"0,5",-54%,"0,5",-6%,23,+40%,"0,6",-46%,"0,24",-46%,2,-68%,B,-68%,C,,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,"['FR 29.039.512 CE', 'Concarneau (Finistère, France)']","['Bio', 'Bio européen', 'FR-BIO-10', 'Pêche durable', 'Pêche durable MSC']",,['France'],http://www.gonidec.com,,,,
596,American montain core salt,4056489010326,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,
597,Mein Ofenkäse Knoblauch - Rougette - 320g,4000504171134,320 g,['Rougette'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,"['Autriche', 'France', 'Allemagne']",[],,[],,31 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,345,+5%,1443 kj(345 kcal),+5%,31,+17%,20,+12%,"0,5",-59%,"0,5",-33%,16,-22%,"1,7",+31%,"0,68",+31%,16,+17%,D,+17%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Karton'],,,,,,,,,
598,Emmental bloc - Carrefour - 350g,3560071178215,350g,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['Carrefour'],['France'],"['Lait pasteurisé issu de vaches nourries sans OGM <0,9%', 'sel', 'ferments lactiques', 'coagulant microbien']",,[],3,29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,?,,369,-2%,1544 kj(369 kcal),-2%,29,-1%,19,-4%,0,-100%,0,-100%,27,-2%,"0,5",-23%,"0,2",-23%,11,-4%,D,-4%,D,['Lait'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Plastique'],['35184'],['Fabriqué en France'],,,,,,,
599,Gingembre déshydraté -  - 130g,3191220013691,130 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre']",,['France'],"['sucre', 'gingembre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.1 g,en faible quantité,0.1 g,en faible quantité,72 g,en quantité élevée,0.05 g,en faible quantité,?,,322,+41%,1347 kj(322 kcal),+41%,"0,1",-80%,"0,1",-28%,78,+52%,72,+83%,"0,2",-81%,"0,05",-87%,"0,02",-87%,,,,,B,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,,['Flacon'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D']",,,,,,,
600,Accras de morue - Cap Océan - 200g,3700966561825,200 g,['Cap Océan'],"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:Preparations-made-from-fish-meat']",['Super U'],['France'],"['Morue MSC 51% ', 'cabillaud', 'sel', 'huiles végétales ', 'tournesol', 'colza', 'farine de blé', 'oeuf entier', 'eau', 'flocon de pomme de terre', 'fécule de pomme de terre', 'oigons', ""huile d'olive vierge extra"", 'ail 2%', 'persil 1,5%', ""blanc d'oeuf en poudre"", 'levure chimique ', 'poudre à lever : E450i', 'E500ii', 'amidon de blé', 'farine de blé', ""épice et extrait d'épice""]","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Non végétalien', 'Non végétarien']",4,13.2 g,en quantité modérée,1.6 g,en quantité modérée,1.6 g,en faible quantité,1.55 g,en quantité élevée,962,+10%,230,+5%,962 kj(230 kcal),+5%,"13,2",+42%,"1,6",+22%,"16,7",-19%,"1,6",-35%,"10,3",-2%,"1,55",-14%,"0,62",-14%,3,-57%,C,-57%,E,"['Œufs', 'Poisson', 'Gluten']",87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,"Préparation à base de morue MSC, sans arêtes, cuite, réfrigérée","['Film en plastique', 'Barquette en plastique', 'Sous atmosphère protectrice', 'Frais']","['MSC-C-50004', 'FR 56.094.004 CE', 'Kervignac (Morbihan, France)']","['Point Vert', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C', 'Pêche durable', 'Pêche durable MSC']",,['France'],,,,,
601,Huile de pépins de raisin - Georges Nivier - 1l,3580281920152,1 l,['Georges Nivier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de pépins de raisins']",,['France'],[],,[],,92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-6%,3464 kj(828 kcal),-6%,92,-6%,10,-15%,0,,0,,0,,0,,0,,11,+1%,D,+1%,C,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,
602,Maïs Doux - Avril,3464130000977,,['Avril'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve', 'Maïs doux en conserve']",,['France'],[],,[],,1.6 g,en faible quantité,0.3 g,en faible quantité,3.3 g,en faible quantité,0.46 g,en quantité modérée,?,,120,+29%,502 kj(120 kcal),+29%,"1,6",-1%,"0,3",+5%,"21,8",+46%,"3,3",-26%,"3,1",+11%,"0,46",+10%,"0,184",+10%,-3,,A,,B,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,,,,,,,,,,
603,Coco Drink - Migros Bio - 1l,7613404000649,1 l,"['Migros Bio', 'Migros', 'Elsa']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",['Migros'],"['France', 'Suisse']","['Eau', 'extrait de noix de coco 6,6%', 'sucre de canne brut', 'arôme naturel', 'sel marin', 'épaississant: E407', 'stabilisant: E418']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,2.5 g,en quantité modérée,2 g,en quantité modérée,3.5 g,en quantité modérée,0.1 g,en faible quantité,160,-76%,37,-77%,160 kj(37 kcal),-76%,"2,5",-84%,2,-85%,"3,5",+26%,"3,5",+108%,"< 0,5",-61%,"0,1",+37%,"0,04",+37%,1,-89%,B,-89%,B,,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,['Tetrabrik'],['FSC-C020428'],"['Bio', 'Végétarien', 'Bio européen', 'Commerce équitable', 'Végétalien', 'CH-BIO-006', 'Max Havelaar', 'Sans lactose']",,['Suisse'],,,,,
604,"Schlemmertöpfchen, Mild Würzige Gürkchen - Kühne - 530g",4012200417607,530g,['Kühne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",,"['France', 'Allemagne', 'Suisse']",[],,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité modérée,1.7 g,en quantité élevée,270,+297%,64,+220%,270 kj(64 kcal),+242%,"0,2",-32%,"0,1",+78%,13,+563%,12,+876%,"1,4",+28%,"1,7",-6%,"0,68",-6%,3,+47%,C,+47%,,,,,,,,,,,"['Produkt', 'Glas']",,,,,,,,,
605,Poivrons Piquillo Entiers - Carrefour Bio,3560071174446,,"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Poivrons', 'Poivrons de piquillo']",['Carrefour'],['France'],"['Poivrons Piquillo bio', 'eau', 'sel acidifiant : acide citrique']",['E330 - Acide citrique'],[],1,0 g,en faible quantité,0 g,en faible quantité,5.7 g,en quantité modérée,0.2 g,en faible quantité,?,,44,+5%,184 kj(44 kcal),+3%,0,-100%,0,-100%,8,+22%,"5,7",+14%,"1,2",+15%,"0,2",-64%,"0,08",-64%,-6,,A,,B,,67.3%,0.0%,0.0%,14.4%,14.9%,3.3%,96,,,,"['Bio', 'Fabriqué en Espagne']",,,,,,,
606,A granola - Cem Porcento - 350g,5604321034383,350 g,['Cem Porcento'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,"['France', 'Portugal']","['Flocos de AVEIA integral 49%', 'oligofrutose', 'flocos de ESPELTA integral 8,9%', 'farinha de arroz 8,5%', 'farinha de TRIGO', 'óleo de girassol', 'antioxidante extrato rico em tocoferóis vitamina E']",,[],3,10.9 g,en quantité modérée,1.3 g,en faible quantité,1.8 g,en faible quantité,0.03 g,en faible quantité,?,,399,0%,1669 kj(399 kcal),-0%,"10,9",+25%,"1,3",-41%,"54,1",-19%,"1,8",-89%,"10,1",+8%,"0,03",-92%,"0,012",-92%,-5,-193%,A,-193%,C,['Gluten'],74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Papel'],,['Sans sucre ajouté'],,,https://www.ignoramus.pt/pt/artigo/granola-aveia-integral-sem-acucar-350g-6658,,,,
607,Hummous pesto - Popp - 175g,4045800719697,175 g,"['Popp', 'Feinkost popp']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Sauces', 'Trempettes', 'Houmous']",['Kaufland'],"['France', 'Allemagne']","['Hummus ', 'Pesto Zutaten: Kichererbsencreme 91 % ', 'Kichererbsen 58 %', 'Trinkwasser', 'SESAM', 'Branntwein - essig', 'Zucker', 'Rapsöl', 'Knoblauch', 'Gewürze', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumjodat', 'modifizierte Maisstärke', 'Žitronensaft', 'Säuerungs - mittel: Citronensäure', 'Säureregulator: Natriumace - tate', 'Verdickungsmittel: Guarkernmehl', 'SESAMÖL', 'Pesto-Zubereitung 9,% ', 'Rapsõl', 'Petersilie', 'MANDELN', 'CASHEWKERNE', 'Zucker', 'jodiertes Speisesalz [Speisesalz', 'Kaliumjodat', 'Gewurze', 'Knoblauch', 'modifizier - te Maisstärke', 'Branntweinessig', 'Säureregulatoren: Kaliumcarbonate', 'Natriumcarbonate']","['E330 - Acide citrique', 'E412 - Gomme de guar', 'E500 - Carbonates de sodium']",[],4,13.3 g,en quantité modérée,1.3 g,en faible quantité,3.8 g,en faible quantité,1.73 g,en quantité élevée,756,+28%,182,-1%,756 kj(182 kcal),+0%,"13,3",+19%,"1,3",-24%,"10,3",-13%,"3,8",-39%,"5,2",+60%,"1,73",+29%,"0,692",+29%,7,-10%,C,-10%,B,"['Fruits à coque', 'Graines de sésame']",51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,['01 PET'],,,,,https://popp-feinkost.de/produkte/produktdetail-new-food-hummus.html??slide=3,,,,
608,Pz selezione penne - Panzani - 500g,3038359007484,500 g,['Panzani'],,,['France'],"['100% semoule de BLÉ dur de qualité supérieure', "" Peut contenir de l'œuf""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1505,,355,,1505 kj(355 kcal),,"1,5",,"0,3",,71,,3,,13,,"0,02",,"0,008",,,,,,,['Gluten'],,,,,,,,Pâtes alimentaires de qualité supérieure,"['Enveloppe', 'Film en plastique']",,,,,,,,,
609,Kaffee Mild - Bellarom - 200g,20918828,200 g,['Bellarom'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",['Lidl'],"['France', 'Allemagne']",['100% löslicher Kaffee'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,['Glas'],,"['Agriculture durable', 'en:UTZ Certified', 'Café certifié UTZ']",,,,,,,
610,Spaghettis bio - Alpina Savoie - 500g,3252970010009,500 g,['Alpina Savoie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",,['France'],"[""semoule de blé dur de qualité supérieure issu de l'agriculture"", ' biologique', ' Peut contenir des traces d’œuf']",,[],,2 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,?,,348,-1%,1456 kj(348 kcal),-2%,2,+12%,"0,3",-21%,70,+0%,"2,5",-21%,11,-11%,0,-100%,0,-100%,-1,,A,,,,,,,,,,,,"['Plastique', 'Film en plastique']",,"['en:Bio', 'en:Bio agriculture France']",['en:blé français'],,,,,,
611,Rosette grandes tranches - Cochonou - 0.103kg,3449865293788,0.103 kg,['Cochonou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",,['France'],"['Viande de porc origine France', 'sel', 'LACTOSE', 'épices', 'dextrose', 'sucre', 'alcools ', 'rhum', 'vin macardan', 'arômes naturels', 'conservateurs : nitrate de potassium', 'acide ascorbique', 'ferments', ' 145 g de viande utilisés pour la préparation de 100 g de produit fini', ' Présence possible de fruits à coques', 'de protéines de lait et de protéines de soja']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,31 g,en quantité élevée,13 g,en quantité élevée,1.3 g,en faible quantité,5 g,en quantité élevée,1620,+4%,390,+7%,1620 kj(390 kcal),+6%,31,+8%,13,+14%,"1,8",-7%,"1,3",-10%,26,+2%,5,+11%,2,+11%,24,+2%,E,+2%,D,['Lait'],79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,Rosette qualité supérieure,,,['Viande Française'],,,,,,,
612,Ananas in Stücken - Sweet Valley - 340g,4061458003995,340g,['Sweet Valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits', 'Fruits en conserve', 'Fruits tropicaux', 'Ananas', 'Ananas en conserve']",,"['France', 'Allemagne']",[],,[],,1 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,?,,59,+2%,247 kj(59 kcal),+1%,1,+663%,0,-100%,13,-4%,13,+5%,1,+156%,0,-100%,0,-100%,-3,,A,,A,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,['Dose(n)'],,,,,,,,,
613,Crêpes fourrées chocolat - Norac Foods - 192g,3322680009706,192g,['Norac Foods'],"['Crêpes et galettes', 'Crêpes', 'Crêpes sucrées']",['Mercadona'],"['France', 'Espagne']","['Crepe ', '62,5%', ' ', 'leche fresca entera ', '55%', 'harina de trigo', 'azúcar', 'huevos extra frescos ', '16%', 'mantequilla concentrada reconstituida', 'aceite de girasol', 'sal', 'relleno ', '37,5%', ' ', 'azúcar', 'aceite vegetal ', 'girasol', 'chocolate 13,5% ', 'cacao desgrasado en polvo', 'pasta de cacao', 'azúcar', 'emulgente ', 'lecitinas de soja', 'aroma', 'lactosa', 'leche desnatada en polvo', 'pasta de avellanas']",,['Non végétalien'],4,20 g,en quantité modérée,5.6 g,en quantité élevée,36 g,en quantité élevée,0.77 g,en quantité modérée,1848,+40%,441,+36%,1848 kj(441 kcal),+36%,20,+71%,"5,6",+34%,56,+20%,36,+59%,"7,1",+1%,"0,77",+5%,"0,308",+5%,20,+54%,E,+54%,B,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'es:mantequilla']",67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,Crepes rellenos de chocolate,['Sachet'],"['FR 29.181.601 CE', 'Plouédern (Finistère, France)']","['Contient du lait', 'Point Vert', 'Sans colorants', 'Sans conservateurs']",,['Spain'],,,,,
614,Cornichons au vinaigre de cidre - Bravo Hugo,3701037403075,,['Bravo Hugo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",,['France'],"['Cornichons', 'vinaigre de cidre', 'eau', 'oignons', 'sel de Camargue', 'graines de moutarde']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.4 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,18,-10%,75 kj(18 kcal),-5%,"0,4",+36%,0,-100%,1,-49%,"0,5",-59%,2,+83%,"2,1",+17%,"0,84",+17%,3,+47%,C,+47%,,['Moutarde'],,,,,,,,,['Bouteille'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
615,pbKing,5902379505030,,,,,['France'],"[""Pâte d'arachide 62% [faite à base d'arachides illées et moulues"", 'huile végétale ', ""l'huile de noix de coco"", ""l'huile de colza"", 'sucre', 'émulsifiant: lécithine ', 'de soja', '1J', 'Chocolat au lait 38% [sucre', 'lait entier en poudre', 'beurre de cacao', 'masse de cacao', 'lactose ', 'du lait', 'mulsifiant: lécithine ', 'de tournesol', ']', 'Peut contenir: gluten', 'autre noix', 'sésame et produits dérivées', 'oeufs', 'conserver dans un endroit frais et sec', 'PL PRALINA Z NADZIENIEM MASŁO ORZECHOWE', 'Składniki: pasta z orzechów arachidowych prażonych 62%']",['E322i - Lécithine'],['Non végétalien'],4,,,,,,,,,?,,578,,2418 kj(578 kcal),,"38,3",,18,,48,,37,,"9,7",,"0,22",,"0,088",,,,,,,"['Lait', 'Soja']",,,,,,,,,,,,,,,,,,
616,Beurre de cacahuettes bio - AH,8718906652750,,['AH'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",,"['France', 'Pays-Bas']",[],,[],,54 g,en quantité élevée,11 g,en quantité élevée,4 g,en faible quantité,0.1 g,en faible quantité,2743,+8%,662,+10%,2743 kj(662 kcal),+10%,54,+12%,11,+33%,"8,7",-40%,4,-37%,31,+26%,"0,1",-81%,"0,04",-81%,13,+18%,D,+18%,C,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,
