,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
94,Baguette Migros,07459573,['France'],[],[],?,247,1033 kj(247 kcal),"0,7","0,19","50,2","1,54","8,6",,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,,
95,La perche,2602615049856,['France'],[],[],?,430,1799 kj(430 kcal),"33,5","14,1","6,7","2,63","25,4","['Viande Française', 'Viande Porcine Française']","4,47","1,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Miel d'acacia,3447865400069,['France'],[],[],?,?,,?,,?,,?,,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
97,Fritures- chocolat noir - La Maison Du Chocolat - 300g,3700840177043,['France'],[],[],?,560,2343 kj(560 kcal),37,22,45,42,6,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Maison Du Chocolat'],300 g,,,,,,,,,,,,
98,4260280750668,4260280750668,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Nut Butter - 170g,8718774011819,['France'],[],[],?,604,2527 kj(604 kcal),"50,8","5,9","10,5","4,8",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,
100,Kartoffel - 660g,4304218725356,['France'],[],[],?,59,247 kj(59 kcal),"0,5","0,1",12,"0,5","1,1",,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660 g,,,,,,,,,,,,
101,Les tréfines de volailles délice de poulet - Berni - 150g,3264057559943,['France'],[],[],?,443,1854 kj(443 kcal),2,"0,7",3,0,19,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Berni'],150 g,,,,,,,,,,,,
102,Salsa Chipotlera Organica,8437019085025,['France'],[],[],?,80,335 kj(80 kcal),4,"0,7",10,5,"0,5","['Bio', 'Bio européen', 'ES-ECO-016-CL']",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sucette,5034538000497,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Ice tea,8690558032152,['France'],[],[],?,138,577 kj(138 kcal),0,0,"5,9",2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Chocolat Lait Gourmand bio,3266052543019,['France'],[],[],?,583,2439 kj(583 kcal),40,"24,3","48,5","47,7","6,5","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,250g,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,"['Plastique', 'Sous-vide']",,,,,,,,,,
107,Crème fraîche légère épaisse - Alsace lait - 5kg,3262970703559,['France'],"['Crème* fraîche légère', 'épaississants ', ' amidon modifié et pectines', 'ferments lactiques', ' * Origine : France']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",696,168,696 kj(168 kcal),15,10,"5,6","3,7","2,7",,"0,09","0,036",C,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",15 g,en quantité modérée,10 g,en quantité élevée,3.7 g,en faible quantité,0.09 g,en faible quantité,+6%,+4%,+5%,+6%,+6%,+3%,-5%,-2%,-17%,-17%,11,+12%,D,+12%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Alsace lait'],5 kg,,,,,Crème fraîche légère épaisse à 15% de matière grasse,"['67723', 'Hoerdt', 'France']","['E14XX - Amidons modifiés', 'E440 - Pectines']",['Lait'],4,,,
108,Croissants,0208033014432,['France'],[],[],?,531,2222 kj(531 kcal),33,23,46,8,11,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Yaourt bifidus - Leader Price,3291331124009,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,['Leader Price'],,,,,,,,,,,
110,Pain complet,0216014009841,['France'],[],[],?,221,925 kj(221 kcal),"1,6","0,4",40,2,"8,5",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Fromage blanc nature 0% - Bibeleskaes - Alsace Lait - 5kg,3262970805079,['France'],"['Lait* paşteurisé', 'ferments lactiques', ' * Origine : France', ' À conserver entre +2 °C et +6 °C']",[],219,52,219 kj(52 kcal),"< 0,5","0,2",5,5,"7,9",,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Alsace Lait'],5 kg,,,,,Fromage blanc nature à 0% de matière grasse,"['67723', 'Hoerdt', 'France']",,['Lait'],,,,
112,Pave cereales,0216396005844,['France'],[],[],?,280,1172 kj(280 kcal),4,"0,9",50,"3,3","8,6",,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,la pettite gaterie,3760099400484,['France'],[],[],?,42,176 kj(42 kcal),0,0,"9,5","8,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,escalope de dinde,2689119060815,['France'],[],[],?,?,,?,,?,,?,['Fabriqué en France'],,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
115,Filet de poulet -,2487391040606,['France'],[],[],?,108,452 kj(108 kcal),"1,8","0,5",0,0,23,"['Nutriscore', 'Nutriscore A']","0,13","0,052",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,-17%,-38%,-33%,-100%,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
116,Chicken,0217013040736,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Beignet fourrés,0202149019688,['France'],[],[],?,323,1351 kj(323 kcal),14,"6,6",42,12,"5,4",,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Pain marguerite au cereales,0260027019359,['France'],[],[],?,286,1197 kj(286 kcal),"6,5","0,8",45,"1,2",10,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Instamehl - Aurora - 1000g,4000406070108,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aurora'],1000g,,['Produkt'],,,,,,,,,,
120,Souffre Organique en cristaud,3760222091350,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Maïs,3700196630025,['France'],[],[],?,439,1837 kj(439 kcal),12,"4,7",77,"0,5",6,,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,02679556,02679556,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Glaces artisanales,3760244101372,['France'],[],[],?,246.5,1031 kj(246 kcal),"12,8","7,1","27,3","24,2","5,5",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Filò  Marc est   Avène  bio   Oui,8007905005705,['France'],[],[],?,100,418 kj(100 kcal),"0,1","0,1","0,1","0,1","0,1",['Bio'],"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Thé Heaven - Nordqvist - 35g,6413446001205,"['Finlande', 'France']",[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Nordqvist'],35g,,,,,,,,,,,,
126,Filets de poulet - Monoprix,2201270030638,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Monoprix'],,['Monoprix'],,,,,,,,,,,
127,Purée de poire,3389132000070,['France'],[],[],?,?,,?,,?,,?,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Miele Ciok - 3x 635g,8008698022719,['France'],[],[],?,514,2151 kj(514 kcal),27,14,58,29,"6,8",['en:gluten-free'],"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 x 635 g,,,,,,,,,,,,
129,Confiture de noix - 190g,3760041900147,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 g,,,,,,,,,,,,
130,Nour,2459885005279,['France'],[],[],?,94,393 kj(94 kcal),"1,2","0,4","4,5","2,6",17,"['en:gluten-free', 'Fabriqué en France']","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pêches au sirop léger - Agidra,3580282297123,['France'],[],[],?,62,259 kj(62 kcal),"0,5",0,15,13,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agidra'],,,,,,,,,,,,,
132,Sorbet kiwi bio - 4x 70g,3770006482274,['France'],[],[],?,?,,?,,?,,?,"['Bio', 'Sans arômes artificiels', 'Sans colorants']",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 70 g,,,,,,,,,,,,
133,Chaussons aux pommes - Les 3 Meuniers,0203353018375,['France'],"['Chausson aux pommes ', 'pate 60% :farine de BLÉ', 'BEURRE 21,6%,eau,sel', 'dorure ', 'ŒUFS', '- garniture 40% ', 'purée de pommes concentrée 20%', 'morceaux de pommes 12%', 'sirop de glucose-fructose', 'sucre', 'Traces de FRUITS A COQUES']",['Non végétalien'],1515,363,1515 kj(363 kcal),22,14,36,12,"4,3",,"0,64","0,256",B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",22 g,en quantité élevée,14 g,en quantité élevée,12 g,en quantité modérée,0.64 g,en quantité modérée,,+15%,+15%,+22%,+22%,+9%,+13%,+10%,+7%,+7%,18,+6%,D,+6%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,['Les 3 Meuniers'],,,['Plastique'],,,,,,"['Œufs', 'Gluten', 'Lait']",4,,,
134,Paris brest,0207459019618,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,,,,,,,,,,,,,,,,,,,,,,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,,,
135,Le Coeur Frais Chevre - Fleury Michon,3302748369027,['France'],[],[],?,136,569 kj(136 kcal),"7,4","3,1",11,"2,6","6,4","['Sans conservateurs', 'Nutriscore', 'Nutriscore D']","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fleury Michon'],,,,,,,,,,,,,
136,Scoubidou Et Le Monstre Du Lac,5051889465355,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Poivre noir,3760086320276,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,7033330088120,7033330088120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Pain au mais 300g,0057026009180,['France'],[],[],?,284,1188 kj(284 kcal),"6,5",1,45,"1,4",11,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Pizza,2020000134886,['France'],[],[],?,351,1469 kj(351 kcal),21,"8,1",25,"3,6",15,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bars ... nougat,6134935000010,['France'],[],[],?,438,1833 kj(438 kcal),"13,7",0,"67,7",0,"7,9",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Poivrons confits - Sud'n'sol - 300g,3585510020450,['France'],[],[],?,141,590 kj(141 kcal),"9,5","0,7","9,9","8,9","2,2",['Sans conservateurs'],"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Sud'n'sol""]",300 g,,,,,,,,,,,,
143,Escalope de dinde - Maître Coq,0215516032210,['France'],[],[],?,445,1862 kj(445 kcal),1,"0,3",0,0,24,['Nutriscore'],"0,18","0,072",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,,+268%,+269%,-24%,-26%,-100%,-100%,+5%,-68%,-68%,0,,B,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Maître Coq'],,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,
144,Test,9782298023077,['France'],[],[],?,?,,?,,?,,?,,,,,"['Non alimentaire', 'en:Tests']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Véritable caillette du Var - 150g,3453590091090,['France'],[],[],?,282,1180 kj(282 kcal),23,"9,2","1,4","1,4",18,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,
146,Haricots rouges - Marmara,4012625438300,['France'],[],[],?,466,1950 kj(466 kcal),"0,6",0,15,"1,8","7,9",,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Marmara'],,,,,,,,,,,,,
147,Strawberries - Asda,5054781593539,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Asda'],,,"['pet-tub', 'ppFilm-film']",,,,,,,,,,
148,Chipolotas,3384110011031,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Palette moritz,0290704056544,['France'],[],[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Viande bovine roti,0200920034707,['France'],[],[],?,197,824 kj(197 kcal),13,"5,4",0,0,20,,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sauce pimentée sriracha,0876660528334,['France'],[],[],?,139,582 kj(139 kcal),"1,2","0,2",28,22,"2,3",,"7,3","2,92",,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",1.2 g,en faible quantité,0.2 g,en faible quantité,22 g,en quantité élevée,7.3 g,en quantité élevée,,+17%,+18%,+71%,+17%,+12%,+3%,+92%,+27%,+27%,15,+2%,D,+2%,,,,,,,,,,,,,,,,,,,,,
152,3282071740130,3282071740130,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,MINI FILOCHE SEC,0251817087702,['France'],[],[],?,?,,?,,?,,?,['Sans colorants'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Escalope de dinde,2205344061993,['France'],[],[],?,?,,?,,?,,?,['Nutriscore'],,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
155,Juss tea,8696670010405,['France'],[],[],?,32,134 kj(32 kcal),0,0,"4,5","4,5",0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,3760288970781,3760288970781,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Anchois Marines à L'orientale 200g - 200g,3434707591009,['France'],[],[],?,163,682 kj(163 kcal),"8,9","1,7","1,6","0,2","19,2",,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,
158,Chips craquantes nature - Snack Day,66659440,['France'],[],[],?,540,2259 kj(540 kcal),34,"2,7","50,5","0,5",6,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Snack Day'],,,,,,,,,,,,,
159,All purpose - Morrisons - 48g,5010251863724,['France'],[],[],?,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Morrisons'],48 g,,,,,,,,,,,,
160,Cube de poulet,4260174655635,['France'],[],[],?,118,494 kj(118 kcal),"2,9",1,"1,5","0,5",22,,"1,9","0,76",D,"['Viandes', 'Volailles', 'Poulets']",2.9 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-22%,-22%,-50%,-33%,-25%,+14%,+8%,+122%,+122%,4,+184%,C,+184%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
161,Saint Jacques sur lit de risotto aux champignons et parmesan - Guyader - 260g,3276770235264,['France'],"['Saint-Jacques* ', '22 %', 'champignons de Paris ', '13 %', 'riz ', '10 %', 'carotte', 'crème stérilisée ', 'crème', 'stabilisant : carraghénanes', ' échalote', 'beurre', 'parmesan ', '2,5 %', 'ail', 'huile de colza', 'sel', 'persil', 'épaississant : gomme xanthane', 'paprika', 'poivre', ' Traces éventuelles de céleri', 'céréales contenant du gluten', 'crustacés', 'fruits à Coques', 'lupin', 'moutarde', 'oeuf', 'poisson', 'graines de sésame', 'soja', 'sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"5,3","0,9","8,6","0,7","7,1",,"0,43","0,172",B,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Plats aux fruits de mer', 'Risotto aux fruits de mer', 'Plats aux noix de Saint-Jacques']",5.3 g,en quantité modérée,0.9 g,en faible quantité,0.7 g,en faible quantité,0.43 g,en quantité modérée,,-39%,-37%,-6%,-64%,-52%,-13%,+19%,-37%,-37%,-2,-158%,A,-158%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,['Guyader'],260 g,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Lait', 'Mollusques']",4,,,
162,Chocolat noir,3760167945442,['France'],[],[],?,478,2000 kj(478 kcal),36,"21,6","45,9","0,1","5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Palette à la diable - Clermont,2462972058584,['France'],[],[],?,132,552 kj(132 kcal),"5,8","2,3","0,5","0,4","19,7",,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clermont'],,,,,,,,,,,,,
164,Glace au nougat avec morceaux de nougat de Montélimar - Glace de la Ferme,8717524108960,['France'],[],[],?,265,1109 kj(265 kcal),"11,7","4,7","30,7","24,3","4,7",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glace de la Ferme'],,,,,,,,,,,,,
165,Jambon cuit extra,8436049654003,['France'],[],[],?,405,1695 kj(405 kcal),2,"0,6",1,1,"18,5",['en:gluten-free'],"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Tomme des croquants,0258072031167,['France'],[],[],?,375,1569 kj(375 kcal),31,22,"1,5",0,23,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Cordon bleu de volaille,2378734620756,['France'],[],[],?,236,987 kj(236 kcal),15,"3,5",13,"2,2",12,"['Viande Française', 'Halal', 'Volaille-francaise']","1,3","0,52",D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",15 g,en quantité modérée,3.5 g,en quantité modérée,2.2 g,en faible quantité,1.3 g,en quantité modérée,,-8%,-8%,-9%,-18%,-8%,+47%,-1%,-0%,-0%,5,-56%,C,-56%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,
168,Olio extravertie di oliva,8014531200626,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Moutarde à l'ancienne - Ma Pincée de Bio,3302950003078,['France'],[],[],?,167,699 kj(167 kcal),12,"0,9",4,2,"6,9",['Bio'],"6,1","2,44",C,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",12 g,en quantité modérée,0.9 g,en faible quantité,2 g,en faible quantité,6.1 g,en quantité élevée,,+3%,+3%,+6%,+13%,-13%,-19%,-5%,+23%,+23%,12,+21%,D,+21%,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,['Ma Pincée de Bio'],,,,,,,,,,,,,
170,Miel d'acacia,3760097459156,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
171,Vin blanc,3274440061533,['France'],[],[],?,?,,?,0,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",,,,,,,,,,,,,-100%,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,
172,California thon Mayonaise Crunch Tuna - 150g,3701292606365,['France'],[],[],?,247,1033 kj(247 kcal),12,"2,7",29,"4,4","5,1",,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,
173,amazing grass,0829835002191,['France'],"['Supplement Facts Serving Size - one packet ', '8 grams', ' Servings per container - 15 Amount Per 100g Serving % RDA Amount Per 8g Serving % RDA Energy Eneray from Fat Total Carbohydrate Dietary Fiber Sugars Protein Vitamin A ', 'as beta carotene', ' Vitamin C Vitamin K Calolum Iron Sodium Potassium Amazing Grass Green Food Blend: Amazing Grass proprietary algae blend ', 'Organic Spirulina', 'Organic Chlorella ', 'cracked cell-wall', 'E3 Live AFA - Organic Aphanizomenon Flos-Aquae', 'Organic Barley Grass', 'Organic Wheat Grass', 'Organic Alfalfa', 'Organic Nettle', 'Organic Kale', 'Organic Kelp', 'Organic Bladderwrack', 'Organic Rockweed', 'Organic Sea Lettuce', 'Organic Dulse', 'Organic Alaria Herbal & Support Foods Blend: Organic Maca', 'Organic Burdock Root', 'Organic Ginger', 'Organic Dandelion', 'Organic Aloe Vera', 'Organic Cayenne EFA Fiber Blend: Organic Flax Seed', 'Chia Seed Digestive Enzyme & Active Culture Pre/Probiotic Blend: Bacillus subtilis', 'Bifidobacterium bifidum', 'Bifidobacterium breve', 'Bifidobacterium longum', 'Lactobacillus acidophilus', 'Lactobacillus casei', 'Lactobacillus paracasei', 'Lactobacillus plantarum', 'Lactobacillus hamnosus', 'Streptococcus thermophilus', 'Amylase ', 'A', ' oryzae', 'Cellulase ', 'A', ' niger', 'Protease ', 'A', ' oryzae', ' and Lipase ', 'R', ' oryzae', ' 335 50 42 g 22 g 3 g 25 g 9,538 IU 19 mg 712 mcg 1,022 mg 34 mg 585 mg 1,190 mg 14% 88% 49 1% 49 191% 32% 890% 102% 189% 24% 34% 2g 758 IU 2 mg 57 mcg 82 mg 2', '7ற0ு 10mg 115 mg 5', '5 g 15% 3% 71% 8% 15% <1% 3% 1', '6 g 700 mg 4', ' 255 mg t Daily Value not established', ' *Percent Daily Values are based on a 2,000 calorie diet', ' Product of the U', 'S', 'A', ' with select ingredients thoughtfully curated from around the world', ' dlu Dictributed by Amazing Grass Amazing Grass']",[],?,?,,?,,?,,?,"['Bio', 'Sans gluten', 'Bio usa organic']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['amazing grass'],,,['sachet 8g'],['#7G0657'],,,,"['E101 - Riboflavine', 'E1100 - Amylases', 'E1101 - Protéases']",,4,,,
174,Tapenade noire - 90g,3296941220073,['France'],[],[],?,268,1121 kj(268 kcal),28,"3,8","2,2","0,5","1,8",['Fabriqué en France'],4,"1,6",C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",28 g,en quantité élevée,3.8 g,en quantité modérée,0.5 g,en faible quantité,4 g,en quantité élevée,,-3%,-3%,+4%,+8%,-30%,+7%,+2%,+28%,+28%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,90 g,,,"['EMB 30189J', 'Nîmes (Gard, France)']",,,,,,,,,
