,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
548,Parmigiano,8033976251802,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,['France'],[],,,[],,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",+0%,"0,64",+0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
549,Tartufi Jimmy Salsa Tartufata Al 5% Smal,8033993040168,,,,['Tartufi Jimmy'],,"['Fabriqué en Italie', 'Sans conservateurs']",,['France'],"['Funghi coltivati ', 'Agaricus bisporus', 'Olio di Semi di Girasole 11%', 'Olio Extra Vergine di Oliva 5 %', 'Olive Nere', 'Sale', 'Tartufo Estivo 1 % ', 'Tuber aestivum vitt']",,,[],,,,,,,,,,?,,248,,1038 kj(248 kcal),,"24,1",,"3,2",,1,,"0,9",,"4,4",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
550,Fusilli - Bio nature - 500g,8034063240037,B,500 g,,['Bio nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur']","['Bio', 'Bio européen', 'IT-BIO-009', 'AB Agriculture Biologique']",['Géant Casino'],['France'],"['Semoule demi complète de BLE dur biologique ', 'GLUTEN', 'eau']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,2 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,354,+0%,1481 kj(354 kcal),+0%,2,+23%,"0,4",+24%,70,+5%,3,+6%,12,-2%,0,-100%,0,-100%,-5,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Italie'],,,,,,,,
551,Vinaigre balsamique de Modène - Bio Naturae - 250ml,8034063245766,B,250 ml,,['Bio Naturae'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IGP']",,['France'],"['Vinaigre de vin ', 'SULFITES', 'Moût de raisin concentré ', 'SULFITES', 'Moût de raisin cuit', 'SULFITES']",,['Anhydride sulfureux et sulfites'],['Sans huile de palme'],2,0 g,en faible quantité,0 g,en faible quantité,23.9 g,en quantité élevée,0.01 g,en faible quantité,?,,120,-18%,502 kj(120 kcal),-18%,0,-100%,0,-100%,"23,86",-25%,"23,86",-18%,"0,93",+40%,"0,01",-86%,"0,004",-86%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
552,Croccantini,80360421,,,,,,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,527,,2205 kj(527 kcal),,"30,2",,"8,6",,"38,6",,"8,6",,10,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
553,Jus de tomate - Zuegg,80415695,,,,['Zuegg'],['Boissons'],,,['France'],"['jus de tomates', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.39 g,en faible quantité,0.1 g,en faible quantité,2.5 g,en quantité modérée,0.58 g,en quantité modérée,?,,22,-61%,92 kj(22 kcal),-62%,"0,39",+12%,"0,1",-15%,"3,13",-72%,"2,5",-74%,"1,37",+176%,"0,58",+1298%,"0,232",+1298%,5,-35%,C,-35%,,,,,,,,,,,,,,,,
554,Mortadelle Bologna JGP - Citterio,80422136,,,,['Citterio'],,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,298,,1247 kj(298 kcal),,26,,"9,6",,"0,5",,"0,5",,16,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,
555,Salame Spianata - Citterio,80422242,,,,['Citterio'],,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,314,,1314 kj(314 kcal),,22,,"8,8",,"0,5",,"0,5",,29,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,
556,Parmigiano reggiano - Gran Duca - 100g,80483007,C,100 g,['Plastique'],['Gran Duca'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['AOP'],,['France'],"['lait', 'sel', ' présure', ' M', 'gss', ' : 32% min']",,['Lait'],['Non végétalien'],3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,1671,+1%,402,+0%,1671 kj(402 kcal),+0%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",+0%,"0,64",+0%,16,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Italie'],,,,,,,,
557,Huiles de Sésame,8052440136339,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']","['Bio', 'en:gluten-free']",,['France'],[],,,[],,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-4%,3464 kj(828 kcal),-4%,92,-4%,14,-5%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-4%,D,-4%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,
558,Mole cola,8054377870232,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"10,6",,"10,6",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
559,Apple juice - Poesie Di Frutta - 200ml,8054619491324,C,200 ml,['Botella'],['Poesie Di Frutta'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,9.8 g,en quantité élevée,0.01 g,en faible quantité,?,,187,+307%,782 kj(187 kcal),+309%,"0,5",+205%,"0,1",+213%,10,-8%,"9,8",-5%,"0,5",+135%,"0,01",-8%,"0,004",-8%,7,+69%,D,+69%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
560,CroccainBocca Sésame,8055118431521,,,,,,['Fabriqué en Italie'],,['France'],[],,,[],,,,,,,,,,?,,404,,1690 kj(404 kcal),,"8,5",,"1,9",,"66,8",,"1,3",,"12,9",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,
561,Limonade Chinotto,8055965021036,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,46,,0,,11,,11,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
562,Huile de coco bio - NaturaleBio,8057949200000,,,,['NaturaleBio'],['Matières grasses'],"['Bio', 'en:gluten-free', 'Sans lactose', 'Sans conservateurs']",,['France'],"['0110 Dl COCCO BIOLOGICO EXTRAVERGINE cocco INFORMAZIONI NUTRIZIONAU Acido CIO 09 Acido mtristlco ', 'g', ' CONSIGLI PER LA CONSERVAZIONE Conservere ln luogo fresco e asciutto Il prodttto st sctog!te a']",,,[],,22.3 g,en quantité élevée,20.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,200.4464,-75%,839 kj(200 kcal),-75%,"22,304",-75%,"20,549",-10%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,12,+6%,D,+6%,,,,,,,,,,,,,,,,
563,Balsamic Vinegar of Modena - Ponti,80522621,,,['Product'],['Ponti'],,,['Delhaize'],"['Belgique', 'France', 'Pays-Bas']",[],,,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,0,,0,,19,,19,,"0,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
564,Creme Glacee Stracciatella - Balance,80625469,,,,"['Balance', 'Match']",,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,201,,841 kj(201 kcal),,10,,"6,9",,25,,24,,"2,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
565,CRÈME GLACEE A LA VANILLE - Gildo Rachelli - 500ml,80625476,B,500 ml,,['Gildo Rachelli'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['Bio', 'Bio européen', 'en:gluten-free', 'Bio-dynamie', 'Demeter', 'Fabriqué en Italie']",,['France'],"['lait frais pasteurisé', 'crème', 'sucre brut de canne', 'sirop de manioc', 'stabilisant: farine de graines de caroube', 'vanille en poudre ', '0,15%']",['E410 - Gomme de caroube'],['Lait'],['Non végétalien'],4,8.3 g,en quantité modérée,5.3 g,en quantité élevée,24 g,en quantité élevée,0.1 g,en faible quantité,?,,184,-16%,770 kj(184 kcal),-16%,"8,3",-24%,"5,3",-23%,25,-5%,24,+7%,"2,4",-28%,"0,1",-34%,"0,04",-34%,12,-5%,D,-5%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
566,Prosciutto Cotto Il Tartufo - Citterio,80625513,,,,['Citterio'],,"['Point Vert', 'Entrepreneurs + Engagés']",,['France'],"['—In redi nts: cuisse de porc', 'sel', 'truffe ', 'tier aestivuml dextròse sucre', 'arômes naturels entioxydant ', '€301', 'conservateur ', 'Ei50', 'Produit emballé sous protectrice', ' e']",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,162,,678 kj(162 kcal),,8,,"3,2",,1,,1,,19,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,
567,Double concentré de tomates - Giaguaro - 70g,80658283,,70 g,,['Giaguaro'],,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,74,,310 kj(74 kcal),,"0,5",,0,,"12,9",,"12,9",,"4,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
568,Barilla Maccheroncini Al Pettine GR 250 - Emiliane,8076809539029,,,,['Emiliane'],,,,['France'],[],,,[],,,,,,,,,,?,,371,,1552 kj(371 kcal),,5,,"1,5",,65,,3,,"14,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
569,Sauce provençale tomates italiennes mûries au soleil - Barilla,8076809543972,B,,,['Barilla'],"['Epicerie', 'Sauces', 'Sauces tomate']",['en:gluten-free'],,['France'],"['Pulpe de tomates 65%', 'eau', 'concentré de tomates 9%', 'oignons', 'huile de toumesol', 'sel', 'sucre', 'persil 0,6%', 'thym 0,4%', 'ail', 'origan 0,08%', 'poivre noir']",,,[],3,9 g,en quantité modérée,0.3 g,en faible quantité,5 g,en quantité modérée,1 g,en quantité modérée,?,,284,+223%,1188 kj(284 kcal),+233%,9,+317%,"0,3",-14%,9,-24%,5,-49%,"1,4",-10%,1,-22%,"0,4",-22%,6,+17%,C,+17%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,
570,Farfalle Tricolore n. 165 - Barilla - 500g,8076809544092,B,500 g,"['Boîte', 'Carton']",['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Farfalles', 'Pâtes sèches aromatisées et colorées', 'Farfalles aromatisées et colorées']","[""Importé d'Italie"", 'N° 1 in Italia']",['Carrefour'],['France'],"['Semoule de blé dur', 'demi-concentré de tomates ', '8 %', 'épinards déshydratés ', '0,6 %', 'eau']",,['Gluten'],[],1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.025 g,en faible quantité,?,,364,+2%,1523 kj(364 kcal),+2%,2,+20%,"0,5",+38%,"71,7",+1%,"3,5",+0%,12,-1%,"0,025",-48%,"0,01",-48%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,"Pâtes alimentaires au blé dur, pâtes à la tomate et pâtes aux épinards",,http://www.barilla.fr/produits/Pates/Classiques/Farfalle_tricolore.htm,,['Italie'],,,
571,Spaghetti - Barilla,8076809547277,,,,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,['France'],[],,,[],,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,?,,359,+2%,1502 kj(359 kcal),+1%,2,+14%,"0,5",+35%,"70,9",+3%,"3,5",+18%,"12,8",+8%,"0,013",-46%,"0,005",-46%,-1,,A,,,,,,,,,,,,,,,,,
572,Barilla 5 Cereali Fusilli GR. 400 - 400g,8076809571937,,400 g,,['Barilla'],,,,"['France', 'Italie']",[],,,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"2,2",,"0,5",,"66,6",,3,,13,,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,,,
573,Frollini aux pepites de chocolat - Barilla,8076809574037,C,,,['Barilla'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['France', 'Espagne']",[],,,[],,23.2 g,en quantité élevée,6.9 g,en quantité élevée,23.3 g,en quantité élevée,0.288 g,en faible quantité,?,,495,+4%,2071 kj(495 kcal),+4%,"23,2",+12%,"6,9",-32%,"61,7",-4%,"23,3",-21%,"7,3",+12%,"0,288",-51%,"0,115",-51%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
574,Tomates confites - Ponti,80724933,,,,['Ponti'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés']",['Fabriqué en Italie'],,['France'],[],,,[],,15.1 g,en quantité modérée,12 g,en quantité élevée,6 g,en quantité modérée,3 g,en quantité élevée,?,,203,+199%,849 kj(203 kcal),+211%,"15,1",+763%,12,+3927%,"8,4",+12%,6,+5%,"4,3",+117%,3,+357%,"1,2",+357%,16,,D,,,,,,,,,,,,,,,,,
575,Mentos pure fresh,80730798,,,,['Mentos'],,['Contient une source de phénylalanine'],,['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'sirop de maltitol', 'maltédulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'sirop de maltitol', 'aspartame', 'acésulfame-K', 'sucralose', 'gomme base', 'stabilisant ', 'glycérol', 'arômes', 'fécule', 'maltodextrine', 'émulsifiants ', ""sucroesters d'acides gras"", 'lécithine de soja', 'graisse de noix de coco', 'épaississant ', 'gomme de cellulose', 'gomme xanthane', 'gomme arabique', 'extrait de thé vert ', '0,1%', ""agent d'enrobage "", 'cire de carnauba', 'antioxydants ', 'E321', 'colorant ', 'bleu brillant FCF', 'curcumine', ' Contient une source de phénylalanine']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E100 - Curcumine']",['Soja'],[],4,,,,,,,,,?,,183,,766 kj(183 kcal),,"0,3",,"0,3",,74,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
576,Gelatina tropical - Royal,8410000812343,,,,['Royal'],,,,['France'],"['Ene ia/Valorene ético Li idos/Grasas os uaissatura os e ascuaessatura as - Hi ratos ea ono ', "" dos uaisa 'cares/deloscualesazücares ira i raaimentana rotenas""]",,,[],,,,,,,,,,?,,57,,238 kj(57 kcal),,"0,1",,"0,1",,"12,5",,"12,5",,"1,4",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,
577,Aceite Oliva Carbonell Ensalada Pastas Y Ensalada Spray 200ML,8410010262688,D,,,['Carbonell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,['France'],"['aceite • de Oliva refinado', 'aceite de Oliva virgen', ' *Unaraci6nequivateauna pulsacién media 51 g', ' 183 pulsaciones envase', ' exclusivamente aceites de Oliva quesehayansometido aun ratamientoderefinado y de aceites obtenidos directamentedeaceitunas']",,,"[""Pourrait contenir de l'huile de palme""]",,100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
578,Maestro - Paladin - 33g,8410014040053,D,33 g,"['Sachet', 'Plastique']",['Paladin'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['Point Vert'],,"['France', 'Espagne']","['Sucre', 'épaississants ', 'E1442', 'tara', 'poudre de cacao dégraissée', 'arômes', 'sel']",['E1442 - Phosphate de diamidon hydroxypropyle'],,[],4,,,,,,,,,1630,+10%,383,+15%,1630 kj(383 kcal),+14%,"1,8",-58%,"1,1",-57%,85,+34%,66,+17%,4,-37%,"0,38",+82%,"0,152",+82%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,http://www.idilia.es/marca/paladin/,,,,,
579,Miel pop's - Kellog's,8410014311108,,,,"[""Kellog's""]",,,,['France'],"['NOTRE RECETTE ', 'osrnECEPT Sirop de malt d orge', 'Vitamines Glucosesiroop', 'féiò', 'ine', '\\1001 Bcvat mogeiijk: 1 portie 1 portion fonction des Cette de 25 ,ottiexzn25gÉznpyEràndeirŒ/iduele vit,', ' ', 'l CONTACTEZ-NOUS', ' CONTACTEERONS']",,,[],,,,,,,,,,?,,380,,1590 kj(380 kcal),,"1,1",,"0,2",,85,,28,,"5,4",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,
580,Aceitunas Verdes Rellenas De Pimiento La Sevillana,8410021542434,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies']",,,['France'],[],,,[],,15 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,4 g,en quantité élevée,?,,141,-14%,590 kj(141 kcal),-13%,15,-6%,0,-100%,0,-100%,0,-100%,"0,9",-45%,4,+21%,"1,6",+21%,11,-10%,D,-10%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,
581,Mentos fruit,8410031949094,,,,['Mentos'],,,,['France'],[],,,[],,,,,,,,,,?,,388,,1623 kj(388 kcal),,"1,9",,"1,9",,92,,69,,0,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
582,Liz.cupa-cups Cola-Kant.150 / 1-Etali - Chupa Chups,8410031992694,,,,['Chupa Chups'],,,,['France'],[],,,[],,,,,,,,,,?,,393,,1644 kj(393 kcal),,0,,0,,97,,79,,0,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
583,Sardinillas picantonas - Albo,8410032004983,D,,,['Albo'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve']",,,"['France', 'Espagne']",[],,,[],,17 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,232,+0%,971 kj(232 kcal),+1%,17,+6%,"1,8",-50%,2,+257%,0,-100%,17,-17%,"1,1",+19%,"0,44",+19%,2,-61%,B,-61%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,
584,Berberechos Al Natural - PAY PAY,8410042145300,,,,['PAY PAY'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,,"['France', 'Espagne']","['I inqredientestpefberechos', ""aguaysals Irjgreclientsï Cookies waterand saltu Ingrédient'* Coquesë "", 'eau']",,,[],,1.2 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,?,,77,-64%,322 kj(77 kcal),-64%,"1,2",-91%,"0,3",-89%,"4,5",+453%,0,-100%,12,-40%,2,+100%,"0,8",+100%,3,-31%,C,-31%,,,,,,,,,,,,,,,,
585,Trozos de Calamares en Tinta - Pay pay,8410042156412,,,,['Pay pay'],,,,['France'],[],,,[],,,,,,,,,,?,,134,,561 kj(134 kcal),,"7,7",,1,,"4,3",,0,,"11,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
586,Siro party remix,8410043071400,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,440,,1841 kj(440 kcal),,14,,9,,69,,"3,5",,8,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,
587,"Chorizo, Deftig - Espuña",8410060123403,,,,['Espuña'],,,['Magasins U'],['France'],[],,,[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,34,,18,,3,,3,,25,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,
588,JAMON CURADO BODEGA 400 G. ESPUñA,8410060182905,,400 g,,['Espuña'],"['Viandes', 'Charcuteries', 'Jambons', 'es:Jamón Curado']",['en:gluten-free'],,['France'],[],,,[],,12 g,en quantité modérée,4 g,en quantité modérée,1.5 g,en faible quantité,5.2 g,en quantité élevée,?,,234,-4%,979 kj(234 kcal),-4%,12,+1%,4,-5%,"1,5",+90%,"1,5",+110%,30,+2%,"5,2",+6%,"2,08",+6%,15,-7%,D,-7%,,,,,,,,,,,,,,,,
589,Jambon Sec De Dinde - Espuña,8410060287907,E,,,['Espuña'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Jambons secs', 'en:raw-cured-ham']",,['Magasins U'],['France'],[],,,[],,6.2 g,en quantité modérée,2.5 g,en quantité modérée,1 g,en faible quantité,3.5 g,en quantité élevée,?,,192,+78%,803 kj(192 kcal),+79%,"6,2",+183%,"2,5",+283%,1,-26%,1,+14%,33,+64%,"3,5",+85%,"1,4",+85%,14,+191%,D,+191%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,
590,Tapas Al Minuto - Mini Brochettes de Porc aux Fines Herbes - Espuña - 80g,8410060401501,E,80 g,"['Carton', 'Plastique', 'Sous vide']",['Espuña'],"['Viandes', 'Plats préparés', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Porc', 'Brochettes', 'Plats préparés frais', 'Brochettes de viande', 'Plats au porc', 'Plats préparés à réchauffer au micro-ondes', 'Brochettes de porc']","['Point Vert', 'Pasteurisé']","['Franprix', 'Magasins U']",['France'],"['Maigre de porc', 'eau', ""huile d'olive"", 'arômes', 'sel', 'fines herbes ', '0,5 %', 'stabilisants ', 'triphosphate de pentasodium', 'carraghénanes', 'sorbitol', 'farine de graines de caroube', 'gomme xanthane', 'dextrose', 'épices', 'ail et extrait de levure']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane']",,"['Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,804,+37%,?,,804 kj(192 kcal),+20%,13,+68%,"4,5",+64%,1,-9%,1,+24%,18,+12%,2,+115%,"0,8",+115%,14,+180%,D,+180%,77.1%,15.4%,4.4%,1.9%,0.9%,0.2%,32,,Mini brochettes de porc grillées aux fines herbes,['ES 10.01699/GE CE'],http://www.espuna.es/productos?tapas-al-minuto-snacks/tapas-al-minuto/pinchitos-con-tomate-y-oregano-80-gr/F02-F0202-50230,,['Espagne'],,,
591,Tradition chorizo - Espuna - 80g,8410060680609,D,80 g,"['Barquette', 'Plastique']",['Espuna'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'Sans nitrite de sodium']","['Magasins U', 'Super U']",['France'],"['VIANDE DE PORC', 'SEL', 'PAPRIKA', 'AIL', 'EXTRAITS VÉGÉTAUX', 'DEXTROSE', 'FERMENTS']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,27 g,en quantité élevée,9 g,en quantité élevée,2 g,en faible quantité,3.4 g,en quantité élevée,?,,351,-14%,1469 kj(351 kcal),-14%,27,-21%,9,-30%,2,-32%,2,+12%,25,+9%,"3,4",-9%,"1,36",-9%,22,-8%,E,-8%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,['ES 10.01699/GE CE'],,,['Espagne'],,,
592,Patatas fritas,8410071100585,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['en:gluten-free'],,['France'],[],,,[],,33 g,en quantité élevée,3.8 g,en quantité modérée,0.5 g,en faible quantité,1.25 g,en quantité modérée,?,,542,+2%,2268 kj(542 kcal),+2%,33,+1%,"3,8",+23%,51,-1%,"0,5",-64%,"6,9",+16%,"1,25",-4%,"0,5",-4%,14,+24%,D,+24%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,
