,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
45,сухарики пшеничные со вкусом сметаны и лука -,4607120858328,"['France', 'Russie']",[],[],400,?,400 kj(96 kcal),"6,5",,77,,"9,5",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'ru:Сухарики-пшеничные']",6.5 g,en quantité modérée,,,,,,,-72%,,-72%,-8%,,+37%,,+6%,,,,,,,,,,,,,,,"['SM 1001', 'PP', '♷']",,['EAC'],,,,,,,,,,,
46,4607146900209,4607146900209,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Sonnenblumenkerne Schwarze Mit Schale, Geröstet ""poteha""",4607146900452,['France'],[],[],?,642,2686 kj(642 kcal),60,"8,6","2,6","2,1",23,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Семечки жареные Отборные соленые - Fishka - 100g,4607146900674,['France'],"['семена подсолнечника', 'соль']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2456,?,2456 kj(587 kcal),48,,16,,24,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol', 'Graines de tournesol grillées', 'ru:Семечки жареные отборные соленые']",48 g,en quantité élevée,,,,,,,,,+15%,+18%,,+29%,,+21%,,,,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,100 g,"['Sachet', 'Plastique']",['Fishka'],"['EAC', 'ru:Conformité Eurasiatique']",,,,3,Семечки жареные отборные соленые,,,,,,
49,Ravioli - Casa Morando,46045621,['France'],"['farce 50% : ricotta 34,5% ', 'sérum de lait', 'laiti sel', 'chapelure ', 'farine de blé tendre', 'levure', 'huile de tournesol', 'eau', 'fromage Edanner 4%', 'fromage mozzarella 4%', 'fromage râpé 4%', 'de lait en poudre ', 'Origine UE', 'sel', 'arômes naturels ', 'contient du lait', ' Pâte 50% farine de blé tendre,semoue de blé dur', 'œufs Traces éventuelles de austacés', 'poissons', 'fruits à coque', 'céleri et mollusques']","['Non végétalien', 'Non végétarien']",?,300,1255 kj(300 kcal),11,"3,3",38,3,12,"1,1","0,44",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",11 g,en quantité modérée,3.3 g,en quantité modérée,3 g,en faible quantité,1.1 g,en quantité modérée,,+62%,+62%,+105%,+61%,+53%,+13%,+62%,+11%,+11%,5,+23%,C,+23%,,,,,,,,,,['Casa Morando'],,,,,4,,,"['Œufs', 'Lait']",,,,
50,Bâtonnets chocolat au lait,46061560,['France'],[],[],?,527,2205 kj(527 kcal),29,15,58,34,"6,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,
51,Metrocreme - 50g,4609991,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,,,,
52,4612746920571,4612746920571,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Papillotes pomme de terre façon potatoes - Maggi,4613440391414,['France'],[],[],?,283,1184 kj(283 kcal),"3,8","0,9","50,8","22,2","7,3","19,8","7,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maggi'],"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
54,Lait concentré sucré à tartiner caramel - Nestlé,4613440580184,['France'],[],[],?,317,1326 kj(317 kcal),7,4,57,57,6,"0,18","0,072",D,"['Produits laitiers', 'Laits', 'Laits concentrés', 'Laits écrémés', 'Laits concentrés sucrés']",7 g,en quantité modérée,4 g,en quantité modérée,57 g,en quantité élevée,0.18 g,en faible quantité,,-1%,-1%,-10%,-18%,+4%,+7%,-17%,-17%,-17%,16,-12%,D,-12%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Nestlé'],,,,,,,,,['ES 15.00337/PO CE'],,,
55,Perrier,4613444579702,['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,['Perrier'],,,,,,,,,,,,
56,IceCoffee,4613452013977,['France'],[],[],?,33,138 kj(33 kcal),"0,5","0,5",8,7,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4613461247103,4613461247103,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Guigoz 2,4613465608856,['France'],[],[],?,498,2084 kj(498 kcal),"23,6","9,4","61,9","36,3","9,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Kub Or - Maggi,4613465862265,['France'],[],[],?,245,1025 kj(245 kcal),"7,7","4,3",32,16,12,45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maggi'],,,,,,,,,,,,
60,Nesquik - Nestlé,4613952339102,['France'],[],[],?,148,619 kj(148 kcal),"3,7","2,2",21,20,"7,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
61,Nesquik - Nestle,4615445530799,['France'],"['sucre', 'maltodextrine', 'dextrine de maïs', 'cacao maigre ', '18%', 'sirop de glucose', 'émulsifiant: lécithine de soja', 'minéraux: pyrophosphate de fer', 'sulfate de zinc', 'vitamines: C', 'B1', 'D', 'sel', 'cannelle', 'arômes', ' Sans Gluten']",['Sans huile de palme'],?,68,285 kj(68 kcal),"1,8",1,"8,6",7,"3,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestle'],['Sans gluten'],,,"['E1400 - Dextrines', 'E322i - Lécithine']",4,,,,,,,
62,Fruit - Mentos,46138064,['France'],[],[],?,390,1632 kj(390 kcal),2,2,92,69,0,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,,
63,Mentos Choco & Caramel 38G,46141552,['France'],[],[],?,411,1720 kj(411 kcal),"8,8","5,7",79,60,"2,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,,
64,Thé - Lipton,46169037,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lipton', 'Unilever']",,,,,,,,,,,,
65,Лукашинские варенья — клубничное - Масса нетто: 450г. Массовая доля плодов: 180г.,4620006811620,"['France', 'Russie']","['Fraise', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1067,255,1067 kj(255 kcal),0,0,64,50,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises', 'ru:Варенье', 'ru:Варенье клубничное', 'ru:Стерилизованное варенье клубничное']",0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,+16%,+18%,+17%,-100%,-100%,+21%,-1%,-100%,-100%,-100%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Масса нетто: 450 г. Массовая доля плодов: 180 г.,"['Bocal', 'Verre']",['Лукашинские'],"['ISO 22000', 'ru:Добровольная сертификация РСТ', 'ru:РСТ', 'ru:FSSC 22000', 'ru:ГОСТ Р 53118', 'ru:Дата изготовления: см. на упаковке', 'ru:Из быстрозамороженного сырья', 'ru:Срок годности: 2 года с даты изготовления', 'ru:Хранить при t от 0° до +25° C']","['Russie', 'Россия', 'Вологда']",,,3,Confiture de fraise,,,,,,
66,Whey Protein Vanillia - Women s best,4620721521347,['France'],"['IETARY SUPPLEMENT intake and preparation: For preparation', 'add 30g Whey Protein bowder ', '2 one level scoops ç atef/milk and mix everything in a shaker', ' You find the scoop inside the Can', ' Drink one ', '1', ' shake prefe AO', 'kout or for snack ', '1 - 3 shakes per day', ' Do not exceed the recommendeddailyjntake', '300 ml whey Protein supplies a well-balanced combination of ingredients', 'supporting your workout anddi best possible rate', ' Vitamins', 'Minerals and essential amino acids help you torecover after a hard workoutl mass und support your diet the most delicious way', ' Ingredients ', 'vanilla flavor', ': Whey Protein Powder 96% Ahey Protein', ' Concentrate ', '66%', ' + Whey Protein Isolate ', '30%', ']', 'natural flavors', 'sucralose as sweetengs', 'g uconate', 'Iron ', 'iron', 'll', 'sulphate', 'Copper ', 'copper sulphate', 'Vitamin BI 2 ', 'cyancobalamin on mannitol', 'Vita ftholecalciferol', 'Vitamin B6 ', 'pyridoxine hydrochloride', 'Vitamin BI ', 'thiamine hydrochloride', 'VitaminBg', 'f01i ', 'potassium iodide', 'Vitamin B7 ', 'biotin', ' Infomation: Do not use if you are allergic to any ingredient', ' If you are pregnant brea Prescription medicaments please consult your doctor', ' This supplement is recommended With a varied and balanced diet', 'not in place of one', ' May contain traces of nuts NotFDAaPP not exceed the recommended daily intake', ' HIGH-QUALITY PROTEINSO GLUTEN-FREE GMO-FREE WEIGHT•', ' e 1', '0 kg ', '2', '2 Ibs', ' CHARGE NUMBER & BEST BEFORE: see below this Product closed in a cool and dry place', ' BEST GmbH', 'Eduard-B0dem-Gasse 3', '6020 Innsbruck', 'Austria Site for more details: WWW', 'WOMENSBEST', 'COM THIS PRODUCT ls MADE IN GERMANY WITH HIGHEST QUALITY STANDARDS', ' 4 620721 52134 ok_enm/womensbest']",[],?,119,498 kj(119 kcal),"1,7","0,1","1,9","0,8",24,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Women s best'],"['en:gluten-free', 'Fabriqué en Allemagne', 'Arômes naturels']",,,['E955 - Sucralose'],4,,,['Gluten'],,,,
67,Cœurs fondants - Suchard - 42,4622420821278,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,['Suchard'],,,,,,,,,,,,
68,4622440441937,4622440441937,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Prince,4622770449283,['France'],[],[],?,93,389 kj(93 kcal),"3,5","1,1",14,"6,4","1,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Мармелад Белёвский - Фабрика Музей Города Белёв,4627096300416,['France'],"['caramel syrup', 'apple pectin', 'citric acid', 'concentrated juices ', 'blackcurrant', 'cranberry', 'raspberry', ' Nutritional value 100 g of the product: carbohydrates - 76,2 g', ' Caloric/energy value in 100 g of product 304,']",[],?,305,1276 kj(305 kcal),0,0,"76,2","76,2",0,0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",0 g,en faible quantité,0 g,en faible quantité,76.2 g,en quantité élevée,0 g,en faible quantité,,-3%,-3%,-100%,-100%,+0%,+15%,-100%,-100%,-100%,8,-3%,C,-3%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,['Фабрика Музей Города Белёв'],,,,['E330 - Acide citrique'],,,,,,,,
71,Dattes sukhari,4628111821817,['France'],[],[],?,300,1255 kj(300 kcal),"0,4",0,70,58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Pommes Pressées,46261274,['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,12,12,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
73,Candy crush soda,4630001591526,['France'],[],[],?,44,184 kj(44 kcal),0,0,"11,1","11,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Zephir aux framboises,4630014500386,['France'],[],[],?,321,1343 kj(321 kcal),0,0,79,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gold Blend - Nescafé - 300g,4631443444777,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,['Sachet'],['Nescafé'],,,,,,,,,,,,
76,Gelée au Madère - Maggi,4633957886968,['France'],[],[],?,252,1054 kj(252 kcal),"0,1","0,1","23,8","6,6",39,"29,6","11,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maggi'],['Fabriqué en France'],,,,,,,,,,,
77,Cracotte -,4639769600136,['France'],[],[],?,370,1548 kj(370 kcal),"4,9","2,3",79,33,"4,8","0,24","0,096",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes', 'Tartines craquantes grillées fourrées aux fruits']",4.9 g,en quantité modérée,2.3 g,en quantité modérée,33 g,en quantité élevée,0.24 g,en faible quantité,,-1%,-1%,-13%,-1%,+3%,-1%,-1%,-6%,-6%,14,+7%,D,+7%,62.3%,18.9%,8.2%,5.7%,4.9%,0.0%,89,,,,,,,,,Bâtonnets au blé fourrés à la framboise enrichis en fer,,,,,,
78,Sparkling aminos pêche - Foodspring,46454898,['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,2","0,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Foodspring'],,,,,,,,,,,,
79,"Filet de canard - Leader Price - 0,380kg",46469946,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"0,380 kg",,['Leader Price'],,,,,,,['Leader Price'],,,,,
80,Sea salt & balsamic vinegar hand cooked crisps,46502810,['France'],[],[],?,521,2180 kj(521 kcal),"30,4","3,2","52,8","1,9","6,7","1,83","0,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Peanut Butter,46617453,['France'],[],[],?,596,2494 kj(596 kcal),"50,3",9,"12,4","6,5","23,3","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
82,"Bière Blonde - Жигули Барное - 0,5L e",4670001490627,"['France', 'Russie']","['Eau', ""malt d'orge"", 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'ru:Lager Beer; pasteurized', 'ru:Светлое пиво']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"0,5 L e","['Bouteille', 'Verre']",['Жигули Барное'],,['Russie'],,,3,,,,,,,
83,Жигули барное бархатное - Lada - 0.5l,4670001495363,"['France', 'Russie']","['вода', 'солод ячменный', 'солод ржаной', 'хмель']","['Sans huile de palme', 'Végétalien', 'Végétarien']",195,?,195 kj(47 kcal),?,,"≤ 6,4",,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières brunes', 'ru:Пиво тёмное пастеризованное фильтрованное']",,,,,,,,,,,-11%,,,+68%,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,0.5 l,"['verre', 'bouteille']",['Lada'],"['ru:Высший сорт', 'ru:ГОСТ Р 51174-09', 'ru:ТР ТС 021/2011']",,,,3,Пиво тёмное пастеризованное фильтрованное,,,,,,
84,Pâte feuilletée pur beurre -  - 280g,4673444478023,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,,,,,,,,,,,,,,,,,,,,,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,280 g,"['Sachet', 'Plastique']",,,,,,,,,,,,,
85,Chocolat Nestle dessert noir - 205g,4673445040823,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205 g,,,,,,,,,,,,,,
86,"Sea buckthorn marmalade ""bronze horseman""",4680012111176,['France'],[],[],?,0,0 kj(0 kcal),"2,2",0,0,0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Prince - Lu - 300g,4682280449883,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300g,,['Lu'],,,,,,,,,,,,
88,4685948261735,4685948261735,['France'],[],[],?,81,339 kj(81 kcal),"2,4","0,4","10,5","2,1","5,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Sweet caramel,46879516,['France'],[],[],?,89,372 kj(89 kcal),"1,7","1,2","15,1","12,5","3,3","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bonbon - Haribo,46890719,['France'],[],[],?,338,1414 kj(338 kcal),"0,5","0,1",78,52,"6,8","0,02","0,008",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.02 g,en faible quantité,,-5%,-6%,-73%,-91%,-6%,-10%,+221%,-83%,-83%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,['Haribo'],['Halal'],,,,,,,,,,,
91,Lampone,4695254297403,['France'],[],[],?,131,548 kj(131 kcal),"0,1",0,"31,5","31,5","0,4","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Galet De La Loire - Fromagerie des Pays d'Urfe - 150g,4704413990953,['France'],"['lait cru de vache', 'ferments lactiques', 'sel', 'calcium', 'présure']","['Sans huile de palme', 'Non végétalien']",?,310,1297 kj(310 kcal),26,19,1,"0,9",19,1,"0,4",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru']",26 g,en quantité élevée,19 g,en quantité élevée,0.9 g,en faible quantité,1 g,en quantité modérée,,-8%,-8%,-5%,+3%,+79%,+177%,-13%,-33%,-33%,12,-18%,D,-18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,150g,['Frais'],"[""Fromagerie des Pays d'Urfe""]",,,,,3,,,['Lait'],"['FR 03.094.002 CE', 'Creuzier-le-Vieux (Allier, France)']",['France'],,
93,Infusion en gelée d'aloé vera,47016323,['France'],[],[],?,0,0 kj(0 kcal),0,0,"56,2","51,46","0,2","0,085","0,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Brioches pépites de chocolat - pasquier - 8,47066007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,['Pasquier'],,,,,,,,,,,,
95,4710008211099,4710008211099,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Préparation alimentaire à base de blé tendre alimentaire,4710008293781,['France'],[],[],?,475,1987 kj(475 kcal),"23,5","9,4","54,1",0,"11,8","5,6","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,sauce de soja  Anka xo  -  - 590ml,4710008321446,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590 ml,,,,,,,,,,,,,,
98,Ve Wong Ice Tea -lemon,4710008513636,['France'],[],[],?,108,452 kj(108 kcal),0,0,27,27,0,"0,045","0,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Boisson lactee,4710008543022,['France'],[],[],?,47,197 kj(47 kcal),"0,01","0,01",11,"9,9","0,9","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Almond strips & fish - VIVA,4710022020646,['France'],"['Almonds', 'Fish', 'Sugar', 'Oligosaccharide', 'Sesame seeds ', 'Sunflower Oil']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,120,502 kj(120 kcal),8,"0,5","3,5",2,8,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['VIVA'],"[""À l'huile de tournesol""]",,,,4,,,"['Poisson', 'Fruits à coque', 'Graines de sésame']",,,,
101,Pea Crakers,4710022024033,['France'],[],[],?,550,2301 kj(550 kcal),30,13,55,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Super seafood snack - Jane Jane,4710030012282,['France'],"['szrimiitoyori ', 'Nemipterusvirgatus', 'sucre', 'sorbitol', 'conservateur ', 'E451', ' ', 'X 6', 'farine de blé', 'sel', 'piment ', '0', '5%', 'ail', 'poudre debarbecue ', 'ail', 'échalotes', 'sésame', 'poudre de nix de coco', 'gingembre', 'crevettes sec', 'poudre depiment', 'poivre', 'huile de soja', 'exhausteur de goût ', 'E621 ', 'Contient mollusques', 'crustacés', 'blé', 'gluten', 'soja et sésame', "" Peut contenir des tracesd'allergène lait""]",[],?,343,1435 kj(343 kcal),0,0,70,32,15,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jane Jane'],,,,"['E420 - Sorbitol', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,"['Crustacés', 'Gluten', 'Mollusques', 'Graines de sésame', 'Soja']",,,,
103,Pollock fish snack - Jane Jane,4710030611058,['France'],"['PREPARATION A BASE DE POISSON 67,8% ', ""COLIN D'ALASKA,SUCRE"", 'HUMECTANT ', 'E420', 'EMULSIFIANT ', 'E451 FARINE DE BLE TENDRE', 'SEL', 'POIVRON ROUGE', 'EXHAUSTEUR DE COUT ', 'E621', ' PEUT CONTENIR DES TRACES DE : LAIT', 'SESAME', 'MOLLUSQUES']","['Non végétalien', 'Non végétarien']",?,329,1377 kj(329 kcal),1,"0,5","54,2",16,"25,9","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jane Jane'],,,,"['E420 - Sorbitol', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,['Poisson'],,,,
104,Instant whole oats - Quaker,4710043024906,['France'],[],[],?,140,586 kj(140 kcal),"4,9",3,"0,6",0,"0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Quaker'],,,,,,,,,,,,
105,4710043101010,4710043101010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Iced Coffee Mr Brown Milk Zero Sugar,4710085104185,['France'],[],[],?,15,63 kj(15 kcal),"0,7",0,"1,5",0,"0,8",0,0,,['Boissons'],0.7 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-73%,-74%,+102%,-100%,-87%,-100%,+61%,-100%,-100%,3,-61%,C,-61%,,,,,,,,,,['Mr. BROWN'],,,,,,,,,,,,
107,Mr. Brown coffee drink,4710085226979,['France'],"['Nápoj s mliekom a kávovým nálevom', ' Sterilizovane Obsah kofeínu 60 mg/100 ml', ' Zioženie: voda', 'kávovy 50% ', 'voda', 'kávový extrakt*', 'cukor', 'sušené odtučnen mlieko ', '2,0 %', 'sušené plnotučné mlieko ', '2,0 %', ' emulgátory: E473   a sójový lecitín', ' stabilizátor: E407 SK regulator kyslosti: E500', '* obsah sušeného kávového 1,12% v konečnom výrobku', ' Chráňte pred teplom', 'p sinečným žiarením a mrazom', ' Pred otvorením pretre Objem: 240 ml', ' Minimálna trvanlivosť do: vid dno ple Krajina pôvodu: Taiwan']",[],?,43,180 kj(43 kcal),"0,7","0,6","7,9","5,7","1,3","0,1","0,04",,['Boissons'],0.7 g,en faible quantité,0.6 g,en faible quantité,5.7 g,en quantité modérée,0.1 g,en faible quantité,,-23%,-25%,+102%,+408%,-30%,-40%,+162%,+141%,+141%,10,+31%,E,+31%,,,,,,,,,,['Mr. Brown'],,,,"['E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,,,,,,,
108,Taisun Lychee Jelly Drink,4710095805652,['France'],"['EAU 78', '73%', 'SUCRE BLANC 8%', 'FRUCTOSE 5%', 'JUS DE LITCHI 3%', 'ASCORBIQUE NATURELS 0', '03%', ' POIDS NET : 510G PRODUIT DE TAIWAN DUREE DE CONSERVATION : 15 MOIS A CONSOMMER : VOIR DATE INDIQUEE SUR LEMBu', 'AGE IMPORTATEUR SARL ADD : 94 AVENUE JEAN JAURES PANTN TEL : 01 48 91 68 FAX:Of 48 9135 51']",[],?,52,218 kj(52 kcal),0,0,13,"12,08",0,"0,078","0,031",,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,12.1 g,en quantité élevée,0.0775 g,en faible quantité,,-39%,-41%,-100%,-100%,-34%,-34%,-100%,+107%,+107%,17,+43%,E,+43%,,,,,,,,,,['Taisun'],,,,,,,,,,,,
109,Dessert au huit trésors et au monascus,4710095987501,['France'],[],[],?,66,276 kj(66 kcal),0,0,"14,9","4,6","1,5","0,098","0,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Lychee Jelly Drink,4710095990112,['France'],[],[],?,57,238 kj(57 kcal),0,0,"13,6","12,3",0,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
