,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
25,Hachis Parmentier - Casino - 300g,3222472468349,D,Plat à base d'une purée de pomme de terre (59%) et d'une farce à base de viande bovine (38%),300 g,"['Barquette', 'Plastique', 'Carton']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Hachis parmentier']","['Viande Française', 'Experimentation Etiquetage Nutritionnel 2016', 'Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore C', 'Viande-bovine-francaise']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47169-plats-cuisines-frais/P-54888-casino-hachis-parmentier-b%C5%93uf,['France'],"['Eau - viande bovine ', 'origine : France', ' 16% - purée de pomme de terre 15% - crème fraîche - champignon 5% - oignon - flocon de pomme de terre déshydraté 4% ', ""pomme de terre déshydratée - émulsifiant : mono et diglydérides d'acides gras"", ' - purée de carotte - purée de céleri - emmental râpé - oignon déshydraté - préparation aromatique [maltodextrines - arômes naturels - eau - dextrose - légumes ', 'tomate - champignon', ' - colorants : caramel ordinaire', 'curcumine', 'extrait de paprika - sel - épice et plantes aromatiques - acidifiants : acide citrique', 'acide malique] - farine de blé - amidon de maïs - chapelure ', 'farine de blé - sel', ' - persil - sel - muscade - poivre - paprika - colorant : caramel ordinaire - curcuma']","['E150a - Caramel E150a', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E330 - Acide citrique', 'E296 - Acide malique']","['Non végétalien', 'Non végétarien']",4,558,+15%,134,+6%,"7,6",+24%,11,+10%,"5,3",-15%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,"['Céleri', 'Gluten', 'Lait', 'Fromage Emmental']",558 kj(134 kcal),"4,3","1,5","0,83","0,332",7.6 g,en quantité modérée,4.3 g,en quantité modérée,1.5 g,en faible quantité,0.83 g,en quantité modérée,+8%,+48%,-7%,+14%,+14%,5,+73%,C,+73%,"['Fleury Michon Traiteur - FMT (Filiale Fleury Michon Solution Repas) - Rue des Javelières - ZI Le Grenouiller - 85390 Mouilleron-en-Pareds', 'Vendée', 'Pays de la Loire', 'France']",['Casino'],,"['France', 'Viande Bovine']","['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",,,
26,Ktipiti fromage blanc aux poivrons - Casino - 200g,3222472481706,,Ktipiti - fromage blanc aux poivrons rouges,200 g,,['Casino'],"['Produits à tartiner', 'Produits à tartiner salés', 'Ktipiti']",,,['France'],"['Fromage frais 0% de matière grasse ', '65%', ' - huile de colza - poivrons rouges ', '15%', ' - sel - persil - ail en poudre - conservateur : sorbate de potassium - jus concentré de citron', ' Traces de soja', 'gluten', 'crustacés', 'oeufs', 'poissons', 'céleri', 'moutarde', 'graine de sésame', 'mollusques']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",[],3,894,,216,+41%,19,+64%,"3,4",-30%,"7,1",+39%,,,,,,,,['Lait'],894 kj(216 kcal),"1,3","2,7","0,73","0,292",19 g,en quantité modérée,1.3 g,en faible quantité,2.7 g,en faible quantité,0.73 g,en quantité modérée,+41%,-59%,-34%,-19%,-19%,1,-83%,B,-83%,,['Casino'],,,,,,
27,Quenelles de veau sauce financière - Casino - 400g,3222472760917,D,Quenelles de veau sauce financière,400 g,['Conserve'],['Casino'],"['Conserves', 'Plats préparés', 'Quenelles', 'Plats préparés en conserve', 'Quenelles de veau']","['Experimentation Etiquetage Nutritionnel 2016', 'Expérimentation Nutriscore']",,['France'],"['sauce 63% : eau - champignons 5% ', 'eau - champignons - acidifiant : acide citrique - antioxydant : acide ascorbique', ' - olives vertes dénoyautées 5% ', 'sel - acidifiant : acide citrique', ' - concentré de tomates - farine de blé - huile de tournesol - amidons transformé de maïs - amidon de riz - vin blanc - arômes ', 'contient blé', ' - vin blanc - agent crémeux ', 'huile de tournesol - sirop de glucose - protéines de lait', ' - épice et assaisonnement', ' quenelle 37% : farine de blé - graisse de boeuf - eau - viande de veau ', '13 % à la mise en oeuvre', 'origine ue', "" - blancs d'œufs - sel - gluten de blé - lactose et protéines de lait - extrait naturel de poivre""]","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,654,,157,+5%,11,+7%,"9,8",-9%,"3,9",-6%,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,"['Œufs', 'Gluten', 'Lait', 'Quenelle', 'Sauce', 'Quenelle', 'Sauce']",654 kj(157 kcal),"5,6","0,8",1,"0,4",11 g,en quantité modérée,5.6 g,en quantité élevée,0.8 g,en faible quantité,1 g,en quantité modérée,+3%,+4%,-2%,+8%,+8%,7,-17%,C,-17%,,['Casino'],,,"['FR 21.200.001 CE', ""Couchey (Côte-d'Or, France)"", 'EMB 21200A', ""Couchey (Côte-d'Or, France)""]",,,
28,Lardons Saumon Atlantique d'élevage fumé - Casino - 90g,3222472788461,,Lardons de saumon Saumon Atlantique d'élevage fumé au bois de hêtre,90 g,,['Casino'],['Lardons de saumon'],,,['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97% - sel 3%']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,1015,,244,+18%,17,+34%,"0,7",+102%,22,+4%,,,,,,,,['Poisson'],1015 kj(244 kcal),"1,6","0,5","4,8","1,92",17 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,4.8 g,en quantité élevée,+19%,-24%,+91%,+66%,+66%,14,+9%,D,+9%,,['Casino'],,,,,,
29,Confit de canard 2 cuisses - Casino,3222473822249,D,,,,['Casino'],"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,,['France'],"['Cuisses de canard origine France - sel graisse de canard origine France pour le confisage', ' Alimentation de la volaille garantie 100 % végétaux', 'minéraux et vitamines']",,"['Non végétalien', 'Non végétarien']",1,?,,281,+18%,21,+27%,1,+121%,22,+3%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,1176 kj(281 kcal),"6,4",0,"1,4","0,56",21 g,en quantité élevée,6.4 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,+18%,+20%,-100%,+1%,+1%,15,+42%,D,+42%,,['Casino'],,,,,,
30,Crêpe dentelle chocolat noir saveur orange - Casino Délices - 100g,3222475463815,D,20 crêpes dentelle aromatisées à l'orange enrobées de chocolat noir,100 g,"['BOÎTE carton', 'Barquette', 'Film en plastique', 'Etui en carton']","['Casino Délices', 'Casino']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Goûter/ biscuit']",['PENSEZ AU TRI !'],,['France'],"['Chocolat noir 49% ', 'sucre - pâte de cacao - beurre de cacao - émulsifiant: lécithines de tournesol - arôme naturel de vanille', "" - farine de blé 27% - sucre - huile de colza - beurre concentré - arôme naturel d'orange 1,1% - lactose - lait entier en poudre - sel - extrait de malt d'orge - émulsifiant: lécithines de colza - poudre à lever: carbonates de sodium"", 'traces de fruits à coque']","['E322i - Lécithine', 'E500 - Carbonates de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,2096,+1%,501,+2%,25,+7%,59,-5%,"6,9",+5%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Gluten', 'Lait']",2096 kj(501 kcal),14,39,"0,44","0,176",25 g,en quantité élevée,14 g,en quantité élevée,39 g,en quantité élevée,0.44 g,en quantité modérée,+2%,+19%,+20%,-20%,-20%,20,-7%,E,-7%,,"['Casino supermarché', 'Casino']",,,['29232'],,,
31,"Salade au jambon : pâtes, salade, oeuf, émincés de jambon - Casino - 320g",3222475471926,,"Salade composée à base de pâtes cuisinées, d'œufs durs, de salades vertes en mélange, de jambon cuit supérieur, d'emmental et de tomates cerise accompagnée d'une vinaigrette au vinaigre balsamique et de bâtonnets de pain spécial",320g,"['Frais', 'Sous-vide']",['Casino'],"['Plats préparés', 'Frais', 'Plats à base de pâtes', 'Salades', 'Salades composées', 'Salades de pâtes']",,,['France'],"['Salade composée 89,1% : mini conchiglie cuites aromatisées au curcuma 22,3% ', 'eau - semoule de blé dur de qualité supérieure - curcuma', ' - mini torsades cuites aromatisées à la tomate et à la betterave 18,7% ', 'eau - semoule de blé dur de qualité supérieure - tomate - betterave', "" - quartiers d'œufs durs 14% "", 'oeuf - acidifiants : acide citrique', 'acide acétique - sel', ' - salades mélangées 14% ', 'laitue 11,2% - chicorée 2,8%', ' - jambon cuit supérieur 8,7% [jambon de porc 7,9% ', 'origine : france', "" - eau - sel - dextrose - arômes - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium] - emmental 4,6% - tomates cerise 4,6% - huile d'olive vierge extra - huile de colza - basilic décongelé - sel"", '\rVinaigrette au vinaigre balsamique 6,2% : huile de colza - vinaigre balsamique 1,5% [vinaigre de vin ', 'contient sulfites', "" - moût de raisin concentré et cuit - colorant: e150d] - huile d'olive vierge extra"", '\rSachet de bâtonnets de pain spécial 4,7% : farine de blé - huile de tournesol - levure - sel']","['E330 - Acide citrique', 'E260 - Acide acétique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]","['Non végétalien', 'Non végétarien']",4,722,+12%,173,+5%,"9,5",+13%,13,-6%,"7,8",+20%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",722 kj(173 kcal),"2,1","1,4","0,74","0,296",9.5 g,en quantité modérée,2.1 g,en quantité modérée,1.4 g,en faible quantité,0.74 g,en quantité modérée,+6%,+41%,-32%,-4%,-4%,-4,-574%,A,-574%,,['Casino'],,,"['EMB 56075D', 'Guer (Morbihan, France)', 'FR 56.075.003 CE', 'Guer (Morbihan, France)']",,,
32,Tarte aux poireaux pâte pur beurre - Casino - 350g,3222475507458,C,Tarte aux poireaux pâte pur beurre,350 g,"['Frais', 'Carton', 'Plastique', 'métal']",['Casino'],"['Plats préparés', 'Frais', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Plats préparés frais', 'Quiches', 'Quiches au poireau']","['Experimentation Etiquetage Nutritionnel 2016', 'Point Vert', 'Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore D']",,['France'],"['Pâte brisée 37,8% ', 'farine de blé - beurre concentré 7,9% - eau - fécule de pomme de terre - sel - agent de traitement de la farine : L-cystéine', "" - poireaux 23% - lait écrémé reconstitué - œufs frais - crème fraiche 7,2% - emmental - amidon transformé de maïs - sel - vinaigre d'alcool - échalotes - lait écrémé en poudre - arôme naturel de poivre - arôme naturel de muscade et autres arômes naturels - épaississant : gomme xanthane"", 'Traces de soja', 'crustacés', 'mollusques', 'moutarde', 'poisson']","['E920 - L-Cystéine et ses chlorhydrates', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien']",4,979,+7%,234,+1%,13,-1%,24,+18%,"5,3",-8%,69.5%,13.3%,3.6%,3.9%,2.1%,7.7%,59,"['Œufs', 'Gluten', 'Lait']",979 kj(234 kcal),"8,8","2,6","0,98","0,392",13 g,en quantité modérée,8.8 g,en quantité élevée,2.6 g,en faible quantité,0.98 g,en quantité modérée,+3%,+20%,+7%,+9%,+9%,14,+26%,D,+26%,['France'],['Casino'],,,"['FR 01.451.003 CE', 'Viriat (Ain, France)', 'EMB 01451A', 'Viriat (Ain, France)']",,,
33,Arôme naturel de vanille Bourbon - Casino - 20ml,3222475745775,,Arôme naturel de vanille liquide,20 ml,"['Plastique', 'Verre', 'Bouteille en plastique', 'Coque en plastique']",['Casino'],"['Additifs alimentaires', 'Arômes', 'Arômes pâtisserie']",,,['France'],"['Sirop de glucose-fructose - caramel liquide ', 'eau - sirop de glucose-fructose - sucre - sucre caramélisé', ' - extrait de vanille - décor : écorce de vanille 0,6%', ' Equivalent gousses : 6%']",,[],4,?,,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,0 kj(0 kcal),0,0,0,0,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,['Casino'],,,"['EMB 32107A', 'Condom (Gers, France)']",,,
34,Coquillettes jambon emmental - Casino - 300g,3222476099280,,"Plat préparé à base de pâtes fraîches cuites, de jambon cuit supérieur fumé et emmental.",300 g,"['Carton', 'Plastique', 'Frais']",['Casino'],"['Plats préparés', 'Frais', 'Plats préparés frais', 'Plats préparés à réchauffer au micro-ondes']","['Experimentation Etiquetage Nutritionnel 2016', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore C']",,['France'],"['Eau - pâtes fraîches coquillettes cuites 36% ', 'semoule de blé dur de qualité supérieure - eau - œufs entiers', ' - jambon cuit supérieur fumé 11% [jambon de porc ', 'Origine : France', ' - eau - sel - sirop de glucose - arômes naturels - bouillon de légumes ', 'blette - carotte', ' - ferments] - crème fraîche - emmental 6% - farine de blé - amidon de blé - sel - épaississant : gomme xanthane - poivre blanc - noix de muscade']",['E415 - Gomme xanthane'],"['Non végétalien', 'Non végétarien']",4,533,-28%,127,-31%,"5,2",-37%,13,-23%,"6,7",-11%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Pâtes']",533 kj(127 kcal),3,< 0,"0,79","0,316",5.2 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0.79 g,en quantité modérée,-29%,+19%,-100%,-22%,-22%,2,-52%,B,-52%,,['Casino'],,,"['EMB 84007W', 'Avignon (Vaucluse, France)']",,,
35,6 Pains Pita - Casino Saveurs d'Ailleurs - 400g,3222476742551,B,6 pains spéciaux à garnir,400 g,,"[""Casino Saveurs d'Ailleurs"", 'Casino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pains Pita']",,,['France'],['farine de blé 71% - eau - levure - sel - dextrose'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1034,-7%,244,-3%,"0,8",-47%,52,+5%,"7,1",-14%,49.6%,26.4%,15.7%,7.2%,1.0%,0.0%,95,['Gluten'],1034 kj(244 kcal),"0,2","1,9",1,"0,4",0.8 g,en faible quantité,0.2 g,en faible quantité,1.9 g,en faible quantité,1 g,en quantité modérée,-2%,-12%,-27%,-7%,-7%,3,+226%,C,+226%,,['Casino'],,,,,,
36,Purée Pomme-Myrtille sans sucres ajoutés* *conformément à la réglementation. Contient des sucres naturellement présents dans les fruits. - Casino Bio - 4x 95g,3222476753878,B,Purée de pommes et de myrtilles issue de l'agriculture biologique.,4 x 95 g,,['Casino Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes myrtille']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],"['Purée de pommes** 90% - purée de myrtilles** 10%', ' Cette purée ne contient que les sucres naturellement présents dans les fruits', ""**ingrédients issus de l'agriculture biologique""]",,[],1,231,,54,-16%,0,-100%,13,-13%,0,-100%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,231 kj(54 kcal),0,12,0,0,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,0 g,en faible quantité,-14%,-100%,-9%,-100%,-100%,-4,,A,,,,,,,,,
37,Madeleines aux pépites de chocolat - Casino - 400g,3222476866875,D,Madeleines aux pépites de chocolat et pépites de chocolat au lait,400 g,,['Casino'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,['France'],"['Farine de blé - sucre - huile de colza - œufs entiers 16% - sirop de glucose-fructose - stabilisant : glycérol - pépites de chocolat 5% ', 'sucre - pâte de cacao - beurre de cacao - cacao maigre en poudre - émulsifiant : lécithines de soja - arôme', ' - pépites de chocolat au lait 2,7% ', 'sucre - lait entier en poudre - beurre de cacao - pâte de cacao - lactose - émulsifiant : lécithines de soja - arôme', ' - lait demi-écrémé - fécule de manioc - poudres à lever : diphosphates', 'carbonates de sodium ', 'contient blé', ' - sel - arôme - émulsifiant : lécithines de soja', 'Traces de fruits à coque']","['E422 - Glycérol', 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1830,-2%,437,-2%,21,-11%,56,+7%,"5,1",-11%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,"['Œufs', 'Gluten', 'Lait', 'Soja']",1830 kj(437 kcal),"3,3",28,"0,82","0,328",21 g,en quantité élevée,3.3 g,en quantité modérée,28 g,en quantité élevée,0.82 g,en quantité modérée,-2%,-51%,-1%,+8%,+8%,16,-13%,D,-13%,,['Casino'],,,,,,
38,Pizza Jambon et Fromages - Casino - 180g,3222477010314,C,"Pizza garnie de jambon cuit standard, d'emmental et de gouda",180 g,"['Film en plastique', 'Plaque en carton']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage']",,,['France'],"['Pâte cuite 42,7% ', 'farine de blé - eau - huile de colza - sel - levure - poudre à lever : carbonates de sodium', ' - jambon cuit standard 14,9% [jambon de porc ', 'origine : ue', "" - eau - acidifiant : lactate de sodium - dextrose - sel - protéines de sang - arômes - stabilisants : diphosphates et triphosphates - antioxydant : ascorbate de sodium - conservateur : nitrite de sodium] - purée de tomates mi-réduite - eau - emmental 8,6% - gouda 6,6% - farine de blé - fécule de pomme de terre - basilic déshydraté - origan déshydraté - purée d'ail - sel - huile d'olive vierge"", ' traces de crustacés', 'mollusques', 'moutarde', '&oeuf', 'poisson', 'fruits à coque']","['E500 - Carbonates de sodium', 'E325 - Lactate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,935,+1%,222,+1%,"6,9",+1%,29,+5%,10,-5%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,"['Gluten', 'Lait']",935 kj(222 kcal),"3,4","3,9","1,7","0,68",6.9 g,en quantité modérée,3.4 g,en quantité modérée,3.9 g,en faible quantité,1.7 g,en quantité élevée,+1%,-0%,+32%,+21%,+21%,10,+26%,C,+26%,,['Casino'],,,,,,
39,Sablés de normandie - Biscuiterie De L’Abbaye,3226210100645,C,,,,['Biscuiterie De L’Abbaye'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],"[""LE SABLE DE L'ABBAYE SPÉCIALITÉ NORMANDE au beurre d'Isigny AOP Ingrédients Farine de blé"", 'sucre', ""beurre d'Isigny AOP 22%"", 'jaunes d’oeuf en poudre', 'poudre de entier', 'sel', ""poudre à lever : carbonates d'ammonium"", 'oeufs entiers en poudre', 'poudre de lait écrémé', ' Peut contenir des traces de fruits à coque', ""de soja,de sésame et d'arachide""]","[""E503 - Carbonates d'ammonium""]",['Non végétalien'],3,?,,478,+1%,19,-9%,69,+8%,7,+8%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,2000 kj(478 kcal),13,25,"0,4","0,16",19 g,en quantité modérée,13 g,en quantité élevée,25 g,en quantité élevée,0.4 g,en quantité modérée,+1%,+29%,-15%,-32%,-32%,20,+1%,E,+1%,,['Magasins U'],,,,,,
40,Cracker japonais saveur wasabi - Tanoshi - 125g,3229820786704,C,,125 g,"['Sachet', 'Plastique']",['Tanoshi'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Sans glutamate ajouté'],,['France'],"['Arachides 26,6%', 'farine de blé', 'amidon de maïs', 'petits pois 13,7%', 'sucre', 'riz7,8%', 'huile de palme', 'farine de riz 2,2%', 'sauce soja ', 'soja', 'blé', 'sel', 'amidon de tapioca', 'sel', 'poudre de wasabi 0,5% ', 'amidon de maïs', 'sucre', 'maltodextrine de maïs', 'extrait de wasabi', 'huile de wasabi ', 'moutarde', 'sel', 'colorant: caramel ordinaire', 'graines de sésame', 'colorants : extrait - de paprika', 'capsanthine', 'capsorubine', '- complexes cuivre-chlorophylles et cuivre-chlorophyllines', 'curcumine', 'caramel ammoniacal', 'caramel ordinaire', 'bleu brillant FCF', ' arôme wasabi ', 'poisson', 'lait', 'amidon de blé', 'huile de tournesol', 'poudre de piment', ' Peut contenir des traces de fruits à coque']","['E150a - Caramel E150a', 'E160c - Extrait de paprika', 'E141i - Complexes cuivriques de chlorophylles', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E100 - Curcumine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,442,-5%,14,-30%,63,+6%,12,+21%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['Poisson', 'Gluten', 'Lait', 'Moutarde', 'Arachides', 'Graines de sésame', 'Soja']",1849 kj(442 kcal),"3,3",28,"1,1","0,44",14 g,en quantité modérée,3.3 g,en quantité modérée,28 g,en quantité élevée,1.1 g,en quantité modérée,-6%,-39%,+614%,-45%,-45%,14,-9%,D,-9%,['Thaïlande'],,['Huile de palme'],"['Chine', 'Thaïlande']",,,,
41,Rôti de chapon - Maître Coq,3230890003325,C,,,"['boîte', 'Carton', 'surgelé', 'Plastique']",['Maître Coq'],"['Surgelés', 'Plats préparés', 'Aliments et boissons de Noël', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Rôtis']","['Viande-francaise', 'Volaille-francaise']",,['France'],"['Viande de chapon 60 % minimum', ' Farce minimum : viande de dinde', 'cèpes 1,2 %* ', 'gras de porc', 'eau', 'foie de poulet', 'chapelure ', 'farine de blé', 'sel', 'bolets', 'persillade ', 'huile de tournesol', 'persil', 'eau', 'ail', 'sel', 'jus de citron concentré', 'Armagnac', ""poudre de blanc d'œuf"", 'sel', ' Barde de porc', ' * pourcentage minimum']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,?,,231,-48%,18,-26%,"1,2",-97%,16,+116%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Œufs', 'Gluten']",967 kj(231 kcal),"4,4",0,"0,41","0,164",18 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,0.41 g,en quantité modérée,-48%,-49%,-100%,+211%,+211%,2,-89%,B,-89%,['France'],,,['France'],,,,
