,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
1780,Turron duro de almendra - 200g,8411784502000,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",['France'],[],[],?,,449,-14%,27,-14%,49,+8%,13,+8%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,1879 kj(449 kcal),"2,2","9,4","0,06","0,024",200 g,27 g,en quantité élevée,2.2 g,en quantité modérée,9.4 g,en quantité modérée,0.06 g,en faible quantité,-14%,-58%,-76%,-7%,-7%,4,-76%,C,-76%,,,,"['Fabriqué en Espagne', 'Sans sucre ajouté']",,,,,,,,,,
1781,Saumur - Produit de France - 75cl,20408619,,['Produit de France'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Moules en sauce marinée,8412370440829,,,,['France'],[],[],?,,165,,"7,7",,"3,9",,20,,,,,,,,,690 kj(165 kcal),"1,3",0,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Mandel honig - Dm Bio,4010355511553,,['Dm Bio'],,['France'],[],[],?,,468,,25,,50,,0,,,,,,,,,1958 kj(468 kcal),"2,2",47,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,
1784,Lait (2%) - Québon - 4l.,0055872026016,C,['Québon'],"['Produits laitiers', 'Laits', 'Laits de vache']","['Canada', 'France']","['Lait partiellement écrémé', 'Palmitate de vitamine A', 'Vitamine D3']",[],?,,52,+4%,2,+2%,"4,8",+0%,"3,6",+12%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,218 kj(52 kcal),"1,2","4,4","0,44","0,176",4 l.,2 g,en faible quantité,1.2 g,en faible quantité,4.4 g,en faible quantité,0.44 g,en quantité modérée,+4%,-2%,-8%,+323%,+323%,0,-100%,B,-100%,['plastic bags'],,,,,,['Canada'],['Quebec'],,,,,,
1785,Rôti de porc supérieur traditionnel,3266110501722,E,,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],?,,129,-10%,"4,2",-17%,"0,4",-51%,23,+3%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,540 kj(129 kcal),2,"0,4",2,"0,8",,4.2 g,en quantité modérée,2 g,en quantité modérée,0.4 g,en faible quantité,2 g,en quantité élevée,-9%,-4%,-36%,+16%,+16%,5,-30%,C,-30%,,,,,,,,,,,,,,
1786,Saucisse sèche d'Auvergne,3181571006176,,,,['France'],[],[],?,,436,,"33,8",,"1,4",,"31,6",,,,,,,,,1824 kj(436 kcal),"12,5","1,2","4,88","1,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,"Mini bouchée noir truffé - Côte d'Or - ℮ 142g, 18bouchées",7622210876768,,"[""Côte d'Or"", 'Mondelez France']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['sucre', 'pâte de cacao', 'huile de palme', 'beurre de cacao', 'beurre concentré', 'lait écrémé en poudre', 'lactosérum en poudre ', 'de lait', 'émulsifiant ', 'lécithine de soja', 'arômes']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,582,+10%,40,+25%,48,-8%,"4,6",-22%,,,,,,,,2435 kj(582 kcal),23,46,"0,05","0,02","℮ 142 g, 18 bouchées",40 g,en quantité élevée,23 g,en quantité élevée,46 g,en quantité élevée,0.05 g,en faible quantité,+10%,+32%,-3%,-67%,-67%,22,-10%,E,-10%,"['Point vert', 'Sachet à jeter', 'Boite à recycler']","['Lait', 'Soja']",4,['Cocoa Life'],['SuperU'],['E322i - Lécithine'],,,,Chocolat noir fourre (41%) truffe fantaisie,,,['Huile de palme'],
1788,Oeuf,3283324000063,C,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,,?,,?,,?,,?,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'en:produced-in-bretagne']",,,,,,,,,,
1789,Pastilles au Miel de Vendée - 270g,3301080002586,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,270 g,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1790,Crème de balsamique,8412336011308,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Romon Nature,3554742805609,,['Romon Nature'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1792,Jurancon Sec Cuvee du Bapteme Viguerie Royale,3300944366109,,,,['France'],[],[],?,,0,,?,,?,,?,,,,,,,,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Hummus - La Piara - 200gramos,8412500455655,,['La Piara'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],[],[],?,,295,-44%,27,-16%,"6,9",-86%,"4,4",-29%,,,,,,,,1234 kj(295 kcal),"3,4","0,6",1,"0,4",200 gramos,27 g,en quantité élevée,3.4 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,-43%,-58%,-99%,+449%,+449%,8,-61%,C,-61%,['Tarro'],,,"['Bio', 'Sans gluten']",['Simply'],,['es:agricultura ecológica'],,['ES-ECO-019-CT'],,http://www.lapiara.es,,,
1794,Zitronen Kuchen,20203702,,,,['France'],[],[],?,,363,,"16,6",,"47,8",,"5,1",,,,,,,,,1519 kj(363 kcal),"4,8","29,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Ahlgrens Bilar Sursockrade 130 GR,7310350112050,,,,['France'],"['SÉ SKUMGODIS ngredienser: socker', 'glukossirap', 'modifierad stärkels gelatin', 'syror ', 'E334', 'E270', 'invertsockersirap', 'aromer', 'fullhärdat palmfett*', 'färgämnen ', 'E141', 'E1 20', ',']",['Huile de palme'],?,,352,,"0,1",,84,,"3,7",,,,,,,,,1473 kj(352 kcal),0,62,0,0,,,,,,,,,,,,,,,,,,,,,4,,,"['E334 - Acide L-tartrique', 'E270 - Acide lactique', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",,,,,,,,
1796,Préparation de Farines pour Brioches au Beurre - Pain9,3760157440179,,['Pain9'],"['Aides culinaires', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Aides à la pâtisserie', 'Préparations pour brioches']",['France'],"['Farine de blé', 'poudre de beurre ', '10,8 %', ' sucre', 'gluten de blé', 'sel', 'émulsifiant E471 et E472e', 'alpha amylases', 'colorants E106b et E101', 'acide ascorbique E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,491,+26%,"24,5",+143%,"53,8",-16%,"12,8",+167%,,,,,,,,2054 kj(491 kcal),"15,4","11,8","1,4","0,56",,,,,,,,,,+26%,+291%,-72%,+272%,+272%,,,,,"['Plastique', 'Seau']","['Gluten', 'Lait', 'Soja']",4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E1100 - Amylases', 'E101 - Riboflavine']",,,,Préparation pour brioches - Préparation de Farines pour Brioches au Beurre,,,,
1797,Miel Artisanal De Haute-savoie,3396150000074,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Skippy Chocolate Stripe Peanut Butter 350G - 350g,6922877700248,,,,['France'],[],[],?,,629,,"48,2",,31,,"17,8",,,,,,,,,2632 kj(629 kcal),"11,3",0,"3,26","1,304",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Pur jus de pomme - Sunrype,0057961003038,C,['Sunrype'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",['France'],[],[],?,,50,+9%,0,-100%,12,+9%,"0,1",-54%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,209 kj(50 kcal),0,12,"0,008","0,003",,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.0075 g,en faible quantité,+9%,-100%,+15%,-40%,-40%,5,+20%,C,+20%,,,,['Sans sucre ajouté'],,,,,,,,,,
1800,Winter Frucht Punsch - Dm Bio,4058172053924,,['Dm Bio'],,['France'],[],[],?,,56,,"0,5",,14,,"0,5",,,,,,,,,234 kj(56 kcal),"0,1",13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,
1801,Chocolate instantàneo con clavo y canela - Sol del Cusco - 324g e,7750960000840,D,['Sol del Cusco'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']","['France', 'Pérou']","['Sucre', 'poudre de cacao', 'extrait de malt ', 'contenant du gluten', 'émulsifiant : lécithine de soja ', 'E322', 'sel et arôme : cannelle et clou de girofle']",[],?,,412,+24%,5,+16%,87,+37%,5,-21%,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,1724 kj(412 kcal),0,72,"0,27","0,108",324 g e,,,,,,,,,+21%,-100%,+28%,+29%,+29%,,,,,"['boîte', 'métal', 'Plastique']","['Gluten', 'Soja']",4,"['Sans cholestérol', 'Sans colorants', 'Sans acides gras trans']",,"['E322i - Lécithine', 'E322 - Lécithines']",,,,Chocolat Instantané au Clou de Girofle et Cannelle - Sol del Cusco Instantàneo con Clavo y Canela,,,,
1802,Classic World Tea : Rose Pouchong,5053826000865,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,villa verroni - Lambrusco - 1,3180280403368,,['Lambrusco'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins vinés']",['France'],['vin pétillants'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,['bouteille de vin'],,,,,,,,,,,,,
1804,Framboise,8437016948026,,,,['France'],[],[],?,,44,,"0,6",,0,,1,,,,,,,,,184 kj(44 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Nuit paisible,3760029860739,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1806,Blanc d'œuf liquide pasteurisé biologique - Ovipac Bio - 1kg,3474240087867,B,"['Ovipac Bio', 'Ovoteam']","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Oeuf blanc', 'Oeufs liquides']",['France'],"[""Œufs de poules  issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,92.0%,0.3%,3.2%,2.3%,1.6%,0.7%,47,,,,,,1 kg,,,,,,,,,,,,,,,,,,"['Bidon', 'Plastique']",['Œufs'],1,"['Bio', 'Bio européen', 'FR-BIO-01', 'Oeufs de France', 'Produits destinés aux professionnels']",,,['France'],['France'],,,,,,
1807,Green Ice Tea - Lipton,5900497025676,,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Thés glacés']",['France'],[],[],?,,19,-14%,"0,25",+79%,"4,7",-11%,"0,025",-83%,,,,,,,,79 kj(19 kcal),"0,05","4,5","0,02","0,008",,0.25 g,en faible quantité,0.05 g,en faible quantité,4.5 g,en quantité modérée,0.02 g,en faible quantité,-14%,+89%,-11%,-29%,-29%,6,-18%,D,-18%,,,,,,,,,,,,,,
1808,Merguez,3445420016038,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],[],[],?,,311,+18%,28,+30%,"0,9",-57%,15,+5%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,1301 kj(311 kcal),13,"0,8",2,"0,8",,28 g,en quantité élevée,13 g,en quantité élevée,0.8 g,en faible quantité,2 g,en quantité élevée,+18%,+42%,-30%,+5%,+5%,21,+12%,E,+12%,,,,,,,,,,,,,,
1809,Huile de tournesol,8052440236817,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],?,,828,-5%,92,-5%,0,-100%,0,-100%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,3464 kj(828 kcal),11,0,0,0,,92 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-5%,+4%,-100%,-100%,-100%,11,0%,D,0%,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-007']",,,,,,,,,,
1810,Gateau pruneaux -,3760050921942,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",['France'],"['Farine de blé', 'œufs entiers reconstitués : maiodeorine - Sucre de canne - Huile végétale : colza - Pruneaux 15,6 % - Stabilisant sorbitol - Gluten de blé', 'poudre de lactosérum - Rhum grand arôme - Poudre à lever : pyrophosphate de soude', 'bicarbonate de soude-Sel - Conservateur : sorbate de potassium - Colorant: béa carotène - arôme vanille - Gomme xanthane - arôme ', 'contient ']",['Non végétalien'],?,,100,-75%,"19,3",-1%,"48,7",-2%,"6,2",+14%,,,,,,,,418 kj(100 kcal),"1,5","23,6","0,6","0,24",,19.3 g,en quantité modérée,1.5 g,en quantité modérée,23.6 g,en quantité élevée,0.6 g,en quantité modérée,-75%,-80%,-15%,-1%,-1%,6,-66%,C,-66%,"['Sachet', 'Plastique', 'Carton']","['Œufs', 'Gluten']",4,,,"['E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,Gâteaux - Gâteau aux Pruneaux,,,,
1811,Clémentine,8432117359238,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Cake choco caramel - Légendes Gourmandes,3760155986785,,['Légendes Gourmandes'],,['France'],[],[],?,,363,,"0,7",,"79,3",,8,,,,,,,,,1519 kj(363 kcal),"0,5","39,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Gnocchi Rigati pommes de terre violettes - Patamore - 400g,8013873004121,B,['Patamore'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",['France'],[],[],?,,163,-2%,"1,1",-20%,33,-0%,"4,4",+5%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,682 kj(163 kcal),"0,1",4,"0,81","0,324",400 g,1.1 g,en faible quantité,0.1 g,en faible quantité,4 g,en faible quantité,0.81 g,en quantité modérée,-3%,-73%,+233%,-28%,-28%,2,-44%,B,-44%,,,,['Sans conservateurs'],,,,,,,,,,
1814,Roquefort PAPILLON BIO,2293230032936,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],[],?,,379,+3%,32,+0%,"1,8",+176%,21,+8%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,1586 kj(379 kcal),20,0,"3,6","1,44",,32 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,3.6 g,en quantité élevée,+4%,-10%,-100%,+1%,+1%,19,0%,E,0%,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,"['FR 12.203.026 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,,,
1815,Minestrone à la tomate - Delhaize,5400113612469,,['Delhaize'],,"['Belgique', 'France']",[],[],?,,63,,"2,3",,"7,8",,"1,9",,,,,,,,,264 kj(63 kcal),"0,3","3,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
1816,Polvorones sin conservantes - Antonio Anaut - 400g,8414334000032,,['Antonio Anaut'],,['France'],[],[],?,,484,,20,,0,,5,,,,,,,,,2025 kj(484 kcal),9,0,1,"0,4",400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Yaourt au fruit saveur myrtille - Lehmann,3700613100742,C,['Lehmann'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",['France'],[],[],?,,110,+10%,"3,5",+12%,16,+19%,"3,6",-1%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,460 kj(110 kcal),"2,3",15,"0,13","0,052",,3.5 g,en quantité modérée,2.3 g,en quantité modérée,15 g,en quantité élevée,0.13 g,en faible quantité,+11%,+16%,+21%,+14%,+14%,4,+43%,C,+43%,,,,,,,,,,,,,,
1818,Mousse de Williamine - Morand,7610173087024,,['Morand'],"['Boissons', 'Boissons alcoolisées']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Sandwich mayonnaise - Hellmann's - 400mL,8712566172177,D,"[""Hellmann's"", 'Unilever']","['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"['Eau', 'huile de colza', 'eau', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sucre', 'sel', ""masse d'oeufs "", '5,4%', ' ', 'oeufs de poule', ""jaune d'oeuf de poule "", '1,1%', 'vinaigre', 'amidon modifie', 'sucre', 'sel', 'arômes', 'sel', 'arômes', 'stabilisateurs ', 'gomme guar,gomme xanthane', 'conservateurs ', 'sorbate de potassium', 'benzoate de sodium', 'colorant ', 'caroténe', 'antioxydant ', 'EDTA calcio-disodique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,320,-48%,31,-53%,8,+197%,1,-19%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,1339 kj(320 kcal),"2,5","4,5","0,7","0,28",400 mL,31 g,en quantité élevée,2.5 g,en quantité modérée,4.5 g,en faible quantité,0.7 g,en quantité modérée,-48%,-60%,+208%,-47%,-47%,8,-55%,C,-55%,['Plastic'],"['Œufs', 'Moutarde']",4,,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,,,,,,,
1820,Confiture Fraise,3045320522143,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],?,,?,,?,,?,,?,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Cookies chocolat noisettes x4 - Auchan - 0.180kg,2030000020942,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",['France'],"['Farine_gluten_', 'beurre_lait_', 'chunks chocolat 20% ', 'sucre', 'pate de cacao', 'beurre de cacao', 'emulsifiant E322_soja_', 'vanille naturelle', 'vergeoise ', 'sucre', 'caramel', 'sirop de sucre inverti', 'glycerol', ',_noisettes_caramélisées 15%', 'noisettes', 'enrobage sucre ', 'sucre', 'sirop de glycose', 'miel', 'sucre']",['Non végétalien'],?,,?,,?,,?,,?,,,,,,,,,,,,,,0.180 kg,,,,,,,,,,,,,,,,,,['Plastique'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,['Auchan'],"['E322 - Lécithines', 'E422 - Glycérol']",,['France'],,,,,,
1822,Présure Pour Faisselles Et Fromages - NAT ALI - 30g,3176800001695,,['NAT ALI'],"['Additifs alimentaires', 'Présures']",['France'],[],[],?,,0,-100%,?,,?,,?,,,,,,,,,0 kj(0 kcal),,,,,30 g,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,
1823,Melba toast naturel - Van der Meulen - 120g,8710649120992,,['Van der Meulen'],,"['France', 'Pays-Bas']",[],[],?,,384,,"2,4",,"76,9",,"11,8",,,,,,,,,1607 kj(384 kcal),"1,3","3,2","1,3","0,52",120 g,,,,,,,,,,,,,,,,,,,,,,['Jumbo'],,,,,,,,,
1824,Tuiles saveur bacon - Auchan,3596710462797,B,['Auchan'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['France'],[],[],?,,496,-3%,25,-16%,62,+12%,"4,1",-7%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,2075 kj(496 kcal),"2,5",5,"1,3","0,52",,25 g,en quantité élevée,2.5 g,en quantité modérée,5 g,en quantité modérée,1.3 g,en quantité modérée,-3%,-26%,+44%,-13%,-13%,14,+4%,D,+4%,['Tuiles salées'],,,"['Nutriscore', 'Nutriscore C']",['Auchan'],,,,,,,,,
1825,26023045,26023045,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Purée de pommes artisanale - Carrefour,3523680408760,,['Carrefour'],,['France'],[],[],?,,60,,0,,13,,0,,,,,,,,,251 kj(60 kcal),0,11,0,0,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],['Carrefour'],,,,,,,,,
1827,Tapas mezcla semicurado,8413376037334,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache']","['France', 'Espagne']",[],[],?,,380,+12%,32,+18%,1,+29%,22,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1590 kj(380 kcal),22,"0,5","1,8","0,72",,32 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,+13%,+19%,+16%,+29%,+29%,16,+12%,D,+12%,,,,,,,,,,,,,,
1828,Rillettes les viandes fermières,3760197320516,,,,['France'],[],[],?,,310,,28,,0,,15,,,,,,,,,1297 kj(310 kcal),11,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Sardinetes en escabetx - Bonpreu,8422410259328,,['Bonpreu'],,['France'],[],[],?,,228,,16,,0,,21,,,,,,,,,954 kj(228 kcal),"2,2",0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Huile d'olive vierge extra - Puget - 75cl,3265477715001,D,['Puget'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Belgique', 'France']",[],[],?,,900,+5%,100,+5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,3766 kj(900 kcal),14,0,0,0,75 cl,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,0%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,,,,
1831,Haribo Balla Stixx Cola - 200.0g,4001686117446,,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'Allemagne']",[],[],?,,372,-11%,"3,6",-76%,82,+23%,"2,7",-36%,,,,,,,,1556 kj(372 kcal),"2,3",59,"0,01","0,004",200.0 g,3.6 g,en quantité modérée,2.3 g,en quantité modérée,59 g,en quantité élevée,0.01 g,en faible quantité,-12%,-64%,+19%,-93%,-93%,16,-12%,D,-12%,,,,,,,,,,,,,,
1832,Flora Vegetable Spread 500G,50187058,,['Flora'],,['France'],[],[],?,,403,,45,,"0,5",,"0,5",,,,,,,,,1686 kj(403 kcal),10,"0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Marmelade d'Orange - Casino - 750g,3222477001602,B,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",['France'],"['Sucre - oranges amères avec écorces coupées en lamelles - eau - gélifiant : pectines - acidifiant : acide citrique', ' Préparée avec 28g de fruits pour 100g de produit fini']",[],1029,+5%,242,+1%,?,,60,+1%,"0,5",+46%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,1029 kj(242 kcal),,60,,,750 g,,,,,60 g,en quantité élevée,,,+2%,,+6%,,,,,,,,,,,['Casino'],,,,,Marmelade d'oranges amères avec écorces.,,,,
1834,Drink Vegetale Soia / Calcio Carrefour Bio,8012666041282,,['Carrefour Bio'],,['France'],[],[],?,,56,,"2,4",,"4,9",,"3,6",,,,,,,,,234 kj(56 kcal),"0,7","4,7","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",['Carrefour'],,,,,,,,,
