,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
73,Suisse chocolat - 110g,3760238021198,,['France'],[],[],?,349,1460 kj(349 kcal),15,"9,2","45,9","18,5","6,2","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,,,,,,,,,,,
74,Olive fruitée,0749544007624,,['France'],[],[],?,80,335 kj(80 kcal),9,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Filet mignon de porc,2277680009755,['Point Vert'],['France'],[],[],?,123,515 kj(123 kcal),"4,2","1,7","0,5","0,5",21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Chaussons aux bleuets,0067312004423,,['France'],[],[],?,440,1841 kj(440 kcal),14,4,76,32,4,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Colle Alimentaire - Auchan,3596710469192,,['France'],[],[],?,251,1050 kj(251 kcal),"0,5","0,1",61,51,"0,5","0,05","0,02",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
78,Alubias con verduras - Cidacos,8410313315876,,['France'],[],[],?,90,377 kj(90 kcal),"0,5","0,1",14,"1,5","5,7","0,6","0,24",,,['Cidacos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Lenteja castellana - La Pedriza,8411426300018,,['France'],[],[],?,310,1297 kj(310 kcal),"0,94","0,17","48,7","1,1","24,76","0,57","0,228",,,['La Pedriza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Filet de poulet fermier label rouge,0287458044156,['Label Rouge'],['France'],[],[],?,?,,?,,?,,?,,,"['EMB 03236', 'Saint-Germain-des-Fossés (Allier, France)', 'FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
81,Sanalínea roscos dietéticos sin azúcares añadidos - Sanavi,8425887001179,,['France'],[],[],?,478,2000 kj(478 kcal),28,11,55,1,"8,6",4,"1,6",,,['Sanavi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fromage blanc nature - Carrefour,3270190451396,,['France'],[],[],?,48,201 kj(48 kcal),"0,001","0,001","4,5",4,"7,5","0,09","0,036",,C,['Carrefour'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",0.001 g,en faible quantité,0.001 g,en faible quantité,4 g,en faible quantité,0.09 g,en faible quantité,,-41%,-41%,-100%,-100%,+8%,+3%,+9%,-13%,-13%,-4,,A,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,['Carrefour'],,,,,,,,,
83,Confit de chouchen - Le Bois Jumel,3176630007249,,['France'],[],[],?,?,,?,,?,,?,,,,,['Le Bois Jumel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Jarret de porc demi sel,0238143030572,,['France'],[],[],?,144,602 kj(144 kcal),"8,3","3,4","0,4","0,4",17,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,49396973,49396973,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Lifebar Beetroot,8595657100972,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,368,1540 kj(368 kcal),13,1,56,49,7,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,MOULINEE DE LEGUMES PRINTANIERS - Maggi,7613031523658,,['France'],[],[],?,307,1284 kj(307 kcal),"2,6","0,6","58,1","11,9","12,7","3,1","1,24",,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Chocolat pingouin au lait - Moulin des Moines - 120g,3347430022750,['Bio'],['France'],[],[],?,606,2536 kj(606 kcal),"44,18","27,41","44,92",43,"6,67","0,19","0,076",,,['Moulin des Moines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,,,
89,Super basmati,8901943087061,,['France'],[],[],?,350,1464 kj(350 kcal),"0,8",0,"78,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Thé Long Jing,6923790799166,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Barrita de cereales con semillas - Natursoy - 40g,8428159006261,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'ES-ECO-020-CV']",['France'],[],"['Végétalien', 'Végétarien']",?,487,2038 kj(487 kcal),25,"3,1",51,22,12,"0,1","0,04",,,['Natursoy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,
92,Aceite de Oliva virgen extra,8410352403367,,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","13,74",0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-2%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
93,Caramel Bites,3756324585101,['en:gluten-free'],['France'],[],[],?,562,2351 kj(562 kcal),34,3,45,27,14,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Fond de poisson,4250422201608,,['France'],[],[],?,9,38 kj(9 kcal),"0,1","0,1","0,5","0,5","2,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fond de poulet,4250422201615,,['France'],[],[],?,5,21 kj(5 kcal),"0,1","0,1","0,1","0,1","1,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Confiture framboise - 240g,3770009027533,,['France'],[],[],?,241,1008 kj(241 kcal),0,0,55,55,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,,,
97,Olives aux anchois,8414128400093,,['France'],[],[],?,148,619 kj(148 kcal),"13,2",3,"5,9",0,"1,4",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Euphoria Cannabis energy drops,8594018432882,,['France'],[],[],?,256,1071 kj(256 kcal),2,"1,9",97,"0,5",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Brioche Nanterre nature,0202273013057,,['France'],[],[],?,401,1678 kj(401 kcal),19,"7,8",46,"5,7",11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Granola Coco-Amande - 240g,0779996003189,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,420,1757 kj(420 kcal),"22,5","8,6","50,9","19,5","11,5","0,15","0,06",,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",22.5 g,en quantité élevée,8.6 g,en quantité élevée,19.5 g,en quantité élevée,0.15 g,en faible quantité,,+5%,+5%,+158%,+291%,-24%,+17%,+23%,-58%,-58%,17,+215%,D,+215%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,240 g,,,,,,,,,,,
101,Poulpe à l'huile d'olive,8427230963509,,['France'],[],[],?,335,1402 kj(335 kcal),28,"4,2",1,0,20,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Mantecados de Canela,8410611208016,,['France'],[],[],?,488,2042 kj(488 kcal),"24,54","9,52","61,67","23,24","5,24",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bioko crème chocolat,9399003000003,"['Bio', 'Agriculture UE/Non UE']",['France'],[],[],?,136,569 kj(136 kcal),"4,15","2,6",21,"12,4","3,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Marinade provençale pointe de lavande,3760094850208,,['France'],[],[],?,375,1569 kj(375 kcal),"38,7",5,"5,2","2,4","1,2",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Muffins - 4x 75g,8413675001647,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 75 g,,,,,,,,,,,
106,Œufs au lait façon Grand-mère,9399149000004,['Agriculture UE/Non UE'],['France'],[],[],?,174,728 kj(174 kcal),"8,8","5,2","18,8","12,1","4,23","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Marinade miel citron thym,3760094850192,,['France'],[],[],?,426,1782 kj(426 kcal),"34,1","4,1","28,9",26,"0,4",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Pomodori a cubetti,8008793050921,,['France'],[],[],?,81,339 kj(81 kcal),"0,1",0,3,3,"1,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Crème Amande Pêche Nectarine,9399626000008,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['France'],[],[],?,139,582 kj(139 kcal),"3,6","1,93","22,2","9,8","4,35","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Soupe Paysanne,3760133675298,,['France'],[],[],?,42,176 kj(42 kcal),"1,4","0,5","4,8","1,5",2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Trio de poivrons au piment d'espelette,3760094850093,,['France'],[],[],?,146,611 kj(146 kcal),"11,5","1,3","7,8","4,6","1,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Oignon jaune - 1kg,3760254559118,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,1 kg,,,,,,,,,,,
113,Cuitlacoche,0024456065406,,['France'],[],[],?,70,293 kj(70 kcal),"6,6",0,"3,3",0,0,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Filets de Poulet rotis,0215779035423,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
115,Café villeret,3515900000267,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Filets de poulet - La Nouvelle Agriculture,0213311059500,,['France'],[],[],?,?,,?,,?,,?,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
117,Boudin blanc,2463691024010,,['France'],[],[],?,177,741 kj(177 kcal),"13,5","5,3","4,79","2,91","9,2","1,04","0,416",,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",13.5 g,en quantité modérée,5.3 g,en quantité élevée,2.91 g,en faible quantité,1.04 g,en quantité modérée,,-27%,-27%,-33%,-32%,+11%,+48%,-11%,-30%,-30%,11,-31%,D,-31%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,
118,Colines 90gr,8410998000432,,['France'],[],[],?,461,1929 kj(461 kcal),18,2,64,"1,2",11,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Oignon rosé,3304430611032,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Allumettes cuites,2273332011480,['Sans colorants'],['France'],[],[],?,236,987 kj(236 kcal),18,"7,2","0,5","0,5",18,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,H20 Bones,5600499533734,,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Figue rouge,2324496444451,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Cookies aux chocolats,0201266007226,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Poulet entier,0217013040217,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Miskiglio,8032836681308,,['France'],[],[],?,368,1540 kj(368 kcal),"0,7","0,1","77,6","1,2","12,8","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Banane - Beillevaire,3483130153667,,['France'],[],[],?,92,385 kj(92 kcal),"2,7","1,8",14,14,"2,8","0,1","0,04",,B,['Beillevaire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",2.7 g,en faible quantité,1.8 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,,-6%,-6%,+1168%,+1948%,-35%,-6%,+133%,+492%,+492%,-1,,A,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
127,Oats+isobolic whey - 1kg,2592556764690,"[""Fabriqué dans l'UE""]",['France'],[],[],?,411,1720 kj(411 kcal),3,3,80,"1,23",16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
128,Kouign amann - Yann de Bretagne - 400g,3516890002606,,['France'],[],[],?,426,1782 kj(426 kcal),"21,3","0,2",55,33,"4,2","0,6","0,24",,B,['Yann de Bretagne'],"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",21.3 g,en quantité élevée,0.2 g,en faible quantité,33 g,en quantité élevée,0.6 g,en quantité modérée,,-5%,-5%,-16%,-99%,+5%,+22%,+6%,-26%,-26%,14,-39%,D,-39%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,400 g,,,,,,,,,,,
129,Ginger Tangawisi,0637913168574,,['France'],[],[],?,46,192 kj(46 kcal),"0,9","0,06",9,"0,8","1,94","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Coeurs de volaille,0226014009451,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,olives vertes denoyote ail fines herbes,2227851021659,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Jambon traditionnel fumé au bois de hêtre - Saint Alby,2205880002641,,['France'],[],[],?,125,523 kj(125 kcal),"4,5","1,5",1,"0,5",20,"1,9","0,76",['DE RP-03001 EG'],,['Saint Alby'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Klassik salchichas cocidas y ahumadas de cerdo - Schara,8410448003082,['Sans lactose'],['France'],[],[],?,250,1046 kj(250 kcal),"21,2","7,8","0,8","0,75","14,2","1,88","0,752",,,['Schara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Smak wolowiny z curry pikantny - Vifon,5901882017627,,['France'],[],[],?,64,268 kj(64 kcal),3,1,8,"0,5","1,1","0,7","0,28",,,['Vifon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Filets de poulet rôtis,0202800043694,,['France'],[],[],?,141,590 kj(141 kcal),"4,3","1,1","0,6","0,6",25,"1,1","0,44",,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",4.3 g,en quantité modérée,1.1 g,en faible quantité,0.6 g,en faible quantité,1.1 g,en quantité modérée,,+8%,+9%,+49%,+47%,+25%,+147%,+10%,+47%,+47%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
136,Aiguillettes de canard au piment d'Espelette,2869544028868,,['France'],[],[],?,127,531 kj(127 kcal),"3,3","1,14","2,3","1,6","22,1","1,25","0,5",,D,,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",3.3 g,en quantité modérée,1.14 g,en faible quantité,1.6 g,en faible quantité,1.25 g,en quantité modérée,,+5%,+6%,+11%,+21%,+81%,+223%,+3%,+103%,+103%,2,,B,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
137,Compote pomme golden - 4x 95g,3486061586498,,['France'],[],[],?,54,226 kj(54 kcal),"0,5","0,1",12,11,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 95 g,,,,,,,,,,,
138,Beignets Parfum Chocolat-Noisette décongelés,2644820009843,,['France'],[],[],?,394,1648 kj(394 kcal),19,"2,1",48,19,"6,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Biostilla Limoncello,8016448002010,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Compote pomme fraise de Plougastel - 4x 95g,3486061586467,,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,1",11,10,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 95 g,,,,,,,,,,,
141,Poulet Entier Rôti,2278680049796,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
142,Tomme de chèvre - Monoprix,2200503037727,,['France'],[],[],?,397,1661 kj(397 kcal),35,26,1,1,20,2,"0,8",,D,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de chèvre']",35 g,en quantité élevée,26 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,,+5%,+5%,+10%,+16%,+30%,+302%,-9%,+20%,+20%,17,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Monoprix'],,,,,,,,,
143,Sauce hannibal,5410803000919,,['France'],[],[],?,524,2192 kj(524 kcal),"50,8",4,"14,7","8,7","2,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Filet de poulet - La Nouvelle Agriculture,0213400022170,,['France'],[],[],?,?,,?,,?,,?,,,,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
145,Love Crunch - Nature's Path,0058449173069,,['France'],[],[],?,450,1883 kj(450 kcal),18,"4,5",60,21,18,0,0,,,"[""Nature's Path""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Olio extra vergine di oliva -,8004017190046,,['France'],[],[],3403,?,3403 kj(813 kcal),92,14,0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,,-5%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
147,Trident Sphere Menta,84164698,,['France'],[],[],?,175,732 kj(175 kcal),"0,5","0,3",69,0,"0,4",0,0,,,['Trident'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Pavé aux céréales,0253031005906,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Chocolat noir,3698888001256,,['France'],[],[],?,563,2356 kj(563 kcal),"52,7",32,"10,4","2,7","11,7","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Coconut cream - 225g,20175696,['Sans sucre ajouté'],['France'],[],[],?,204,854 kj(204 kcal),"22,1","19,7",1,1,"1,1","0,089","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 g,,,,,,,,,,,
151,Gianduja cointreau,3760130034005,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Queues de gambas,20236939,,['France'],[],[],?,73,305 kj(73 kcal),"0,7","0,2",0,0,17,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,GARLIC & HERB CHICKEN FLATTIES - 361g,00680486,,['France'],[],[],?,118,494 kj(118 kcal),"2,5",1,"2,4","0,5","20,8","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361 g,,,,,,,,,,,
154,Fiori & frutti mediterranei,9782842213664,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,8 crêpes bretonnes,3353703851569,,['France'],[],[],?,217,908 kj(217 kcal),6,"3,2","33,8","18,7","6,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Confiture de Pascal,3770005480301,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Itsu water - 500ml,5056308000018,,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,,,
158,Sous le bouchon un corbiere nature,3418230005646,,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Corbières']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,['France'],,,,
159,Daddy sirop d'agave bio,3165437458996,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,308,1289 kj(308 kcal),0,0,77,67,0,"0,07","0,028",,,['Daddy'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",0 g,en faible quantité,0 g,en faible quantité,67 g,en quantité élevée,0.07 g,en faible quantité,,-1%,-1%,-100%,-100%,+0%,-8%,-100%,+42%,+42%,13,+1%,D,+1%,,,,,,,,,,,,,,,,,,,
160,Glace cédrat,3760130600101,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Brique de chèvre - 100g,3701373107491,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
162,"Fini Booom Fraise Gum, Chewing-gum, 200 Pièces",8410525121784,,['France'],[],[],?,380,1590 kj(380 kcal),0,0,95,80,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Detox bebida refrescante de zumo de manzana, - El Corte Ingles",8433329095099,,"['France', 'Espagne']",[],[],?,22,92 kj(22 kcal),"0,5",0,"4,8","4,8","0,8",0,0,,,['El Corte Ingles'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Jus et nectars']",0.5 g,en faible quantité,0 g,en faible quantité,4.8 g,en quantité modérée,0 g,en faible quantité,,-52%,-52%,+192%,-100%,-54%,-51%,+108%,-100%,-100%,8,+45%,D,+45%,,,,,,,,,,,,,,,,,,,
164,Fromage tome de chèvre,0206701012469,,['France'],[],[],?,405,1695 kj(405 kcal),33,24,0,0,24,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Galettes p. De terre ×2,0202011013059,,['France'],[],[],?,409,1711 kj(409 kcal),26,19,36,"4,7","5,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
