,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
69,Citronnelle séchée en sachet de 40G - Bongou - 40g,3665902202753,Citronnelle,40 g,['Bongou'],['France'],[],[],"185,4",44.3,"185,4 kj(44 kcal)","0,3",0,"9,3",0,"1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mousse de crocodile en conserve 130G - Bongou - 130g,3665902203040,Mousse de crocodile,130 g,['Bongou'],['France'],[],[],"1719,6",411,"1719,6 kj(411 kcal)",21,"11,9",46,"0,6",7,"1,5","0,6","['Œufs', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Piment pilé rouge en Bocal 370G - Bongou - 370g,3665902203095,Pâte de piment rouge,370 g,['Bongou'],['France'],[],[],"167,4",40,"167,4 kj(40 kcal)","0,43","0,2","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Graisse fine de canard en conserve 360G - Bongou - 360g,3665902202975,Graisse fine de canard,360 g,['Bongou'],['France'],[],[],"3690,3",882,"3690,3 kj(882 kcal)",100,33,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Foie gras en bocal nature 200G - Bongou - 200g,3665902202883,Foie gras nature,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Anamadinika séchée en sachet de 40g - Bongou - 40g,3665902202623,Anamadinika,40 g,['Bongou'],['France'],[],[],"179,9",43,"179,9 kj(43 kcal)","0,5",0,"8,4",0,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Foie gras en bocal au gingembre 200G - Bongou - 200g,3665902202869,Foie gras au gingembre,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mini-hamburger 15 unités de 15gr/ sachet. 225 GR - Pain boul' - 15pièces,3665902202401,Mini pain-burger,15 pièces,"[""Pain boul'""]",['France'],"['Farine de blé-Eau', 'Sel', 'Sucre', 'Levure', 'Matiere grasse végétale', 'Améliorant', 'Conservateur', 'Œuf', 'Sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1210,289.2,1210 kj(289 kcal),"5,7","0,7","49,4",8,"9,4","1,31","0,524","['Œufs', 'Gluten', 'Lait', 'Graines de sésame']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Riz blanchie Makalioka - Etablissement A.R - 5kg,3665902201640,Riz blanc décortiqué,5 kg,['Etablissement A.R'],['France'],['Riz décortiqué'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","543,9",130,"543,9 kj(130 kcal)",0,0,28,"0,1","2,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Ma'fruiT Pommes Séchées - 25g,3665902203385,Pommes séchées,25 g,"[""Ma'fruiT""]",['France'],['Pommessans additifssans sucres ajoutéessans conservateurs'],[],"1037,6",248,"1037,6 kj(248 kcal)","1,6",0,57,0,"1,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Ma'fruiT Ananas séchés - 35g,3665902203378,Ananas séchés,35 g,"[""Ma'fruiT""]",['France'],"[""Chair d'ananas crussans additifssans sucres ajoutéssans conservateur""]",[],"1255,2",300,"1255,2 kj(300 kcal)",0,0,74,53,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Miel au parfum de Mangrove - Boamam - 200g,3665902203330,Miel au parfum de Mangrove,200 g,['Boamam'],['France'],['Miel au saveur Mangrove'],[],"267,8",64,"267,8 kj(64 kcal)",0,0,"17,2","17,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Miel au parfum de Mangrove - Baomam - 450g,3665902203309,Miel au parfum de Mangrove,450 g,['Baomam'],['France'],['Miel au saveur Mangrove'],[],"267,8",64,"267,8 kj(64 kcal)",0,0,"17,2","17,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,COOKIES - 10 pièces - Manna - 230g,3665902202586,Cookies sans gluten,230 g,['Manna'],['France'],['Farine sans glutenbeurresucrepepite chocoœufs'],[],"1589,9",380,"1589,9 kj(380 kcal)",0,0,88,0,"2,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Rillette de canard en conserve 200G - Bongou - 200g,3665902203194,Rillette de canard,200 g,['Bongou'],['France'],[],[],"1560,6",373,"1560,6 kj(373 kcal)",33,11,0,0,20,"1,75","0,7",,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,33 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1.75 g,en quantité élevée,-2%,-7%,-7%,-10%,-12%,-100%,-100%,+23%,+28%,+28%,21,+9%,E,+9%,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
84,Gingembre confit en bocal de 212G - Bongou - 212g,3665902202968,Gingembre confit,212 g,['Bongou'],['France'],[],[],"334,7",80,"334,7 kj(80 kcal)","0,75","0,2","17,77","1,7","1,82",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Ravimboafotsy séché en sachet de 40G - Bongou - 40g,3665902203156,Ravimboafotsy,40 g,['Bongou'],['France'],[],[],"4,2",1,"4,2 kj(1 kcal)",0,0,"0,3",0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Magret de canard fumé tranché HALAL S/V - Bongou - 90g,3665902203026,Magret de canard fumé tranché HALAL,90 g,['Bongou'],['France'],[],[],"1464,4",350,"1464,4 kj(350 kcal)","31,5","11,6","0,7","0,7","17,8","2,7","1,08",,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,31.5 g,en quantité élevée,11.6 g,en quantité élevée,0.7 g,en faible quantité,2.7 g,en quantité élevée,+3%,+3%,+3%,+8%,+16%,-44%,+4%,-1%,+64%,+64%,24,+30%,E,+30%,,E,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,
87,Anguille en conserve 180G - Bongou - 180g,3665902202616,Amalona (Anguille),180 g,['Bongou'],['France'],[],[],"962,3",230,"962,3 kj(230 kcal)",15,"0,5",0,0,24,"1,17","0,468",['Poisson'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Poivre vert en bocal 212G - Bongou - 212g,3665902203149,Poivre vert au naturel,212 g,['Bongou'],['France'],[],[],"1050,2",251,"1050,2 kj(251 kcal)","3,3","1,4",64,"0,6",10,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,62% dark chocolate - peppermint PM - Eka - 40g,3665902201862,Chocolat noir 62% avec de l'essence de menthe poivrée,40 g,['Eka'],['France'],"['Cacao', 'Sucre', 'Beurre de cacao', 'Lécithine de Tournesol', 'Essence de menthe poivrée']",[],"2168,1",518.18,"2168,1 kj(518 kcal)","34,8","20,7","43,6","37,2","7,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,
90,Pâte d'ail - Le Gourmet - 320g,3665902202029,Pâte d'ail,320 g,['Le Gourmet'],['France'],"['Ail sélectionné', 'Sel VinaigreE 330']",[],"548,1",131,"548,1 kj(131 kcal)","0,47","0,09","21,5","1,57","7,9","17,6","7,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Varanga de canard Bongou 100G en barquette - 100g,3665902201428,Varanga de canard,100 g,['Bongou'],['France'],"['Chair de canard effiloché', 'Sel']",[],"1757,3",420,"1757,3 kj(420 kcal)",18,"4,2",0,0,20,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Le Gourmet Sésame - 100g,3665902202074,Sésame,100 g,['Le Gourmet'],['France'],['Sésame'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","2397,4",573,"2397,4 kj(573 kcal)",50,7,23,"0,3",18,11,"4,4",['Graines de sésame'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Riz complet rouge Vary gasy - Etablissement A.R - 5kg,3665902201657,Riz rouge décortiqué,5 kg,['Etablissement A.R'],['France'],['Riz décortiqué'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","543,9",130,"543,9 kj(130 kcal)",0,0,28,"0,1","2,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Confiture de fruitde Baobab - Baomam - 200g,3665902203262,Confiture de fruit de Baobab de Menabe,200 g,['Baomam'],['France'],"['Poudre de baobab', 'Sucre', 'Eau']",[],1046,250,1046 kj(250 kcal),"0,5",0,60,58,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Petsay en sachet 40 - Bongou - 40g,3665902203071,Petsay,40 g,['Bongou'],['France'],[],[],"50,2",12,"50,2 kj(12 kcal)","0,2",0,"2,2",0,"1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Pâté de canard au poivre vert en conserve 200G - Bongou - 200g,3665902203057,Pâté de canard au poivre vert,200 g,['Bongou'],['France'],[],[],"1389,1",332,"1389,1 kj(332 kcal)","27,9","11,9","1,5","0,6","12,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Confit cuisse de canard en conserve de 730G - Bongou - 730g,3665902202777,Confit cuisse de canard,730 g,['Bongou'],['France'],[],[],"907,9",217,"907,9 kj(217 kcal)",35,"4,8",0,0,21,"4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Confit cuisse de canard en conserve de 410G - Bongou - 410g,3665902202760,Confit cuisse de canard,410 g,['Bongou'],['France'],[],[],"907,9",217,"907,9 kj(217 kcal)",35,"4,8",0,0,21,"4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Anatsonga en sachet de 40g - Bongou - 40g,3665902202685,Anatsonga,40 g,['Bongou'],['France'],[],[],"54,4",13,"54,4 kj(13 kcal)","0,6",0,"5,3",0,"5,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Anatsonga en sachet de 40g - Bongou - 40g,3665902202685,Anatsonga,40 g,['Bongou'],['France'],[],[],"54,4",13,"54,4 kj(13 kcal)","0,6",0,"5,3",0,"5,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Confit gésier de canards en conserve de 400GBONGOU - Bongou - 400g,3665902202807,Confit Gésier de canard,400 g,['Bongou'],['France'],[],[],636,152,636 kj(152 kcal),34,"0,9",0,0,21,"1,93","0,772",,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,34 g,en quantité élevée,0.9 g,en faible quantité,0 g,en faible quantité,1.93 g,en quantité élevée,-2%,-18%,-18%,+448%,-56%,-100%,-100%,-27%,+33%,+33%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,
102,Foie gras en bocal à la vanille 200G - Bongou - 200g,3665902202852,Foie gras à la vanille,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Pois du cap en conserve 350G - Bongou - 350g,3665902203132,Pois du cap,350 g,['Bongou'],['France'],[],[],"493,7",118,"493,7 kj(118 kcal)",0,0,21,0,7,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Foie gras à la vanille en conserve 200G - Bongou - 200g,3665902202951,Foie gras à la vanille,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Patsa mena séché en sachet de 40G - Bongou - 40g,3665902203064,Patsa mena (Chevaquines rouges),40 g,['Bongou'],['France'],[],[],"313,8",75,"313,8 kj(75 kcal)","3,1","0,5","3,52",0,"5,58",0,0,['Crustacés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Foie gras mi cuit semi-conserve 130G - Bongou - 130g,3665902202890,Foie gras mi cuit,130 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,62% dark chocolate - lemon zest - EKA - 75g,3665902201817,Chocolat noir,75 g,['EKA'],['France'],"['Cacao', 'Sucre', 'Beurre de cacao', 'Lécithine de Tournesol', ""Essence d'écorce de citron""]",[],"2168,1",518.2,"2168,1 kj(518 kcal)","34,8","20,7","43,6","37,2","7,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,
108,Wrap poulet citron et basilic concombre - Le Kiosque à Sandwiches,3700365099547,,,['Le Kiosque à Sandwiches'],['France'],[],[],?,203,849 kj(203 kcal),"3,8","1,3","32,2","2,6","8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,colza bio - gaec ursule,77000198027,,,['gaec ursule'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,YAOURT DE BREBIS A LA VANILLE - BIO VILLAGE,356470708764303,,,['BIO VILLAGE'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Leclerc'],,,,,,
111,NOIX DE COCO CARAMELISEES AU MIEL - CROP'S-CROP'S - 1L,617000112013,CARAMEL,1L,"[""CROP'S-CROP'S""]",['France'],['MIEL NOIX DE COCO'],[],?,?,,?,,?,,?,,,,['GRIGNOTAGE SUCRE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BOUTEILLE'],['DOUALA CAMEROUN'],['617000112013'],,,
112,Teurgoule - Les éleveurs de la charentonne,7002522912925,,,['Les éleveurs de la charentonne'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Infusion Bio Nuit - Pagès,398984505695,,,['Pagès'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Croquants aux amandes - Le petit Luberon,3760003785188,,,['Le petit Luberon'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Tripe à la tomate - Gueze,3421010007518,,,['Gueze'],['France'],[],[],?,104,435 kj(104 kcal),4,"1,8","2,2","1,7","14,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Red berries - Sync,3770009606332,,,['Sync'],['France'],[],[],?,412,1724 kj(412 kcal),"5,7","0,8","6,7",3,"76,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,noix de cajou bio grillée sans sel - 120grammes,3481010007451,,120 grammes,,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,,,,,,,,,,,,,,,,,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,
118,Saucisse grillée et volcan de sauce - Seazon,3701456312897,,,['Seazon'],['France'],[],[],?,176,736 kj(176 kcal),13,7,9,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,alpine milka,622210693280,,,['Milka'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sirop de pêche biovillage - Marque Repere,3564707138338,,,['Marque Repere'],['France'],[],[],?,324,1356 kj(324 kcal),"0,5","0,1",80,80,"0,5",,,,"['Boissons', 'Sirops', 'Sirops aromatisés']",,,,,,,,,,,+30%,+27%,+395%,+295%,+25%,+31%,+381%,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,['Leclerc'],,,,,,
121,piment de cayenne Bio - sainte lucie,3162050030264,,,['sainte lucie'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Confiture  myrtille litchis à la rose - Bonne maman,3608580063759,,,['Bonne maman'],['France'],[],[],?,203,849 kj(203 kcal),"0,2",,48,48,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Croq soja - Cereal bio,0212421056300,,,['Cereal bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Petit beurre - Lu,0622214228034,,,['Lu'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Huile olive - Monini,0045120001575,,,['Monini'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Meule Fruitée - Les Croisés,356470658141801,,,['Les Croisés'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,pain aux cereales - leclerc,047482300249,,,['Leclerc'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Crème légère fluide 12% matières grasses - Leader price,6193819430411,,,['Leader price'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,
129,Sashimi saumon - Cora,3760190932143,,,['Cora'],['France'],[],[],?,153.300003051758,641 kj(153 kcal),"9,3","1,7","1,7","0,6","14,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,jamón York - sa Duisburg - 3,125896,,3,['sa Duisburg'],['France'],['100% cerdo'],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:245'],,['Cristal'],,,['en:español'],,
131,Croquant pur beurre - Les artisans normands,3760167931049,,,['Les artisans normands'],['France'],[],[],?,413,1728 kj(413 kcal),"18,2","9,6","56,3","32,3","5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Salade à l’italienne,3700009275016,,,,['France'],[],[],?,165,690 kj(165 kcal),"6,3","1,2",19,"2,4","7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,pain multi-céréales - Bicoop - La falue,2900348016405,,,['Bicoop - La falue'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lait demi écrémé - C\'est qui le patron,9218440014063,,,"[""C\\'est qui le patron""]",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Artichaut à l’italienne,3770013958489,,,,['France'],[],[],?,77.6923076923077,325 kj(77 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Chocolat Noir aux écorces d\'oranges confites - Bio village,356470711700503,,,"['Bio village', 'Marque repère']",['France'],[],[],?,?,,?,,?,,?,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,,,,,,,,,,,,,,,,,,,,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Bio'],['Leclerc'],,,,,,
137,Velouté aux asperges - Bon chef soup,343428005,,,['Bon chef soup'],['France'],[],[],?,31,130 kj(31 kcal),1,"0,1","4,5","1,1","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Pépites du Berger - Maison Combes,3306220000019,,,['Maison Combes'],['France'],[],[],?,621,2598 kj(621 kcal),52,30,5,"0,5",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Haricots plats - Argel,3565270008233,,,['Argel'],['France'],[],[],?,13,54 kj(13 kcal),?,,2,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,le cabécou du Périgord - rians,3035510131808,,,['Rians'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Café bio - Chiapaneco,3760153590465,,,['Chiapaneco'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Chirachi,3701035404852,,,,['France'],[],[],?,139,582 kj(139 kcal),"3,9",,19,5,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pain de mie - Harrys,2228851070845,,,['Harrys'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Lieu  au citron et  célerisotto - Seazon,3701456307725,,,['Seazon'],['France'],[],[],?,73.9473684210526,309 kj(73 kcal),"3,316","0,368","3,737","2,342","6,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Redunat transit,8423263100768,,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,LE PASTIN - LUBRANO,02021001279,,,['LUBRANO'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,huile d\'olive de Provence AOP - Reflets de France,0350071119317,,,['Reflets de France'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Primeur confiture fraise dordogne,3700238328705,,,,['France'],[],[],?,216,904 kj(216 kcal),?,,53,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Beaute + peau cheveux ongles,3700195660023,,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,emmental grand pavois 32 - super U,2822959023750,,,['super U'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Eau - Hepar,7780459540410,,,['Hepar'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Citronnnade - Pulco,3124480198877,,,['Pulco'],['France'],[],[],?,75,314 kj(75 kcal),?,,"16,7","15,9","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Câlin extra 0% - Yoplait,5132170877214,,,['Yoplait'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Cacciatore italiano - Citterio,80457565,,,['Citterio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Confiture extra de dattes figues - SOUA SOUA,3760124631289,,,['SOUA SOUA'],['France'],[],[],?,257,1075 kj(257 kcal),"0,1",,62,62,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,FIGESTION - YOGI TEA,40128244026576,,,['YOGI TEA'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,BEURRE LAITIER - ICI EN CHARTREUSE,3760305510006,,,['ICI EN CHARTREUSE'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,magret de canard - était du volailler - 317g,2209030005377,,317 g,['était du volailler'],['France'],[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Volailles', 'Canards', 'Viande de canard avec peau']",,,,,,,,,,,,,,,,,,,,,,,,,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['Lidl'],['Plastique'],,,,,
159,Couscous moyen - Ferrero,1217228700127,,,['Ferrero'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,beurre d\'Ysigny - U saveur,368953985452,,,['U saveur'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,chocolat noir noisette entière - U bio,256227824296,,,['U bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Super U', 'Magasins U']",,,,,,
162,Graine couscous moyen - Tipiak,0161000102979,,,['Tipiak'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Crème de coco - La maison du coco,0762140070038,,,['La maison du coco'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
