,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
1045,600G Saveurs Des Potages Patrelle,3215470512664,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Seaweed Shirataki,6933362465313,,,['France'],[],,,,[],,,,,,,,,,?,,10,,42 kj(10 kcal),,"0,4",,"0,099",,"0,8",,"0,4",,"0,4",,"0,05",,"0,02",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1047,Lucky 555 Biscuits,5281028460020,,,['France'],[],,,,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,8,,4,,72,,21,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Poudre de Spiruline - Nutridia - 200g,5400910105591,['Nutridia'],"['Compléments alimentaires', 'Spiruline']",['France'],[],,,,[],,8.2 g,en quantité modérée,1.1 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,300,+20%,1255 kj(300 kcal),+18%,"8,2",+124%,"1,1",-14%,"15,1",+47%,3,+330%,60,+21%,0,-100%,0,-100%,-1,-120%,A,-120%,D,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,200 g,"['Bio', 'Bio européen', 'BE-BIO-02', 'Agriculture UE/Non UE']",,,,,,,,,,
1049,Poppit's - Zweifel,7610095151001,['Zweifel'],,['France'],[],,,,[],,,,,,,,,,?,,525,,2197 kj(525 kcal),,31,,"3,2",,56,,4,,"4,1",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
1050,2L Whisky William Lawson's,5010752000376,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Spaghetti sans gluten - Franprix - 500g,3263850594519,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Spaghetti']",['France'],"[""Farine de maïs blanc 61% - farine de mais jaune 33% - farine de riz 4,8% - émulsifiant mono - et diglycérides d'acides gras""]",,,,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",1,1.3 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,?,,355,+1%,1485 kj(355 kcal),+0%,"1,3",-37%,"0,2",-60%,79,+17%,"0,6",-42%,"6,9",-38%,0,-100%,0,-100%,0,,B,,,,,,,,,,500 g,,['Franprix'],,,,,,,,,
1052,Tomaten Passata - Naturata,4024297158158,['Naturata'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Aides culinaires', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Coulis de tomates']","['France', 'Allemagne']",[],,,,[],,0.3 g,en faible quantité,0 g,en faible quantité,3.4 g,en faible quantité,0.02 g,en faible quantité,?,,34,-11%,142 kj(34 kcal),-8%,"0,3",+23%,0,-100%,"3,4",-44%,"3,4",-33%,"1,6",+1%,"0,02",-95%,"0,008",-95%,-5,,A,,A,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,"['Bio', 'Bio européen', 'Bio-dynamie', 'DE-ÖKO-007', 'Demeter']",,['tetra pak'],,,,,,,,
1053,Basmati Reis weiss,4250085771135,,,['France'],[],,,,[],,,,,,,,,,?,,345,,1443 kj(345 kcal),,"0,6",,"0,1",,"78,3",,"0,3",,"6,6",,"0,01",,"0,004",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1054,"Creme Mures 50C.15D Bf,",3258561370231,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Bêtises de Cambrai - Afchain,3048461851158,['Afchain'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,98 g,en quantité élevée,0.012 g,en faible quantité,?,,393,+2%,1644 kj(393 kcal),+2%,0,-100%,0,-100%,98,+2%,98,+32%,"0,3",-12%,"0,012",-78%,"0,005",-78%,14,0%,D,0%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1056,Risotto ai funghi porcini - COOP,8001120936783,['COOP'],,['France'],[],,,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"0,7",,0,,76,,5,,"7,9",,2,,"0,8",,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
1057,0705632863374,0705632863374,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Spiruline,2077478546314,,"['Compléments alimentaires', 'Spiruline']",['France'],[],,,,[],,6.3 g,en quantité modérée,3 g,en quantité modérée,1.6 g,en faible quantité,3.3 g,en quantité élevée,?,,348,+39%,1456 kj(348 kcal),+37%,"6,3",+72%,3,+134%,"9,1",-12%,"1,6",+130%,60,+21%,"3,3",+187%,"1,32",+187%,16,+227%,D,+227%,E,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,
1059,Ebly - 500g,66463733,['Ebly'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains']",['France'],['blé précuit à la vapeur'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,135,-60%,565 kj(135 kcal),-60%,"0,5",-90%,"0,1",-85%,"26,9",-53%,"0,5",-49%,"4,7",-50%,0,-100%,0,-100%,-1,,A,,,,,,,,,,500 g,,,['Carton'],,,,,,,,
1060,Spruitjes - Albert Heijn,8710400025429,['Albert Heijn'],,"['France', 'Pays-Bas']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Albert Heijn'],,,,,,,,,
1061,Miel de Thym-Garrigue,3760032990720,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Sidra de Asturias - Sopeña,8437004050076,['Sopeña'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,
1063,Quinoa gourmand parfumé aux épices douces,3603000020497,,,['France'],[],,,,[],,,,,,,,,,?,,366,,1531 kj(366 kcal),,"6,5",,"0,7",,57,,"7,4",,14,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
1064,Curry madra,8436038268747,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Gourmet fiels - Gourmet Fields,7443015120036,['Gourmet Fields'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",['France'],[],,,,[],,4 g,en quantité modérée,0 g,en faible quantité,12 g,en quantité modérée,0 g,en faible quantité,?,,235,-57%,983 kj(235 kcal),-57%,4,-89%,0,-100%,17,-63%,12,-71%,5,-30%,0,-100%,0,-100%,1,-96%,B,-96%,,,,,,,,,,,,,,,,,,,,
1066,Haricots rouges - Lunor - 500g,3227290000337,['Lunor'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",['France'],['Haricots rouges'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.9 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0.01 g,en faible quantité,?,,303,+94%,1268 kj(303 kcal),+90%,"1,9",+125%,"0,3",+117%,39,+81%,"2,4",+67%,23,+102%,"0,01",-97%,"0,004",-97%,-2,,A,,B,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,500g,,,['Sachet plastique'],['France'],"['EMB 85155A', 'Mouilleron-le-Captif (Vendée, France)']",,,,,,
1067,Labneh entier - Candia,5285001102655,['Candia'],,['France'],[],,,,[],,,,,,,,,,?,,134,,561 kj(134 kcal),,8,,0,,6,,0,,"9,6",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1068,Salsa brava - Moli Coloma,8436021664532,['Moli Coloma'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces bravas']","['France', 'Espagne']",[],,,,[],,18 g,en quantité modérée,2.2 g,en quantité modérée,8.1 g,en quantité modérée,2.7 g,en quantité élevée,?,,218,+26%,912 kj(218 kcal),+26%,18,+29%,"2,2",+14%,14,+42%,"8,1",+29%,"1,5",+28%,"2,7",-7%,"1,08",-7%,15,+12%,D,+12%,B,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,,,,
1069,Biscuits et gourmandise,3760255043210,,,['France'],[],,,,[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,30,,15,,22,,"1,4",,11,,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,
1070,Confiture d'Echalions,3760026196435,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Tofu fumé bois de hêtre,3259010443483,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu', 'Tofus fumés']",['France'],[],,,,[],,10 g,en quantité modérée,1.7 g,en quantité modérée,0.8 g,en faible quantité,0.52 g,en quantité modérée,?,,165,+3%,690 kj(165 kcal),+3%,10,+9%,"1,7",+17%,"1,1",-35%,"0,8",+7%,16,+3%,"0,52",-39%,"0,208",-39%,0,-100%,B,-100%,B,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,"['Bio', 'Bio européen']",,,,,,,,,,
1072,"Steak haché, 15% MAT.GR, BIGARD, 3 pièces, 375g, France",3273230068585,['Bigard'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,
1073,Filet De Truite Fume Sous Map Refermable,4004689020010,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']","['France', 'Allemagne']",[],,,,[],,4.4 g,en quantité modérée,1.5 g,en quantité modérée,0.2 g,en faible quantité,2.2 g,en quantité élevée,?,,117,-29%,490 kj(117 kcal),-28%,"4,4",-44%,"1,5",-7%,"0,2",-52%,"0,2",-32%,"19,4",-14%,"2,2",-20%,"0,88",-20%,11,-7%,D,-7%,E,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,['Stück'],,,,,,,,
1074,Sauce soja sucree - Kikkoman,17573160,['Kikkoman'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,7.1 g,en quantité élevée,?,,260,+15%,1088 kj(260 kcal),+14%,0,-100%,0,-100%,57,+10%,52,+13%,"4,3",+31%,"7,1",-12%,"2,84",-12%,23,+11%,E,+11%,B,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,,
1075,4002868001026,4002968001026,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Miel de cerisier - Famille Perronneau,3263628017561,['Famille Perronneau'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de cerisier']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,['Espagne'],,,,,,,
1077,Poudre de pralines,3760085327832,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Tartare Océane,3760054380738,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,
1079,Cotes Gascogne Colombelle Red,3270040123473,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Le jambon zéro nitrite - Fleury Michon,61629530,['Fleury Michon'],,['France'],[],,,,[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"2,8",,1,,"0,7",,"0,7",,22,,"1,9",,"0,76",,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,
1081,La part des anges_bourgogne_vin rouge,3338590008364,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,La blonde,7640134810231,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Yaourt Brassé sur Lit d'abricot et Miel de Lavande - Le Petit Vendéen,3770012061012,['Le Petit Vendéen'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', ""Yaourts à l'abricot"", 'Yaourts au lait de vache']",['France'],"['Yaourt brassé nature"" 82%: Lait entier pasteurisé ', 'Origine: France', 'ferments lactiques', "" Confiture' 18%: abricot 65%"", '- sucre de canne""', 'miel de lavande* 6%', ""acidifiant: jus concentré de citron'"", 'gélifiant: pectine de fruits', ' ""Produits issus de l\'agriculture biologique']",['E440 - Pectines'],,['Lait'],['Non végétalien'],4,3 g,en quantité modérée,1.9 g,en quantité modérée,14 g,en quantité élevée,0.09 g,en faible quantité,?,,94,-6%,393 kj(94 kcal),-6%,3,-4%,"1,9",-3%,14,0%,14,+8%,"3,1",-11%,"0,09",-20%,"0,036",-20%,2,-36%,B,-36%,C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Bio'],,,,,,,,,,
1084,Rubicon Passion,5000382030911,['Rubicon'],,['France'],[],,,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,"4,6",,"4,6",,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1085,Soja plus,5289000004712,,,['France'],[],,,,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,6",,"0,6",,15,,0,,"7,5",,"0,008",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,
1086,Romain,3368950939663,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,12 madeleines classiques - Heras Bareche,8410391000107,['Heras Bareche'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],[],,,,[],,20 g,en quantité modérée,3 g,en quantité modérée,29 g,en quantité élevée,0.5 g,en quantité modérée,?,,421,-5%,1761 kj(421 kcal),-4%,20,-12%,3,-57%,"54,4",+3%,29,+5%,5,-12%,"0,5",-38%,"0,2",-38%,15,-18%,D,-18%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,
1088,Polpa Fine,8001250007759,,,['France'],[],,,,[],,,,,,,,,,?,,29,,121 kj(29 kcal),,0,,0,,"5,3",,"3,7",,"1,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
1089,Pure Beauty,0817908020111,,,['France'],[],,,,[],,,,,,,,,,?,,5,,21 kj(5 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,"['Bio', 'en:USDA Organic']",,,,,,,,,,
1090,Huile d'olive vierge extra - Méditerroir - 1L,6191444200010,['Méditerroir'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,1 L,,,,['Tunisie'],,,,,,,
1091,Vin liquoreux,7610258192612,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Green beans,5099078001199,,,['France'],[],,,,[],,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,1",,0,,"2,6",,"0,7",,"1,5",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,
1093,Bière IPA,5011348020396,,"['Boissons', 'Boissons alcoolisées', 'Bières', 'en:India Pale Ale']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,
1094,5 white chocolate cookies - By Sainsbury's,01066517,"[""By Sainsbury's""]",,"['France', 'Royaume-Uni']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Triple Moine,5411633330023,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Noisettes décortiquées - Cora - 100g (2 * 50g),3257984604183,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']",['France'],['Noisettes décortiquées'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,100 g (2 * 50 g),,,"['Barquette', 'Film', 'Plastique', 'Barquette en plastique']",,"['EMB 92002F', 'Antony (Hauts-de-Seine, France)']",,,,,,
1097,Cocktail pommes cassis -,3760160090040,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,"['', 'EMB 42271B', 'Saint-Paul-en-Jarez (Loire, France)']",,,,,,
1098,Farine de blé Biologique T65 La Spéciale - Minoterie du Trièves - 25kg,,['Minoterie du Trièves'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65', 'Préparations de boulangerie']",['France'],"['Farine de blé T65*', 'gluten de blé*', 'levain de seigle dévitalisé*', 'agent de traitement de la farine ', 'E300', 'enzymes ', 'xylanase et alpha-amylase', ' * ingrédient agricole biologique']",['E300 - Acide ascorbique'],,['Gluten'],[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,25 kg,"['Bio', 'Bio européen', 'FR-BIO-01', 'Produits destinés aux professionnels', 'AB Agriculture Biologique', 'en:Agriculture France', 'en:Farine de montagne bio', 'en:Produit de montagne']",,['Sac'],['France'],"['EMB 38113', 'Clelles (Isère, France)']","Farine pour pain, brioche et vienoiserie",['France'],http://www.minoteriedutrieves.com/nos-produits/10-farines-boulangere,,,
1099,Cafe Delta Cevada,5601082003955,,,['France'],[],,,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"2,6",,"0,66",,"0,5",,0,,"11,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1100,Cafe Delta Cevada,5601082003955,,,['France'],[],,,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"2,6",,"0,66",,"0,5",,0,,"11,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1101,Spécialité au fromage frais - Carrefour,5400101005761,['Carrefour'],,['France'],[],,,,[],,,,,,,,,,?,,111,,464 kj(111 kcal),,"3,9",,"2,4",,13,,13,,"6,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
1102,Tim Tam - Arnott's,9310072030784,"[""Arnott's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Australie', 'France']",[],,,,[],,22.1 g,en quantité élevée,12.3 g,en quantité élevée,43.7 g,en quantité élevée,1.38 g,en quantité modérée,?,,485,-1%,2029 kj(485 kcal),-2%,"22,1",-6%,"12,3",+4%,"65,9",+6%,"43,7",+34%,"3,9",-41%,"1,38",+150%,"0,552",+150%,31,+45%,E,+45%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Fabriqué en Australie'],['Woolworths'],,,,,,,,,
1103,Mayonnaise au citron vert & basilic - Chef Attitude - 120g,3700856501122,['Chef Attitude'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises au citron']",['France'],[],,,,[],,72.4 g,en quantité élevée,5.7 g,en quantité élevée,0.8 g,en faible quantité,2 g,en quantité élevée,?,,654,+7%,2736 kj(654 kcal),+7%,"72,4",+9%,"5,7",-8%,"0,9",-67%,"0,8",-45%,"1,5",+22%,2,+50%,"0,8",+50%,21,+17%,E,+17%,C,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,120 g,,,"['Bocal', 'Verre']",,,,['France'],,,,
1104,Dragees guimauve,3266054144955,,,['France'],[],,,,[],,,,,,,,,,?,,411,,1720 kj(411 kcal),,"7,7",,"4,7",,83,,74,,"3,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1105,Light & Free,51049553,"['Light & Free', 'Danone']",,['France'],[],,,,[],,,,,,,,,,?,,63,,264 kj(63 kcal),,12,,"0,8",,"8,8",,"7,7",,4,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,
1106,Boite De Tisane Thym Bio 20 Sachets,3770004965281,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1107,beurre demi sel - U - 500g,25071054,['U'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,500g,,,,,,,,,,,
1108,Salam Ardelenesc,5941265013419,,,['France'],[],,,,[],,,,,,,,,,?,,501,,2096 kj(501 kcal),,46,,19,,"3,8",,"0,2",,"17,8",,"4,28",,"1,712",,,,,,,,,,,,,,,,,,,,,,,,,
1109,orange juice - Olympus - 1lt,5202178300004,['Olympus'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],,,,[],,0.1 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité élevée,0 g,en faible quantité,?,,45,+5%,188 kj(45 kcal),+3%,"0,1",-40%,0,-100%,"10,4",+7%,"9,9",+9%,"0,6",-4%,0,-100%,0,-100%,4,+33%,C,+33%,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1lt,,,['1'],,,,,http://www.olympusdairy.bg,,,
1110,Fromage blanc battu,3536270809526,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Miel de fleurs,3760009390836,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Label Rouge'],,,,,,,,,,
1112,tersol - 1kg,3513081000038,,,['France'],"['Sardines', 'eau', 'Citron', 'sel', 'aróme naturel']",,,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
1113,Confiture de lait de chèvre nature bio - so chevre - 280g,3770010862031,['so chevre'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",['France'],[],,,,[],,2.1 g,en faible quantité,1.4 g,en faible quantité,64 g,en quantité élevée,0.06 g,en faible quantité,?,,286,-4%,1197 kj(286 kcal),-3%,"2,1",-62%,"1,4",-57%,64,+16%,64,+26%,"2,1",-68%,"0,06",-82%,"0,024",-82%,14,-16%,D,-16%,B,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,280g,['Bio'],,,,,,,,,,
1114,Port Charlotte Scottish Barley,5055807400435,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Pommes de terre de consommation blanches lavées,3276550315858,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,SPARX POPPING CANDY,8692544869025,,,['France'],[],,,,[],,,,,,,,,,?,,392,,1640 kj(392 kcal),,"0,2",,"0,08",,98,,84,,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1117,Charlotte tata souad,6191467100038,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
