,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
60,L'ambrė,3665501000118,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,30,,21,,"0,5",,"0,5",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
61,Purée de fruits noisettes dattes - Dardenne - 200g,3258590004107,['Dardenne'],,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,556,,2326 kj(556 kcal),,46,,"6,6",,32,,21,,"10,1",,,,,,,,,,200 g,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,
62,Chocolat,3595181922700,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,"41,1",,"24,6",,"40,3",,"38,4",,8,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
63,Farine de blé 1kg - Monoprix - 1kg,3350033716698,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'en:White wheat flours']",['France'],[],[],1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,1502,+3%,354,+3%,1502 kj(354 kcal),+4%,1,-10%,"0,2",-10%,75,+6%,2,+45%,10,-3%,0,-100%,0,-100%,-3,,A,,1 kg,['Papier'],,,,,A,,['Monoprix'],77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,
64,Chocolat au lait et chocolat blanc decoré - Frey,7616500050600,['Frey'],,['France'],[],[],,,,,,,,,?,,576,,2410 kj(576 kcal),,37,,22,,53,,52,,7,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,,
65,Blanc d ail doux - Ail Ail Ail,3760245510319,['Ail Ail Ail'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés']",['France'],[],[],1 g,en faible quantité,0.2 g,en faible quantité,2.9 g,en faible quantité,3.95 g,en quantité élevée,?,,31,-69%,130 kj(31 kcal),-71%,1,-68%,"0,2",-51%,"3,7",-71%,"2,9",+13%,"0,8",-79%,"3,95",+280%,"1,58",+280%,5,,C,,,,,,,,,,,,,,,,,,,,,,
66,Aper'olives - Tokapi - 250g (150g égoutté),3564706612846,"['Tokapi', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",['France'],"['Olives vertes dénoyautées ', 'origine : Maroc', ' 55 %', 'eau', ""pâte d'anchois 4,2 % [eau"", 'sel', ' anchois ', 'origine : Maroc', ' 0,8 %', 'gélifiant : E4011', ' sel', 'acidifiant : acide citrique']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en quantité élevée,623,0%,151,0%,623 kj(151 kcal),-2%,15,-1%,"2,1",-24%,"1,4",+87%,"0,5",+367%,"1,3",-3%,"3,1",-0%,"1,24",-0%,11,-9%,D,-9%,250 g (150 g égoutté),"['Sachet', 'Plastique']","['Nutriscore', 'Nutriscore C']","['EMB 34301B', 'Sète (Hérault, France)']",['Poisson'],4,B,,['Leclerc'],33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['E330 - Acide citrique'],['Maroc'],,,
67,Rillettes de cabillaud au yuzu - Apérogourmet - 90g,3701257300543,['Apérogourmet'],"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons']",['France'],[],[],12 g,en quantité modérée,6.4 g,en quantité élevée,0.9 g,en faible quantité,0.68 g,en quantité modérée,?,,709,+224%,2966 kj(709 kcal),+222%,12,-29%,"6,4",+12%,"4,4",+96%,"0,9",-10%,10,-27%,"0,68",-38%,"0,272",-38%,17,+76%,D,+76%,90g,['Verre'],,,,,C,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,
68,Sorbet Plein Fruit Exotique - HDG,3267180390094,['HDG'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']",['France'],[],[],2.8 g,en faible quantité,2.4 g,en quantité modérée,22.4 g,en quantité élevée,0 g,en faible quantité,?,,143,+22%,598 kj(143 kcal),+21%,"2,8",+637%,"2,4",+1533%,27,-1%,"22,4",+0%,1,+75%,0,-100%,0,-100%,7,+62%,C,+62%,,,['Sans colorants'],,,,C,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,
69,3660005616858,3660005616858,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Kéfir -,5060337220057,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']",['France'],[],[],3.1 g,en quantité modérée,2 g,en quantité modérée,3.8 g,en quantité modérée,0.1 g,en faible quantité,?,,61,+11%,255 kj(61 kcal),+8%,"3,1",+36%,2,+43%,5,-3%,"3,8",-16%,"3,3",+3%,"0,1",-8%,"0,04",-8%,13,+14%,E,+14%,,,,,,,,,,,,,,,,,,,,,
71,Oeufs frais - Matines,3282070098270,['Matines'],"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",['France'],[],[],9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,0.31 g,en quantité modérée,?,,140,+1%,586 kj(140 kcal),+1%,"9,8",+9%,"2,6",+21%,"0,3",-53%,"0,3",-31%,13,+6%,"0,31",+37%,"0,124",+37%,-1,,A,,,,"['Nutriscore', 'Nutriscore A']",,,,D,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,
72,Fraises Clery,3700676700019,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Le Mariné - Petit Navire,3019081239749,['Petit Navire'],,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,30,,"4,4",,"0,1",,"0,1",,20,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
74,Schmelzkäse-Scheiben - Tip - 250g,4306188371182,['Tip'],,"['France', 'Allemagne']",[],[],,,,,,,,,1020,,245,,1020 kj(245 kcal),,17,,11,,5,,5,,18,,"2,5",,1,,,,,,250g,,,,,,,,,,,,,,,,,,,,
75,Lait demi-écrémé stérilisé u.h.t,3760261010107,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",['France'],[],[],1.6 g,en faible quantité,1.1 g,en faible quantité,4.6 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-2%,"1,6",+2%,"1,1",+9%,"4,8",-0%,"4,6",-4%,"3,2",-2%,"0,1",-9%,"0,04",-9%,1,,B,,,,,,,,D,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,
76,15924403,15924403,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Candy'up - Candia - 500ml,3533631786281,['Candia'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,1,,"0,7",,10,,"9,7",,"2,5",,"0,1",,"0,04",,,,,,500 ml,,,,,,,,,,,,,,,,,,,,
78,Le fromage blanc bio des Limousins - Laiterie Les Fayes,3760043160723,['Laiterie Les Fayes'],,['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,"3,2",,"2,2",,"3,9",,"3,9",,"7,5",,,,,,,,,,,,['Bio'],"['FR 87.075.001 CE', 'Isle (Haute-Vienne, France)']",,,,,,,,,,,,,,,,,
79,Choux de Bruxelles,5413508002011,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Choux de Bruxelles']",['France'],[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,2.7 g,en faible quantité,0 g,en faible quantité,?,,42,+5%,176 kj(42 kcal),+7%,"0,3",-42%,"0,1",-20%,"4,5",+8%,"2,7",+24%,"3,2",+18%,0,-100%,0,-100%,-6,,A,,,,,,,,B,,,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,,,,,
80,Artichauts grillés,0637913272479,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",['France'],[],[],13 g,en quantité modérée,0 g,en faible quantité,0.91 g,en faible quantité,0 g,en faible quantité,?,,502,+904%,2100 kj(502 kcal),+914%,13,+651%,0,-100%,30,+558%,"0,91",-25%,0,-100%,0,-100%,0,-100%,1,,B,,,,,,,,,,,,,,,,,,,,,,
81,Flocons d'avoine - Greenweez - 500g,3701269700058,['Greenweez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],['Flocons d’avoine'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",7 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,368,-0%,1540 kj(368 kcal),-1%,7,-1%,"1,2",-4%,"58,7",-1%,"0,5",-70%,"12,5",+2%,"0,01",-67%,"0,004",-67%,-5,,A,,500 g,['sachet plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10']","['EMB 44099B', 'Moisdon-la-Rivière (Loire-Atlantique, France)']",,1,B,,['Greenweez'],82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,
82,Miel de France - Miel Besacier - 275g,3110770443055,['Miel Besacier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],['Miel de fleurs des plaines'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,275 g,['Verre'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,A,,['Carrefour'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Région Auvergne Rhône-Alpes'],['Roanne'],,
83,500g,4337185738265,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,
84,Huile de colza,3580281920091,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",['France'],[],[],92 g,en quantité élevée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-5%,3464 kj(828 kcal),-5%,92,-5%,7,-2%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,5,-1%,C,-1%,,,,,,,C,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,
85,Roulade - Tante Clémence - 130g,3700401003422,['Tante Clémence'],,['France'],"['VIANDE ET GRAS DE PORC', 'POINTES DE JAMBON: 20% : ORIGINE FRANCE GLACE', ' SEL', ' PROTEINE DE LAIT ', ' EPICES ET AROMATES ', 'BLE', ' DEXTROSE', ' EMULSIFIANT : E450,E451 ', ' ANTIOXYDANT : E301: CONSERVATEUR : E 250 ', ' COLORANT : E120']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,192.2,,804 kj(192 kcal),,"14,5",,"5,7",,"1,4",,"1,4",,15,,"3,2",,"1,28",,,,,,130g,['Plastique'],,"['EMB 59526A', 'Saint-Amand-les-Eaux (Nord, France)', 'FR 59.526.002 CE', 'Saint-Amand-les-Eaux (Nord, France)']","['Gluten', 'Lait']",4,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,,
86,Scroll -,3059949931606,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Raisin sec macéré au vin blanc doux Sauternes et enrobé de chocolat noir aromatisé pêche - La fabrique d'Eugénie - 150g,3266055560082,"[""La fabrique d'Eugénie""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['Chocolat noir* 44% ', 'cacao 74% minimum', ' ', 'masse de cacao*', 'sucre*', 'beurre de cacao*', 'vanille en poudre*', 'raisin sec* 44% ', 'raisin sultanine*', 'huile de tournesol*', 'sucre glace* ', 'sucre de canne*', 'fécule de pomme de terre*', 'sucre*', 'vin blanc doux Sauternes* 2%', 'arôme naturel de pêche*', 'amidon de riz*', ""agent d'enrobage* "", ""gomme d'acacia*"", 'saccharose*', 'miel*', ""\r*Produit issu de l'agriculture biologique""]",['Non végétalien'],20 g,en quantité modérée,12 g,en quantité élevée,44 g,en quantité élevée,0.02 g,en faible quantité,?,,407,-23%,1703 kj(407 kcal),-23%,20,-38%,12,-31%,54,+3%,44,-7%,5,-15%,"0,02",-87%,"0,008",-87%,23,-6%,E,-6%,150g,"['Carton', 'Plastique']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,4,,,['Auchan'],,,,,,,,"[""E414 - Gomme d'acacia""]",,['France'],,
88,Macarons - Brioche Pasquier - 240g,3187670005089,"['Brioche Pasquier', 'Pasquier']","['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],"['24 MACARONS :4 MACARONS AU CAFÉ', '4 MACARONS À LA VANILLE', '4 MACARONS AU CARAMEL', '4 MACARONS AU CHOCOLAT', '4 MACARONS À LA PISTACHE', '4 MACARONS AU SPÉCULOOS', ' PRODUIT DÉCONGELÉ', ""Sucre - Blancs d'eufs - Amandes en poudre - Crème - Farine de blé - Huile végétale "", 'colza', ' - Lait écrémé en poudre - Amidon de mais - Caramel 0', '9% ', 'sucre', 'crème ', 'stabilisant : carraghénanes', 'sirop de glucose', 'beurre', 'eau', 'sel', ' - Brisures de spéculoos 0', '7% ', 'farine de blé', 'sucre', 'huile végétale ', 'colza', 'beurre concentré', 'sirop de candi', 'poudre à lever : carbonate acide de sodium', 'sel', 'cannelle', ' - Chocolat 0', '5% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithine de soja', "" - Blancs d'œufs en poudre - Cacao maigre en poudre - Extrait de malt d'orge - Arôme naturel de vanille - Colorants : rouge de betterave"", 'curcumine - Sucre caramélisé - Gélifiant : pectines - Extrait de café - Pistaches hachées 0', '07% - Arôme naturel de pistache - Café liquide 0', '04% - Stabilisants : gomme xanthane', 'carraghénanes - Spiruline - Cannelle en poudre - Acidifiant : acide citrique - Agent moussant : citrate de triéthyle', ' Informations allergènes Brioche PASQUIER vous informe que ces produits contiennent des œufs', 'des amandes', 'de la crème', 'du blé', 'du lait', 'du beurre', 'du soja', ""de l'orge"", ""des pistaches et qu'ils ont pu être en contact avec de l'arachide et d'autres fruits à coque"", ' Pour une dégustation parfaite ! Sortir les macarons du réfrigérateur 5 minutes avant de les déguster', ' Conservez-les a +6°C maximum et consommez-les au plus tard 48h']",['Non végétalien'],17 g,en quantité modérée,3 g,en quantité modérée,60 g,en quantité élevée,0.2 g,en faible quantité,?,,433,+2%,1812 kj(433 kcal),+2%,17,-4%,3,-34%,61,+10%,60,+19%,"9,5",+11%,"0,2",+40%,"0,08",+40%,17,-3%,D,-3%,240 g,"['Etui en carton', 'Barquette', 'Film en plastique']",['Décongelé'],,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,D,,['Carrefour'],88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E162 - Rouge de betterave', 'E100 - Curcumine', 'E440 - Pectines', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E1505 - Citrate de triéthyle']",,,,
89,Pamplemousse rose - Bigallet - 1l,3336770060423,['Bigallet'],['Sirops'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,,,?,,20,-92%,84 kj(20 kcal),-92%,0,-100%,0,-100%,4,-94%,2,-97%,?,,,,,,,,,,1l,['Bouteille'],['Sans conservateurs'],,,,,,,,,,,,,,,,,,
90,Crêpes chocolat noisette - Casino Bio,3222477371842,['Casino Bio'],,['France'],[],[],,,,,,,,,?,,469,,1962 kj(469 kcal),,25,,"5,2",,53,,37,,"6,9",,"0,8",,"0,32",,,,,,,,['Bio'],,,,,,['Casino'],,,,,,,,,,,,
91,Baking powder - Marks & Spencer - 150g,00568234,"['Marks & Spencer', 'Cook']","['Additifs alimentaires', 'Levures de boulanger']",['France'],"['Baking powder : E450', 'Sodium Bicarbonate', 'Wheat flour', ' ALLERGY INFORMATION : Contains wheat', 'gluten', ' Not suitable for SESAME allergy sufferers due to manufacturing methods used']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,150 g,['Plastic'],,,"['Gluten', 'Graines de sésame']",4,C,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",,['United Kingdom'],,
92,Infusion Détox saveur menthe - Jardin Bio,3456300012828,"['Jardin Bio', 'Léa Nature']",,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,
93,Ovinhos de Amendoim - Elma Chips - 170g,7892840814816,['Elma Chips'],"['Snacks', 'Snacks salés']",['France'],"['amendoim', 'fécula de mandioca', 'polvilho', 'óleos vegetais', 'sal e amido', ' ALÉRGICOS: CONTÉM AMENDOIM']","[""Pourrait contenir de l'huile de palme""]",18.8 g,en quantité modérée,7.2 g,en quantité élevée,0 g,en faible quantité,2.94 g,en quantité élevée,?,,464,+0%,1940 kj(464 kcal),+1%,"18,8",-22%,"7,2",+70%,68,+43%,0,-100%,"6,4",-25%,"2,94",+91%,"1,17",+91%,20,+64%,E,+64%,170 g,,,,,3,,,,,,,,,,,,,,,
94,Rasberry Ice Cream,5060002042397,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"7,7",,"1,4",,20,,17,,"12,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Beur bel azur - 500g,3155251211679,,,['France'],[],[],,,,,,,,,?,,540,,2259 kj(540 kcal),,60,,15,,0,,0,,0,,"0,3",,"0,12",,,,,,500 g,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,
96,Pomodorina Menu (830g Dose),8002960500165,,,['France'],[],[],,,,,,,,,?,,92,,385 kj(92 kcal),,"6,7",,"0,7",,"5,6",,"4,9",,"1,5",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,
97,Leopold 7 Dry Hopped - 33cl,5425032737208,['Leopold 7'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blondes']",['France'],"['eau', ""malt d'orge"", 'froment', 'houblon', 'levure', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,33 cl,['Canette'],['Déconseillé aux femmes enceintes'],,['Gluten'],3,C,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,['Belgique'],,
98,Burger nature - 80g,0745760079520,,,['France'],[],[],,,,,,,,,?,,231,,967 kj(231 kcal),,17,,"8,4",,"3,2",,"0,7",,18,,"1,4",,"0,56",,,,,,80 g,"['Barquette', 'Film en plastique']",['Halal'],"['EMB 30120', 'Gagnières (Gard, France)']",,,,,,,,,,,,,,,,,
99,Concassé d'aubergines et de cabillaud,3660088162426,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"12,1",,"1,56",,"4,9",,"2,3",,"7,1",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,,,,,,,
100,Saku x2,3661483287301,,,['France'],[],[],,,,,,,,,?,,200,,837 kj(200 kcal),,13,,"1,8",,"0,5",,"0,5",,20,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
101,Sprite,5449000286277,['Sprite'],,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,0,,0,,8,,8,,0,,"0,012",,"0,005",,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,
102,Häagen-Dazs mini cup Cookie Dough Chip,3415581354003,['Häagen-Dazs'],,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,"18,7",,12,,"26,4",,"21,4",,"4,1",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,
103,Eier BioBio,4316268606448,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,"['Stück', 'Stück', 'Stück', 'Stück', 'Stück', 'Stück']","['Bio', 'Bio européen', 'DE-ÖKO-005']",,,,,,,,,,,,,,,,,,
104,Eau de rose - Label,3250390638407,['Label'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2 filets de poulet fermier jaune,4056489193869,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,108,-18%,452 kj(108 kcal),-17%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,24,+5%,"0,11",-85%,"0,044",-85%,-4,,A,,,,,,,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
106,Falafels et boulgour au cumin - Qilibri - 300g,0660989030841,['Qilibri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Boulgour précuit 42 % ', 'blé dur précuit concassé', 'eau', 'falafels 22 % ', '11% pois chiches réhydratés', 'eau', 'oignon', ""huile d'olive vierge"", 'carottes', 'protéine de pois', 'amidon', ""blanc d'oeuf en poudre"", 'plantes aromatiques', 'épices', 'sel', 'fibre de pois', 'ail', 'eau', '5,6% tomates', 'concentré de tomates', 'crème', 'huile de colza', 'amidons', ""huile d'olive vierge"", 'ail', 'persil', 'cumin', 'sel', 'basilic', 'piment', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4.1 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,0.72 g,en quantité modérée,544,-41%,130,-46%,544 kj(130 kcal),-47%,"4,1",-62%,"0,7",-51%,16,-28%,1,-60%,"5,4",-40%,"0,72",-42%,"0,288",-42%,-2,-186%,A,-186%,300 g,"['Carton', 'Plastique']","['Végétarien', 'Sans additifs', 'Convient à une alimentation halal', 'Sans colorant ni conservateur', 'Source de protéine']",,"['Céleri', 'Œufs', 'Gluten', 'Lait']",3,B,https://qilibri.fr/contents/produit-falafels-et-boulgour-au-cumin,,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,,,['France'],,
107,"Poulet aux olives, boulgour et quinoa Bio - Qilibri - 300g",0660989030858,['Qilibri'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Eau', 'émincés de poulet cuits et rôtis* 20% ', 'viande de poulet* ', 'origine UE', 'eau', 'fécule de pomme de terre*', 'sel', 'quinoa* 9,5%', 'boulgour* ', 'blé dur précuit concassé', ' 9,5% carottes* 4,6%', 'olives* 4,6%', 'oignon* 3,6%', 'concentré de tomate*', ""huile d'olive vierge extra*"", 'tomate pelée concassée*', 'huile de colza*', 'sel', 'fécule de pomme de terre*', 'cumin*', 'gingembre*', 'jus de citron concentré*', 'épaississant: gomme guar*', "" *Ingrédients issus de l'Agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",5 g,en quantité modérée,1 g,en faible quantité,0.7 g,en faible quantité,0.77 g,en quantité modérée,447,-23%,107,-28%,447 kj(107 kcal),-27%,5,-16%,1,-40%,"8,3",-39%,"0,7",-64%,"6,1",-24%,"0,77",-9%,"0,308",-9%,-1,-170%,A,-170%,300 g,"['Carton', 'Plastique']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09', 'Riche en protéines', 'Mijoté en France', 'Moins de 1\xa0% de sel', ""Plat issu de l'agriculture biologique""]",,"['Œufs', 'Gluten', 'Lait']",4,C,https://qilibri.fr/contents/produit-poulet-aux-olives-boulgour-et-quinoa-bio,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['E412 - Gomme de guar'],['en:poulet de France'],['France'],,
108,Oeuf de poule - Auchan,3596710479276,['Auchan'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,['Auchan'],,,,,,,,,,,,
