,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
46,Chewing-gum eucalyptus et menthol - Feel Free - 101g,29038596,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",['France'],"['édulcorant ', 'maltitol', 'gomme base', 'édulcorants ', 'mannitol', 'sorbitol', 'sirop de maltitol', 'humectant : E422', 'arômes', 'gélatine', 'colorants ', 'E171', 'E133', 'édulcorant ', 'aspartame', 'émulsifiant ', 'lécithine de tournesol', 'édulcorant ', 'acesulfame-k', ""agent d'enrobage "", 'E903', 'stabilisant ', 'E466', 'contient une source de phénylalanine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,170,+1%,711 kj(170 kcal),+1%,0,-100%,0,-100%,71,+11%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,"['Feel Free', 'Aldi']","['Peu ou pas de sucre', 'Contient une source de phénylalanine', 'Sans sucre']","['E965 - Maltitol', 'E421 - Mannitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E422 - Glycérol', 'E428 - Gélatine', 'E171 - Oxyde de titane', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E951 - Aspartame', 'E322i - Lécithine', 'E950 - Acésulfame K', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,,4,101 g,Chewing-gum sans sucres avec édulcorants,"['Boîte', 'Plastique']",,['Aldi'],,,,
47,chocolat noir 85 % cacao - Moser Roth - 125g,29039623,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['France', 'Allemagne']","['Sucre', 'pâte de cacao', 'beurre de cacao', 'amandes', 'orange', 'pomme', ""fibres d'ananas"", ""arômes naturels d'orange"", 'émulsifiant : lécithine ', 'soja', ""agent d'épaississement : alginate de sodium"", 'acidifiant : acide citrique', 'extrait de vanille']",[],33.5 g,en quantité élevée,18.6 g,en quantité élevée,13.8 g,en quantité élevée,0.26 g,en faible quantité,2475,+9%,538,-3%,2475 kj(538 kcal),+7%,"33,5",-15%,"18,6",-19%,"20,4",-47%,"13,8",-56%,"5,1",-33%,"0,26",+457%,"0,104",+457%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Moser Roth', 'Aldi']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']","['E322i - Lécithine', 'E401 - Alginate de sodium', 'E330 - Acide citrique']",,"['Fruits à coque', 'Soja']",4,125 g,,['Karton'],,['Aldi'],,['Deutschland'],,
48,Pralinen - sprengel,29062935,,,['France'],[],[],,,,,,,,,?,,527,,2205 kj(527 kcal),,32,,15,,52,,48,,"5,7",,"0,12",,"0,048",,,,,,,,,,,,,['Sprengel'],"['Agriculture durable', 'en:UTZ Certified', 'Entrepreneurs + Engagés']",,,,,,,,,,,,,
49,Taco dinner kit,29092376,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,249,,1042 kj(249 kcal),,"8,9",,1,,37,,"4,4",,4,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,['Box'],,,,,,
50,Oignon Sélection filet - Ferme des Arches - 1kg,3000010041205,,,['France'],[],[],,,,,,,,,?,,31,,130 kj(31 kcal),,"5,68",,0,,"5,7",,"1,57",,"1,35",,,,,,,,,,,,,,,,,['Ferme des Arches'],,,,,,1 kg,,['Sachet'],,,,,,
51,Jus d'Orange Fraîchement Pressé -  - 2kg,3000011034251,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,2 kg,,,,,,,,
52,Abricot moelleux/ abricots sec réhydratés - Fruit Mouelleux - 500g,3000026006342,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],"['abricots secs', 'conservateurs : E200', 'E220 ', 'SULFITES']",['Sans huile de palme'],0.5 g,en faible quantité,0.1 g,en faible quantité,30 g,en quantité élevée,0 g,en faible quantité,?,,213,-19%,891 kj(213 kcal),-19%,"0,5",+3%,"0,1",+65%,48,-17%,30,-34%,"1,9",-39%,0,-100%,0,-100%,-3,-187%,A,-187%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,['Fruit Mouelleux'],,"['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,['Anhydride sulfureux et sulfites'],3,500 g,,,,,['Turquie'],,,
53,Fraises -  - 250,3000047033501,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,,,,250,,,,,,,,
54,Framboises - D'Lice - 250g,3000047033532,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Framboises', 'Framboises fraîches']",['France'],['Framboises'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,"[""D'Lice""]",,,,,1,250 g,,"['Barquette', 'Sachet', 'Plastique']",,['Carrefour'],['France'],,,
55,PINK LADY® POMMES BARQ 6 PIECES,3000049047094,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",['France'],['pomme Pink Lady'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.01 g,en faible quantité,12.3 g,en quantité modérée,0.01 g,en faible quantité,?,,62,+32%,259 kj(62 kcal),+36%,"0,5",+70%,"0,01",-88%,"13,8",+30%,"12,3",+51%,"0,5",+38%,"0,01",-75%,"0,004",-75%,-3,,A,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,['Pink Lady'],,,,,1,,,,['FSC-C108300'],,,,,
56,"Pomme, Variété Golden, Catégorie 1 - Carrefour - 1.5kg",3000097035319,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,['Carrefour'],,,,,,1.5kg,,,"['EMB 19182A', 'Saint-Aulaire (Corrèze, France)']",['Carrefour'],,,,
57,"Moules de Bouchot de la Baie du Mont Saint Michel - La Cancalaise - 1,4kg",3000121297768,B,"['Produits de la mer', 'Mollusques', 'Moules', 'Moules de Bouchot', 'Moules de Bouchot de la Baie du Mont-Saint-Michel', 'Coquillages']",['France'],"['Moules ', 'mytilus edulis']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2.8 g,en faible quantité,0.85 g,en faible quantité,0.3 g,en faible quantité,0.275 g,en faible quantité,?,,118,+11%,494 kj(118 kcal),+11%,"2,8",+34%,"0,85",+81%,"3,1",-30%,"0,3",-14%,"20,2",+31%,"0,275",-62%,"0,11",-62%,-3,,A,,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,['La Cancalaise'],['AOP'],,,['Mollusques'],1,"1,4 kg",Moules de bouchot,"['Plastique', 'Sous-vide', 'Barquette']","['FR 35.049.048 CE', 'Cancale (Ille-et-Vilaine, France)']","['Auchan', 'Intermarché']","['France', 'Baie du Mont Saint-Michel']",['France'],,
58,Sweet Gum Fraise-Citron Vert - Hollywood - 22g,30066175,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",['France'],"['Maltitol', 'sorbitol', 'sirop de maltitol', 'aspartame', 'acésulfame K', 'gomme base', 'E422', 'arômes', 'gélatine', 'acide malique', 'acide citrique', 'lécithine de tournesol', 'E171', 'E100', 'E141', 'E903', 'E466']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,725,+2%,?,,725 kj(173 kcal),+3%,"0,3",+27%,"0,1",-25%,"67,6",+6%,0,-100%,"1,6",+882%,0,-100%,0,-100%,,,,,,,,,,,,['Hollywood'],"['Peu ou pas de sucre', 'Sans sucre']","['E965 - Maltitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E296 - Acide malique', 'E330 - Acide citrique', 'E322i - Lécithine', 'E171 - Oxyde de titane', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,,4,22 g,Chewing-gum sans sucres avec édulcorants - parfums fraise et citron vert,"['Carton', 'Boite']",,['Intermarché'],,,,
59,Sucette,30086982,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",['France'],[],[],3 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,?,,5,-99%,21 kj(5 kcal),-99%,3,+203%,2,+275%,4,-96%,1,-99%,1,+5%,0,-100%,0,-100%,1,-93%,B,-93%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Fabriqué en France'],,,,,,,,,,,,,
60,Douceur de 8 légumes à la crème fraîche (lot de 2) - Knorr - 2L (2x 1L),3011360000316,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['France'],"['Eau', 'légumes 41% ', 'carotte', 'tomate', 'pomme de terre', 'potiron', 'oignon', 'poireau', 'petit pois', 'céleri', 'crème fraîche : 5%', 'amidon modifié', 'sucre', 'matière grasse végétale', 'beurre', 'sel', 'graisse de poule', 'lactosérum', 'arômes', 'extrait de levure', 'ail']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4.5 g,en quantité modérée,2 g,en quantité modérée,3.5 g,en faible quantité,0.787 g,en quantité modérée,280,+65%,?,,280 kj(67 kcal),+63%,"4,5",+160%,2,+256%,6,+31%,"3,5",+80%,1,+7%,"0,787",+21%,"0,315",+21%,2,+41%,B,+41%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Knorr', 'Unilever']",,['E14XX - Amidons modifiés'],,"['Céleri', 'Lait']",4,2 L (2 x 1 L),Soupe de légumes,"['Carton', 'pack carton']",,['Carrefour'],,,,
61,Mouliné de légumes verts Knorr - 1L,3011360002280,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Mouliné', 'Mouliné de légumes', 'Potage']",['France'],"['eau', 'légumes 42% ', 'dont : légumes verts 15% ', 'pomme de terre', 'céleri', 'haricot vert', 'brocoli', 'oignon', 'poireau', 'épinard', 'cresson', 'carotte', 'oseille', 'amidon', 'sel', 'sucre', 'aromates ', 'cerfeuil', 'basilic', 'lactosérum', 'matière grasse végétale', 'extrait de levure', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,0.686 g,en quantité modérée,120,-15%,?,,120 kj(29 kcal),-19%,"< 0,5",-64%,"< 0,1",-81%,"4,5",+10%,"1,5",0%,1,+32%,"0,686",+4%,"0,274",+4%,1,-26%,B,-26%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Knorr', 'Unilever']","['Sans exhausteur de goût', 'en:FSC', 'FSC Mix', 'Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'FSC C020408']",,,"['Céleri', 'Lait']",4,1 L,Soupe,['Brique'],['FSC-C020428'],['Carrefour'],,,http://www.knorr.fr,
62,Velouté de neuf légumes - Knorr - 0.5l.,3011360012531,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['Eau', 'légumes 39% ', 'carotte', 'pomme de terre', 'CÉLERI', 'oignon', 'tomate', 'panais', 'potiron', 'poireau', 'navet', 'huile de tournesol', 'amidon modifié', 'sel', 'sucre', 'lactosérum ', 'LAIT', 'fécule de pomme de terre', 'LAIT en poudre écrémé', ""jus d'acérola"", 'extrait de levure', 'arôme', 'jus de légumes concentrés ', 'CÉLERI', 'carotte', 'poireau', 'oignon']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.9 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.76 g,en quantité modérée,184,+15%,44,+13%,184 kj(44 kcal),+13%,"1,9",+23%,"0,2",-67%,"5,7",+20%,2,+8%,"0,7",-18%,"0,76",+18%,"0,304",+18%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Knorr'],"['en:FSC', 'Sans exhausteur de goût', 'en:fsc-c020428', 'FSC Mix', 'Sans colorants artificiels', 'Sans conservateurs']",['E14XX - Amidons modifiés'],,"['Céleri', 'Lait']",4,0.5 l.,,['brique en carton'],['FSC-C020428'],['Super U'],,,,
63,Douceur de 8 légumes à la crème fraîche - Knorr - 0.5l.,3011360013453,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",['France'],"['Eau', 'légumes 41% ', 'carotte', 'tomate', 'pomme de terre', 'oignon', 'potiron', 'poireau', 'céleri', 'petit pois', 'crème fraîche : 3%', 'huile de tournesol', 'amidon modifié', 'sucre', 'beurre', 'sel', 'lactosérum ', 'lait', 'graisse de poulet ', 'antioxydant : extrait de romarin', 'arôme', 'extrait de levure', 'lait en poudre écrémé', 'ail', 'huile de colza totalement hydrogénée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4.4 g,en quantité modérée,1.6 g,en quantité modérée,3.3 g,en faible quantité,0.74 g,en quantité modérée,289,+70%,?,,289 kj(69 kcal),+68%,"4,4",+154%,"1,6",+185%,6,+31%,"3,3",+70%,"1,1",+18%,"0,74",+13%,"0,296",+13%,2,+41%,B,+41%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Knorr'],"['en:FSC', 'Sans colorants', 'Sans exhausteur de goût', 'Sans conservateurs']","['E14XX - Amidons modifiés', 'E392 - Extrait de romarin']",,"['Céleri', 'Lait']",4,0.5 l.,,"['Brique', 'Carton', 'Brique']",['FSC-C020428'],['Auchan'],,,http://www.knorr.fr/produits/details/430153/douceur-de-8-legumes-a-la-creme-fraiche,
64,950ML Sauce Mayonnaise Californienne Lesieur,3011360037053,D,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"[""Eau' huile de colza "", '24%', ""jaune d'œuf fiais "", '6%', 'moutarde de Dijon ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', 'vinaigres', 'amidon modifié', 'fibre soluble', 'sucre', 'sel', 'jus de citron concenté', 'épaississant : nomme xanthane', 'arôme', 'colorants : lutélne et extrait de paprika', 'conservateur : sorbate de potassium', 'antioxydant : E385']",[],3 g,en quantité modérée,0.7 g,en faible quantité,2.03 g,en faible quantité,2.17 g,en quantité élevée,?,,285,-54%,1192 kj(285 kcal),-53%,3,-95%,"0,7",-89%,"7,4",+175%,"2,03",+39%,"1,5",+22%,"2,175",+64%,"0,87",+64%,12,-33%,D,-33%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Lesieur'],,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,['Moutarde'],4,,,,,,,,,
65,950ML Moutarde Dijon California Lesieur,3011360037077,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon', 'en:Epicerie', 'en:Moutardes', 'en:Moutardes de Dijon']",['France'],[],[],11 g,en quantité modérée,0.8 g,en faible quantité,3.2 g,en faible quantité,6.5 g,en quantité élevée,?,,147,-47%,615 kj(147 kcal),-46%,11,-48%,"0,8",-65%,"5,5",-50%,"3,2",-56%,"7,5",+273%,"6,5",+128%,"2,6",+128%,11,-15%,D,-15%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Lesieur'],,,,,,,,,,,,,,
66,Fonds Brun Lié - Knorr - 1kg,3011360083074,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,69,+6%,?,,69 kj(16 kcal),+18%,"0,5",-36%,"0,1",+3%,"3,2",+32%,"0,5",+16%,"0,5",+42%,"0,63",+22%,"0,252",+22%,2,-59%,B,-59%,,,,,,,,"['Knorr', 'Unilever Food Solutions']",['Sans colorants'],,,,,1 kg,Fond de sauce déshydraté,"['boîte', 'Plastique']",,['Intermarché'],,,,
67,Get 31 - 70cl,3011932023835,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],['Liqueur'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['Get'],,,,,3,70 cl,,"['Bouteille', 'Verre']",,,,,,
68,Sirop de Canne au Citron -,3012993063334,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['France'],[],[],,,,,,,,,?,,296,+40%,1238 kj(296 kcal),+38%,0,-100%,0,-100%,74,+41%,74,+49%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,['70 cl'],,['Magasins U'],,,,
69,Ambassadeur - 1L,3013010005184,,"['Boissons', 'Boissons alcoolisées']",['France'],['Vins de cépages et plantes aromatiques'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Ambassadeur', 'Pernod']","['Fabriqué en France', 'Déconseillé aux femmes enceintes', 'Élevé en foudres de chêne']",,,,,1 L,Apéritif à base de vin,"['Bouteille', 'Verre']",,['Magasins U'],,"['66300', 'Thuir', 'Pyrénées-Orientales', 'France']",http://www.pernod.fr/marques/aperitifs_viniques/ambassadeur.html,
70,Vinaigre de fêtes,3013160000565,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs', 'Vinaigres de Xérès']",['France'],[],[],0.01 g,en faible quantité,0.01 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,01",-99%,"0,01",-97%,0,-100%,0,-100%,0,-100%,"0,01",-68%,"0,004",-68%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,
71,Vinaigrette aux Pruneaux d'Agen - Tête Noire,3013160000831,D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",['France'],"['NGRÉDIENTS : Huile de toumesol', 'vinaigre de vin rouge•', ""purée de pruneaux d'Agen "", '20%', ""pruneaux d'Agen IGB eau"", 'moutarde de Dijon ', 'graines de moutarde', ""vinaigre d'alcool"", 'eau', 'sel', 'Sel', 'épices', ' *Confient des sulfites', ' consommer de préférence avant fin voir sur le haut de la bouteille,']",[],51 g,en quantité élevée,5.3 g,en quantité élevée,4.1 g,en faible quantité,1.1 g,en quantité modérée,?,,491,+36%,2054 kj(491 kcal),+37%,51,+39%,"5,3",+41%,"5,5",+16%,"4,1",+25%,"0,6",+2%,"1,1",-43%,"0,44",-43%,15,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Tête Noire'],,,,"['Moutarde', 'Anhydride sulfureux et sulfites']",3,,,,,,,,,
72,Sauce vinaigrette,3013160000855,D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",['France'],[],[],51 g,en quantité élevée,5.3 g,en quantité élevée,6.9 g,en quantité modérée,2.4 g,en quantité élevée,?,,498,+38%,2084 kj(498 kcal),+39%,51,+39%,"5,3",+41%,"7,3",+54%,"6,9",+110%,"0,5",-15%,"2,4",+25%,"0,96",+25%,22,+48%,E,+48%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,['Magasins U'],,,,
73,Vinaigre de vin rouge,3013160100012,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,20,+43%,84 kj(20 kcal),+40%,0,-100%,0,-100%,0,-100%,0,-100%,"0,1",-45%,"0,01",-74%,"0,004",-74%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,
74,Sucre de Canne Liquide,3014400002332,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,100,,"82,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 76351', 'Havre (Seine-Maritime, France)']",,,,,
75,assortiment bonbons de chocolat - Jacquot,3015497036903,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",['France'],"['sucre', 'pâte de cacao', 'graisses végétale ', 'palme', 'palmiste', 'beurre de cacao', 'sirop de glucose', 'poudre de lait entier', ""cerises à l'alcool "", 'cerises griottes', 'infusion de cerise', 'alcool', 'sucre', 'lactose', 'lactosérum en poudre', 'cacao maigre en poudre', 'pâte de noisettes', 'pâte diamandes', 'eau', 'rhum ', 'rhums', 'colorant : E150a', 'matière grasse de lait anhydre', 'sirop de sucre inverti', 'noisettes entières', 'alcoolat de cerise ', 'alcool', 'Kirsch', 'arôme', 'jus de cerise alcoolisé sucré', 'émulsifiants : lécithines - E476', 'alcool', 'arômes ', 'noisettes', 'poudre de lait écrémé', 'amandes brisées', 'farine de blé', 'amidon de riz', 'sel', 'extrait de malt d orge', "" Peut contenir des traces d'oeufs et d'autres fruits à coque,""]","['Huile de palme', 'Non végétalien']",28 g,en quantité élevée,17 g,en quantité élevée,51 g,en quantité élevée,0.07 g,en faible quantité,?,,492,-9%,2059 kj(492 kcal),-9%,28,-17%,17,-3%,52,+1%,51,+9%,"3,9",-35%,"0,07",-51%,"0,028",-51%,26,+4%,E,+4%,,,,,,,,['Jacquot'],,"['E150a - Caramel E150a', 'E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Huile de palme'],"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,
76,Terrine de campagne au poivre vert label rouge guyader,3016740106350,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],[],[],24.2 g,en quantité élevée,9.2 g,en quantité élevée,0.8 g,en faible quantité,1.6 g,en quantité élevée,?,,293,-9%,1226 kj(293 kcal),-9%,"24,2",-14%,"9,2",-15%,"1,5",-34%,"0,8",-8%,"17,4",+24%,"1,6",0%,"0,64",0%,19,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,,,
77,Paté de campagne poivre vert - Casino,3016740358650,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],"['foie de porc', 'gorge de porc', 'gras de porc', 'couenne de porc', 'oignons', 'viande de tête de porc cuite', 'poivre vert 1', '5%', 'sel', 'crépine de porc', ""vinaigre d'alcool"", 'poivre', 'ail', 'persil', 'conservateur : E250', ' \rPeut contenir : OEUF', 'LAIT', 'GLUTEN', 'CELERI', 'MOUTARDE', 'FRUITS A COQUE', ' Viande de porc origine France']","['Non végétalien', 'Non végétarien']",27 g,en quantité élevée,10 g,en quantité élevée,0.6 g,en faible quantité,1.57 g,en quantité élevée,?,,318,+2%,1331 kj(318 kcal),+2%,27,0%,10,-1%,1,-59%,"0,6",-35%,18,+27%,"1,575",-5%,"0,63",-5%,18,-5%,D,-5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Casino'],"['Viande Française', 'Viande Porcine Française']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Céleri', 'Gluten']",3,,,,"['EMB 22272F', ""Saint-Agathon (Côtes-d'Armor, France)""]",['Casino'],,,,
