,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
390,Rillettes de Saumon - Dia - 2x 80g,8480017540614,C,['Dia'],"['Conserves', 'Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'Rillettes de saumon rose', 'en:preparations-made-from-fish-meat']",['France'],"['Saumon rose du Pacifique ', '45%', 'eau', 'huile de colza', 'thon ', '15%', 'arômes et arôme de fumée', 'blanc d’œuf en poudre', 'sel', 'tomate en poudre', 'protéines de lait', 'fibres de pomme de terre', ' Épaississants : carraghénanes', 'farine de graines de caroube']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",19 g,en quantité modérée,,,,,,,1003,+9%,241,+10%,1003 kj(241 kcal),+9%,19,+10%,,,"0,5",-77%,,,17,+26%,,,,,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,2 x 80 g,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",4,"['Œufs', 'Poisson', 'Lait']","['Carton', 'Conserve']",,"['FR 29.046.514 CE', 'Douarnenez (Finistère, France)']",['Dia'],"['France', 'Bretagne']",,,,,,
391,Sauce Pesto - Dia - 190g,8480017544445,C,['Dia'],"['Epicerie', 'Conserves', 'Sauces', 'Sauces pour pâtes', 'Sauces Pesto']",['France'],"['Basilic 35,2 %', 'huile de tournesol', 'pomme de terre', 'eau', 'pécorino 3,1 %', 'fromage râpé 3,1 %', ""huile d'olive vierge extra"", 'sel', 'noix de cajou', 'ail', 'grana padano 1 % ', ""contient lysozyme d'œuf"", 'acidifiant : acide lactique', 'pignon de pin 0,2 %', 'arôme naturel de basilic', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",34.6 g,en quantité élevée,5.1 g,en quantité élevée,1.9 g,en faible quantité,1.8 g,en quantité élevée,1465,+165%,355,+161%,1465 kj(355 kcal),+162%,"34,6",+275%,"5,1",+197%,6,-9%,"1,9",-60%,4,+19%,"1,8",+42%,"0,72",+42%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,15,+197%,D,+197%,190 g,"['Point Vert', 'Eco-Emballages', 'Fabriqué en UE']",['E270 - Acide lactique'],4,"['Lait', 'Fruits à coque']","['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve']","['Christian Potier - 1189 Chemin de Beauchamp - 84170 Monteux', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France', 'Union Européenne']","['EMB 84080I', 'Monteux (Vaucluse, France)', 'EMB 84080', 'Monteux (Vaucluse, France)']",['Dia'],,,Sauce cuisinée à base de basilic,,,,
392,Tartines craquantes au froment - Dia - 250g,8480017561657,B,['Dia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",['France'],"['farine de blé 83%', 'sucre', 'huile végétale ', 'colza', 'farine complète de blé', 'poudre de lait écrémé pasteurisé', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4 g,en quantité modérée,0.4 g,en faible quantité,6.1 g,en quantité modérée,1.39 g,en quantité modérée,?,,377,-1%,1577 kj(377 kcal),-1%,4,-12%,"0,4",-61%,"72,7",+3%,"6,1",+9%,"10,8",+9%,"1,39",+57%,"0,556",+57%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,7,+130%,C,+130%,250 g,,,3,"['Gluten', 'Lait']","['Plastique', 'Papier', 'Carton']",['Union Européenne'],,['Dia'],,,Tartines craquantes,,,,
393,Pain de Mie (15 tranches) - Dia - 280g,8480017599605,B,['Dia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",['France'],"['Farine de blé 65 %', 'eau', 'sucre', 'levure', 'huile de colza', 'sel', 'arôme', 'émulsifiant : E471', 'conservateur : E282', 'gluten de blé', 'agent de traitement de la farine : E300']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",3.5 g,en quantité modérée,0.4 g,en faible quantité,6 g,en quantité modérée,1.17 g,en quantité modérée,1144,+1%,271,+2%,1144 kj(271 kcal),+2%,"3,5",-22%,"0,4",-38%,50,+9%,6,+15%,8,-5%,"1,168",+2%,"0,467",+2%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,2,+38%,B,+38%,280 g,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']",4,['Gluten'],"['Sachet plastique', 'Clip souple métal plastique']","['58500 Clamecy', 'Nièvre', 'Bourgogne', 'France']","['EMB 58079A', 'Clamecy (Nièvre, France)']",['Dia'],,,Pain de mie,,,,
394,Lait demi écrémé - ED - 1l,8480017601421,D,['ED'],"['Produits laitiers', 'Laits']",['France'],[],[],1.55 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.127 g,en faible quantité,?,,47,-29%,197 kj(47 kcal),-28%,"1,55",-25%,1,-16%,"4,8",-20%,"4,8",-12%,"3,5",-1%,"0,127",+2%,"0,051",+2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,-1,-274%,A,-274%,1l,['Fabriqué en Allemagne'],,,,,,,,,,Lait,,,,
395,Emmental Français grand cru (32% MG) - Dia - 250g,8480017604293,D,['Dia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Fromages au lait cru', 'Emmentals français']",['France'],"['Lait cru', 'sel', 'ferments lactiques', 'présure animale']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",32 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.711 g,en quantité modérée,1662,+7%,400,+6%,1662 kj(400 kcal),+5%,32,+8%,19,-4%,~ 0,-100%,~ 0,-100%,28,+1%,"0,711",+21%,"0,284",+21%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,12,+7%,D,+7%,250 g,"['Fabriqué en France', 'IGP', 'Label Rouge']",,3,['Lait'],"['Sachet', 'Plastique']",['France'],"['FR 52.332.001 CE', 'Val-de-Meuse (Haute-Marne, France)']",['Dia'],,,Fromage à pâte pressée cuite,,,,
396,Levure chimique - Dia - 6x11g,8480017645609,C,['Dia'],"['Additifs alimentaires', 'Levure chimique', 'Poudres à lever', 'Levure']",['France'],"['diphosphate disodique', 'carbonate acide de sodium', 'amidon de blé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,35.2%,53.8%,4.4%,2.6%,3.9%,0.0%,59,,,,,6x11g,"['Point Vert', 'Fabriqué en France']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,,['Sachet papier'],,"['EMB 33063', 'Bordeaux (Gironde, France)']",['Dia'],,,Poudre à lever,,,,
397,Herbes de provence - Dia,8480017820457,,['Dia'],,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,['Dia'],,,,,,,
398,Barrita de cereales con chocolate - Alteza,8480024752550,,['Alteza'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['France', 'Espagne']","['Cereales ', '41 %', ' [copos de avena', 'harina de trigo ', '14,9%', 'copos de maíz ', 'maíz', 'sal', 'extracto de málta de cebada', 'copos de trigo', 'jarabe de glucosa', 'chocolate con leche ', '12%', ' ', 'azúcar', 'manteca de cacao', 'leche entera en polvo', 'pasta de cacao', 'emulgente: lecitina de soja y girasol E-322', 'extracto de vainilla', 'cacahuetes ', '6,2%', 'grasa vegetal ', 'palma', 'estabilizante: sorbitoles ', 'E-420', 'miel', 'azúcar', 'dextrosa', 'almendras ', '1%', 'sal', 'emulgente: sucroéstereş de ácidos grasos ', 'E-473', ' Puede contener trazas de sulfitos y otros frutos de cáscara']","['Huile de palme', 'Non végétalien']",15.4 g,en quantité modérée,6.5 g,en quantité élevée,27.8 g,en quantité élevée,0.4 g,en quantité modérée,?,,436,+3%,1824 kj(436 kcal),+2%,"15,4",-3%,"6,5",+9%,"65,3",+8%,"27,8",+2%,"7,2",-4%,"0,4",+2%,"0,16",+2%,,,,,,,,18,+36%,D,+36%,,,"['E420 - Sorbitol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']",4,"['Gluten', 'Fruits à coque', 'Arachides']",,,,['Alteza'],,,,,,,
399,Crema de verduras - Alteza - 500g,8480024830487,B,['Alteza'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Plats préparés en conserve', 'Veloutés de légumes', 'Soupes en conserve', 'Soupes de légumes en conserve']","['France', 'Espagne']","['Agua', 'hortalizas en proporción variable ', '36%', ' ', 'zanahoria', 'patata', 'cebolla', 'judías verdes', 'espinacas', 'guisantes y puerro', 'almidón de maíz', 'aceite de oliva virgen extra ', '1%', 'sal', 'azúcar y extracto de levadura']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.2 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en faible quantité,0.74 g,en quantité modérée,?,,43,+30%,180 kj(43 kcal),+33%,"2,2",+118%,"0,3",-12%,"4,6",+6%,"1,4",-4%,"0,7",-18%,"0,74",+29%,"0,296",+29%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,2,+72%,B,+72%,500 g,"['en:gluten-free', 'es:Bajo contenido de grasas saturadas', 'es:Con aceite de oliva virgen extra']",,3,,['Tetra Brik'],['España'],,['Alteza'],,,Crema de verduras con aceite de oliva virgen extra (1%),http://alteza.es/,,,
400,Bebida con Aloe Vera - Alteza,8480024832962,,['Alteza'],,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"9,1",,"9,1",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,['Alteza'],,,,,,,
401,"Eau de source - 1,5l",8484880078397,,['Eau de source'],['Boissons'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"1,5l",,,,,,,,,,,,,,,
402,Pasta de guayaba - Conchita - 500g,8500000010150,C,['Conchita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Pâtes de goyaves']",['France'],"['Pulpa de guayaba', 'azúcar', 'espesante ', 'pectina', 'regulador de la acidez ', 'ácido cítrico']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,320,+2%,1339 kj(320 kcal),+1%,0,-100%,0,-100%,75,-1%,45,-32%,"0,8",+23%,0,-100%,0,-100%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,7,-15%,C,-15%,500 g,,"['E440 - Pectines', 'E330 - Acide citrique']",4,,['Plástico'],,,,['Cuba'],,Pasta de guayaba,,,,
403,Chips Multigraines Et Super Aliments - Luke's Organic Bio,8524060037544,,"[""Luke's Organic Bio""]",,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,5,,"2,1",,66,,"1,4",,"17,9",,"0,9",,"0,36",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
404,Yaourt - ITI - 125g,8560923250217,B,['ITI'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Surgelés', 'Desserts glacés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts glacés']","['France', 'Madagascar']","['Lait entier', 'lait en poudre écrémé', 'sucre', 'amidon de maïs', 'ferments lactiques', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,107,-37%,448 kj(107 kcal),-36%,?,,,,"13,63",-45%,,,"5,4",+58%,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,125 g,,,4,['Lait'],"['Boite', 'Plastique']",['MADAGASCAR'],,['JUMBO SCORE'],,,Yaourt,,,,
405,Brioche tranchée farine complète,8568536323465,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,"12,1",,"5,3",,"49,1",,"14,3",,"8,7",,"1,03",,"0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Papillotes Poulet à l'Ail - Maggi,8585002431196,,"['Maggi', 'Nestlé']",,"['France', 'Suisse']",[],[],,,,,,,,,?,,439,,1837 kj(439 kcal),,"32,5",,"14,1",,"24,4",,8,,"6,4",,"20,5",,"8,2",,,,,,,,,,,,,,,,,,['sachets fraîcheur'],,,,,,,,,,
407,Papillotes Steak haché à la Provençale - Maggi,8585002434876,,['Maggi'],,['France'],"['ASSAISONNEMENT DÉSHYDRATÉ POUR STEAK HACHÉ À LA PROVENÇALE SUR PAPIER DE CUISSON LES INGRÉDIENTS DE LA RECETTE : plantes aromatiques et épices 26% : ail', 'coriandre', 'cumin', 'persil 2,3%', 'origan 2,2%', 'paprika', 'poivre', 'piment', ' légumes 20 % : tomate 11%', 'poivron rouge 5,2%', 'oignon 3,8%', ' huile de palme non hydrogénée sel', 'huile de tournesol', 'arômes ', 'blé', 'acidifiant : acide citrique ', ' antioxydant : extraits de romarin', 'Peut contenir : lait', 'oeuf', 'soja', 'poisson', 'céleri', "" *Plus d'infos sur www"", 'maggi', 'fr/hdp']",[],,,,,,,,,?,,186,,778 kj(186 kcal),,"7,9",,"3,4",,"1,5",,"0,7",,"26,9",,"1,6",,"0,64",,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E392 - Extrait de romarin']",4,['Gluten'],,,,,,['Huile de palme'],,,,,
408,Soupe repas Potiron - Maggi,8585002436931,B,['Maggi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupes de légumes déshydratées']",['France'],[],[],1.3 g,en faible quantité,0.5 g,en faible quantité,2.4 g,en faible quantité,0.53 g,en quantité modérée,?,,50,-65%,209 kj(50 kcal),-64%,"1,3",-21%,"0,5",-22%,"7,3",-69%,"2,4",-44%,"1,7",-42%,"0,5",-81%,"0,2",-81%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,0,-100%,B,-100%,,,,,,,,,,,,,,,,
409,Chilli sauce,8588000114306,,,,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,"0,4",,"0,1",,"18,6",,"12,1",,"0,4",,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Protein - Maxsport - 60g,8588003339300,,['Maxsport'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['France'],"['concentré de protéines de lactosérum et de protéines de soja 25,8%', ""sirop d'amidon"", ' le givrage noir 18% ', 'susre', 'huile de palme', 'la poudre de cacao émuisifiant: lécithine de soja', 'arôme', 'oligofructose ', 'fibre', 'huile de colza', 'des raisins secs', 'mouilleur: glycérol', 'flocons de soja', 'poudre de cacao 2%', 'extrudé ', 'riz', 'sucre', 'carottes', 'émulsifiant: lécithine de soja', 'arôme', ' Peut contenir arachides et nobx']","['Huile de palme', 'Non végétalien']",14 g,en quantité modérée,7.1 g,en quantité élevée,25 g,en quantité élevée,0.1 g,en faible quantité,?,,359,-3%,1502 kj(359 kcal),-3%,14,+8%,"7,1",+20%,"31,1",-5%,25,+88%,25,-15%,"0,1",-80%,"0,04",-80%,,,,,,,,16,+55%,D,+55%,60 g,"['en:gluten-free', 'en:verified']","['E322i - Lécithine', 'E422 - Glycérol']",4,,,,,,,['Huile de palme'],,,,,
411,Organic Love - Organique,8588004638730,,['Organique'],,['France'],"['Maïs 70% ', 'farine et/ou gruau', 'huile de tournesol', 'arôme fromage 3,4% ', 'oignon', 'maltodextrine', 'sel', 'fromage cheddar', 'sucre', 'lait écrémé en poudre', 'papika', 'extrait de levure', 'ail', 'curcuma', 'citron en poudre', 'poivre', 'huile de tournesol', 'piment jalapeño 1,6%']",['Non végétalien'],,,,,,,,,?,,461,,1929 kj(461 kcal),,"20,6",,"1,5",,"59,3",,"3,5",,"7,8",,"1,3",,"0,52",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
412,Rowntrees Randoms 50g - Rountrees,8593893718487,,['Rountrees'],,['France'],"['Glucose syrup', 'Sugar', 'Gelatine', 'Concentrated fruit juices ', 'l ', 'Apple', 'Bluebemj', 'Orange', 'Raspberry', 'Lemon', 'Mandarin', 'Strawberry', 'Black carrot', 'Acids ', 'Citric acid', 'Tartaric acid', 'Malic acid', 'Flavourings', 'Glaze ', 'Vegetable fat: Palm kernel', ' Glazing agent: Carnauba wax', 'Frui and vegetable concentrates ', 'Black carrot', 'Hibiscus', 'Carrot', 'Safflower ', 'Spirulina concentrate', 'Vegetable oils ', 'Coconut', 'Rapeseed', 'nvert sugar syrup', 'Fructose', 'Humectant ', 'G}ycerol', 'Natural colours ', 'Paprika extract', 'Chlorophylls and chlorophyllins', 'Carotenes', 'Stabilisers ', 'Carageenan', 'Locust bean un', 'Acidity regulators ', 'Sodium ascorbate', 'Sodium citrate', 'Pruifpuree encentrates ', 'Blueberryj Strawberry', 'Raspberry ', 'Salt', 'Caramelised Qurnn chlld']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,1",,"0,1",,"77,4",,"53,1",,"5,4",,"0,03",,"0,012",,,,,,,,,,,,,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E334 - Acide L-tartrique', 'E296 - Acide malique', 'E903 - Cire de carnauba', 'E160c - Extrait de paprika', 'E140 - Chlorophylles et Chlorophyllines', 'E160a - Carotènes mélangés', 'E331 - Citrates de sodium']",4,,['mixed plastic-packet'],,,,,,,,,,
413,Nuts - Nestlé,8593893720459,,['Nestlé'],,"['Autriche', 'France']",[],[],,,,,,,,,?,,207,,866 kj(207 kcal),,"10,4",,"4,3",,"26,1",,"23,4",,"1,9",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Studentská Pečeť Bílá - Orion - 180g e,8593893742840,E,"['Orion', 'Nestlé']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']","['République tchèque', 'France']","['Sucre', 'lait déshydraté ,beurre de cacao', 'gelée ', 'sucre', 'sirop de glucose', 'eau potable', 'matières grasses végétales: palmiste', 'noix de coco', 'arôme naturel', 'acide: acide citrique', ""régulateur d'acidité: citrate de sodium"", 'agents gélifiants: pectine', ""agent d'enrobage: cire de carnauba"", 'arachides', 'raisins secs', 'émulsifiants ', 'lécithine de tournesol', 'polyricinoléate de polyglycérol,', ' extrait de vanille']","['Huile de palme', 'Non végétalien']",28.1 g,en quantité élevée,13.8 g,en quantité élevée,52.3 g,en quantité élevée,0.22 g,en faible quantité,2141,-9%,511,-10%,2141 kj(511 kcal),-9%,"28,1",-22%,"13,8",-36%,55,+3%,"52,3",+3%,"8,8",+32%,"0,22",-14%,"0,088",-14%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,25,-6%,E,-6%,180 g e,['Point Vert'],"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E440 - Pectines', 'E903 - Cire de carnauba', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",4,"['Lait', 'Arachides']","['Papier', 'PAP']",,,['Tesco'],,,"Chocolat blanc avec des arachides, de la gelée et des raisins secs.",,,,
415,Chocolat Café - Nestlé - 180g,8593893744035,E,"['Nestlé', 'Nestlé dessert']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['France'],"['sucre', 'lait entier en poudre', 'beurre de cacao', 'extrait et arôme naturel de café', 'arôme naturel de vanille ', 'Madagascar', 'émulsifiant : lécithine de tournesol']","['Sans huile de palme', 'Non végétalien']",33.8 g,en quantité élevée,19.8 g,en quantité élevée,53.8 g,en quantité élevée,0.28 g,en faible quantité,?,,551,-2%,2305 kj(551 kcal),-2%,"33,8",-6%,"19,8",-8%,"53,8",+1%,"53,8",+6%,"8,1",+21%,"0,28",+9%,"0,112",+9%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,27,+1%,E,+1%,180 g,"['Agriculture durable', 'en:UTZ Certified']",['E322i - Lécithine'],4,['Lait'],"['Feuille', 'Papier', 'Métal', 'Film', 'Plastique']",,,,,,Chocolats blanc à l'arôme naturel de café,,,,
416,Nestle Dark Chocolate,8593893753105,,['Nestlé'],,['France'],"['4371375', ' 10028824 Dgredientes: Pasta de cacauL', 'açúcar', 'manteiga de cacau', 'emulsionantes ', 'lecitinas de girassol', 'polirricinoleato de poliglicerol', 'extrato de bauni Pode conter amendoins', 'frutos de casca rija', 'leite', 'soja e trigo', 'Може да съдържа фъстъци', 'ядки', 'мляко', 'соя и глутен', 'Сьставки: какаова захар', 'какаово масло', 'емулгатори ', 'слънчогледов лецитин', 'полиглицерол полирицинолеат', 'ванилия', 'Тъмният Conservar em local fresco e seco,/ Да се съхранява на сухо и хладно място', 'Nestlé Portugal', 'S,A', 'Rua Alexandre Herculano', '8 2799-554 LINDA-A-VELHA За информация: Нестле България АД', 'бул,Европа 128', 'София 1360', 'България Произведено в Чехия', 'AMAH 1 6la 1 porçdo Oo wnhdou padi No ,1 porçdo whdo anhdou pad']",[],,,,,,,,,?,,522,,2184 kj(522 kcal),,"31,6",,"17,6",,51,,"44,7",,"6,6",,"0,09",,"0,036",,,,,,,,,,,,,,,"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",4,,,,,,,,,,,,
417,Oblaten Grand Choco - mondelez,8593894401227,E,['Mondelez'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux au chocolat', 'Gaufres']",['France'],"['wheat flour', 'sugar', 'fully hydrogenated palm kernel oil', 'palm oil', '13 % ', 'reduced fat cocoa powder', 'cocoa mass', 'sugar', 'whey powder ', 'from milk', 'reduced fat cocoa powder 6%', 'whole milk powder', 'wheat starch', 'rapeseed oil', 'dried egg yolks', 'emulsifiers ', 'soya lecithin', 'sunflower lecithin', 'colour ', 'ammonia caramel', 'salt', 'flavouring', ' \r May contain nuts']","['Huile de palme', 'Non végétalien']",35 g,en quantité élevée,25 g,en quantité élevée,28 g,en quantité élevée,0.16 g,en faible quantité,?,,545,+21%,2280 kj(545 kcal),+21%,35,+64%,25,+140%,46,-20%,28,-8%,"7,7",+28%,"0,16",-77%,"0,064",-77%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,22,+1%,E,+1%,,,"['E322i - Lécithine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['carton plastique'],,,,,,,,,,
418,Prince Barqui-Choco - LU - 146g e,8593894912327,D,['LU'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au chocolat']","['France', 'Maroc', 'Espagne']","['Farine de BLÉ 32,6 %', 'graisse de palme non hydrogénée et graisse de palmiste hydrogénée', 'sucre', 'protéines de lactose et de LAIT', 'dextrose', 'poudre de cacao dégraissée', 'poudre de chocolat de fourrage 5,4 % ', 'sucre', 'poudre de cacao', ' ', 'huile de nabine', 'émulsifiant ', 'lécithine de SOJA', 'gazéifiants ', ""carbonate d'acide de sodium"", 'carbonate de magnésium', ""carbonate d'acide d'ammonium"", 'sel', 'arômes']",[],26 g,en quantité élevée,16.5 g,en quantité élevée,39 g,en quantité élevée,0.28 g,en faible quantité,?,,515,-0%,2155 kj(515 kcal),-1%,26,-5%,"16,5",-6%,"63,5",+6%,39,+10%,"5,4",-12%,"0,28",+6%,"0,112",+6%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,23,+2%,E,+2%,146 g e,['Point Vert'],"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",4,"['Gluten', 'Lait', 'Soja']",['Plastique'],,,,,['Huile de palme'],,,,,
