,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
459,Surfin - Chocolat noir avec éclats de caramel - COCOLAT ORSET - 100g,7610248506108,['COCOLAT ORSET'],['Fabriqué en Suisse'],['France'],"['sucre', 'pâte de cacao', 'pépites au caramel 12% ', 'sucre', 'pomme', 'dextrose', ""fibres d'ananas"", 'caramel au beurre salé ', 'sirop de glucose', 'sucre', 'beurre', 'eau', 'crème fraîche', 'sel de Guérande', 'caramel', 'épaississantes : alginate de sodium ', ""extrait d'algues"", 'sel', 'arômes N', 'I', 'phosphate de calcium', 'colorant : caramel E150a', ""correcteur d'acidité : acide citrique "", 'E330', 'beurre de cacao', 'beurre pâtissier', 'émulsifiant : lécithine de soja', 'arôme caramel', 'sel', 'arôme naturel de vanille', ' Cacao 54% min', ' ', 'chocolat noir', ' Peut contenir noix', 'noisette', 'amande', 'œuf', 'sésame et gluten']",['Non végétalien'],?,518,2167 kj(518 kcal),"31,6","19,3",53,"49,9","5,3","0,2","0,08",100 g,,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats au caramel', 'Chocolats noirs au caramel']",,,"['E401 - Alginate de sodium', 'E150a - Caramel E150a', 'E330 - Acide citrique', 'E322i - Lécithine']",['Lait'],4,31.6 g,en quantité élevée,19.3 g,en quantité élevée,49.9 g,en quantité élevée,0.2 g,en faible quantité,,-3%,-3%,-9%,-6%,+15%,+24%,-19%,-24%,-24%,26,+11%,E,+11%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,
460,Premium swiss chocolate - Favarger,7610296008241,['Favarger'],,['France'],[],[],?,568,2377 kj(568 kcal),37,13,48,46,8,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Xl energy dextrose -,7610369403027,,,"['France', 'Allemagne']",[],[],?,357,1494 kj(357 kcal),"0,5","0,5",88,86,0,0,0,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,,,0.5 g,en faible quantité,0.5 g,en faible quantité,86 g,en quantité élevée,0 g,en faible quantité,,-15%,-15%,-97%,-92%,+32%,+73%,-100%,-100%,-100%,14,-23%,D,-23%,,,,,,,,,,,,,
462,Swiss Classic White Chocolate - Lindt - 100 G,7610400014571,['Lindt'],['Fabriqué en Suisse'],"['France', 'Hong Kong']","['sugar', 'cocoa butter', 'whole milk powder', 'skim milk powder', 'emulsifier ', 'soya lecithin', 'flavouring']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,566,2368 kj(566 kcal),35,22,56,55,"6,7",0,0,100 g,['Paper'],E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['Switzerland'],,['E322i - Lécithine'],['Soja'],4,35 g,en quantité élevée,22 g,en quantité élevée,55 g,en quantité élevée,0 g,en faible quantité,,+0%,+0%,-3%,+2%,+5%,+9%,+0%,-100%,-100%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,
463,Lindt Swiss Premium Chocolate - 350g,7610400020176,['Lindt'],,"['France', 'Suisse']",[],[],2288,548,2288 kj(548 kcal),33,19,55,52,"6,8","0,2","0,08",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Amarula - Goldkenn - 100g,7610403072547,['Goldkenn'],"['Agriculture durable', 'en:UTZ Certified']","['France', 'Suisse']","['Sucre', 'pâte de cacao', 'beurre de cacao', 'Amarula® 8', '5%', 'lait entier en poudre', 'lait écrémé en poudre', 'beurre fondu', 'émulsifiant ', 'lécithine de soja', 'extrait naturel de vanille', ' Cacao: 37% min', ' dans le chocolat', ' Peut contenir des traces de noisettes', 'amandes', 'noix de pécan', 'noix', 'pistaches', 'noix de cajou', 'œuf', 'gluten']",['Non végétalien'],2080,495,2080 kj(495 kcal),26,16,55,53,5,"0,14","0,056",100g,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,['E322i - Lécithine'],['Soja'],4,26 g,en quantité élevée,16 g,en quantité élevée,53 g,en quantité élevée,0.14 g,en faible quantité,-8%,-10%,-10%,-29%,-24%,+19%,+29%,-31%,+1%,+1%,26,+11%,E,+11%,,,,,,,,,,,,,
465,Sirop aux fleurs de sureau - 1000ml,7610463017557,,,"['France', 'Suisse']",['Sucre extrait de fleurs de sureau acidifiant pasteurisé'],[],1454,340,1454 kj(340 kcal),0,0,85,85,"0,5","0,03","0,012",1000 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Bananes-Chips - Morga - 150g,7610491921840,['Morga'],,"['France', 'Suisse']","['Bananes [Philippine] ', 'huile de coco', 'sucre', 'arôme naturel']",[],?,526,2201 kj(526 kcal),34,29,59,57,0,0,0,150 g,,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,,,4,34 g,en quantité élevée,29 g,en quantité élevée,57 g,en quantité élevée,0 g,en faible quantité,,+3%,+2%,+15%,+839%,+9%,+2326%,-100%,-100%,-100%,21,+79%,E,+79%,,,,,,,,,,,,,
467,Fondue Toute Prête 16 % - Matterhorn,7610556000640,['Matterhorn'],,['France'],"['Préparation simple et rapide du sechet dans un caquelon ou re cu re sur feu fort', ""en remuant 'à te que la masse soit crémeuse"", ' sui un réchaud ou une la lasser continuer à bouillir txt d,a', ' de pain la fourchette en b:ti Ajouter à votre ta muscade ou du paprika', "" Lv€d•ens: Fromage d'origine Suisse "", '53%', 'eau', 'amiaon de pomme de terre', 'de Krsh', 'sels émulsifiants de szum', 'polyphosphate', 'sel de extats diarômes naurels', ' De nature libre de lactose ', 'sous 0', '1 g/100g']",['Non végétalien'],?,237,992 kj(237 kcal),16,10,3,"0,5",15,"1,2","0,48",,,,,,,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Lasagne frais aux boeuf CH - Roberto SA - 450g,7610695000525,"['Roberto SA', 'Meyrin']","['Point Vert', 'ISO 22000', 'Sans additifs', 'Sans colorants', 'Sans exhausteur de goût', 'en:palm-oil-free', 'Bœuf CH garantie']","['France', 'Suisse']","['Lait', 'pâtes aux œufs et épinards  cuites 19% ', 'semoule de blé dur', 'œuf entier ', 'CH,FR', ""pasteurisé et salé 18% [d'élevage au sol CH/ FR ]"", 'épinards 12%', 'viande de bœuf ', 'CH', ' 10%', 'pulpe de tomates', 'oignons', 'carottes', 'poireaux', 'concentre de Tomates ', 'tomate', 'sel de cuisine', 'farine de blé', 'amidon de maïs', 'Grana Padano AOP ', 'fromage', 'huile de tournesol', 'sel de cuisine iodé', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",641,153,641 kj(153 kcal),7,4,13,3,9,"1,3","0,52",450 g,"['Barquette', 'barquette en Alu', 'PS-PE']",,Lasagne frais au pur boeuf CH,"['Plats préparés', 'Plats à base de pâtes', 'Lasagne frais au bœuf CH', 'Plats préparés au bœuf CH']",['Meyrin Genève'],['Migros'],,"['Œufs', 'Gluten', 'Lait']",3,7 g,en quantité modérée,4 g,en quantité modérée,3 g,en faible quantité,1.3 g,en quantité modérée,-8%,-15%,-14%,+11%,+65%,-38%,+24%,+22%,+43%,+43%,3,-19%,C,-19%,,,,,,,,https://www.roberto.ch/fr/pates-fraiches/Lasagne-de-boeuf-a-la-bolognese-1,,"['France', 'Canada', 'Italie', 'Suisse', 'Genève']",['CH 326'],,
469,Bonbons Kräuter Aux herbes - Ricola - 100g,7610700001165,['Ricola'],,"['France', 'Suisse']","['Mélange de 13 herbes Ricola comme extrait 25 mg', 'menthol 2,4 mg', 'isomalt', 'colorant ', 'caramel', 'sorbitol', 'arômes naturels', 'aspartame', 'acésulfame-K']",[],990,240,990 kj(240 kcal),0,0,98,0,0,0,0,100 g,,,,,,,"['E953 - Isomalt', 'E150 - Caramel', 'E420 - Sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C016368'],,
470,"Ricola Perlas De Hierbas Suizas Sabor Menta, 25GRS",7610700604182,['Ricola'],"['Contient une source de phénylalanine', 'Avec édulcorants']","['France', 'Espagne']","['Gelificante ', 'goma arábiga', 'jarabe de sorbitol', 'aroma natural de mentas', 'extractos ', '0,2 %', ' de mentas y de hierbas', 'Ricola', 'edulcorantes ', 'aspartamo', 'acesulfamo-K', 'mentol', 'colorante ', 'clorofilas', 'triglicéridos de cadena media', 'almidón de trigo', ' Contiene una fuente de fenilalanina']",[],?,210,879 kj(210 kcal),0,0,45,0,11,0,0,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,"[""E414 - Gomme d'acacia"", 'E420ii - Sirop de sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E140i - Chlorophylles']",,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-39%,-39%,-100%,-100%,-44%,-100%,+199%,-100%,-100%,-8,-157%,A,-157%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
471,Persil frisé - Coop - 20g,7610807120868,['Coop'],,"['France', 'Suisse']",['Persil frisé'],[],179,?,179 kj(43 kcal),"0,63","0,1","3,48","0,95","3,63",,,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Petit mignons - Coop - 650g,7610818538645,['Coop'],,"['France', 'Suisse']","['farine blanche ', 'froment', 'sucre', 'fécule de pomme de terre', 'graisses et huiles végétales ', 'palme', 'colza', 'sirop de sucre inverti', 'sel de cuisine', 'poudre à lever ', 'E 500', 'arôme', ' ', 'gluten']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1840,440,1840 kj(440 kcal),10,"4,5",80,28,6,"0,6","0,24",650 g,,,,,,,['E500 - Carbonates de sodium'],['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Landjäger - COOP - 300g,7610845467888,['COOP'],,"['France', 'Allemagne', 'Suisse']","['Ingrédients par 100 g : viande de boeuf 89 g ', 'Suisse', 'Lard ', 'Suisse', 'couennes', 'viande de porc 4 g ', 'Suisse', 'sel nitrité ', 'sel de cuisine', 'conservateur [E 2501', 'épices', 'dextrose', 'sirop de glucose', 'antioxydants ', 'E 301', 'E 300', ' Enveloppe: boyau collagénique de boeuf', ' Teneur totale en sel de cuisine: 3,9 %', ' 100 g contiennent énergie: 2003 kJ ']","['Non végétalien', 'Non végétarien']",2300,483,2300 kj(483 kcal),41,21,"0,5",0,26,"3,85","1,54",300 g,,,,"['Viandes', 'Charcuteries', 'Saucissons']",,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']",,4,41 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,3.85 g,en quantité élevée,+41%,+25%,+42%,+34%,+76%,-77%,-100%,+3%,-8%,-8%,26,+11%,E,+11%,,,,,,,,,,,,,
474,Fondue Moitié-Moitié - Coop,7610846382746,['Coop'],"['Contient du lait', 'AOP']",['France'],"['fromage 63 % ', 'Le Gruyère AOP 31,5 % [Suisse]', 'Vacherin fribourgeois AOP 31,5 % [Suisse]', 'vin blanc 33 % ', 'avec antioxydant [E 220 [sulfite]]', 'amidon de maïs', 'kirsch']",['Non végétalien'],?,272,1138 kj(272 kcal),18,10,"5,1",0,17,"1,4","0,56",,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Lait', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Chapeaux de morilles - Naturaplan,7610848363293,['Naturaplan'],['Bio'],"['France', 'Suisse']",['Chapeaux de morilles bios'],[],?,289,1209 kj(289 kcal),4,"0,5",24,2,30,"0,1","0,04",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons', 'Champignons séchés', 'Morilles']",,,,,,4 g,en quantité modérée,0.5 g,en faible quantité,2 g,en faible quantité,0.1 g,en faible quantité,,,+22%,+50%,-6%,+64%,-21%,+30%,-4%,-4%,-12,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,
476,Saumon séché naturellement - Mövenpick - 100g,7610848552666,['Mövenpick'],"['Bio', 'Fabriqué en Suisse']","['France', 'Suisse']","['Saumon atlantique bio ', 'Salmo salar', 'sel de cuisine iodé', ""huile d'olive"", 'romarin ', 'moulu', 'lyophilisé', 'sucre']","['Non végétalien', 'Non végétarien']",650,?,650 kj(155 kcal),8,,< 1,,21,,,100g,"['Plastique', 'Carton', 'Frais']",E,"Saumon bio d'Écosse séché au naturel, en tranches.","['Produits de la mer', 'Poissons', 'Saumons', 'Saumon séché']",['Ospelt food AG Tiefrietstr. 7 7320 Sargans SG Suisse'],['Coop'],,,3,8 g,en quantité modérée,,,,,,,-15%,,-16%,-24%,,+94%,,-3%,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,['Ecosse'],['CH 301'],,
477,Qualité & Prix Weiss - Coop - 200g,7610849554393,['Coop'],"['Commerce équitable', 'Fairtrade International', 'Max Havelaar', 'Cocoa Program']","['France', 'Suisse']","['Sucre', 'beurre de cacao 31%', 'lait entier en poudre ', 'Suisse', 'émulsifiant ', 'E 322 de soja', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2440,577,2440 kj(577 kcal),38,23,53,53,6,"0,2","0,08",200 g,,D,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolat blanc en tablette']",['Suisse'],['Coop'],['E322 - Lécithines'],,4,38 g,en quantité élevée,23 g,en quantité élevée,53 g,en quantité élevée,0.2 g,en faible quantité,,,+4%,+11%,+10%,-2%,+4%,-4%,-15%,-15%,27,+6%,E,+6%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,
478,Coop Rauchlachs Saumon fumé Scotland - Coop Qualité & Prix - 120g,7610849799152,"['Coop Qualité & Prix', 'Coop']",['Fabriqué en Suisse'],"['France', 'Suisse']","['Filets de saumon ', 'poisson élevé en Ecosse', ""correcteur d'acidité "", 'E325', 'sel marin', 'sel de cuisine iodé']","['Non végétalien', 'Non végétarien']",620,148,620 kj(148 kcal),7,1,"0,5","0,5",21,"4,3","1,72",120 g,"['Frais', 'Carton', 'Plastique']",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['Suisse'],['Coop'],['E325 - Lactate de sodium'],['Poisson'],3,7 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,4.3 g,en quantité élevée,-21%,-23%,-22%,-37%,-53%,+1%,+40%,-5%,+49%,+49%,11,-19%,D,-19%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,['Écosse'],['CH 301'],,
479,Meringues - Meier - 130g,7610886000105,['Meier'],,['France'],[],[],?,396,1657 kj(396 kcal),"0,5",0,94,94,5,0,0,130 g,"['Carton', 'boîte', 'Plastique']",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",,,,,,0.5 g,en faible quantité,0 g,en faible quantité,94 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,-51%,-100%,+8%,+13%,+24%,-100%,-100%,14,-3%,D,-3%,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,,,,
480,Liquid Energy plus - Sponser,7611174174003,['Sponser'],,['France'],[],[],?,850,3556 kj(850 kcal),"0,1","0,1",50,25,"0,1","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Flute salée,7611466007125,,,['France'],[],[],?,510,2134 kj(510 kcal),28,18,50,3,13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Rauchlachs Saumon Fumé,7611521049633,,,['France'],[],[],?,179,749 kj(179 kcal),"9,4","2,4","0,6",0,23,3,"1,2",,,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,9.4 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,,-3%,-3%,-10%,+17%,+21%,-100%,+4%,+6%,+6%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,
483,Plan B Poulet Sweet & Sour - Coop - 230g,7611654934004,['Coop'],,"['France', 'Suisse']",[],[],1060,235,1060 kj(235 kcal),"8,4",0,30,0,"9,1","1,6","0,64",230 g,,,,['Plats préparés'],,,,,,8.4 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en quantité élevée,+63%,+46%,+58%,+17%,-100%,+124%,-100%,+30%,+70%,+70%,5,+27%,C,+27%,,,,,,,,,,,,,
484,Energy sport bar,7612100003879,,,"['Belgique', 'France']",[],[],?,394,1648 kj(394 kcal),"9,4","6,6",72,35,"4,8","0,5","0,2",,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Tomme à la créme,7612464620125,,['Fabriqué en Suisse'],['France'],[],[],?,320,1339 kj(320 kcal),28,18,"0,5","0,1",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Balko Ananas - Yoplait,7612464717047,['Yoplait'],,['France'],[],[],?,103,431 kj(103 kcal),3,2,15,15,"3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,CHEF fonds de veau premium - 640g,7613031586592,['Chef'],,['France'],[],[],?,263,1100 kj(263 kcal),"6,6","0,6",37,8,14,12,"4,8",640 g,,,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']",,,,"['Céleri', 'Gluten']",,,,,,,,,,,+3%,0%,+42%,-59%,-18%,-7%,+81%,+9%,+9%,,,,,,,,,,,,,,,,,
488,Sublim - Cailler - 198g,7613033623905,['Cailler'],,"['France', 'Suisse']","['Sucre', 'pâte de cacao', 'beurre de cacao', 'lait entier condensé sucré', 'sirop de glucose-fructose', 'lait entier en poudre', 'amandes', 'matière grasse de lait anhydre', 'humectant ', 'sorbitol', 'graisse de noix de coco', ' noisettes', 'sirop de sucre inverti', 'huile de tornesol', 'cacao', 'petit-lait en poudre partiellement déminéralisé', 'arôme', 'farine de blé', 'émulsifiants ', 'lecithine de tournesol', ""mono - et diglycérides d'acides gras"", 'sel', ""agent d'enrobage "", 'gomme arabique', 'sucre caramelisé', 'stabilisant ', 'invertase', 'extrait de vanille', "" Peut contenir d'autres fruits à coque et œufs""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2241,536,2241 kj(536 kcal),"34,5","18,9","48,7","45,2","5,7","0,2","0,08",198 g,,,,,,,"['E420 - Sorbitol', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E414 - Gomme d'acacia"", 'E1103 - Invertase']","['Gluten', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,NESTLE NATURNES Petits Pots Bébé Petits Pois + Carottes + Courgettes -6x130g -Dès 4/6 mois - 780g,7613033641312,"['Nestlé', 'Naturnes']",['en:gluten-free'],['France'],"['Courgettes : Légumes 55% ', 'courgettes 30%', 'panais 11%', 'patates douces', 'pommes de terre', 'épinards 2%', 'eau de cuisson', 'maïs', 'amidon', 'huile de colza', ' # Carottes : Carottes 75%', 'eau de cuisson', 'huile de colza', ' # Petits pois : Petits pois 50%', 'eau de cuisson', 'huile de colza']","['Sans huile de palme', 'Végétalien', 'Végétarien']",120,29,120 kj(29 kcal),"0,5","0,1","4,5",4,"0,6","0,08","0,032",780 g,"['Boite', 'Opercule en plastique']",,Aliment pour bébés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Nestlé - 460g,7613033984440,"['Nestlé', 'Nesquik']",,"['France', 'Portugal', 'Espagne', 'Suisse']","['açúcar', 'cacau magro ', '21', '6%', 'emulsionante ', 'lecitina de soja', 'sais minerais ', 'carbonato de magnésio', 'pirofosfato férrico', 'sulfato de zinco', 'sal', 'vitaminas ', 'C', 'B1', 'D', 'óleo de girassol', 'aroma', 'canela']",[],1619,383,1619 kj(383 kcal),"3,6","1,6","79,2","75,7","4,8","0,34","0,136",460 g,,D,Preparado em pó para bebida achocolatada,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",,,,,4,,,,,,,,,+9%,+15%,+13%,-16%,-37%,+25%,+34%,-24%,+63%,+63%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,
491,Spekblokjes Gerookt - Lardons Fumés - Herta - 2x100g,7613034014665,['Herta'],['en:gluten-free'],"['Belgique', 'France']",[],[],?,250,1046 kj(250 kcal),20,"7,8","0,4","0,4",17,1,"0,4",2x100g,,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",,['Delhaize'],,,,20 g,en quantité modérée,7.8 g,en quantité élevée,0.4 g,en faible quantité,1 g,en quantité modérée,,-6%,-5%,-8%,-6%,-51%,-37%,+4%,-62%,-62%,14,-30%,D,-30%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,"['FR 62.767.005 CE', 'Saint-Pol-sur-Ternoise (Pas-de-Calais, France)']",,
492,Smarties popup - Nestlé,7613034566843,['Nestlé'],,"['France', 'Espagne']",[],[],?,109,456 kj(109 kcal),"3,9","2,8","13,5","13,5","1,4","0,08","0,032",,,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,,,3.9 g,en quantité modérée,2.8 g,en quantité modérée,13.5 g,en quantité élevée,0.08 g,en faible quantité,,-53%,-53%,-67%,-63%,-52%,-42%,-56%,-47%,-47%,5,-63%,C,-63%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,
493,Maggi 3 Minute Noodles Curry Flavour,7613035062771,['Maggi'],,['France'],"['noodles: wheat flour', 'palm oil', 'salt', 'flavour enhancer ', 'monosodium glutamate', 'garlic', 'acidity regulator ', 'potassium carbonate', 'stabiliser ', 'sodium polyphosphate', 'turmeric', 'flavour sachet: maltodextrin', 'curry powder 17% ', 'turmeric', 'coriander', 'cumin', 'fennel', 'fenugreek', 'cayenne', 'ginger', 'cinnamon', 'aniseed', 'cardamom', 'garlic', 'hydrolysed soya protein flavour enhancer monosodium glutamate', 'disodium guanylate', 'disodium inosinate', 'sugar', 'spices ', 'coriander', 'black pepper', 'ginger', 'vegetables ', 'onion', 'leek', 'flavouring', 'garlic', 'acidity regulator ', 'citric acid', ' ', 'colour ', 'ammonium caramel', 'sunflower oil', ' may contain traces of milk', 'egg', 'celery', 'mustard and sesame', 'ur']",['Huile de palme'],?,87,364 kj(87 kcal),"3,4","1,9","11,6","0,4",2,"0,4","0,16",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E501i - Carbonate de potassium', 'E452i - Polyphosphate de sodium', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E330 - Acide citrique', 'E150 - Caramel']",,4,,,,,,,,,,-71%,-71%,-71%,-64%,-71%,-83%,-69%,-85%,-85%,,,,,,,,,,,,,,,,,
494,MAGGI Bouillon de Volaille Halal 6+2 tablettes - 80g,7613035180802,['Maggi'],"['Point Vert', 'Halal']",['France'],"['Sel de cuisine', 'fécule', 'sucre', 'huile de palme*', 'arômes naturels', 'volaille 2,7% : viande de poule 1,6%', 'graisse de poulet ', ' extrait végétal aminé ', 'BLE', 'curcuma', 'carotte', 'persil', ' *100% issue de plantations responsables', ' Peut contenir : œufs', 'lait', 'céleri']","['Huile de palme', 'Non végétalien', 'Non végétarien']",960,229,960 kj(229 kcal),"9,7","5,5",30,14,"4,2",52,"20,8",80 g,['Boite'],,"Bouillon déshydraté à la volaille, aromatisé","['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons de volaille']",,,,"['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,,,,,,,,+30%,+53%,+44%,+106%,+155%,+55%,+144%,-26%,+107%,+107%,,,,,,,,,,,,,['Huile de palme'],,,,
495,Branche caramel beurre salé - Cailler - 690g,7613035203570,['Cailler'],"['Agriculture durable', 'en:IP-Suisse', 'Fabriqué en Suisse', 'en:palm-oil-free', 'en:UTZ Certified', 'en:utz-certified-cacao', 'Cocoa Plan']","['France', 'Suisse']","['sucre', 'beurre de cacao', 'lait écrémé en poudre', 'lactoserum en poudre', 'huile de tournesol', 'pâte de cacao', 'noisettes', 'lait entier en poudre', 'amandes', 'beurre fondu', 'crème en poudre', 'sel', 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel', 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,557,2330 kj(557 kcal),35,13,50,49,"9,7","0,2","0,08",690 g,['Carton'],,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",['Suisse'],['Aligro'],['E322i - Lécithine'],['Fruits à coque'],4,35 g,en quantité élevée,13 g,en quantité élevée,49 g,en quantité élevée,0.2 g,en faible quantité,,+7%,+7%,+15%,-21%,-7%,+4%,+58%,+2%,+2%,24,-1%,E,-1%,,,,,,,,,,,,,
