,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
357,Malabar Bubble Mix 318G Offre Economique,3538280832952,['France'],"['Ce surn goûts Tutti Frutti', 'Fraise', 'Cola', 'Mu!tifruits et Barbe à papa', ' Sucre', 'gomme base', 'Sirop de glucose', 'Rtide citrique', 'Acide malique', 'E422', 'Colorants ', 'E160Ç i 161 b', 'Err,ulsifiants ', 'E472a,']","[""Pourrait contenir de l'huile de palme""]",?,316,1322 kj(316 kcal),"0,2","0,2",78,70,"0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Malabar'],"['E296 - Acide malique', 'E422 - Glycérol', 'E160c - Extrait de paprika', ""E472a - Ester diacétyl-acétique d'acides gras""]",,4,,,,,,,,,,,,
358,Bonbons Tendres Regal'ad Krema +10% Gratuit,3538280832990,['France'],[],[],?,410,1715 kj(410 kcal),"7,4","3,5",83,"63,5","1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Krema'],,,,,,,,,['Point Vert'],,,,,,
359,Bubble mix Chewing gum - Malabar,3538280833010,['France'],[],[],?,315,1318 kj(315 kcal),"0,1",0,78,"69,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Malabar'],,,,,,,,,,,,,,,
360,"Super Poulain 1, 1kg Offre économique - 1kg",3538280834802,['France'],['phŒin DEPUIS 1848 - MINÉRAUX OCCICIEUX CHAUD ou'],[],?,380,1590 kj(380 kcal),"1,9","0,44",87,87,"3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,['Poulain'],,,,,,,,,,,,,,,
361,Chewing gum fraise/citron vert Sweet Gum - Hollywood,3538280835311,['France'],"['Édulcorant ', 'Maltitols', 'Sorbitols', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Humectant ', 'E422', 'Arômes', 'Gélatine', 'Acidifiants ', 'Acide malique', 'Acide citrique', 'Emulsifiant ', 'Lécithine de tournesol', 'Colorants ', 'E171', 'E100', 'E141', ""Agent d'enrobage "", 'E903', 'Epaississant ', 'E466', ' Une consommation excessive peut avoir des effets laxatifs', 'contient une source de phénylalanine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,184,770 kj(184 kcal),"1,5","1,2",67,0,"1,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E965 - Maltitol', 'E420 - Sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E296 - Acide malique', 'E330 - Acide citrique', 'E322i - Lécithine', 'E171 - Oxyde de titane', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,,,,,,"['Contient une source de phénylalanine', 'Une consommation excessive peut avoir des effets laxatifs']",,,,,,
362,"Chewing-gum Hollywood, Greenfresh Sans Sucre 5+1gt 87g",3538280837391,"['France', 'Royaume-Uni']",[],[],?,154,644 kj(154 kcal),?,"0,3",?,"0,1","0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
363,Hollywood Power Fresh,3538280837414,['France'],[],[],667,?,667 kj(159 kcal),"0,3","0,1","64,5",0,"0,3","< 0,01","0,004",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,-2%,,-1%,+52%,-14%,+3%,-100%,+133%,-53%,-53%,,,,,,,,,,,,,['Hollywood'],,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,
364,Chewing gum Hollywood blancheur Menth.polaire s/sucre 5 + 1gr,3538280837438,['France'],[],[],?,167,699 kj(167 kcal),"0,6","0,6",66,"0,1","0,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
365,Twist Fraise Fantasy - Hollywood,3538280837629,['France'],[],[],?,185,774 kj(185 kcal),"1,4","1,1","69,6","0,1","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
366,Malabar Tutti,3538280838046,['France'],"['Sucre', 'Gomme base', 'Sirop de glucose', 'Dextrose', 'Arômes', 'Humectant ', 'E422', 'Colorants ', 'E120', 'E171', 'E161b', 'Antioxydant ', '821', 'Emulsifiant ', 'Lécithine de tournesol', "" A conserver l'abri de la chaleur et de l'humidité"", ' Bubble gum With Tutti Frutti flavour', "" Ingredients: Sugar' Gum base"", 'Glucose syrup', 'Dextrose', 'Flavourings Humectant ', 'E422', 'Colours ', 'E120', 'E171', 'Antioxidant ', '821', 'Emulsifier ', 'Sunflower lecithin', ' Store in a cool', 'dry place']","['Non végétalien', 'Non végétarien']",?,320,1339 kj(320 kcal),"0,2",0,79,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Malabar'],"['E422 - Glycérol', 'E120 - Acide carminique', 'E171 - Oxyde de titane', 'E161b - Lutéine', 'E322i - Lécithine']",,4,,,,,,,,,,,,
367,"Hollywood, Chewing gum style neon fu , le lot de 2 etuis, 54 gr",3538280839531,['France'],"['Edulcorants ', 'Sorbitol', 'Maltitol', 'Sirop de maltitol', 'Xylitol', 'Sucralose', 'Acésulfame K', 'Gomme base', 'Humectant ', 'E422', 'Acidifiants ', 'Acide citrique', 'Acide malique', 'Arômes', 'Emulsifiants ', 'Lécithine de tournesol', 'E472a', 'Antioxydant ', 'E321', ' Une consommation excessive peut avoir des effets laxatifs']","[""Pourrait contenir de l'huile de palme""]",?,170,711 kj(170 kcal),"0,7","0,1","64,8",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E967 - Xylitol', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E330 - Acide citrique', 'E296 - Acide malique', 'E322i - Lécithine', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E321 - Butylhydroxytoluène']",,4,,,,,,['Une consommation excessive peut avoir des effets laxatifs'],,,,,,
368,Menthe Eucalyptus à la gomme d'acacia,3538280840872,['France'],[],[],?,320,1339 kj(320 kcal),0,0,72,"55,2",8,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Chewing-gum hollywood twist,3538280842593,['France'],[],[],?,3,13 kj(3 kcal),"0,8","0,8","65,7","65,7","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
370,"C200.Malabar Mint V.0 20,",3538280842654,['France'],[],[],?,21,88 kj(21 kcal),0,0,"5,3","4,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Malabar,3538280842678,['France'],[],[],?,310,1297 kj(310 kcal),0,0,76,"67,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Malabar bubble mix - Mondelez,3538280842814,['France'],"['S Dextrose', 'Acidi ants ', 'Acide citrique', 'Acide malique', 'Acide tartique', 'Arômes', 'Humectant ', 'E422', 'Colorants ', 'E160c', 'El 33', 'El 20', 'El 71', 'El 61 b', 'Emulsifiants ', 'E472a', 'lécithine de tournesol', 'Antioxydant ', 'E321']","[""Pourrait contenir de l'huile de palme""]",?,316,1322 kj(316 kcal),"0,2","0,2",78,70,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mondelez'],"['E330 - Acide citrique', 'E296 - Acide malique', 'E422 - Glycérol', 'E160c - Extrait de paprika', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E322i - Lécithine', 'E321 - Butylhydroxytoluène']",,4,,,,,,,,,,,,
373,Malabar Tutti 345G Offre économique - Mondelez,3538280842821,['France'],"['Sucre', 'Gomme base', 'Sirop de glucose', 'Dextrose', 'Arômes', 'Humectant ', 'E422', 'Colorants ', 'El 20', 'El 71', 'El 61 b', 'Antioxydant ', 'E321 Emulsifiant ', 'Lécithine de tournesol']",[],?,318,1331 kj(318 kcal),"0,2",0,79,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mondelez'],"['E422 - Glycérol', 'E321 - Butylhydroxytoluène', 'E322i - Lécithine']",,4,,,,,,,,,,,,
374,Style - Hollywood,3538280843460,['France'],[],[],?,150,628 kj(150 kcal),"0,5","0,1","57,4",0,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
375,Krema Batna - 535g,3538280843880,['France'],"['Sucre', 'Sirop de glucose', 'Graisse végétale', 'Lait écrémé en poudre', 'Suc de réglisse', 'Gélatine', 'Emulsifiant ', 'E471', 'Sel', ""Arôme naturel d'anis étoilé"", 'Arôme naturel', ""Correcteur d'acidité "", 'E500']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1700,?,1700 kj(406 kcal),"7,2","3,6","81,3","66,7","2,8","0,254","0,102",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",7.2 g,en quantité modérée,3.6 g,en quantité modérée,66.7 g,en quantité élevée,0.254 g,en faible quantité,+10%,,+13%,+287%,+240%,-2%,+15%,+32%,+110%,+110%,19,+32%,E,+32%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,535g,['Kréma'],"['E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium']",,4,Confiserie aromatisée,['Plastique'],,,['Non indiquée'],,,,,,,
376,40 minutes de fraicheur gout menthe verte - Hollywood - 60g,3538280844030,['France'],"['Édulcorants ', 'Xylital', 'Isomalt', 'sorbitol', 'Sirop de maltitol', 'Acésulfame K', ',sucralose', 'Gamme base', 'Arômes', 'Stabilisant ', 'gomme arabique', 'Émulsifiant ', 'Lécithine de tournesol', 'Colorants ', 'E171', 'E100', 'E133', 'E160a']","[""Pourrait contenir de l'huile de palme""]",725,?,725 kj(173 kcal),"0,4","0,1","70,6","0,1",0,0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,+2%,,+3%,+69%,-25%,+11%,-98%,-100%,-100%,-100%,,,,,,,,,,,,60g,['Hollywood'],"['E953 - Isomalt', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E950 - Acésulfame K', 'E955 - Sucralose', ""E414 - Gomme d'acacia"", 'E322i - Lécithine', 'E171 - Oxyde de titane', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés']",,4,chewing-gum à la menthe,['Carton'],,,,,,,,,,
377,2Fresh Parfum Menthe Extra-Fort - Hollywood - 3 * 20g (60g),3538280844061,['France'],"['Édulcorants ', 'Maltitol', 'Sorbitol', 'Sirop de maltitol', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Arômes', 'Humectant ', 'E422', 'Gélatine', 'Colorant ', 'E171', 'Émulsifiant ', 'Lécithine de tournesol', ""Agent d'enrobage "", 'E903', 'Épaississant ', 'E466']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",700,?,700 kj(167 kcal),"0,1",0,"66,8",0,"1,5",0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-2%,,-0%,-58%,-100%,+5%,-100%,+820%,-100%,-100%,,,,,,,,,,,,3 * 20 g (60 g),['Hollywood'],"['E965 - Maltitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E171 - Oxyde de titane', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,Chewing-gums sans sucres avec édulcorants - parfum menthe extra-forte,"['Carton', 'Plastique']",['Cora'],,,"['Peu ou pas de sucre', 'Labels liés à la santé des dents', 'Sans sucre', 'Union française pour la santé bucco-dentaire']",,,,,,
378,Hollywood Style - 14,3538280844320,['France'],"['Edulcorants ', 'Sorbitol', 'Sirop de maltitol', 'Xylitol', 'Aspartame', 'Acést Gomme base', 'Agent de charge ', 'El 70', 'Arômes', 'Humectant ', 'E422', 'Antioxydar ', 'Lécithine de tournesol', 'Colorant ', 'El 41 Une consommation excessive peut avoir des effets laxatifs', ' Contient une sour« Information nutritionnelle / 1 oog : Energie 619kJ /']",[],?,149,623 kj(149 kcal),"0,5","0,3",58,"0,09","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,['Hollywood'],"['E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E967 - Xylitol', 'E951 - Aspartame', 'E422 - Glycérol', 'E322i - Lécithine']",,4,,,,,,,,,,,,
379,Toffee Classic (+10% gratuit) - Milka - 234,3538280844429,['France'],"['Caramel 62% ', 'sirop de glucose', 'sucre', 'lait concentré sucré écrémé', 'huile végétale hydrogénée', 'arôme', 'sel', 'chocolat au lait du pays alpin 25% ', 'sucre', 'beurre de cacao', 'poudre de lait écrémé', 'pâte de cacao', 'lactosérum en poudre', 'beurre concentré', 'émulsifiants ', 'lécithine de soja', 'E476', 'fourrage confiseur liquide au chocolat 13% ', 'humectants ', 'E420', 'E422', 'sirop de glucose', 'lait concentré sucré écrémé', 'chocolat noir 12% ', 'Pâte de cacao', 'sucre', 'beurre de cacao', 'cacao fortement dégraissé', 'beurre concentré', 'arôme', 'émulsifiant ', 'lécithine de soja', 'huile végétale hydrogénée']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1875,?,1875 kj(448 kcal),"19,2","15,8",67,"52,8","3,3","0,305","0,122",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",19.2 g,en quantité modérée,15.8 g,en quantité élevée,52.8 g,en quantité élevée,0.305 g,en quantité modérée,-16%,,-15%,-40%,-9%,+28%,+11%,-44%,+99%,+99%,26,+7%,E,+7%,,,,,,,,234,['Milka'],"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E420 - Sorbitol', 'E422 - Glycérol']","['Lait', 'Soja']",4,Bonbons de chocolat au lait du pays alpin fourrés au caramel et confiseur liquide,"['Sachet Plastique', 'Papier plastique individuel']",,,,['Fabriqué en France'],,,,,,
380,Goms Fruits Foret,3538281332345,['France'],[],[],?,340,1423 kj(340 kcal),"0,1","0,1","71,8","48,5","8,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Super Poulain,3538282464281,['France'],"[""' Sucre"", 'cacao maigre en poudre ', '14,51%', 'émulsifiant ', 'lécithine de SOJA', 'arôme', 'vitamines ', 'C', 'B2', 'BI', 'B6', ' Il est important dhvoir une alimentation variée et équilibrée et unmodedeviesajn,']",[],?,390,1632 kj(390 kcal),2,"1,1",87,85,"3,2","0,01","0,004",D,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,,,,,,,,,+17%,+14%,-53%,-57%,+37%,+51%,-49%,-95%,-95%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,['Poulain'],['E322i - Lécithine'],['Soja'],4,,,,,,['en:gluten-free'],,,,,,
382,Super Poulain - 1kg e,3538284464852,['France'],"['Sucre', 'cacao maigre en poudre ', '14,5 %', 'émulsifiant ', 'lécithine de SOJA', 'arôme', 'vitamines ', 'C', 'B2', 'B1', 'B6']",['Sans huile de palme'],?,390,1632 kj(390 kcal),2,"1,1",87,"85,5","3,2","0,01","0,004",D,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,,,,,,,,,+17%,+14%,-53%,-57%,+37%,+52%,-49%,-95%,-95%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,1 kg e,['Poulain'],['E322i - Lécithine'],['Soja'],4,,"['boîte', 'Plastique']",,,,['en:gluten-free'],,,,,,
383,Soupe à l'ail des Ours,3538350000014,['France'],[],[],?,53,222 kj(53 kcal),"3,8","2,5",4,"0,8","0,6","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Soupe du chalet - Aux Salaisons Savoyardes,3538350000021,['France'],[],[],?,76,318 kj(76 kcal),"4,7",3,"6,8","1,7","1,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aux Salaisons Savoyardes'],,,,,,,,,,,,,,,
385,Diots de Savoie pur porc fumé,3538350005637,['France'],[],[],?,350,1464 kj(350 kcal),29,0,"1,4","0,7",21,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses savoyardes', 'Diots', 'Diots de Savoie']",29 g,en quantité élevée,0 g,en faible quantité,0.7 g,en faible quantité,1.9 g,en quantité élevée,,+14%,+14%,+12%,-100%,+36%,+18%,+23%,-13%,-13%,12,-43%,D,-43%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,"['FR 73.087.001 CE', 'Cognin (Savoie, France)']",,,,,,,,
386,Verrine Savoie - Aux Salaisons Savoyardes,3538350008034,['France'],"['Terrine de porc stérilisée', ' INGRÉDIENTS Gorge et foie de porc ', 'viande fraîche', 'origne France', 'eau', 'chanterelle ', '3', '4 %', 'fécule de pomme de terre', 'sel', 'arômes', 'cognac', ""BLANC D'ŒUF"", 'champignon', 'dextrose', 'NOISETTE', 'antioxydant : ascorbate de sodium']",['Non végétalien'],?,301,1259 kj(301 kcal),24,"9,5","3,6",0,19,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aux Salaisons Savoyardes'],['E301 - Ascorbate de sodium'],"['Œufs', 'Fruits à coque']",4,,,,,,,,,,,,
387,Verrine de Savoie aux herbes des Bauges - Aux salaisons savoyardes - 180g,3538350008218,['France'],[],[],?,235,983 kj(235 kcal),18,"7,2","4,4","0,6",14,"2,6","1,04",,['Terrines'],18 g,en quantité modérée,7.2 g,en quantité élevée,0.6 g,en faible quantité,2.6 g,en quantité élevée,,-22%,-21%,-30%,-24%,+103%,-23%,0%,+70%,+70%,19,+7%,E,+7%,,,,,,,,180g,['Aux salaisons savoyardes'],,,,Terrine de porc stérilisée,"['Verrine', 'Verre']",,,,"['Viande Française', 'Viande Porcine Française', 'en:Artisan']",,,,,,
388,Verrine Savoie,3538350008393,['France'],[],[],?,307,1284 kj(307 kcal),25,"9,9",0,0,17,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Salaisons Savoyardes Verrine de Savoie au génépi le pot de 180 g - Aux Salaisons Savoyardes,3538350008478,['France'],[],[],?,293,1226 kj(293 kcal),23,"9,2","4,5",1,17,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aux Salaisons Savoyardes'],,,,,,,,,,,,,,,
390,Soupe de pois cassés au lard savoyard - Aux salaisons savoyardes - 750g,3538350009062,['France'],"['Eau', 'pois cassés ', '11', '3%', 'CRÈME ', 'émulsifiant : lactoglycérides', 'stabilisant : carraghénanes', 'lard savoyard fumé ', '6', '0 %', ' ', 'poitrine de porc ', 'viandc fraîche', 'origine France', 'eau conservateur : sel nitrité', 'plantes aromatiques', 'dextrose', 'sel', 'antioxydant :  érythorbate de sodium', 'arômes naturels', 'poireau', 'oignon', 'carotte', 'huile d’olive', 'bouillon de volaille ', 'sel', 'dextrose', 'arômes', 'graisse et viande de poulet', 'fécule', 'sucre', 'épices et aromates', 'amidon transformé de maïs', 'poivre']","['Non végétalien', 'Non végétarien']",405,?,405 kj(97 kcal),"5,5","2,4",9,"1,3","2,9","0,75","0,3",,"['Plats préparés', 'Soupes']",5.5 g,en quantité modérée,2.4 g,en quantité modérée,1.3 g,en faible quantité,0.75 g,en quantité modérée,+86%,,+71%,+184%,+297%,+57%,-25%,+32%,-13%,-13%,5,+205%,C,+205%,,,,,,,,750g,['Aux salaisons savoyardes'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E14XX - Amidons modifiés']",['Lait'],4,Soupe,['Bouteille'],,"['FR 73.087.001 CE', 'Cognin (Savoie, France)']",,,,,,,,
391,Soupe - Saveurs des Alpes,3538350009086,['France'],[],[],?,56,234 kj(56 kcal),"3,9","1,5","4,2","0,9","0,8","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Saveurs des Alpes'],,,,,,,,,,,,,,,
392,"Viande Richelieu, Saucisson cuit de cheval, le saucisson de 300 g",3538770010372,['France'],"['Viande de cheval ', '66 %', 'gras de porc ', 'France', ' ', '25 %', 'eau', 'sel nitrité', 'lactoprotéines', 'LACTOSE', 'dextrose ', 'BLÉ', 'épices', 'aromates', 'arôme fumée', 'GLUTEN de froment', 'stabilisants : E450-E451', 'conservateur : E250', 'antioxydants : E300-E301', 'acidifiant : E330', 'colorant naturel : E120', ' Boyau naturel de bœuf']","['Non végétalien', 'Non végétarien']",?,254,1063 kj(254 kcal),"21,45","9,4","2,6","2,59","12,75","2,13","0,852",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons cuits', 'Saucissons de cheval']",21.4 g,en quantité élevée,9.4 g,en quantité élevée,2.59 g,en faible quantité,2.13 g,en quantité élevée,,-4%,-5%,-5%,+12%,+46%,+164%,-10%,+2%,+2%,21,+10%,E,+10%,76.7%,16.7%,0.6%,1.8%,1.0%,3.1%,29,300 g,['Richelieu'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E330 - Acide citrique', 'E120 - Acide carminique']","['Gluten', 'Lait']",4,,"['Frais', 'Plastique']",,"['FR 92.060.001', 'Plessis-Robinson (Hauts-de-Seine, France)']",['France'],['Fabriqué en France'],,['France'],,,,
393,Pepites de chocolat - Réauté Chocolat,3538800000007,['France'],"['PÉPITES DE CHOCOIAI Chocolat nolr pûte de cacao', 'sucre', 'beurre de cacao', 'émulslflont naturel de vanille Peut contenlr des traces d’arachides', 'de fruits à coques', 'de gluten', 'de lait et d’oeuf']",[],?,547,2289 kj(547 kcal),"36,5","21,9","43,7","40,7","5,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Réauté Chocolat'],,,,,,,,,,,,,,,
394,Mousse à raser - Vitry - 200ml,3538893334010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ml,['Vitry'],,,,,,,,,,,,,,,
395,Super poulain,3538934464881,['France'],[],[],?,390,1632 kj(390 kcal),2,"1,1",87,"85,5","3,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Cannelle Moulue,3539341203001,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,,,,,,,,,,
397,Ambrée bio aux algues - Tonnerre de Brest - 75cl,3539430000412,['France'],"['eau', ""malt d'orge bio"", 'houblon bio', 'épices bio', 'sucre bio', 'algues', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées', 'Bières bio']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,75 cl,['Tonnerre de Brest'],,,3,,"['Bouteille', 'Verre']",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Brasserie Tonnerre de Brest'],,,,
398,Thé vert bio aux algues et au jasmin - 45g,3539430007008,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,
399,Thé Rouge Au Algues - Breizh Tea,3539430012002,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Breizh Tea'],,,,,,,,,,,,,,,
400,Thé de Noël - 50g,3539430014037,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,
401,Thé vert bio aux algues et aux plantes - 45g,3539430018004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,
402,Tisanne de mélisse citronnée bio aux algues - 25g,3539430020700,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 g,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,
