,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
337,Schwartzwälder shinken - aldi - 375g,22149947,375g,,['Aldi'],,['IGP'],,['Aldi'],['France'],"['schweinefleisch', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumiodzt', 'Gewürze ', 'Schwarzer Pfeffee', 'Koriander', 'Wacholderbeere', 'Dextrose', 'Konservierungsstoffe : Natriumnitrit', 'Kaliumnitrat']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,243,,1017 kj(243 kcal),,15,,"6,4",,1,,0,,26,,"5,5",,"2,2",,,,,,,,,,,,,,,,,,
338,Sweet Valley Früchtchen,22150073,,,['Sweet valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes']",,,,['France'],"['20 96', 'Apfelsaftkonzentrat']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.1 g,en faible quantité,0.1 g,en faible quantité,15.6 g,en quantité élevée,0.01 g,en faible quantité,?,,76,-46%,318 kj(76 kcal),-44%,"0,1",-90%,"0,1",-56%,"17,2",-34%,"15,6",-25%,"0,4",-73%,"0,01",-96%,"0,004",-96%,-2,-285%,A,-285%,,,,,,,,,,,,,
339,Apfelrotkohl - Gartenkrone - 400g,22150516,400 g,['Beutel'],['Gartenkrone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus', 'de:Rotkohl']",,,,"['France', 'Allemagne']",[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,11.2 g,en quantité modérée,1.3 g,en quantité modérée,?,,61,+11%,255 kj(61 kcal),+9%,"0,1",-92%,"0,1",-35%,"12,5",+56%,"11,2",+64%,"1,1",-4%,"1,3",+95%,"0,52",+95%,2,,B,,,,,,,,,,,,,,
340,Monarc Premium Butter Brioche Ungeschnitten,22150899,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"11,4",,"7,5",,"53,5",,"14,9",,"7,3",,"1,13",,"0,452",,,,,,,,,,,,,,,,,,
341,Milfina Creme à La Cuisine 7% Fett - 250ml,22150967,250 ml,['Flasche'],['Milfina'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",,,,"['France', 'Allemagne']",[],,,[],,7 g,en quantité modérée,5.2 g,en quantité élevée,3.8 g,en faible quantité,0.1 g,en faible quantité,388,-89%,93,-89%,388 kj(93 kcal),-89%,7,-92%,"5,2",-65%,"5,6",+14113%,"3,8",+13003%,"1,8",+6086%,"0,1",+159%,"0,04",+159%,11,+33%,D,+33%,,,,,,,,,,,,,
342,Baguettsalami edelgeschimmelt - GUTERSLOHER FLEISCHWAREN VERTRIEBD,22151278,,,['GUTERSLOHER FLEISCHWAREN VERTRIEBD'],"['Viandes', 'Charcuteries', 'Saucisses']",,,,"['France', 'Allemagne']","['Speisesalz Pfeffer t ', 'Il il t }iàtriumnitrit', ' Oas Produit Lann Spuren Mi!cherzeugnissen', 'Sent und Sellerie enthàlten-']",,,[],,24 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,4.3 g,en quantité élevée,?,,313,+23%,1310 kj(313 kcal),+22%,24,+15%,10,+26%,1,-30%,"0,5",-34%,23,+52%,"4,3",+119%,"1,72",+119%,22,+26%,E,+26%,,,,,,,,,,,,,
343,Schlagsahne - Aldi Bio - 200g,22151315,200g,['Plastikbecher'],['Aldi Bio'],"['Produits laitiers', 'Crèmes']",['Bio'],,,['France'],"['Schlagsahne', 'wärmebehandelt mindestens 30% Fett']",,['Lait'],['Non végétalien'],1,30 g,en quantité élevée,19 g,en quantité élevée,3.6 g,en faible quantité,0.13 g,en faible quantité,295,-70%,?,,295 kj(71 kcal),-73%,30,+17%,19,+11%,"3,6",-19%,"3,6",-5%,"2,7",+10%,"0,13",+38%,"0,052",+38%,9,-27%,C,-27%,,,,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,
344,Choceur Pur Noisette - 125g,22151346,125 g,,['Choceur'],,"['Agriculture durable', 'en:UTZ Certified']",,,['France'],"['Zucker', 'Kakaobutter', 'Sahnepulver ', ' 15,600', 'Kakeomasse', ' Voltmilchputver ', 'S', '4òcN', 'Molke•nerzeugnis Mikhzucker', 'gemahlene Haselnüsse Emulgator Lecithine ', 'Soja\\ VanitieextTèkt Kann auch Anteile von Mandel', 'Erdnuss und anderen Nüssen enthatten', "" VOII wt' tert"", 'frtetten KakaŒ So untetstutxt emen sœùl - denn tm Ull+toqtamm werden Bauetn geschdlt', "" Kakà0 von bessetet Qutitàt mit an,'ijbaeen"", 'infotmationen untet www', 'utz', 'otg']",,"['Lait', 'Arachides']",['Non végétalien'],4,,,,,,,,,?,,560,,2343 kj(560 kcal),,"35,4",,"21,1",,"51,4",,"50,2",,"7,9",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,
345,Bauernschnitten,22152039,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,222,,929 kj(222 kcal),,"0,9",,"0,2",,"44,4",,"2,6",,"6,6",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
346,Wrap mit Thunfisch - Snack Time - 170g,22152237,170 g,,['Snack Time'],"['Sandwichs', 'Wraps']",['Contient du lait'],,,"['France', 'Allemagne']",[],,,[],,11 g,en quantité modérée,2.7 g,en quantité modérée,3.3 g,en faible quantité,1.5 g,en quantité modérée,?,,240,+3%,1004 kj(240 kcal),+5%,11,+22%,"2,7",+20%,25,-3%,"3,3",+36%,"9,2",+5%,"1,5",+30%,"0,6",+30%,5,+24%,C,+24%,,,,,,,,,,,,,
347,Bio Haferdrink Mandel,22152473,,,['Bio'],"['Produits laitiers', 'Laits']","['Bio', 'Végétarien', 'Végétalien']",,,['France'],"['Wasser', 'Vollkornhafer ', '10%', 'Mandeln ', '0,5%', 'Saureregulator: calciumcitrat', 'stabilisator: gellan', 'meersalz']",['E418 - Gomme gellane'],,"['Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,3.8 g,en faible quantité,0.1 g,en faible quantité,?,,34,-48%,142 kj(34 kcal),-48%,"0,5",-76%,"0,1",-92%,"6,5",+8%,"3,8",-30%,"0,7",-80%,"0,1",-19%,"0,04",-19%,0,-100%,B,-100%,,,,D,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,
348,Nurenberger Rostbradwurste - bio - 250g,22152480,250 g,['Kunststoff'],"['Bio', 'HoWe']","['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Saucisses de Nuremberg']","['Bio', 'Bio européen', 'IGP', 'DE-ÖKO-001']",,['Aldi'],"['France', 'Allemagne']","['Schweinefleisch ', '95%', 'Speck', 'Meersalz', 'Dextrose', 'Zucker', 'Gewürze ', 'Majoran', 'Pleffer ', 'schwarz', 'Rosmarin', 'Muskatnuss Kardamon', 'Gewürzextrakte ', 'Zitronen Macis-', 'Kardamomextrakt', 'Schafsaitling']",,,"['Non végétalien', 'Non végétarien']",4,32 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,?,,348,+33%,1456 kj(348 kcal),+32%,32,+44%,12,+43%,1,-13%,1,+34%,14,+1%,"1,8",-10%,"0,72",-10%,21,+11%,E,+11%,Original Nürnberger Rostbratwurst,['Deutschland'],,,['DE EV 717 EG'],,,,,,,,['Union européenne']
349,Putensteaks Grill 3 Stck. - 550g,22152626,550 g,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
350,Eiweißbrot mixkiste - Mühlengold,22153135,,,['Mühlengold'],['de:Eiweissbrot'],,,,['France'],"['Ôlsaaten ', '26%', ' ', 'Leinsaat', 'Sesam', 'Sonnenblumenkerne', 'Weizenkleber,']",,"['Gluten', 'Graines de sésame', 'Soja']",[],4,8.2 g,en quantité modérée,1.1 g,en faible quantité,3.7 g,en faible quantité,1.3 g,en quantité modérée,?,,228,,954 kj(228 kcal),,"8,2",,"1,1",,"11,4",,"3,7",,"21,7",,"1,3",,"0,52",,3,,C,,,,,,,,,,,,,,
351,Erbsen / Petit pois -  - 1kg,22160997,1 kg,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
352,Cordon bleu - Sprehe Feinkost - 500g,22161000,500 g,,['Sprehe Feinkost'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,,,['France'],"['Hähnchenbrustfilet 56%', 'Paniermehl 20% ', 'Weizenmehl', 'Trinkwasser', 'Speisesalz', 'Hefe', 'Gouda-Käse 8%', 'Putenbrustschinken ', 'aus Putenbruststücken zusammengefügt', ' ', '8%', ' ', 'Putenbrustfleisch', 'jodiertes Speisesalz [Speisesalz', 'Kaliumjodat', 'Glucosesirup', 'Maltodextrin', 'Dextrose', 'Gewürze', 'Konservierungsstoff: Natriumnitrit', 'Stabilisator: Diphosphate', 'Trinkwasser', 'Speisesalz', 'Glukosesirup', 'Maltodextrin', 'Dextrose', 'Gewürze']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,153,-31%,640 kj(153 kcal),-31%,"3,5",-71%,2,-37%,13,-6%,"0,5",-68%,0,-100%,"1,5",+15%,"0,6",+15%,8,+13%,C,+13%,,,,D,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,
353,Maccheroni - Cucina - 500g,22161727,500g,['Paket'],['Cucina'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Farfalles', 'Farfalles de blé dur']",,,,"['France', 'Allemagne']",[],,,[],,1.3 g,en faible quantité,0.3 g,en faible quantité,3.2 g,en faible quantité,0.01 g,en faible quantité,?,,350,-1%,1464 kj(350 kcal),-1%,"1,3",-19%,"0,3",-10%,72,+4%,"3,2",-2%,12,-1%,"0,01",-25%,"0,004",-25%,-1,,A,,,,,C,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,
354,Bio Couscous Aus Hartweizengrieß - Aldi Bio - 750g,22164148,750g,"['Sachet', 'Plastique', 'Beutel', 'MO', 'Kunststofftüten']",['Aldi Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Blés', 'Épeautres']","['Bio', 'Agriculture UE']",,,"['France', 'Allemagne']","['DINKEL', 'GESCHLIFFEN', 'WEIZEN,']",,,[],,2.6 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,352,+5%,1473 kj(352 kcal),+5%,"2,6",-4%,"0,2",-57%,64,+6%,"0,5",-74%,14,+17%,"0,01",-81%,"0,004",-81%,-1,,A,,,,,B,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,
355,Nackensteaks Grill 4 Stck. - 600g,22164407,600 g,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
356,Cookie Dough - Grandessa - 500ml 434g,22164438,500 ml 434 g,"['Karton', 'Kunststoff']",['Grandessa'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']","['Agriculture durable', 'Point Vert', 'en:UTZ Certified', 'en:utz-certified-cacao']",,['Aldi'],"['France', 'Allemagne']","['Entrahmte Milch', 'Sahne 28%', 'Zucker', 'Weizenmehl', 'Glukosesirup', 'eingedickte entrahmte Milch', 'Hühnerei-Eigelb', 'Butter', 'Kakaomasse', 'Hühnerei-Eipulver', 'Emulgator ', 'Sojalecithine', 'Stabilisatoren ', 'Johannisbrotkernmehl', 'Guarkernmehl', 'Kakaobutter', 'Salz', 'Backtriebmittel ', 'Natriumcarbonate', 'Aromen', 'färbendes Lebensmittel ', 'Karottenkonzentrat', 'Vanilleextrakt']","['E412 - Gomme de guar', 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Soja', 'de:Hühnerei-Eigelb', 'de:Hühnerei-Eipulver']",['Non végétalien'],4,13 g,en quantité modérée,8.2 g,en quantité élevée,22 g,en quantité élevée,0.2 g,en faible quantité,961,-2%,?,,961 kj(230 kcal),-1%,13,+11%,"8,2",+8%,25,-10%,22,-6%,3,-5%,"0,2",+33%,"0,08",+33%,14,+4%,D,+4%,,,,B,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,
357,Rahmspinat Minis - Gartenkrone - 800g,22164650,800 g,['Karton'],['Gartenkrone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes surgelés', 'Aliments à base de plantes frais', 'Légumes surgelés', 'Légumes-feuilles', 'Légumes frais', 'Épinards', 'Épinards surgelés', 'Épinards hachés surgelés']",,,['Aldi'],"['France', 'Allemagne']","['Spinat ', '84%', 'Sahne ', '9,5%', 'Rapsöl', 'Reisstärke', 'Laktose', 'Milcheiweiß', 'Magermilchpulver', 'Speisesalz', 'Zucker', 'Gewürze ', 'Muskatnuss', 'Pfeffer']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,3.3 g,en quantité modérée,0.9 g,en faible quantité,1.9 g,en faible quantité,0.84 g,en quantité modérée,?,,58,+87%,243 kj(58 kcal),+87%,"3,3",+238%,"0,9",+278%,"4,2",+153%,"1,9",+184%,"1,8",-33%,"0,84",+244%,"0,336",+244%,-3,,A,,,,,A,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,
358,Joghurt Nach Griechischer Art natur - Desira - 600g (4 * 150g),22164674,600g (4 * 150g),"['Karton', 'Kunststoff', 'PP', 'Aluminium']",['Desira'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['Fabriqué en Allemagne'],,,"['France', 'Allemagne']",[],,,[],,9.2 g,en quantité modérée,6.2 g,en quantité élevée,3.8 g,en faible quantité,0.13 g,en faible quantité,?,,111,+21%,464 kj(111 kcal),+21%,"9,2",+181%,"6,2",+202%,"3,8",-65%,"3,8",-62%,"3,2",-15%,"0,13",+13%,"0,052",+13%,6,+96%,C,+96%,,,,,,,,,,,,,
359,Aldi Bio Garnelen - 80g,22164698,80 g,,,,['Bio'],,,['France'],[],,,[],,,,,,,,,,?,,88,,368 kj(88 kcal),,1,,"0,3",,0,,0,,18,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
360,Back Familiy Mohn-Marzipan Kuchen - Back Family,22164742,,,['Back Family'],,"['Agriculture durable', 'en:UTZ Certified']",,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,423,,1770 kj(423 kcal),,"22,8",,"8,5",,"47,3",,"25,6",,"6,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,
361,Alpenmark Sahne Käsercken,22164933,,,['Alpenmark'],,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
362,Chicken Nuggets,22165152,,,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,['France'],[],,,[],,6.7 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,?,,174,-22%,728 kj(174 kcal),-22%,"6,7",-40%,"0,9",-55%,13,-23%,"0,8",-39%,15,+17%,"1,4",+20%,"0,56",+20%,3,-18%,C,-18%,,,,D,,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,
363,Nusszopf - Monarc,22165442,,,['Monarc'],,,,,['France'],[],,,[],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"9,1",,"4,6",,"51,1",,"22,7",,"6,4",,"0,61",,"0,244",,,,,,,,,,,,,,,,,,
364,Krapfen mit Hagebuttenkonfitüre - Monarc,22165756,,,['Monarc'],,,,,['France'],"['Weizenmehl', '20% Hagebuttenkonfitüre ', 'Hagebutten', 'Hagebuttensaft', 'Glukose-Fruktose-Sirup', 'Zucker', 'Geliermittel: Pektin', 'Säuerungsmittel: Citronensäure', 'Bourbon Vanille', 'Palmfett', 'Volleil', 'Traubenzucker', 'Milchzucker', 'Wasser', 'Hühnereieigelb 1', 'Hefe', 'Weizenstärke', 'Emulgator', ' Mono - und Diglyceride von Speisefettsäuren', 'jodiertes Speisesalz ', 'Speisesalz', 'Kaliumjodat', 'Maismehl', 'Zucker', 'Rapsöl', 'Weizenkleber', ' 1 Eier aus Bodenhaltung']","['E440 - Pectines', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,351,,1469 kj(351 kcal),,"14,5",,"6,2",,"47,4",,"17,4",,"6,5",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,
365,Salatmix (Aldi),22166234,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
366,"Mandel-pralinen, Mit Vollmilchschokolade - Choceur",22166357,,,['Choceur'],,['Fabriqué en Allemagne'],,,['France'],[],,,[],,,,,,,,,,?,,556,,2326 kj(556 kcal),,36,,"13,5",,"42,9",,"41,3",,12,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,
367,"Rote Pfefferonen, Gefüllt Mit Frischkäsezubereitung",22166760,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,194,,812 kj(194 kcal),,14,,"6,7",,"11,3",,"9,9",,"2,9",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,
368,Wonnemeyer Feinkost - 200g,22167019,200 g,,['Wonnemeyer'],,,,,['France'],['— FEINKOST — Linsen Salat VEGETARISCH Serviervorschlag'],,,[],,,,,,,,,,?,,213,,891 kj(213 kcal),,"8,7",,"1,9",,"23,8",,"4,1",,"8,8",,"1,55",,"0,62",,,,,,,,,,,,,,,,,,
369,"Fruchtgummi, Mit Minzegeschmack - Tri D'Aix",22167071,,,"[""Tri D'Aix""]",,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,339,,1418 kj(339 kcal),,0,,0,,79,,61,,"5,7",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,
370,Rio Doro,22167378,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,43,,180 kj(43 kcal),,"0,5",,"0,1",,10,,"9,8",,"0,5",,,,,,,,,,,,,,,,,,,,,,
371,Cookies - 210g,22169877,210 g,,,,,,,['France'],[],,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,29,,13,,54,,31,,"7,2",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,
372,Kleiner Sandwichtoast,22170453,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,292,,1222 kj(292 kcal),,9,,"0,8",,41,,"3,5",,"8,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,
373,Lassi mango bio,22171207,,['Tetrapack'],['Bio'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",['Bio'],,,"['France', 'Royaume-Uni']",[],,,[],,2.6 g,en quantité modérée,1.7 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,?,,85,+18%,356 kj(85 kcal),+17%,"2,6",+72%,"1,7",+80%,13,+15%,13,+21%,"2,4",-17%,"0,1",-6%,"0,04",-6%,20,+25%,E,+25%,,,,D,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,
374,"Bunte Bohnen Quinoa Salat, Mit Sojabohnenkernen",22171887,,,,,"['Végétarien', 'Végétalien']",,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,194,,812 kj(194 kcal),,"7,6",,"0,7",,"24,2",,"6,3",,"5,8",,"1,35",,"0,54",,,,,,,,,,,,,,,,,,
375,Joghurt Im Glas Himbeere,22172426,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,131,,548 kj(131 kcal),,7,,"4,5",,14,,13,,"2,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
376,Dinkelnudeln -  - 500g,22172488,500 g,['Packung(en)'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
377,Pufuleti -,22172914,,,,"['Snacks', 'Snacks salés']",,,,['France'],[],,,[],,19.7 g,en quantité modérée,8.3 g,en quantité élevée,1.8 g,en faible quantité,0.75 g,en quantité modérée,?,,473,+2%,1979 kj(473 kcal),+3%,"19,7",-19%,"8,3",+96%,67,+40%,"1,8",-45%,"6,1",-28%,"0,75",-51%,"0,3",-51%,16,+31%,D,+31%,,,,,,,,,,,,,
378,Pekannusskerne - Farmer (Aldi) - 200g,22177346,200g,,['Farmer (Aldi)'],,,,,['France'],['Pekannusskerne 100 %'],,,[],,,,,,,,,,?,,737,,3084 kj(737 kcal),,74,,"7,1",,"5,5",,"3,5",,10,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,['Mexique']
379,Quark Creme Mit Joghurt Erdbeere - Penny,22197924,,,['Penny'],,,,,['France'],"['Dessert aus Frischkase', 'Joohurt mild aus Magermil', 'h und 10 % Erdbeeren Frischkase 33 m', 'ld Magermil', 'h 32 Ercbeeren', 'Sahnej Glukose- Fruktose-9up', 'mcdlfizierte Starke', 'Verdir&ungs- mittel ', 'i', 'arotte', 'Rote Ettesaft', 'naturii', 'hes Aroma']",,,[],,,,,,,,,,?,,426,,1782 kj(426 kcal),,3,,2,,14,,13,,"4,5",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,
380,Aiguillettes de canard - Monoprix,2220001050905,,,['Monoprix'],"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,,['Monoprix'],['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,?,,100,-17%,418 kj(100 kcal),-17%,0,-100%,0,-100%,0,-100%,0,-100%,25,+16%,"0,15",-76%,"0,06",-76%,-4,,A,,,,,D,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,
381,Palets bretons - Les Délices Bigoudens - 180g,2220010024096,180 g,,['Les Délices Bigoudens'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,['France'],"['beurre baratte 1/2 sel', 'farine de blé', 'sucre', ""jaune'oeuf"", 'poudre à lever', ' [E4501', '[E500]', '[E330] ', 'fleur de sel']","['E500 - Carbonates de sodium', 'E330 - Acide citrique']","['Œufs', 'Gluten']",['Non végétalien'],3,29 g,en quantité élevée,18 g,en quantité élevée,25 g,en quantité élevée,1.5 g,en quantité modérée,?,,473,-5%,1979 kj(473 kcal),-5%,29,+14%,18,+10%,46,-24%,25,-3%,"5,7",-3%,"1,5",+71%,"0,6",+71%,26,+8%,E,+8%,,,,C,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,
382,Bigood chips - Les Délices Bigoudens - 150g,2220010057063,150g,['Plastique'],['Les Délices Bigoudens'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,['France'],"['Eau', 'farine de sarrasin', 'beurre de baratte demi-sel', 'fleur de sel', 'malt', 'gluten', 'amylase fongique']",['E1100 - Amylases'],"['Gluten', 'Lait', 'Sarrasin']",[],4,26 g,en quantité élevée,17 g,en quantité élevée,1.7 g,en faible quantité,3 g,en quantité élevée,?,,417,-10%,1745 kj(417 kcal),-11%,26,+31%,17,+214%,38,-36%,"1,7",-57%,"7,7",-22%,3,+50%,"1,2",+50%,25,+62%,E,+62%,Chips de blé noir. Bigood Chips,"['Landudec', 'Bretagne', 'France']",,B,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,
383,Boudin aux pommes - 3,2220117017847,3,,['Boudin aux pommes'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux pommes', 'Boudin noir sauté']",,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,
384,"Filets de poulet noir - Le picoreur - 0,306kg (2filets)",2220501082581,"0,306 kg (2 filets)","['Barquette', 'Film', 'Plastique']",['Le picoreur'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],"['Filets de poulet noir', 'bio', 'origine France', '\rN° de lot : 25160105']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,B,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France']
385,"Volaille fermière - Nature de France - 0,210kg",2220532031558,"0,210 kg",,['Nature de France'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['DE DINDE BIO Frais classe fl', ' conserver à OOC consommer cuit à coeur 33178105 fl consommer jusqu au ', ' 15112/2017 ', 'Expédié le 01112/2017']",,,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,12,,2,,"1,9",,"0,71",,59,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,
