,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
623,Biscyland Gaufre Sucrée-chocolat 30X100G 1 Pièce - Biscylana - 30x 100g,5420001506281,30 x 100 g,['Biscylana'],,['France'],"['INGREPIENTS farine de froment', 'sucre 25%', 'margarine J et graisses végétales ', 'palme et cf u', ""' proportions variables"", 'eau', 'sel', ""éf' asifiants: lécithines•E471"", 'acidifiant', ' ride citrique Tòmes', 'colorant: El 60 a ', 'i*jt/! fantaisie de cac ', 'sucre', 'matière grasses végetales ', 'c co palmiste', 'palme', 'drité', 'poudre de c ca à*eneur réduite en matières grasses 131 dbilisant: E492', "" émulsifiant : lécithir/5@-'soja"", 'arômZvanilIe', 'Œufs', 'levure desucre inverti', 'arine de soja', 'siròl', ' Jec', 'dcos stabilisant: sorbitol', 'sel', 'aròh«oanjfe', ' peut contenir des traces de lait•']","['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol']",['Œufs'],"['Huile de palme', 'Non végétalien']",4,?,466,1950 kj(466 kcal),"24,7","15,6","54,4","29,1","5,6","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
624,Nuggets végétaliens - Vegan Deli - 154g,5420005742050,154 g,"['Vegan Deli', 'Linck', 'Veggifood', 'VEGGIFOOD Vegan Deli']",['Monoprix'],['France'],"['eau', 'huile de tournesol', 'oignon', 'protéines de blé', 'farine de blé', 'amidon de maïs modifié', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'sucre', 'épices', 'bouillon [sel de mer', 'extrait de levure', 'amidon de pommes de terre', 'légumes ', 'oignons', 'carottes', 'huile de tournesol', 'épices ', 'curcuma', 'ail', 'livèche', ']', 'protéine de pomme de terre', 'fibre de pomme de terre', 'amidon ', 'blé', 'maïs', 'sel', 'épices ', 'poivre', 'piment', 'ail', 'oignon', 'poivron', 'extrait de céleri', 'extrait de levure', 'épaississant ', 'carraghénane', ' Peut aussi contenir soja et noix']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Céleri', 'Gluten', 'Moutarde', 'Fruits à coque', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1336,320,1336 kj(320 kcal),19,"2,3",22,"3,1",14,"2,5",1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande']","['Végétarien', 'Végétalien']",19 g,en quantité modérée,2.3 g,en quantité modérée,3.1 g,en faible quantité,2.5 g,en quantité élevée,+69%,+67%,+67%,+117%,+70%,+112%,+91%,-1%,+131%,+131%,14,+1233%,D,+1233%,,,,,,,,,,['Belgique'],,,,,,,
625,Delicio salade de crabe royal - 350g,5425012910034,350 g,,,['France'],[],,,[],,?,301,1259 kj(301 kcal),"27,4","2,4","7,6","2,6","5,9","2,8","1,12",,['Salades de crabe'],['Fabriqué en Belgique'],27.4 g,en quantité élevée,2.4 g,en quantité modérée,2.6 g,en faible quantité,2.8 g,en quantité élevée,,,,,,,,,,,15,,D,,,,,,,,,,,,,,,,,,
626,Trio hummus - 210g,5425020162821,210 g,['Trio hummus'],,"['Belgique', 'France']",[],,,[],,?,292,1222 kj(292 kcal),"24,7","1,8","14,6","2,5","0,9","1,71","0,684",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['Fabriqué en Belgique'],24.7 g,en quantité élevée,1.8 g,en quantité modérée,2.5 g,en faible quantité,1.71 g,en quantité élevée,,+11%,+11%,+22%,-27%,+38%,+87%,-86%,+64%,+64%,11,+120%,D,+120%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,
627,Sauce Barbecue - Nawhal's - 395g,5425021587982,395 g,"[""Nawhal's""]",['Marjane'],"['France', 'Maroc']","['Ingrédients sirop de gicose-fructose', 'puree de tomates ', '28g de tomates dans 100g sauce', 'vinaigre', 'eau', 'sauce caramel ', 'sucre caramélisé', 'sirop de glucose-fructose caramélisé', 'eau', 'sucre candi', 'ucose fune conservateurs', ' sorbate de potassium', 'benzoate de sodium', ' colorant: caramel ammonacat additant de moutarde', ' Conserver entre 2° et 30° C Pour garder un goüt optimal', 'tenir au frais']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E150 - Caramel']",,[],4,?,149,623 kj(149 kcal),0,0,"35,9","31,8","0,3",2,"0,8",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",['Fabriqué en Belgique'],0 g,en faible quantité,0 g,en faible quantité,31.8 g,en quantité élevée,2 g,en quantité élevée,,-4%,-5%,-100%,-100%,+15%,+22%,-67%,-1%,-1%,16,+10%,D,+10%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,['Belgique'],,,,,,,
628,Lupulus Organicus - Brasserie les 3 Fourquets - 330ml,5425025122073,330 ml,['Brasserie les 3 Fourquets'],['Magasins U'],['France'],"['eau', ""malt d'orge"", 'houblons', 'sucre', 'levure']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,?,,?,,?,,?,0,0,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières blondes', 'Bières bio']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['Belgique'],,,,,,,
629,Sauce Andalouse - Barakafrites - 500ml,5425031090250,500 ml,['Barakafrites'],,['France'],"['Huile de colza ', '42%', 'eau', ""vinaigre d'alcool"", 'moutarde ', 'eau', 'graines de moutarde', 'sel', 'curcuma', 'puree de tomates ', '6,2%', 'sucre ', '3% modifié de maïs', 'extraits naturels ', 'lait', 'chili', 'cerfeuil', 'celer0', 'oi nons', 'se ', 'câpres ', 'câpres', 'eau', 'sel', 'acidifiant ', 'acide citrique', 'épaississan ', 'comme xantane', 'antioxydants ', 'extraits de romarin', 'extrait de the vert ', 'édulcorant ', '0,01 %', 'glycosides de stéviol']","['E330 - Acide citrique', 'E392 - Extrait de romarin', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Lait', 'Moutarde']",['Non végétalien'],4,?,406,1699 kj(406 kcal),42,"2,4","6,1","4,5","1,7","4,3","1,72",D,"['Epicerie', 'Sauces', 'Sauces andalouses']",,42 g,en quantité élevée,2.4 g,en quantité modérée,4.5 g,en faible quantité,4.3 g,en quantité élevée,,-23%,-23%,-22%,-43%,-25%,-24%,-9%,+129%,+129%,16,-10%,D,-10%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
630,Coca-cola Standard - 1500ml,5449000051684,1500 ml,['Coca cola'],,"['France', 'La Réunion', 'Suisse']",[],,,[],,180,?,180 kj(43 kcal),0,0,"10,6","10,6",0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola']",,0 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0 g,en faible quantité,+117%,,+102%,-100%,-100%,+97%,+102%,-100%,-100%,-100%,14,+90%,E,+90%,,,,,,,,,"['Canette', 'bouteille']",,,,,,,,
631,Schuss,5449000160096,,['Schuss'],,"['France', 'Espagne']",[],,,[],,?,1,4 kj(1 kcal),0,0,0,0,0,"0,2","0,08",,['es:Refrescos'],['Sans conservateurs'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-94%,-95%,-100%,,-100%,-100%,-100%,+543%,+543%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
632,Fanta Pomme & Cerise,5449000227461,,['Fanta'],,['France'],[],,,[],,?,33,138 kj(33 kcal),0,0,"7,9","7,9",0,0,0,,"['Boissons', 'Boissons édulcorées']",,0 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0 g,en faible quantité,,+120%,+134%,-100%,-100%,+194%,+238%,-100%,-100%,-100%,11,+155%,E,+155%,,,,,,,,,,,,,,,,,
633,Fuzetea sparkling lemon black tea - FUZE TEA,5449000238375,,['FUZE TEA'],,"['Belgique', 'France']","['Eau pétillante', 'sucre', 'jus de citron à base de concentré ', '1%', 'acidifiants: acide citrique', 'citrate de sodium', 'extraits de thé ', '0', '12%', ' conservateur: sorbate de potassium', 'édulcorant : glycosides de stéviol', 'arômes naturels']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,['Sans huile de palme'],4,?,18,75 kj(18 kcal),0,0,"4,3","4,2",0,"0,03","0,012",,"['Boissons', 'Boissons édulcorées', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.03 g,en faible quantité,,+20%,+27%,-100%,-100%,+60%,+79%,-100%,-14%,-14%,6,+39%,D,+39%,,,,,,,,,,,,,,,,,
634,Fuzetea sparkling black tea,5449000238474,,['Fuzetea'],,['France'],"['eau pétillante', 'sucre', 'jus de citron à base de concentré  ', '1%', ' acidifiants: acide citrique', 'citrate de sodium', ' extraits de thé  ', '0,12%', ' conservateur: sorbate de potassium', ' antioxydant : acide ascorbique', ' édulcorant: glycosides de stéviol', ' arômes naturels']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,['Sans huile de palme'],4,?,18,75 kj(18 kcal),0,0,"4,3","4,2",0,"0,03","0,012",,"['Boissons', 'Boissons édulcorées']",,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.03 g,en faible quantité,,+20%,+27%,-100%,-100%,+60%,+79%,-100%,-14%,-14%,6,+39%,D,+39%,,,,,,,,,,,,,,,,,
635,Tonic water - Finley - 1L,5449000240828,1 L,['Finley'],,['France'],[],,,[],,?,36,151 kj(36 kcal),0,0,"8,7","8,7",0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,,+29%,+30%,-100%,-100%,+32%,+37%,-100%,-100%,-100%,12,+34%,E,+34%,,,,,,,,,"['Bouteille', 'Plastique']",,,,,,,,
636,Farin'Up Farine Fluide Premium - Moulins de Kleinbettingen - 750g,5450086121000,750g,['Moulins de Kleinbettingen'],,['France'],[],,,[],,1480,349,1480 kj(349 kcal),1,"0,2","72,3","1,7","11,4","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",['Sans additifs'],1 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0.01 g,en faible quantité,+1%,+1%,+2%,-43%,-35%,+4%,+20%,+10%,-67%,-67%,-3,,A,,,,,,,,,,['Sachet'],,,,,,,,
637,Avoine germée banane & cacao - Iswari,5600317471064,,['Iswari'],,['France'],"[""10070 BIOLOGIQUES Flocon d'Avoine crus germés "", '40%', 'Sarrasin moulu', 'Lucuma en poudre', 'Banane en poudre ', '7%', 'Amandes moulues', 'Fèves de Cacao ', '3%', 'Sarrasin activé et Mûres', ' Certifié par Certiplanet PT-BlO-0d']",,,[],,?,375,1569 kj(375 kcal),"8,7","1,6",57,16,"9,5","0,1","0,04",,,"['Bio', 'Bio européen', 'PT-BIO-04']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,100% Real Whey Protein Stevia Dark Chocolate - Prozis - 1250g,5600380890861,1250g,['Prozis'],,['France'],[],,,[],,1528,365,1528 kj(365 kcal),"4,3","1,3","5,6","2,4",76,"0,36","0,144",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,4.3 g,en quantité modérée,1.3 g,en faible quantité,2.4 g,en faible quantité,0.36 g,en quantité modérée,-0%,-2%,-1%,-1%,-25%,-20%,-23%,+7%,-52%,-52%,1,-77%,B,-77%,,,,,,,,Poudre de protéines instantanée aromatisée,,,,,,,,,
639,Yogurte Activia 0% Ananas - Danone - 120g,5601050024241,120g,"['Danone', 'Activia']",,"['France', 'Portugal']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Compal Nectar Pera Rocha Pear,5601151531457,,['Compal'],,"['France', 'Portugal']",[],,,[],,?,46,192 kj(46 kcal),0,0,12,"7,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Encornets geants sauce à l’ail - Bon Appetit,5601159206685,,['Bon Appetit'],,['France'],"['Jumbo squid tentactes ', '62%', 'Sunflower vegetable oil ', '36%', 'Garlic ', '1%', ""Salt Ingrédients: Tentacules d'encornets géants "", '62%', 'Huile végétale de tournesol ', '36%', 'Ail ', '1%', 'Sel']",,,[],,?,171,715 kj(171 kcal),"8,3",1,1,0,23,"0,92","0,368",,['Encornet géant'],,8.3 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,0.92 g,en quantité modérée,,,,,,,,,,,1,,B,,,,,,,,,,,,,,,,,,
642,Sardinhas Portuguesas em azeite - Bon Appetit - 120g (84g égoutté),5601159207811,120 g (84 g égoutté),['Bon Appetit'],['Dia'],['France'],"['Sardines', ""huile d'olive"", 'sel']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,228,954 kj(228 kcal),"16,3","4,5",0,0,"20,4","0,9","0,36",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,16.3 g,en quantité modérée,4.5 g,en quantité modérée,0 g,en faible quantité,0.9 g,en quantité modérée,,-8%,-7%,-8%,+17%,-100%,-100%,-4%,-1%,-1%,4,-29%,C,-29%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,Sardines portugaises à l'huile d'olive,['Conserve'],['Portugal'],"['PT C 221 1P CE', 'PT C 247 1P CE']",,,,,,
643,Frutos vermelhos - luso fruta,5601163000316,,['luso fruta'],,"['France', 'Espagne']",[],,,[],,?,23,96 kj(23 kcal),0,0,"5,6",5,0,"0,01","0,004",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,0 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0.01 g,en faible quantité,,-49%,-49%,-100%,-100%,-46%,-48%,-100%,-5%,-5%,8,+19%,D,+19%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,
644,Molho Calve Alho Frasco - Unilever,5601165006255,,['Unilever'],,['France'],[],,,[],,?,238,996 kj(238 kcal),12,"8,8",12,8,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Sal de mesa - Amanhecer,5601227018684,,['Amanhecer'],,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,"98,3","39,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Iced tea manga - Continente,5601312024934,,['Continente'],['Continente'],"['France', 'Portugal']",[],,,[],,?,25,105 kj(25 kcal),0,0,"6,1","6,1",0,"0,06","0,024",,"['Boissons', 'Thés glacés']",,0 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité modérée,0.06 g,en faible quantité,,+14%,+14%,-100%,-100%,+16%,+21%,-100%,+114%,+114%,9,+23%,D,+23%,,,,,,,,,,,,,,,,,
647,Ice tea peach - Continente,5601312024941,,['Continente'],['Continente'],"['France', 'Portugal']",[],,,[],,?,46,192 kj(46 kcal),0,0,11,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Accras de morue - Bem Cozinhados,5601502334447,,['Bem Cozinhados'],,['France'],"['• Acras de Morue ', 'ré-cuisinés Surgelés Ingrédients', ""' Morue cuit "", '40%', 'flocons de pommes de terre hydratées ', 'pommes de terre', 'émulsifiant ', 'E471 ', ' ', 'stabilisateur ', 'E450i', 'épice', 'antioxydants ', 'E304i', 'E330', 'conservateur ', 'métabisulfite de sodium', ']', 'Oeufs', 'oignon', 'eau', 'persil hydraté et épices', ' Il peut avoir des arêtes']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide', ""E304i - Palmitate d'ascorbyle"", 'E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Poisson']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,104,435 kj(104 kcal),"1,3","0,6",15,"0,5","7,3","1,6","0,64",E,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",['en:gluten-free'],1.3 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en quantité élevée,,-53%,-52%,-86%,-54%,-27%,-80%,-30%,-11%,-11%,2,-71%,B,-71%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,,,,,,,,,,
649,leite dos acores,5601883000078,,,,"['France', 'Portugal']",[],,,[],,?,46,192 kj(46 kcal),"1,6","0,9","4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Chá verde & limão,5603722499814,,,,['France'],[],,,[],,?,25,105 kj(25 kcal),0,0,"6,2","6,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Munster  bio - SAVEURS DE NOS RÉGIONS - 220gr,56067972,220 gr,['SAVEURS DE NOS RÉGIONS'],['Lidl'],['France'],"['Lait de vache biologique pasteurisé ', 'origine France', 'sel', 'présure animale', 'ferment lactique ', 'lait']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,321,1343 kj(321 kcal),27,17,"0,6",0,19,"2,1","0,84",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['Bio', 'AOP']",27 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,,-2%,-2%,+2%,-4%,-50%,-100%,-7%,+62%,+62%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['1 fromage entier'],['Fromagerie du Pays Welsch à LAPOUTROIE'],"['FR 68.175.004 CE', 'Lapoutroie (Haut-Rhin, France)']",,['France'],,,,
652,Icelandic Skyr Fraise - Isey - 170g,5690527901000,170 g,['Isey'],,"['France', 'Suisse']","['lait écrémé pasteurisié', 'fraises 7%', 'sucre', 'sirop de glucose-fructose', 'amidon de maïs modifié', 'concentré végétal colorant ', 'betterave rouge', 'carthame', 'épaississant ', 'pectine', 'arômes', 'cultures de skyr']",['E440 - Pectines'],,[],4,360,84,360 kj(84 kcal),"0,2","0,1",11,11,9,"0,1","0,04",,,"['Sans gluten', 'Riche en protéines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Smoothie 100% fruit organic passion dream - Nature Fresh - 250ml,5708636220674,250 ml,['Nature Fresh'],,['France'],"['Purée de pomme', 'Jus de pomme à base de concentré', ' Jus de passion à base de concentré 16 %', 'purée de banane', 'purée de mangue', 'Jus de citron à base de concentré']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,41,172 kj(41 kcal),"< 0,1",0,11,"5,4","< 0,2","< 0,3","0,12",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']","['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",0.1 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.3 g,en quantité modérée,,-28%,-27%,-72%,-100%,-9%,-50%,-68%,+1823%,+1823%,9,-13%,D,-13%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,['Glass'],,,,,,,,
654,Skinny Latte - Starbucks - 220ml,5711953067624,220ml,['Starbucks'],,"['France', 'Espagne']","['Lait ', 'contient 1,1% de matières grasses', ' 75% café arabica Starbucks ', 'eau', 'extrait de café', "" 24,8% correcteur d'acidité "", 'carbonates de potassium', 'stabilisants ', 'carraghénanes et gomme gellane', ' édulcorants ', 'acésulfame-K', 'enzyme ', 'lactase']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K']",['Lait'],['Non végétalien'],4,?,35,146 kj(35 kcal),"0,9","0,6",4,"3,7","2,8","0,09","0,036",,"['Boissons', 'Boissons au café']","['Sans sucre ajouté', 'Sans lactose']",0.9 g,en faible quantité,0.6 g,en faible quantité,3.7 g,en quantité modérée,0.09 g,en faible quantité,,-76%,-76%,-77%,-79%,-82%,-77%,-31%,-63%,-63%,7,-51%,D,-51%,,,,,,,,,,,,,,,,,
655,Buco - 200g,5711953079122,200 g,['Buco'],,"['France', 'Allemagne']","['Frischkäse', '5% Oliven', 'natives Olivenöl extra', 'Zitronensaftkonzentrat', 'Zucker', 'Speisesalz', 'Oregano', 'Petersilie']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,238,996 kj(238 kcal),23,15,"3,2",3,"4,1","1,1","0,44",D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",['Sans conservateurs'],23 g,en quantité élevée,15 g,en quantité élevée,3 g,en faible quantité,1.1 g,en quantité modérée,,+61%,+59%,+117%,+116%,-41%,-37%,-39%,+229%,+229%,14,+241%,D,+241%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Plastik'],['Viby J'],['DK M198 EC'],,,,,,
656,Lipton Yellow Labe Herbata Ekspresowal - 100g (2g x 50torebek),5900300550203,100 g (2 g x 50 torebek),['Lipton'],['Biedronka'],"['France', 'Pologne']","['Herbata czarna ', 'Certyficat Rainforest Alliance', 'naturalny aromat']",,,[],4,?,4,17 kj(4 kcal),0,0,"< 0,5","< 0,5","< 0,5",0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['pl:Certyficat Rainforest Alliance'],,,,,,,,,,-56%,-54%,-100%,-100%,-71%,-62%,+196%,-100%,-100%,2,-49%,C,-49%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Papier'],"['02-305 Warszawa', 'Polska']",,,,,,,
657,Fudge cookies - Cookies Bergen - 126g,5902379701838,126g,['Cookies Bergen'],,['France'],"['Farine de blé', 'chocolat au lait 40 % [sucre', ' lait entier en poudre', ' beurre de cacao', ' pâte de cacao', ' graisse végétale ', 'palme', 'karité', 'sal', 'noyaux de mangue en proportions variées', ' lactosérum en poudre ', 'lait', ' émulsifiant: lécithine de soja', ' lactose', ' arôme naturel de vanille', 'sucre', 'graisse végétale ', 'de palme', 'de colza', 'beurre ', 'de lait', 'sirop de glucose-fructose', 'sirop de sucre inverti', 'cacao', 'gélifiant ', 'pectines', 'sel', ""poudres à lever: carbonates d'ammonium"", 'carbonates de sodium', 'arôme']","['E322i - Lécithine', 'E440 - Pectines', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,452,1891 kj(452 kcal),"18,6",11,"63,5","39,3","5,7","0,62","0,248",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,18.6 g,en quantité modérée,11 g,en quantité élevée,39.3 g,en quantité élevée,0.62 g,en quantité modérée,,-8%,-8%,-21%,-7%,+2%,+21%,-13%,+12%,+12%,25,+17%,E,+17%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,['Huile de palme'],,,
658,Goudberen Oursons d'Or - Confiserie gélifiée - Haribo - 250g e,5996379305912,250 g e,['Haribo'],,"['Belgique', 'France']","['Confiserie Gélifiéelngrédients: Sirop de glucose ', 'sucre ', 'gélatine ', 'dextrose ', 'jus de fruits à base de concentrés : pomme', 'fraise', 'framboise', 'orange', 'citron', 'ananas ', 'acidifiant : acide citrique ', 'concentrés de fruits et de plantes : carthame', 'spiruline', 'pomme', 'baie de sureau', 'orange', 'cassis', 'kiwi', 'citron', 'aronie', 'mangue', 'fruit de la passion', 'raisin ', 'arôme ', 'extrait de baie de sureau ', ""agents d'enrobage : cire d'abeille blanche et jaune"", 'cire de carnauba,']","['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,"['Non végétalien', 'Non végétarien']",4,?,343,1435 kj(343 kcal),"0,5","0,1",77,46,"6,9","0,07","0,028",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés']","['Oursons-d-or', 'Share-size', 'The-original-since-1922']",0.5 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.07 g,en faible quantité,,+4%,+2%,+31%,-26%,-1%,-2%,+43%,+2%,+2%,14,+5%,D,+5%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Sachet plastique'],,,,,,,,
