,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
937,Joi,5601146232512,,,['France'],[],[],?,,20,,84 kj(20 kcal),,0,,0,,"4,5",,"4,4",,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,"Yaourth 0,1% Fett à la myrtille",4061458022477,,,['France'],[],[],?,,77,,322 kj(77 kcal),,"0,1",,"0,05",,14,,"13,5",,"4,2",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['DE BY-718 EG', 'DE SN-016 EG']",,,,,,,,,
939,Ras El Abed,5281028509729,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Gum,0070942302531,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Saforelle 1 litre,3700399100080,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Galette vegetalienne,3492500045860,,,['France'],[],[],?,,172,,720 kj(172 kcal),,10,,"0,9",,6,,"1,3",,"11,4",,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Pizza cheese les américaines - Auchan - 1170g,3596710461899,B,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées']",['France'],"['Farine de blé', 'eau', 'cheddar 10% ', 'lait', 'mozzarella 9% ', 'lait', ' ', 'emmental 9% ', 'lait', 'concentré de tomates', 'huile de colza', 'sucre', 'sel', 'levure boulangère', 'amidon transformé', 'ail', 'origan', 'basilic', 'poivre', 'purée de piments ', 'piments', 'sel', ""correcteur d'acidité acide acétique"", 'paprika', 'cumin', ' Pourcentages exprimés sur le total de la recette', ' Traces éventuelles de poisson', 'crustacés', 'mollusques', 'oeuf', 'moutarde et céleri', ' Elaboré à partir de lait origine UE']",['Non végétalien'],?,,262,+8%,1096 kj(262 kcal),+7%,"9,6",+1%,"5,5",+11%,30,+11%,"3,1",+9%,12,+8%,"0,9",-27%,"0,36",-27%,11,+11%,D,+11%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,1170 g,,"['Nutriscore', 'Nutriscore C']",9.6 g,en quantité modérée,5.5 g,en quantité élevée,3.1 g,en faible quantité,0.9 g,en quantité modérée,['Auchan'],['Auchan'],,,,,"['Gluten', 'Lait']",4,"['E14XX - Amidons modifiés', 'E260 - Acide acétique']",,,,,
944,Yaourt côté épices,3770003164098,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,"Mix cacahuète, amande, noix de cajou",5000234051675,,,['France'],[],[],?,,588,,2460 kj(588 kcal),,47,,"8,4",,"11,1",,"3,9",,"26,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Confiture de lait - Lidl - 305g,20310394,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",['France'],"['Lait concentré reconstitué de Normandie 45% ', 'poudre de lait entier de Normandie', 'eau', 'crème stérilisée ', 'crème', 'stabilisant : carraghénanes', '2', 'sucre de canne', 'caramel ', 'sucre', 'eau', 'protéines de lait', '2', ""émulsifiant : mono et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,310,+4%,1297 kj(310 kcal),+5%,13,+135%,"9,5",+193%,41,-26%,37,-27%,6,-8%,"0,2",-41%,"0,08",-41%,20,+20%,E,+20%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,305 g,"['Pot', 'Verre']",['en:lait-francais-french-milk'],13 g,en quantité modérée,9.5 g,en quantité élevée,37 g,en quantité élevée,0.2 g,en faible quantité,['Lidl'],['Lidl'],Confiture de lait,,"['FR 47.326.015 CE', 'Virazeil (Lot-et-Garonne, France)']",,['Lait'],4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
947,Creme De Cassis,3450970004855,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Crèmes de cassis']",['France'],[],[],?,,245,,1025 kj(245 kcal),,"40,9",,,,"40,9",,,,0,,0,,0,,,,,,63.1%,4.5%,22.9%,6.4%,2.0%,1.1%,36,,,,,,,,,,,,,,,,,,,,,,,,,
948,M&M's chocolat blanc,0400005271526,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Zucker-einhörner/décor licornes en sucre - 90g,4022500135415,,,"['France', 'Allemagne']",[],[],?,,419,,1753 kj(419 kcal),,"4,3",,"0,8",,94,,88,,"0,6",,0,,0,,,,,,,,,,,,,90g,,,,,,,,,,,,,,,,,,,,,,,,
950,granions de sélénium - 30ampoules buvable,3400936667396,,['Compléments alimentaires'],['France'],"['sélénium 0,96 mg Pour une ampoule de 2 ml', 'excipient à effet notoire :hydrosulfite de sodium']",[],?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,30 ampoules buvable,"['ampoule en verre', 'boîte en carton']",['Oligoéléments'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,['Granions'],['Pharmacie'],,,,,,,,,['Monaco'],,['France'],
951,Flûtes,7610216480782,,,['France'],[],[],?,,511,,2138 kj(511 kcal),,28,,9,,46,,3,,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,"Tartimouss, chocolat au lait noisette - Graine de choc - 230g",3770012968007,C,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao', 'Goûters']","['Belgique', 'France']","['Purée de féveroles 42% ', 'féveroles', 'eau', 'sucre 31%', 'chocolat au lait 14', '6% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'noisettes 11', '5%', 'jus de citron']",['Non végétalien'],?,,324,-41%,1356 kj(324 kcal),-41%,"12,9",-62%,"3,88",-49%,43,-16%,"40,02",-16%,"6,35",-7%,"0,03",-71%,"0,012",-71%,10,-52%,C,-52%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,230 g,['Pot en verre'],"[""1er prix Prot'Eat""]",12.9 g,en quantité modérée,3.88 g,en quantité modérée,40 g,en quantité élevée,0.03 g,en faible quantité,['Graine de choc'],"['Intermarché Senlis', 'Intermarché Noyon', 'Intermarché Roye', 'Intermarché Rosières-en-Santerre']",Pâte à tartiner chocolatée à base de féveroles,,,,['Fruits à coque'],4,['E322i - Lécithine'],,['France'],http://www.grainedechoc.com/tartimouss-chocolat-lait-noisette-c2x28908162,"['France', 'Picardie']",
953,Escalopes panées de soja - Monoprix,0002000001193,,,['France'],[],[],?,,237,,992 kj(237 kcal),,11,,"1,1",,18,,"0,5",,14,,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],,,,,,,,,,,,
954,Goldina -,6191402900518,,,"['France', 'Tunisie']","['Huiles végetales ', 'palme', 'soja', 'palmiste', 'eau', 'lactosérum ', 'lait', ' ', 'E471-E322 émulsifants vegetaux', 'E202 [conservateur]', 'E330facidifiant', 'sel ', '0', '1 %', 'arôme naturelles', 'vitamines E ', '10mg/100g', ' et A ', '0', '9mg/100g', 'additif alimentaire ', 'E160 a [colorant]', ' Taux de matière grasse total', ' min 80%']","['Huile de palme', 'Non végétalien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",['Huile de palme'],['Tunisie'],,,
955,Velouté de 10 légumes - U - 350g,3256227087851,,"['Plats préparés', 'Soupes']",['France'],"['Légumes 47% ', 'carotte 10%', 'purée de tomate 6%', 'courge butternut 5%', 'petit pois 5%', 'oignon 5%', 'pomme de terre 5%', 'poireau 4%', 'courgette 3%', 'celeri 2%', 'haricot vert 2%', 'eau', 'creme 3%', 'farine de ble', 'ail', 'huile de tournesol', 'sel', ' traces éventuelles de moutarde', 'oeuf', 'poisson', 'mollusques et crustacés']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",204,-6%,49,-14%,204 kj(49 kcal),-14%,"2,6",+34%,"0,9",+49%,"4,7",-18%,"2,1",+21%,"1,1",-50%,"0,79",-9%,"0,316",-9%,1,-39%,B,-39%,,,,,,,,350 g,,"['Cuisiné en France', 'Sans additifs']",2.6 g,en faible quantité,0.9 g,en faible quantité,2.1 g,en faible quantité,0.79 g,en quantité modérée,['U'],['Magasins U'],,,,,"['Céleri', 'Gluten', 'Lait']",3,,,,,,
956,Eurocrem Filbi 125G,8601900704023,,,['France'],[],[],?,,524,,2192 kj(524 kcal),,28,,"8,9",,62,,30,,6,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Mélange à Soupe (crème De Brocoli - Faible En Gras) - Knorr,0055220065131,,,['France'],"['AMIDON DE MAÏS', 'FARINE DE BLÉ', 'CHOU-FLEUR ET BROCOLI SÉCHÉS', 'SUBSTANCES LAITIERES MODIFIÉES', 'SEL', 'PROTÉINE DE MAÏS HYDROLYSÉE', 'ARÔME NATUREL', 'HUILE DE TOURNESOL À HAUTE TENEUR OLEIQUE', 'GOMME DE GUAR', ""POUDRE D'OIGNON"", 'GUANYLATE DISODIQUE', 'INOSINATE DISODIQUE', 'EXTRAIT DE LEVURE', 'SUCRE', 'ÉPICE', ' CONTIENT:LAIT', 'BLÉ', ' PEUT CONTENIR DU SOJA ET DES SULFITES']",['Non végétalien'],?,,377,,1577 kj(377 kcal),,"0,5",,0,,0,,0,,1,,"0,56",,"0,224",,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Arômes naturels', 'en:Verified']",,,,,,,,,['Knorr'],,,,,,"['Gluten', 'Lait']",4,"['E412 - Gomme de guar', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,,,,
958,GWELL GROS LAIT au lait de Bretonne pie noir,3511900020106,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Fleur d’oranger - Fragonard - 75ml,3612060139483,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75 ml,,,,,,,,,,,['Fragonard'],,,,,,,,,,,,,
960,Vers Sap,8718906407060,,,['France'],[],[],?,,35,,146 kj(35 kcal),,0,,0,,8,,8,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Amandes effilées - Dia,8480017054951,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes effilées']",['France'],[],[],?,,610,-2%,2552 kj(610 kcal),-2%,52,-4%,"4,3",+2%,5,-34%,"4,8",+11%,26,+14%,"0,1",+214%,"0,04",+214%,2,,B,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,52 g,en quantité élevée,4.3 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,['Dia'],['Dia'],,,,,,,,,,,,
962,Kleine Kanjers,8710739492886,,,['France'],[],[],?,,468,,1958 kj(468 kcal),,"20,8",,"11,6",,"65,8",,"38,2",,"3,9",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Barres de muesli - Delicia - 200g = 8Riegel,20223120,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Petit-déjeuners', 'Céréales et dérivés', 'Barres', 'Céréales pour petit-déjeuner', 'Barres de céréales', 'Mueslis', 'Mueslis au chocolat']","['Autriche', 'République tchèque', 'France', 'Allemagne']","['Hafervollkornflocken 31 %', 'Vollmilchschokolade 14% ', ' Zucker', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Emulgator: Lecithine', 'Weizen-Schoko-Extrudat ', 'Weizenmehl', 'Zucker', 'fettarmes Kakaopulver', 'Weizenstärke', 'Gerstenmalzextrakt ', 'Glukosesirup', 'Glukose-Fruktose-Sirup', 'Weizen-Extrudat ', 'Weizenvollkornmehl', 'Zartbitterschokoladentropfen 3% ', 'Kakaomasse', 'Zucker', 'fettarmes Kakaopulver', 'Kakaobutter', 'Emulgator: Lecithine', 'Sonnenblumenöl', 'Kakaomasse', 'gezuckerte Kondensmilch ', 'Vollmilch', 'Zucker', 'Feuchthaltemittel: Glycerin', 'Emulgator: Lecithine', 'natürliches Aroma']",['Non végétalien'],1716,-8%,408,-8%,1716 kj(408 kcal),-7%,"12,1",-24%,"4,9",-5%,"64,5",+5%,"25,5",+34%,"7,8",-16%,"0,04",-84%,"0,016",-84%,9,-1%,C,-1%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,200 g = 8 Riegel,"['Karton', 'Kunststoff']","['Commerce équitable', 'Fairtrade International', 'en:FSC', 'FSC Recyclé', 'de:Fsc-c016368']",12.1 g,en quantité modérée,4.9 g,en quantité modérée,25.5 g,en quantité élevée,0.04 g,en faible quantité,['Delicia'],['Norma'],Barres de muesli avec du chocolat au lait et des pépites de chocolat noir,,,,"['Gluten', 'Lait']",4,"['E322 - Lécithines', 'E422 - Glycérol']",,"['D-23568', 'Germany']",,,
964,Franboises 500g - Fruits Rouges & Co. - 500g,3385630083683,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges']",['France'],[],[],183,-34%,?,,183 kj(44 kcal),-33%,"0,36",-13%,"0,012",-82%,"4,26",-68%,"4,26",-60%,"1,28",+37%,0,-100%,0,-100%,-10,,A,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,500 g,"['Barquette', 'Plastique']",,0.36 g,en faible quantité,0.012 g,en faible quantité,4.26 g,en faible quantité,0 g,en faible quantité,['Fruits Rouges & Co.'],,,,,,,,,,,http://www.fruitsrougesandco.com/,['Maroc'],
965,Boulgour et quinoa,8008705025702,,,['France'],[],[],?,,145,,607 kj(145 kcal),,"1,7",,"0,3",,25,,"0,4",,"5,8",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Knepfle ail des purs,3760246020138,,,['France'],[],"['Végétalien', 'Végétarien']",?,,169,,707 kj(169 kcal),,"2,7",,"0,5",,"30,8",,"0,7",,"3,8",,"1,2",,"0,48",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,
967,MacDonalds scottish shortbread selection,5010909004516,,,['France'],[],[],?,,523,,2188 kj(523 kcal),,29,,"10,3",,"61,7",,23,,"5,5",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,château lieumenant - bordeau superieur - 75cl,3438910866176,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,['Bouteille'],,,,,,,,,,['bordeau superieur'],,,,,,,,,,,,['France'],
969,Gateau breton,20291037,,,['France'],[],[],?,,455,,1904 kj(455 kcal),,22,,15,,58,,31,,"5,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Tourtons aux épinards,3760072090039,,,['France'],[],[],?,,319,,1335 kj(319 kcal),,"16,4",,"8,9",,"33,3",,"1,4",,"6,7",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Cremant de BOURGOGNE,3058080122430,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins effervescents', 'Crémant de Bourgogne']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],
972,Riz étuvé - Leader Price - 5kg,3425143200051,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']","['France', 'Guadeloupe']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,5kg,['Sac'],,,,,,,,,,['Leader Price'],['Leader Price'],,,"['EMB 971030D', 'Baie-Mahault (Guadeloupe, France)', 'EMB 97103D', 'Baie-Mahault (Guadeloupe, France)']",,,,,,,,,
973,Nobe Aloe Vera Original - 250ml,7340116870009,,"['Boissons', 'en:Mixed drinks']",['France'],[],[],?,,165,+195%,690 kj(165 kcal),+186%,0,-100%,0,-100%,8,-29%,"7,5",-21%,0,-100%,"0,02",-52%,"0,008",-52%,15,+96%,E,+96%,,,,,,,,250ml,['Plastic'],,0 g,en faible quantité,0 g,en faible quantité,7.5 g,en quantité élevée,0.02 g,en faible quantité,['Nobe'],,,,,,,,,,,,,
974,Nectar pomme - Casino,3222477067370,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pomme']",['France'],"['Jus de pomme à base de concentré 75% - eau', ' ""Ingrédient issu de l\'agriculture biologique']",[],?,,32,-18%,134 kj(32 kcal),-18%,0,-100%,0,-100%,"8,1",-14%,"7,3",-18%,"0,5",+67%,"0,03",+209%,"0,012",+209%,6,-33%,D,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",0 g,en faible quantité,0 g,en faible quantité,7.3 g,en quantité élevée,0.03 g,en faible quantité,['Casino'],['Casino'],,,,,,1,,,,,,
975,"KG Poulet Basquaise Agis (1,25KG Agis)",3366760023589,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agis'],,,,,,,,,,,,,
976,Whiskas contrôle du tartre aux poissons - 40g,50159529,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,,,,,,,,,,,,,,
977,mâche,3760114461612,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Cordon bleu de dinde,2294504057464,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,['Frais'],,,,,,,,,,,,,,,,,,,,,,,
979,"Cointreau Liqueur Mini 50ML, 40% - 0.05L",30063655,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],"['alcool', 'sucre', ""écorce d'orange""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,0.05 L,"['Mignonnette', 'Verre']",,,,,,,,,,['Cointreau'],,,,,,,3,,,['Anger'],,,
980,Barre énergétique Cranberry-Coco,3770008500099,,,['France'],[],[],?,,479,,2004 kj(479 kcal),,"30,2",,"5,73",,34,,"5,35",,"6,21",,1,,"0,4",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,
981,CLASSIQE BURGER,3770008962019,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,
982,Moutarde de Dijon forte - Lesieur Professionnel - 500g,3265470011391,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",['France'],[],[],?,,149,-6%,623 kj(149 kcal),-6%,11,-4%,"0,8",+5%,"3,2",-12%,"2,7",+20%,"7,2",+0%,"6,5",+10%,"2,6",+10%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,500 g,,"['Halal', 'Fabriqué en France', 'Produits destinés aux professionnels', 'Association Rituelle de la Grande Mosquée de Lyon']",11 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,"['Lesieur Professionnel', 'Lesieur']",['Noz'],,,,,,,,,['France'],,,
983,Ice tea - Lipton,8690574842063,,,['France'],[],[],?,,19,,79 kj(19 kcal),,0,,0,,"4,6",,"4,5",,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,['Lipton'],,,,,,,,,,,,,
984,Sarrasinettes,3770001588254,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,
985,Rouleau de printemps,0204803032477,B,"['Plats préparés', 'Rouleaux de printemps']",['France'],[],[],?,,233,+43%,975 kj(233 kcal),+44%,2,-62%,0,-100%,33,+54%,15,+334%,14,+194%,"2,1",+69%,"0,84",+69%,14,+247%,D,+247%,48.7%,15.5%,7.3%,11.0%,3.7%,13.8%,84,,,,2 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,2.1 g,en quantité élevée,,,,,,,,,,,,,,
986,Club home made salade,5425016572108,,,['France'],[],[],?,,196,,820 kj(196 kcal),,"10,7",,"4,2",,"8,8",,"2,3",,"7,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Fresas con nata - Solano,4043041010481,,,['France'],[],[],?,,257,,1075 kj(257 kcal),,"3,6",,"2,5",,"92,1",,"0,2",,"0,2",,"0,33",,"0,132",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,['Solano'],,,,,,,,,,,,,
988,Fitou Rouge Jean Sisa,3288841014012,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Fitou']",['France'],[],[],?,,68,+127%,285 kj(68 kcal),+126%,0,-100%,0,-100%,"0,2",-93%,"0,05",-96%,"0,1",-82%,0,-100%,0,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],
989,Nutricia Fortimel Extra 2 kcal,8716900576539,,,['France'],[],[],?,,402,,1682 kj(402 kcal),,"8,6",,"0,85",,21,,"15,6",,"10,1",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,['Nutricia'],,,,,,,,,,,,,
990,Wyborowa Vodka 700ml,5900685006197,,,"['Belgique', 'France']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,
991,Soft baked banana bread - Belvita,0044000034207,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['France', 'États-Unis']","['whole grain blend ', 'cracked buckwheat', 'rolled oats', 'rye flakes', 'enriched bleached flour [wheat flour', 'niacin', 'reduced iron', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'canola oil', 'sugar', 'whole grain wheat flour', 'raisin paste', 'polydextrose', 'banana puree', 'wheat starch', 'glycerin', 'invert sugar', 'cornstarch', 'molasses', 'baking soda', 'soy lecithin', 'salt', 'natural flavor', 'ferric orthophosphate ', 'iron', 'niacinamide', 'pyridoxine hydrochloride ', 'vitamin b6', 'riboflavin ', 'vitamin b2', 'thiamin mononitrate ', 'vitamin b1', ',']",[],?,,400,-16%,1674 kj(400 kcal),-16%,16,-23%,2,-80%,64,0%,18,-39%,6,-8%,"0,6",+2%,"0,24",+2%,2,-90%,B,-90%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,16 g,en quantité modérée,2 g,en quantité modérée,18 g,en quantité élevée,0.6 g,en quantité modérée,"['Belvita', 'Mondelez']",,,,,,"['Gluten', 'Soja']",4,"['E1200 - Polydextrose', 'E422 - Glycérol', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,,,,Nabisco Biscuit Company
