,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
223,Capsules Arabica Perou - Moka - 55g,3760264900054,,,55 g,['Boîte en carton'],['Moka'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,['France'],['Café BIO 100% ARABICA'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'PL-EKO-06']",,,,,,,
224,Bonbons de chocolat - Vanden Bulcke,5411333996550,,,,,['Vanden Bulcke'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,,['France'],"['sucre', 'graisses végétales ', 'palme', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'noisettes ', '1', '8%', 'lait écrémé en poudre', 'cacao maigre en poudre', 'lactose ', 'lait', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', ' Peut contenir des traces de fruits à coque', 'gluten', 'arachides et oeuf', ' Chocolat au lait: cacao 33% minimum']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,34 g,en quantité élevée,21 g,en quantité élevée,56 g,en quantité élevée,0.1 g,en faible quantité,?,,559,+6%,2339 kj(559 kcal),+6%,34,+6%,21,+21%,57,+9%,56,+18%,4,-32%,"0,1",-35%,"0,04",-35%,26,+7%,E,+7%,,,,,,,,['Fabriqué en Belgique'],,['E322i - Lécithine'],,"['Lait', 'Fruits à coque']",,,
225,Noix de Saint-Jacques avec corail 20/40 asc - Ronde des Mers - 300g,3564706553323,,,300 g,['Sachet plastique'],"['Ronde des Mers', 'Marque Repère']",,,,,['Leclerc'],['France'],"['Noix de Saint-Jacques ', 'Argopecten purpuratus', ' Traces de poissons et crustacés']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,,375,,?,,375 kj(90 kcal),,"0,8",,"0,2",,"5,3",,"1,2",,15,,"0,4",,"0,16",,,,,,,,,,,,,,,,,['Mollusques'],,,
226,foie gras de canard du SO entier IGP 2 tranches - Casino Délices - 70g,3222477074248,B,Foie gras de canard entier du Sud-Ouest,70 g,,"['Casino Délices', 'Casino']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,,['Casino'],['France'],"['Foie gras de canard du Sud-Ouest - Porto 1', '5% - sel 1', '2% - Armagnac 0', '4% - poivre 0', '2% - conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,2237,+1%,543,+3%,2237 kj(543 kcal),+1%,56,+3%,24,+3%,"2,2",-8%,"0,9",-32%,"7,5",-0%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
227,Bloc de foie gras de canard avec morceau - Netto - 300g,3250392697549,A,,300 g,['Film en plastique'],['Netto'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Bloc de foie gras avec morceaux']",,,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",['Netto'],['France'],"['Foie gras de canard', 'morceaux de foie gras de canard 30%', 'eau', 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,54.1 g,en quantité élevée,24.4 g,en quantité élevée,1.8 g,en faible quantité,1.5 g,en quantité modérée,?,,518,+5%,2167 kj(518 kcal),+6%,"54,1",+6%,"24,4",+11%,"2,2",-1%,"1,8",+43%,"5,8",-9%,"1,5",+20%,"0,6",+20%,22,+7%,E,+7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
228,Morbier au lait cru Vieille Réserve,3324440492803,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,,,['France'],[],[],,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.58 g,en quantité élevée,?,,363,+3%,1519 kj(363 kcal),+3%,30,+4%,21,+8%,"1,3",+67%,"0,5",+20%,22,-3%,"1,58",+10%,"0,632",+10%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
229,Dayang Multivitamines,3760162130706,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,
230,Gâteau de Noël aux fruits,3173310020239,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,368,,1540 kj(368 kcal),,"11,5",,"8,1",,"59,5",,"25,2",,"7,6",,"0,8",,"0,32",,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
231,Lait de soja à la banane - Alpro,5411188122005,B,Boisson au soja saveur banane,,,['Alpro'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",,,,,['France'],[],[],,1.8 g,en quantité modérée,0.3 g,en faible quantité,5.9 g,en quantité modérée,0.1 g,en faible quantité,?,,58,+16%,243 kj(58 kcal),+15%,"1,8",-7%,"0,3",-17%,"7,3",+53%,"5,9",+46%,3,-9%,"0,1",+13%,"0,04",+13%,0,,B,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,"['en:gluten-free', 'Enrichi en vitamines', 'Enrichi en calcium']",,,,,,,
232,Pruneaux d'Agen - Maison Roucadil - 500g,3595120011670,E,,500 g,,['Maison Roucadil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,,,['France'],[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,0.01 g,en faible quantité,?,,232,-4%,971 kj(232 kcal),-4%,"0,5",+39%,"0,1",-12%,53,-1%,35,-4%,"1,6",-14%,"0,01",-28%,"0,004",-28%,4,+83%,C,+83%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,['Sans conservateurs'],,,,,,,
233,Pomodorini al naturale - Riscossa,8011780004623,,,,,['Riscossa'],,,,,,['France'],[],[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,1",,0,,"3,5",,"1,5",,"1,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,
234,Foie gras de canard entier - Labeyrie - 270g,3033610035930,B,,270 g,,['Labeyrie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,,,['France'],"['Foie Gras de Canard du Sud-Ouest', 'sel', 'poivre', 'sucre', 'conservateur : E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,55 g,en quantité élevée,23 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,?,,534,+1%,2234 kj(534 kcal),+1%,55,+1%,23,-0%,"2,4",-1%,"1,9",+41%,"7,3",-3%,"1,2",0%,"0,48",0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
235,Panettone magnum classico,8003475003516,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,16 g,en quantité modérée,9.5 g,en quantité élevée,26 g,en quantité élevée,0.59 g,en quantité modérée,?,,381,+2%,1594 kj(381 kcal),+2%,16,+7%,"9,5",+6%,52,+1%,26,+0%,"7,6",+11%,"0,59",+34%,"0,236",+34%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,['Fabriqué en Italie'],,,,,,,
236,Dattes,3191220005986,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,302,,1264 kj(302 kcal),,"0,5",,0,,"70,6",,"1,3",,"3,1",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,
237,Creamy strawbery/Fraise -,4040600987093,,,,,,,,,,,['France'],"['Yaourt', 'sucre', 'fraise 4,5% ', 'fraises', 'jus de fraise fabriqué à partir de concentré defraise', 'amidon modifié', 'sirop de glucose-fructose', 'épaississant : pectine', 'arôme', 'colorant : carmins sans gélatine']",['Non végétalien'],4,,,,,,,,,?,,100,,418 kj(100 kcal),,6,,"4,2",,17,,15,,2,,"0,13",,"0,052",,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E120 - Acide carminique']",,['Lait'],,,
238,Gefro Gemüsecremesuppe,4250589701539,,,,,['Gefro'],,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
239,Confiture oranges amères - La Cour d'Orgères,3760194183763,D,,,,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]",,,,,['France'],[],[],,5 g,en quantité modérée,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,233,+0%,975 kj(233 kcal),+1%,5,+2132%,0,-100%,55,-1%,55,+3%,4,+817%,0,-100%,0,-100%,11,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Fabriqué en France'],,,,,,,
240,Yilma,3760256100004,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
241,Onglet - Charal - 0.139kg,2494593026246,,,0.139 kg,,['Charal'],,,,,,['France'],[],[],,,,,,,,,,?,,153,,640 kj(153 kcal),,"8,6",,"3,9",,0,,0,,19,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,
242,Lamelles de citron,3330314000258,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,"0,5",,"0,3",,76,,48,,1,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,
243,Perles de saveurs Monbazillac et Or,3467740029208,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,106,,444 kj(106 kcal),,0,,0,,18,,17,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,
244,Crema de Verduras,8422028001951,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",,,,,['France'],[],[],,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en faible quantité,0.6 g,en quantité modérée,?,,49,+26%,205 kj(49 kcal),+26%,"3,1",+101%,"0,5",-17%,"4,1",-14%,"1,6",-14%,"1,19",+40%,"0,6",-7%,"0,24",-7%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['en:gluten-free'],,,,,,,
245,Riz parfumé Jasmine CASSÉ 2 FOIS,1020254934691,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,348,,1456 kj(348 kcal),,0,,0,,79,,0,,7,,0,,0,,,,,,,,,,,,,,,,,,,,
246,Buche rocher - Van Den Casteele - 650grs,3475883000091,B,,650 grs,['boîte carton'],['Van Den Casteele'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,"['FR 59.546.030 CE', 'Saint-Sylvestre-Cappel (Nord, France)']",,['France'],"['DIENTS : LAIT entier frais 55% ', 'Origine Haut de France', 'crème de LAIT e UE', 'sucre', 'pâte de PRALINĖ ', 'sucre', 'NOISETTES', 'AMANDES', 'stabillsant: sa ant: lécithine de SOJA', ""jaunes d'OEUFS"", 'glucose', 'protéines de LAIT', 'cér antes ', 'farine de BLÉ ', 'GLUTEN', 'sucre', 'malt de BLE ', 'GLUTEN', 'amidon de de EN', 'poudre à lever: carbonate acide de sodium', 'cacao', 'arôme naturel de v n ', 'Origine Madagascar', 'décors', 'beurre de cacao', 'masse de cacao', 'SUcre', 'po - émulsifiant: lécithine de SOJA', 'extrait de vanille', 'LAIT écrémé en poudre', 'oncentré sucré', ""correcteur d'acidité: acide citrique"", 'humectant: glycérol', 'épaissis ', 'conservateur: sorbate de potassium', 'graisse végétale: karité', 'colorants ', 'oxyd xyde de fer', 'brillant ot', 'brun ambré', 'bleuu brillant', 'charbon végétal', ',gélifiants C e graines de caroube', 'tarine de guar', ""mono et diglycèrides d'acides gras"", 'alginat carraghénanes', 'sel', ' ans un ateier utilisant : LAIT', ' OEUFS', 'BLE ', 'GLUTEN', 'ARACHIDES', 'FRUITS A COQUES', 'SOJA']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,11 g,en quantité modérée,6.4 g,en quantité élevée,44 g,en quantité élevée,0.13 g,en faible quantité,?,,290,+24%,1213 kj(290 kcal),+25%,11,-6%,"6,4",-16%,44,+58%,44,+88%,"2,9",-8%,"0,13",-13%,"0,052",-13%,18,+34%,D,+34%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E330 - Acide citrique', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E153 - Charbon végétal médicinal', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E400 - Acide alginique']",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,
247,"Pintade farcie - Thiriet - 1,2kg",3292590852641,C,,"1,2 kg",['surgelé'],['Thiriet'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille']",,,"['EMB 85065B', 'Chavagnes-en-Paillers (Vendée, France)']",['Thiriet'],['France'],"['sa INGREDIENTS PINTADE SEMI DÉSOSSÉE 69% ', 'volaille française', ' FARCE 24% : viande de dinde 47,6% ', 'volaille française', 'gras de porc 15% ', 'eau', 'morilles 3,1% ', 'morilles', 'eau', 'sel', 'foie de poulet', 'chapelure ', 'farine de blé', 'sel', 'acidifiant lactate de sodium', 'Cognac Fine Champagne modifié 2,4% ', 'sel', 'poivre', 'colorant: caramel ordinaire', 'crème ', 'crème de lait', 'stabilisant: carraghénanes', 'raisins de Corinthe 1,5% ', 'huile de coton ou huile de tournesol', 'oignons frits ', 'oignons', 'huile de tournesol', ""poudre de blanc d'euf "", ""correcteur d'acidité: acide citrique"", 'arômes naturels', 'sel', 'épices et plantes aromatiques', ' ', 'Pourcentages exprimés sur la farce', ' BARDE DE PORC 7%', ' Présence éventuelle de soja', 'fruits à coque', 'moutarde et céleri']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,0.75 g,en quantité modérée,742,+18%,225,+29%,742 kj(225 kcal),+4%,17,+96%,"6,2",+123%,"1,1",-89%,0,-100%,17,+65%,"0,75",-19%,"0,3",-19%,11,+201%,D,+201%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Vendée'],"['E325 - Lactate de sodium', 'E150a - Caramel E150a', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['France'],"['Céleri', 'Gluten', 'Lait', 'Moutarde', 'Fruits à coque']",,,
248,Gianduiotti - Novi,8006380233238,,,,,['Novi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,,['France'],[],[],,37.6 g,en quantité élevée,13.9 g,en quantité élevée,44.3 g,en quantité élevée,0.09 g,en faible quantité,?,,569,+8%,2381 kj(569 kcal),+8%,"37,6",+18%,"13,9",-20%,"47,2",-10%,"44,3",-7%,"7,7",+31%,"0,09",-41%,"0,036",-41%,26,+7%,E,+7%,,,,,,,,,,,,,,,
249,Caviar - 1.05oz,3019896768328,,,1.05 oz,,,"['Œufs de poisson', 'Caviars']",,,"['FR 75.118.007 CE', 'Paris 18e  Arrondissement (Paris, France)']",,['France'],[],[],,18 g,en quantité modérée,4.2 g,en quantité modérée,0.7 g,en faible quantité,3.3 g,en quantité élevée,?,,270,+5%,1130 kj(270 kcal),+5%,18,+11%,"4,2",+11%,"1,1",-54%,"0,7",+34%,26,+3%,"3,3",+2%,"1,32",+2%,17,+6%,D,+6%,,,,,,,,,,,,,,,
250,6 macarons pâtissiers,3760238992986,D,,,,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,['France'],[],[],,23.3 g,en quantité élevée,8.08 g,en quantité élevée,44.6 g,en quantité élevée,0.13 g,en faible quantité,?,,435,+2%,1820 kj(435 kcal),+2%,"23,3",+31%,"8,08",+79%,"45,3",-19%,"44,6",-11%,"9,2",+7%,"0,13",-9%,"0,052",-9%,22,+25%,E,+25%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,
251,Passata,8012801001966,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,"4,6",,"3,9",,"1,5",,"0,03",,"0,012",,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,
252,Petits grains Oranges confites,3364474464209,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,563,,2356 kj(563 kcal),,"34,9",,"21,3",,"55,2",,"50,6",,"5,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,
253,SCRABBLE Édition chocolat,8718347517649,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,545,,2280 kj(545 kcal),,32,,20,,56,,55,,"6,2",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,
254,"Boulettes de porc aux oignons frits - defial normival - 0,480kg",3445420023784,,,"0,480 kg",['Sachet'],['defial normival'],,,,"['FR 76.400.001 CE', 'Luneray (Seine-Maritime, France)']",,['France'],"['Viande de porc ', '85', '9%', 'oignons frits ', '8%', 'eau', 'sel', 'épices et plantes aromatiques', 'légumes et extrait de légume Jus concentré de blette', 'betterave rouge', 'extrait de carotte', ""vinaigre d'alcool déshydraté"", 'dextrose', 'arômes naturels', 'saccharose', ""jus concentré d'acérola déshydraté"", 'ferments']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,1293,,312,,1293 kj(312 kcal),,26,,10,,"5,2",,"1,3",,13,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,
255,"Harenga Kaviar Ehem. Avruga, Aus Geräuchertem Hering",8427610000053,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,308,,1289 kj(308 kcal),,"4,6",,"1,5",,6,,"1,4",,"2,1",,"2,06",,"0,824",,,,,,,,,,,,,,,,,,,,
256,Bio tortitas de cereales con trigo sarraceno y quinoa - Santiveri,8412170038813,,,,,['Santiveri'],,,,,,"['France', 'Espagne']",[],[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,"3,4",,"0,5",,78,,"0,7",,8,,"0,8",,"0,32",,,,,,,,,,,,,"['Sans gluten', 'Fabriqué en Espagne']",,,,,,,
257,Canneroni Rigati 21 - Divella - 500g,8005121000214,,,500 g,,['Divella'],,,,,,['France'],[],[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,"1,7",,"0,9",,72,,"3,9",,13,,"0,004",,"0,002",,,,,,,,,,,,,,,,,,,,
258,Pondoro Classico,8006073501057,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,28,,18,,40,,19,,8,,"0,5",,"0,2",,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
259,Yogourt au lait de la Gruyere Mocca - Milco,7610411003717,,,,,['Milco'],,,,,,['France'],[],[],,,,,,,,,,?,,109,,456 kj(109 kcal),,3,,"1,8",,17,,14,,"3,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
260,Stelle Ricotta e limone - COOP,7613331707024,,,,,['COOP'],,,,,,['France'],[],[],,,,,,,,,,?,,301,,1259 kj(301 kcal),,13,,"3,9",,31,,"6,3",,13,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
261,Pancakes,3525722024228,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,420,,1757 kj(420 kcal),,"15,93",,"5,28",,"35,18",,"2,83",,"35,89",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,
262,Tartinade de coco avec fèves de cacao - Bio Today,8719153023072,,,,,['Bio Today'],,,,,,['France'],[],[],,,,,,,,,,?,,514,,2151 kj(514 kcal),,45,,36,,21,,20,,"5,5",,"0,6",,"0,24",,,,,,,,,,,,,['Bio'],,,,,,,
263,"Maison montfort - grande selection bloc de foie gras de canard recette au champagne (1,8%) et duo de poivres s/vide 330g - origine - 330g",3104544071261,B,,330 g,,"['Montfort', 'Maison Montfort']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,['France'],"['Foie gras de canard ', 'origine France', 'eau', 'Champagne 1,8%', 'sel', 'poivre de Malabar 0,18%', 'sucre', 'poivre blanc 0,09 %', 'gingembre', 'cardamome', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.07 g,en quantité modérée,1999,-2%,485,-1%,1999 kj(485 kcal),-2%,50,-1%,21,-2%,"2,3",+8%,"0,9",-32%,6,-2%,"1,075",-12%,"0,43",-12%,19,-7%,E,-7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
264,Feuilletés escargot - Auchan,3596710468409,C,,,,['Auchan'],"['Viandes', 'Préparations de viande', 'Escargots', 'Escargots préparés']",,,,['Auchan'],['France'],"['Pâte feuilletée 52,9% ', 'farine de blé', 'beurre concentré 14,8% ', 'lait', ' ', 'eau', 'sel', 'oeuf', 'poudre à lever carbonates de sodium', 'beurre 19,8% ', 'lait', ""chairs d'escargots 3% "", 'mollusque', ' ', 'Helix ', 'lucorum', 'pomatia', 'aspersa', 'ail 4,6%', 'persil 2,8%', 'fécule de manioc', 'sel', 'épices', 'plantes aromatiques ', 'contient céleri']","['Non végétalien', 'Non végétarien']",3,32 g,en quantité élevée,22 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,?,,445,+36%,1862 kj(445 kcal),+35%,32,+3%,22,+5%,30,+812%,2,+82%,"8,2",-10%,"1,5",+9%,"0,6",+9%,19,+1%,E,+1%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,"['Nutriscore', 'Produit en braille', 'Nutriscore E']",,['E500 - Carbonates de sodium'],,"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Mollusques']",,,
265,Jambon en croûte,26066486,,,,,,,,,"['FR 67.529.005 CE', 'Weyersheim (Bas-Rhin, France)']",,['France'],[],[],,,,,,,,,,?,,198,,828 kj(198 kcal),,"7,3",,"3,1",,17,,"1,6",,16,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,
266,"24 Escargots de Bourgogne - Recette à la Bourguignonne - Farce au beurre, ail & persil - Casino - 178g",3222477074743,C,"24 escargots de Bourgogne préparés à la bourguignonne, calibre belle grosseur, surgelés",178 g,,['Casino'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,,,['Casino'],['France'],"[""Chairs d'escargots cuites "", 'helix pomatia', ' 50% - beurre 37,7% - ail réhydraté 6,7% - persil 4,7% - sel - épices - légumes et plantes aromatiques ', 'contient céleri']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,31 g,en quantité élevée,21 g,en quantité élevée,1.5 g,en faible quantité,1.3 g,en quantité modérée,1363,+40%,330,+30%,1363 kj(330 kcal),+29%,31,+53%,21,+54%,3,+29%,"1,5",+118%,9,-19%,"1,3",+9%,"0,52",+9%,18,+49%,D,+49%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,"['Céleri', 'Lait', 'Mollusques']",,,
267,Queue de gambas géantes sauvages,3367870300331,D,,,,,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas', 'Queues de gambas', 'Queues de gambas sauvages']",,,,,['France'],[],[],,1.9 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,?,,99,+12%,414 kj(99 kcal),+12%,"1,9",+150%,"0,3",+12%,"2,7",+658%,0,-100%,18,-10%,"0,5",-39%,"0,2",-39%,-2,,A,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,
268,Kirschstängeli - Lindt,7610400088404,,,,,['Lindt'],,,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,419,,1753 kj(419 kcal),,15,,9,,59,,57,,3,,,,,,,,,,,,,,,,,,,,,,,,
