,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
1257,Couscous,3439495120035,,['France'],[],,[],,?,360,1506 kj(360 kcal),2,"0,5",72,0,12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 25130', 'Châteauvieux-les-Fossés (Doubs, France)']",,,,,
1258,La Mayonnaise - Lesieur,3265475345002,['Lesieur'],['France'],"['Huiles végétales ', 'colza', 'tournesol', 'eau', 'vinaigre', 'jaune dweuf frais ', '5%', 'sel', 'sucre', 'jus concentre de citron', 'additifls alimentaires: épaississant: SIN1422', 'stabilisant:gomme xanthane', ""régulateur d'acidité: acide citrique"", 'colorants: luteine ', 'extrait de tagete', 'oléorésine de paprika', 'antioxydant:SIN385', 'arome moutarde', ' Peut contenir des traces de lait', 'moutarde et sulfites عمرسکر، ملج، ', '58، الطازج الیش مشار خل، ،هاه، الشص دواز لفت، نباتیة', ' :زیون الکونان حمشالحموفة: معدل الگزنان صمغ مشبت: JN :خن غذائية مضافان عرکز، لیمون للأکسدة:مضاد الفلفل، ', 'آولروزین الخعلیة الزدور عن مستخرج :لوتاین', ' علوذات السیزیلن، والدیسولفیت:والخودل الطلیبه من أثار على نحتوي قد اخرل نکية xsک Date de fabrication/n° lot/']","['E1422 - Adipate de diamidon acétylé', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E161b - Lutéine', 'E160c - Extrait de paprika', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",[],4,?,649,2715 kj(649 kcal),71,0,2,0,"0,7",0,0,,,"['Epicerie', 'Sauces', 'Mayonnaises']",71 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+6%,+6%,+7%,-100%,-26%,-100%,-43%,-100%,-100%,8,-55%,C,-55%,,,,,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
1259,Bücklingsfilets - RügenFisch - 200g,4012839511479,['RügenFisch'],"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,"['Pêche durable', 'Pêche durable MSC']",200g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Harengs', 'Poissons fumés', 'Harengs en conserve']",,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,B,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,,['MSC-C-50219'],,,,,
1260,Pain au chocolat - Leclerc,3201300000050,['Leclerc'],['France'],[],,[],,?,383,1602 kj(383 kcal),22,14,39,12,"6,6","0,83","0,332",,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",22 g,en quantité élevée,14 g,en quantité élevée,12 g,en quantité modérée,0.83 g,en quantité modérée,,-3%,-3%,+0%,+5%,-8%,0%,-8%,-8%,-8%,19,-4%,E,-4%,,,,,,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,
1261,Bouchees aperatives,27053362,,"['Belgique', 'France']",[],,[],,?,326,1364 kj(326 kcal),22,11,24,"1,8","7,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Minis babas au rhum,3173320002348,,['France'],[],,[],,?,278,1163 kj(278 kcal),"5,6","3,4",55,47,"2,4","0,18","0,072",,,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",5.6 g,en quantité modérée,3.4 g,en quantité modérée,47 g,en quantité élevée,0.18 g,en faible quantité,,+28%,+28%,+39%,+57%,+45%,+65%,+19%,-18%,-18%,16,+63%,D,+63%,,,,,,B,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,
1263,Huile de riz,8024358902436,,['France'],[],,[],,?,823,3443 kj(823 kcal),"91,5","21,04",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Toastinade Bio Champignons - L'atelier Bernard Marot,3760280490041,"[""L'atelier Bernard Marot""]",['France'],[],,[],,?,227,950 kj(227 kcal),"20,4","1,9","5,8",2,"4,9","2,1","0,84",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Far aux pommes - Yann de Bretagne - 800g,3516890002620,['Yann de Bretagne'],['France'],"['LAIT frais entier', 'farine de froment ', 'BLE', 'sucre', 'pommes fraîches 8%', 'beurre ', 'LAIT', 'ŒUFS frais', 'crème fraîche ', 'LAIT', 'sirop de glucose', 'sel', ' Contient du GLUTEN']",,['Non végétalien'],4,?,178,745 kj(178 kcal),"5,4","1,1","31,7",18,5,"0,3","0,12",['Sans conservateurs'],800g,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Fars']",5.4 g,en quantité modérée,1.1 g,en faible quantité,18 g,en quantité élevée,0.3 g,en quantité modérée,,-14%,-14%,-6%,-56%,-5%,-10%,-4%,-1%,-1%,4,-37%,C,-37%,,,,"['Œufs', 'Gluten', 'Lait']",,C,70.7%,20.7%,4.2%,2.1%,2.2%,0.0%,58,,,,,,,
1266,Kräutertee,4316268217019,,['France'],[],,[],,?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Biberbi dilim,4018342195274,,['France'],[],,[],,?,270,1130 kj(270 kcal),24,6,"2,5","0,5",11,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,OLIVENÖL NATIV EXTRA - Naturata,4024297008743,['Naturata'],['France'],[],,[],,?,900,3766 kj(900 kcal),100,18,0,0,0,0,0,"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'IT-BIO-006']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+29%,,,,-100%,-100%,7,+14%,C,+14%,,,,,,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1269,Isabel,8410111009564,['Isabel'],['France'],[],,[],,?,198,828 kj(198 kcal),10,"1,5",0,0,27,"1,2","0,48",['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Yaourt - Ayanodis - 1000g,4040328074037,['Ayanodis'],['France'],"['Joghurt nach griechischer Art ', '10% Fett']",,['Non végétalien'],1,569,136,569 kj(136 kcal),"10,9","6,9","5,8","5,8",4,"0,1","0,04",,1000 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",10.9 g,en quantité modérée,6.9 g,en quantité élevée,5.8 g,en quantité modérée,0.1 g,en faible quantité,+10%,+16%,+16%,+59%,+56%,-34%,-27%,-10%,-14%,-14%,6,+47%,C,+47%,['Kunststoff'],,,['Lait'],,,,,,,,,,,['SK 4-6-9 ES'],,,,,
1271,Creola de Coco Premium Kokosmilch - 400g,4013200883362,,"['France', 'Suisse']",[],,[],,?,180,753 kj(180 kcal),18,17,"3,5",2,"1,5","0,25","0,1",,400 g,,,,,,,,,,,,,,,,,,,,,,,,"['Dose', 'brique']",,,,,,,,,,,,,,,,,,,
1272,Coeurs de palmiers tendre - en cuisine - 800g,3560070229871,"['en cuisine', 'Carrefour']",['France'],"['Coeurs de palmiers', 'eau', 'sel', 'acidifiant: acide citrique', 'antioxydant: acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,107,26,107 kj(26 kcal),?,,"2,5","1,1","2,6","0,85","0,34",['Produits destinés aux professionnels'],800g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de plantes en conserve', 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier', 'Cœurs de palmier en conserve']",,,,,1.1 g,en faible quantité,0.85 g,en quantité modérée,-8%,-7%,-11%,,,-21%,+23%,+16%,+7%,+7%,,,,,['métal'],,['costa rica'],,,C,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,Coeur de palmier,,,['Carrefour'],,,Fabriqué au Costa Rica par DEMASA pour Interdis
1273,The noir saveur peche - Carrefour - 50g,3560070230525,['Carrefour'],"['France', 'Italie']","['Thé noir', 'arôme naturel', 'jus de pêche concentré en poudre 2%']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thé noir aromatisé saveur pêche,,,['Carrefour'],,,"Fabriqué en Inde et importé par Everton S.P.A. regione Bessiche 70, 15070 Tagliolo Monferrato (AL) for Interdis"
1274,"12 bavettes d'aloyau*** - Promocash - 2,1kg",3560070448814,['Promocash'],['France'],['100% viande bovine'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,?,?,,?,,?,,?,,,,"2,1 kg","['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,Viande bovine à griller - 12 bavettes d'aloyau*** crues congelées,"['FR 88.158.002 CE', 'Éloyes (Vosges, France)']",,"['Promocash', 'Carrefour']",,,Fabriqué en France par EMB 88158 pour Interdis.
1275,Coquelet - Carrefour,3560070479245,['Carrefour'],['France'],[],,[],,?,?,,?,,?,,?,,,"['Viande Française', 'Volaille Française', 'Produit certifié']",,['Coquelets'],,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,,,,,,"Coquelet prêt à cuire, sans abats.Produit frais. Classe A. Coquelet nourri sans OGM <0,9%. Né, élevé et abattu en France.",,,['Carrefour'],,Origine France,Conditionné en France par ARRIVE SAS pour INTERDIS
1276,Édulcorant Avec glycosides de stéviol extraits de la stévia - Carrefour - 75g,3560070849987,['Carrefour'],['France'],"['Maltodextrine', 'édulcorant : glycosides de stéviol 2%']","['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1625,382,1625 kj(382 kcal),?,,96,"6,7",?,,,,75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edulcorant de table à base de glycosides de stéviol, en poudre.",,,['Carrefour'],,,Fabriqué en Allemagne pour Krüger GmbH & Co. KG pour Interdis.
1277,Poires Demi-fruits - En Cuisine - 2600g,3560070950881,"['En Cuisine', 'Carrefour']",['France'],"['Demi-poires Williams', 'eau', 'sucre', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",[],3,264,62,264 kj(62 kcal),~ 0,~ 0,14,12,~ 0,0,0,"['Fabriqué en Espagne', 'Produits destinés aux professionnels']",2600 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Poires au sirop']",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,0 g,en faible quantité,-1%,-13%,-3%,-100%,-100%,-5%,-6%,-100%,-100%,-100%,-5,,A,,['Conserve'],,['Espagne'],,,A,31.2%,35.3%,16.8%,8.7%,8.0%,0.0%,95,Poires demi-fruits au sirop léger,"['EMB 75117Z', 'Paris 17e  Arrondissement (Paris, France)']",,['Carrefour'],,,Fabriqué en Espagne pour EMB75117Z pour INTERDIS
1278,Pancakes frais,3438330169109,,['France'],[],,[],,?,225,941 kj(225 kcal),"7,5","1,8","32,9","9,6","6,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,"L'original Pomme - Ifri - 1,25l",6130093062822,['Ifri'],"['Algérie', 'France']","['Eau', '92,6%', ',sucre ', '6,4 %', 'agent de carbonatation: dioxyde de carbone ', '0,75%', ',acidifiant: acide citrique', 'arôme naturel de pomme', ""colorant: Caramel au sulfite d'ammonium "", 'édulcorants: acésulfame de potassium et aspartame', 'antioxydant: acide ascorbique', ' Contient une source de phenylalanine']","['E290 - Dioxyde de carbone', 'E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium"", 'E950 - Acésulfame K', 'E951 - Aspartame', 'E300 - Acide ascorbique']",[],4,?,27,113 kj(27 kcal),0,0,"6,4","6,4",0,0,0,"['Sans arômes artificiels', 'Contient une source de phénylalanine', 'Sans colorants', 'Sans conservateurs']","1,25 l","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits']",0 g,en faible quantité,0 g,en faible quantité,6.4 g,en quantité élevée,0 g,en faible quantité,,+8%,+9%,-100%,-100%,+5%,+8%,-100%,-100%,-100%,9,+9%,D,+9%,['Bouteille plastique'],,['Algérie'],,,C,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,
1280,Crostino,8000270702194,,['France'],[],,[],,?,416,1741 kj(416 kcal),"8,5","0,9","4,1","0,2","12,2","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Bun bo hue - Vifon,8934561272007,['Vifon'],['France'],[],,[],,?,365,1527 kj(365 kcal),"5,8","3,2","71,2",7,"6,8","6,6","2,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Yaourt Vanille au granola - Activia,5060360502960,['Activia'],['France'],"['vanilla yogurt ', '88%', ': yogurt ', 'milk', 'water', 'sugar ', '5', '5%', 'natural flavouring', 'vanilla', 'acidity regulators ', 'citric acid', 'calcium citrate', 'modified starch', 'stabilisers ', 'pectin', 'guar gum', 'colouring ', 'beta caroten', 'curcumin', ' cereal clusters ', '12%', ': oat flakes', 'sugar', 'cereal crispies ', 'maize', 'rie', 'sugar', 'whole wheat flour', 'rye', 'barley', 'barley malt', 'low fat cocoa powder', 'salt', 'sunflower oil', 'wheat flour', 'rye flour', 'wheat germ', 'coconut faes', 'dextrose', 'honey', 'salt', ' may contain nuts', 'sesame', 'other cereals containing gluten', 'soy and ges use by ', 'dd/mm', ': see top', ' leep refrigerated between 1°c and  6°cmax d and topper may not be sold separately 960']","['E330 - Acide citrique', 'E333 - Citrates de calcium', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E100 - Curcumine', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",['Non végétalien'],4,?,185,774 kj(185 kcal),"3,3","1,4",30,"18,2","8,7","0,16","0,064",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",3.3 g,en quantité modérée,1.4 g,en faible quantité,18.2 g,en quantité élevée,0.16 g,en faible quantité,,+101%,+102%,+1%,-32%,+173%,+80%,+131%,+39%,+39%,2,-35%,B,-35%,,,,"['Gluten', 'Lait']",,,,,,,,,,,,,,,,
1283,Huile de table - AFIA - 5litres,6111245470030,['AFIA'],"['France', 'Maroc']","['Huile de Soja 95%', 'Huile de Maïs 5%', 'Provitamine A']",,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",3,3700,0,3700 kj(0 kcal),15,15,0,0,0,0,0,,5 litres,['Huile de table'],15 g,en quantité modérée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,20,,E,,['Plastique'],,,,,,,,,,,,,,,,,,,
1284,Catanies dark chocolate,8437000889908,,['France'],[],,[],,?,571,2389 kj(571 kcal),"39,25","14,21","44,87","30,62","6,72","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Haribo - 180g,8426617006747,['Haribo'],"['France', 'Espagne', 'Suisse']",[],,[],,?,335,1402 kj(335 kcal),"0,5","0,1",80,57,"4,4","0,07","0,028",,180 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.5 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.07 g,en faible quantité,,-3%,-3%,+25%,-40%,-0%,-1%,+20%,-39%,-39%,14,-1%,D,-1%,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1286,Soufflé au fromage,3439496608372,,['France'],[],,[],,?,246,1029 kj(246 kcal),14,"8,6",17,"0,9",13,"1,1","0,44",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 69259C', 'Vénissieux (Rhône, France)']",,,,,
1287,7610200046291,7610200046291,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Pois chiches grillés,3700056705658,,['France'],[],,[],,?,376,1573 kj(376 kcal),"8,6",0,"56,7",0,"19,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,Noix de coco déshydratée - Manola,3760091570048,['Manola'],['France'],[],,[],,?,529,2213 kj(529 kcal),"32,5","24,8","50,4","48,8","3,2","0,053","0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,Chiacchiere,8012705400025,,['France'],[],,['Sans huile de palme'],,?,632,2644 kj(632 kcal),"48,5","6,7","41,3","9,9","6,8","0,6","0,24",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Chocolat en poudre - Nestlé - 250g,5415245082509,"['Nestlé', 'Nestlé Dessert']",['France'],"['Cacao en poudre non sucré', ""correcteurs d'acidité "", 'carbonates de potassium', 'hydroxyde de sodium']","['E501 - Carbonates de potassium', 'E524 - Hydroxyde de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,387,1619 kj(387 kcal),21,13,"17,3","0,4","18,1","0,35","0,14",,250 g,"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre', 'Cacao en poudre brut non sucré']",21 g,en quantité élevée,13 g,en quantité élevée,0.4 g,en faible quantité,0.35 g,en quantité modérée,,+11%,+11%,+51%,+61%,-33%,-96%,+6%,+224%,+224%,15,+63%,D,+63%,['Carton'],,,,,E,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,,,
1292,Jalapeños avec fromage frais - J. Banks Food Company - 250g,7611350300103,['J. Banks Food Company'],['France'],"['jalapeños farcis 80% ', 'farine de blé', 'fromage frais 25%', 'piments jalapeño 22% [avec sel de cuisine', 'acidifiant: acide ascorbique', 'affermissant: E509]', 'huile de tournesol', 'crème [avec stabilisant: E407]', 'eau', 'farine de maïs', 'sel de cuisine', ""œuf entier en poudre [d'œufs d'élevage au sol"", 'protéines de lait', 'fécule de pommes de terre', 'fécule modifiée de pommes de terre', 'levure', 'épices', 'acidifiant: acide citrique', ""extrait d'épice"", ' sauce 20% ', 'sucre', 'eau', 'paprika', 'chili 2,5%', 'amidon modifié de maïs', ""vinaigre d'eau-de-vie"", 'jus de pomme', 'sel de cuisine', 'acidifiant: acide citrique']","['E300 - Acide ascorbique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés']",['Non végétalien'],4,?,250,1046 kj(250 kcal),12,6,30,14,"4,5","1,3","0,52",,250g,['Surgelés'],12 g,en quantité modérée,6 g,en quantité élevée,14 g,en quantité élevée,1.3 g,en quantité modérée,,+45%,+44%,+61%,+65%,+55%,+32%,-10%,+221%,+221%,16,+178%,D,+178%,,,,"['Gluten', 'Lait']",,,,,,,,,,,,,['Migros'],,,
1293,Love pomegranate,5901086049301,,['France'],[],,[],,?,2,8 kj(2 kcal),"0,1","0,1","0,3","0,2","0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Pâtes de fruits d'Auvergne,3162210303450,,['France'],[],,[],,?,338,1414 kj(338 kcal),"0,1",0,"83,5",62,"0,4","0,07","0,028",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",0.1 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.07 g,en faible quantité,,+7%,+7%,-71%,-100%,+10%,-7%,-38%,-42%,-42%,9,+9%,C,+9%,,,,,,C,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,
1295,Végétal Bouillon - Oswald - 600gr,7610703051792,['Oswald'],"['France', 'Suisse']",[],,[],,?,5,21 kj(5 kcal),"0,5","0,2",0,0,0,"1,1","0,44",,600 gr,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Mélanges de légumes frais', 'Mélanges de légumes pour bouillon']",0.5 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,-91%,-88%,-57%,+24%,-100%,-100%,-100%,+207%,+207%,-1,,A,,,,,,,,,,,,,,,,,,,,,
1296,La knack - Stoeffler,3180950052360,['Stoeffler'],['France'],[],,[],,?,299,1251 kj(299 kcal),27,10,"0,9","0,6",13,"1,8","0,72",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg', 'Knacks industrielles']",27 g,en quantité élevée,10 g,en quantité élevée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,+12%,+12%,+14%,+14%,-43%,-53%,+4%,-6%,-6%,19,+4%,E,+4%,,,,,,E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,
1297,Gran Merenda - Crich,8008620007999,['Crich'],['France'],[],,['Sans huile de palme'],,?,446,1866 kj(446 kcal),13,1,74,20,"7,5","0,78","0,312",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Écrasé de pomme de terre - Carrefour,3560071190828,['Carrefour'],['France'],[],,[],,?,141,590 kj(141 kcal),"8,7","6,1",13,"0,5","1,7","0,49","0,196",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 47.091.015 CE', 'Estillac (Lot-et-Garonne, France)']",,['Carrefour'],,,
1299,White Choc,7612100555606,,['France'],[],,[],,?,405,1695 kj(405 kcal),"9,9","7,9",71,55,"5,9","2,7","1,08",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,['pp-bottle'],,,,,,,,,,,,,,,,,,,
1300,Miel de montagne de haute-savoie - Famille Mary - 360g,3760115097896,['Famille Mary'],['France'],[],,[],,?,?,,?,,?,,?,,,['Fabriqué en France'],360 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
1301,Mein Reistopf mit Fleischbällchen - Erasco - 800g,4002473991355,['Erasco'],"['France', 'Allemagne']",[],,[],,?,46,192 kj(46 kcal),"1,2","0,4","7,1","0,5","1,4","0,76","0,304",,800g,"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",1.2 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.76 g,en quantité modérée,,-57%,-57%,-74%,-73%,-9%,-68%,-77%,-16%,-16%,3,+165%,C,+165%,['Dose'],,,,,,,,,,,,,,,,,,,
1302,Soupe de poissons la Guérandaise,3574313380038,,['France'],[],,[],,?,37,155 kj(37 kcal),"1,1","0,1","2,2","0,8","4,1","0,9","0,36",,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.9 g,en quantité modérée,,-23%,-22%,-42%,-78%,+21%,+23%,-21%,+2%,+2%,1,+15%,B,+15%,,,,,,E,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,
1303,Chips Poulet Braisé - Bret's,3497917001515,"[""Bret's""]",['France'],[],,[],,?,525,2197 kj(525 kcal),31,"2,6",53,2,6,"1,5","0,6",,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",31 g,en quantité élevée,2.6 g,en quantité modérée,2 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+2%,+5%,-16%,-2%,-15%,+5%,+13%,+13%,9,-23%,C,-23%,,,,,,,,,,,,,,,,,,,,
1304,Traubenzucker,4006363103859,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Cul noir limousin aux châtaignes,3760208140034,,['France'],[],,[],,?,313,1310 kj(313 kcal),28,12,0,0,15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Elbows - San Remo,9310155203838,['San Remo'],"['Australie', 'France']",[],,[],,?,365,1527 kj(365 kcal),2,"0,5",72,"2,5",12,"0,03","0,012",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",2 g,en faible quantité,0.5 g,en faible quantité,2.5 g,en faible quantité,0.03 g,en faible quantité,,+10%,+10%,-23%,-28%,+17%,-10%,+3%,-86%,-86%,-1,,A,,,,,,,,,,,,,,,,,,['Woolworths'],,,
1307,Soletti - 200g,9000189012383,['Soletti'],"['Autriche', 'France', 'Allemagne']",[],,[],,?,391,1636 kj(391 kcal),"2,8","0,3",77,"0,6",13,"4,5","1,8",,200g,"['Snacks', 'Snacks salés']",2.8 g,en faible quantité,0.3 g,en faible quantité,0.6 g,en faible quantité,4.5 g,en quantité élevée,,-15%,-15%,-88%,-93%,+61%,-82%,+53%,+192%,+192%,14,+15%,D,+15%,['Stück'],,,,,,,,,,,,,,,,,,,
