,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
651,Duo tomates et figues façon bruschetta,3760194208732,['France'],[],[],?,277,1159 kj(277 kcal),"23,5","2,7",16,"10,7","2,4","0,904","0,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,"Knorr, Mélange à Sauce, Cinq Poivres, 41g",0055220080158,['France'],[],[],?,50,209 kj(50 kcal),"0,833",0,"8,333","1,667","1,667","1,125","0,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,00662994,00662994,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Pizza 3 fromages,3263859474928,['France'],[],[],?,275,1151 kj(275 kcal),11,"6,1",30,"1,3",13,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Soft fresh goat cheese,0062482010335,['France'],[],[],?,80,335 kj(80 kcal),6,4,1,0,5,"0,225","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,0067603000028,0067603000028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Pizza Lève Au Four Deluxe,0071921951290,['France'],[],[],?,490,2050 kj(490 kcal),19,7,58,8,23,"12,4","4,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,0775200040018,0775200040018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,0768183001152,0768183001152,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,My Cookies | Chocolate,5601066401012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,0859248006028,0859248006028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Pétoncles sauce espagnole,3760181611538,['France'],[],[],?,312,1305 kj(312 kcal),29,"4,4","3,1",0,10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,La delicieuse mousse au chocolat noir,19038698,['France'],[],[],?,304,1272 kj(304 kcal),21,13,28,27,"6,5","0,39","0,156",,,D,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat', 'Mousses au chocolat noir']",,21 g,en quantité élevée,13 g,en quantité élevée,27 g,en quantité élevée,0.39 g,en quantité modérée,,+8%,+6%,+14%,+29%,+26%,+35%,+3%,+77%,+77%,19,+46%,E,+46%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,
664,Rillettes aux crevettes rôties au beurre salé,3389090019213,['France'],[],[],?,143,598 kj(143 kcal),8,"5,3","3,7",1,14,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Granola - Verival,9004617069161,['France'],[],[],?,560,2343 kj(560 kcal),42,10,22,10,17,"0,05","0,02",['Verival'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,42 g,en quantité élevée,10 g,en quantité élevée,10 g,en quantité modérée,0.05 g,en faible quantité,,+35%,+35%,+221%,+201%,-64%,-41%,+73%,-71%,-71%,12,+144%,D,+144%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,
666,Kafe Naka,3770013018008,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Pain au chocolat station,3257399000006,['France'],[],[],?,446,1866 kj(446 kcal),26,17,46,14,"7,7","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Jus de pomme fraise,3760131161984,['France'],[],[],?,49,205 kj(49 kcal),0,0,11,"9,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Pains au chocolat au beurre AOP,18319547,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,
670,Merci,3569160000109,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Oral impact powder,7613035068681,['France'],[],[],?,418,1749 kj(418 kcal),10,"2,1",56,30,24,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Gruyere suisse AOC,0299148033913,['France'],[],[],?,400,1674 kj(400 kcal),32,19,"0,5","0,5",27,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Chocolatine Pir Beurre,3214000000008,['France'],[],[],?,500,2092 kj(500 kcal),29,19,51,15,"9,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Gigantic mint Butt,00919463,['France'],[],[],?,549,2297 kj(549 kcal),"32,5","19,8","56,9","56,3","6,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Cannelle Moulue Colombia,4027900389345,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Chips nature 6x30g - Auchan,3596710482986,['France'],[],[],?,539,2255 kj(539 kcal),34,"2,8",50,"0,4","5,5","1,1","0,44",['Auchan'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']","['Nutriscore', 'Nutriscore C']",34 g,en quantité élevée,2.8 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en quantité modérée,,+2%,+2%,+4%,-9%,-3%,-71%,-8%,-15%,-15%,7,-38%,C,-38%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,['Auchan'],,,,
677,Olives noires dénouautees - Biorganica Nuova,8029689023065,['France'],[],[],927,225,927 kj(225 kcal),"23,41","2,64","1,36","0,1","0,97","1,8","0,72",['Biorganica Nuova'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Morbier,2201608026708,['France'],[],[],?,370,1548 kj(370 kcal),30,21,"0,5",0,24,"1,45","0,58",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.45 g,en quantité modérée,,+5%,+5%,+4%,+8%,-36%,-100%,+6%,+1%,+1%,15,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
679,"Cocktail de fruits sec ""celebrity""",3760048335393,['France'],[],[],?,499,2088 kj(499 kcal),25,7,54,"2,9",11,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Flan caramel,3770011405039,['France'],[],[],?,125,523 kj(125 kcal),"0,4","0,2",3,3,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Confiture d’ananas,3760227844098,['France'],[],[],?,50,209 kj(50 kcal),"0,6","0,1",13,10,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Ultra red,5060337501019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Fleurs de tête de moine,0255097026574,['France'],[],[],?,401,1678 kj(401 kcal),33,20,"0,1","0,1",2,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Baguette tradigraines,3289668201609,['France'],[],[],?,354,1481 kj(354 kcal),"6,9","0,7",59,"1,6","1,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Galettes boulghour de blé roquefort figues,0104650530006,['France'],[],[],?,243,1017 kj(243 kcal),"9,3","2,1",29,"3,5","7,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Andouille de guémené,2227259024207,['France'],[],[],?,267,1117 kj(267 kcal),23,12,"0,5","0,5",16,"2,1","0,84",,,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,23 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,+7%,+7%,+14%,+19%,+33%,+78%,-2%,-12%,-12%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,
687,Ice tea,9351139000494,['France'],[],[],?,29,121 kj(29 kcal),0,0,72,3,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Duo de carottes et céleri finement râpés,2253026009580,['France'],[],[],?,132,552 kj(132 kcal),12,"0,9",4,"2,6",1,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Ananas déshydratés tranches,3700056701650,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Sauce vinaigrette,3256227447457,['France'],[],[],?,471,1971 kj(471 kcal),50,"5,6","4,8","4,8","0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Sauce creoline,9330290100113,['France'],[],[],?,276,1155 kj(276 kcal),28,"3,1","5,2","5,2",1,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Poivrons tricolores en lanières,3309014004514,['France'],[],[],?,27,113 kj(27 kcal),"0,2","0,1","4,9","4,1","1,5","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Tomate,3665069004108,['France'],[],[],?,413,1728 kj(413 kcal),17,"1,7","46,7",5,"14,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Caviar d’aubergines - Les mets de Provence,3337730902418,['France'],[],[],?,218,912 kj(218 kcal),"20,2","2,5","5,5","4,4","1,3","1,3","0,52",['Les mets de Provence'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,20.2 g,en quantité élevée,2.5 g,en quantité modérée,4.4 g,en faible quantité,1.3 g,en quantité modérée,,+18%,+19%,+21%,+20%,+4%,+47%,-17%,+14%,+14%,9,+36%,C,+36%,,,,,,,,,,,,,,,,,
695,Creme glacee a la vanille,3331480012984,['France'],[],[],?,815,3410 kj(815 kcal),"8,7",5,23,22,"5,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,23354012,23354012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,3 croquette,20990824,['France'],[],[],?,388,1623 kj(388 kcal),32,22,"2,1",0,24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Le baigneur blanche,3770008185050,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Cote porc mexicaine,0205998018697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Cote porc mexicaine,0205998018697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Préparation D’épices,7610845619195,['France'],[],[],?,259,1084 kj(259 kcal),"8,5","7,7",34,23,"9,5","11,9","4,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Milchmix Vanille - 400g,4306205474124,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,['Beutel'],,,,,,
703,Chips Beaufort,3770008919785,['France'],[],[],?,517,2163 kj(517 kcal),30,3,50,"1,3",7,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Les Galettes Bretonnes,3260260033980,['France'],[],[],?,505,2113 kj(505 kcal),24,16,64,30,"6,4","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Court bouillon au sel de Guérande,3570563333367,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Pain au chocolat x5,1900000029119,['France'],[],[],?,435,1820 kj(435 kcal),27,18,40,12,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Poulet,2481631034240,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Croissants x5,1900000029089,['France'],[],[],?,410,1715 kj(410 kcal),26,19,36,6,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Acras de morue,3467763000024,['France'],[],[],?,192,803 kj(192 kcal),"6,1","2,9","25,6","2,5","8,3","2,29","0,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Pates de fruits,3339901010359,['France'],[],[],?,327,1368 kj(327 kcal),"0,8","0,02",80,71,"0,2",0,0,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,0.8 g,en faible quantité,0.02 g,en faible quantité,71 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+135%,-83%,+5%,+7%,-69%,-100%,-100%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,
711,Ribs de porc,2245002030442,['France'],[],[],?,230,962 kj(230 kcal),17,"6,6","1,3","0,8",18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Yaourt brassé aux fruits,3770009049009,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts brassés aux fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Poulet grillé thaï & carottes bio parfumées,0748367060342,['France'],[],[],?,139,582 kj(139 kcal),5,1,13,1,11,1,"0,4",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Eau le royal,3357730016519,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Croustilles fruitées,3474341100335,['France'],[],[],?,554,2318 kj(554 kcal),33,20,54,46,"7,7","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Steak hache 45g halal,5901885540894,['France'],[],[],?,252,1054 kj(252 kcal),20,"8,6",0,0,18,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Suédois duo de saumon,990530101009650970,['France'],[],[],?,304,1272 kj(304 kcal),15,"2,7",33,"6,8","8,6","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,28430018,28430018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,4008012157138,4008012157138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Pâté recette Basque au piment d'Espelette,2473674027488,['France'],[],[],?,327,1368 kj(327 kcal),29,11,"1,9",0,16,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Thee Engels Pot 40 X 4 Gram,8718449079625,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Ribs de porc provençale,0210999045009,['France'],[],[],?,265,1109 kj(265 kcal),21,"8,1","1,4","0,6",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Sachet palets vrac,2017000000150,['France'],[],[],?,488,2042 kj(488 kcal),"21,6","14,1",68,"28,8","6,1","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Tea together,3760302930111,['France'],[],[],?,252,1054 kj(252 kcal),"0,5","0,1",69,68,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Vin de crotte,3221580020562,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Pimiento piquillo asado,8410972007495,['France'],[],[],?,32,134 kj(32 kcal),"0,5",0,"5,2","3,4","1,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Bonbon,49779240,['France'],[],[],?,256,1071 kj(256 kcal),10,2,25,14,24,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Coupon de réduction,2958446264545,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Chicken & avocado sandwich,5057753930639,['France'],[],[],?,199,833 kj(199 kcal),"5,7","1,1","24,1","2,8","10,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Trust crunch,5040200100006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Noisettes décortiquées,3335770005359,['France'],[],[],?,680,2845 kj(680 kcal),63,"4,46","6,99","4,34","16,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Suisse chocolat,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Perrier Citron,3048095008782,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,250ml,8033813740032,['France'],[],[],?,74,310 kj(74 kcal),0,0,16,16,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Bonbon coca,8716100083462,['France'],[],[],?,367,1536 kj(367 kcal),"2,3","1,3",81,57,"2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Jus de fruits pomme litchis - Planet Bio,3301591003911,['France'],[],[],?,51,213 kj(51 kcal),0,0,12,"9,6",0,0,0,['Planet Bio'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Curcuma pipérine 103 mg curcumines,3578835501780,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Fuet Extra Iberique,8421395026116,['France'],[],[],?,443,1854 kj(443 kcal),35,"12,7","4,1","1,1","27,8","3,8","1,52",,,,['ca:Fuet'],,35 g,en quantité élevée,12.7 g,en quantité élevée,1.1 g,en faible quantité,3.8 g,en quantité élevée,,-1%,-1%,-1%,-3%,-2%,-53%,+4%,-5%,-5%,25,+1%,E,+1%,,,,,,,,,,,,,,,,,
739,Baguette aux graines,3289669053801,['France'],[],[],?,263,1100 kj(263 kcal),"6,9","1,2",38,"1,1","9,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Pont L'evêque 23 % Aoc,3047670051540,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Bonbon collier,5425039330228,['France'],[],[],?,391,1636 kj(391 kcal),0,0,"97,7","97,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Steinofenpizza Diavolo - ja!,4388860435740,['France'],[],[],?,729,3050 kj(729 kcal),"25,2","11,6","88,6","12,6","33,3","3,78","1,512",['ja!'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Jus de fruit : la vue en mauve,5038862433839,['France'],[],[],?,41,172 kj(41 kcal),0,0,10,0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Maïs doux croquant,18581256,['France'],[],[],?,89,372 kj(89 kcal),"2,4","0,5",12,"4,9","2,9","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Chips de noix de coco séchées,13335728,['France'],[],[],?,710,2971 kj(710 kcal),70,64,"6,2",6,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Maïs géant salé barbecue,3760048335379,['France'],[],[],?,617,2582 kj(617 kcal),"49,3",20,20,"3,2",20,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,chocolat,3418321276405,['France'],[],[],?,497,2079 kj(497 kcal),30,16,51,41,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Bleu d’Auvergne,26030579,['France'],[],[],?,350,1464 kj(350 kcal),30,23,"0,5","0,5",20,"2,8","1,12",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",,30 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,2.8 g,en quantité élevée,,+1%,+2%,+5%,+14%,-31%,+67%,-3%,+4%,+4%,19,0%,E,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
749,Pasteque,0203905022560,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Sirop parfum naturel coquelicot,3701233511123,['France'],[],[],?,26,109 kj(26 kcal),0,0,67,67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Golden curry,4901002146115,['France'],[],[],?,86,360 kj(86 kcal),"5,1","2,7","9,2","8,4","1,1","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Galette riz sésame,3229820163598,['France'],[],[],?,390,1632 kj(390 kcal),"4,7","0,8","7,6","0,8","8,7","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Myrtille,3760025961171,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Bande feuilleté abricot,,['France'],[],[],?,333,1393 kj(333 kcal),11,"7,6",29,14,"3,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Blanco Niño Sea Salt Tortilla Chips,5391528040216,['France'],[],[],?,478,2000 kj(478 kcal),"20,7","2,3","69,2","0,9","6,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Sélection de charcuterie coupé,3449865338663,['France'],[],[],?,416,1741 kj(416 kcal),34,17,2,"1,4",26,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Graine a croquer,3701239908361,['France'],[],[],?,542,2268 kj(542 kcal),39,4,24,9,15,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Mimolette,0209128012999,['France'],[],[],?,321,1343 kj(321 kcal),24,16,0,0,26,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,croissant,8001300803171,['France'],[],[],?,0,0 kj(0 kcal),17,"5,5",54,15,"7,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Mélange peps,2600697024990,['France'],[],[],?,575,2406 kj(575 kcal),46,"4,5",20,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Corolles Aux Oeufs Frais Igp,3065620013912,['France'],[],[],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Escalope milanaise,0217827024014,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes panées']",,,,,,,,,,,,,,,,,,,,,,,,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,
