,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
447,Raclette vaubain lait cru,0202074080425,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Noir absolu,3250392784539,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Choco bar strawberry - Veganz,4260402489025,,['Veganz'],,"['France', 'Allemagne', 'Suisse']",[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,4,,17 kj(4 kcal),,37,,14,,36,,35,,"7,9",,"0,04",,"0,016",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,['Produkt'],,,,,,,,,,
450,Ready to cook savory lentil fritter dry mix Dahi Vada Mix - 200g,8901155115217,,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,"6,6",,"1,8",,"55,2",,0,,"18,4",,"2,66",,"1,064",,,,,,,,,,,,,200 g,,,,,,,,,,,,,
451,4056489112464,4056489112464,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Miel de fleurs cremeux,3770014667083,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
453,Formatge Cabra Medalló Pastor,8413376024600,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,29,,21,,1,,"0,5",,16,,"1,02",,"0,408",,,,,,,,,,,,,,,,,,,,,,,,,,
454,Les Bonbons oursons,3760169522351,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,338,,1414 kj(338 kcal),,"0,09",,"0,08",,84,,60,,0,,"0,13",,"0,052",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
455,Saucisse blanche fromage halal,2862152051495,,,,['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,"25,1",,"9,5",,"0,8",,"0,4",,13,,"1,9",,"0,76",,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
456,Onion rings,5010251676560,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,,,,
457,Têtes de mort en sucre - Patisdecor,3700105241335,,['Patisdecor'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Madeleines aux œufs,3760050920037,,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"21,4",,"2,1",,"54,6",,"23,8",,"6,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
459,Jalousie aux pommes,,,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,10,,"6,7",,38,,14,,"5,1",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,
460,Apero Courgette,3770008034549,,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,0,,0,,14,,13,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
461,Bio té indian chai con especias ecológico - Santiveri,8412170036895,,['Santiveri'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
462,Reese's peanut better miniature cups,5025820005047,,"[""Reese's""]",,['France'],[],[],,,,,,,,,?,,508,,2125 kj(508 kcal),,"28,6",,"11,4",,"58,5",,"53,5",,"9,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,
463,Andouillette de Troyes - Belle France - 280g (2 * 140g),3258561461915,E,['Belle France'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",['France'],[],[],14 g,en quantité modérée,6.5 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,197,-17%,824 kj(197 kcal),-15%,14,-20%,"6,5",-20%,"0,6",+39%,"0,5",+44%,18,-2%,"1,5",-17%,"0,6",-17%,14,-20%,D,-20%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,280 g (2 * 140 g),['Fabriqué en France'],,,,,,,,,,,,
464,Crisaline,3555801358029,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Le coeur frais chèvre - Fleury Michon,3302748378029,,['Fleury Michon'],,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,"5,7",,"2,5",,"8,8",,"2,6",,"5,1",,"1,4",,"0,56",,,,,,,,,,,,,,['Sans colorants'],,"['sous vide', 'Frais']",,,,,,,,,,
466,Cod fillets,5000128860666,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,,
467,Perou,3386941206013,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Porc Filet Mignon,0202996073864,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Diet Rádisson Mermelada De Naranja Amarga,8412224026797,,,,['France'],[],[],,,,,,,,,?,,200,,837 kj(200 kcal),,0,,0,,"48,5",,"48,5",,"0,3",,"0,07",,"0,028",,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
470,Turrón fruta calidad suprema - Antiu Xixona,8410152001442,E,['Antiu Xixona'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón aux fruits']",['France'],[],[],17 g,en quantité modérée,1.2 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,?,,426,-2%,1782 kj(426 kcal),-2%,17,-7%,"1,2",-27%,62,+10%,59,+10%,6,-22%,"0,01",-81%,"0,004",-81%,14,-7%,D,-7%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,['en:gluten-free'],,,,,,,,,,,,
471,Cuisse de canard aux olives et lardons,2618359050645,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Weisser tee,4046234771985,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,"0,2",,"0,2",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Morbier bio - JuraFlore,2285476032016,C,['JuraFlore'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,?,,343,-3%,1435 kj(343 kcal),-3%,"28,1",-2%,"19,6",+1%,"0,5",-36%,0,-100%,22,-3%,"1,76",+23%,"0,704",+23%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']","['FR 39.434.001 CE', 'Poligny (Jura, France)']",,,,,,,,,,,
474,Licorne Noël,3244850003300,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Escargots de bourgogne,3365480000511,C,,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,0.2 g,en faible quantité,0.73 g,en quantité modérée,?,,79,-69%,331 kj(79 kcal),-69%,"1,2",-94%,"0,3",-98%,1,-57%,"0,2",-71%,"15,7",+41%,"0,73",-39%,"0,292",-39%,-2,-117%,A,-117%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,,,,
476,Roti cuit superieur,0205918016734,,,,['France'],[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,"3,1",,"1,2",,"0,1",,"0,1",,24,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
477,Royco Patate douce curry graines de lin,00082061,,['Royco'],,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"1,4",,"0,3",,7,,"1,5",,"0,9",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,,
478,Biere Triple Moulin D'Ascq - Moulins d'ascq - 75cl,3760035360322,C,"[""Moulins d'ascq""]","['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,75 cl,['Bio'],,,,,,,,,,,,
479,Jack Link's Jalapeño,0017082883902,,"[""Jack Link's""]",['Snacks'],"['France', 'États-Unis']","['Beef', 'sugar', 'water', 'contains 2% or less of salt', 'beef stock', 'natural and artificial flavors', 'vinegar', 'yeast extract', 'jalapeno pepper', 'citric acid', 'bromelain ', 'from pineapple']","['Non végétalien', 'Non végétarien']",3.57 g,en quantité modérée,0 g,en faible quantité,25 g,en quantité élevée,3.84 g,en quantité élevée,?,,286,-36%,1197 kj(286 kcal),-36%,"3,57",-83%,0,-100%,25,-56%,25,-17%,"35,71",+468%,"3,84",+630%,"1,536",+630%,18,+1%,D,+1%,,,,,,,,,,,,['E330 - Acide citrique'],,4,,"Link Snacks, Inc.",,,,,
480,Miel et propolis,9700000001601,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Champignons,8713021003838,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Dubble Bubble Gum strawberry,84195043,,['Dubble Bubble'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Magret de canard du sud ouest,2210128008293,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],[],[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,?,,363,+7%,1519 kj(363 kcal),+7%,33,+13%,11,+10%,"0,6",-52%,"0,6",-10%,16,-11%,"0,1",-94%,"0,04",-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
484,Poivre Cubebe Bio 30G,3760020504519,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
485,Proteinsnacks,7090008040019,,,,['France'],[],[],,,,,,,,,?,,346,,1448 kj(346 kcal),,"2,1",,"0,4",,0,,0,,82,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
486,Tripoux d'Auvergne - Le Père Jean,3357149632942,,['Le Père Jean'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au mouton', 'Tripoux']",['France'],[],[],3.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,?,,392,+235%,1640 kj(392 kcal),+234%,"3,3",-24%,0,-100%,"0,6",-5%,0,-100%,15,-2%,"0,5",-52%,"0,2",-52%,1,-13%,B,-13%,,,,,,,,,,,,,,,,,,,,,
487,6 sucettes attrapes,3418011280996,,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,1,,"0,1",,99,,69,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Escalope de dinde  halal,2227527041981,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Halal'],,,,,,,,,,,,
489,Concombre d'Espagne,00022132,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Sirop de Groseille Pays,3770006162060,B,,"['Boissons', 'Sirops', 'Sirops aromatisés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
491,Vitamin Kapseln Gelée Royal,4250382203544,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Tartiflette individuelle,3760175202414,C,,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Tartiflettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.3%,16.4%,4.8%,5.7%,2.8%,2.0%,73,,,,,,,,,,,,,,
493,Complément alimentaire,3770006129070,,,['Compléments alimentaires'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Alsace grand cru,3274550562265,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Alsace Grand Cru']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,['France'],,,,
495,Mont d'or maxi,3520110000006,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
496,Carottes Rapées,0207020009970,B,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,
497,Dal palak - Haldiram's - 300g,8904063259783,,"[""Haldiram's""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,
498,Oriental sukiyaki sauce Cantonese - Thai dancer,8852646057007,,['Thai dancer'],,['France'],[],[],,,,,,,,,?,,227,,950 kj(227 kcal),,"8,1",,"1,3",,35,,35,,"3,3",,"6,4",,"2,56",,,,,,,,,,,,,,,,,,,,,,,,,,
499,Rillettes pur canard,3559680021906,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],39.3 g,en quantité élevée,39.3 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,416,+4%,1741 kj(416 kcal),+4%,"39,3",+7%,"39,3",+214%,0,-100%,0,-100%,"15,4",-5%,"1,3",-5%,"0,52",-5%,20,+4%,E,+4%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,"['Bocal', 'Verre']",,,,,,,,,,
500,Miel Corse BIO maquis d'été,000000016144,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Bio'],,,,,,,,,,,,
501,Tartinée de st jacques a la bretonne - 80g,3663495000060,,,,['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,14,,"7,9",,"3,6",,"0,6",,10,,1,,"0,4",,,,,,,,,,,,,80 g,['Sans conservateurs'],,,,,,,,,,,,
502,Mini Croque-Monsieur,3422825090566,D,,"['Sandwichs', 'Croque-monsieur']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,,,,,,,,,,,,,,
503,Houmous Betterave - 90g,3760177141049,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],"['Végétalien', 'Végétarien']",13 g,en quantité modérée,1.6 g,en quantité modérée,6.4 g,en quantité modérée,0.07 g,en faible quantité,?,,156,-41%,653 kj(156 kcal),-41%,13,-36%,"1,6",-35%,"7,4",-30%,"6,4",+378%,"2,4",-63%,"0,07",-93%,"0,028",-93%,2,-60%,B,-60%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,90 g,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
504,Moutarde au mout de raisin - Le Comptoir de Mathilde,3700961306292,B,['Le Comptoir de Mathilde'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],9.9 g,en quantité modérée,0.8 g,en faible quantité,29 g,en quantité élevée,2.6 g,en quantité élevée,?,,255,+50%,1067 kj(255 kcal),+50%,"9,9",-8%,"0,8",-2%,29,+320%,29,+651%,"7,8",+19%,"2,6",-45%,"1,04",-45%,19,+64%,E,+64%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
505,Thé blanc infusé saveur jasmin - Casino,3222477310421,,['Casino'],,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,0,,0,,"4,1",,"4,1",,0,,0,,0,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,
506,Houmous - Aoste - 200g,3449865327018,B,['Aoste'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],"['Pois chiches ', '52%', 'huile de tournesol', 'eau', ""huile d'olive"", 'ail', 'sel', 'arômes naturels', 'épices', ""extrait d'épices"", 'vinaigre', 'poudre de jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",25 g,en quantité élevée,2.9 g,en quantité modérée,0.6 g,en faible quantité,0.71 g,en quantité modérée,?,,294,+12%,1230 kj(294 kcal),+12%,25,+24%,"2,9",+18%,"8,2",-23%,"0,6",-55%,"5,4",-17%,"0,71",-32%,"0,284",-32%,-1,-120%,A,-120%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,200 g,"['Végétarien', 'Végétalien', 'Sans colorants']",,"['Carton', 'Plastique']",,,4,,,,,,,
507,Bacalhau em azeite com grāodr bico,5606677109005,,,,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,"5,8",,"3,3",,"2,7",,0,,26,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
508,Saint Nectaire fermier AOP tradition,2444510065278,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire fermier']",['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,332,+1%,1389 kj(332 kcal),+1%,27,-5%,18,-9%,"1,1",+5%,"0,5",+53%,21,-4%,"1,5",+28%,"0,6",+28%,15,+12%,D,+12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
509,Chateau saint pierre,3303292904740,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Mermelada extra de higo negro natural - Las Doñas,8414606938506,D,['Las Doñas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],[],[],0.24 g,en faible quantité,0.16 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,?,,214,-8%,895 kj(214 kcal),-8%,"0,24",-47%,"0,16",+140%,"46,42",-16%,40,-25%,"0,59",-20%,0,-100%,0,-100%,9,-5%,C,-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
511,Pain bio au Sarrasin - Plaisance Bio,3176800030237,,['Plaisance Bio'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,
512,"Pizza ""la piquante""",0202798052487,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Thon - Rio mare,8004030180000,D,['Rio mare'],"['Produits de la mer', 'Poissons', 'Thons']",['France'],[],[],37 g,en quantité élevée,5.6 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,403,+120%,1686 kj(403 kcal),+122%,37,+272%,"5,6",+218%,0,-100%,0,-100%,17,-21%,"1,1",+7%,"0,44",+7%,14,+356%,D,+356%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,
514,Huile de tournesol en vrac chez Auchan,3760179730739,,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,12,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
515,Champagne,3232031000958,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Fromage frais à tartiner au piment d'espelette,3770001274072,D,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
517,Mortadelle italienne,2228543020011,,,,['France'],[],[],,,,,,,,,?,,285,,1192 kj(285 kcal),,25,,"9,4",,0,,0,,15,,"1,9",,"0,76",,,,,,,,,,,,,,['Fabriqué en Italie'],"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,,,,,,,,
518,Crumble pomme,3760275110664,,,,['France'],[],[],,,,,,,,,?,,195,,816 kj(195 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Beetroot balsamic vinegar reduction,6009665151236,,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,0,,0,,"49,6",,"49,6",,"1,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
520,Moules à  l'escabèche,8410042277223,D,,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",['France'],[],[],9.2 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,?,,170,-15%,711 kj(170 kcal),-15%,"9,2",-32%,"1,4",-33%,"3,9",+25%,0,-100%,18,+15%,"0,9",-33%,"0,36",-33%,1,-82%,B,-82%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,,,,,,
521,Rubicon fruit de la passion,0064579330050,,,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,"1,5",,0,,42,,0,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Colorant en poudre irisé or - Patisdecor,3700105264563,,['Patisdecor'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Saucisson tradition,3351160000032,,,,['France'],[],[],,,,,,,,,?,,408,,1707 kj(408 kcal),,31,,12,,"3,7",,"1,6",,28,,"4,1",,"1,64",,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
524,Arachide grillées enrobées de sucre cuit,2609848040735,,,['Pralines aux cacahuètes'],['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,?,,532,0%,2226 kj(532 kcal),-0%,28,0%,19,0%,55,0%,44,0%,15,0%,0,,0,,25,0%,E,0%,,,,,,,,,,,,,,,,,,,,,
525,Reblochon Le Crémier,3760075290986,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",['France'],[],[],27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,326,+1%,1364 kj(326 kcal),+1%,27,+1%,19,+1%,0,-100%,0,-100%,20,0%,"1,3",-3%,"0,52",-3%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
526,Grand plateau de potée à mijoter,0238149074785,,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,11,,"4,2",,"0,2",,"0,2",,18,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,,
527,Verveine,3481890100297,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Pain de mie sans gluten,0201163024937,,,,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,"4,4",,"0,6",,"35,9",,3,,5,,"0,2",,"0,08",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
529,Mille feuille vanille,0216134045262,,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,"7,4",,"5,2",,73,,49,,"3,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
