,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,markets,manufacturing,labels,ingredients_origins,link,palm_ingredients,producer_info
353,El'Hindy de volaille aux olives goût veau - Médina Halal,3276440730877,,['Médina Halal'],,['France'],"['EL&hlNDY DE VQLAILUE AUX OLIVES CCUT VEAU Préparation amylacée cùite à base de viandes de dinde séparées mécaniquement', ""de peau de volaille et d'olives"", 'goût veau Ingrédienls: Viandes de dinde séparées mécaniquement ', '32%', 'de volaille ', '25%', 'eau', 'farine de BLE', 'olives ', '4,5%', 'se', ""ail'"", 'arômes dextrose de blé', '- i', ' naturels', 'colorant E160c', 'cie goût ', 'E621', 'E635', 'protéines végétales hydrolysees ', 'maïs', 'maltodextrine ', 'pomme de terre', 'extrait de levures', 'acidifiant E330', 'arôme', 'huile végétale ', 'tournesol', 'conservateur: E 250', ' Peut contenir des traces de FRUIT A COQUE', 'OEUF', 'MOUTARDE', 'SOJA', 'LAIT Volaille', ' origine France oe\\er avant consommation 24 heures']","['E160c - Extrait de paprika', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Soja']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,226,,946 kj(226 kcal),,16,,6,,"8,8",,1,,11,,"1,875",,"0,75",,,,,,,,,,,,,,,,,,,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,,
354,Cachir,3276440730907,,,,['France'],[],,,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,17,,"5,4",,7,,0,,12,,2,,"0,8",,,,,,,,,,,,,,,,,,,['Halal'],,,,
355,filet de canard fumé s/peau s/vide - Le gaulois - 80g,3276440805513,D,['Le gaulois'],"['Viandes', 'Volailles', 'Canards']",['France'],"['Ingrédients ', 'à la mise en oeuvre', ' :Filet de canard sans peau : 96%', 'sel', 'eau', 'sel de Guérande', 'dextrose de blé', 'arômes naturels', 'conservateur : sel nitrité', 'antioxydant : érythorbate de sodium', 'Peut contenir des traces éventuelles de blé - oeuf - fruits à coques - soja - lait - moutarde - sulfites']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,[],4,1.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité élevée,430,-57%,101,-61%,430 kj(101 kcal),-61%,"1,3",-93%,0,-100%,"0,8",-18%,0,-100%,22,+12%,"2,5",+94%,1,+94%,11,-6%,D,-6%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,80 g,['Frais'],"['EMB 69135', 'Monsols (Rhône, France)']",,,"['Viande-francaise', 'Volaille-francaise']",,,,CORICO Volaille - Le Colombier - 69860 Monsols
356,Chorizo,3276440807524,,,,['France'],[],,,[],,,,,,,,,,?,,955,,3996 kj(955 kcal),,18,,"7,4",,"1,9",,"1,5",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,
357,El hindy de volaille - Medina,3276440847803,,['Medina'],,['France'],"['qHindy de volaille goût bœuf amylacée cuite à base de viandesde separées tnécaniquement', 'de peau de goût bœuf', ' •""dients : Viandes de dinde sépares ement ', '429%', 'eau', 'peau de volaille épices', 'sel', 'dextrose de blé', 'stabilisaN ', ""extraits d'épices"", 'arômes', 'extrait de levures : E250', ' Volaille origine France Peut traces de FRUIT A avant consommation', ' Produit frais entre OOC et +40C', ' A consommer dars5\\es Epr', 'es ouvertu']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,185,,774 kj(185 kcal),,13,,"4,3",,"5,8",,"0,4",,11,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,['Halal'],,,,
358,"Terrine de Volaille, Halal - Médina Halal - 0,200kg",3276447306006,,['Médina Halal'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Produits à la viande', 'Terrines', 'Terrines de volailles']",['France'],"['Abats de dinde', 'gras de veau', 'peau de dinde', 'eau', 'viande de dinde', 'farine de blé', 'oignons', 'sel', 'protéines de soja', 'dextrose de blé', 'saccharose', ""blanc d'œuf déshydraté"", 'stabilisant : E451i', 'arômes', 'arôme de fumée', 'épice', 'antioxydant : E316', 'colorant E120', 'ail', 'conservateur E250', 'acidifiant E330']","['E451i - TPP', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,3.4 g,en quantité modérée,1.6 g,en faible quantité,1.9 g,en quantité élevée,?,,187,-38%,782 kj(187 kcal),-38%,11,-57%,"3,4",-64%,4,+125%,"1,6",+146%,17,+19%,"1,9",+23%,"0,76",+23%,13,-27%,D,-27%,,,,,,,,Terrine de volaille,"0,200 kg","['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Grand Frais'],"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,http://www.medina-hallal.com/produit.htm,,
359,"Roulade de volaille aux olives, Halal - Médina Halal - 0,200kg",3276447362002,,['Médina Halal'],"['Viandes', 'Charcuteries', 'Frais', 'Roulades de volaille']",['France'],"['Viandes de dinde 43 %', 'peau de dinde', 'eau', 'olives vertes 7 %', 'sirop de glucose', 'dextrose', 'épices', ""plantes aromatiques et extraits d'épices"", 'sel', ""blanc d'œuf déshydraté"", 'arôme', 'protéine de pois', 'protéine de lait', 'stabilisants : E451', 'E450', 'antioxygène : E300', 'acidifiant : E330', 'conservateur : E250']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,Roulade de volaille aux olives,"0,200 kg","['Frais', 'Plastique', 'Sous-vide', 'Sous atmosphère protectrice']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Lidl'],"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,http://www.medina-hallal.com/produit.htm,,
360,"Saucisson de Dinde, Halal - Médina Halal - 0,150kg",3276447499005,,['Médina Halal'],"['Viandes', 'Charcuteries', 'Frais', 'Saucissons', 'Saucissons de dinde']",['France'],"['Viande de dinde ', '61 %', 'gras de veau', 'viande de veau', 'sel', 'lactose', 'dextrose de blé et de maïs', 'lactosérum', 'protéines de lait ', ' colorant : E120', 'protéines de soja', 'épices', 'ail', 'arômes naturels de piment', 'conservateur : E250']","['E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,Saucisson de dinde,"0,150 kg","['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Grand Frais'],"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,http://www.medina-hallal.com/produit.htm,,
361,"Saucisses de Volaille, Halal - Médina Halal - 0,350kg",3276447608001,D,['Médina Halal'],"['Viandes', 'Charcuteries', 'Frais', 'Saucisses', 'Charcuteries cuites', 'Saucisses de volaille']",['France'],"['Viande de dinde ', '48 %', 'peau de dinde', 'viandes de dinde séparées mécaniquement de dinde', 'eau', 'sel', 'concentré de soja', 'dextrose de maïs', 'arômes de fumée', 'stabilisants : E451i', 'E450iii', 'E450i', 'acidifiant : E575', 'exhausteur de goût : E621', 'épice', 'arôme naturel', 'colorants : E160c', 'E120', 'conservateur : E250']","['E451i - TPP', 'E450iii - Diphosphate tétrasodique', 'E450i - Pyrophosphate de sodium acide', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Soja'],"['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,6.2 g,en quantité élevée,0.31 g,en faible quantité,3 g,en quantité élevée,?,,240,+33%,1004 kj(240 kcal),+32%,19,+61%,"6,2",+71%,"4,5",+260%,"0,31",-40%,12,-27%,3,+69%,"1,2",+69%,18,+83%,D,+83%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,Saucisse de volaille cuite goût fumé,"0,350 kg","['Frais', 'Plastique', 'Sous-vide']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Lidl'],"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['Halal', 'Viande-francaise', 'Point Vert', ""Contrôle de la mosquée d'Évry-Courcouronnes"", 'Volaille-francaise', 'Eco-Emballages']",['France'],http://www.medina-hallal.com/produit.htm,,
362,"Saucisses de volaille Cocktail, Halal - Médina Halal - 0,300kg",3276447620003,E,['Médina Halal'],"['Viandes', 'Charcuteries', 'Frais', 'Saucisses', 'Charcuteries cuites', 'Saucisses de volaille', 'Saucisses cocktail']",['France'],"['Peau de dinde', 'viande de dinde ', '25 %', 'Viande de dinde séparée mécaniquement', 'eau', 'sel', 'concentrat de soja', 'dextrose de maïs', 'arômes de fumée', 'stabilisants : E451', 'i', 'E450', 'i', 'E450', 'iii', 'acidifiant E575', 'exhausteur de gout : E621', 'épice', 'arôme naturel', 'colorant : E160c', 'conservateur E250']","['E451i - TPP', 'E450i - Pyrophosphate de sodium acide', 'E450iii - Diphosphate tétrasodique', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Soja'],"['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,5.7 g,en quantité élevée,1.3 g,en faible quantité,3 g,en quantité élevée,?,,238,-4%,996 kj(238 kcal),-4%,19,-12%,"5,7",-29%,"4,5",+173%,"1,3",+78%,13,+10%,3,+58%,"1,2",+58%,17,-4%,D,-4%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,Saucisse de volaille cocktail cuite goût fumée,"0,300 kg","['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Grand Frais'],"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,http://www.medina-hallal.com/produit.htm,,
363,L’Orientale - Medina - 400g,3276447625008,D,['Medina'],"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Dindes', 'Saucisses de volaille', 'Saucisses de dinde']",['France'],"['Viande séparée mécaniquement de dinde ', '37 %', ' ', ' peau de dinde', ' eau', ' farine de BLÉ ', ' sel', 'concentrat de SOJA ', ' dextrose de maïs ', ' stabilisants: E451i', 'E450i', 'E450iii', ' acidifiant : E575 ', ' exhausteur de goût : E621', ' épice', 'arôme de fumée et arôme naturel ', ' colorant : E160c ', ' conservateur : E250 ', ' boyau', ' collagène', 'eau', 'cellulose', 'colorants ', ' E120', 'E172']","['E451i - TPP', 'E450i - Pyrophosphate de sodium acide', 'E450iii - Diphosphate tétrasodique', 'E575 - Glucono-delta-lactone', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose', 'E120 - Acide carminique', 'E172 - Oxyde et hydroxyde de fer']","['Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5.2 g,en quantité élevée,1.1 g,en faible quantité,2.8 g,en quantité élevée,?,,222,-10%,929 kj(222 kcal),-8%,17,0%,"5,2",-4%,"4,8",+75%,"1,1",+25%,13,-17%,"2,8",+29%,"1,12",+29%,17,+13%,D,+13%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,400 g,"['Frais', 'Plastique']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",,,"['Halal', 'Viande-francaise', ""Contrôle de la mosquée d'Évry-Courcouronnes"", 'Volaille-francaise']",['France'],,,
364,Saucisse la meridional - Medina,3276447675003,,['Medina'],,['France'],[],,,[],,,,,,,,,,?,,210,,879 kj(210 kcal),,16,,"4,66",,"3,66",,"1,35",,0,,2,,"0,8",,,,,,,,,,,,,,,,,,,"['Viande Française', 'Halal', 'Volaille-francaise']",,,,
365,Blanc de dinde - Médina Halal - 200g,3276447742002,D,['Médina Halal'],"['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']",['France'],"['Filets de dinde ', '83%', 'eau', 'sel', 'arômes', 'dextrose de blé', 'sirop de glucose de blé', 'stabilisants : E451i', 'E450iii', 'E450ii', 'antioxydant : E301', 'gélifiant : E407a']","['E451i - TPP', 'E450iii - Diphosphate tétrasodique', 'E450ii - Diphosphate trisodique', 'E301 - Ascorbate de sodium', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,2.5 g,en quantité élevée,?,,411,+303%,1720 kj(411 kcal),+302%,1,-38%,1,+96%,1,-33%,1,+15%,21,+5%,"2,5",+27%,1,+27%,15,+186%,D,+186%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,200 g,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Carrefour'],,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,,
366,Ananas frais - Del Monte Quality,3276538000004,,['Del Monte Quality'],,['France'],"['Ananas ', '100%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,14,,10,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
367,"Bx37Cl Airelles Del Monte,",3276539512100,,,,['France'],[],,,[],,,,,,,,,,?,,17,,71 kj(17 kcal),,0,,0,,"3,2",,"0,2",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"Pommes de terre Spécial gratin - vapeur Bio Carrefour - 2,5Kg",3276550047711,A,"['Carrefour', 'Carrefour Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Pommes de terre', 'Légumes frais', 'Feculent', 'Pommes de terre Ditta']",['France'],"[""Pommes de terre issues de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,355,-42%,84,-54%,355 kj(84 kcal),-52%,~ 0,-100%,~ 0,-100%,"17,9",-27%,"0,7",-54%,"1,9",-64%,~ 0,-100%,0,-100%,-6,,A,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,Pommes de terre Bio,"2,5 Kg",['filet plastique'],,['Carrefour'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],,,
369,Pommes - Carrefour bio - 8,3276550063520,B,"['Carrefour bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",['France'],['Pommes Golden'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,8,"['barquette carton', 'sachet plastique']",,['Carrefour'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],,,
370,Pommes - Carrefour Bio - 8fruits (115à 135g),3276550063575,B,['Carrefour Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",['France'],[],,,[],,,,0.01 g,en faible quantité,9.67 g,en quantité modérée,0 g,en faible quantité,?,,42,-19%,176 kj(42 kcal),-19%,?,,"0,01",-89%,?,,"9,67",+14%,"0,1",-67%,0,-100%,0,-100%,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,8 fruits (115 à 135 g),,,['Carrefour'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,
371,Carrefour,3276550091417,,['Carrefour'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
372,Cremio box : jambon à la crème - Sodebo,3276550165705,,['Sodebo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['France'],[],,,[],,7 g,en quantité modérée,4.6 g,en quantité modérée,1.4 g,en faible quantité,0.75 g,en quantité modérée,?,,178,-46%,745 kj(178 kcal),-46%,7,+170%,"4,6",+560%,19,-69%,"1,4",-49%,"9,2",-21%,"0,75",+254%,"0,3",+254%,4,,C,,,,,,,,,,,,,,,,,,,
373,Tuiles aux amandes,3276550171911,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",['France'],[],,,[],,23 g,en quantité élevée,12 g,en quantité élevée,45 g,en quantité élevée,0.38 g,en quantité modérée,?,,496,+9%,2075 kj(496 kcal),+9%,23,+29%,12,+135%,63,+3%,45,+23%,"8,8",+4%,"0,38",+29%,"0,152",+29%,26,+55%,E,+55%,,,,,,,,,,,,,,,,,,
374,Baguette Complète,3276550190851,,,,['France'],[],,,[],,,,,,,,,,?,,290,,1213 kj(290 kcal),,"0,26",,"0,06",,"65,49",,1,,"9,09",,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Pain spécial Bûchette - Carrefour,3276550191810,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Sachet', 'Papier']",,['Carrefour'],,,,,,
376,Fougassette chorizo,3276550193395,,,,['France'],[],,,[],,,,,,,,,,?,,375,,1569 kj(375 kcal),,20,,12,,33,,"3,3",,14,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,
377,Fougassette olives - Carrefour,3276550193418,,['Carrefour'],,['France'],"['Farine de BLE', 'sauce tomate aromatisée', 'tomates', 'eau', 'amidon', 'sel', 'sucre', 'huile de tournesol', 'basilic', 'poivre', 'thym', 'eau', 'emmental ', 'LAIT', 'olives noires rondelles 10% ', 'olives noires', 'herbes de Provence', 'poivre', 'sel', 'eau', 'BEURRE', 'levure', 'ŒUF', 'sel', 'farine de BLE malté', 'agent de traitement de la farine : acide ascorbique']",['E300 - Acide ascorbique'],"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],,,,,,,,,,?,,374,,1565 kj(374 kcal),,20,,11,,33,,"2,5",,12,,"2,4",,"0,96",,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
378,Fougassette chèvre - Carrefour,3276550193449,,['Carrefour'],,['France'],"['farine de BLE', ""sauce tomate aromatisée 'li "", 'tomates', 'eau', 'amidon', 'sel', 'sucre', 'huile de tournesol', 'basilic', 'poivre', 'thym', 'eau', 'fromage de chèvre 15% ', 'LAIT', 'emmental ', 'LAIT', 'BEURRE', 'levure', 'ŒUF', 'sel', 'farine de BLE malté', 'agent de i traitement de la farine : acide ascorbique']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],,,,,,,,,,?,,363,,1519 kj(363 kcal),,19,,13,,32,,"2,7",,15,,"1,5",,"0,6",,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
379,Fougasse Bleu Noix - Carrefour,3276550199526,B,['Carrefour'],"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses']",['France'],"['Farine de BLE', 'sauce béchamel ', 'eau', 'lactosérum ', 'LAIT', 'amidon modifié', 'poudre de LAIT entier', 'sel', 'épaississant : E415', 'poivre', 'muscade', 'eau', ""Bleu d'Auvergne 12% "", 'LAIT', 'emmental ', 'LAIT', 'BEURRE', 'brisures de NOIX 4%', 'levure', 'ŒUF', 'sel', 'farine de BLE malté', 'agent de traitement de la farine : acide ascorbique']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],4,24 g,en quantité élevée,13 g,en quantité élevée,3.4 g,en faible quantité,1.7 g,en quantité élevée,?,,418,+39%,1749 kj(418 kcal),+39%,24,+120%,13,+169%,34,-10%,"3,4",+68%,15,+40%,"1,7",+16%,"0,68",+16%,22,+63%,E,+63%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,['Carrefour'],,,,,,
380,Fougassette Tartiflette - Carrefour,3276550199717,B,['Carrefour'],"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougassettes']",['France'],"['Farine de BLE', 'sauce béchamel ', 'eau', 'lactosérum ', 'LAIT', 'amidon modifié', 'poudre de LAIT entier', 'sel', 'épaississant : E415', 'poivre', 'muscade', 'eau', 'Reblochon de Savoie 12% ', 'LAIT', 'BEURRE,1ardons fumés 7% ', 'poitrine de porc ', 'origine : UE', 'sel', 'dextrose', 'arôme de fumée', 'acidifiant antioxydant E316', 'conservateur 250', 'pommes de terre 5%', 'levure', 'ŒUF', 'sel', 'farine de BLE malté', 'agent de traitement de la farine : acide ascorbique']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,18 g,en quantité modérée,11 g,en quantité élevée,3.5 g,en faible quantité,1.6 g,en quantité élevée,?,,358,+19%,1498 kj(358 kcal),+19%,18,+65%,11,+128%,35,-7%,"3,5",+73%,11,+3%,"1,6",+9%,"0,64",+9%,21,+56%,E,+56%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,['Carrefour'],,,,,,
381,"Coquillettes nature x4 - Sélectionné par nos équipes! - 0,250kg",3276550209799,C,"['Sélectionné par nos équipes!', 'Carrefour']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Coquilles de Noël']",['France'],"['farine de blé', 'eau', 'beurre AOC Poitou-Charente 10%', 'œufs entiers', 'sucre', 'levure', 'gluten de blé', 'sel', 'émulsifiants : E471 - E472e', 'colorant : E160a', 'agent de traitement de la farine : E300', 'malt de blé']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E160a - Carotènes mélangés', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,"0,250 kg","['Boîte', 'Plastique']",,['Carrefour'],['France'],,,,,
382,Airelles rouges - The Greenery - 200g,3276550230106,C,['The Greenery'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Airelles']",['France'],['Airelles rouges'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,,200 g,"['Barquette', 'Plastique']",,['Carrefour'],,['Catégorie I'],['États-Unis'],,,
383,Aubergines bio,3276550260912,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,
384,Pomme de terre,3276550317494,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,
