,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
331,Linzertorte - Ölz,9005300007187,C,Pâtisserie à pâte brisée fourrée à la pulpe de fruits. - Linzertorte - Tarte de Linz,,['Plastique'],['Ölz'],"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Linzertorte', 'Tartes de Linz']",,['France'],"['Préparation aux fruits à base de groseilles et de pommes 26 % ', 'sucre', 'groseilles 38 %', 'sirop de glucose-fructose', 'pommes 6 % acidifiant: acide citrique', 'gélifiant : pectine', 'conservateur : sorbate de potassium', 'amidon de maïs modifié', 'FARINE DE BLÉ', 'sucre', 'graisse de palme NOISETTES 7%', 'huile de colza', 'ŒUF ENTIER', 'PETIT-LAIT DOUX EN POUDRE', 'émulsifiants ', ""mono-et diglycérides d'acides gras"", 'lécithine', 'cannelle', 'arôme']","['E330 - Acide citrique', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,21 g,en quantité élevée,9.4 g,en quantité élevée,29 g,en quantité élevée,0.2 g,en faible quantité,?,,434,+30%,1816 kj(434 kcal),+28%,21,+57%,"9,4",+25%,54,+11%,29,+4%,"5,6",+30%,"0,2",-23%,"0,08",-23%,20,+23%,E,+23%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,['Huile de palme'],,,,,,,,
332,Linzer Stangerl - Gaber,9006459313266,,,,,['Gaber'],,,['France'],"['Fenes Mürbegebâck mit Aprikosen-Fruchtfüllung und Zucker', 'pflanzliche Fette und ble ', 'Palm', 'Raps', 'Sonnen- b\\une verànderllchen Gewichtsanteilen', 'Aprikosen 8%', 'Feuchthaltemittel: Sorbit Kakaomasse', 'Glukose-Fruktose-Sirup', 'Kakaobutter', 'Maisstârke', 'Vollei- pu!ver', 'Molkenpulver mit Milchfettf Backtriebmittel ', 'E450', 'E500', ' Emulgator: Scjalecithine', ' Vanillint Aroma ', 'enthâlt Milch', 'jodiertes Speisesalz ', 'Speisesalz', 'K- Gewürz', 'modifizierte Stârke', 'Geliermittel: Pektin', ' Sâuerungsmittel: Konservierungsstofr', ' Kaliumsorbat Zartbitterschokolade: Ka- Kenn Spuren von Hase/nüssen und Mande/n cntha/ten']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,[],4,,,,,,,,,?,,462,,1933 kj(462 kcal),,25,,13,,55,,25,,"4,7",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,
333,"Pfanner Icetea Pfirsich - 750ml,",9006900218812,C,Pfanner Icetea Pfirsich,"750 ml,",['Elo Pack'],['Pfanner'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés']",,['France'],[],,,[],,0.5 g,en faible quantité,0.5 g,en faible quantité,4.3 g,en quantité modérée,0.01 g,en faible quantité,?,,18,-10%,75 kj(18 kcal),-12%,"0,5",+395%,"0,5",+1941%,"4,3",-9%,"4,3",-4%,"0,5",+331%,"0,01",-60%,"0,004",-60%,6,-10%,D,-10%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,['Austria'],,,,
334,Balance Apfel-Cranberry - Vöslauer - 0.75l,9009700303337,,,0.75 l,"['Pet', 'Flasche']",['Vöslauer'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas light']",,"['Autriche', 'France', 'Suisse']",[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,2.1 g,en faible quantité,0.01 g,en faible quantité,?,,9,+800%,38 kj(9 kcal),+850%,"0,1",+240%,0,-100%,"2,1",+1338%,"2,1",+1792%,"0,1",+177%,"0,01",-39%,"0,004",-39%,4,+257%,C,+257%,,,,,,,,,,,,,,,,
335,cacao en poudre - vanHouten - 425g,9009981905800,D,,425g,,['vanHouten'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",,['France'],[],,,[],,,,,,,,,,1577,+7%,?,,1577 kj(377 kcal),+10%,"6,8",+58%,"3,7",+45%,65,+3%,62,+10%,"7,8",+23%,"0,5",+139%,"0,2",+139%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,,
336,Rauch Sklo Mango 32%,90087172,,,,,['Rauch'],"['Boissons', 'Boissons avec sucre ajouté']",,['France'],"['eau', '23% purée de mangue', 'sucre', '3%jus de fruit de la passion', 'acidifiant acide citrique']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.1 g,en faible quantité,0.1 g,en faible quantité,13.8 g,en quantité élevée,0 g,en faible quantité,?,,59,-31%,247 kj(59 kcal),-33%,"0,1",-73%,"0,1",-40%,"13,8",-30%,"13,8",-25%,"0,2",-63%,0,-100%,0,-100%,19,+60%,E,+60%,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
337,"Vöslauer,Ohne - 0.5 L",90097775,,,,,['Vöslauer'],,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
338,BCAA AMINO - Women Best,9010128001361,,,,,['Women Best'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']",,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,2.5 g,en faible quantité,0.29 g,en faible quantité,?,,306,+115%,1280 kj(306 kcal),+115%,"0,1",-26%,"0,1",+1100%,3,+122%,"2,5",+1085%,"50,1",+149%,"0,29",+223%,"0,116",+223%,-1,,A,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,
339,Echte Salzburger Mozartkugeln - Mirabell,9012200020017,,,,,['Mirabell'],,,['France'],['6 ECHTE SALZBURGER MOZARTKUGELN Zartherbe Edelschokolade Nihrwertangabe je 100g / Vjiivové üdaje na 100g / Âtlagos tâpérték 100g-ban: Brennwert / Energetickâ hodnota / Energia 2295 kJ/'],,,[],,,,,,,,,,?,,550,,2301 kj(550 kcal),,"34,5",,15,,54,,"51,5",,"4,4",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,
340,Pain spécial kebab - Boucheries André - 550g,9013387000007,,Pain,550 g,['Plastique'],['Boucheries André'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pains', 'Pains spéciaux', 'Pains kebab']",['Boucheries André'],['France'],"['farine de blé', 'eau', 'levure', 'huile végétale', 'sel', 'sucre', 'E472e', 'E341', 'E300', 'alpha amylase fongique,']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E1100 - Amylases']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
341,Lait de soja Bio Pur - Joya Soya - 1l,9020200010907,B,,1 l,,['Joya Soya'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons végétales de soja nature']",,"['France', 'Suisse']","['Sojabasis 100% ', 'Wasser Sojabohnen 9%']",,,[],,2.3 g,en quantité modérée,0.3 g,en faible quantité,0.8 g,en faible quantité,0.03 g,en faible quantité,?,,41,0%,172 kj(41 kcal),+1%,"2,3",+22%,"0,3",-15%,"1,3",-41%,"0,8",-53%,"3,9",+18%,"0,03",-52%,"0,012",-52%,-2,,A,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,"['Bio', 'Sans sucre ajouté']",,,,,,,
342,Joya Oats Hafer Vanille - Vegan,9020200019474,D,,,,['Vegan'],"['Produits laitiers', 'Laits']",,['France'],[],,,"['Végétalien', 'Végétarien']",,1.1 g,en faible quantité,0.2 g,en faible quantité,5.4 g,en quantité modérée,0.12 g,en faible quantité,?,,46,-30%,192 kj(46 kcal),-30%,"1,1",-47%,"0,2",-83%,"8,2",+36%,"5,4",-1%,"0,6",-83%,"0,12",-3%,"0,048",-3%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,
343,Boisson à l amande - Joya,9020200020234,E,,,,['Joya'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",,['France'],[],,['Gluten'],[],,1.1 g,en faible quantité,0.1 g,en faible quantité,2.9 g,en quantité modérée,0.12 g,en faible quantité,?,,36,-5%,151 kj(36 kcal),-5%,"1,1",-48%,"0,1",-60%,"5,4",+45%,"2,9",+5%,"0,9",+4%,"0,12",+37%,"0,048",+37%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,
344,Super Sandwich -  - 750g,9032400019109,B,,750 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,"['France', 'Suisse']","['farine de blé', 'eau', 'levain de blé ', 'farine de blé', 'eau', 'levure', 'sel de table', 'sucre', 'huile de colza', ""farine de malt d'orge""]",,['Gluten'],['Sans huile de palme'],3,2.3 g,en faible quantité,0.29 g,en faible quantité,3.5 g,en faible quantité,1.2 g,en quantité modérée,1029,-9%,?,,1029 kj(246 kcal),-8%,"2,3",-49%,"0,29",-55%,46,+0%,"3,5",-33%,"8,6",+2%,"1,2",+5%,"0,48",+5%,2,+38%,B,+38%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,['Sans conservateurs'],,,,['Autriche'],,,
345,Épeautre & Quinoa,9035367031078,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,427,,1787 kj(427 kcal),,15,,"2,3",,53,,"2,4",,15,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,
346,Coca Cola Zéro,90370762,,,,,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,['France'],[],,,[],,8 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,8,+31900%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,
347,issimo Italian Espresso Style Latte Macchiato - Illy - 250ml,90399572,,,250 ml,,['Illy'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés']",['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,43,-12%,180 kj(43 kcal),-27%,"1,2",-20%,"0,7",-23%,"6,7",-19%,"6,4",+33%,"1,4",-27%,"0,06",-58%,"0,024",-58%,,,,,,,,,,,,,,,,,,,,
348,Ginger Ale,90492181,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,6",,"8,6",,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
349,Baby Brezel - Spar,9100000081205,,,,,['Spar'],,,['France'],"['Weizenmehl', 'Palmöl', 'Salz unjodiert', 'Hefe', 'Weizenmalz', 'Backtriebmittel ', 'Natriumhydrogencarbonat', 'Säureregulator ', 'Natriumhydroxid']",,,[],,,,,,,,,,?,,377,,1577 kj(377 kcal),,"4,1",,"1,4",,71,,"0,5",,12,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,
350,Tropische früchte - Spar,9100000693255,,,,,['Spar'],,['Spar'],['France'],[],,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"0,1",,"0,1",,78,,62,,"4,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
351,Hummus - Spar veggie,9100000739601,B,,,,['Spar veggie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,"['Autriche', 'France']","['Kichererbsen* 38%', 'Trinkwasser', 'Sonnenblunmenöl*', 'Sesamsaat*', 'Sojabohnen*', 'Speisesalz', 'Maisstärke*', 'Zitronensaftpulver*', 'Gewürze*', 'Verdickungsmittel: Johannisbrotkernmehl*', 'Maltodextrin*', 'natürliches Zitronen Aroma', '\r* aus biologischer Landwirtschaft']",,['Soja'],"['Végétalien', 'Végétarien']",4,23 g,en quantité élevée,3 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en quantité modérée,1125,+2%,272,+3%,1125 kj(272 kcal),+2%,23,+14%,3,+22%,"9,9",-7%,"0,4",-70%,"5,1",-21%,"1,1",+6%,"0,44",+6%,4,-20%,C,-20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,"['Végétarien', 'Végétalien']",,,,,,,
352,Trappistenbier - Stift Engelszell - 33cl,9120041150784,C,,33 cl,"['Bouteille', 'Verre']",['Stift Engelszell'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières blondes', 'Bières autrichiennes', 'Bières trappistes']",,"['Belgique', 'France']","['Eau', 'malt', 'houblon', 'levure']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Déconseillé aux femmes enceintes'],,,['Autriche'],,,,
353,Saturo chocolate - 500ml,9120082271103,,,500ml,['Plastica'],['Saturo'],['Boissons'],['Amazon'],"['France', 'Italie']","['Water', 'Maltodextrin', 'Soy Protein Isolate', 'High Oleic Sunflower Oil', 'Cocoa Powder ', '2%', 'Isomaltulose*', 'Canola 0il', 'Tricalcium Phosphate', 'Dimagnesium Phosphate', 'Potassium Citrate', 'Sodium Fluoride', 'Zinc Sulphate', 'Sodium Selenite', 'Chromium Chloride', 'Manganese Sulphate', 'Potassium lodide', 'Sodium Molybdate', 'Vitamins A', 'D', 'K', 'C', 'B1', 'B2', 'B6', 'B12', 'Niacin', 'Folic Acid', 'Biotin', 'Pantothenic Acid', 'Starch', 'Isomaltooligosaccharide', 'Emulsifier: Soy Lecithin', ' Stabilizers: Gellan Gum', 'Locust Bean Gum', ' Salt', 'Natural Flavouring', 'Sweetener: Sucralose']","['E343ii - Dimagnésium phosphate', 'E418 - Gomme gellane', 'E410 - Gomme de caroube', 'E955 - Sucralose']",,"['Végétalien', 'Végétarien']",4,4.9 g,en quantité modérée,0.6 g,en faible quantité,2.3 g,en faible quantité,0.2 g,en quantité modérée,?,,100,+79%,418 kj(100 kcal),+73%,"4,9",+1312%,"0,6",+408%,"8,3",-27%,"2,3",-76%,5,+908%,"0,2",+382%,"0,08",+382%,11,+44%,E,+44%,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,
354,Bagel - Snack now ! - Picard - 160g,9210160830695,B,,160 g,"['Carton', 'boîte', 'Plastique']",['Picard'],"['Surgelés', 'Sandwichs', 'Sandwichs au poisson', 'Sandwichs au saumon']",['Picard'],['France'],"['Farine de blé [farine de blé ', 'gluten', 'gluten de blé', 'antioxydant : acide ascorbique', 'levure désactivée]', 'fromage frais ', 'contient lait', ' 20,1 %', 'saumon fumé ', 'saumon fumé ', 'poissons', ' 14,5 %', 'sel]', 'eau', 'huile de colza', 'pavot 5,2%', 'lait demi-écrémé', 'levure', 'oignon 1,7 %', 'améliorant de panification [farine de blé ', 'gluten', 'farine de blé malté ', 'gluten', 'extrait de malt ', ""malt d'orge "", 'gluten', 'eau', 'gluten de blé', 'antioxydant: acide ascorbique]', 'lait écrémé en poudre', 'sel', 'agent de glaçage : protéine de lait', 'ciboulette 0,2 %']",['E300 - Acide ascorbique'],"['Poisson', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,14 g,en quantité modérée,4.1 g,en quantité modérée,3 g,en faible quantité,1.1 g,en quantité modérée,1254,+30%,300,+27%,1254 kj(300 kcal),+27%,14,+55%,"4,1",+77%,32,+16%,3,-22%,10,+4%,"1,1",-18%,"0,44",-18%,9,+68%,C,+68%,68.6%,11.8%,7.2%,8.4%,3.1%,0.8%,78,,['Fabriqué en France'],,https://www.picard.fr/produits/bagel-saumon-fume-fromage-frais-ciboulette-000000000000083069.html,['France'],,,,
355,Filets de Maquereaux en saumure - John West - 125g,9300462340715,C,,125g,,['John West'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'en:Mackeral']",,"['Australie', 'France']",[],,,[],,20.5 g,en quantité élevée,5.9 g,en quantité élevée,0 g,en faible quantité,0.504 g,en quantité modérée,?,,263,+18%,1100 kj(263 kcal),+19%,"20,5",+25%,"5,9",+60%,0,-100%,0,-100%,"19,5",+19%,"0,504",-55%,"0,202",-55%,5,-20%,C,-20%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,
356,Coles hommus dip - 200g,9300601341153,,Hommus dip,200 g,"['Plastic', 'Container']",['Coles'],"['Epicerie', 'Sauces', 'Trempettes', 'en:Hommus']",['Coles'],"['Australie', 'France']","['Cooked Chickpeas ', '72%', 'Canola Oil', 'Tahini ', '8%', ' ', 'Sesame Seeds', 'Garlic Paste', 'Salt', 'Extra Virgin Olive Oil', 'Lemon Juice Concentrate', 'Vinegar', 'Acidity Regulator ', '330', 'Thickener ', '415', ' Suitable for vegetarians']",['E330 - Acide citrique'],['Graines de sésame'],['Végétarien'],4,15.4 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,0.34 g,en quantité modérée,?,,204,+11%,854 kj(204 kcal),+13%,"15,4",+38%,"1,7",-1%,"6,2",-47%,"0,5",-92%,"5,8",+79%,"0,34",-75%,"0,136",-75%,0,-100%,B,-100%,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Fabriqué en Australie']",,https://shop.coles.com.au/a/a-national/product/coles-dip-hommus,,,,,
357,Mighty grain - Coles,9300601448920,,,,,['Coles'],,,['France'],"['Whole Grain Cereals [Wheat ', '27%', 'Corn ', '7', '5%', 'Oats ', '1', '5%', ']', 'Sugar', 'Wheat Flour', 'Wheat Gluten', 'Malt Extract ', 'from Barley and/or Rice', 'Dextrose ', 'from Wheat', 'Colours ', 'Burnt Sugar', 'Annatto', 'Salt', 'Sunflower Oil', ' Minerals ', 'Calcium', 'Iron', 'Zinc', 'Vitamins ', 'C', 'Niacin', 'B1', 'B2', 'B6', 'Folate']",['E160b - Rocou'],"['Gluten', 'Avoine']",[],4,,,,,,,,,1630,,1610,,1630 kj(1610 kcal),,"1,33",,"0,333",,70,,"26,7",,18,,"0,889",,"0,356",,,,,,,,,,,,,,"[""À l'huile de tournesol""]",,,,,,,
358,Poudre de lait entier vitaminée - Sunshine,9300605001275,D,,,,['Sunshine'],"['Produits laitiers', 'Laits']",,['France'],"['Lait écréme', 'matières grasses laitières', 'lactose ', 'lait', 'émulsifiant ', 'lécithine de soja', 'vitamines ', 'C', 'niacine', 'E', 'A', 'B5 [acide pantothénique]', 'B6', 'riboflavine', 'thiamine', 'acide folique', 'biotine', 'k1', 'D3', 'B12', 'minéraux [phosphate de fer ', 'fer', 'sulfate de zinc ', 'zinc', ']', ' Contient du lait et du soja', ' Ingredients Skim Milk', 'Milk Fat', 'Lactose ', 'Milk', 'Emulsifier ', 'Soy If Vitamins [C', '83 ', 'Niacin', 'E', 'A', 'B5 ', 'Pantothenic Acid', 'B6', 'B2', 'BI', 'B9 ', 'Folate', 'B8 ', 'Bi D', 'Minerals ', 'Iron', 'Zinc', 'Contains Milk and Soy']",['E322i - Lécithine'],"['Lait', 'Soja']",['Non végétalien'],4,3.6 g,en quantité modérée,2.3 g,en quantité modérée,5.1 g,en quantité modérée,0.45 g,en quantité modérée,?,,65,-2%,272 kj(65 kcal),-1%,"3,6",+75%,"2,3",+93%,"5,1",-15%,"5,1",-6%,3,-15%,"0,45",+263%,"0,18",+263%,3,+422%,C,+422%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Entrepreneurs + Engagés'],,,,,,,
359,Nestle Kit Kat Chocolate Bar Share Pack 185g - 185g,9300605042544,,,185 g,,['Kit Kat'],,['Woolworths'],"['Australie', 'France']",[],,,[],,,,,,,,,,?,,88,,368 kj(88 kcal),,"4,7",,"2,9",,"10,2",,"8,6",,"1,1",,"0,013",,"0,005",,,,,,,,,,,,,,,,,,,,,
360,Fortified full cream milk powder - Nestlé - 800g,9300605071117,,Poudre de lait entier vitaminée,800 g,['Plastique sachet'],['Nestlé'],,,"['France', 'Polynésie française']","['Lait écrémé', 'matières grasses laitières', 'lactose ', 'lait', 'émulsifiant ', 'lécithine de soja', 'vitamines ', 'C', 'niacine', 'E', 'A', 'B5 [acide pantothénique]', 'B6', 'riboflavine', 'thiamine', 'acide folique', 'biotine', 'K1', 'D3', 'B12', 'minéraux [phosphate de fer ', 'fer', 'sulfate de zinc ', 'zinc', ']']",['E322i - Lécithine'],"['Lait', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Nouvelle Zélande'],,,,
361,Nestle Milo - 450g,9300605121577,E,,450g,['Tinned'],['Nestlé'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre']",,['France'],[],,,[],,10 g,en quantité modérée,6.1 g,en quantité élevée,46.4 g,en quantité élevée,0.12 g,en faible quantité,?,,400,+18%,1674 kj(400 kcal),+16%,10,+47%,"6,1",+53%,"64,5",+21%,"46,4",+6%,"11,9",+31%,"0,12",-33%,"0,048",-33%,20,+106%,E,+106%,92.1%,2.3%,3.0%,2.3%,0.3%,0.0%,17,,"['en:Health Star Rating', 'en:Health Star Rating 4.5']",,,,,,,
362,Orange Juice -,9300648382010,D,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,['France'],"['SHAKE WELL', ' CONSUME CHILLED', ' REFRIGERATE AFTER OPENING AND CONSUME WITHIN 5-7 DAYS', ' NUTRITION INFORMATION ', 'AVERAGE', ' SERVINGS PER PACK:5 SERVING SIZE: 200mL PER SERVING % DI#PER SERVING PER 100mL ENERGY 336kJ 4% 2% 168kJ PROTEIN 1', '2g <1', '0g 0', '0g CARBOHYDRATE 18', '0g 16', '6g - ADDED SUGAR 0', '0g 0', '4g 16mg 40mg 0', '6g <1', '0g 0', '0g 9', '0g 8', '3g 0', '0g 0', '2g 8mg 20mg FAT', 'TOTAL SATURATED <1% 0% 6% SUGARS 18% DIETARY FIBRE 1% SODIUM 1% VITAMIN C 100% RDI * Recommended Dietary Intake', ' #Percentage Daily Intakes are based on an average adult diet of 8700KJ']",,,[],,0.1 g,en faible quantité,0 g,en faible quantité,8.3 g,en quantité élevée,0.0406 g,en faible quantité,336,+85%,40,-7%,336 kj(40 kcal),+85%,"0,1",-40%,0,-100%,18,+86%,"8,3",-9%,"1,2",+92%,"0,041",+376%,"0,016",+376%,6,+100%,D,+100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Sans sucre ajouté', 'Sans conservateurs']",,,,,,,
363,Yeast Extract - Mondelez - 220g,9300650658912,,,220 g,"['Brown glass pot', 'Plastic lid']",['Mondelez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Pâtes à tartiner à base de levures']",['Little Britain'],['France'],"['yeast extract ', 'from yeast grown on barley and wheat', 'salt', 'malt extract ', 'from barley', 'flavour enhancer ', 'potassium chloride', 'colour ', 'E150c', 'spice extract ', 'contains celery', 'niacin', 'thiamin', 'riboflavin', 'folic acid']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Céleri', 'Gluten']",['Végétarien'],4,0.9 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,8.25 g,en quantité élevée,?,,173,-28%,724 kj(173 kcal),-28%,"0,9",-70%,"0,1",-93%,11,-35%,"2,4",+19%,26,-4%,"8,25",+45%,"3,3",+45%,12,-3%,D,-3%,,,,,,,,,"['Végétarien', 'Fabriqué en Australie', 'Point Vert', 'en:Contains Folic acid']",,,['Australia'],,,,
364,Up&Go -,9300652002652,,,,,,,,['France'],"['Filtered water', 'skim milk powder', 'cane sugar', 'maltodextrin ', 'wheat', 'corn', 'soy protein', 'vegetable fibre', 'vegetable oils ', 'sunflower', 'canola', 'corn syrup solids', 'fructose', 'oat flour', 'flavour', 'acidity regulator ', '332', 'vegetable gums ', '460,466,407', 'mineral ', 'calcium', 'stabiliser ', '452', 'salt', 'vitamins ', 'C,niacin', 'A', 'B12', 'B6', 'B2', 'BI', 'folate', ' Contains milk', 'soy and cereals containing gluten']","['E332 - Citrates de potassium', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,79,,331 kj(79 kcal),,"1,5",,"0,2",,12,,"7,6",,"3,3",,"0,066",,"0,026",,,,,,,,,,,,,,['Contient du lait'],,,,,,,
365,Heinz Tomato Ketchup - 300g,9300657300012,,Tomato Ketchup,300g,['Bottle'],['Heinz'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",,"['France', 'Singapour']",[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,27 g,en quantité élevée,1.16 g,en quantité modérée,?,,113,+5%,473 kj(113 kcal),+4%,"0,1",-42%,"0,1",+63%,27,+25%,27,+42%,"1,1",-17%,"1,16",-32%,"0,464",-32%,11,-4%,D,-4%,,,,,,,,,,,,,,,,
