,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
92,Galette Potagère - Honelthy - 70g,3770011826162,['Sachet recyclable'],['France'],"['Tomates séchées bio', 'oignons séchés bio', 'carottes séchées bio', 'graines de lin bio', 'graines de tournesol bio']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,409,17,41,15,"['Peu ou pas de sel', 'Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'Fabriqué en France', 'Sans sel ajouté', 'Sans sucre ajouté', 'Sans additifs', 'Sans huile de palme', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Légumes séchés']",,+88%,+53%,+140%,+255%,,,,,,,,['Honelthy'],1711 kj(409 kcal),"1,8",23,"0,32","0,128",,70 g,,1,17 g,en quantité modérée,1.8 g,en quantité modérée,23 g,en quantité élevée,0.32 g,en quantité modérée,+89%,+31%,+113%,-89%,-89%,-3,-162%,A,-162%,,['France'],,,,https://honelthy.com/galette-potagere.php,
93,Sauté de porc au Maroilles,3563800002393,,['France'],[],[],?,157,"9,7","3,1","14,3",,,,,,,,,,,,,,,,,657 kj(157 kcal),"4,2","0,5","1,05","0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Oeuf,3262581523348,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Yum yum beef flavour,5857450101017,,['France'],[],[],?,288,"13,7","35,5","4,6",,,,,,,,,,,,,,,,,1205 kj(288 kcal),"6,7","2,6","1,24","0,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Napolitains chocolat noir 70% cacao,3193840925217,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pelon mini,0719886225093,,['France'],[],[],?,0,0,11,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Jambon de Bayonne igp - Les Toques Blanches du Monde,3770002165799,,['France'],[],[],?,234,12,"0,5",30,['Point Vert'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,-4%,-14%,-21%,+2%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,['Les Toques Blanches du Monde'],979 kj(234 kcal),"4,7","0,5","4,7","1,88",,,,,12 g,en quantité modérée,4.7 g,en quantité modérée,0.5 g,en faible quantité,4.7 g,en quantité élevée,-5%,-21%,+8%,-2%,-2%,16,-11%,D,-11%,,,,,"['FR 65.100.003 CE', ""Bordères-sur-l'Échez (Hautes-Pyrénées, France)""]",,
99,"Cucina Limonaie, Feine Italienische Gebäckspeziali...",23162709,,['France'],[],[],?,413,"16,3","53,7","10,9",,,,,,,,,,,,,,,,,1728 kj(413 kcal),1,"36,4","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,RANI float,6261422500118,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Impériale (préparation à base de clémentine et pamplemousse),3760190522320,,['France'],[],[],?,225,"0,3",55,"0,6",,,,,,,,,,,,,,,,,941 kj(225 kcal),"0,1",54,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Jambon superieur traditionnel,2653869027558,,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 71.076.001 CE', 'Chalon-sur-Saône (Saône-et-Loire, France)']",,
103,Aceite de oliva virgen Sabor Mediterraneo bidón 5 l - Mar de Olivos,8423036000172,,['France'],[],[],?,900,100,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges""]",,+5%,+5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Mar de Olivos'],3766 kj(900 kcal),14,0,0,0,,,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,0%,,-100%,-100%,6,-2%,C,-2%,,,,,,,
104,Comté,0262248026635,,['France'],[],[],?,431,35,2,27,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,+3%,+1%,+333%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,1803 kj(431 kcal),24,"0,5","0,9","0,36",,,,,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,+3%,+6%,+87%,+7%,+7%,13,0%,D,0%,,,,,,,
105,Delizie Di Calabria - Hot Pepper Sauce - 280G,8007548003342,,['France'],[],[],?,263,24,"9,6","1,8",,,,,,,,,,,,,,,,,1100 kj(263 kcal),"5,2",0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Riz soufflé chocolat noir orange - 100g,3700416211942,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Yaourt gourmand - 2x 150g,8419770316105,,['France'],[],[],?,133,"7,4","13,5",3,,,,,,,,,,,,,,,,,556 kj(133 kcal),"5,2","13,4","0,09","0,036",,2 x 150 g,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Miel de garrigue,3368040701255,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Crème de noix - 210g,7191663533165,,['France'],[],[],?,394,"23,7",36,"7,9","['Bio', 'Bio européen']",,,,,,,,,,,,,,,,1648 kj(394 kcal),"2,1","33,1",0,0,,210 g,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Oats 2 go - Mornflake,5010026513274,,['France'],[],[],?,376,"5,9","62,2","15,2",,,,,,,,,,,,,,,,['Mornflake'],1573 kj(376 kcal),1,"20,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Picholine huile d'olive de picholine,3760053811004,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Arros Integral Moli De Pals 1 KGR C / 12,8437000075233,,['France'],[],[],?,353,"2,5","74,8","6,3",,,,,,,,,,,,,,,,,1477 kj(353 kcal),"0,6","1,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Cornouiller du jardin de l'abbaye,4444000000343,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Square magdalenas,5020092701055,,['France'],[],[],?,421,20,"54,4",5,,,,,,,,,,,,,,,,,1761 kj(421 kcal),3,29,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Camus Borderies Vsop Limited Edition 2014 In GP,3028130070660,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Sirop de menthe bio équitable,3217699916001,,['France'],[],[],?,284,"0,5",71,"0,5",['Bio'],B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,+19%,+355%,+15%,+339%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,1188 kj(284 kcal),"0,1",71,"0,04","0,016",,,,,,,,,,,,,+15%,+237%,+20%,+81%,+81%,,,,,,,,,,,
117,Couronne briochée préparation s/place,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Pruneau,2609916029327,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Pommes - 500g,9001442215718,['Packung(en)'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Fladenbrot - 500g,4260303070056,['Beutel'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats']",,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Knack fumée,2402213041463,,['France'],[],[],?,223,19,"0,6","12,5",,,,,,,,,,,,,,,,,933 kj(223 kcal),"8,14","0,6","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Pétales choco - Gavroche Céréales,3700181513173,,['France'],[],[],?,385,"3,3",79,8,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",,-8%,-68%,+12%,+1%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Gavroche Céréales'],1611 kj(385 kcal),"1,6",29,"0,1","0,04",,,,,3.3 g,en quantité modérée,1.6 g,en quantité modérée,29 g,en quantité élevée,0.1 g,en faible quantité,-8%,-50%,+16%,-80%,-80%,7,-30%,C,-30%,,,,,,,
123,Mermelada Extra de Frambuesa Sin Pepitas - Sabores del Guijo - 400g,8426959000014,,['France'],[],[],?,240,"0,05","58,8","0,5",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,+7%,-82%,+10%,-26%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['Sabores del Guijo'],1004 kj(240 kcal),0,"44,1","0,01","0,004",,400 g,,,0.05 g,en faible quantité,0 g,en faible quantité,44.1 g,en quantité élevée,0.01 g,en faible quantité,+7%,-100%,-14%,-53%,-53%,6,-32%,C,-32%,,,,,,,
124,Tarrito de calabaza zanahoria y arroz ecológico,3288131503578,,['France'],[],[],?,73,"1,1","13,6",1,['Bio'],,,,,,,,,,,,,,,,305 kj(73 kcal),"0,1","1,9","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Pain complet,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Decoupe poulet jaune,0263217049983,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Confiture de rhubarbe bio - Les Confitures de Haute-Soule,3760101593784,,['France'],"['Rhubarbe*', 'sucre*', 'pectine', 'acide citrique', "" Produits issus de l'Agriculture Biologique ""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,213,"0,4",59,"1,02",['Bio'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",,-3%,+92%,+8%,+119%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Les Confitures de Haute-Soule'],891 kj(213 kcal),0,59,0,0,,,,4,0.4 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,-4%,-100%,+12%,-100%,-100%,10,+18%,C,+18%,,,"['E440 - Pectines', 'E330 - Acide citrique']",,,,
128,Sardines,3701250700050,,['France'],[],[],?,346,"28,8","0,5","19,3",,,,,,,,,,,,,,,,,1448 kj(346 kcal),"4,4","0,5","1,04","0,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Porc bio cote sans os mincerette - Carrefour Bio,3245415698818,,['France'],[],[],?,?,?,?,?,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,['Carrefour Bio'],,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 45147', 'Fleury-les-Aubrais (Loiret, France)', 'FR 45.147.004 CE', 'Fleury-les-Aubrais (Loiret, France)']",,
130,Petits Pots Légumes +4 Mois - La Potion des Lutins,3770006059223,,['France'],[],[],?,39,"1,75","4,7","1,03",['Sans colorants'],,,,,,,,,,,,,,,['La Potion des Lutins'],163 kj(39 kcal),"0,156","3,41","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Chorizo Gran Vela Extra,2944532017502,,['France'],[],[],?,?,?,?,?,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Lunette choco noisette - 200g,3760202510376,,['France'],[],[],?,555,29,63,"8,5",,,,,,,,,,,,,,,,,2322 kj(555 kcal),13,"34,9","0,01","0,004",,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Confiture cerise - 350g,0680496101360,,['France'],[],[],?,48,0,12,0,,,,,,,,,,,,,,,,,201 kj(48 kcal),0,11,0,0,,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2409383005844,2409383005844,,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Caillette coktail,2687296046059,,['France'],[],[],?,272,23,2,13,,,,,,,,,,,,,,,,,1138 kj(272 kcal),"8,8",1,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Filets de Poulet - Carrefour - 242g,0219966022043,"['Sous vide', 'Frais']",['France'],[],[],?,?,?,?,?,"['Viande Française', 'Volaille-francaise']",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,,,,,['Carrefour'],242 g,,,,,,,,,,,,,,,,,,,,,['France'],,,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,
137,Foie de veau,2666271029980,,['France'],[],[],?,135,"4,8",0,20,,E,"['Viandes', 'Viandes de veau', 'Foie de veau']",,+2%,+6%,-100%,+4%,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,565 kj(135 kcal),"1,6",0,"0,19","0,076",,,,,4.8 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,0.19 g,en faible quantité,+3%,+4%,-100%,+3%,+3%,-3,,A,,,,,,,,
138,Pesto tomate,3609761401018,,['France'],[],[],?,411,37,12,"4,6","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,1720 kj(411 kcal),"6,4",12,"4,841","1,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Jambon supérieur sans couenne 6 tranches fines,2871621029453,,['France'],[],[],?,111,3,1,20,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",,-16%,-38%,+49%,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,464 kj(111 kcal),"1,2","0,5","2,1","0,84",,,,,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,-15%,-35%,-16%,+12%,+12%,11,+56%,D,+56%,,,,,,,
140,Huile olive truffe blanche - 100ml,8025386005052,,['France'],[],[],?,825,"91,7",0,0,,,,,,,,,,,,,,,,,3452 kj(825 kcal),"13,6",0,0,0,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Lyre Bio,0213048053000,,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bubulubu Mini - ricolino,0074323011616,,"['France', 'Espagne']",[],[],?,?,?,?,?,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Bonbons', 'Barres chocolatées']",,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Ricolino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Lentille assaisonnees au sauvisson a cuire veritable de lyon,0218892035684,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Huile d'olive vierge extra Aïl Basilic,3027102331501,,['France'],[],[],?,?,?,?,?,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Le poulet rôti - Le Gaulois,2431625063633,,['France'],[],[],?,146,"5,6",0,24,['Sans conservateurs'],D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Poulets rôtis']",,-12%,-31%,-100%,+8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Le Gaulois'],611 kj(146 kcal),"1,6",0,"0,96","0,384",,,,,5.6 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,0.96 g,en quantité modérée,-12%,-29%,-100%,-19%,-19%,1,-78%,B,-78%,,,,,,,
146,Thon tartare,3760286220062,,['France'],[],[],?,50,"2,7","1,5",15,,,,,,,,,,,,,,,,,209 kj(50 kcal),1,0,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Chelita queso fresco latino sin gluten,8436039435292,,"['France', 'Espagne']",[],[],?,238,18,"2,5",15,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,-28%,-32%,+107%,-26%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,996 kj(238 kcal),"11,6","2,5","1,8","0,72",,,,,18 g,en quantité modérée,11.6 g,en quantité élevée,2.5 g,en faible quantité,1.8 g,en quantité élevée,-27%,-35%,+237%,+38%,+38%,14,+2%,D,+2%,,,,,,,
148,Schweinefilet,2176971003208,['stück'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1000g,8437009246948,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Fourme d'Ambert,2281798019292,,['France'],[],[],?,338,28,"1,5",20,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,-1%,-1%,+52%,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,1414 kj(338 kcal),20,"0,5","2,1","0,84",,,,,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,-1%,+1%,+44%,-5%,-5%,18,0%,D,0%,,,,,,,
151,Mont d'or l'écho des forêts,3476810000078,,['France'],[],[],?,286,24,"0,5",17,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",,-3%,-3%,+11%,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,1197 kj(286 kcal),17,"0,5","1,5","0,6",,,,,24 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-3%,+2%,+28%,+6%,+6%,14,+1%,D,+1%,,,,,,,
152,Mimolette,0239917006953,,['France'],[],[],?,322,"24,4","0,5",25,,,,,,,,,,,,,,,,,1347 kj(322 kcal),"16,7","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Jean Nicolas petit pois carottes,3156250121259,,['France'],[],[],?,600,12,80,6,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,+934%,+2324%,+885%,+94%,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,2510 kj(600 kcal),9,65,90,36,,,,,12 g,en quantité modérée,9 g,en quantité élevée,65 g,en quantité élevée,90 g,en quantité élevée,+941%,+7043%,+1806%,+15206%,+15206%,27,,E,,,,,,,,
154,Melange top fruit,3700196649201,,['France'],[],[],?,444,22,44,13,,,,,,,,,,,,,,,,,1858 kj(444 kcal),"3,2",40,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Filet cabillaud,2278353066518,,['France'],[],[],?,78,"0,6","0,5",18,,,,,,,,,,,,,,,,,326 kj(78 kcal),"0,5",0,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Jjejfj,9782012027749,,['France'],[],[],?,?,?,?,?,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Cinnamon Stars - Wicklein,4008355013412,,['France'],[],[],?,480,"26,6","47,8","9,8",,,,,,,,,,,,,,,,['Wicklein'],2008 kj(480 kcal),"3,3","42,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Berlimo Rhabarber-Lavendel,4260426040387,,['France'],[],[],?,26,"0,1","6,3","0,1",,,,,,,,,,,,,,,,,109 kj(26 kcal),"0,1","6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Crema de garbanzos tarrina 400 g - Diquesi,8437016312537,,['France'],[],[],?,268,"4,4",40,14,,,,,,,,,,,,,,,,['Diquesi'],1121 kj(268 kcal),"1,2","5,6","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Fourmi,32750,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Flan nature,0207521020993,,['France'],[],[],?,204,7,32,"3,2",,B,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,-2%,-9%,+10%,-13%,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,854 kj(204 kcal),"4,2",22,"0,19","0,076",,,,,7 g,en quantité modérée,4.2 g,en quantité modérée,22 g,en quantité élevée,0.19 g,en faible quantité,-3%,-10%,+24%,-22%,-22%,9,-7%,C,-7%,,,,,,,
162,0291436023682,0291436023682,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Jambon a l'ancienne,2402828019482,,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Viande Porcine Française']",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.004.023 CE', 'Bannalec (Finistère, France)', 'EMB 29004', 'Bannalec (Finistère, France)']",,
164,Harissa,6111245662206,,['France'],[],[],?,63,"0,48","12,71",2,,C,"['Epicerie', 'Sauces', 'Harissas']",,-41%,-89%,+40%,-21%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,264 kj(63 kcal),0,1,"0,23","0,092",,,,,0.48 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.23 g,en faible quantité,-41%,-100%,-73%,-94%,-94%,0,-100%,B,-100%,,,,,,,
165,Cola soothers,5411011512164,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Almendras Marcona tostadas tarrina 225 g - El Corte Inglés,8433329020619,,['France'],[],[],?,615,46,25,13,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes']",,-2%,-13%,+89%,-33%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,['El Corte Inglés'],2573 kj(615 kcal),"3,1","7,8","6,3","2,52",,,,,46 g,en quantité élevée,3.1 g,en quantité modérée,7.8 g,en quantité modérée,6.3 g,en quantité élevée,-2%,-32%,+81%,+8448%,+8448%,11,+540%,D,+540%,,,,,,,
167,Poulet D'Ici,2228351016404,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Super soft white baps,821005190830021900155,,['France'],[],[],?,268,"4,7","46,6","8,4",,,,,,,,,,,,,,,,,1121 kj(268 kcal),"0,8","2,9","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Sel au Piment d'Espelette,3760024380218,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Tasty slices,5028482102130,,['France'],[],[],?,268,"14,3","0,5","33,1",,,,,,,,,,,,,,,,,1121 kj(268 kcal),"8,7","0,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Gaudrioles Coco - 160g,3760214070035,,['France'],[],[],?,513,"25,7","60,3",9,,,,,,,,,,,,,,,,,2146 kj(513 kcal),"12,6","21,8","0,06","0,024",,160 g,,,,,,,,,,,,,,,,,,,,,,,,,,
