,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1321,"100 % pur jus, Raisin - Cora - 1L",3257980017666,C,['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin', 'Jus de fruits pur jus', 'Jus de raisin pur jus']","['Pur jus', 'Triman', '100\xa0% Pur Fruit Pressé', 'Info-Tri Point Vert']",['Cora'],['France'],['100 % pur jus raisin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,14.5 g,en quantité élevée,0.01 g,en faible quantité,274,-3%,65,-3%,274 kj(65 kcal),-3%,"< 0,5",+135%,0,-100%,15,-7%,"14,5",-8%,"0,7",+96%,"< 0,01",+56%,"0,004",+56%,10,+1%,E,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,1,['Brique carton et son bouchon à recycler'],,,"[""Jus de Fruits d'Alsace - JFA (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - Zone Industrielle Rimsdorf - 67260 Sarre-Union"", 'Bas-Rhin', 'Alsace-Champagne-Ardenne-Lorraine', 'France']","['EMB 67434', 'Sarre-Union (Bas-Rhin, France)']",,Jus de raisin,,,,,
1322,Sirop de Menthe CORA - 1l,3257980017741,A,['Cora'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",,['Cora'],['France'],"['Sirop de glucose/fructose', 'eau', 'sucre', 'arôme naturel de menthe', 'colorants : E161b', 'E131']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,1301,+19%,?,,1301 kj(311 kcal),+26%,~ 0,-100%,0,-100%,76,+24%,72,+21%,~ 0,-100%,"0,254",+1049%,"0,102",+1049%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,1 l,4,"['Bouteille', 'Aluminium']","['E161b - Lutéine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",,,,,Sirop de Menthe,,,,,
1323,Crème fraîche Légère (15% MG) - Cora - 497g (50cl),3257980019912,C,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",,['Cora'],['France'],['Crème légère pasteurisé 97% - amidon transformé de pomme de terre et tapioca - épaississant : pectines - ferments lactiques'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",15 g,en quantité modérée,10 g,en quantité élevée,3.5 g,en faible quantité,0.08 g,en faible quantité,705,+8%,?,,705 kj(168 kcal),+6%,15,+6%,10,+6%,"6,3",+16%,"3,5",-10%,"2,5",-9%,"0,08",-26%,"0,032",-26%,11,+12%,D,+12%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,497 g (50 cl),4,"['Pot', 'Couvercle', 'Plastique', 'Opercule', 'Métal']","['E14XX - Amidons modifiés', 'E440 - Pectines']",['Lait'],"['Normandie', 'France']","['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,Crème fraîche légère épaisse,,,,,
1324,"Petits Pois Très Fins, Boîte De 280 Grammes, Marque Cora",3257980020215,,['Cora'],,,['Cora'],['France'],['petits pois - eau - sucre - sel - arôme naturel de poivre'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,98,,410 kj(98 kcal),,"0,6",,"0,1",,"15,7",,"3,3",,"5,3",,"0,53",,"0,212",,,,,,,,,,,,,,4,['Conserve'],,,,,,,,,,,
1325,Palets bretons - Cora - 125g,3257980030047,C,['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,['Cora'],"['Belgique', 'France']","['Farine de blé - beurre pâtissier 26,5% - sucre - œufs - poudres à lever diphosphates', 'carbonates de sodium - sel - émulsifiant lécithines ', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",26.2 g,en quantité élevée,17.5 g,en quantité élevée,25.4 g,en quantité élevée,0.975 g,en quantité modérée,?,,509,+4%,2130 kj(509 kcal),+3%,"26,2",+12%,"17,5",+26%,"61,5",-2%,"25,4",0%,"5,9",-5%,"0,975",+43%,"0,39",+43%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,125 g,4,"['Carton', 'Plastique']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Soja']",,"['EMB 44182', 'Saint-Michel-Chef-Chef (Loire-Atlantique, France)']",,,,,,,
1326,"Fromage frais (3,2% MG) - Cora - 800g (8 * 100g)",3257980040534,C,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,['Cora'],['France'],"['Lait écrémé pasteurisé', 'crème fraîche pasteurisée', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.2 g,en quantité modérée,2.1 g,en quantité modérée,3.3 g,en faible quantité,0.1 g,en faible quantité,?,,72,-51%,301 kj(72 kcal),-52%,"3,2",-70%,"2,1",-70%,"3,3",-39%,"3,3",-31%,"7,5",+11%,"0,1",-70%,"0,04",-70%,-2,-149%,A,-149%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,800 g (8 * 100 g),3,"['Carton', 'pot']",,['Lait'],['France'],"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",,,,,,,
1327,Lait écrémé en poudre - Cora - 300g,3257980052872,,['Cora'],"['Boissons', 'Produits laitiers', 'Produits déshydratés', 'Laits', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits écrémés', 'Laits en poudre', 'Boissons sans sucre ajouté', 'Préparation pour boisson']",,['Cora'],['France'],['Lait écrémé en poudre'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,1526,+4%,359,+12%,1526 kj(359 kcal),+10%,"0,8",-90%,"0,5",-89%,52,+37%,52,+45%,36,+49%,"1,1",+56%,"0,44",+56%,,,,,,,,,,,,300g,3,['Carton'],,['Lait'],,"['EMB 71448', 'Saint-Martin-Belle-Roche (Saône-et-Loire, France)', 'FR 71.448.001 CE', 'Saint-Martin-Belle-Roche (Saône-et-Loire, France)']",['France'],Poudre de lait écrémé à dissolution instantanée,,,,,
1328,Vinaigre de cidre - Cora - 75cl,3257980053244,A,['Cora'],"['Vinaigres', 'Vinaigres de cidre']",,,['France'],[],[],0.2 g,en faible quantité,0.05 g,en faible quantité,0.08 g,en faible quantité,5 g,en quantité élevée,?,,22,+47%,92 kj(22 kcal),+53%,"0,2",+90%,"0,05",+95%,"0,3",-80%,"0,08",-89%,"0,3",+104%,5,+28636%,2,+28636%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,75 cl,,['Bouteille'],,,,,,,,,,,
1329,Maïs doux en grains - Cora - 150g,3257980084811,B,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve', 'Maïs doux en conserve']",['Sans OGM'],['Cora'],['France'],['Maïs doux en grains - eau - sucre - sel'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.5 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0.61 g,en quantité modérée,528,+33%,125,+40%,528 kj(125 kcal),+40%,"1,5",-7%,0,-100%,23,+61%,5,+4%,"3,4",+22%,"0,61",+36%,"0,244",+36%,-6,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,150 g,3,"['Conserve', 'Sous-vide', 'Conserve']",,,,,,Maïs doux en grains sous vide,,,,,
1330,Lait Entier - Cora - 1L,3257980105585,B,"['Cora', 'Groupe Louis Delhaize']","['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits entiers']","['en:FSC', 'Source de calcium', 'en:fsc-c014047', 'Origine France']","['Match', 'Cora']","['Belgique', 'France']",['Lait à 36 g/l de matières grasses'],['Non végétalien'],3.6 g,en quantité modérée,2 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,64,-3%,268 kj(64 kcal),-4%,"3,6",-3%,2,-16%,"4,8",+0%,"4,8",+1%,"3,2",-3%,"0,1",-15%,"0,04",-15%,1,-37%,B,-37%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,1 L,1,"['Brique', 'Carton', 'Bouchon', 'Plastique']",,['Lait'],"[""Lactinov Braine [Filiale Groupe Lactinov (Filiale Lact'Union)] - 9 Rue Claude Reclus - Zone d'Activités des Waillons - 02220 Braine"", 'Aisne', 'Picardie', 'France']","['FR 02.110.001 CE', 'Braine (Aisne, France)', 'FSC-C014047']",['France'],Lait entier stérilisé UHT,,,,,
1331,Pruneaux d'Agen géants dénoyautés - Cora - 500g (2x 250g),3257980112071,E,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]","['Sans conservateurs', 'IGP']",['Cora'],['France'],"['Pruneaux', 'eau', 'conservateur : sorbate de potassium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,37.9 g,en quantité élevée,0 g,en faible quantité,?,,230,-5%,962 kj(230 kcal),-5%,"0,5",+39%,"0,1",-12%,"52,3",-2%,"37,9",+4%,"2,4",+28%,0,-100%,0,-100%,-1,-146%,A,-146%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,500 g (2 x 250 g),3,['Plastique'],"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,"['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']",,Pruneaux d'Agen géants dénoyautés,,,,,
1332,Buiscuits cuillers - Cora - 300g,3257980112583,C,['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",['Point Vert'],['Cora'],['France'],"['Sucre', 'farine de blé', 'œufs frais 32%', 'sirop de sucre inverti', 'lait écrémé en poudre', 'sel', 'arôme', 'acidifiant : tartrates de potassium', ""blanc d'œuf en poudre "", 'dont agent moussant : citrate de triéthyle', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3.6 g,en quantité modérée,1.4 g,en faible quantité,48.2 g,en quantité élevée,0.475 g,en quantité modérée,?,,358,-5%,1498 kj(358 kcal),-6%,"3,6",-5%,"1,4",+24%,73,-6%,"48,2",-1%,"7,6",-0%,"0,475",+120%,"0,19",+120%,16,+11%,D,+11%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,300 g,4,"['Boîte', 'Carton', 'Plastique']","['E336 - Tartrates de potassium', 'E1505 - Citrate de triéthyle', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait']",,,,36 buiscuits cuillers aux œufs frais,,,,,
1333,Sablés napés Chocolat au lait - Cora - 200g,3257980112606,D,['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",,['Cora'],['France'],"['Farine de blé - chocolat au lait 27% ', 'sucre - beurre de cacao - lait entier en poudre - pâte de cacao - émulsifiant : lécithine de soja - arôme', "" - graisse végétale de palme - sucre - sirop de glucose - poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'phosphates de calcium - noix de coco râpée - sel - protéines de lait - lait écrémé en poudre']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",25 g,en quantité élevée,13 g,en quantité élevée,29 g,en quantité élevée,0.52 g,en quantité modérée,?,,516,+3%,2159 kj(516 kcal),+3%,25,+5%,13,+8%,65,+4%,29,+7%,"6,6",-5%,"0,52",-31%,"0,208",-31%,22,+2%,E,+2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,200 g,4,"['Film', 'Plastique', 'Etui', 'Carton']","['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Soja']",,"['EMB 82121', 'Montauban (Tarn-et-Garonne, France)']",,,['Huile de palme'],,,,
1334,Champignons de paris pied et morceaux - Cora - 400g (230g égoutté),3257980113924,A,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve']",['Eco Emballage'],['Cora'],"['Belgique', 'France', 'Luxembourg']","['Champignons de Paris', 'jus de cuisson de champignons de Paris ', 'eau', 'concentré de champignons', ' sel', 'acidifiant : acide citrique', 'antioxydant : acides ascorbique']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,79,0%,?,,79 kj(19 kcal),-10%,"0,5",+49%,"< 0,1",+47%,"0,6",-29%,"< 0,5",+60%,"2,2",-2%,"0,7",+8%,"0,28",+8%,-5,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,400 g (230 g égoutté),3,"['Conserve', 'Aluminium', 'Conserve']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",,['France'],"['EMB 49328', 'Saumur (Maine-et-Loire, France)', 'EMB 49328J', 'Saumur (Maine-et-Loire, France)']",,Champignon de Paris,,,,,
1335,"Lentilles préparées - Cora - 800g (530g net égoutté), 850ml",3257980120519,B,"['Cora', 'Groupe Louis Delhaize']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Lentilles en conserve']","['Point Vert', 'Eco-Emballages']",['Cora'],['France'],"['Lentilles - eau - sel - arômes ', 'dont céleri']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,0.97 g,en quantité modérée,?,,85,0%,356 kj(85 kcal),+0%,"0,5",-41%,"0,1",-56%,"12,2",+7%,"0,4",-37%,"6,1",+0%,"0,97",+38%,"0,388",+38%,-2,,A,,18.0%,39.2%,18.8%,10.4%,5.3%,8.4%,93,"800 g (530 g net égoutté), 850 ml",4,"['Boîte', 'Conserve', 'Métal']",,['Céleri'],"['Compagnie Générale de Conserve - CGC (Filiale Groupe CECAB) - ZA Saint-Léonard Nord - Kerlurec - 56450 Theix', 'Morbihan', 'Bretagne', 'France']","['EMB 56251E', 'Theix (Morbihan, France)']",,Lentilles préparées,,,,,
1336,Petit Brie - Cora - 500g,3257980158864,B,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,['Cora'],['France'],"['Lait pasteurisé ', 'origine : France', ' - sel - ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,342,+10%,1431 kj(342 kcal),+10%,30,+16%,21,+15%,1,+43%,"0,5",+32%,17,-10%,"1,3",-18%,"0,52",-18%,14,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,3,['Frais'],,['Lait'],,,['France'],,,,,,
1337,Chips à l'ancienne - Cora,3257980204370,B,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips à l'ancienne"", ""Chips de pommes de terre à l'huile de tournesol""]",,['Cora'],['France'],[],[],37 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,564,+1%,2360 kj(564 kcal),+1%,37,0%,"3,5",+6%,50,+2%,"0,5",-29%,"5,4",-4%,"1,2",-9%,"0,48",-9%,11,-5%,D,-5%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,"['Sachet', 'Plastique']",,,,"['EMB 13005C', 'Aubagne (Bouches-du-Rhône, France)']",,,,,,,
1338,Sauce tomate provençale - Nature Bio - 200g,3257980251893,A,['Nature Bio'],"['Epicerie', 'Sauces', 'Sauces tomate']",['Bio'],"['Cora', 'Match']",['France'],"['Concentré de tomates 49%', 'eau', 'oignons 6%', 'poivrons rouges 3%', 'sucre de canne', ""huile d'olive vierge extra"", 'huile de tournesol', 'basilic', 'ail', 'sel marin', 'thym', 'origan', 'paprika']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.8 g,en faible quantité,0.4 g,en faible quantité,9.7 g,en quantité modérée,0.66 g,en quantité modérée,?,,84,-5%,351 kj(84 kcal),-2%,"2,8",+30%,"0,4",+14%,"10,4",-13%,"9,7",-0%,"2,6",+67%,"0,66",-49%,"0,264",-49%,0,-100%,B,-100%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,200 g,3,"['Bocal', 'Verre']",,,,"['EMB 66011A', 'Bages (Pyrénées-Orientales, France)']",,"Sauce tomate à base de tomates, d'oignons et de poivrons.",,,,,
1339,Goûters fourrés - Cora - 330,3257980495822,D,"['Cora', 'Cora']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",,['Cora'],['France'],"['Farine de blé 51% - sucre - matière grasse végétale hydrogénée ', 'coprah', ' et matière grasse végétale non hydrogénée ', 'palme', ' - sirop de glucose - cacao maigre en poudre 4% - lactosérum en poudre - lactose - poudres à lever : carbonates de sodium', ""carbonates d'ammonium"", 'diphosphates - lait écrémé en poudre - sel - arôme - protéines de lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",18.4 g,en quantité modérée,14.4 g,en quantité élevée,30.9 g,en quantité élevée,0.56 g,en quantité modérée,?,,468,-0%,1958 kj(468 kcal),-1%,"18,4",-4%,"14,4",+69%,"67,4",+1%,"30,9",-6%,"6,6",+14%,"0,56",+1%,"0,224",+1%,20,+1%,E,+1%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,330,4,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",,,,,['Huile de palme'],,,,
1340,Galettes Bretonnes - Patrimoine gourmand,3257980595874,C,['Patrimoine gourmand'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,"['Cora', 'Match']",['France'],['Farine de blé - beurre frais 29% - sucre - œufs - sel - dorure : poudre de lait écrémé'],"['Sans huile de palme', 'Non végétalien']",25.2 g,en quantité élevée,16.7 g,en quantité élevée,29.5 g,en quantité élevée,0.875 g,en quantité modérée,?,,514,+5%,2151 kj(514 kcal),+4%,"25,2",+8%,"16,7",+20%,"65,1",+3%,"29,5",+16%,6,-3%,"0,875",+28%,"0,35",+28%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,3,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,
1341,Mousse de Canard au Porto - Cora - 180g,3257980701404,D,"['Cora', 'Groupe Louis Delhaize']","['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Mousses salées', 'Mousses de canard', 'Mousses de canard au porto', 'Mousses']","['Point Vert', 'Eco-Emballages']",['Cora'],['France'],"['Mousse de Canard 90 % : canard 35 % ', 'foie maigre de canard', 'gras et maigre de canard', 'gras de porc', 'eau', 'foie de poulet', 'couenne de porc', 'farine de blé', 'sel', 'poudre de lait', 'sucre', 'Porto 0,5 %', 'arôme naturel', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', '\rGraisse de décoration 10 % : graisse de canard', 'saindoux', 'colorants : lutéine', 'extrait de paprika']","['Non végétalien', 'Non végétarien']",35 g,en quantité élevée,14 g,en quantité élevée,2 g,en faible quantité,1.52 g,en quantité élevée,1560,,?,,1560 kj(373 kcal),+1%,35,-1%,14,+5%,"4,6",+62%,2,+44%,11,+11%,"1,524",+2%,"0,61",+2%,20,+2%,E,+2%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,180 g,4,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine', 'E160c - Extrait de paprika']","['Gluten', 'Lait']","['Madrange-Charcuterie de la Valoine - 51 Rue Léonard Samie - ZI Romanet - 87000 Limoges', 'Haute-Vienne', 'Limousin', 'France']","['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)', 'EMB 87085B', 'Limoges (Haute-Vienne, France)']",,"Mousse de canard, qualité supérieure",,,,,
1342,Crêpes Jambon Fromage - Cora - 6 * 50g (300g),3257980890634,B,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Surgelés', 'Plats préparés', 'Fromages', 'Plats préparés surgelés', 'Crêpes au fromage', 'Crêpes au jambon']",,['Cora'],['France'],"['Eau - farine de blé - jambon cuit supérieur 8,9% ', 'jambon de porc - bouillon [eau - os de porc - viande de porc - céleri - carotte - poireau - plantes aromatiques - épices] - sel - dextrose - oignons préfrits [oignons - huile de tournesol] - sucres - extrait de levure - antioxydant : ascorbate de sodium - conservateurs : nitrite de sodium', ' - préparation laitière ', 'lactose et protéine de lait [contient oeuf] - crème', ' - oeufs frais pasteurisés 4,5% - huile de tournesol - emmental 1,45% - crème fraîche - sel - dextrose - arôme ', 'contient lait', ' - arôme de fumée - arôme naturel de poivre - arôme naturel de muscade']","['Non végétalien', 'Non végétarien']",6 g,en quantité modérée,1.5 g,en quantité modérée,5.6 g,en quantité modérée,1 g,en quantité modérée,664,+1%,?,,664 kj(159 kcal),-6%,6,-12%,"1,5",-39%,"19,9",+11%,"5,6",+73%,"5,7",-23%,1,+4%,"0,4",+4%,4,+7%,C,+7%,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,6 * 50 g (300 g),4,"['Carton', 'Surgelé']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Céleri', 'Œufs', 'Gluten', 'Lait']",['France'],"['EMB 17300W', 'Rochelle (Charente-Maritime, France)', 'FR 17.300.105 CE', 'Rochelle (Charente-Maritime, France)']",,"Crêpes garnies à base de jambon cuit supérieur (8,9%) et fromage (1,45%) surgelées",,,,,
1343,Knack D'alsace - Patrimoine gourmand,3257980978363,,['Patrimoine gourmand'],,,"['Cora', 'Match']",['France'],"['de porc 62% - eau - gras de porc - viande de bœuf 10% - sel épices et plantes aromatiques - dextrose - arômes naturels - acidifiant : glucono-delta-lactone - antioxydant : acide ascorbique - conservateur : nitrite de sodium - enveloppe : boyau naturel de mouton', ' Porc et bœuf origine France']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,279,,1167 kj(279 kcal),,"24,6",,"9,4",,1,,1,,"13,5",,"1,875",,"0,75",,,,,,,,,,,,,,4,,"['E575 - Glucono-delta-lactone', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,"['EMB 67008', 'Altorf (Bas-Rhin, France)']",,,,,,,
1344,Fromage Blanc Fondu 240g (12x20g) - Cora - 12x 20g,3257981663961,D,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages fondus']",,['Cora'],['France'],"['Fromage blanc 50% ', 'crème 50% lait - ferments lactiques', ' lait écrémé reconstitué beurre - eau - protéines de lait - sels de fontes : E452', 'E339', 'E331 - sel']",['Non végétalien'],30 g,en quantité élevée,21 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,?,,312,+23%,1305 kj(312 kcal),+23%,30,+49%,21,+57%,2,-63%,2,-50%,"8,5",-27%,"1,2",-40%,"0,48",-40%,13,-16%,D,-16%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,12 x 20 g,4,,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],,,,,,,,,
