,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
480,Creme Dessert Vanille - MAKABI,7290013261991,C,,,['MAKABI'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']",['Kascher'],['France'],"["",tù'nn"", ' abn ,', 'E1442', ' ,', 'E524', ' ,', 'E407']",[],2.9 g,en faible quantité,2 g,en quantité modérée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,103,-10%,431 kj(103 kcal),-10%,"2,9",-18%,2,-9%,"16,5",-5%,"0,5",-96%,"0,032",-99%,2,+1279%,"0,8",+1279%,5,+20%,C,+20%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,"['E1442 - Phosphate de diamidon hydroxypropyle', 'E524 - Hydroxyde de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,4,,,"['FR 44.187.001 CE', 'Saint-Père-en-Retz (Loire-Atlantique, France)']",,,,,
481,Tivall Vegetarian 4 Chargrilled Burgers,7290013998200,,,,['Tivall'],,['Bio'],['France'],"['Protéines de soja et de blé réhydratées ', '69%', 'oignon', 'eau', ""blanc d'oeuf en poudre"", 'huile végétale ', 'tournesol et/ou colza en proportion variable', 'sel', 'amidon de pomme de terre', 'fibres de pois maltodextrine', 'extrait de levure', 'arômes', ""poudre d'oignon"", ""poudre d'ail"", 'stabilisant ', 'gomme guar', 'extrait de malt ', 'orge', 'épices', 'dextrose', 'sucre caramélisé', 'maltodextrine fumé', "" L'allergie conseil: Voir les ingrédients en caractères gras"", ' Peut contenir de sésame', 'céleri et moutarde']",['Non végétalien'],,,,,,,,,?,,149,,623 kj(149 kcal),,5,,"0,55",,5,,"0,9",,19,,"1,35",,"0,54",,,,,,,,,,,,,['E412 - Gomme de guar'],,['Gluten'],4,,,,,,,,
482,Filet de Poulet rôti et braisé au Four - Hod Lavan - 125g,7290014747173,D,125 g,"['Frais', 'Plastique']",['Hod Lavan'],"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['Kascher'],['France'],"['Poitrine de poulet ', '81%', 'eau ', '14%', 'Fécule de pomme de terre', 'sucre', 'sel', 'stabilisants ', 'E450', 'E451,E452', 'E407', 'E410', 'antioxydant ', 'E301', 'conservateurs ', 'E250', 'E262', 'E325', 'E327', 'poivre noir', 'paprika épicé ', 'romarin', 'fibres alimentaires', 'arôme de poulet', 'arôme fumée']","['Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,1.5 g,en quantité modérée,?,,93,-13%,389 kj(93 kcal),-13%,1,-51%,"0,3",-50%,3,+178%,"1,5",+76%,18,-13%,"1,5",-19%,"0,6",-19%,2,-55%,B,-55%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E325 - Lactate de sodium', 'E327 - Lactate de calcium']",,,4,,['Israël'],,,,,,
483,Batonnets de Dinde au Sesame - Of Tov,7290014747616,D,,,['Of Tov'],"['Viandes', 'Volailles', 'Produits panés', 'Dindes', 'Dindes panées']",,['France'],[],[],9 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,241,+1%,1008 kj(241 kcal),+3%,9,-31%,3,+5%,14,-5%,"0,5",-62%,16,+28%,1,-18%,"0,4",-18%,4,-18%,C,-18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
484,Shouarma De Pavo of Tov 0.35KG,7290014747647,,,,['OF TOV'],,,['France'],"['Viande de dinde ', '86%', 'graisse de dinde eau ', '5%', 'sucre', 'quatre - épices', 'poivre blanc', 'poivre noir', 'cayenne', 'muscade', 'w:tqrna', 'cannelle', 'romarin', 'fibres aHev{aires', 'sel', 'stabilisant ', 'e451', 'arôme colorant ou conservateur ajouté', ' peut contenir les traces de : soja', 'céleri', 'sésame', ' Motu P REPARATION: ', 'Instructions données pour produit AU le contenll']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,167,,699 kj(167 kcal),,7,,2,,4,,"0,5",,22,,"1,3",,"0,52",,,,,,,,,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",,,4,,,,,,,,
485,Chicken Schnitzel - Of Tov,7290014747661,,,,['Of Tov'],,['Sans conservateurs'],['France'],"['Poitrine de poulet ', '65%', 'eau', 'isolat de protéine de soja / pois', 'sel', 'glucides', 'stabilisants ', 'E450', 'E451 ', 'E452', 'E407', 'E415', 'levure', 'paprika', 'ail', 'poivre', 'extrait de romarin', ' CHAPELURE ', '20%', ' : Farine de blé ', 'contient du gluten', 'amidon de pois', 'eau', 'sel', 'levure', 'gluten', 'colorant alimentaire naturel ', 'paprika', 'huile végétale', ' PÂTE ', '7%', ' : Eau', 'farine de blé ', 'contient du gluten', 'amidon de POIS', 'amidon modifié ', 'E1404', 'sel', 'stabilisant ', 'E466', 'E412', "" Préfrit dans de l'huile végétale"", 'Contient : Gluten de blé', 'soja', ' Peut contenir des traces de : Soja,Céleri', 'Moutarde', ' Sans conservateurs ajoutés']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,214,,895 kj(214 kcal),,10,,"3,3",,16,,"0,9",,15,,"1,1",,"0,44",,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E392 - Extrait de romarin', 'E14XX - Amidons modifiés', 'E1404 - Amidon oxydé', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar']",,"['Gluten', 'Soja']",4,,,,,,,,
486,Kebab volaille - Of Tov,7290014748200,,,,['Of Tov'],,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,209,,874 kj(209 kcal),,13,,"3,9",,9,,"0,5",,14,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,
487,Escalope de dinde Barbecue - Of Tov,7290014748224,D,,,['Of Tov'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['Sans conservateurs'],['France'],"['Poitrine de dinde ', '90%', 'eau ', '5%', 'glucides ', '1%', 'sel', 'isolat de protéine de soja / pois', 'amidon modifie ', 'E1420', 'stabilisants ', 'E450', 'E451', 'É452', 'E407', 'E415', 'levure', 'ail', 'paprika', ""huiles d'épices "", 'paprika', 'poivre', 'ail', 'extrait de romarin', 'arôme fumé', 'arôme de boeuf', "" Préfrits dans de l'huile végétale"", ' Contient : soja', ' Peut contenir : gluten de blé', 'sésame', 'céleri', 'moutarde', ' Sans conservateurs ajoutés']","['Non végétalien', 'Non végétarien']",3 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,1.13 g,en quantité modérée,?,,121,0%,506 kj(121 kcal),+0%,3,+127%,1,+148%,"1,5",-50%,1,+31%,22,-4%,"1,13",+104%,"0,452",+104%,1,,B,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['E14XX - Amidons modifiés', 'E1420 - Amidon acétylé', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E392 - Extrait de romarin']",,['Soja'],4,,,,,,,,
488,"Bamba, Nugget Filled 55-60G - Osem",7290100687109,,,,['Osem'],,"['Kascher', 'en:Orthodox Union Kosher']",['France'],[],[],,,,,,,,,?,,512,,2142 kj(512 kcal),,29,,"5,4",,"52,7",,5,,10,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
489,Nazo - Mister Ho,7297445003076,,,,['Mister Ho'],,,['France'],"['NUTRITION nas Semng Size Tbsp ', '30g', ' Arnount Per Serying ', ""aloies 120 Calories from fat 90 % hie' at Glët"", ' m Oietamfiber Less Frotein']",[],,,,,,,,,?,,120,,502 kj(120 kcal),,15,,6,,2,,2,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
490,Wasa,7300400129220,B,,,['Wasa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Pains', 'Biscuits apéritifs']",,['France'],[],[],1.5 g,en faible quantité,0.4 g,en faible quantité,1.5 g,en faible quantité,1.25 g,en quantité modérée,?,,327,-30%,1368 kj(327 kcal),-30%,"1,5",-92%,"0,4",-93%,"59,3",-0%,"1,5",-62%,9,-9%,"1,25",-38%,"0,5",-38%,4,-74%,C,-74%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,,
491,Wasa Frukost,7300400248204,,,,['Wasa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains croustillants']",,['France'],"['Vehnästä valmistettu leipomotuote', 'Ingredienser: Vetemjöl/Hvetemel ', '89%', 'rapsolja/rapsolje', 'vallmofrö/valmuefrø ', '5,5%', 'jäst/gjær', 'socker/sukker', 'salt', 'Kan innehålla spår av mjölk och sesamfrön/Kan inneholde spor av melk og ""sesamfrø', 'Ingredienser: Hvedemel ', '89%', 'rapsolie', 'birkes ', '5,5%', 'gær', 'sukker', 'salt', 'Kan indeholde spor af mælk og sesamfrø', '-,']",[],9 g,en quantité modérée,2.5 g,en quantité modérée,3.5 g,en faible quantité,1.1 g,en quantité modérée,?,,410,+9%,1715 kj(410 kcal),+9%,9,+18%,"2,5",+82%,66,+16%,"3,5",+27%,12,+5%,"1,1",-14%,"0,44",-14%,11,+204%,D,+204%,,,,,,,,,,,,,,,,,,,
492,Polly Blå Mörk Ljus Påse Cloetta - 200g,7310040034525,,200 g,"['Plast', 'Plastic']","['Polly', 'Cloetta']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']","['Agriculture durable', 'Huile de palme durable', 'RSPO', 'en:UTZ Certified', 'en:utz-certified-cacao']","['France', 'Suède']","['Socker', 'vegetabiliska fetter ', 'palm', 'shea', 'glukossirap', 'kakaomassa', 'invertsockersirap', 'helmjölkspulver', 'vasslepulver ', 'mjölk', 'gelatin', 'emulgeringsmedel ', 'sojalecitin', 'E476', 'ytbehandlingsmedel ', 'gummi arabicum', 'shellac', 'aromer ', 'bl', 'a', ' vanillin', 'förtjockningsmedel ', 'pektin', 'vegetabiliska oljor ', 'kokos', 'raps', 'syra ', 'citronsyra', ' Kan innehålla hasselnötter och mandel']","['Huile de palme', 'Non végétalien', 'Non végétarien']",18 g,en quantité modérée,11 g,en quantité élevée,67 g,en quantité élevée,0.1 g,en faible quantité,1940,-12%,464,-11%,1940 kj(464 kcal),-11%,18,-41%,11,-33%,70,+31%,67,+42%,"3,8",-38%,"0,1",-49%,"0,04",-49%,25,+3%,E,+3%,,,,,,,,"['E428 - Gélatine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque', 'E440a - Pectine', 'E330 - Acide citrique']",,"['Lait', 'Soja']",4,Dragérat Skumgodis,"['Sverige', 'Sweden']",,['Coop'],,,,
493,Granola,7310240001761,,,,,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,18,,"2,2",,44,,10,,11,,"0,48",,"0,192",,,,,,,,,,,,,,,,,,,,,,,,
494,Färsk Skärgårdskaka - Pagen,7311070337297,,,,['Pagen'],,,['France'],"['_Vete_mjöl', 'vatten', 'socker', 'siktat _råg_mjöl', 'rapsolja', '_vete_gluten', 'jäst/gjær/gær', '_råg_skållning', 'surdeg av vete', 'salt', 'malt av korn och vegetabiliskt emulgeringsmedel ', 'E471']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,1250,,300,,1250 kj(300 kcal),,5,,"0,6",,51,,12,,9,,1,,"0,4",,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,"['Gluten', 'Korn', 'Vete']",4,,,,,,,,
495,Petits pains suédois au muesli - Pagen AB - 200g,7311070362299,A,200 g,"['Sachet', 'Papier']",['Pagen AB'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Sans additifs', 'Sans matière grasse hydrogénée', 'Sans conservateurs']",['France'],"['Farine de blé', 'farine complète de blé ', '24%', 'raisins de Corinthe ', '11%', ""son d'avoine "", '6%', 'matières grasses végétales', 'levure', 'graines de lin ', '4', '2%', 'sucre', 'sel', 'arôme vanille']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",9 g,en quantité modérée,3 g,en quantité modérée,9.5 g,en quantité modérée,1.27 g,en quantité modérée,1700,+6%,410,+8%,1700 kj(410 kcal),+6%,9,+97%,3,+191%,68,-4%,"9,5",+70%,10,+1%,"1,27",+44%,"0,508",+44%,9,+195%,C,+195%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,['Gluten'],4,Petits pains suédois au muesli,,,,['Suède'],,,
496,Proteinella - HealthyCo AB - 400g,7350021421623,E,400g,['Plastburk'],['HealthyCo AB'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",,"['France', 'Espagne']",[],[],39.2 g,en quantité élevée,8.6 g,en quantité élevée,7.3 g,en quantité modérée,0.22 g,en faible quantité,?,,528,-28%,2209 kj(528 kcal),-28%,"39,2",-52%,"8,6",-84%,"43,8",+6113%,"7,3",+1039%,"14,2",+1955%,"0,22",+294%,"0,088",+294%,4,-79%,C,-79%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
497,Confiture de fraise,7350024340587,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,5.8 g,en quantité modérée,0.02 g,en faible quantité,?,,37,-83%,155 kj(37 kcal),-83%,"0,5",+107%,0,-100%,28,-47%,"5,8",-89%,"0,5",+13%,"0,02",-12%,"0,008",-12%,-4,-146%,A,-146%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
498,Raspberry & coconut,7350024340686,,,,,,,['France'],[],[],,,,,,,,,?,,590,,2469 kj(590 kcal),,45,,15,,"19,5",,"3,8",,22,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,
499,Salsa Arriera - La Costeña - 250g,7501017005956,,250 g,['Vidrio'],['La Costeña'],"['Epicerie', 'Sauces', 'Sauces chili']",['Sans conservateurs'],"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.24 g,en quantité élevée,"3,4",-99%,16,-81%,"3,4 kj(16 kcal)",-99%,0,-100%,0,-100%,4,-72%,0,-100%,0,-100%,"2,24",-43%,"0,896",-43%,9,-14%,C,-14%,,,,,,,,,,,,,"['Ecatepec', 'México']",,['OXXO'],['Mexique'],http://lacostena.com.mx,,
500,Swinkles - skwinkles,7502226815596,E,,,['Skwinkles'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
501,Quenelles - Bell - 1,7610011005074,,1,,['Bell'],"['Plats préparés', 'Quenelles']",,"['France', 'Suisse']","['weisserSa Feischerzeugnis aus Schweine-und Trutenfleisch', 'taten: Sauce 67 % ', 'Wasser', 'Schmalz', 'Weisswein', ' modifizierte', ' sa TStärke', 'pflanzliche Ole [Palm', 'Raps', 'Oliven', 'Sonnenblumenl i l Speisesalz', 'Laktose', 'Speisesalz jodiert', 'Hefeextrakt', 'Kantof ie kesmehl', 'Hühnerfleischpulver', 'Milcheiweiss', 'Säurereglay lensäure', 'Verdickungsmittel Xanthan', 'Gewürzextrakte', 'Zucker', 'Rin Tistpulver', 'Gewürze', 'Zitronensaftkonzentrat', 'Rindfleischextrakt', 'atsiof Beta-Carotin', 'Fleischerzeugnis 33 % ', 'Schweinefleisch She Wasser', 'Schwarte', 'Trutenfleisch [Deutschland]', 'Speisesazp cheiweiss', 'Gewürze', 'Stabilisatoren Di - und Polyphosphat', 'simacksverstärker Mononatriumg glutamat', 'Antioxidationsmite koantinsäure', 'Säuerungsmittel INatríumacetate', ' Kann Spuren Sellerie', 'Senf', ' 7entater anohe']","['Huile de palme', 'Non végétalien', 'Non végétarien']",13 g,en quantité modérée,5.6 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,650,+223%,2720 kj(650 kcal),+227%,13,+2%,"5,6",+17%,48,+253%,"0,5",-37%,"4,6",-31%,"1,7",+63%,"0,68",+63%,20,+140%,E,+140%,,,,,,,,['E415 - Gomme xanthane'],,['Lait'],4,,,,,,,,
502,Toast - Denner - 500g,7610029125139,,500g,,['Denner'],,,"['France', 'Suisse']","['Farine de froment 59%', 'eau', 'levain au froment ', 'farine de froment', 'eau', 'levure', 'sel de cuisine', 'sucre', 'huile de colza', ""farine de malt d'orge"", ' Peut contenir des traces de lait et de soja']",['Sans huile de palme'],,,,,,,,,900,,213,,900 kj(213 kcal),,"1,4",,"0,2",,41,,"3,5",,"7,7",,"1,2",,"0,48",,,,,,,,,,,,,,,['Gluten'],,,,,['Denner'],,,,
503,Séré á la crème - Denner - 250g,7610029160635,,250 g,,['Denner'],,['Fabriqué en Suisse'],"['France', 'Suisse']","['Séré maigre', 'crème 47', '4%']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,790,,190,,790 kj(190 kcal),,17,,0,,4,,0,,6,,0,,0,,,,,,,,,,,,,,,['Lait'],,,,,['Denner'],,,,
504,Chocolats fins - Villars,7610036018325,,,,['Villars'],,['Fabriqué en Suisse'],['France'],[],[],,,,,,,,,?,,560,,2343 kj(560 kcal),,38,,20,,48,,44,,7,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,
505,Munz Lait Touristique 100 GR,7610041006959,,,,['Munz'],,,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,34,,20,,52,,51,,"8,4",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
506,Kägi Assorted Minis 250G - 250g,7610046250708,,250 g,,['Kägi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées']",['Fabriqué en Suisse'],"['France', 'Suisse']","['sucre', 'graisses de palme', 'farine de froment', 'lait entier en poudre', 'pâte de cacao', 'beurre de cacao', 'noisettes', 'cacao en poudre', 'beurre concentré', 'fibres de blé moulues', 'jaune d', 'œuf en poudre', 'émulsifiant: lécithine de soja', 'extrait de café', 'sel de cuisine', 'arômes naturels', 'poudre à lever: bicarbonate de sodium']","['Huile de palme', 'Non végétalien']",37 g,en quantité élevée,25 g,en quantité élevée,37 g,en quantité élevée,0.2 g,en faible quantité,2367,+5%,?,,2367 kj(566 kcal),+11%,37,+30%,25,+60%,55,-3%,37,-15%,"6,4",-7%,"0,2",-27%,"0,08",-27%,25,+2%,E,+2%,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,
507,Pudding Vanille - Dr.Oetker - 82g,7610089120174,,82 g,['boîte'],['Dr.Oetker'],,,"['France', 'Suisse']","['Sucre', 'dextrose', 'amidon de maïs', 'gélifiant ', 'carraghénane', 'colorants ', 'bêta-carotène', 'riboflavine', 'arôme naturel de vanille', 'stabilisateur ', 'phosphate disodique']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,427,,114,,427 kj(114 kcal),,"3,2",,"1,9",,18,,17,,3,,"0,13",,"0,052",,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E101i - Riboflavine', 'E339ii - Phosphate disodique']",,,4,,,,,,,,
508,Pudding chocolat - Dr. Oetker - 100g,7610089120259,,100 g,,['Dr. Oetker'],,,"['France', 'Suisse']","['Sucre', 'cacao maigre en poudre 13%', 'amidon de maïs', 'gélifiant ', 'carraghénane', 'stabilisateur ', 'phosphate disodique', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,477,,121,,477 kj(121 kcal),,5,,2,,19,,17,,"3,5",,"0,14",,"0,056",,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E339ii - Phosphate disodique']",,,4,,,,,,,,
509,Wave - Zweifel,7610095110503,B,,,['Zweifel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['en:gluten-free'],['France'],"['Pommes de terre', 'huile de colza ', '33%', ""préparation d'épices "", 'sucre', 'exhausteur de goût ', 'glutamate monosodique', 'inosinate disodique', 'guanylate disodique', 'sel ', 'Suisse', 'maltodextrine', ""correcteur d'acidité "", 'acétate de sodium', 'arôme ', 'lait', 'oignon en poudre', 'curry', 'extrait de levure']",['Non végétalien'],33 g,en quantité élevée,2 g,en quantité modérée,4.5 g,en faible quantité,1.58 g,en quantité élevée,?,,531,0%,2222 kj(531 kcal),+0%,33,+1%,2,-35%,50,-3%,"4,5",+221%,6,+1%,"1,575",+21%,"0,63",+21%,8,-29%,C,-29%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E262i - Acétate de sodium']",,['Lait'],4,,,,,,,,
510,Pretzel chips - Zweifel - 180g,7610095201409,,180 g,,['Zweifel'],"['Snacks', 'Snacks salés', 'Apéritif']",,"['France', 'Suisse']","['farine de froment', 'olio di colza', 'sucre', 'sel marin ', '2', '5%', 'extrait de malt d’orge', 'émulsifiant ', 'lécithine de soja', 'poudre à lever ', 'carbonates de sodium', 'correcteurs d’acidité ', 'hydroxyde de sodium']",[],8 g,en quantité modérée,1 g,en faible quantité,4 g,en faible quantité,2.6 g,en quantité élevée,1790,-10%,424,-9%,1790 kj(424 kcal),-9%,8,-67%,1,-76%,80,+55%,4,+29%,7,-8%,"2,6",+67%,"1,04",+67%,13,+2%,D,+2%,,,,,,,,"['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E524 - Hydroxyde de sodium']",,"['Gluten', 'Soja']",4,,,,,,,,
511,Hirz Birchermüesli Joghurt - Nestle - 180g,7610100725111,,180 g,,['Nestle'],,,"['France', 'Suisse']","['Lait entier', 'sucre', 'lait écrémé', 'fruits 5% ', 'pêche', 'ananas', 'raisin', 'prune', 'flocons de céréales 3', '5% ', 'blé avoine', 'protéines de lait', 'noisettes 1%', 'jus de sureau à base de concentré', 'jus de citron à base de concentré', 'amandes 0', '3%', 'arôme', 'sucre caramélisé', "" Peut contenir d'autres fruits à coque""]",['Non végétalien'],,,,,,,,,?,,115,,481 kj(115 kcal),,"3,5",,"1,6",,15,,13,,"4,4",,"0,07",,"0,028",,,,,,,,,,,,,,,"['Lait', 'Fruits à coque']",4,,,,,,,,
512,Bonbon Halter Sans Sucre Miel - 40g,7610114030416,,40 g,,['Halter'],,,['France'],"['Isoma', 'tot', "" extrait d'herbes "", '0', '5%', 'arômes', 'O', ""'à6"", ' eauicocants: acésulfame K et DC', ' cx»lorant: caramel au sulfite crammonium']",[],,,,,,,,,?,,237,,992 kj(237 kcal),,0,,0,,98,,"0,5",,0,,0,,0,,,,,,,,,,,,,['E950 - Acésulfame K'],,,4,,,,,,,,
