,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
68,Petits palmiers aux olives noires - Franprix - 100g,3263853198998,B,['Franprix'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Palmiers salés']",['Fabriqué en France'],,['France'],"['Farine de blé française - beurre ', 'origine UE', ' - emmental râpé 7,4% ', 'origine UE', "" - préparation d'olives noires 5,6% "", 'olives noires du Maroc 91% - sel - huile de colza', ' - sel - huile de colza - levure - romarin - sariette - poivre - thym - ail - oignon', ' Traces de soja', 'œuf', 'sésame', 'noisette et amande']",['Non végétalien'],?,,513,0%,29,-1%,52,+3%,0,-100%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,2146 kj(513 kcal),18,"1,3","2,4","0,96",['Franprix'],29 g,en quantité élevée,18 g,en quantité élevée,1.3 g,en faible quantité,2.4 g,en quantité élevée,-1%,-6%,-10%,-15%,-15%,26,+4%,E,+4%,100 g,,,,['Lait'],3,,,,,
69,Le P'tit lait cru entier - 1l,3760215810517,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 l,,,,,,,,,,
70,6 fillets de poulet blanc,0253072069660,,,,,,['France'],[],[],?,,440,,"1,3",,0,,23,,,,,,,,,1841 kj(440 kcal),"0,4",0,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Gin,8412449102047,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Fiorentini Organic Sea Salt Corn Snacks,8002885007275,,['Fiorentini'],,['en:gluten-free'],,['France'],[],[],?,,430,,"11,2",,"75,3",,6,,,,,,,,,1799 kj(430 kcal),"1,5","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Baguette four a sole la millavoise,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Oeufs LT BIO LIBEERT SACHET 120G -,5411901604009,,,"['Aliments de Pâques', 'Œufs de Pâques']",['Bio'],,['France'],[],[],?,,570,+4%,38,+13%,50,-7%,"6,7",+1%,,,,,,,,2385 kj(570 kcal),23,49,"0,21","0,084",,38 g,en quantité élevée,23 g,en quantité élevée,49 g,en quantité élevée,0.21 g,en faible quantité,+4%,+14%,-6%,+4%,+4%,27,+3%,E,+3%,,,,,,,,,,,
75,Rioja - Marqués de Cáceres,8410406611007,,['Marqués de Cáceres'],"['Boissons', 'Boissons alcoolisées', 'Vins']",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,forêt noire 6 parts sans cerise - Intermarché - 600gr,2002041566635,,['Intermarché'],"['Biscuits et gâteaux', 'Gâteaux']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 gr,,,,,,,,,,
77,Chair de moules bio  cuites .surgelées - Escal,3261080593609,,['Escal'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,,115,,3,,"3,1",,19,,,,,,,,,481 kj(115 kcal),"0,4",0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Filets de maquereaux & moutarde à l'ancienne bio - Bonne Nature,3188720004281,D,['Bonne Nature'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,['France'],[],[],?,,236,+6%,18,+10%,"2,7",+150%,"15,5",-5%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,987 kj(236 kcal),"3,5","1,4","1,2","0,48",,18 g,en quantité modérée,3.5 g,en quantité modérée,1.4 g,en faible quantité,1.2 g,en quantité modérée,+7%,-5%,+164%,+8%,+8%,5,-20%,C,-20%,,,,,,,,,,,
79,Vino tinto rioja Crianza - Campo Viejo,8410302106638,D,['Campo Viejo'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Nouilles instantanées saveur bœuf - Wong l’an - 60g,6909146201385,,['Wong l’an'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles chinoises']",,,['France'],[],[],?,,492,+96%,"26,4",+411%,"54,8",+32%,"10,1",+42%,,,,,,,,2059 kj(492 kcal),"10,7",2,"5,5","2,2",,26.4 g,en quantité élevée,10.7 g,en quantité élevée,2 g,en faible quantité,5.5 g,en quantité élevée,+92%,+438%,-5%,+351%,+351%,26,+870%,E,+870%,60g,,,,,,,,,,
81,Pruneaux d'Agen,3328400827025,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,['France'],[],[],?,,253,+5%,"0,19",-47%,"52,3",-2%,"2,36",+26%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,1059 kj(253 kcal),"0,072","37,9","0,01","0,004",,0.19 g,en faible quantité,0.072 g,en faible quantité,37.9 g,en quantité élevée,0.01 g,en faible quantité,+5%,-37%,+4%,-28%,-28%,5,+128%,C,+128%,,,,,,,,,,,
82,ananas et mandarines morceau et jus,0038900715304,,,,,,['France'],[],[],?,,61,,0,,14,,"0,5",,,,,,,,,255 kj(61 kcal),0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Tassimo,01198214,,['Tassimo'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Actimel recharge,3033491453182,,"['Actimel', 'Danone']",,['Sans sucre ajouté'],,['France'],[],[],?,,50,,"1,5",,"5,5",,"3,4",,,,,,,,,209 kj(50 kcal),"0,8","3,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Moulage de chocolat au lait extra fin - Rohan,3273070231910,,['Rohan'],,,,['France'],[],[],?,,542,,32,,57,,6,,,,,,,,,2268 kj(542 kcal),20,56,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Pure jus de pomme,3700812300264,,,,,,['France'],[],[],?,,43,,0,,11,,0,,,,,,,,,180 kj(43 kcal),0,10,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Cocktails Mojito,0817717067192,,,,,,['France'],[],[],?,,54,,0,,31,,1,,,,,,,,,226 kj(54 kcal),0,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Gingo thé vert grand cru circulation bio,3363790808117,,,,['Bio'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Mini brochette de porc,3265980164488,,,,"['Viande Française', 'Viande Porcine Française']","['EMB 51649', 'Vitry-le-François (Marne, France)']",['France'],[],[],?,,154,,"6,9",,"0,9",,22,,,,,,,,,644 kj(154 kcal),"1,8",0,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Paris-Brest,0260237062329,C,,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,,['France'],[],[],?,,372,+7%,"28,4",+13%,"21,4",-18%,"6,9",+23%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,1556 kj(372 kcal),"14,4",14,"0,23","0,092",,28.4 g,en quantité élevée,14.4 g,en quantité élevée,14 g,en quantité élevée,0.23 g,en faible quantité,+7%,+10%,-11%,-34%,-34%,18,+2%,D,+2%,,,,,,,,,,,
91,Boeuf bio cuit au sel en tranche - 0.120kg,3423311050019,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']","['FR 18.033.033 CE', 'Bourges (Cher, France)']",['France'],[],[],?,,100,,1,,"0,9",,22,,,,,,,,,418 kj(100 kcal),"0,5","0,9","2,6","1,04",,,,,,,,,,,,,,,,,,,0.120 kg,,,,,,,,,,
92,Jus de pomme,3760258660025,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Top baby - top candy,8437005936300,E,['top candy'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['en:gluten-free'],,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Jelly Belly,0071570006419,E,['Jelly Belly'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",,,['France'],[],[],?,,356,+2%,0,-100%,89,+3%,0,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1490 kj(356 kcal),0,60,"0,2","0,08",,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0.2 g,en faible quantité,+2%,-100%,-3%,+141%,+141%,14,+1%,D,+1%,,,,,,,,,,,
95,Yaourt des Pyrénées - 500g,0209978018370,,,,,,['France'],[],[],?,,47,,3,,"2,63",,"3,4",,,,,,,,,197 kj(47 kcal),"1,5","2,63","0,15","0,06",,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
96,Crêpe dentelle - Gavotte - 125g,34311410001023,C,['Gavotte'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,,"['France', 'Suisse']","['24 CREPES DENTELLE AU BEURRE-IngridetsFan de HEALS suo beue p ON OO ait 9lactose et protéines de lait', 'sel', 'extrait de mait dwge poudre àwerca éithines ', 'saja', ' de d @24 BUTTER CRISPY BRITTANY CREPES - Ing milk', ' 99%', 'lactose and milk proteins', 'salt', 'barley mat extract,rasng aqgm soya', ' Wheat four suga coC y 60w 000 24 BRETONISCHE KNUSPER-BUTTERPLATZCHEN-Zutaten Walnmi Butterschmatz 9%', 'Laktose und Mile Sajalecithin well Sale Gers trakit Bac']",[],?,,?,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,125g,,,,['Lait'],,,,,,
97,Kill-fit - Stc nutrition - 500ml,9663920,,['Stc nutrition'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons multivégétaux']",,,['France'],[],[],?,,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,0 kj(0 kcal),0,0,0,0,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,500ml,,,,,,,,,,
98,Moulage chocolat noir décoré - Rohan,3273070908409,,['Rohan'],,,,['France'],[],[],?,,524,,34,,50,,6,,,,,,,,,2192 kj(524 kcal),20,46,"0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Vin blanc sec,26011295,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Pomme De Terre,3000040039449,,,,,,['France'],[],[],?,,80,,"0,7",,"17,9",,"1,86",,,,,,,,,335 kj(80 kcal),"0,16",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Salitos,4025127097968,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4867601702643,4867601702643,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Carotte primeur, Portugal, barquette",3760056530292,,,,,"['EMB 33122M', 'Cestas (Gironde, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,DC beer factory,3770010829041,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Alka Toortitzi Cu Sare,5941035007808,,,,,,['France'],[],[],?,,416,,"8,9",,72,,10,,,,,,,,,1741 kj(416 kcal),"3,8","8,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Endives rouges,3760095951188,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,['France'],[],[],?,,?,,?,,?,,?,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sorbet plein fruit artisanal - Glaces des Alpes,3576370720277,,['Glaces des Alpes'],,,,['France'],[],[],?,,132,,"0,11",,"30,8",,"0,5",,,,,,,,,552 kj(132 kcal),"0,02","29,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sparkling - 750ml,8011087136034,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,,,,,,,,,,
109,"Faisselle AREILLADOU, 35%MG",3254150004426,,,,,,['France'],[],[],?,,94,,"6,85",,"3,7",,"3,9",,,,,,,,,393 kj(94 kcal),"4,7","3,7","0,975","0,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Walkers Quavers Cheese Snacks - 16g,5000328329321,,['Walkers'],,,,['France'],[],[],?,,536,,"30,8",,"62,1",,"2,5",,,,,,,,,2243 kj(536 kcal),"2,7","2,7","2,14","0,856",,,,,,,,,,,,,,,,,,,16 g,['ldpe-packet'],,,,,,,,,
111,Ichnusa limone,8006890627312,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Cuiller à pâtisserie - P'tit Déli,3564700432587,,"[""P'tit Déli"", 'Marque Repère']",,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Mileh extra - Frey,7616500160446,,['Frey'],,,,['France'],[],[],?,,555,,35,,51,,8,,,,,,,,,2322 kj(555 kcal),20,49,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Chocolat au lait 'Moulage lapin debout pour Pâques' - Marque Repère - 175g,3564706517554,,"['Marque Repère', 'Copains Copines']",,,,['France'],"['Sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille', 'colorant : extrait de paprika', 'Cacao dans le chocolat au lait : 31 % minimum', 'Cacao dans le chocolat blanc : 25 % minimum', 'Cacao dans le chocolat noir : 50 % minimum']",['Non végétalien'],2308,,?,,32,,59,,6,,,,,,,,,2308 kj(552 kcal),20,58,"0,1","0,04",['Leclerc'],,,,,,,,,,,,,,,,,,175 g,,,"['E322i - Lécithine', 'E160c - Extrait de paprika']",['Soja'],4,,,,,
115,Di Sardegna Gnocchetti Sardi 60 - 500g,8029535105006,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
116,Dinde à poêler au Paprika - La Nouvelle Agriculture,0213340026764,,['La Nouvelle Agriculture'],,,,['France'],[],[],?,,147,,"6,9",,"1,1",,20,,,,,,,,,615 kj(147 kcal),"1,9",1,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Jus de raison,0073490132865,,,,,,['France'],[],[],?,,58,,0,,14,,0,,,,,,,,,243 kj(58 kcal),0,14,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Champignons,3411415123456,,,,['Point Vert'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Chocolat libeert,5411901604016,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,['France'],[],[],?,,570,,38,,50,,"6,7",,,,,,,,,2385 kj(570 kcal),23,49,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Rose de brocéliande,3760061360402,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Noisettes entières décortiquées,20199296,,,,,,"['France', 'Allemagne']",[],[],?,,674,,"63,3",,6,,"16,3",,,,,,,,,2820 kj(674 kcal),"5,4",6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
122,Durand poulet - Bergerac - 75cl,3760102440018,,['Bergerac'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vin sans indication géographique']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,,
123,Griottes au sirop léger - Borde,3112309997374,,['Borde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Cerises au sirop']",,,['France'],[],[],?,,71,-49%,"0,5",+107%,16,-27%,"0,8",+100%,,,,,,,,297 kj(71 kcal),"0,1",13,"0,04","0,016",,0.5 g,en faible quantité,0.1 g,en faible quantité,13 g,en quantité élevée,0.04 g,en faible quantité,-46%,+88%,-34%,+267%,+267%,-3,,A,,,"['Bocal', 'Verre']",,,,,,,,,
124,Green rose tea - 250g,9330462003853,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,['France'],[],[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
125,Cacahuètes Grillées à sec - Description Bénénuts,3168930446446,D,['Description Bénénuts'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",,,['France'],[],[],?,,186,-69%,52,+6%,11,-9%,25,-3%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,778 kj(186 kcal),"7,5","6,5",2,"0,8",,52 g,en quantité élevée,7.5 g,en quantité élevée,6.5 g,en quantité modérée,2 g,en quantité élevée,-69%,+5%,+24%,+102%,+102%,8,+34%,C,+34%,,,,,,,,,,,
126,MorVeggie Breakfast Bacon Strips -,0028989971951,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Aliments à base de plantes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Substituts de viande']",,,"['France', 'États-Unis']","['Egg whites', 'soybean oil with tbhq for freshness', 'textured soy protein concentrate', 'modified corn starch', 'wheat gluten', 'hydrolyzed vegetable protein ', 'corn gluten', 'wheat gluten', 'soy', 'contains two percent or less of glycerin', 'salt', 'soy protein isolate', 'sodium citrate', 'sodium phosphate', 'sugar', 'natural and artificial flavors from non-meat sources', 'torula yeast', 'caramel color', 'monocalcium phosphate', 'sodium tripolyphosphate', 'natural smoke flavor', 'malic acid', 'guar gum', 'yeast extract', 'locust bean and guar gum', 'sodium sulfite', 'carrageenan', 'red #3', 'disodium inosinate', 'disodium guanylate', 'niacinamide', 'iron ', 'ferrous sulfate', 'autolyzed yeast extract', 'nonfat dry milk', 'yellow #6', 'vitamin b1 ', 'thiamin mononitrate', 'vitamin b6 ', 'pyridoxine hydrochloride', 'vitamin b2 ', 'riboflavin', 'citric acid', 'cyanocobalamin']",['Non végétalien'],?,,375,+421%,"28,12",+1082%,"12,5",+65%,"12,5",+453%,,,,,,,,1569 kj(375 kcal),"3,12",0,"3,658","1,463",,28.1 g,en quantité élevée,3.12 g,en quantité modérée,0 g,en faible quantité,3.66 g,en quantité élevée,+421%,+499%,-100%,+1188%,+1188%,12,,D,,,,,"['E422 - Glycérol', 'E331 - Citrates de sodium', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E341i - Phosphate monocalcique', 'E452vi - Tripolyphosphate de sodium et de potassium', 'E296 - Acide malique', 'E412 - Gomme de guar', 'E221 - Sulfite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E127 - Érythrosine', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E110 - Jaune orangé S', 'E330 - Acide citrique']","['Œufs', 'Soja']",4,,Worthington Foods Inc.,,,
127,250g,3324700077627,,,,,"['EMB 73065', 'Chambéry (Savoie, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
128,Natural gold water,5942328600010,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Infusion verveine cédrat - 25g,3760176993199,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 g,,,,,,,,,,
130,3250391431434,3250391431434,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Poulet fermier dAuvergne jaune FQC - Carrefour,0215489077270,,['Carrefour'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Kartoffeln mehligkochend - 2g,4311527608225,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 g,['Kg'],,,,,,,,,
133,PAINS AUX RAISINS ×4 Carrefour,0202179021972,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",,,['France'],[],[],?,,?,,?,,?,,?,,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Chocolat en poudre Nestlé,3033810068783,,['Nestlé'],,,,['France'],[],[],?,,74,,"2,1",,"9,8",,"3,7",,,,,,,,,310 kj(74 kcal),"1,2","9,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Mini viennoiserie bio x15 - Carrefour,3523680423725,,['Carrefour'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,['France'],[],[],?,,442,,24,,"46,5",,"8,8",,,,,,,,,1849 kj(442 kcal),15,"11,8","1,02","0,408",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Canard,0217643056671,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,THÉ VERT HIVER GOURMAND - les jardins de Gaïa,3582810181195,,['les jardins de Gaïa'],['Thé agrumes cannelle'],"['Bio', 'Commerce équitable', 'Bio-équitable', 'Entrepreneurs + Engagés']",,['France'],"['ENSEMBLE REDUISONSPACT ENRONNEMENTAL DES EMBALLAGES PENSEZ AU TRI! coeNePO édients: thé vert*', 'cannelle* 2% ', 'huiles essen - 5% ', 'orange douce', 'citron', 'cannelle', ""manda - su de l'agriculture biologique"", 'Issu de lagricul - gique et biodynamique', "" demeter est la marque its issus de l'agriculture biodynamique certifiée"", ' edients: green tea*', 'cinnamon** 2%', 'essential ', 'sweet orange*', 'lemon', 'cinnamon', 'manda - om organic farming', ' **From organic and biody - ming', 'demeter is the brand for products from ic agriculture', ' redientes: té verde*', 'canela* 2% ', 'aceites X dente de la agricultura ecológica y biodinámic es la marca comercial para alimentos obtenid elmétodo de producción Biodinámico certifica ', 'FIN', ' Ainesosat: vihreä tee*', 'kaneli** 2 % ', 'e 1,5%', 'appelsini*', 'sitruuna', 'kaneli*', 'mandari sin luomuviljelystä', '**Peräisin luomu - ja bioc viljelystä', 'demeter on merki tuotteille,jotka sertifioidusta biodynaamisesta viljelystä', ' ', 'SWE', ' Ingredienser: grönt te', 'kanel oljor 1,5% ', 'söt apelsin', 'citron""', 'kanel', 'Ekologiskt odlad', ' **Ekologiskt och biodyn produkt', ' demeter är märket för certifierade ** ulca limán*']",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Nourribio'],,,,,,,,,,,,,,,,,,,['Sachets'],,,,,,,,,
138,Saumon fumé Norvège,49934656,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,['France'],[],[],?,,174,-6%,10,-5%,0,-100%,21,-5%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,728 kj(174 kcal),"1,5",0,"3,2","1,28",,10 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,-6%,-27%,-100%,+13%,+13%,13,-1%,D,-1%,,,,,,,,,,,
139,8437004258137,8437004258137,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Pão de Ló,5600291212028,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Cuisses de poulet - La Nouvelle Agriculture,0213312030706,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Volaille-francaise']",,['France'],[],[],?,,198,+4%,14,+13%,0,-100%,18,-2%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,828 kj(198 kcal),"3,5",0,"0,18","0,072",,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,+3%,+4%,-100%,-76%,-76%,0,-100%,B,-100%,,,,,,,,,,,
