,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
205,Nougat Blanc Au Miel 30G - Famille PERRONNEAU,3263629968404,,,,['Famille PERRONNEAU'],,,,,,['France'],"['sucres sirop de glucoset fruits secs 2096% ', 'amandes 50%2 noisettes 50%', ' miel 5%', 'blancs pain azyme ', 'fécule de pomme 4e tertes eau', 'vanilline', ' A consommer de préférence avant le t Voir sur le sachet 3 263629 968404 APIDIS SAS 2 Établissements aires']",['Fruits à coque'],['Non végétalien'],,,,,,,,,,?,,457,,1912 kj(457 kcal),,"17,7",,"1,5",,"64,8",,61,,8,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
206,Nougat Blanc Au Miel De Lavande 35G,3263629968503,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,420,,1757 kj(420 kcal),,"9,7",,"0,9",,"78,1",,68,,4,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
207,Nougat Noir Tendre Au Miel 40G,3263629968800,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,511,,2138 kj(511 kcal),,"28,5",,"2,4",,"51,7",,"41,8",,4,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
208,Pain d'épice au miel 5 graines - Finabeil,3263629972227,,,,['Finabeil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]",,,,,['France'],"['Sirop de glucose-fructose', 'farine de SEIGLE', 'graines 16% ', 'tournesol 7%', 'lin 4%', 'citrouilles 2%', 'chia 2%', 'pignons de pin 1%', 'miel 9%', 'poudre à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'épices', ' Peut contenir des traces de lait et de fruits à coque']",['Gluten'],"['Sans huile de palme', 'Non végétalien']",4,8.2 g,en quantité modérée,1 g,en faible quantité,36 g,en quantité élevée,0.49 g,en quantité modérée,?,,394,+22%,1648 kj(394 kcal),+22%,"8,2",+332%,1,+125%,71,-1%,36,-17%,6,+63%,"0,49",+3%,"0,196",+3%,13,-6%,D,-6%,B,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
209,Pain d epice au miel muesli - Nectarel Bio - 300g,3263629972319,,300 g,,"['Nectarel Bio', 'Apidis']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['France'],[],,[],,1.6 g,en faible quantité,0.3 g,en faible quantité,37 g,en quantité élevée,0.3 g,en quantité modérée,?,,329,+2%,1377 kj(329 kcal),+2%,"1,6",-16%,"0,3",-32%,73,+2%,37,-14%,"4,2",+14%,"0,3",-37%,"0,12",-37%,13,-6%,D,-6%,B,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
210,Pain d'epice au miel muesli - Finabeil,3263629972326,,,,['Finabeil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]",,,,,['France'],[],,[],,0.8 g,en faible quantité,0.2 g,en faible quantité,40 g,en quantité élevée,0.42 g,en quantité modérée,?,,328,+2%,1372 kj(328 kcal),+2%,"0,8",-58%,"0,2",-55%,"74,4",+4%,40,-7%,"2,8",-24%,"0,42",-12%,"0,168",-12%,13,-6%,D,-6%,B,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
211,Croustillant Choco 120G,3263629981724,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,506,,2117 kj(506 kcal),,"26,7",,11,,"58,6",,26,,"6,6",,"0,86",,"0,344",,,,,,,,,,,,,,,,,,
212,Pain d'épices - Famille PERRONNEAU - 300g,3263629992027,,300 g,,"['Famille PERRONNEAU', 'Apidis']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],"[""PAIN D'épices salé & poivré                            Ingrédients Sirop de glucose fructose"", ' farine de SEIGLE', 'miel10%', 'poudres à lever : diphosphate disodique', 'fleur de sel de 0', '46 % colorant :caramel', 'épices : poivre 23% cannelle', 'arômes', ' Peut contenir des traces de lait et de fruits à coque', "" A conserver à l'abri de la chaleur et de l'humidité""]",['Gluten'],['Non végétalien'],4,0.9 g,en faible quantité,0.2 g,en faible quantité,39 g,en quantité élevée,0.46 g,en quantité modérée,?,,321,-5%,1343 kj(321 kcal),-5%,"0,9",-74%,"0,2",-84%,74,+5%,39,-4%,3,-31%,"0,46",+6%,"0,184",+6%,14,-1%,D,-1%,B,['E450i - Pyrophosphate de sodium acide'],61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
213,Pain d’epices langue glacée au miel - Apidis,3263629992409,,,,['Apidis'],"['Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],"[""Langues de pain d'épices au miel Ingredients "", ' Farine de BLE et de SEIGLE', 'alcre inverti', 'miel 8gj', ""poudre a lever: bicarbonate de et d'ammonium"", 'Décor atcre', ""blancs d'OEUFS"", ' Traces wentuelles de fruits à coque']","['Œufs', 'Gluten']",['Non végétalien'],1,0.5 g,en faible quantité,0.2 g,en faible quantité,46.6 g,en quantité élevée,0.1 g,en faible quantité,?,,326,-3%,1364 kj(326 kcal),-4%,"0,5",-86%,"0,2",-84%,77,+9%,"46,6",+15%,"5,6",+29%,"0,1",-77%,"0,04",-77%,14,-1%,D,-1%,B,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,
214,Canne en sucre d'orge fraise,3263649791792,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,380,,1590 kj(380 kcal),,0,,0,,95,,35,,0,,,,,,,,,,,,,,,,,,,,,,
215,Filets de Maquereaux au Muscadet - Connétable - 118g,3263670021325,,118g,"['Conserve', 'Métal']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates', 'Maquereaux en conserve']",['en:produced-in-bretagne'],"['France', 'Bretagne', 'Finistère', 'Douarnenez']","['FR 29.046.504 CE', 'Douarnenez (Finistère, France)']",['Carrefour'],['France'],"['Filets de maquereaux 60%', 'eau', 'aromates 11% ', 'carottes', 'oignons', 'cornichons', 'persil', ""vinaigres d'alcool et de vin"", 'vin blanc Muscadet 1', '5%', 'sel', 'sucre', 'arômes', 'lait', 'oeuf']","['Œufs', 'Poisson', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,2.6 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,712,+3%,?,,712 kj(170 kcal),+3%,11,-4%,"2,6",-10%,"0,9",+26%,"0,6",+69%,18,+21%,1,+9%,"0,4",+9%,3,+21%,C,+21%,C,,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,
216,Thon blanc au naturel - Connétable - 132g,3263670043235,,132 g,['Conserve'],['Connétable'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons blancs', 'Thons au naturel', 'Thons blancs au naturel']","['Pêche durable', 'Pêche durable MSC']",['Bretagne'],"['FR 29.046.532 CE', 'Douarnenez (Finistère, France)']",['Franprix'],['France'],"['Thon blanc germon,eau,sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,3.5 g,en quantité modérée,,,,,,,565,-9%,?,,565 kj(135 kcal),+3%,"3,5",+2%,,,?,,,,26,+2%,,,,,,,,,D,,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,
217,Filets de Truite sans Peau Cuisinés aux 3 Huiles - Phare d'Eckmühl - 115g,3263670057652,,115 g,"['Boîte', 'Conserve', 'Métal']","[""Phare d'Eckmühl""]","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Truites']","['Bio', 'Bio européen', 'FR-BIO-10', 'Riche en Oméga-3', 'Omega-3', 'AB Agriculture Biologique']",,,['Biocoop'],['France'],"['Filets de truite* 58%', ""huile d'olive vierge extra* 14%"", 'huile de tournesol* 14%', 'eau', ""huile d'amandes grillées * 1,1%"", 'sel', "" * 100% des ingrédients d'origine agricole sont issus de l'agriculture biologique"", 'certifié par FR-BIO-10']","['Poisson', 'Fruits à coque']",[],3,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1.01 g,en quantité modérée,?,,223,+36%,933 kj(223 kcal),+36%,15,+91%,"3,3",+102%,0,-100%,0,-100%,22,-2%,"1,01",-62%,"0,404",-62%,4,-65%,C,-65%,D,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,
218,Sardines de Bretagne à l'huile de tournesol - Phare d'Eckmühl,3263670114010,,,['Conserve'],"[""Phare d'Eckmühl""]","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]","['Pêche durable', 'Pêche durable MSC', 'MSC C-BVC-7548-F']",,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
219,Sardines A l'ancienne - Connétable,3263670124118,,,['Conserve'],['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au citron""]",,,,,['France'],[],,[],,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,210,-15%,879 kj(210 kcal),-14%,14,-19%,"3,5",-6%,0,-100%,0,-100%,22,+8%,1,+16%,"0,4",+16%,4,-22%,C,-22%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
220,Sardines au Citron (+ 20% GRATUIT) - Connétable - 414g (3x 138g),3263670124231,Sardines à l'ancienne à l'huile d'olive vierge extra au Citron,414g (3 x 138g),"['Conserve', 'Carton', 'Lot', 'Métal']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au citron"", ""Sardines à l'ancienne""]",['en:produced-in-bretagne'],"['France', 'Bretagne']",,['Carrefour'],['France'],"['Sardines', ""huile d'olive vierge extra"", 'citron 3%', 'sel']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,929,-5%,?,,929 kj(222 kcal),-4%,15,-9%,"3,3",-11%,0,-100%,0,-100%,22,+3%,1,+8%,"0,4",+8%,4,-16%,C,-16%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
221,Sardines à l'ancienne aux tomates séchées - Connétable - 2 * 138g,3263670124620,Sardines à la tomate à l'huile d'olive vierge extra,2 * 138 g,"['Conserve', 'Carton']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Sardines à la tomate']",,['Douarnenez'],"['FR 29.046.504 CE', 'Douarnenez (Finistère, France)']",['Casino'],['France'],"['sardines 56%', ""huile d'olive vierge extra 28%"", 'tomates séchées 6%', 'eau', ""vinaigres d'alcool et de vin"", 'sel', 'oignon', 'vin blanc', 'basilic', 'thym']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,24.1 g,en quantité élevée,4.5 g,en quantité modérée,1.5 g,en faible quantité,1 g,en quantité modérée,?,,299,+62%,1251 kj(299 kcal),+62%,"24,1",+101%,"4,5",+48%,"3,9",+136%,"1,5",+60%,"15,8",-9%,1,+6%,"0,4",+6%,10,+189%,C,+189%,C,,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,
222,Sardines à l'ancienne aux Tomates Séchées - Connétable - 414g (3x 138g),3263670124637,Sardines à l'huile d'olive vierge extra aux tomates séchées,414 g (3 x 138 g),"['Conserve', 'Métal', 'Carton']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Sardines à la tomate']","['Riche en Oméga-3', 'Omega-3', 'en:produced-in-bretagne']","['France', 'Bretagne']",,['Carrefour'],['France'],"['Sardines 56%', ""huile d'olive vierge extra 28%"", 'tomates séchées 6%', 'eau', ""vinaigres d'alcool et de vin"", 'sel', 'oignon', 'vin blanc', 'basilic', 'thym']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,25 g,en quantité élevée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1 g,en quantité modérée,1258,+47%,?,,1258 kj(301 kcal),+63%,25,+108%,"4,5",+48%,"2,2",+33%,"1,6",+70%,16,-8%,1,+6%,"0,4",+6%,10,+189%,C,+189%,D,,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,
223,Sardines à poêler à la Provençale - Connétable - 115g,3263670124910,Sardines au beurre et aux aromates,115 g,"['Conserve', 'Ouverture facile']",['Connétable'],"['Produits de la mer', 'Poissons', 'Sardines']","['Point Vert', 'en:produced-in-bretagne', 'en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]","['France', 'Bretagne', 'Finistère', 'Douarnenez']","['FR 29.046.504 CE', 'Douarnenez (Finistère, France)']",,['France'],"['sardines ', '80%', 'tomates ', '7%', 'beurre de baratte ', '7%', 'huiles de colza', 'de tournesol et de graines de lin', 'eau', 'sel', 'herbes de Provence ', '0,2%', 'légumes', 'aromates et épices ', 'dont ail 0,06%', 'extrait de levure', 'arômes', 'colorant : extrait de curcuma']","['Poisson', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,21 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,1076,+10%,?,,1076 kj(257 kcal),+12%,21,+32%,"9,7",+171%,~ 0,-100%,~ 0,-100%,18,-13%,1,+8%,"0,4",+8%,16,+214%,D,+214%,B,['E100 - Curcumine'],56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,
224,Sardines huile d'olive piment d'espelette connetable 2x138g +,3263670125528,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au piment""]",,,,,['France'],[],,[],,13 g,en quantité modérée,3 g,en quantité modérée,0.7 g,en faible quantité,1 g,en quantité modérée,?,,206,-13%,862 kj(206 kcal),-13%,13,-23%,3,-15%,"0,7",+68%,"0,7",+179%,21,-1%,1,+1%,"0,4",+1%,3,-43%,C,-43%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
225,Sardines au Piment de Cayenne - Connétable - 276g (2x 138g) + 20% GRATUIT,3263670125726,,276 g (2 x 138 g) + 20% GRATUIT,"['Conserve', 'Métal', 'Carton']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au piment""]","['Riche en Oméga-3', 'Omega-3', 'en:produced-in-bretagne']","['France', 'Bretagne']",,['Carrefour'],['France'],"['Sardines 80%', ""huile d'olive vierge extra 12%"", 'aromates et épices', 'piment de Cayenne 1', '3%', 'sel']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,919,-14%,?,,919 kj(220 kcal),-8%,15,-11%,"3,3",-6%,0,-100%,0,-100%,22,+3%,1,+1%,"0,4",+1%,4,-24%,C,-24%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
226,Connetable sardines huile olive et piment de Cayenne 1/6,3263670125733,,,,['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'huile et au piment""]",,,,,['France'],[],,[],,,,3.3 g,en quantité modérée,0.001 g,en faible quantité,1 g,en quantité modérée,?,,223,-6%,933 kj(223 kcal),-6%,?,,"3,3",-6%,?,,"0,001",-100%,22,+3%,1,+1%,"0,4",+1%,,,,,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
227,Sardines à l'ancienne - Connétable,3263670125825,,,,['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'ancienne""]",,,,,['France'],[],,[],,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,223,-6%,933 kj(223 kcal),-4%,15,-9%,"3,3",-11%,0,-100%,0,-100%,22,+3%,1,+8%,"0,4",+8%,4,-16%,C,-16%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
228,Sardines Généreuses à la Catalane - Connétable,3263670128314,,,['Conserve'],['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate']",,,,,['France'],"['Sardines 65 %', 'eau', 'concentré de tomates 4 %', 'huile de tournesol', 'oignon 2 %', 'cornichon', 'vinaigre', 'poivron vert 1 %', 'olives noires 1 %', 'sel', 'sucre', 'épaississant : gomme xanthane']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,2.5 g,en quantité modérée,1.5 g,en faible quantité,1 g,en quantité modérée,?,,170,-8%,711 kj(170 kcal),-8%,11,-8%,"2,5",-18%,"1,5",-9%,"1,5",+60%,17,-2%,1,+6%,"0,4",+6%,3,-13%,C,-13%,D,['E415 - Gomme xanthane'],26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,
229,Sardines marinade au poivrons - Connétable,3263670129113,,,,['Connétable'],,,,,,['France'],[],,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,9,,"2,5",,1,,"0,5",,22,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,
230,"Petites sardines fines et fondantes à l'huile d'olive CONNETABLE, 3 boîtes de - 5à 8petites sardines",3263670141535,,5 à 8 petites sardines,,"['Connetable', 'connétable']","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,,['France'],"['Sprats ', ""Spratt huile d'olive vierg? 150 Poids net total : Poids de poisson 1 n à l'ouverture : IV W"", ' Chancerelle - F-29']",,[],,24 g,en quantité élevée,5 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,284,+15%,1188 kj(284 kcal),+15%,24,+36%,5,+30%,0,-100%,0,-100%,17,-20%,"0,8",-12%,"0,32",-12%,5,-11%,C,-11%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
231,Sardines à l'Huile d'Olive - Connétable - 138g,3263670211528,,138 g,"['Conserve', 'Métal', 'Carton', 'Conserve']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Produits labellisés']","['Riche en Oméga-3', 'Omega-3', 'en:produced-in-bretagne']","['France', 'Bretagne']",,['Carrefour'],['France'],"['Sardines 80%', ""huile d'olive vierge extra"", 'sel']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,919,-32%,?,,919 kj(220 kcal),-31%,15,-31%,"3,3",-76%,0,-100%,0,-100%,22,+9%,1,-6%,"0,4",-6%,4,-60%,C,-60%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
232,Sardines à l'Huile d'Arachide - Connétable - 276g (2x 138g) + 20% GRATUIT,3263670213522,,276 g (2 x 138 g) + 20% GRATUIT,"['Conserve', 'Métal', 'Carton']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile""]","['Riche en Oméga-3', 'Omega-3', 'en:produced-in-bretagne']","['France', 'Bretagne']",,['Carrefour'],['France'],"['Sardines 80%', ""huile d'arachide"", 'sel']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,16 g,en quantité modérée,4.5 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,230,-4%,962 kj(230 kcal),-4%,16,-5%,"4,5",+23%,0,-100%,0,-100%,22,+4%,1,+10%,"0,4",+10%,5,-4%,C,-4%,D,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,
233,Filets de maquereaux à la moutarde - Connetable - 338g,3263670223521,,338 g,['Conserve métallique'],['Connetable'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux à la moutarde']","['en:produced-in-bretagne', 'Pêche durable', 'Pêche durable MSC']",,"['FR 29.046.504 CE', 'Douarnenez (Finistère, France)', 'C-BVC-7548-F']",,['France'],[],,[],,12 g,en quantité modérée,2.5 g,en quantité modérée,1.5 g,en faible quantité,1 g,en quantité modérée,?,,170,-19%,711 kj(170 kcal),-19%,12,-27%,"2,5",-23%,2,+79%,"1,5",+161%,14,+5%,1,-19%,"0,4",-19%,3,-50%,C,-50%,C,,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,
234,Filet De Maquereaux Vin Blanc Lot De - Phare d'Eckmuhl,3263670237825,,,,"[""Phare d'Eckmuhl""]","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates', 'Maquereaux en conserve']","['Bio', 'Bio européen', 'FR-BIO-10', 'Pêche durable', 'Pêche durable MSC']",,,,['France'],[],,[],,11 g,en quantité modérée,2.6 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,?,,175,+4%,732 kj(175 kcal),+6%,11,-4%,"2,6",-10%,"0,9",+26%,"0,6",+69%,18,+21%,1,+9%,"0,4",+9%,3,+21%,C,+21%,C,,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,
235,Thon entier  - Connétable  - 200g,3263670339376,,200g,,['Connétable'],,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
236,Thon Huile Olive Lot De - Phare d'Eckmühl,3263670343526,,,,"[""Phare d'Eckmühl""]","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]","['Bio', 'Bio européen', 'FR-BIO-10']",,,,['France'],[],,[],,17 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,255,+1%,1067 kj(255 kcal),+2%,17,-2%,"2,5",-17%,"0,5",+98%,"0,5",+376%,26,+10%,1,+2%,"0,4",+2%,4,-26%,C,-26%,D,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,
237,Thon entier 100% Filets au Naturel - Connétable - 400g (2x 200g) - Poids net égoutté : 2x 140g,3263670399424,,400 g (2 x 200 g) - Poids net égoutté : 2 x 140 g,"['Carton', 'Conserves', 'Métal']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",['en:produced-in-bretagne'],"['France', 'Bretagne']","['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",['Carrefour'],['France'],"['Thon albacore', 'eau', 'sel']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,513,+4%,?,,513 kj(123 kcal),+7%,2,+32%,"0,7",+50%,0,-100%,0,-100%,26,+4%,1,-4%,"0,4",-4%,0,-100%,B,-100%,E,,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,['Zone de pêche : Océan Indien Ouest'],,,
238,Thon entier au naturel - Connétable - 336g,3263670399530,,336 g,,['Connétable'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,,"['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",,['France'],[],,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,121,+5%,506 kj(121 kcal),+5%,2,+32%,"0,7",+50%,0,-100%,0,-100%,26,+4%,1,-4%,"0,4",-4%,0,-100%,B,-100%,E,,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,
239,Filets de thon blanc - Phare d’Eckmuhl,3263670411614,,,,['Phare d’Eckmuhl'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']","['Bio', 'Bio européen', 'FR-BIO-10', 'Pêche durable', 'Pêche durable MSC']",,,,['France'],"['Filets de thon blanc ', '70%', ""huile d'olive vierge extra* "", '2996', 'sel', "" *29% des ingrédients d'origine agricole sont issus de l'agriculture biologique"", ' Certifié par FR-BIO 10', ' Les filets de thon blanc ou encore appelés ventrèches sont les parties les plus savoureuses et m?lleuses du thon blanc germon', "" C'est le summum de l'excellence que les gourmets les plus exigeants apprécieront""]",,[],,24 g,en quantité élevée,5.5 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,312,+46%,1305 kj(312 kcal),+45%,24,+80%,"5,5",+112%,0,-100%,0,-100%,24,+2%,1,+9%,"0,4",+9%,12,+177%,D,+177%,D,,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,,
