,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
380,Confit de Cerise noires - Festifruits,3352392000081,['France'],[],[],?,201,841 kj(201 kcal),"0,5","0,1",48,47,"0,9","0,05","0,02",,['Festifruits'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Mélange 5 baies,3760022906670,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Croustade d'escargots - Pierre Schmidt,3234510013176,['France'],[],[],?,310,1297 kj(310 kcal),18,11,30,"2,6",7,"1,2","0,48",,['Pierre Schmidt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.529.005 CE', 'Weyersheim (Bas-Rhin, France)']",,,,,,,,,,
383,Spray de paillettes or,3700105250993,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Saumon,3760253171489,['France'],[],[],?,136,569 kj(136 kcal),"4,4","0,9",0,0,24,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Cônes glacés vanille pacane -,3291330001424,['France'],[],[],?,329,1377 kj(329 kcal),18,12,37,26,"3,5","0,27","0,108",,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés', 'Cônes vanille']",,B,18 g,en quantité modérée,12 g,en quantité élevée,26 g,en quantité élevée,0.27 g,en faible quantité,,+21%,+22%,+43%,+22%,+5%,0%,+15%,+58%,+58%,20,+18%,E,+18%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,
386,Croix à la cannelle - Cora,3021990078326,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Cassoulet au confit de canard,3509471027457,['France'],[],[],?,166,695 kj(166 kcal),"7,3","2,8","10,9","0,3","12,4","0,78","0,312",,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",,C,7.3 g,en quantité modérée,2.8 g,en quantité modérée,0.3 g,en faible quantité,0.78 g,en quantité modérée,,+9%,+9%,-6%,-1%,+38%,-58%,+18%,-13%,-13%,2,+22%,B,+22%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,,,,,,,,,
388,Bloc de foie gras de canard - Labeyrie,3033610036944,['France'],"['Foie gras de canard ', 'origine France', 'figues sèches ', '12%', 'eau', 'dextrose', 'sel', 'armagnac', 'épices', 'sucre', 'poivre de sichuan ', '0,2%', 'conservateur : E250', 'antioxydant : E301']","['Non végétalien', 'Non végétarien']",?,428,1791 kj(428 kcal),40,17,12,10,5,"0,83","0,332",,['Labeyrie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,B,40 g,en quantité élevée,17 g,en quantité élevée,10 g,en quantité modérée,0.83 g,en quantité modérée,,-13%,-12%,-21%,-21%,+466%,+652%,-18%,-32%,-32%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,,
389,Coquille Saint Jacques cuisiné au cognac,3272642228648,['France'],[],[],?,145,607 kj(145 kcal),"5,4","2,6","14,7","5,3",7,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,3 mini-préfous,3700009265031,['France'],[],[],?,347,1452 kj(347 kcal),19,11,35,"2,4","7,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Foie gras canard entier - Larnaudie,3113010143500,['France'],[],[],?,533,2230 kj(533 kcal),"54,8",25,"2,9","2,8","7,3","1,03","0,412",,['Larnaudie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Papa Noël en chocolat,20304867,['France'],[],[],?,535,2238 kj(535 kcal),30,19,59,57,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Polpa de maracuja - Koala,5603697270043,"['France', 'Espagne']",[],[],?,100,418 kj(100 kcal),"1,1",0,21,19,"0,9","0,05","0,02",,['Koala'],['Conserves'],,,1.1 g,en faible quantité,0 g,en faible quantité,19 g,en quantité élevée,0.05 g,en faible quantité,,-13%,-11%,-79%,-100%,+310%,+905%,-89%,-94%,-94%,5,+1076%,C,+1076%,,,,,,,,,,,,,,,,,,,,
394,Farine 5 céréales - Biocoop,3558630516004,['France'],"['Blé*55%', 'Seigle*20%', 'Epeautre*15%,Orge*5%,Sarrasin*5%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,['Biocoop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['sac 5kg'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,1,,,,,,,
395,Faux gras,8711997012069,['France'],[],[],?,261,1092 kj(261 kcal),22,18,"9,5","0,5","4,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
396,Café,4006508190751,['France'],[],[],?,52,218 kj(52 kcal),20,0,0,0,6,77,"30,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3760077983565,3760077983565,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Bûche glacee - La belle aude,3760015741363,['France'],[],[],?,171,715 kj(171 kcal),"5,9","3,6","25,7","22,7","2,8","0,11","0,044",,['La belle aude'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,D,5.9 g,en quantité modérée,3.6 g,en quantité modérée,22.7 g,en quantité élevée,0.11 g,en faible quantité,,-14%,-14%,-27%,-33%,-10%,-8%,+21%,-11%,-11%,9,-20%,C,-20%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,['Surgele'],,,,['Carrefour'],,,,,,,,
399,Filets de Hareng salés et fumés - Delpierre,3042230069836,['France'],[],[],?,266,1113 kj(266 kcal),21,"2,7",0,0,20,"16,6","6,64",,['Delpierre'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés', 'Harengs en conserve', 'Filets de harengs']",,B,21 g,en quantité élevée,2.7 g,en quantité modérée,0 g,en faible quantité,16.6 g,en quantité élevée,,+34%,+35%,+47%,-8%,-100%,-100%,+44%,+882%,+882%,15,+99%,D,+99%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,,,,,,,,,,,,,
400,Saumon fumé trancher Norvège,3339790002060,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,E,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
401,Loacker Milk Wafers,80001270,['France'],[],[],?,529,2213 kj(529 kcal),28,24,59,27,"8,7","0,41","0,164",,['Loacker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
402,poudre blanche scintillante Patisdecor - Cerfdellier - 8g,3700105211253,['France'],"['sucre', 'anti-agglomérant E555', 'colorant E171']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,8 g,['Cerfdellier'],"['Epicerie', 'Decoration patisserie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Boite'],,['BBE'],,['Zodio'],4,"['E555 - Silicate alumino-potassique', 'E171 - Oxyde de titane']",http://cerfdellier.com,,,,,
403,Motta Panettone Gran Caramello GR 750.,8034097874246,['France'],[],[],?,406,1699 kj(406 kcal),20,12,49,28,"6,8","0,47","0,188",,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,C,20 g,en quantité modérée,12 g,en quantité élevée,28 g,en quantité élevée,0.47 g,en quantité modérée,,+9%,+9%,+33%,+33%,-5%,+8%,-0%,+7%,+7%,23,+24%,E,+24%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
404,DRESDNER CHRISTOLLEN - vadossi - 1000g,4018087000628,['France'],[],[],?,?,,?,,?,,?,,,1000g,['Vadossi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carton'],,,,,,,http://www.vadossi.de,,,,,
405,Saumon fumé Ecosse -,3346890003477,['France'],[],[],?,198,828 kj(198 kcal),"12,9","3,5",0,0,"21,8",0,0,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""en:Saumons fumés d'Ecosse""]",,E,12.9 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,+16%,+41%,-100%,-100%,-0%,-100%,-100%,0,-100%,B,-100%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,['Ecosse'],,,,,,,,,
406,Feine Nürnberger Oblatenlebkuchen,24618939,['France'],[],[],?,380,1590 kj(380 kcal),"11,3",2,"59,9",38,7,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Ive coffee vanilla,4711476616461,['France'],[],[],?,37,155 kj(37 kcal),"0,7","0,4","6,8",6,"0,8","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Biscuits pur beurre noisette et chocolat lait - U - 120g,3368952497956,['France'],"['Farine de ble', 'chocolat au lait 25% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithines ', 'tournesol', 'arôme naturel de vanille', 'sucre vergeoise', 'beurre 14%', 'noisettes grillées hachées 5', '5%', 'lait entier', 'flocons d avoine', 'farine d avoine', 'lait entier en poudre', 'amidon de ble', 'poudres à lever : carbonates de sodium - carbonates d ammonium', 'sel marin', ' traces éventuelles de soja', ""d'oeuf"", ""d'autres fruits à coque"", ""de graines de sésame et d'arachide""]",['Non végétalien'],2152,514,2152 kj(514 kcal),27,14,59,30,"8,4","0,49","0,196",120 g,"['U', 'U Saveurs']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,C,27 g,en quantité élevée,14 g,en quantité élevée,30 g,en quantité élevée,0.49 g,en quantité modérée,+8%,+8%,+8%,+30%,+39%,-8%,+2%,+29%,-17%,-17%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['boîte'],"['Lait Français', 'Transformé en France']",,,['Magasins U'],4,"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,"['Gluten', 'Lait', 'Fruits à coque', 'Avoine']",,,,
409,Dresdner Christstollen,4006894455908,['France'],[],[],?,382,1598 kj(382 kcal),"14,5","8,6","55,6","32,4","5,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Soft Apéro bio -  - 250g,3191220016715,['France'],"['Arachide coque BIO""', '20%', ' ', 'Egypte', ' Arachide Noix de Cajou BIO ', '16%', ' ', 'Vietnam', ': Noix de Cajou*', ' Amandes BIO ', '16% ', ' ', 'Italie', ': Amandes* Graines de Soja BIO grillées ', '16%', ' ', 'Autriche', ': graine de soja Cranberries séchées sucrées BIO"" ', '16%', ' ', 'USA', ' Cranberries""', 'sucre""', 'huile de tournesol*']",[],?,452,1891 kj(452 kcal),"30,29","4,7","20,8","13,55","19,2","0,31","0,124",250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",,,30.3 g,en quantité élevée,4.7 g,en quantité modérée,13.6 g,en quantité élevée,0.31 g,en quantité modérée,,+35%,+34%,+339%,+108%,-64%,-69%,+367%,+253%,+253%,3,-37%,C,-37%,,,,,,,,,['Bio'],,,,3,,,,,,,
411,Crayon pâtissier Goût Caramel - Vahiné - 23grs,3179142058280,['France'],"['Sirop de glucose', 'sucre', 'eau', 'épaississants: amidon modifié', 'pectines', 'colorants : caramel ordinaire', 'caroténoides', 'extrait de paprika', 'acidifiant : acide citrique', 'lait écrémé en poudre', 'sel', 'conservateur: sorbate de potassium', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,225,941 kj(225 kcal),0,0,64,43,0,"0,24","0,096",23 grs,['Vahiné'],"['Aides culinaires', 'Aides à la pâtisserie']",['France'],,0 g,en faible quantité,0 g,en faible quantité,43 g,en quantité élevée,0.24 g,en faible quantité,,-42%,-42%,-100%,-100%,-0%,+1%,-100%,-36%,-36%,12,-20%,D,-20%,,,,,,,,['tube plastique'],,,,,4,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E150a - Caramel E150a', 'E160 - Caroténoïdes', 'E160c - Extrait de paprika', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
412,Papillon à la châtaigne - Marron Châtaigne,3760072010440,['France'],[],[],?,304,1272 kj(304 kcal),"1,3","0,2",71,"5,6","10,1",0,0,,['Marron Châtaigne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,
413,Foie gras de canard entier du Sud-Ouest - Pierre Champion - 180g,3598964205076,['France'],"['foie gras de canard', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,543,2272 kj(543 kcal),"55,6","20,3","2,4","1,1",8,"1,3","0,52",180 g,['Pierre Champion'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,B,55.6 g,en quantité élevée,20.3 g,en quantité élevée,1.1 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+2%,-12%,+1%,-17%,+6%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Sans nitrite de sodium'],,,,3,,,,,,,
414,"les rieux, rasteau 2015 - .75l",11663966,['France'],"['raisins biologiques', ' sulfites']",['Sans huile de palme'],?,?,,?,,?,,?,,,.75 l,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,D,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Bouteille'],,,,,3,,,['Anhydride sulfureux et sulfites'],,,,
415,Doucea - Modilac,3572731201690,['France'],[],[],?,?,,?,,?,,?,,,,['Modilac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
416,Escargots de Bourgogne,3043033170040,['France'],[],[],?,80,335 kj(80 kcal),"1,1","0,2","0,9","0,5",16,"0,7","0,28",,,"['Conserves', 'Viandes', 'Escargots', 'Viandes en conserve', 'Escargots en conserve', 'Escargots de Bourgogne']",,C,1.1 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,,+3%,+1%,-11%,-32%,-45%,+9%,+7%,-31%,-31%,-2,,A,,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,,,
417,Duo Vla,4061458014748,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Le biscuit de Sainte-mère l'Eglise,3760200920757,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Opavia Disko - 157g,8593894905992,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,157 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Citron meringuée,3250392644703,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Pain d'épices toast -,3517471261016,['France'],"['sirop de sucre inverti', 'farine de seigle ', 'gluten', 'miel 12% ', 'oeufs entiers', 'écorces de citron confites 8,5% ', 'écorces de citron', 'sirop de glucose-fructose', 'sucre', 'farine de froment ', 'gluten', ""jaunes d'oeufs"", 'extrait de citron 1,5%', 'baies roses 0,7%', 'épices 0,5% ', 'cannelle', 'anis', 'poudre à lever ', 'carbonates de sodium', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,316,1322 kj(316 kcal),"2,6","0,3",69,44,"4,3","0,39","0,156",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,B,2.6 g,en faible quantité,0.3 g,en faible quantité,44 g,en quantité élevée,0.39 g,en quantité modérée,,-6%,-7%,-26%,-76%,-3%,+8%,-1%,-11%,-11%,13,-8%,D,-8%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,4,['E500 - Carbonates de sodium'],,"['Œufs', 'Gluten']",,,,
422,Terrine aux 2 saumons - La Vie Claire,3266191012957,['France'],[],[],?,252,1054 kj(252 kcal),18,"3,6","8,6","3,91",13,"1,1","0,44",,['La Vie Claire'],"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",,,18 g,en quantité modérée,3.6 g,en quantité modérée,3.91 g,en faible quantité,1.1 g,en quantité modérée,,+23%,+23%,+17%,+3%,+103%,+181%,+17%,-3%,-3%,5,-18%,C,-18%,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,['La Vie Claire'],,,,,,,,
423,Kinder Überraschung,42216483,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,
424,Foie gras de canard entier au torchon - Maistres Occitans,3443705010092,['France'],"['Foie gras de canard du Sud-Ouest', 'bouillon ', 'eau', 'Porto blanc', 'sucre', 'plantes aromatiques', 'sel', 'carottes et poireaux déshydrates', 'chicorée soluble', 'épices', 'poivre', 'Porto blanc', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,483,2021 kj(483 kcal),49,20,"2,1","1,5","7,1","1,2","0,48",,['Maistres Occitans'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,B,49 g,en quantité élevée,20 g,en quantité élevée,1.5 g,en faible quantité,1.2 g,en quantité modérée,,-9%,-9%,-10%,-14%,-12%,+14%,-6%,0%,0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Sans nitrite de sodium'],,,,3,,,,,,,
425,Pavés marinés échalote,0210735029324,['France'],[],[],?,95,397 kj(95 kcal),"1,3","0,6","0,7","0,5",20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,
426,Foie gras de canard entier du Sud-Ouest mi-cuit - Deluxe - 200g,20057299,['France'],"['foie gras de canard ', 'Origine : France', 'sel', 'Armagnac', 'poivres', 'sucre', 'antioxydant: ascorbate de sodium', ' conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,522,2184 kj(522 kcal),53,23,"2,9","1,2","7,8","1,1","0,44",200 g,['Deluxe'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers', 'Foies gras mi-cuits']",,B,53 g,en quantité élevée,23 g,en quantité élevée,1.2 g,en faible quantité,1.1 g,en quantité modérée,,-1%,-0%,-2%,-1%,+24%,-25%,+13%,-5%,-5%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,"['FR 65.304.002 CE', 'Maubourguet (Hautes-Pyrénées, France)']",,['Lidl'],3,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
427,Mezze Penne Rigate n°28 - Rummo - 400g,8008343880282,['France'],"['Riz complet 36%', 'mais jaune 32,5%', 'mais blanc 20%', 'riz 8% et pomme de terre 3%', ""émulsifiant : mono - et diglycérides d'acides gras alimentaires d'origine végétale,""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,341,1427 kj(341 kcal),2,"0,7","73,2","0,3",6,"0,003","0,001",400 g,['Rummo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Penne', 'Penne rigate', 'en:Penne Rigate sans gluten']",,,2 g,en faible quantité,0.7 g,en faible quantité,0.3 g,en faible quantité,0.003 g,en faible quantité,,-3%,-3%,+23%,+47%,+2%,-61%,-34%,-43%,-43%,1,,B,,,,,,,,,,['en:gluten-free'],,,,4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,
428,Garlic Paste,3020254874308,['France'],[],[],?,126,527 kj(126 kcal),2,0,23,1,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Chips artisanales de Beauce,4542546539553,['France'],[],['Sans huile de palme'],?,44,184 kj(44 kcal),7,"2,7",38,"0,6","6,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Fabriqué en France', 'en:palm-oil-free']",,,,,,,,,,,
430,pâté de campagne au Porto,3291630290047,['France'],[],[],?,302,1264 kj(302 kcal),"27,1","10,5","1,5","1,4",13,"1,37","0,548",,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,D,27.1 g,en quantité élevée,10.5 g,en quantité élevée,1.4 g,en faible quantité,1.37 g,en quantité modérée,,-3%,-3%,+0%,+4%,-38%,+52%,-8%,-17%,-17%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,
431,Stachelbeeren gezuckert - 680g,4004899002073,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,680 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,
432,Pfirsiche,7613034228734,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pêches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,
433,Honda holland au cumin igp,2488622019156,['France'],[],[],?,376,1573 kj(376 kcal),"30,8","21,4",0,0,"23,8","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,La canette sauce aux marrons - Maison Rivière,3375644008024,['France'],[],[],?,120,502 kj(120 kcal),"6,4","2,4","5,7",1,"9,4","0,36","0,144",,['Maison Rivière'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Fingers de meringue vanille et myrtille - 50g,3700766410507,['France'],[],[],?,394,1648 kj(394 kcal),0,0,96,94,3,0,0,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Vin blanc de Savoie - Jongieux - 75cl,3387210114251,['France'],[],[],?,?,,?,,?,,?,,,75 cl,['Jongieux'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",,D,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,
437,Blanquette de veau riz 3 couleurs - U - 1,3701222800917,['France'],[],[],?,201,841 kj(201 kcal),"9,2","4,9",15,"1,8",14,"1,13","0,452",1,['U'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Plats au veau']",,D,9.2 g,en quantité modérée,4.9 g,en quantité modérée,1.8 g,en faible quantité,1.13 g,en quantité modérée,,+66%,+67%,+82%,+118%,+142%,+51%,+39%,+38%,+38%,10,+687%,C,+687%,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,"['Plastique', 'barquette plastique']",,"['FR 47.091.011 CE', 'Estillac (Lot-et-Garonne, France)']",,,,,,,,,,
438,Sandwich Delight Concombre & Aneth,8722700516613,['France'],[],[],?,192,803 kj(192 kcal),18,13,6,4,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Vin blanc - 75cl,3343380029795,['France'],[],[],?,?,,?,,?,,?,,,75 cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,C,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Bouteille'],,,['France'],,,,,,,,,
440,Coupes glacées  pêche Melba - Toupargel,3528161506324,['France'],[],[],?,157,657 kj(157 kcal),4,"3,4","29,3","23,6","0,7","0,06","0,024",,['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
