,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
1012,Café - Le Lion,3352330597000,,,,['France'],"[""100% café soluble lyophilis à partir de grains de café vert p UTILISATION : dose recommand* Ajouter I ou 2 cuillères à café dans l'eau' CONSERVATION : conserver hermétiq dans un endroit frais et s""]",[],,,,,,,,,?,,306,,1280 kj(306 kcal),,0,,0,,42,,0,,21,,"0,225",,"0,09",,,,,,,,,,,,,['Le Lion'],,,,,,,,,,,,,,
1013,Confit d'oignons - Festifruits,3352392000029,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,32 g,en quantité élevée,0.6 g,en quantité modérée,622,-12%,622,+270%,622 kj(622 kcal),-12%,"0,5",-70%,"0,5",+89%,33,-6%,32,-1%,"0,9",-10%,"0,6",-4%,"0,24",-4%,8,+21%,C,+21%,,,,,,,,['Festifruits'],,,,,,,,,,,,,,
1014,Curry en poudre - Saveurs Epices - 200g,3352394000928,B,"['Pot', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",['France'],"['Fenouil', 'Curcuma', 'Fenugrec', 'coriandre', 'céleri', 'curry', 'sel', 'mangue', 'ajinimoto', 'Farine de moutarde', 'gingembre', 'ail', 'farine de maïs', 'laurier', 'piment', 'cumin']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,['Saveurs Epices'],,"['Céleri', 'Moutarde', 'Fenugrec']",3,,,,200 g,,,,,,,
1015,Amandes Poudre sans conservateur - FestiFruits,3352395110176,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",['France'],"['IOC 0% ajft%tidcs Ehboré dam un atelier des contenant suifi{es', 'arachides', 'fmits à lait', 'soja', 'gluter?', ' moutarde', ' dams un endroit sec et sombre']",[],4 g,en quantité modérée,4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,?,,634,+2%,2653 kj(634 kcal),+2%,4,-92%,4,-5%,"1,5",-83%,1,-76%,"25,4",+9%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,['FestiFruits'],,"['Moutarde', 'Arachides', 'Soja']",,"['Sans conservateurs', 'Entrepreneurs + Engagés']",,,,,,,,,,
1016,Mélange fruits secs - Festifruits,3352395110930,,,,['France'],"['Mélange élaboré en France à partir de fruits orginaires de pays tiers Ingrédients ', 'en proportion variable', ' : Raisins sultanines noisette', 'crues', 'bananes chips', 'noisettes émondées', 'amandes crues', 'amandes émondées', 'huile Ségetale', 'conservateur E220 sucres arôme naturel ', 'dont blé', 'sucre de canne', 'miel', ' Contient des fruits à coques', 'des sulfites et du gluten']",['Non végétalien'],,,,,,,,,?,,492,,2059 kj(492 kcal),,"27,49",,"7,9",,52,,"12,7",,"9,3",,"0,05",,"0,02",,,,,,,,,,,,,['Festifruits'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Gluten', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,
1017,Gratin dauphinois -,3353820005968,B,,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",['France'],[],[],9.6 g,en quantité modérée,6.6 g,en quantité élevée,2.6 g,en faible quantité,0.64 g,en quantité modérée,?,,163,+37%,682 kj(163 kcal),+39%,"9,6",+66%,"6,6",+84%,13,+16%,"2,6",+61%,"5,5",+61%,"0,64",-9%,"0,256",-9%,7,+49%,C,+49%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,,,
1018,Mini Blinis. X16 - Le Traiteur Gourmet,3353820008303,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Blinis']",['France'],"[""16 MINI BLINIS FRAITEUR slngrédients : Eau —farine de blé — hu 'le de colza — lait entier en poudre "", ' entier liquide ', 'conservateurs : acide itrique', 'kbrëate de potassium', ' crè fraîche 1070 — sel — sucre = levure bo langère --- tabilisant : sorbitol de ma poudre à lever : diphosphate disodique — bicarbonate de sodium— conservat', ' E282', ' Les informations en grgs sont destinées taux personnes intolérante allergiques']",['Non végétalien'],11.8 g,en quantité modérée,2 g,en quantité modérée,3.3 g,en faible quantité,1.07 g,en quantité modérée,?,,277,+7%,1159 kj(277 kcal),+6%,"11,8",+11%,2,+41%,"35,3",+6%,"3,3",-25%,"6,5",+3%,"1,075",-21%,"0,43",-21%,3,-56%,C,-56%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,['Le Traiteur Gourmet'],"['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E282 - Propionate de calcium']",,4,,,,,,,"['EMB 93047', 'Montfermeil (Seine-Saint-Denis, France)']",,,,
1019,Tarama premium - Traiteur Gourmet,3353820009270,B,['Opercule en plastique'],"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Taramas']",['France'],"['Huile de colza 54%', 'oeufs de cabillaud fumés 4230 càillaud : 40%', 'eau et sel', 'eau', 'ain de mie ', 'farine de blé de blé malté', ""gluten de bPl'e agent de traitement de la iübique"", 'eau', 'huile de tournesol', 'levure boulangère', 'lait en sel', 'préparation à base de jus de citron concentré ', 'eau', 'jus de concentré 40%', 'acidifiant : acide citrique', 'conservateur : ', ' çessium', 'antioxydant : acide ascorbique ', 'épaississant : gomme benzoate de eûts naturels de citron', 'conservateur de crustacés', 'mollusaues', 'moutarde', 'sésame', 'céleri', 'Elf', 's:', ' les ft', 'mations en gras sont destidés aux personnes intolérantes ou']",[],56 g,en quantité élevée,4 g,en quantité modérée,0.4 g,en faible quantité,2.3 g,en quantité élevée,?,,557,+9%,2330 kj(557 kcal),+9%,56,+10%,4,-5%,"0,5",-88%,"0,4",-26%,"4,7",-35%,"2,3",+39%,"0,92",+39%,18,+10%,D,+10%,66.5%,16.2%,6.9%,6.0%,3.5%,0.9%,82,['Traiteur Gourmet'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Céleri', 'Moutarde', 'Graines de sésame']",4,['Sans colorants'],,,,,,"['EMB 90047', 'Fontaine (Territoire de Belfort, France)', 'FR 93.047.034 CE', 'Montfermeil (Seine-Saint-Denis, France)']",,,,
1020,Graisse de canard - PANACHE DES LANDES,3356650002411,B,,"['Matières grasses', 'Matières grasses animales', 'Graisse de canard']",['France'],"['Informations nutriticar,elles pout 100 g YSX', ' A avant ta date']",[],99.8 g,en quantité élevée,33.2 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,898,+4%,3757 kj(898 kcal),+2%,"99,8",+1%,"33,2",+3%,0,-100%,0,-100%,0,-100%,1,+549%,"0,4",+549%,18,+24%,D,+24%,70.9%,8.1%,7.8%,7.3%,4.8%,1.2%,90,['PANACHE DES LANDES'],,,,,,,,,,,,,,
1021,Bloc de foie gras des landes - Panache des Landes - 190g,3356650003159,A,['Conserve métal'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['foie gras de canard', 'eau', 'sel', 'poivre', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",52.4 g,en quantité élevée,21.1 g,en quantité élevée,0 g,en faible quantité,1.23 g,en quantité modérée,?,,511,+4%,2138 kj(511 kcal),+5%,"52,4",+4%,"21,1",-2%,"0,9",-58%,0,-100%,9,+47%,"1,23",+1%,"0,492",+1%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Panache des Landes'],,,3,"['IGP', 'Sans nitrite de sodium']",,,190g,,,"['FR 40.126.003 CE', 'Hinx (Landes, France)']",,['France'],,
1022,Espadon fumé,3356996911507,D,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Espadon', 'Espadons fumés']",['France'],[],[],4.4 g,en quantité modérée,1.2 g,en faible quantité,0.9 g,en faible quantité,3.5 g,en quantité élevée,?,,124,-31%,519 kj(124 kcal),-31%,"4,4",-56%,"1,2",-41%,"1,8",+277%,"0,9",+187%,19,-13%,"3,5",+24%,"1,4",+24%,12,-6%,D,-6%,86.6%,0.0%,2.5%,9.2%,1.3%,0.3%,42,,,,,['Sans colorants'],,,,,,,,,,
1023,Terrine de canard aux figues - Le Pere Jean,3357149634250,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],38 g,en quantité élevée,13 g,en quantité élevée,3.2 g,en faible quantité,18 g,en quantité élevée,?,,411,+34%,1720 kj(411 kcal),+34%,38,+44%,13,+37%,"4,2",+144%,"3,2",+416%,12,-15%,18,+1076%,"7,2",+1076%,25,+40%,E,+40%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,['Le Pere Jean'],,,,,,,,,,,,,,
1024,Pomme de terre miss terricarde - Le Terricart,3357735017009,,,,['France'],['POMME DE TERRE DE CONSOMMATION VARI ETE AGATA'],[],,,,,,,,,?,,75,,314 kj(75 kcal),,"0,2",,"0,1",,"15,8",,"0,1",,2,,"0,1",,"0,04",,,,,,,,,,,,,['Le Terricart'],,,,,,,,,,,,,,
1025,Marcellin X2 160G LS - Fromagerie de la Drôme - 160g (2x80g),3358150020513,B,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",['France'],['lait de vache thermisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",23 g,en quantité élevée,16 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,1160,+5%,280,+3%,1160 kj(280 kcal),+3%,23,+2%,16,-5%,"2,2",+67%,"1,4",+79%,16,+1%,"1,3",-2%,"0,52",-2%,13,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Fromagerie de la Drôme'],,['Lait'],3,['IGP'],,,160g (2x80g),,,"['FR 38.500.001 CE', 'Têche (Isère, France)']",,"['France', 'Lait origine France']",,
1026,Mendiant Premium,3360563356332,,,,['France'],[],[],,,,,,,,,?,,507,,2121 kj(507 kcal),,32,,"3,2",,42,,38,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Reblochon Masson 450G - 400g,3360950000077,D,"['Frais', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages au lait cru', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits labellisés']",['France'],"['Lait cru de vache', ""ferments lactiques et d'affinage"", 'sel', 'présure', 'colorant de la croûte : rocou']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",28 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.27 g,en quantité modérée,?,,338,+6%,1414 kj(338 kcal),+6%,28,+28%,22,+59%,"0,6",-91%,"0,5",-22%,21,+4%,"1,275",+20%,"0,51",+20%,14,+40%,D,+40%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Masson'],['E160b - Rocou'],['Lait'],4,['Fabriqué en France'],,,400 g,,"['France', 'Savoie']",,,,,
1028,Steak Hache Facon Bouchere - Monfort viandes - x10,3361114190009,D,"['Carton', 'Surgelé']","['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],"[""zo steaks hachés pur bœuf issus de l'agriculture biologique Qualité bouchère Ces steaks hachés bio sont élaborés exclusivement à partir de muscles de bœuf issu d biologique"", 'conformément à la réglementation', ' Hachés et formés ""façon boucherie tr ils sont la garantie d\'un moelleux et d\'une saveur incomparables']",[],14.1 g,en quantité modérée,5.7 g,en quantité élevée,0 g,en faible quantité,0.1 g,en faible quantité,?,,209,+12%,874 kj(209 kcal),+11%,"14,1",+14%,"5,7",+9%,"0,5",+144%,0,-100%,"20,2",+6%,"0,1",-54%,"0,04",-54%,2,-27%,B,-27%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Monfort viandes'],,,,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'Viande Bovine Française', 'AB Agriculture Biologique']",,,x10,,['France'],,,['France'],,
1029,Confiture quatre fruits rouges - Matin des Pyrénées - 370g,3361770005129,C,"['bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",['France'],"['Fruits ', 'fraise 25%', 'framboise 25%', 'griotte 25%', 'groseille 25%', 'sucre', 'gélifiant : pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,53.9 g,en quantité élevée,0.02 g,en faible quantité,?,,227,+4%,950 kj(227 kcal),+4%,"0,3",+18%,"< 0,1",+119%,"54,1",+3%,"53,9",+7%,"0,6",+10%,"0,02",-3%,"0,008",-3%,11,+16%,D,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Matin des Pyrénées', 'Copyr']",['E440 - Pectines'],,4,,['Monoprix'],,370 g,,,,,['Union Européenne et Non Union Européenne'],,
1030,Confiture pastèque - Matin des Pyrénées - 370g,3361770005211,C,"['Bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de pastèque']",['France'],"['Fruits* ', 'pastèque 84%', 'orange avec écorce 11%', 'citron 5%', 'sucre', 'jus concentré de citron', 'gélifiant : pectine', 'extrait de vanille', "" *Fruits d'origine UE/non UE""]",[],0.5 g,en faible quantité,0.1 g,en faible quantité,53.6 g,en quantité élevée,0.0125 g,en faible quantité,?,,220,,920 kj(220 kcal),+2%,"< 0,5",+291%,"< 0,1",+119%,54,-5%,"53,6",-5%,"0,4",+75%,"< 0,012",,"0,005",,11,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Matin des Pyrénées', 'Copyr']",['E440 - Pectines'],,4,,['Monoprix'],,370 g,,,,,,,
1031,Marmelade de mandarine - Matin des Pyrénées - 370g,3361770005426,,"['bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', 'Marmelades de mandarines']",['France'],"['Sucre', 'mandarine', 'gélifiant : pectine', 'acidifiant : citrate de calcium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,53.8 g,en quantité élevée,0.01 g,en faible quantité,?,,237,-1%,992 kj(237 kcal),-1%,"< 0,5",+170%,"< 0,1",+131%,58,-1%,"53,8",-4%,"0,4",+12%,"0,01",-67%,"0,004",-67%,11,-8%,D,-8%,,,,,,,,"['Matin des Pyrénées', 'Copyr']",['E440 - Pectines'],,4,,['Monoprix'],,370 g,,,,,['Union Européenne et Non Union Européenne'],,
1032,Gelée de Framboises - Matin des Pyrénées - 370g,3361770005525,C,"['bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de framboises']",['France'],"['Sucre*', 'eau', 'jus concentré de framboise', 'gélifiant : pectine', 'jus concentré de citron']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,54.1 g,en quantité élevée,0.01 g,en faible quantité,?,,223,-9%,933 kj(223 kcal),-9%,"< 0,5",+93%,"< 0,1",+241%,"55,7",-7%,"54,1",-6%,"0,3",-35%,"0,01",-19%,"0,004",-19%,12,+3%,D,+3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Matin des Pyrénées', 'Copyr']",['E440 - Pectines'],,4,,['Monoprix'],,370 g,,,,,['Union Européenne et Non Union Européenne'],,
1033,Confiture de cerise noire - Matin d'Ariège - 370g,3361779998439,D,"['Bocal', 'Verre', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['France'],"['Cerises noires ', '50 %', 'sucre', 'jus concentré de citron', 'gélifiant : pectine', 'affermissant : citrate tricalcique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,?,,239,+8%,1000 kj(239 kcal),+8%,"0,2",-18%,0,-100%,58,+7%,57,+10%,"0,7",+9%,0,-100%,0,-100%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,"[""Matin d'Ariège""]","['E440 - Pectines', 'E333iii - Citrate tricalcique']",,4,"['Point Vert', 'Fabriqué en France']",,,370 g,,['France'],,,,,
1034,Confiture de Myrtille - Matin D'Ariège,3361779999542,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,53.8 g,en quantité élevée,0 g,en faible quantité,?,,233,+6%,975 kj(233 kcal),+6%,"0,1",-62%,0,-100%,"56,2",+5%,"53,8",+6%,"0,4",+3%,0,-100%,0,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"[""Matin D'Ariège""]",,,,,,,,,,,,,,
1035,Confiture poire amande - Matin des Pyrénées - 370g,3361779999849,B,"['bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",['France'],"['Poires ', '50%', 'sucre', 'amandes ', '1', '5%', 'jus concentré de citron', 'gélifiant: pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.9 g,en faible quantité,0.1 g,en faible quantité,51.8 g,en quantité élevée,0.01 g,en faible quantité,?,,226,+3%,946 kj(226 kcal),+3%,"0,9",+182%,"< 0,1",+41%,"52,9",0%,"51,8",+1%,"0,6",+79%,"0,01",-73%,"0,004",-73%,11,+20%,D,+20%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,"['Matin des Pyrénées', 'Copyr']",['E440 - Pectines'],['Fruits à coque'],4,,,,370 g,,,,,['Union Européenne et Non Union Européenne'],,
1036,Le Petit Trôo - 1kg,3362420000143,C,['pot en plastique'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",['France'],"[""Contient plus de 82% d'humidité""]",[],7 g,en quantité modérée,5.3 g,en quantité élevée,1.6 g,en faible quantité,0.1 g,en faible quantité,?,,101,+11%,423 kj(101 kcal),+12%,7,+74%,"5,3",+103%,"4,1",-37%,"1,6",-73%,"5,7",-12%,"0,1",-7%,"0,04",-7%,3,+945%,C,+945%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Le Petit Troo'],,,,,"['Franprix', 'Intermarché']",fromage blanc artisanal,1 kg,,['Montoire sur le Loir (41)'],"['FR 41.149.001', 'Montoire-sur-le-Loir (Loir-et-Cher, France)', 'FR 41.149.001 CE', 'Montoire-sur-le-Loir (Loir-et-Cher, France)']",,['Canton de Montoire sur le Loir (41)'],,
1037,Confiture biologique allegee en sucres - Val de Sournia - 310g,3362530004062,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot"", 'Confiture de fruits allégée en sucres']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,198,+21%,828 kj(198 kcal),+21%,0,-100%,0,-100%,45,+15%,45,+19%,"0,7",+37%,0,-100%,0,-100%,9,+37%,C,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Val de Sournia'],,,,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Allégé en sucre']",,,310 g,,,,,,,
1038,Confiture biologique allegee en sucre figue 70 % du roussillon - Val de Sournia - 310g,3362530004123,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,206,-11%,862 kj(206 kcal),-11%,0,-100%,0,-100%,45,-19%,45,-15%,"0,7",-5%,0,-100%,0,-100%,9,-5%,C,-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Val de Sournia'],,,,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Agriculture non UE', 'Allégé en sucre', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,310 g,,,,,,,
1039,Confiture bio de pêche - Val de Sournia - 341g,3362530004154,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",['France'],"['Fruits 70%', 'sucre de canne', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,192,-11%,803 kj(192 kcal),-11%,"0,1",-47%,0,-100%,45,-14%,45,-11%,"0,6",+36%,0,-100%,0,-100%,8,-13%,C,-13%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Val de Sournia'],['E440 - Pectines'],,4,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,341 g,,,,,,,
1040,Figue noire du roussillon - Val de Sournia - 360g,3362530005120,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,252,+9%,1054 kj(252 kcal),+8%,"0,1",-78%,0,-100%,55,-1%,55,+4%,"0,7",-5%,0,-100%,0,-100%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Val de Sournia'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,360 g,,,,,,,
1041,Cigares fourrés Cacao,3362600003100,,,,['France'],[],[],,,,,,,,,?,,469,,1962 kj(469 kcal),,"18,5",,"9,4",,70,,"48,8",,"4,7",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Pulpe raifort,3363293537194,,,,['France'],[],[],,,,,,,,,?,,118,,494 kj(118 kcal),,"7,1",,"0,4",,8,,"5,2",,"1,9",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Ail violet en pulpe - Jardin Du Midi,3363295493016,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail violet']",['France'],"['Ail ', '90%', 'Sel ', '8%', 'conservateur E220 Allergenes: sulfites']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,7.88 g,en quantité élevée,?,,135,+52%,565 kj(135 kcal),+33%,0,-100%,0,-100%,"27,5",+102%,0,-100%,6,+38%,"7,875",+1150%,"3,15",+1150%,3,,C,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,['Jardin Du Midi'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],3,,,,,,,,,,,
