,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
491,Pommes de terre,3389380340010,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Riz blanc,3364691015284,,['France'],[],[],?,345,1443 kj(345 kcal),"0,5",0,"79,5",0,"6,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Noisette effilé - 100g,4003007120715,100 g,['France'],[],[],?,654,2736 kj(654 kcal),61,"4,5",7,"4,3",15,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,,,,61 g,en quantité élevée,4.5 g,en quantité modérée,4.3 g,en faible quantité,0 g,en faible quantité,,+17%,+17%,+41%,-19%,-63%,-53%,-6%,-100%,-100%,12,+87%,D,+87%,,,,,,,,,,,,,,,,
494,Mini poivrons thon,3760074798094,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22084A', ""Jugon-les-Lacs (Côtes-d'Armor, France)"", 'EMB 22084', ""Jugon-les-Lacs (Côtes-d'Armor, France)"", 'FR 22.084.018 CE', ""Jugon-les-Lacs (Côtes-d'Armor, France)""]",,,,,,,
495,Mangue en cube,0207654013183,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Lingot d'or,0221120016010,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Kassler fumé,2641193070654,,['France'],[],[],?,149,623 kj(149 kcal),7,"2,5","0,9","0,9","20,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Croquette,3182550894128,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Les vinaigres : Vinaigre Balsamique - Le Temps Des Mets,3760037529314,,['France'],[],[],?,106,444 kj(106 kcal),0,0,26,26,"0,3","0,01","0,004",['Le Temps Des Mets'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,La ferme des valnoix,3770014306012,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,
501,Pate de campagne a l ancienne,2483196444014,,['France'],[],[],?,403,1686 kj(403 kcal),38,14,"1,2","1,2",14,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,,,,,,
502,Pièce bouchere,5501528005997,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Panettone Milano,8002873024123,,['France'],[],[],?,361,1510 kj(361 kcal),13,"8,3",53,27,"7,1","0,62","0,248",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,13 g,en quantité modérée,8.3 g,en quantité élevée,27 g,en quantité élevée,0.62 g,en quantité modérée,,-3%,-3%,-13%,-8%,+3%,+4%,+4%,+41%,+41%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
504,Filet de poulet rôti,2463498036865,,['France'],[],[],?,131,548 kj(131 kcal),"4,7","1,4","0,6","0,6",22,"1,2","0,48",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,,4.7 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.2 g,en quantité modérée,,-10%,-10%,-12%,+3%,+4%,+39%,-7%,-10%,-10%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Halal'],,,,,,,,
505,Confiture abricot,3760237210159,,['France'],[],[],?,238,996 kj(238 kcal),0,0,58,52,"0,7","0,05","0,02",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0.05 g,en faible quantité,,+9%,+9%,-100%,-100%,+9%,+3%,+39%,+127%,+127%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
506,Ama'des enrobées de chocolat noires,3760101540511,,['France'],[],[],?,237,992 kj(237 kcal),41,17,37,34,"8,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Sauce à la napolitaine,8024046503136,,['France'],[],[],?,80,335 kj(80 kcal),"4,3",0,"7,3","0,9","1,6",1,"0,4",,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces napolitaines']",,,,,4.3 g,en quantité modérée,0 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,,+36%,+37%,+77%,-100%,+7%,-84%,+13%,+3%,+3%,4,+203%,C,+203%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,
508,Magret de canard aux cèpes,0274812030313,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,
509,Tranches de Coppa,3375220503233,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,petit pois carottes extra fins,3112940804390,,['France'],[],[],?,63,264 kj(63 kcal),"0,6","0,2","8,8","3,7","3,4","0,57","0,228",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,,,,0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.57 g,en quantité modérée,,+9%,+10%,+21%,+59%,+8%,+9%,+10%,-3%,-3%,-5,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,,,
511,Datte medjoul,2805246042245,,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",,,,,,,,,,,,,,,,,,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,
512,2 tournedos dans le filet - Charal,0292451091182,,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,"0,17","2,8","1,12",['Charal'],,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",,,,,2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,2.8 g,en quantité élevée,,-37%,-37%,-76%,-80%,-100%,-100%,-99%,+152%,+152%,11,+110%,D,+110%,,,,,,,,,"['FR 57.463.001 CE', 'Metz (Moselle, France)']",,,,,,,
513,Saucisson pur porc a l'ail fumé,3434221540095,,['France'],[],[],?,273,1142 kj(273 kcal),24,9,"1,1",1,14,"2,3","0,92",,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,,,,24 g,en quantité élevée,9 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,,0%,-1%,+8%,+5%,0%,+40%,-12%,+9%,+9%,21,+9%,E,+9%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,"[""Saucisson à l'ail""]","['EMB 62194A', 'Calonne-Ricouart (Pas-de-Calais, France)']",,,,,,,
514,Miel de Bourdaine,3972554000003,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Ballotine de Canard à l'Orange,3346650403462,,['France'],[],[],?,200,837 kj(200 kcal),"14,4","5,03","3,2","0,3","14,4","1,57","0,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Nuggets de dinde - Oriental Viandes - 80x 20g,3436598136604,80 x 20 g,['France'],[],['Sans huile de palme'],?,210,879 kj(210 kcal),11,"2,5",15,0,12,"1,5","0,6",['Oriental Viandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Halal', 'en:palm-oil-free']",,,,,,,,
517,Sachet Mini Nougat Macarons - 200g,3328560010718,200 g,['France'],[],[],?,483,2021 kj(483 kcal),"14,5","1,2","67,2","51,6","7,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Feed vanille,0002000018429,,['France'],[],"['Végétalien', 'Végétarien']",?,87,364 kj(87 kcal),3,"0,2",11,"0,7",3,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,
519,Saucisses de Toulouse aux lentilles - Domaine du Prada - 1350g,5420015107467,1350 g,['France'],[],[],660,158,660 kj(158 kcal),"9,8","4,06","10,1","0,2","7,5","0,64","0,256",['Domaine du Prada'],E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",,,,,9.8 g,en quantité modérée,4.06 g,en quantité modérée,0.2 g,en faible quantité,0.64 g,en quantité modérée,-25%,-28%,-28%,-40%,-37%,+505%,-68%,-50%,-63%,-63%,3,-80%,C,-80%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,
520,Handmade & organic YSTAD,7350079031515,,['France'],[],[],?,562,2351 kj(562 kcal),40,25,37,31,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Eau Florale Thym à Thujanol Bio - 200 ML - Ladrôme,3486330109144,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,
522,Tome fraiche pour Aligot et Truffade,2440386033137,,['France'],[],[],?,348,1456 kj(348 kcal),28,20,"1,9","0,5",22,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
523,Dés de cochon blanc BIO,2456421021380,,['France'],[],[],?,126,527 kj(126 kcal),"4,4","1,6","0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
524,4 kouglofs - Erhard - 300g,3428420007176,300 g,['France'],[],[],?,257,1075 kj(257 kcal),14,"7,5","29,8","23,9","2,7","0,15","0,06",['Erhard'],,['Kouglof'],,,,,14 g,en quantité modérée,7.5 g,en quantité élevée,23.9 g,en quantité élevée,0.15 g,en faible quantité,,-28%,-28%,-19%,+79%,-30%,+11%,-45%,-71%,-71%,15,+14%,D,+14%,,,,,,,,,,,,,,,,
525,Filet blanc de poulet,2860145026048,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
526,Bouillon au goût de viande,3662444000311,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Tournedos - Charal,0292451089479,,['France'],[],[],?,113,473 kj(113 kcal),6,4,0,0,23,"0,17","0,068",['Charal'],,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",,,,,6 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,0.17 g,en faible quantité,,-37%,-37%,-38%,+1%,-100%,-100%,+14%,-85%,-85%,-1,-119%,A,-119%,,,,,,,,,,,,,,,,
528,Charcuterie des papes,2449497023884,,['France'],[],[],?,306,1280 kj(306 kcal),25,"9,2",2,"0,7",19,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Verveine - Cristaux D'huiles Essentielles - 20G,3560468795346,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Mont des alpes,0207949030703,,['France'],[],[],?,410,1715 kj(410 kcal),34,22,0,0,26,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Terrine de campagne,3432770052427,,['France'],[],[],?,244,1021 kj(244 kcal),20,7,"2,8","0,6",13,2,"0,8",,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,20 g,en quantité modérée,7 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,,-24%,-24%,-29%,-35%,+22%,-31%,-7%,+25%,+25%,17,-12%,D,-12%,,,,,,,,,,,,,,,,
532,Ankerkraut kokosblütenzucker,4260347898647,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Mangues déshydratés en lamelles,2600130024808,,['France'],[],[],?,352,1473 kj(352 kcal),0,0,86,66,1,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Zaini Frozen Crockki Spread 24X18G - 18g,80774914,18 g,['France'],[],[],?,4,17 kj(4 kcal),"28,5",5,37,0,"10,1","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Pain tordu,0203950019553,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Salade Mechouia - Rayan,3700604200864,,['France'],[],[],?,209.3,876 kj(209 kcal),"20,2",0,"1,3",0,"1,7",0,0,['Rayan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Banane,0240019002620,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,
538,Pur jus d'orange - Vitamont,3289196260734,,['France'],[],[],?,34,142 kj(34 kcal),0,0,"8,6","8,6",0,0,0,['Vitamont'],C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,0 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité élevée,0 g,en faible quantité,,-21%,-22%,-100%,-100%,-11%,-6%,-100%,-100%,-100%,1,-66%,B,-66%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,
539,Crème de canard au jurancon - 180g,3067163632230,180 g,['France'],[],[],?,363,1519 kj(363 kcal),36,15,4,"2,8","6,4","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Filet de crocodile,2478589046708,,['France'],[],[],?,119,498 kj(119 kcal),"1,7","0,9","5,9","1,9",20,"1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Barre pâtisserie marbré - 450g,3260260120161,450 g,['France'],[],[],?,429,1795 kj(429 kcal),22,"2,3",50,29,"5,9","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
542,Conté fruité,2498850067836,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Lentilles blondes - 1kg,0071187036045,1 kg,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Tostitos Simply Organic Tortilla Chips Yellow Corn,0028400589246,,['France'],"['organic corn,organic expeller press sunflower oil and sea salt']",[],?,500,2092 kj(500 kcal),"21,429","1,786","71,429",0,"7,143","0,714","0,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Noix de jambon -,2634236029856,,['France'],[],[],?,189,791 kj(189 kcal),"5,2","1,8","0,4","0,4",35,4,"1,6",,,"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham', 'Noix de jambons secs']",,,,,5.2 g,en quantité modérée,1.8 g,en quantité modérée,0.4 g,en faible quantité,4 g,en quantité élevée,,-2%,-3%,-17%,-21%,-62%,-44%,+5%,-15%,-15%,13,-3%,D,-3%,,,,,,,,,,,,,,,,
546,Pain boule blanche,0202332007225,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Sablés à savourer - 100g,3770015732018,100 g,['France'],[],[],?,493,2063 kj(493 kcal),"23,2","14,7","62,6","21,9","6,8","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
548,Legumes potage,3061432138522,,['France'],[],[],?,112,469 kj(112 kcal),"0,1","0,05","3,6","2,7","1,4","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Clipsy,13021007,,['France'],[],[],?,538,2251 kj(538 kcal),34,16,54,"1,1","3,3",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Sucre d'orge turc,8697412879731,,['France'],[],[],?,450,1883 kj(450 kcal),"10,75",0,85,85,"3,25",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Bistrotea,4012584546023,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Pollen,3760258410569,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Confiture de groseille,2242540022816,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Grilled Pepper - 680g,8690504206934,680 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Tetley black tea,5000208010158,,['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,3",0,0,0,0,['Tetley'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Fromage de chèvre Le Capris,2865980024662,,['France'],[],[],?,218,912 kj(218 kcal),"16,2","11,3","2,9",2,"14,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Miel forestier de Crète a la bruyère,5200111680145,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
558,Banane,2228462009975,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,
559,Pâte à tartiner chocolat et noisette - 240g,3760133678169,240 g,['France'],[],[],?,535,2238 kj(535 kcal),"30,6","3,3","56,3","54,7","6,3","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Mélange de fruit sec - Meray,4251032609631,,['France'],[],[],?,673,2816 kj(673 kcal),"61,4","7,7","6,9","4,9","19,1","0,5","0,2",['Meray'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Sel,8006614282780,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Manuka Honey,9421023620043,,['France'],[],[],?,140,586 kj(140 kcal),0,0,82,82,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Liebig,112302681,,['France'],[],[],?,?,,?,,?,,?,,,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans conservateurs']",,,,,,,,
564,Yaourt,3760201830444,,['France'],[],[],?,91,381 kj(91 kcal),"2,9","1,7",11,11,"3,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-16']","['FR 49.050.025 CE', 'Brissac-Quincé (Maine-et-Loire, France)']",,,,,,,
565,Eclair assortis,0286672009842,,['France'],[],[],?,240,1004 kj(240 kcal),7,"3,5","40,5",28,"3,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Chocolato,8055732940621,,['France'],[],[],?,377,1577 kj(377 kcal),"1,1","0,4",100,"90,5","2,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,La boule BIO,3023034444005,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
568,2 Filet de poulet rôtis,2846123021380,,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,23","0,492",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.23 g,en quantité modérée,,-3%,-3%,+2%,+3%,+4%,+39%,-6%,-8%,-8%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
569,Rôti de porc fumé,0278401040677,,['France'],[],[],?,141,590 kj(141 kcal),"6,3","2,8","1,2","0,9",20,"1,89","0,756",,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,6.3 g,en quantité modérée,2.8 g,en quantité modérée,0.9 g,en faible quantité,1.89 g,en quantité élevée,,-2%,-1%,+25%,+34%,+47%,+44%,-11%,+10%,+10%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['Viande Française', 'Viande Porcine Française']",,,,,,,,
570,Blé précuit,5400141342109,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,['boîte'],,,,,
571,Vinaigre de cidre - Bouton d'Or,65616741,,['France'],[],[],?,?,,?,,?,,?,0,0,"[""Bouton d'Or""]",B,"['Vinaigres', 'Vinaigres de cidre']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']","['EMB 59491', 'Raismes (Nord, France)']",,,,,,,
572,Abricot sec,2600110042709,,['France'],[],[],?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4","0,02","0,008",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,-43%,-43%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,
573,Confit d'oignons fabriqué à la ferme,3760015700032,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Tablette Bresil Captivant,3700840149248,,['France'],[],[],?,546,2284 kj(546 kcal),37,22,38,34,"8,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Pulpe de tomates fraîches,70150346,,['France'],[],[],?,33,138 kj(33 kcal),0,0,"4,8","4,8","1,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],"['EMB 84080B', 'Monteux (Vaucluse, France)']",,,,,,,
576,Pastfrost,5411963038040,,['France'],[],[],?,30,126 kj(30 kcal),"0,28","0,03","5,3","3,9","1,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Bleu laqueuil la memee,2480157015412,,['France'],[],[],?,334,1397 kj(334 kcal),28,19,"0,5","0,5",20,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
