,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
89,Dragées - 1kg,3322219101017,,['France'],[],[],?,512,24,60,"9,7",2142 kj(512 kcal),2,52,"0,04","0,016",1 kg,,,,,"['EMB 13211N', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Novelle Lähdevesi - Hartwall - 0,5l",6413600002154,,"['Finlande', 'France']",[],[],?,?,?,?,?,,,,,,"0,5l",['Plastic'],['Hartwall'],,"['Boissons', 'Eaux', 'Eaux de sources']",,,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,
91,Hazy Diamond - La Débauche,3760055360708,['Déconseillé aux femmes enceintes'],['France'],[],[],?,?,?,?,?,,,,,,,"['Bouteille', 'Verre']",['La Débauche'],C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,['France'],,,,,,
92,Tranches de jambon cuit déclassées,2910833008921,,['France'],[],[],?,156,"7,5",1,21,653 kj(156 kcal),"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Mojito sans alcool,3551794455882,,['France'],[],[],?,27,"0,5","6,7","0,5",113 kj(27 kcal),0,"6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Organic chamomile & lavender - Celestial Seasonings - 25g,0070734538247,"['Bio', 'Bio européen']","['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,25 g,,['Celestial Seasonings'],B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,
95,Yerba Mate hibiscus lime,0632432911519,,['France'],[],[],?,5,0,1,0,21 kj(5 kcal),0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Dole apple juce,0065400010998,,['France'],[],[],?,55,0,"12,5",1,230 kj(55 kcal),0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Glace caramel beurre salé,3701354901018,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Rosette pur porc tranchée,0208929026501,,['France'],[],[],?,431,"35,5","2,8","25,1",1803 kj(431 kcal),"12,9","2,2","4,4","1,76",,"['Rosette', 'Rosettes']",,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['FR 69.027.063 CE', 'Brignais (Rhône, France)']",35.5 g,en quantité élevée,12.9 g,en quantité élevée,2.2 g,en faible quantité,4.4 g,en quantité élevée,,+18%,+18%,+24%,+13%,+44%,+52%,-2%,-2%,-2%,25,+6%,E,+6%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,
99,Clancy's original veggie chips - Aldi,0041498156343,['en:gluten-free'],"['France', 'États-Unis']","['Potato flour', 'potato starch', 'sunflower and/or safflower oil', 'corn starch', 'salt', 'sugar', 'tomato paste', 'sea salt', 'spinach powder', 'turmeric ', 'color', 'beet root powder ', 'color']",[],?,464,25,"57,14","3,57",1941 kj(464 kcal),"1,79","3,57","2,232","0,893",,,"['Aldi', ""Clancy's""]",,['Snacks'],,25 g,en quantité élevée,1.79 g,en quantité modérée,3.57 g,en faible quantité,2.23 g,en quantité élevée,,+3%,+3%,+20%,-80%,+2%,-88%,-43%,+324%,+324%,12,-33%,D,-33%,,,,,,,,,['E175 - Or'],4,,Aldi-Benner Company,,,,,
100,Lot de 2 cookies natures - 140g,3350033663176,,['France'],[],[],?,?,?,?,?,,,,0,0,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PROTEIN BAR,3700225605741,,['France'],[],[],?,401,"12,5",40,"33,5",1678 kj(401 kcal),"5,8",19,"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Mini saucisses fumees,2647522035493,,['France'],[],[],?,314,27,"2,5",15,1314 kj(314 kcal),"9,2","0,9",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Rioverde,8410954003064,,['France'],[],[],?,?,?,?,?,,,,,,,,['Rioverde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5019781000999,5019781000999,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Il piccanto - 350g,8003496004646,,['France'],[],[],?,25,"0,1","3,9","1,4",105 kj(25 kcal),0,"3,9","0,44","0,176",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hindbær,5709216006305,,['France'],[],[],?,40,0,10,0,167 kj(40 kcal),0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Vanilla,0856100003294,['en:gluten-free'],"['France', 'États-Unis']","['Protein blend ', 'pea protein isolate', 'organic pumpkin seed protein', 'natural flavors', 'guar gum', 'monk fruit extract', 'sea salt']",[],?,391,"6,52","17,39","65,22",1636 kj(391 kcal),0,0,"2,825","1,13",,,,,['Boissons'],,6.52 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,2.83 g,en quantité élevée,,+598%,+579%,+1779%,-100%,+54%,-100%,+13049%,+6707%,+6707%,16,+109%,E,+109%,,,,,,,,,['E412 - Gomme de guar'],4,,TONE IT UP,,,,,
108,Coconut spice granola - 11oz,0039978021731,['en:gluten-free'],"['France', 'États-Unis']","['Whole grain oats', 'coconut', 'maple syrup', 'coconut oil', 'brown sugar', 'sunflower seeds', 'sesame seeds', 'spices', 'salt', 'natural flavor', 'mixed tocopherols ', 'antioxidant']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,500,"26,67","56,67",10,2092 kj(500 kcal),20,"16,67","0,625","0,25",11 oz,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,26.7 g,en quantité élevée,20 g,en quantité élevée,16.7 g,en quantité élevée,0.625 g,en quantité modérée,,+44%,+43%,+367%,+1166%,-4%,+193%,+6%,+108%,+108%,16,+882%,D,+882%,,,,,,,,,['E306 - Extrait riche en tocophérols'],4,,"Bob's Red Mill Natural Foods, Inc.",['Graines de sésame'],,,,
109,Sauerrahm,4099200029146,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,['Becher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gervais,9066000351000,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,"['Pot', 'Packung(en)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Brûleur de graisses & élimination - Arkopharma,3578835501704,['Fabriqué en France'],['France'],[],[],?,?,?,?,?,,,,,,,,['Arkopharma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Moritz,8410700002372,,['France'],[],[],?,?,?,?,?,,,,,,,,['Moritz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Turmeric powder,0897231001827,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Complément alimentaire à base de taurine, vitamines B6. Mg",3760235010201,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Finísimo jamón ibérico cocido - Bonarea,00681605002820002042,,['France'],[],[],?,158,10,1,16,661 kj(158 kcal),"3,5","0,6","1,8","0,72",,,['Bonarea'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,10 g,en quantité modérée,3.5 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,+20%,+21%,+108%,+90%,+49%,+1%,-24%,-4%,-4%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
116,Crema cachuela extremeña,8436561571475,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Pâté marmite de canard au piment d'Espelette,3760248020136,,['France'],[],[],?,262,23,"4,4","9,4",1096 kj(262 kcal),"7,9","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,6 œufs datés,3272076675704,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Prali Krema Cajou,3700774300890,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,575,37,54,"7,5",2406 kj(575 kcal),"6,7",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Carapon,5603277120263,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Raisons secs,2600186018899,,['France'],[],[],?,327,"0,6","78,3",2,1368 kj(327 kcal),"0,2","78,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Filibos,3578600001170,,['France'],[],[],?,392,"0,5",98,"0,5",1640 kj(392 kcal),"0,1",98,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Antipasto - 100g,8023918581005,,['France'],[],[],?,?,?,?,?,,,,,,100 g,['Barquette plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Les tomates cerises,3700007900439,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Pavé bûcheron,0210512008863,,['France'],[],[],?,432,"1,4",89,14,1807 kj(432 kcal),"0,3","3,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Fusilli BIO Lentilles Corail sans gluten - Optimys,7640149390674,['Bio'],['France'],[],[],?,334,"1,7",50,26,1397 kj(334 kcal),"0,4","1,2",,,,,['Optimys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Salade de thon aux legumes - 220g,8001040980002,['Point Vert'],['France'],[],[],?,103,"2,9","8,3","9,7",431 kj(103 kcal),"0,5","1,5",1,"0,4",220 g,,,,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon']",,2.9 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en faible quantité,1 g,en quantité modérée,,-32%,-30%,-65%,-44%,+6%,-25%,+21%,+3%,+3%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
128,Palette de porc cuite,2211322076552,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,190,14,"0,9",15,795 kj(190 kcal),"5,7","0,6","2,2","0,88",,,,,,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Ossau iraty,2488753032543,,['France'],[],[],?,408,"34,6","1,9","22,3",1707 kj(408 kcal),"23,6","0,5",2,"0,8",,,,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']","['FR 69.273.010 CE', 'Corbas (Rhône, France)']",34.6 g,en quantité élevée,23.6 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,-3%,-3%,-4%,-4%,+102%,+71%,-5%,+13%,+13%,18,+2%,D,+2%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,
130,Mangue séchée - Optimys,7640149390773,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique']",['France'],[],[],?,304,"2,2","63,8",3,1272 kj(304 kcal),"0,5","62,3",,,,,['Optimys'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mangues séchées']",,2.2 g,en faible quantité,0.5 g,en faible quantité,62.3 g,en quantité élevée,,,,-8%,-8%,+237%,+179%,-15%,+8%,+59%,,,,,,,,,,,,,,,,,,,,,,,
131,Croissants pur beurre,0200073019354,,['France'],[],[],?,383,21,40,"6,8",1602 kj(383 kcal),14,"6,9","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Poélée méditéranéenne,2868075018508,['Sans conservateurs'],['France'],[],[],?,23,"0,29","3,34","1,12",96 kj(23 kcal),"0,04","3,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Poulet,0266494039234,,['France'],[],[],?,150,"4,9","0,5",26,628 kj(150 kcal),"1,6","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Pâtes à la ferme DUCLOS GONET,3770013420023,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Macaroni complètes,3770012837303,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Biftecks Bavette d'Aloyau - Thiriet,2128621003342,"['Viande Française', 'Viande Bovine Française']",['France'],['Viande bovine'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,114,"3,1","0,6",21,477 kj(114 kcal),"1,5","0,5","0,12","0,048",,['Surgelé'],['Thiriet'],,"['Viandes', 'Bœuf']",,3.1 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,0.12 g,en faible quantité,,-36%,-36%,-68%,-62%,-43%,+15%,+4%,-89%,-89%,-3,-157%,A,-157%,,,,,,,,['Thiriet'],,1,,,,,,,
137,Le Pur jus multifruits du matin 2L - Joker,3123349006537,,['France'],[],[],?,48,0,11,"0,5",201 kj(48 kcal),0,"9,8",0,0,,,['Joker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Confiture de figues violettes,3760101591742,,['France'],[],[],?,252,"0,7","61,9","0,5",1054 kj(252 kcal),"0,1","59,2",,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0.7 g,en faible quantité,0.1 g,en faible quantité,59.2 g,en quantité élevée,,,,+9%,+8%,+53%,+50%,+12%,+11%,-32%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
139,KitK snax,0059800501347,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Bouvard test,3250392917098,,['France'],[],[],?,504,"26,1","57,8","8,1",2109 kj(504 kcal),7,"40,8","0,4","0,16",,,,,"['Non alimentaire', 'en:Tests']",,26.1 g,en quantité élevée,7 g,en quantité élevée,40.8 g,en quantité élevée,0.4 g,en quantité modérée,,+143%,+143%,+180%,+131%,+179%,+413%,+23%,-40%,-40%,,,,,,,,,,,,,,,,,,,,,
141,Croissant pour beurre,0260135019029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,La Sultane The noir Francais,3700286549015,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Boisson hibiscus framboise,3263857066910,,['France'],[],[],?,19,0,"4,8",0,79 kj(19 kcal),0,"4,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Filet de poulet en tranches,2200583026246,,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
145,La Norvégienne - Florette,3280220308194,"['Sans conservateurs', 'Nutriscore', 'Nutriscore B']",['France'],[],[],?,147,"6,3","15,6","6,2",615 kj(147 kcal),"0,9","2,2","0,84","0,336",,,['Florette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Harina,8437001893096,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,The noir saveur citron gingembre,3564884022703,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Thon - Ramirez,5601010131149,,['France'],[],[],?,183,12,"5,4",12,766 kj(183 kcal),2,"0,1",,,,,['Ramirez'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Tournedos de Filet de Dinde,2614161032084,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,456,"1,3",0,24,1908 kj(456 kcal),"0,4",0,"0,15","0,06",,,,D,"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,+322%,+316%,-13%,-26%,-100%,-100%,+10%,-89%,-89%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
150,Miel de garrigues,7840000000094,,['France'],[],[],?,420,"53,7","12,9","13,9",1757 kj(420 kcal),"32,2",1,0,0,,,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,53.7 g,en quantité élevée,32.2 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,,-15%,-15%,+129%,+173%,-79%,-97%,+112%,-100%,-100%,15,-30%,D,-30%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,
151,Penne Rigate - Barilla,8076809544245,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,['Barilla'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tucker - Happy Harvest,24722209,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,['Happy Harvest'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Golden Cenarth - Caws Cenarth Cheese - 200g,5060133150084,,['France'],[],[],1310,315,"26,2","1,8","2,9",1310 kj(315 kcal),"17,2","< 0,1","1,9","0,76",200 g,['Wooden circle'],['Caws Cenarth Cheese'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits artisanaux', 'Fromages artisanaux']",['UK FP009 EC'],26.2 g,en quantité élevée,17.2 g,en quantité élevée,0.1 g,en faible quantité,1.9 g,en quantité élevée,,+16%,+18%,+23%,+15%,+35%,-86%,-81%,+54%,+54%,20,+54%,E,+54%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
154,Banane,2819657007410,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Escalope extra-fine de dinde,2614156033065,['Nutriscore'],['France'],[],[],?,108,"1,3","0,4",24,452 kj(108 kcal),"1,3","0,4","0,15","0,06",,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,1.3 g,en faible quantité,1.3 g,en faible quantité,0.4 g,en faible quantité,0.15 g,en faible quantité,,-11%,-10%,-2%,+223%,-87%,-48%,+5%,-73%,-73%,-3,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
156,Blanquette de veau et riz,3274470002742,,['France'],[],[],?,114,3,14,"7,3",477 kj(114 kcal),"1,5","0,5","0,44","0,176",,,,E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats au veau', 'Blanquettes de veau']",,3 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,0.44 g,en quantité modérée,,0%,+0%,-39%,-35%,+87%,-48%,-10%,-41%,-41%,-1,-185%,A,-185%,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,,,,,,,,,,
157,Pavés marinés aux poivres,0211109023481,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,116,"3,6","0,5",20,485 kj(116 kcal),1,"0,5","1,1","0,44",,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Ail blanc perfect, calibre 50/70, France",3180500107182,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,
159,Biena blazin' hot baked chickpea puffs,0810003780164,,"['France', 'États-Unis']","['Chickpea puffs ', 'chickpea flour', 'chickpea protein', 'lentil flour', 'salt', "" expeller pressed sunflower oil blazin' hot seasoning [cheddar and parmesan cheese "", 'pasteurized cultured milk', 'salt', 'enzymes', 'maltodextrin', 'salt', 'cane sugar', 'red pepper', 'onion powder', 'fruit and vegetable juice for color ', 'apple', 'blackcurrant', 'radish', 'yeast extract', 'tomato powder', 'whey', 'beet powder', 'citric acid', 'buttermilk solids', 'garlic powder', 'expeller pressed sunflower oil ', 'as a processing aid', 'natural flavors', 'lactic acid', 'extractives of paprika]']",['Non végétalien'],?,536,"32,14","42,86","21,43",2243 kj(536 kcal),"3,57","3,57","3,215","1,286",,,,,['Snacks'],,32.1 g,en quantité élevée,3.57 g,en quantité modérée,3.57 g,en faible quantité,3.21 g,en quantité élevée,,+19%,+19%,+54%,-60%,-24%,-88%,+241%,+511%,+511%,16,-11%,D,-11%,,,,,,,,,"['E330 - Acide citrique', 'E270 - Acide lactique']",4,,BIENA,['Lait'],,,,
160,Brandade de morue,0218001054582,,['France'],[],[],?,?,?,?,?,,,,,,,,,E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,,,,,,,,,,,,,,,,,,,,,,,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,
161,Tartelette au chocolat,3700462092700,,['France'],[],[],?,435,26,47,"5,4",1820 kj(435 kcal),"7,2",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Langue de boeuf sauce piquante - Tendre & Plus,2498786042709,,['France'],[],[],?,153,10,"3,8",12,640 kj(153 kcal),"3,6","1,7",1,"0,4",,,['Tendre & Plus'],E,"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Plats au bœuf', 'Préparations de viande bovine', 'Langues de bœuf', 'Langues de bœuf sauce piquante']",,10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,+1%,-10%,-4%,+31%,+14%,+1%,+1%,3,-35%,C,-35%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,,,,
163,Bretzel saumon,0202467022308,,['France'],[],[],?,229,"6,3",34,"9,1",958 kj(229 kcal),"1,7","1,8","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Viande des Grisons,2926942007854,,['France'],[],[],?,185,3,1,39,774 kj(185 kcal),1,"0,5","4,8","1,92",,,,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,3 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,4.8 g,en quantité élevée,,-6%,-6%,-22%,-35%,+21%,-17%,-1%,+2%,+2%,12,-6%,D,-6%,,,,,,,,,,,,,,,,,
165,Yaourt Fabriqué à la ferme - 125g,3760199350085,,['France'],[],[],?,?,?,?,?,,,,,,125 g,,,,,"['FR 59.326.030 CE', 'Killem (Nord, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Confiture artisanale a la myrtille sauvage,0634438471356,,['France'],[],[],?,284,"0,15","68,98","0,4",1188 kj(284 kcal),"0,02","66,21",,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,0.15 g,en faible quantité,0.02 g,en faible quantité,66.2 g,en quantité élevée,,,,+30%,+29%,-43%,-55%,+29%,+30%,+3%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
167,Jambon cru,2926998002131,,['France'],[],[],?,196,6,1,35,820 kj(196 kcal),2,"0,5","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
