,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
301,Cola Bio Hollinger,9120008992129,,"['Bio', 'Bio européen', 'AT-BIO-301', 'Agriculture UE', 'Agriculture UE/Non UE']",['France'],[],[],?,39,163 kj(39 kcal),0,0,"9,7","9,5","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Negroni Salame Negronetto Snack GR 120 - 120g,80739814,,['en:gluten-free'],['France'],[],[],?,384,1607 kj(384 kcal),30,11,"0,6",0,28,"3,9","1,56",,120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Sardinade au citrons confis - Saveurs de cocagne - 90gr,3760028713197,['Saveurs de cocagne'],,['France'],[],[],?,142,594 kj(142 kcal),8,"2,4","3,2","0,9","13,2","1,2","0,48",,90gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Terrine de foie du P'tit Cuistot,3563800000818,,,['France'],[],[],?,275,1151 kj(275 kcal),"23,5","9,23","1,2","1,2","14,6","1,79","0,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Ferreira Porto Ruby - 75cl,5601007001615,['Ferreira'],,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,75cl,['Bottle'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Vins portugais', 'Porto']",,,,,,,,,,,,,,,,,,,,,,,,D,,,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,,,,,,,,
306,Rillettes de truite - l'original,3760273400040,,,['France'],[],[],?,192,803 kj(192 kcal),14,"7,8","3,7","0,4",13,"0,9","0,36",,,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de truite', 'en:preparations-made-from-fish-meat']",,14 g,en quantité modérée,7.8 g,en quantité élevée,0.4 g,en faible quantité,0.9 g,en quantité modérée,,-11%,-10%,-12%,+42%,+65%,-54%,-8%,-13%,-13%,12,+34%,D,+34%,D,,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,
307,Ginger Beer 1L,3770009345095,,,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,5","6,4","0,1","0,01","0,004",,,['Bouchon en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Beef jerky - Krave - 76g,0853370006291,['Krave'],['en:gluten-free'],['France'],[],[],?,321.42857142857,1345 kj(321 kcal),"5,357",0,"42,86","39,29","28,57","3,125","1,25",,76g,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",,5.36 g,en quantité modérée,0 g,en faible quantité,39.3 g,en quantité élevée,3.12 g,en quantité élevée,,+21%,+21%,+27%,-100%,+204%,+274%,-27%,-15%,-15%,22,+51%,E,+51%,,,,,,,,,,,,,,,,,,,
309,Hanburger - Carrefour - 220g (2 * 110g),5400101022096,['Carrefour'],"['Point Vert', 'Fabriqué en Belgique']","['Belgique', 'France']",[],[],?,175,732 kj(175 kcal),10,"3,8",13,0,20,"1,3","0,52",,220 g (2 * 110 g),"['Frais', 'Plastique']","['Viandes', 'Viandes fraîches', 'Préparations de viande', 'Préparations de viande fraîches', 'Préparations de viande hachée', 'Préparations de viande hachées fraîches']",['Belgique'],10 g,en quantité modérée,3.8 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,,-18%,-14%,-32%,-34%,+473%,-100%,+29%,+16%,+16%,5,-49%,C,-49%,,,['Carrefour'],,,,,,,,,,,,['BE 93-H EC'],,,,
310,Angelique - Maître Prunille fruits du soleil - 190g,3502490018086,['Maître Prunille fruits du soleil'],,['France'],[],[],?,?,,?,,?,,?,,,,190g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Amandes Tikal,3340390007386,,,['France'],[],[],?,562,2351 kj(562 kcal),"35,2",13,"50,8","38,8","10,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Apilis,3661803602029,,['Fabriqué en France'],['France'],[],[],?,50,209 kj(50 kcal),0,0,50,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Erdmandeln naturell - Govinda - 250g,4038507003497,['Govinda'],"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'DE-ÖKO-001', 'Sans sucre ajouté']",['France'],[],"['Végétalien', 'Végétarien']",?,449,1879 kj(449 kcal),23,"4,8","63,3","17,4","4,4","0,02","0,008",,250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Pain pita - Carrefour,3523680385542,['Carrefour'],,['France'],[],[],?,252,1054 kj(252 kcal),"1,6","0,2",50,2,"8,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,
315,Ricola Mentolo,7610700901052,['Ricola'],,['France'],[],[],?,235,983 kj(235 kcal),0,0,97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Chocolat caramel sel - Naturata,4024297469124,['Naturata'],"['Bio', 'Bio européen', 'Commerce équitable', 'DE-ÖKO-007', 'Max Havelaar']",['France'],[],[],?,549,2297 kj(549 kcal),35,21,49,45,6,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Kronenbourg - 12x33cl can kronenbourg - 4.20 degre alcool - 3960ml,3080216048741,['Kronenbourg'],"['Déconseillé à certaines catégories de personnes', 'Déconseillé aux enfants et aux femmes enceintes', 'PEFC', 'Triman']",['France'],"['Eau', ""MALT D'ORGE"", 'BLÉ', 'sirop de glucose', 'ORGE', 'MALT DE BLÉ', 'extrait de houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",147,35,147 kj(35 kcal),"0,1",0,2,"0,02","0,4","0,01","0,004",Bière blonde,3960 ml,"['Boite', 'Etui en carton', 'Boîte en métal']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,,,,-22%,-15%,-15%,-42%,-100%,-43%,-96%,-2%,-35%,-35%,,,,,C,,,4,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Gluten', 'Gs1:T4078:AX']",,,,,,
318,Haus gemacht,7610277026264,,,['France'],[],[],?,518,2167 kj(518 kcal),51,4,3,1,"1,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Bcaa 4:1:1 Fermented, Unflavoured - MyProtein",5055936828841,['MyProtein'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Plazma / Lane - Bambi - 300g,8600043023398,['Bambi'],,"['France', 'Suisse']",[],[],?,438,1833 kj(438 kcal),"12,5",6,"69,4","19,1","10,5","0,75","0,3",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Protein bar - Women's Best,9010128010295,"[""Women's Best""]",,['France'],[],[],?,360,1506 kj(360 kcal),"14,5","7,9","10,8","2,5","34,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Chips crabe -,8809296888185,,,"['France', 'Espagne']",[],[],?,521,2180 kj(521 kcal),28,12,70,6,2,"1,6","0,64",,,,"['Snacks', 'Snacks salés']",,28 g,en quantité élevée,12 g,en quantité élevée,6 g,en quantité modérée,1.6 g,en quantité élevée,,+13%,+13%,+16%,+184%,+47%,+83%,-76%,+4%,+4%,24,+97%,E,+97%,,,,,,,,,,,,,,,,,,,
323,"Aronia Muttersaft, Suesssauer",4004191502011,,,['France'],[],[],?,52,218 kj(52 kcal),"0,5","0,1",13,"8,5","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Frial - Lesieur,3265470005598,['Lesieur'],,['France'],[],[],?,900,3766 kj(900 kcal),100,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Confiture de coco - Dormoy,3271377005050,['Dormoy'],,['France'],[],[],?,267,1117 kj(267 kcal),"9,8","8,6",42,42,"1,1","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Frühstücks-Konfitüre Die Echte Waldfrucht -  - 200g,4002575327656,,,"['France', 'Allemagne']",[],[],?,231,967 kj(231 kcal),"0,3","0,1",54,50,"0,6",,,,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,0.3 g,en faible quantité,0.1 g,en faible quantité,50 g,en quantité élevée,,,,+4%,+4%,+15%,+101%,+1%,-2%,+16%,,,,,,,D,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
327,Vinaigre Balsamique Blanc Pensato,8021110250002,,,['France'],[],[],?,214,895 kj(214 kcal),0,0,"49,3","49,3","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Échalote surgelée,3250391526543,,,['France'],[],[],?,48,201 kj(48 kcal),0,0,"7,6","3,3","2,1","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Lasagnes saumon - 1kg,3264295101065,,,['France'],[],[],?,?,,?,,?,,?,,,,1 kg,,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,,,,,,,,,,,,,,,,,,,,,,D,,,,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,,
330,Jus de POIRE -,3760002698113,,,['France'],[],[],?,57,238 kj(57 kcal),"0,3","0,05","11,7","9,6","0,4","0,01","0,004",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",,0.3 g,en faible quantité,0.05 g,en faible quantité,9.6 g,en quantité élevée,0.01 g,en faible quantité,,+12%,+13%,+26%,+15%,+1%,-4%,+23%,+38%,+38%,5,+10%,C,+10%,D,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,"['EMB 422718', 'Saint-Paul-en-Jarez (Loire, France)']",,,,
331,Sirop de melon - Teisseire,3092718620479,['Teisseire'],,['France'],[],[],?,332,1389 kj(332 kcal),0,0,83,83,0,0,0,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops aux fruits', 'Sirop de melon']",,,,,,,,,,,+26%,+20%,-100%,-100%,+22%,+35%,-100%,-100%,-100%,,,,,B,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
332,Pesto olives bio,3299160000471,,['Bio'],['France'],[],[],?,436,1824 kj(436 kcal),45,"5,3","6,3","1,8","1,3","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Suprême de tomates,8435352831040,,,['France'],[],[],?,126,527 kj(126 kcal),"8,9","1,17","10,4","6,5",2,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Aiguillettes de poulet - La Nouvelle Agriculture,0213329017585,['La Nouvelle Agriculture'],,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-17%,-17%,-30%,-16%,-100%,-100%,+1%,-75%,-75%,-4,,A,,D,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
335,Knorr Passato Brick Tradizionale ML. 500 - 500mL,8714100744307,,,['France'],[],[],?,38,159 kj(38 kcal),"0,5","0,1","6,4","1,6","1,2","0,68","0,272",,500 mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Pasta,8008254771082,,,['France'],[],[],?,156,653 kj(156 kcal),"0,5","0,1",34,"0,5","1,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Pappadums plain - Mida's,8901001555990,"[""Mida's""]",,['France'],[],[],?,314,1314 kj(314 kcal),"1,1","0,1",57,20,20,5,2,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pappadums']",,1.1 g,en faible quantité,0.1 g,en faible quantité,20 g,en quantité élevée,5 g,en quantité élevée,,-11%,-11%,-84%,-89%,+24%,+1360%,+11%,+63%,+63%,17,+48%,D,+48%,,,,,,,,,,,,,,,,,,,
338,Pasta capelini,5904730161251,,['en:gluten-free'],['France'],[],[],?,357,1494 kj(357 kcal),"2,3","0,3",79,"0,6","7,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Sésame Goût Yuzu Toho 80G Japon,4967105333364,,,['France'],[],[],?,513,2146 kj(513 kcal),"40,8","5,9","21,4","11,9","15,3",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Ca' Del Poggio Crema Di Melone 50cl 17% Vol,8024158057138,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Lov Organic Rooibos Vanille Tee 20 Teebeutel,3700616457164,['Lov organic'],['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Terrine de campagne,3760168114632,,,['France'],[],[],?,240,1004 kj(240 kcal),16,6,3,2,21,2,"0,8",,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,16 g,en quantité modérée,6 g,en quantité élevée,2 g,en faible quantité,2 g,en quantité élevée,,-26%,-26%,-43%,-44%,+31%,+130%,+50%,+25%,+25%,15,-23%,D,-23%,,,,,,,,,,,,,,,,,,,
343,Artischokenviertel - Gut & Günstig - 180g,4311501437568,['Gut & Günstig'],"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]","['France', 'Allemagne']",[],[],?,912,3816 kj(912 kcal),100,"0,8","1,6","0,3","1,3","7,3","2,92",,180g,['Glas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts']",,100 g,en quantité élevée,0.8 g,en faible quantité,0.3 g,en faible quantité,7.3 g,en quantité élevée,,+1589%,+1588%,+4425%,+184%,-65%,-75%,-26%,+700%,+700%,15,,D,,,,,,,,,,,,,,,,,,,,
344,Velouté 4 courges,3770007785053,,,['France'],[],[],?,11,46 kj(11 kcal),"0,05","0,01","2,1","0,7","0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Zéro cookie - Prozis - 1,5600380898805,['Prozis'],,['France'],[],[],?,317,1326 kj(317 kcal),12,"5,4",15,"1,7",33,"0,11","0,044",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Gingembre miel graviola corossol,3770005355982,,['Halal'],['France'],[],[],?,25,105 kj(25 kcal),0,0,7,"6,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Pâtes Escargot 2 Randa (500G),6194004612537,,,['France'],[],[],?,350,1464 kj(350 kcal),"2,5",0,75,75,"10,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Bisto Turkey Gravy Granules,5010024140229,,,['France'],[],[],?,387,1619 kj(387 kcal),"14,9",10,"59,9","16,8","2,4","14,61","5,844",,,"['card-carton', 'pp-lid']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Pâtes Coude 2 Randa (500G),6194004612421,,,['France'],[],[],?,350,1464 kj(350 kcal),"2,5",0,75,0,"10,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Pâte à Sucre Couleur Blanche 250 g Renshaw,5010301326261,,,['France'],[],[],?,388,1623 kj(388 kcal),"3,2","1,9","90,3","88,8",0,0,0,,,,"['Aides culinaires', 'Aides à la pâtisserie', 'Pâtes à sucre']",,3.2 g,en quantité modérée,1.9 g,en quantité modérée,88.8 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-40%,-38%,+4%,+8%,-100%,-100%,-100%,15,-11%,D,-11%,,,,,,,,,,,,,,,,,,,
351,Solar 6 - Gerard Bertrand - 75cl,3514123109658,['Gerard Bertrand'],"['Bio', 'Bio européen', 'IGP', 'AB Agriculture Biologique', 'Bee Friendly']",['France'],['Grenache'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,75 cl,"['Bouteille', 'verre']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés', 'IGP CÉVENNES']",['France'],,,,,,,,,,,,,,,,,,,,,,,C,https://www.gerard-bertrand.com/,"['AUCHAN SUPERMARCHE', 'AUCHAN', 'FRANPRIX', 'CASINO', 'CARREFOUR']",3,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,['Anhydride sulfureux et sulfites'],,,,Gérard Bertrand,Gérard Bertrand,France
352,Don papa -,4809015157138,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Kellogg's Nutri-grain Cereal Bar - Raspberry - 37g,0064100285453,['Kellogg’s'],,"['Canada', 'France']",[],[],?,140,586 kj(140 kcal),"3,5","0,5",25,13,2,"0,238","0,095",,37g,,"['Snacks', 'Snacks sucrés', 'Barres']",,3.5 g,en quantité modérée,0.5 g,en faible quantité,13 g,en quantité élevée,0.237 g,en faible quantité,,-69%,-69%,-83%,-94%,-55%,-62%,-76%,-31%,-31%,1,-94%,B,-94%,,,,,,,,,,,,,,,,,,,
354,Pizza kit - Wewalka - 600g,9001536015187,['Wewalka'],"['Végétarien', 'Sans arômes artificiels', 'Végétalien', 'Sans colorants artificiels', 'Sans exhausteur de goût', 'fi:Ei hydrogenoitua öljyä']","['République tchèque', 'Danemark', 'Finlande', 'France', 'Norvège', 'Suède']","['Farine de blé', 'eau', 'huile végétale ', 'tournesol', 'amidon de blé', 'poudre levante : diphosphate disodique', 'hydrogénocarbonate de sodium ', ' alcool éthylique', ""huile d'olive"", 'sel', ""émulsifiants : mono - et diglycérides d'acides gras "", ' acidifiant : acide citrique ', ' levure', 'farine de malt de blé', 'blé malté ?', 'antioxydant : acide ascorbique', ' Sauce : purée de tomate', 'eau', 'oignon', 'sucre', 'fécule de maïs modifiée', 'sel', 'huile végétale ', 'tournesol', 'acidifiant : acide citrique', ' herbes']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",1357,322,1357 kj(322 kcal),6,"1,2","53,7","8,3","9,2","2,78","1,112",,600 g,"['Pahvi', 'Muovi', 'Lasi', 'Metalli']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Kits repas', 'Kits pour pizzas']",,6 g,en quantité modérée,1.2 g,en faible quantité,8.3 g,en quantité modérée,2.78 g,en quantité élevée,,+48%,+59%,+23%,+111%,+77%,+303%,+58%,+90%,+90%,12,+311%,D,+311%,,,['S-market'],4,,,,,,,,"['E1510 - Éthanol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E330 - Acide citrique']",['Gluten'],,,,,,
355,HUILE FLEUR DE COLZA LESIEUR,3265474573444,['Lesieur'],,['France'],[],[],?,900,3766 kj(900 kcal),100,"6,9",0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,100 g,en quantité élevée,6.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+4%,+3%,-3%,-100%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,C,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,
356,Les p'tea biscuits - Les P'tits Amoureux,3593551177064,"[""Les P'tits Amoureux""]",,['France'],[],[],?,521,2180 kj(521 kcal),26,17,63,27,"7,8","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Bruschettas,0667888233250,,,['France'],[],[],?,466.66666666667,1953 kj(466 kcal),"13,333",2,"66,667","6,667","13,333",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Dragées,3663301100090,,,['France'],[],[],?,470,1966 kj(470 kcal),15,"9,7",76,54,"4,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 13211N', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)', 'EMB 13211', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,
359,Cerneaux de noix,2609928039161,,,['France'],[],[],?,688,2879 kj(688 kcal),"63,8","5,7","10,8",3,"14,7",0,0,,,['Cerneaux de noix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,0 g,en faible quantité,,+0%,+0%,-0%,-3%,+11%,-6%,-2%,-100%,-100%,3,+16%,C,+16%,D,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,
360,Vortici cioccolato,3023290020593,,['en:gluten-free'],['France'],[],[],?,155,649 kj(155 kcal),8,"5,2",17,16,"3,1","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Tagger - Bimo,6111031003978,['Bimo'],,['France'],[],[],?,126,527 kj(126 kcal),28,17,64,46,"3,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Boss Roomrijst Mini Original,5410106091003,,,"['Belgique', 'France']",[],[],?,114,477 kj(114 kcal),"3,2",2,"17,6",10,"3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,
363,Paternosti rigati - Divella,8005121000634,['Divella'],,['France'],[],[],?,355,1485 kj(355 kcal),"1,7","0,9",72,"3,9",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Pain campagne 350g,0220526008537,,,['France'],[],[],?,272,1138 kj(272 kcal),"0,9","0,2",54,"1,6",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Tiramisù - Balconi,80633105,['Balconi'],['Fabriqué en Italie'],"['France', 'Italie']","['Sucre', ' ŒUFS frais', 'Graisses végétales ', 'palme', 'tournesol en proportion variable', ' Farine de BLÉ ', '14,9 %', ' LAIT écrémé ', '12,3 %', ' Sirop de qlucose-fructose', 'LAIT écrémé en poudre', ' Chocolat extra ', '2,39 %', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', ' arômes', ' MASCARPONE ', '1,7 %', ' ', 'crème ', 'LAIT', ""correcteur d'acidité: acide citrique"", 'Café liquide ', '1', '4%', ' sur le produit fini', ' Arômes', ' Cacao maigre en poudre', 'Protéines de LAIT', ""Émulsifiants: Mono-et diglycérides d'acides gras"", 'Lécithine de SOJA', "" Poudres à lever: Carbonates d'ammonium"", 'Carbonates de sodium', 'Diphosphates', ' Sel', ' Stabilisant: Pectine']","['Huile de palme', 'Non végétalien']",?,403,1686 kj(403 kcal),"19,7","12,2","50,3","33,3","5,5","0,43","0,172",Gâteau - 3 Tiramisù,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",['Italie'],19.7 g,en quantité modérée,12.2 g,en quantité élevée,33.3 g,en quantité élevée,0.43 g,en quantité modérée,,-8%,-8%,-17%,+54%,+2%,+8%,-5%,-17%,-17%,23,+24%,E,+24%,E,,,4,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['E322i - Lécithine', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']","['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,,
366,Island Dream - Newtree,5425008348049,['Newtree'],['Fabriqué en Belgique'],"['Belgique', 'France']",[],[],?,556,2326 kj(556 kcal),40,"24,3",35,28,"7,3",0,0,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,40 g,en quantité élevée,24.3 g,en quantité élevée,28 g,en quantité élevée,0 g,en faible quantité,,0%,+0%,+2%,+5%,-9%,-12%,-5%,-100%,-100%,22,+4%,E,+4%,E,,['Delhaize'],,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
367,Seasoning - Maggi,8850124065025,['Maggi'],,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
