,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
82,Rillettes saveur moutarde - Auchan,3596710482191,['France'],[],[],?,336,1406 kj(336 kcal),30,"9,8","0,5","0,5",16,"1,2","0,48",,,"['Produits à tartiner', 'Produits à tartiner salés', 'Rillettes']",,+15%,+20%,-66%,+9%,,,,,,,,['Auchan'],30 g,en quantité élevée,9.8 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,+15%,+11%,-25%,+1%,+1%,18,+27%,D,+27%,,,,,,"['Nutriscore', 'Nutriscore D']",,['Auchan'],,,,
83,Sutlu kremali,8690526083360,['France'],[],[],?,372,1556 kj(372 kcal),23,13,63,21,"0,7",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,D'où τυρί,5467486876782,['France'],[],[],?,6,25 kj(6 kcal),5,4,3,3,35,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,huile d'olive - Latzimas - 250ml,5200103676019,['France'],"[""huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,D,250 ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'Bocal acier']",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Latzimas'],,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
86,Figatellu sec Île de Beauté,2658942047164,['France'],[],[],?,510,2134 kj(510 kcal),42,17,"4,8","3,6",28,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Cheesecake - 80g,5412949096849,['France'],[],[],?,331,1385 kj(331 kcal),20,"12,7","32,6","19,2","4,8","0,78","0,312",,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,alpro vanille - 500g,11490113,['France'],"['base de soja ', 'eau', 'fèves de soja sans OGM décortiquées ', '9,9%]l', 'sucre', 'stabilisant ', 'pectines', 'phos - m phate tricalcique', ""correcteurs d'acidité "", 'acide citrique', ' citrates de sodium', 'extrait de carotte', 'sel marin de table,']",[],?,66,276 kj(66 kcal),"2,2","0,4","7,5","7,5","3,7","0,2","0,08",,500g,['Produit fermenté au soja'],,,,,,,,,,,,,['Alpro'],2.2 g,en faible quantité,0.4 g,en faible quantité,7.5 g,en quantité modérée,0.2 g,en faible quantité,,,,,,-1,,A,,['plastique et carton'],,,,4,,['Soja'],['Carrefour'],"['E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",,http://www.alpro.com,
89,monte bianco aqua minerale naturale frizzante - 0.5L,8024884124548,['France'],[],[],?,?,,?,,?,,?,,,,0.5L,"['Boissons', 'Eaux']",,,,,,,,,,,,,['monte bianco'],,,,,,,,,,,,,,,,,,['Plastic'],,,,,,,,,,,
90,Turbana Maduritos Sweet,7700591061222,['France'],[],[],?,478,2000 kj(478 kcal),22,"10,1","62,5","12,7","4,2","0,012","0,005",,,"['Snacks', 'Snacks salés']",,+3%,-9%,+31%,-51%,,,,,,,,,22 g,en quantité élevée,10.1 g,en quantité élevée,12.7 g,en quantité élevée,0.012 g,en faible quantité,+4%,+139%,+288%,-99%,-99%,17,+39%,D,+39%,,,,,,,,,,,,
91,Tisane allaitement bio menthe douce saveur citron,3551101425980,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
92,Flower Cookies,2009010051048,['France'],[],[],?,484,2025 kj(484 kcal),23,13,61,30,"6,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Huile arôme truffe - Sur les quais - 20ml,3760069443787,['France'],[],[],?,?,,?,,?,,?,,,,20ml,['Huile truffe'],,,,,,,,,,,,,['Sur les quais'],,,,,,,,,,,,,,,,,,['unité'],,,,,,,,,,,
94,Céréales tranché pain,0201349009185,['France'],[],[],?,267,1117 kj(267 kcal),"6,1","0,9",41,"1,9",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,180G Tartare Minut Restauration Charal,3181232516945,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Filet de dinde,2614143028739,['France'],[],[],?,110,460 kj(110 kcal),"1,1","0,4",0,0,25,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Mimolette Française demi-vieille,2232030001964,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes demi-vieilles']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Pavé au poivre,3517736123714,['France'],[],[],?,358,1498 kj(358 kcal),28,12,"3,8","2,8",22,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,,,,,,
99,Pescanova,3306080031178,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Pescanova'],,,,,,,,,,,,,,,,,,,,,"['FR 56.121.179 CE', 'Lorient (Morbihan, France)']",,,,,,,,
100,Saucisson a l'ail fume - Carrefour,3523680441187,['France'],[],[],?,929,3887 kj(929 kcal),17,"6,3","0,5","0,5",18,"1,9","0,76",E,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,+240%,-24%,-55%,+12%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,['Carrefour'],17 g,en quantité modérée,6.3 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,+238%,-26%,-30%,-10%,-10%,24,+24%,E,+24%,,,,"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,"[""Saucisson à l'ail""]",,['Carrefour'],,,,
101,Huiles de bourrache et onagre,3535400020626,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Aujourd’hui c’est crepes party!,3562562888801,['France'],[],[],?,236,987 kj(236 kcal),"6,8","1,1",38,14,"5,5","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Hibiscus & cherry blossom,8710604792424,['France'],"['Ingredienten: Water', 'suiker', 'voedingszUur troenzuur', 'fruit - en kruidenextract ', 'Hbiscus SabdaNfa-bloemextract ', '0,027%', 'vlierbesextract itroenschilextract', 'sinaasappelschilextract', 'pzenbottel', 'natuurlijk aroma', 'antioxidant ', 'akcorbinezuur', 'zoetstof ', 'steviolglycosiden', ""Boisson rafraichissante aux extraits d'herbes"", ""edulcorde avec du sucre et édulcorant d'origine naturelle Ingrédients: Eau"", 'sucre', 'acidifiant ', 'acide irique', ""extrait de fruits et d'herbes "", ""extrait de fleur d'Hibiscus Sabdariffa "", '0,027%', 'extrait de sureau', ""extrait d'écorces de citron"", ""extrait d'écorces d'orange églantier"", 'arôme naturel', 'antioxygène ', 'acide ascorbique', 'édulcorant ', 'glycosides de stéviol', 'Per po']",[],?,9,38 kj(9 kcal),"0,5","0,1","2,1",2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"['E300 - Acide ascorbique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,,
104,Barres bio,3760269310995,['France'],[],[],?,517,2163 kj(517 kcal),"34,1","2,5","36,1","29,6",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
105,Nestle Milky Bar 25G,7613035738539,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pomme,3020648106787,['France'],[],[],?,38,159 kj(38 kcal),0,0,"9,3","9,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Vin rouge ventoux,3254569907967,['France'],[],[],?,?,,?,0,?,,?,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,
108,Maingourd,15370969,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Maingourd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Pomme poire catamel,3441260004846,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Grantortelli aux cepes - Palais Des Mets,3760089334591,['France'],[],[],?,231,967 kj(231 kcal),"5,9","2,7",33,"1,4",11,"1,5","0,6",,,,,,,,,,,,,,,,['Palais Des Mets'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Picanha Pac ‘Samuel FD’,9000000030792,['France'],[],[],?,114,477 kj(114 kcal),"2,5","0,78","0,4",0,"22,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Domaći Ajvar blagi,3800018509123,['France'],[],[],?,78,326 kj(78 kcal),"4,6","0,5","7,2","7,1",1,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Têtes brûlées bonbon en or,3501275111967,['France'],[],[],?,2.7,11 kj(2 kcal),"1,6","1,6",79,55,"2,8","0,6","0,24",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,-99%,-14%,-5%,+32%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,1.6 g,en faible quantité,1.6 g,en quantité modérée,55 g,en quantité élevée,0.6 g,en quantité modérée,-99%,+51%,-5%,+396%,+396%,13,-10%,D,-10%,,,,,,,,,,,,
114,06853826,06853826,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Arôme Fleur D'Oranger,3760105892241,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Muesli pepites croustillantes,9050482209980,['France'],[],[],?,434,1816 kj(434 kcal),"14,3","7,3","67,1",25,"6,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Sour bites cherrie,8719979201449,['France'],[],[],?,1478.5999755859,6186 kj(1478 kcal),"2,2","1,4","81,3","41,56","2,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Takenoko no sato,4902777008615,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Chausson à la compote de pommes,2644784011159,['France'],[],[],?,357,1494 kj(357 kcal),"21,6",15,"35,8","8,6","3,8","0,55","0,22",B,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,+13%,+20%,+8%,-3%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,21.6 g,en quantité élevée,15 g,en quantité élevée,8.6 g,en quantité modérée,0.55 g,en quantité modérée,+13%,+30%,-19%,-8%,-8%,17,0%,D,0%,,,,,,,,,,,,
120,Maître coq,3230890139536,['France'],[],[],?,199,833 kj(199 kcal),14,"4,6","1,9","0,6",16,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Fiambre da Pá - Amanhecer - 200g,5601227019674,['France'],[],[],?,98,410 kj(98 kcal),4,"1,4","1,4","1,4",14,"2,5",1,,200 g,,,,,,,,,,,,,,['Amanhecer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ail Poudre,3760022906014,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Croute bouchée x4,0206249016400,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Quinoa granola berry good,8719326128375,['France'],[],[],?,430,1799 kj(430 kcal),"17,5","17,5","54,9","10,3","12,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Pain aux céréale - Auchan,2030506572747,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,-100%,,,,,,,,,,,['Auchan'],,,,,,,,,-100%,,,,,,,,,,,,,,,,['Auchan'],,,,
126,Barre bio amandes noix pecan bananes,3760269311008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
127,Vin duc de pirey,3760280007157,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,emmental rape - 1kg,3253130000052,['France'],[],[],?,377,1577 kj(377 kcal),29,19,1,"0,5",28,"0,7","0,28",,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,štrudla,3871354002180,['France'],[],[],?,389,1628 kj(389 kcal),"9,81","4,6","68,45","32,4","4,97","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Réa Orange Passion,3297565861031,['France'],[],[],?,55,230 kj(55 kcal),0,0,13,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Boisson repas chocolat - Feed,3665069004085,['France'],[],[],?,434,1816 kj(434 kcal),"18,8","2,9","47,8","4,6",14,"0,3","0,12",,,,,,,,,,,,,,,,['Feed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Mi amore,8719689251871,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Caffé dessert,5400141224740,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Avocats,3192340015091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Trium vanille fruits rouges,3564706628014,['France'],[],[],?,140,586 kj(140 kcal),"3,5","2,3",26,21,"0,8",,,,,,,,,,,,,,,,,,"['Trium', 'Marque Repère']",,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,['Leclerc'],,,,
136,Hydratis,3760304100017,['France'],[],[],?,265,1109 kj(265 kcal),0,0,"49,8","48,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Myrtille,3770013548215,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Peanut butter,52377594,['France'],[],[],?,596,2494 kj(596 kcal),"50,3",9,"12,4","6,5","23,3","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Moutarde à l’ancienne - Le Bio pour Tous,3760295170525,['France'],[],[],?,177,741 kj(177 kcal),"12,7",1,"5,4","1,9","7,5","5,9","2,36",C,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",,+9%,+12%,+17%,+3%,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,['Le Bio pour Tous'],12.7 g,en quantité modérée,1 g,en faible quantité,1.9 g,en faible quantité,5.9 g,en quantité élevée,+10%,+25%,-23%,+19%,+19%,9,-9%,C,-9%,,,,,,['Bio'],,,,,,
140,Onctueux de chocolat noir -,3760074413836,['France'],"['Crème fraîche', 'chocolat noir ', '28%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lécithines de soja', 'poudre de vanille', 'sucre', 'eau', 'beurre', 'sirop de glucose', 'sel de Guérande']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1760,422,1760 kj(422 kcal),26,17,43,40,"2,9","1,48","0,592",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",-19%,-19%,-19%,-15%,-53%,,,,,,,,,26 g,en quantité élevée,17 g,en quantité élevée,40 g,en quantité élevée,1.48 g,en quantité modérée,-19%,+110%,-8%,+713%,+713%,26,+27%,E,+27%,,,,,4,,"['Lait', 'Soja']",,['E322i - Lécithine'],,,
141,3274371303009,3274371303009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Jue d'orange  maison,3168430038523,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Crackers piment d’espelette,3770014105240,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
144,Nestle Chocolate Flavor,0028000537838,['France'],"['sugar', 'cocoa processed with alkali', 'less than 2% of soylecithin', 'carrageenan', 'salt', 'natural flavor', 'spice', ' contains: soy', ' may contain milkand wheat']",[],?,60,251 kj(60 kcal),0,0,14,12,1,7,"2,8",,,,,,,,,,,,,,,,"['Nestlé', 'Nesquik']",,,,,,,,,,,,,,,,,,,,,,4,,['Soja'],,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,
145,Toaster green peas,8850043127552,['France'],[],[],?,446,1866 kj(446 kcal),"10,9","2,7","66,2",15,18,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Glace au chocolat sans gluten,3760299290472,['France'],[],[],?,155,649 kj(155 kcal),"5,5","4,3",22,21,"3,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Pur jus de raisin d'origine naturel,3770007866080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Confetti di Sulmona,8012666504534,['France'],[],[],?,472,1975 kj(472 kcal),17,0,73,67,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Mehari's red orient,8710622526131,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Couscous - Tipiak,3600900021609,['France'],[],[],?,361,1510 kj(361 kcal),"1,8","0,3",72,"3,9",13,0,0,,,,,,,,,,,,,,,,['Tipiak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Muesli à l'épeautre,4033425012262,['France'],[],[],?,376,1573 kj(376 kcal),"8,1","5,6","61,8","20,9","9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Krem santi,8682287360408,['France'],[],[],?,182,761 kj(182 kcal),"9,1","7,9","21,7","16,5","3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Légumade,3412940900208,['France'],[],"['Végétalien', 'Végétarien']",?,211,883 kj(211 kcal),"18,38","2,7","6,68",2,"3,98","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,
154,Croustilles bbq,0020685000485,['France'],"['potatoes', 'vegetable ol ', 'contains one or more of the following: cannb oil', 'safflower oil', 'and/or sunflower oil', 'sugar', 'salt', 'tomato powder', 'paprika', 'spices molasses', 'onion powder', 'maltodextrin', 'torula yeast', 'garlic powder', 'natural flavors ', 'including smoke', 'modified food starch', 'citric acid', 'vinegar']",[],?,500,2092 kj(500 kcal),26,2,60,6,8,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,['E330 - Acide citrique'],,,
155,Crepes dentelle,3431410128003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Renutryl energie +,7613038064437,['France'],[],[],?,425,1778 kj(425 kcal),15,"1,8",46,"9,5",23,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Fortimel creme 2 kcal - Nutricia - 4x 200g,8716900590375,['France'],[],[],?,?,,?,,?,,?,,,,4 x 200 g,,,,,,,,,,,,,,['Nutricia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Drinking vinegar apple,5411788048811,['France'],[],[],?,20,84 kj(20 kcal),0,0,"1,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,POULE VERMICELLE - Royco,3036812060175,['France'],[],[],?,17,71 kj(17 kcal),"0,1",0,"3,6","0,3","0,5","0,82","0,328",,,,,,,,,,,,,,,,['Royco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Créma Cheesecake - Arla - 1,5kg",5760466743525,['France'],[],[],?,1039,4347 kj(1039 kcal),25,16,3,3,"4,5","0,8","0,32",D,"1,5 kg","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']",,+537%,+136%,-43%,-48%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Arla'],25 g,en quantité élevée,16 g,en quantité élevée,3 g,en faible quantité,0.8 g,en quantité modérée,+546%,+123%,-34%,+32%,+32%,21,+274%,E,+274%,,,,,,,,,,,,
161,Emmental râpé PLEIN SOLEIL,5285000835264,"['France', 'Liban']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Diary'],,,,,,,,,,,
162,Tapenade préparation à base d'artichauts,3585510029859,['France'],[],[],?,245,1025 kj(245 kcal),25,"1,8","2,2","1,1","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Fleur de sel (algues),3760110130789,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Beurre liquide clarifié,3663327012209,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.020.001 CE', 'Beaucouzé (Maine-et-Loire, France)']",,['Triman'],,,,,,
165,Duo thon salsa,2006050010059,['France'],[],[],?,253,1059 kj(253 kcal),21,"3,4","0,5","0,5",16,"0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Grissini kepekli - Ülker,8690504074397,['France'],[],[],?,448,1874 kj(448 kcal),13,"5,9","71,7","2,3","9,2","0,93","0,372",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,+6%,+20%,+7%,-19%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,['Ülker'],13 g,en quantité modérée,5.9 g,en quantité élevée,2.3 g,en faible quantité,0.93 g,en quantité modérée,+6%,+161%,-8%,-51%,-51%,14,+9%,D,+9%,,,,,,,,,,,,
167,Vin de pays Charentais - Abel-Emmanuel R - 1,3458770009940,['France'],[],[],?,?,,?,,?,,?,,,D,1,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Abel-Emmanuel R'],,,,,,,,,,,,,,,,,,['75 cl'],,,,,,,,,,,
168,Huile d'olive terre d'olivier,3760056270563,['France'],[],[],?,823,3443 kj(823 kcal),92,12,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,92 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-14%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,,
169,Glace durian,8936146200832,['France'],[],[],?,150,628 kj(150 kcal),"3,3","2,5",30,23,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Chewing gum,4061458142250,['France'],[],[],?,161,674 kj(161 kcal),0,0,67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Harissa,6194003220290,['France'],[],[],?,43,180 kj(43 kcal),"0,63","0,25","6,93","3,52",2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Call of duty Black Ops 4,5030917239229,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Emmental,2860001021972,['France'],[],[],?,369,1544 kj(369 kcal),29,19,"0,5","0,5",27,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,
