,name,bar_code,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,eco_score,ingredients_origins,link,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,producer_info,origin_detail
30,Le Pavé Epices et Piments - Loste,3466250042950,,,,['Loste'],,,,['France'],"['Viande de porc ', 'origine : UE', 'préparation pour saucisson secs ', 'lactose', 'épices 1% [paprika', 'piment 0,19%', ""piment d'espelette 0,19%"", 'poivres]', 'dextrose', 'sucre', 'ail', 'conservateur : nitrite de sodium', 'ferments', ' Traces éventuelles de gluten', 'œufs', 'soja', 'fruits à coques', 'céleri', 'moutarde', 'graines de sesame', 'sulfites et lait']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,329,,1377 kj(329 kcal),,24,,9,,"2,2",,"0,9",,27,,"4,8",,"1,92",,,,,,,,,,,,,,,,,,,,
31,Tapenade verte - Eugène Brunel - 190g,3466402107582,,190 g,"['Bocal', 'Verre']",['Eugène Brunel'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,,['France'],"['Olives vertes origine France ', '50 %', 'olives vertes origine Maroc ', '40 %', 'sel', ""huile d'olive"", 'câpres', ""pâte d'anchois"", 'ail', 'herbes de Provence', 'acide citrique']",['E330 - Acide citrique'],['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,14.3 g,en quantité modérée,2.6 g,en quantité modérée,0.04 g,en faible quantité,4.1 g,en quantité élevée,569,-30%,?,,569 kj(136 kcal),-38%,"14,3",-34%,"2,6",-20%,"0,4",-82%,"0,04",-90%,"1,3",-20%,"4,1",+43%,"1,64",+43%,13,-4%,D,-4%,['Sud de France'],['Carrefour City'],A,"['France', 'Maroc']",,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,
32,Fouace de clairvaux,3467191803891,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,13,,"6,8",,59,,31,,"6,8",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,
33,Fouace de Clairvaux (aux pépites de chocolat) - Maison Laviale,3467191803938,,,,['Maison Laviale'],,,,['France'],"['INqREDIENTS : Farine de blé type 55 ', 'contient du gluten', 'sucre', 'œufs frais', 'beurre 12%', 'lait UHT stérilisé entier', 'levure chimique ', 'pyrophosphate de sodium', 'bicarbonate sodium', 'acide citrique', ""arôme fleur d'oranger,sel"", 'POIDS NET : 600 g', ' ', ""à l'ensachage"", "" A consommerjusqu'au :""]","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,402,,1682 kj(402 kcal),,15,,"9,3",,59,,35,,"6,8",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,
34,Confiture framboise - Père Louis Bio - 220g,3467660003937,,220 g,,"['Père Louis Bio', 'Père Louis']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,['France'],[],,,[],,0.3 g,en faible quantité,0.06 g,en faible quantité,57 g,en quantité élevée,0.07 g,en faible quantité,?,,240,+7%,1004 kj(240 kcal),+7%,"< 0,3",+11%,"< 0,06",+30%,58,+9%,57,+11%,"< 0,9",+33%,"< 0,07",+229%,"0,028",+229%,11,+24%,D,+24%,['Bio'],,C,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,
35,Pâtes de fruits assorties Mini Cruz'Bio - Père Louis - 280g e,3467661006357,,280 g e,['Carton'],['Père Louis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Pâtes de fruits multifruits']","['Clermont-Ferrand', 'Puy-de-Dôme', 'France']",,['France'],"['Abricot : pulpes de fruits 55 % ', 'abricot 37 %', 'pomme 18 %', ' Fraise : pulpes de fruits 55 % ', 'fraise 32 %', 'pomme 23 %', ' Orange : pulpes de fruits 55 % ', 'orange 55 %', ' Sucre de canne', 'sirop de glucose de riz', 'gélifiant : pectines', 'acidifiant : jus de citron']",['E440 - Pectines'],,[],4,0.2 g,en faible quantité,0.02 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,1389,+8%,?,,1389 kj(332 kcal),-1%,"< 0,2",-51%,"< 0,02",-80%,80,-1%,71,+2%,"< 0,8",+25%,"< 0,15",+6%,"0,06",+6%,13,+48%,D,+48%,"['Bio', 'Bio européen', 'FR-BIO-01']",,B,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,
36,Pâtes de fruit d'Auvergne - Pere Louis Bio,3467661006364,,,,['Pere Louis Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,['France'],"['Fraise : pulpes de fruits* 55 % ', 'fraise* 32%', 'pomme* 23%', ' Abricot : pulpes de fruits* 55 % ', 'abricot* 37%', 'pomme* 18%', 'Oronge : pulpes de fruits* 55 % ', 'orange* 55%', 'sucre de canne*', 'sirop de glucose de riz*', ""gétifiont : pectines acidifiant : de citron* / *INGRÉDIENTS ISSUS DE L'AGRICULTURE BIOLOGIQUE""]",['E440 - Pectines'],,[],4,0.2 g,en faible quantité,0.02 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,?,,327,+4%,1368 kj(327 kcal),+4%,"0,2",-41%,"0,02",-83%,80,+5%,71,+7%,"0,8",+23%,"0,15",+25%,"0,06",+25%,9,+9%,C,+9%,['Bio'],,C,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,
37,Tartine de mémé #ginette - Christine Le Tennier Creativ’ Food,3467740026757,,,,['Christine Le Tennier Creativ’ Food'],,,,['France'],"['Mélange de 3 algues 37,4% ', 'Laitue de mer ', 'Ulva', 'Dulse ', 'Palmaria Palmata', 'Haricots de mer ', 'Himanthalia Elongata', ' variante de légumes composés 20,8% ', 'Légumes ', '63,5 %', ' ', 'Courgette', 'carotte ', '30%', 'chou rouge', 'oignon', ""vinaigre d'alcool"", 'moutarde de Dijon ', '13%', ' ', 'Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel de mer non raffiné', 'sel', ' huile de colza', ' échalotes', ' eau', ' ail', ' concentré de citron', ' curcuma ', '1 ,2%', ' sel', ' poivre', ' Allergènes : Contient moutarde', ' Peut contenir des traces de poissons', 'mollusques etprustacés et céleri']",,['Moutarde'],[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,"19,6",,"1,5",,"12,4",,"2,4",,"3,2",,"2,5",,1,,,,,,,,,,,,,,,,,,,,
38,Tartare d'algues sauvages - Miss Algae,3467740027396,,,,['Miss Algae'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Produits de la mer', 'Aliments à base de plantes en conserve', 'Algues et dérivés', 'Algues en conserve', ""Tartares d'algues""]",,,['France'],"['Mélange de 3 algues•', 'Laitue de mer : Ulva sp', 'Dunse : Palmaria palmata', 'Haricots de mer : Himantha/ia e/ongata', ' 57,1%', ' huile de colza•', ' oignons•', ' eau', ' jus de citron* 3,81%', ' gros sct:']",,,[],1,17.7 g,en quantité modérée,1.3 g,en faible quantité,2 g,en faible quantité,1.4 g,en quantité modérée,?,,218,-8%,912 kj(218 kcal),-8%,"17,7",-21%,"1,3",-56%,"11,7",+90%,2,+12%,"2,3",-1%,"1,4",+10%,"0,56",+10%,8,-17%,C,-17%,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,D,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,
39,Perles De Sirop Framboise,3467740090321,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de framboise']",,,['France'],[],,,[],,,,,,,,,,?,,186,-33%,778 kj(186 kcal),-34%,0,-100%,0,-100%,46,-36%,46,-35%,0,-100%,"0,17",+680%,"0,068",+680%,,,,,,,B,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,
40,Perles de Saveurs Citron & Poivre - Miss Algae - 90g,3467740092080,Préparation à base de vinaigre et de jus de citron,90 g,"['Pot', 'Verre', 'Couvercle', 'Métal', 'Carton']",['Miss Algae'],"['Produits à tartiner', 'Produits à tartiner salés']","['France', 'Bretagne']",,['France'],"['Eau', ""vinaigre d'alcool 7%"", 'jus concentré de citron 4%', 'sel fin', 'épaississant : gomme de cellulose', 'acidifiant : acide citrique', 'gélifiants : chlorure de calcium', 'alginate de sodium', 'arôme citron 0', '4%', 'colorant : lutéine', 'poivre moulu 0', '08%', 'conservateur : sorbate de potassium']","['E466 - Carboxyméthylcellulose', 'E330 - Acide citrique', 'E401 - Alginate de sodium', 'E161b - Lutéine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.3 g,en faible quantité,0 g,en faible quantité,1.42 g,en faible quantité,1.02 g,en quantité modérée,30,-98%,7,-98%,30 kj(7 kcal),-98%,"0,3",-99%,0,-100%,"1,43",-59%,"1,42",+12%,"0,3",-97%,"1,025",-22%,"0,41",-22%,4,-68%,C,-68%,['en:produced-in-bretagne'],['Carrefour'],,,,,,,,,,,,,
41,Pesto d'algues basilic et huile d'olive - Miss Algae - 90g,3467741900087,,90 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Miss Algae'],"['Epicerie', 'Sauces']","['France', 'Bretagne']",,['France'],"['Laitue de mer 29,5%', ""huile d'olive 29,5%"", 'basilic 29,5%', ""poudre d'amandes 7%"", 'tofu 3%', 'ail 1,5%']",,"['Fruits à coque', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,30.1 g,en quantité élevée,4.8 g,en quantité modérée,2 g,en faible quantité,1.02 g,en quantité modérée,1262,+43%,302,+27%,1262 kj(302 kcal),+28%,"30,08",+66%,"4,8",+122%,"2,5",-75%,2,-69%,"3,8",+41%,"1,025",-58%,"0,41",-58%,11,-5%,D,-5%,['en:produced-in-bretagne'],,,,,,,,,,,,,,
42,Cidre Fruité - Kerné,3467870010312,,,,['Kerné'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux']",,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,"0,1",,"0,1",,"11,6",,"10,2",,"0,11",,0,,0,,,,,,,,D,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,
43,La rillette,3467980030002,,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes']",,,['France'],[],,,[],,38 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,402,+37%,1682 kj(402 kcal),+38%,38,+53%,15,+70%,0,-100%,0,-100%,16,+9%,"1,2",+1%,"0,48",+1%,20,+41%,E,+41%,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
44,Confit de foie a l'ancienne - Vallégrain,3467980130009,,,,['Vallégrain'],,,,['France'],"['Viande de pore', 'foie de porc 40%', 'coeur de porc', 'sel', 'sucre et épices']",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,283,,1184 kj(283 kcal),,24,,5,,"0,8",,"0,8",,16,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,
45,Raviolis au jambon - Vallégrain - 750g,3467980210008,Raviolis au jambon,750 g,"['Conserve', 'Verre', 'Couvercle Alu']",['Vallégrain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pates farcies à la viande', 'Ravioli', 'Plats préparés en conserve', 'Ravioli à la viande', 'Ravioli en conserve', 'Ravioli au jambon']",,"['FR 72.267.001 CE', 'Saint-Aubin-des-Coudrais (Sarthe, France)']",['France'],"['Eau', 'Ravioli au jambon cuit 20% ', 'Pâte : semoule de BLÉ dur de qualité supérieure', 'eau', 'ŒUF - Farce : jambon cuit 4% ', 'jambon de porc', 'conservateur : E250', 'arômes naturels', 'dextrose', 'antioxydants : E300', 'E301', 'CHAPELURE ', 'BLÉ', 'sel', 'épices', 'tomate', 'carotte', 'oignon', 'huile d’olive', 'sucre', 'sel', 'ail', 'persil', 'épices']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']","['Œufs', 'Gluten', 'CHAPELURE']","['Non végétalien', 'Non végétarien']",4,3.9 g,en quantité modérée,0.6 g,en faible quantité,3.6 g,en faible quantité,0.925 g,en quantité modérée,431,-57%,103,-58%,431 kj(103 kcal),-58%,"3,9",-30%,"0,6",-73%,14,-62%,"3,6",+45%,"3,4",-69%,"0,925",-2%,"0,37",-2%,3,-18%,C,-18%,"['Viande Française', 'Viande Porcine Française']",['Carrefour Market'],E,,http://www.vallegrain.com,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,
46,Rillettes - Vallégrain,3467981600068,,,,['Vallégrain'],,,"['FR 72.267.001 CE', 'Saint-Aubin-des-Coudrais (Sarthe, France)']",['France'],"['Viande de porc', 'gras de porc', ' sel', 'poivre', ' ', 'Porc 102g pour 1009 de porc', ' Porc Origine France À déguster rapidement aptes ouverture', ' À conserver entre OOC et +40C A unsomrnerjusqtjà la date figurant sur le pot']",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,357,,1494 kj(357 kcal),,"31,9",,"12,9",,0,,0,,"18,5",,"1,25",,"0,5",,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,
47,Chateldon - 75cl,3468571045085,Eau minérale naturelle naturellement gazeuse,75 cl,['Verre'],['Chateldon'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales gazeuses', 'Boissons sans sucre ajouté']",['Chateldon'],,['France'],['eau'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,0.061 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,"0,061",-39%,"0,024",-39%,0,-100%,A,-100%,,,,"['France', 'Chateldon']",,,,,,,,,,,
48,Acras de Morue - Saveurs Créoles - 200g,3469164005257,,200 g,"['Barquette', 'Plastique']",['Saveurs Créoles'],"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",['France'],"['FR 80.561.009 CE', 'Montdidier (Somme, France)']",['France'],"['Farine de blé ', 'gluten', 'oignons', 'eau', 'poisson 20 % morue ', 'Gadus morhua', 'sel', 'pulpe de cabillaud', 'oeufs', 'cives', 'levure ', 'E450i', 'E500ii', 'ail', 'persil', 'oléorésine de piment fort de Cayenne', ' Friture : huile de tournesol']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,6.1 g,en quantité modérée,2.9 g,en quantité modérée,2.5 g,en faible quantité,2.29 g,en quantité élevée,?,,192,-12%,803 kj(192 kcal),-12%,"6,1",-34%,"2,9",+121%,"25,6",+24%,"2,5",+1%,"8,3",-21%,"2,29",+27%,"0,916",+27%,14,+102%,D,+102%,"['Fabriqué en France', 'Sans additifs', 'Sans conservateurs']",,E,,,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,,,
49,Confiture myrtilles - Favols - 250g,3469676165074,,250 g,,['Favols'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,['France'],[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,43.9 g,en quantité élevée,0 g,en faible quantité,?,,193,-12%,808 kj(193 kcal),-12%,"0,2",-23%,"0,1",+126%,"46,3",-13%,"43,9",-14%,"0,7",+79%,0,-100%,0,-100%,9,-2%,C,-2%,,,D,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
50,Le Voyageur 2010 - Benoit Valérie Calvet - 750ml,3469891130765,,750 ml,"['Bouteille', 'Verre']",['Benoit Valérie Calvet'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins rosés', 'Grand vin de Bordeaux']",['France'],,['France'],"['Vin ', 'sulfites']",,['Anhydride sulfureux et sulfites'],['Sans huile de palme'],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Déconseillé aux femmes enceintes'],,B,['France'],,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,
51,Terrine de campagne au magret d'oie fumé,3470120005112,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,['France'],[],,,[],,40 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,?,,423,+31%,1770 kj(423 kcal),+31%,40,+41%,14,+30%,1,-56%,1,+15%,13,-7%,2,+25%,"0,8",+25%,23,+19%,E,+19%,,,,,,,,,,,,,,,
52,Paté pur porc,3470120006003,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,458,,1916 kj(458 kcal),,"45,2",,"16,3",,"0,7",,"0,1",,"11,1",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,
53,Caramel au sel de noirmoutier - Pur Bonheur,3470201012954,,,,['Pur Bonheur'],,,,['France'],"['Crème fraîche ', 'LAIT', ' sucre sirop de glucose protéines de LAIT sel de noirmoutier arôme naturel de vanille traces éventuelles de fruits à coque']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,386,,1615 kj(386 kcal),,14,,"8,5",,62,,43,,"2,1",,"0,59",,"0,236",,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,
54,Berligots Caramel - Pinson,3470201016105,,,,['Pinson'],,,,['France'],[],,,[],,,,,,,,,,?,,391,,1636 kj(391 kcal),,"1,6",,"1,1",,93,,63,,"0,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
55,Citron vert,3470570018601,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Citrons verts']",,,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,54,+54%,226 kj(54 kcal),+54%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,
56,Tomates cerise grappes - Sweetbaby - 350g,3471780019341,,350 g,['Plastique'],['Sweetbaby'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,['France'],['TOMATES Tomates cerise grappes de Haute Bretagne LES GUSTATIVES Origine : France - Cata Extra Poids net 350 gr Tomwest Les 4 Vents F 35520 - La Chapelle-des-Fougeretz Soyez fak !'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Tomates de France'],,B,['France'],,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,
57,Vanilla - Réauté,3472100000001,,,,['Réauté'],,,,['France'],[],,,[],,,,,,,,,,?,,582,,2435 kj(582 kcal),,"41,7",,"20,6",,"41,7",,"38,6",,"7,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
58,Ours lait - Chocmod - 1kg,3472710005793,Guimauves fantaisie enrobées de chocolat au lait,1 kg,"['Boîte', 'Plastique']",['Chocmod'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],,['France'],"['Sirop de glucose', 'chocolat au lait 25 % ', ' sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'lactosérum', 'lécithine de soja', 'arôme naturel de vanille', 'sucre', 'eau', 'dextrose', 'sucre glace', 'gélatine', 'arôme vanille', 'protéines de lait,']","['E322i - Lécithine', 'E428 - Gélatine']","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,7.7 g,en quantité modérée,4.9 g,en quantité modérée,62.7 g,en quantité élevée,0.1 g,en faible quantité,?,,356,-33%,1490 kj(356 kcal),-33%,"7,7",-76%,"4,9",-72%,"68,1",+30%,"62,7",+32%,"3,2",-46%,"0,1",-35%,"0,04",-35%,18,-26%,D,-26%,['Fabriqué en France'],['Géant Casino'],,,http://chocmod.com/index.php,,,,,,,,,,
59,Truffes Nature Fantaisie En Boite Fer 250g - Truffettes De France - 250g,3472710013378,,250 g,,['Truffettes De France'],,,,['France'],"['Graisses végétales non h g', 're', 'cacao maigre', 'lactosérum', 'poudre de cacao ', '1 1%1', 'Ide ', 'nille', "" Peut cqnteoir des traces éventuelles d'arac ides de gluten et de "", 'Éour une dégustation parfaite de nos truffes']",,['Lait'],['Non végétalien'],4,,,,,,,,,?,,614,,2569 kj(614 kcal),,47,,35,,40,,34,,"4,9",,"0,27",,"0,108",,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,
60,Truffes fantaisie nature - Chocmod - 250g,3472710014481,Truffes au chocolat,250 g,"['Carton', 'sachet plastique']",['Chocmod'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,,['France'],"['Graisses végétales non hydrogénées ', 'palme/palmiste', 'sucre', 'cacao maigre', 'lactosérum', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,47.2 g,en quantité élevée,35.4 g,en quantité élevée,35.5 g,en quantité élevée,0.25 g,en faible quantité,2549,+8%,?,,2549 kj(609 kcal),+4%,"47,2",+9%,"35,4",+8%,40,-1%,"35,5",-4%,"4,9",+4%,"0,25",+91%,"0,1",+91%,25,+5%,E,+5%,,['Intermarché'],,,,,,,,,,,['Huile de palme'],,
61,Truffes Fantaisie Nature - Truffettes De France,3472710023674,,,,['Truffettes De France'],,,,['France'],"['graisses végétales non hydrogénées ', 'palme/palmiste', 'sucre', 'cacao maigre', 'lactosérum', 'poudre de cacao ', '1%', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', "" Peut contenir des traces éventuelles d'arachides"", 'de blé et de fruits à coque', ' A conserver dans un endroit frais et sec']",['E322i - Lécithine'],['Lait'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,614,,2569 kj(614 kcal),,"47,2",,"35,4",,40,,"33,5",,"4,9",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,['Huile de palme'],,
62,L'ourson Bear mallow - Truffettes De France,3472710042866,,,,['Truffettes De France'],,,,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,"7,7",,"4,9",,68,,63,,"3,2",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,
63,Guimauves enrobées de chocolat au lait - Chocmod - 2kg,3472710044396,,2 kg,,['Chocmod'],,,,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,"7,7",,"4,9",,68,,63,,"3,2",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,
64,Les Cookies de la Mère Poulard -  200g,3472860002437,Cookies,200 g,"['Boîte métal', 'Sachet', 'Plastique']",['La Mère Poulard'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],,['France'],"['Farine de froment', 'pépites de chocolat ', '26%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécthine', 'beurre', 'cassonade', 'œufs entiers en poudre', 'sel', 'poudre à lever ', 'pyrophosphate de soude', 'bicarbonate de soude', 'amidon de blé', 'arôme naturel de vanille ', '0,06%']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,26.1 g,en quantité élevée,17.5 g,en quantité élevée,37.7 g,en quantité élevée,1.5 g,en quantité modérée,?,,500,+5%,2092 kj(500 kcal),+5%,"26,1",+25%,"17,5",+73%,"63,6",-1%,"37,7",+28%,"5,6",-14%,"1,5",+155%,"0,6",+155%,30,+52%,E,+52%,"['Point Vert', 'Fabriqué en France']",,C,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,
65,Cookies pomme-caramel - La Mère Poulard - 100g,3472860003052,,100 g,,['La Mère Poulard'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['France', 'Suisse']",[],,,[],,20 g,en quantité modérée,14 g,en quantité élevée,32 g,en quantité élevée,0.74 g,en quantité modérée,2028,+1%,?,,2028 kj(485 kcal),+2%,20,-4%,14,+39%,69,+8%,32,+8%,5,-23%,"0,74",+26%,"0,296",+26%,26,+31%,E,+31%,,,C,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,
