,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
43,Moelleux fourré Fraise - C'Tro Bon - 30g,3760093907972,,30 g,['Plastique'],"[""C'Tro Bon""]","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux à la fraise']",,['France'],"['Gâteau ', '70%', ' : farine de blé', 'sucre', 'huile de colza', 'oeufs entiers pasteurisés', 'sirop de glucose', 'amidon de blé', 'eau', 'stabilisant : glycérine', 'dextrose', 'poudres à lever : diphosphate disodique', 'carbonate de sodium', 'sel', 'arôme', '\rFourrage fraise ', '30%', ' : sirop de glucose-fructose de blé', 'purée de fraise 20%', 'sucre', 'gélifiant : pectine de fruits', ""correcteurs d'acidité : acide citrique"", 'citrate trisodique', 'citrate tricalcique', 'jus concentré de carotte pourpre', 'arôme', 'conservateur : sorbate de potassium']","['E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E440 - Pectines', 'E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E333iii - Citrate tricalcique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten']",['Non végétalien'],4,16 g,en quantité modérée,1.4 g,en faible quantité,38.9 g,en quantité élevée,0.76 g,en quantité modérée,1673,,?,,1673 kj(400 kcal),+6%,16,+26%,"1,4",-34%,59,-0%,"38,9",+9%,"3,8",-14%,"0,76",+10%,"0,304",+10%,15,-1%,D,-1%,,,,,,,,['France'],,,,1 moelleux fourré fraise,,
44,"Galette des Rois, fourrée à la frangipane - AB Foods - 400g",3760093910736,D,400 g,"['Boite Carton', 'Sachet film plastique', 'Couronne papier cartonné aluminé']",['AB Foods'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Galettes des rois', 'Frangipane']",['Point Vert'],['France'],"['Feuilletage 67% : farine de blé - margarine ', ""huiles végétales non hydrogénées - eau - sel - émulsifiant : E471 - correcteur d'acidité : acide citrique - colorant : bétacarotène"", ' - eau - sel', '\rFourrage frangipane 33% : préparation pour frangipane 36% ', ""sucre - farine de froment - amidon de froment - poudre d'amandes 3% - poudres à lever : disphosphate disodique"", 'carbonate acide de sodium - arôme - émulsifiant : E472e', ' - beurre concentré 19% - crème pâtissière ', 'eau - lactose et protéines laitières - sucre - amidon modifié - épaississant : alginate de sodium - arôme - colorants : bétacarotène', 'riboflavine', ' - sucre - œufs']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E500ii - Carbonate acide de sodium', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E101i - Riboflavine']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,28 g,en quantité élevée,16 g,en quantité élevée,14 g,en quantité élevée,0.8 g,en quantité modérée,?,,485,+15%,2029 kj(485 kcal),+15%,28,+6%,16,+8%,52,+35%,14,+9%,"5,4",-15%,"0,8",+15%,"0,32",+15%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,"['France', 'Rochefort du Gard']",,,['Super U'],"Gateaux, Galette des rois à la frangipane",,
45,Popcorn au micro-ondes - Easypop,3760093911184,,,,['Easypop'],,,['France'],"['maïs sans OGM', 'huile de noix de coco', 'sel', ""peut contenir des traces d'arachides""]",,,[],,,,,,,,,,?,,468,,1958 kj(468 kcal),,26,,10,,49,,"0,8",,"9,7",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,
46,Popcorn micro ondes - Easypop,3760093911191,,,,['Easypop'],,,['France'],"['maïs sans OGM', ' huile de noix de coco', 'sucre,']",,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,22,,18,,54,,18,,"7,8",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,
47,Divineo - Utz,3760093911276,C,,,['Utz'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],[],,,[],,26 g,en quantité élevée,13 g,en quantité élevée,45 g,en quantité élevée,0.48 g,en quantité modérée,?,,523,+6%,2188 kj(523 kcal),+6%,26,+11%,13,+10%,66,+6%,45,+38%,"6,5",-1%,"0,48",-13%,"0,192",-13%,27,+26%,E,+26%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,
48,Croq'n choc,3760093911290,,,,,,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],,,[],,,,,,,,,,?,,505,,2113 kj(505 kcal),,23,,12,,67,,40,,6,,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,
49,Galettes bretonnes pur beurre - C’tro Bon,3760093911436,C,,,['C’tro Bon'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['Fabriqué en France'],['France'],"['Farine de blé', 'sucre', 'beurre concentré ', 'soit 20% en beurre reconstitué', 'œufs', 'poudres à lever ', 'diphosphates', 'carbonates', 'amidon de blé', 'sel']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E502 - Carbonates']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,22 g,en quantité élevée,15 g,en quantité élevée,26 g,en quantité élevée,1.3 g,en quantité modérée,?,,495,+1%,2071 kj(495 kcal),+1%,22,-6%,15,+8%,67,+6%,26,+2%,"6,2",0%,"1,3",+90%,"0,52",+90%,26,+19%,E,+19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,
50,Bloc de foie gras de canard - Sudreau - 130g,3760094100419,B,130 g,,['Sudreau'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['Sans nitrite de sodium'],['France'],"['Foie gras de canard reconstitué', 'eau', 'sel', 'poivre', 'sucre']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,49 g,en quantité élevée,21 g,en quantité élevée,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,479,-2%,2004 kj(479 kcal),-2%,49,-3%,21,-2%,"2,3",+8%,"1,8",+35%,"6,8",+11%,"1,3",+7%,"0,52",+7%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
51,Foie gras de canard entier - SUDREAU - 150g,3760094100617,B,150 g,,['SUDREAU'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,['France'],"['Lobe de foie gras de canard', 'sel', 'poivre']",,,[],3,54 g,en quantité élevée,23 g,en quantité élevée,1.7 g,en faible quantité,1.5 g,en quantité modérée,2168,-1%,?,,2168 kj(518 kcal),-2%,54,-1%,23,-0%,"2,4",-1%,"1,7",+26%,"7,5",-1%,"1,5",+25%,"0,6",+25%,22,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,
52,Marbré de lièvre à la Royale - Sudreau,3760094101164,,,,['Sudreau'],,,['France'],[],,,[],,,,,,,,,,?,,332,,1389 kj(332 kcal),,30,,12,,"1,2",,"0,5",,14,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,
53,Terrine de canard a l’orange et grand marnier - Sudreau,3760094102314,E,,,['Sudreau'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,['France'],"['Maigre et gras de porc', 'viande cie canard 20%', 'foie de porc', 'Grand Marnier 496', ' orange 2%', 'oeufs amidon de mais', 'sel', 'poivre', 'épices']",,,"['Non végétalien', 'Non végétarien']",3,28 g,en quantité élevée,10 g,en quantité élevée,3.3 g,en faible quantité,1.6 g,en quantité élevée,?,,334,+9%,1397 kj(334 kcal),+9%,28,+6%,10,+5%,"4,7",+173%,"3,3",+432%,13,-8%,"1,6",+5%,"0,64",+5%,20,+12%,E,+12%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,
54,Terrine de ramuntcho chorizo - piquillos,3760094102406,,,,,,,['France'],[],,,[],,,,,,,,,,?,,346,,1448 kj(346 kcal),,32,,12,,"1,4",,"0,7",,12,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
55,Terrine de Ramuntcho - Sudreau,3760094102413,,,,['Sudreau'],,,['France'],"['Maigre et gras de porc', 'foie de volaille', 'chorizo piquillos 4%', 'oignon', 'oeufs', 'sel', 'ail', 'poivre', 'épices']",,['Œufs'],"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,346,,1448 kj(346 kcal),,32,,12,,"1,4",,"0,7",,12,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
56,Terrine de lièvre à la fleur de thym - Sudreau,3760094102666,,,,['Sudreau'],"['Terrines', 'Terrines de lièvre']",,['France'],[],,,[],,27 g,en quantité élevée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,305,-1%,1276 kj(305 kcal),-0%,27,+2%,"9,5",-5%,"1,5",+71%,"0,5",+8%,16,+10%,"1,6",+7%,"0,64",+7%,19,+4%,E,+4%,,,,,,,,,,,,,,
57,Rillettes de canard - Sudreau - 180g,3760094103045,C,180 g,['pot verre'],['Sudreau'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']","['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2017""]",['France'],"['Viande de canard confite ', 'origine : France', 'graisse de canard', 'sel', 'poivre']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,27 g,en quantité élevée,8.7 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,352,-12%,1473 kj(352 kcal),-12%,27,-26%,"8,7",-30%,0,-100%,0,-100%,20,+23%,"1,1",-20%,"0,44",-20%,16,-17%,D,-17%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
58,Rillette de canard au piment d'espelette,3760094103069,D,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],,,[],,27 g,en quantité élevée,8.7 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,325,-19%,1360 kj(325 kcal),-19%,27,-26%,"8,7",-30%,0,-100%,0,-100%,20,+23%,"1,1",-20%,"0,44",-20%,16,-17%,D,-17%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
59,Confit de canard,3760094104028,,,,,,,['France'],[],,,[],,,,,,,,,,?,,303,,1268 kj(303 kcal),,25,,"7,8",,"0,5",,"0,5",,24,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,
60,Cassoulet aux manchons de canard - Sudreau,3760094104219,,,,['Sudreau'],,,['France'],"['haricots lingots 40%', 'manchons canard confits 20%', 'saucisse de Toulouse ', 'viande et gras de porc', 'boyau naturel', 'sel', 'poivre', ' 13%', 'lardons fumés', 'sauce à base de bouillon ', ""eau,jus de viande et d'os"", 'carotte', 'beurre', 'poireau', ' tomates', 'graisse de canard', 'amidon de maïs modifié', 'oignons', 'sucre', 'sel', 'poivre', 'ail', 'thym', 'laurier']",,['Lait'],"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,127,,531 kj(127 kcal),,"6,3",,"2,2",,"5,6",,"0,5",,10,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
61,Canette aux truffes de la St Jean - Sudreau,3760094104356,,,,['Sudreau'],,,['France'],[],,,[],,,,,,,,,,?,,118,,494 kj(118 kcal),,"6,2",,"2,3",,"2,4",,"0,4",,13,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,
62,Confit d endives - Jeanne Fabrication Artisanale,3760094107098,,,,['Jeanne Fabrication Artisanale'],,,['France'],[],,,[],,,,,,,,,,?,,149,,623 kj(149 kcal),,0,,0,,36,,35,,"0,7",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,
63,Truffes praliné noisette,3760094200164,,,,,,"['Commerce équitable', 'en:gluten-free', 'Max Havelaar', 'Sans sucre ajouté']",['France'],[],,,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,"36,4",,"13,7",,"41,1",,"1,4",,"6,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
64,Sablés apéritif - Aline & Olivier,3760094310047,,,,['Aline & Olivier'],,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,455,,1904 kj(455 kcal),,28,,16,,37,,"0,8",,12,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
65,Sablés apéritif - Nooglo,3760094310054,,,,['Nooglo'],,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,535,,2238 kj(535 kcal),,33,,20,,44,,"0,6",,15,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
66,10 biscuits bio chocolat - Aline & Olivier,3760094310399,,,,['Aline & Olivier'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,497,,2079 kj(497 kcal),,"19,2",,"10,6",,72,,"24,5",,"6,1",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,
67,3760094311037,3760094311037,,,,,,"['Bio', 'en:gluten-free', 'Sans colorants']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
68,Sablés apéritif tomate basilic - Aline & Olivier,3760094311075,,,,['Aline & Olivier'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,491,,2054 kj(491 kcal),,26,,16,,52,,"0,4",,12,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
69,Sables aperitif - Aline & Olivier,3760094312034,,,,['Aline & Olivier'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,521,,2180 kj(521 kcal),,32,,20,,44,,"0,7",,"1,14",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
70,Biscuits à croquer - Aline & Olivier,3760094312102,,,,['Aline & Olivier'],,,['France'],[],,,[],,,,,,,,,,?,,467,,1954 kj(467 kcal),,15,,8,,77,,22,,5,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,
71,Biscuits a croquer citron - Aline & Olivier,3760094312119,,,,['Aline & Olivier'],,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,468,,1958 kj(468 kcal),,15,,8,,78,,22,,5,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,
72,Biscuits a croquer - Aline & Olivier,3760094312126,,,,['Aline & Olivier'],,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,498,,2084 kj(498 kcal),,19,,10,,72,,24,,6,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,
73,"Epicerie / Epicerie Sucrée / Gâteaux, Biscuits, Encas - Noglo",3760094313109,,,,['Noglo'],,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",['France'],"['Ingrédienis Farine de Riz* ', 'Sucre de Canne*', 'Fécule de mdfs*', 'Beurre frais*t Oeufs entiers*', 'faine de Mais*', ""Poudre d'Amandes*"", 'arôme naturel de Vanlle ', '470', 'gouses Epaississant : gomme de xanthane', 'Sel de Camargue']",['E415 - Gomme xanthane'],,[],4,,,,,,,,,?,,496,,2075 kj(496 kcal),,15,,8,,75,,22,,4,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,
74,"Epicerie / Epicerie Sucrée / Gâteaux, Biscuits, Encas - Noglo",3760094313116,,,,['Noglo'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['Faine de RIr', ""S?re de Maïs'"", ""Beurre Farinede Maïs'"", ""Poute d'AmandeS jus de Citm? "", '3%', 'zeste de atoni ', '1%', "" : gotm'e & wftane"", 'de tanwgue', 'Huile de Citon? ', '0,05%', "" *Ingredlent Issu de l'Agnlt?e l'Agriculture Biologiâue""]",,,[],,,,,,,,,,?,,468,,1958 kj(468 kcal),,15,,8,,78,,22,,5,,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,
75,Biscuits choco noisettes - Noglo,3760094313123,C,,,['Noglo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",['France'],"['Farine de Riz* ', 'Sucre de canne', 'Fécule de maïs', 'Beurre frais', ""Oeufs entiers'"", ""Farine de maïs Poudre d'amandes"", 'Pépites de Chocolat noir : ', 'rnasse de cacao?', 'sucre de beurre de cacao', 'extrait de Noisettes* ', '3%', 'Epaississant de xanthane', 'Sel de Carnargue', 'Cacao minimum', "" Ingrédient issu de I'agriculture Biologique""]",['E415 - Gomme xanthane'],['Fruits à coque'],['Non végétalien'],4,16 g,en quantité modérée,8 g,en quantité élevée,21 g,en quantité élevée,0.3 g,en quantité modérée,?,,516,+5%,2159 kj(516 kcal),+5%,16,-32%,8,-32%,76,+22%,21,-35%,4,-39%,"0,3",-46%,"0,12",-46%,18,-16%,D,-16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,
76,Sables aperitif - Noglo,3760094313130,,,,['Noglo'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['farine de mdlS*', 'œuf entier*', 'farine de riz*', 'fécule de mdlS*', 'beurre frais*', 'Tomme de Brebis* ', '1070', 'Sel de Camargue', 'Herbes de Provence* ', '1%', 'poivre noir*', 'Epaissis - sant : gomme de xanthane', 'conser - vateur : extrait de romarin*', "" *Ingrédient issu de l'agriculture biologique"", "" CERTIFIÉ POIDS NET FR-BIO-OI AGRICULTURE /'"", 'grjcufttue UE / non UE SABLÉS SALÉS DE ET HERBES DE PROVENCE']","['E415 - Gomme xanthane', 'E392 - Extrait de romarin']",,['Non végétalien'],4,,,,,,,,,?,,474,,1983 kj(474 kcal),,22,,14,,55,,"0,4",,"8,9",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
77,Sablés apéritifs parmesan romarin - Nooglo,3760094313147,,,,['Nooglo'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,498,,2084 kj(498 kcal),,24,,15,,58,,"0,8",,11,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
78,ROUSQUILLES - Biscuiterie de l'Ermitage - 200g,3760094363463,,200g,,"[""Biscuiterie de l'Ermitage""]",,['Sans conservateurs'],['France'],[],,,[],,,,,,,,,,?,,414,,1732 kj(414 kcal),,10,,1,,76,,43,,4,,0,,0,,,,,,,,,,,,,,,,,,,
79,Nems porc sésame et wasabi - Asia Traiteur,3760094443172,,,,['Asia Traiteur'],,,['France'],"['8 NEMS PORC SAVEUR SESAME ET WASABI ET SAUCE NUOC MAM ingrédier€ Galete de riz 31 % ', 'riz', 'eau', 'sel', 'viande de porc origine France 25%', 'chou chinois', 'carotte', 'oignon', 'pousses de haricot mungo', 'OEUFS oreille de Judas', 'amidon de pois', 'arôme naturel de wasabi 2,3%', 'farine de BLE', 'oignons frits ', 'oignons déshydratés', 'huile de trournesol', 'huile de graine de SESAME', 'chapelure ', 'farine de BLE', 'levure', 'sel', 'graines de SESAME', 'menthe', 'sauce soja ', 'eau', 'graine de SOJA', 'sel', 'farine blé', 'ail en poudre', ' Nuoc Mam - eau', 'sucre', 'nuoc mam ', 'POISSON', 'sel', ""vinaigre d'alcool"", 'sel', 'sauce soja ', 'eau', 'graines de SOJA sel', 'farine de BLE', ',']",,"['Œufs', 'Poisson', 'Gluten', 'Graines de sésame', 'Soja']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,361,,1510 kj(361 kcal),,"23,7",,"2,2",,29,,"1,6",,8,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
80,8 nems poulet au gingembre - Asia Traiteur,3760094443189,C,,,['Asia Traiteur'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,['France'],"[' Nem 92', '3% : Galete de riz réhydratée 28% ', 'riz', 'eau', 'sel', 'viande de poulet origine France 24%', 'choux', 'carotte', 'OEUFS entiers', ' oignon POUSSe de haricot mungo', 'Oignon frit ', 'oignon déhydraté', 'huile de tournesol', 'farine de blé', 'champignon noir', 'coriandre', 'gingembre 1 ,66%', 'sauce nuoc mam', 'contient POISSON', 'chapelure ', 'farine de BLE', 'sel', 'cirandre moulue', 'ail', "" Frit dans l'huile de tournesol - sauce Nuoc Mam 7"", '7%: eau', 'sucre', 'nuoc mam ', 'POISSON', 'sel', ""vinaigre d'alcool"", 'sel', 'sauce soja ', 'eau', 'graines de SOJA', 'sel', 'farine de BCE', 'sorbate de potassium', ' Traces Eventuelles de : Lait', 'moutarde', 'sésame et dérivés', 'crustacés', 'mollusques', 'sulfites']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Poisson', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",3,15.3 g,en quantité modérée,2.87 g,en quantité modérée,1.9 g,en faible quantité,0.7 g,en quantité modérée,?,,283,+42%,1184 kj(283 kcal),+43%,"15,3",+93%,"2,87",+126%,"27,5",+21%,"1,9",-28%,"8,8",+23%,"0,7",-44%,"0,28",-44%,2,-53%,B,-53%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,
81,Samoussas poulet,3760094443219,,,,,,,['France'],[],,,[],,,,,,,,,,?,,252,,1054 kj(252 kcal),,"15,2",,"3,3",,"19,5",,"2,1",,"9,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
82,Langue de boeuf sauce piquante - Le Chef,3760094444063,E,,,['Le Chef'],"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Plats au bœuf', 'Préparations de viande bovine', 'Langues de bœuf', 'Langues de bœuf sauce piquante']",,['France'],"['Purée à base de flocons de pomme de terre ', '53%', ' accompagnée de langue de boeuf tranchée et de sauce aux cornichons ngrédients • Eau', 'crème 25% ', 'crème de LAIT', 'stabilisants carraghénanes', 'langue de boeuf ', 'origine hors UE', 'flocon de pomme de terre {pomme de terre déshydratée', 'émulsifiant nono - et diglycérides acides gras', 'cornichon 3 7 % ', 'cornichon', 'eau', 'vinaigre d’alcool ', 'sel', 'conservateur : METABISULFITE de potassium', 'oignon', 'vin blanc ', 'contient SULFITES', 'BEURRE', 'concentré de tomate', 'huile de tournesol', 'gélatine de boeuf', 'sel', 'amidon modifié', 'vinaigre d’alcool', 'arôme naturel ', 'contient LAIT', 'ail', 'sucre', 'persil', 'poivre', 'olorant : caramel ordinaire', 'muscade', 'épaississants : gomme xanthane et gomme guar', 'curcuma', 'piment', '                                                   Traces éventuelles de crustacés', 'poissons mollusques', 'oeufs', 'soja', 'éleri', 'moutarde', 'graines de sésame']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Lait', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,16 g,en quantité modérée,8.6 g,en quantité élevée,2.2 g,en faible quantité,0.75 g,en quantité modérée,?,,206,+39%,862 kj(206 kcal),+39%,16,+62%,"8,6",+116%,"8,9",+124%,"2,2",+69%,"7,8",-26%,"0,75",-24%,"0,3",-24%,13,+182%,D,+182%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,
83,Moussaka - Lechef,3760094444117,,,,['Lechef'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf']",,['France'],[],,,[],,12 g,en quantité modérée,3.1 g,en quantité modérée,4.3 g,en faible quantité,0.83 g,en quantité modérée,?,,166,+21%,695 kj(166 kcal),+23%,12,+101%,"3,1",+42%,"5,5",-41%,"4,3",+138%,"7,2",-18%,"0,83",-2%,"0,332",-2%,4,+75%,C,+75%,,,,,,,,,,,,,,
84,Hachis parmentier de canard Purée à la crème - Lechef,3760094444148,D,,,['Lechef'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard', 'Parmentiers de canard']",,['France'],[],,,[],,9.9 g,en quantité modérée,4.7 g,en quantité modérée,2.2 g,en faible quantité,1.1 g,en quantité modérée,?,,167,+18%,699 kj(167 kcal),+19%,"9,9",+29%,"4,7",+29%,"7,8",-19%,"2,2",+37%,10,+40%,"1,1",+41%,"0,44",+41%,5,+69%,C,+69%,78.8%,12.8%,2.6%,3.3%,1.4%,1.0%,46,,,,,,,
