,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
65,Crema tartufata - Lenzi,8033219120896,,['France'],"['Champignons de Paris ', 'Agaricus bisporus', "" huile d'olive extra vierge"", 'huile de tournesol', 'olives noires', ""Truffe d'été 2% "", 'Tuber aestivum Vitt', 'sel', 'arôme', ' : LENZ/ TARTUFI', 'lia 31 Bagnoli Irpino ', 'AV', ' - [el', ' e Fax +39 ', '827', '62766 - len:itartllfl', 'co/ll']",[],?,480,2008 kj(480 kcal),"50,4","7,1","3,3","0,3","2,2",['Lenzi'],,4,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Huile d'olive,8033219550006,"['Bio', 'Bio européen', 'IT-BIO-004']",['France'],[],[],?,824,3448 kj(824 kcal),92,"13,5",0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Miele E Mugo -  - 220g,8033224841366,,['France'],[],[],?,?,,?,,?,,?,,,,,,,220 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Olio,8033229590016,,['France'],[],[],?,820,3431 kj(820 kcal),92,13,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,250g,8033247971965,,['France'],[],[],1456,?,1456 kj(348 kcal),"13,77","2,13","51,57","19,09","7,99",,,,"0,27","0,108",C,250g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,13.8 g,en quantité modérée,2.13 g,en quantité modérée,19.1 g,en quantité élevée,0.27 g,en faible quantité,-27%,,-27%,-34%,-79%,-19%,-35%,+23%,-54%,-54%,11,-44%,D,-44%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
70,Tagliolini,8033247971996,,['France'],[],[],?,336,1406 kj(336 kcal),"1,66","0,57","67,3","1,2","11,52",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Salami - La Fattoria di Parma - 0,180kg",8033254290066,,['France'],[],[],?,403,1686 kj(403 kcal),32,12,0,0,29,"['La Fattoria di Parma', 'La Fattoria']",,,4,"1,6",,"0,180 kg","['Viandes', 'Charcuteries', 'Saucissons']",['IT 1985/L CE'],32 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,,+4%,+4%,+4%,+1%,-100%,-100%,+15%,-5%,-5%,25,+7%,E,+7%,,,,,,,,,"['Carton', 'Plastique']",['Italie'],['Noz'],,,,,
72,Scaldatilli tradizionali,8033254398311,,['France'],[],[],?,487,2038 kj(487 kcal),"21,7","2,32","62,2","2,35","9,3",,,,"1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pasta al Baffo al Cacao,8033263596661,,['France'],[],[],?,368,1540 kj(368 kcal),"0,18","0,07","77,55","2,7",12,,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Aceto Balsamico Di Modena Igp, Amerigo",8033267000027,,['France'],[],[],?,198,828 kj(198 kcal),0,0,"44,2","33,5","0,6",,,,,,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,33.5 g,en quantité élevée,,,,+35%,+35%,-100%,-100%,+39%,+15%,-10%,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
75,Ragu' Storico Alla Bolognese,8033267001321,,['France'],[],[],?,226,946 kj(226 kcal),20,"6,9","2,6","2,2","8,9",,,,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Il cacio e pepe,8033267002267,,['France'],[],[],?,189,791 kj(189 kcal),15,"9,1","2,5",0,11,,,,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Linguine al Cacao - Costruttori di Dolcezze,8033267591686,,['France'],"['durum wheat semolina', 'cocoa powder 20K Contains gluten', ' May contains traces of milk', 'egsend mollusc']",[],?,368,1540 kj(368 kcal),"0,18","0,07","77,5","2,7",0,['Costruttori di Dolcezze'],,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pâte italienne,8033275321565,,['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,2",74,"4,1",12,,,,"0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Farfalle paglia e fieno - Lantica Madia,8033275321749,,['France'],"['Ingrédients : semoule de blé dur', 'oeufs', 'épinard déshydraté']",['Non végétalien'],?,380,1590 kj(380 kcal),"6,1","1,7",65,4,15,['Lantica Madia'],['Œufs'],,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Riccioli,8033275321954,,['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,2",74,"4,1",12,,,,"0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Farfalle Aglio e Peperoncino,8033275322272,['Fabriqué en Italie'],['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,2",74,"4,1",12,,,,"0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Gnocchi,8033275322609,,['France'],[],[],?,375,1569 kj(375 kcal),"4,7","1,2",68,4,14,,,,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Focaccia col formaggio,8033286240039,,['France'],[],[],?,334,1397 kj(334 kcal),"20,4","11,3","19,8","0,8","16,7",,,,"1,27","0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Hedonist,8033300480250,,['France'],[],[],?,510,2134 kj(510 kcal),29,12,54,28,"6,6",,,,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Biscoito. recheado. unidade Attimo Nut 150GR,8033300480267,,['France'],[],[],?,544,2276 kj(544 kcal),33,16,58,30,"6,6",,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Pomodirini Tondini,8033315440041,['Fabriqué en Italie'],['France'],[],[],?,24,100 kj(24 kcal),"0,2",0,"3,4","3,4","1,2",,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Tanti Farinata Pronto Subito,8033315450002,,['France'],[],[],?,325,1360 kj(325 kcal),"4,4","0,57","46,1","1,93","19,76",,,,"2,15","0,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pandoro Classico Senza Glutine 150,8033315650624,"['en:gluten-free', 'Fabriqué en Italie']",['France'],[],[],?,394,1648 kj(394 kcal),"20,1","11,3","47,4","18,8","4,3",,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SG Diet Panettone S / Glutine 100G,8033315650662,"['en:gluten-free', 'Fabriqué en Italie']",['France'],[],[],?,393,1644 kj(393 kcal),"17,5","9,9","53,6","22,9","3,8",,,,"0,6","0,24",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,17.5 g,en quantité modérée,9.9 g,en quantité élevée,22.9 g,en quantité élevée,0.6 g,en quantité modérée,,+5%,+5%,+17%,+10%,+4%,-12%,-44%,+36%,+36%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
90,SG Diet Panettone Al Cioccolato Senza Glutine 100,8033315653427,['Sans gluten'],['France'],"['Amidon de maïs', 'eau', 'beurre ', 'contient du lait', 'sucre', 'gouttes de chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'oeufs', ""jaune d'oeuf"", 'lait écrémé en poudre', 'levure', 'sirop de glucose', 'fibres végétales', 'sorbitol', 'stabilisant', ' glycérol', "" émulsifiants: mono et diglycérides d'acides gras"", ' épaississant: gomme de guar', ' dextrose', 'arômes', 'sel', 'conservateur: acide sorbique', ' Peut contenir des traces des noix et sesame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,421,1761 kj(421 kcal),"21,7","12,4","51,1","21,4",4,['Sg Diet'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,"0,6","0,24",C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,21.7 g,en quantité élevée,12.4 g,en quantité élevée,21.4 g,en quantité élevée,0.6 g,en quantité modérée,,+13%,+13%,+45%,+38%,-1%,-17%,-41%,+36%,+36%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,"['E322i - Lécithine', 'E420 - Sorbitol', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,,,
91,Classico Mandorlato - Sal de Riso - 1kg,8033324202371,,['France'],"['Farine de blé tendre type 00', 'beurre frais ', '12,85 %', ""jaunes d'œufs frais de catégorie A "", '9,70 %', 'eau', 'sucre', 'levure naturelle ', 'gluten', ""miel d'acacia italien"", 'sel', 'malt liquide', 'vanille en poudre des îles Bourbon et Tahiti', ""\rGarniture : raisins sultanine d'Australie "", 'raisin', 'huile végétale', ' ', '10,2 %', ""cubes d'oranges confites "", ""cubes d'orange"", 'sucre blanc', 'glucose', 'eau', ' ', '8,5 %', 'cédrats ', 'cédrat', 'sucre blanc', 'glucose', 'eau', ' ', '4,4 %', 'orange et pâte de citron ', '1,9 %', '\rGlaçage : Sucre', 'amandes italiennes ', '1,4 %', ""blanc d'œuf"", '_amandes _amères', 'farine de blé tendre de type 00', 'farine de maïs', 'amidon de maïs', 'sucre granulé et amandes entières']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,377,1577 kj(377 kcal),"15,5","7,4","52,5","27,8","6,6",['Sal de Riso'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,"0,53","0,212",C,1 kg,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,15.5 g,en quantité modérée,7.4 g,en quantité élevée,27.8 g,en quantité élevée,0.53 g,en quantité modérée,,+1%,+1%,+3%,-18%,+2%,+7%,-3%,+20%,+20%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"Panettone artigianale Mandorlato - Farcies de raisins secs australiens, d'écorces d'orange et de citron confit glaçage aux amandes. Produit de boulangerie artisanal au levain naturel.","['Carton', 'boîte', 'Plastique']",['Italie'],,,,,"['Australie', 'Italie']",
92,Guacamole,8033331622391,,['France'],[],[],?,183,766 kj(183 kcal),"16,2","2,9","4,7",2,"2,4",,,,1,"0,4",C,,"['Epicerie', 'Sauces', 'Guacamoles']",,16.2 g,en quantité modérée,2.9 g,en quantité modérée,2 g,en faible quantité,1 g,en quantité modérée,,+13%,+15%,+32%,+12%,-23%,-2%,+38%,-9%,-9%,7,+40%,C,+40%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,,,,,,,
93,Hummus - Florette,8033331622407,,['France'],"['Ceci 46%', 'pure di sesamo 20,6%', 'ricotta %d matenia grassa ', 'latte scremato', 'termenti lattici', 'olio di colza', 'acoua olio extravergine d oliva', 'puro succo di limone', 'aglio', 'sale aciditicante: acido citrico', ' Può contenere tracce di crostace moluschi', 'senape', 'sedano', 'uova', 'soia', 'glutine', 'frutta con guscioe pe ce', ' Serza conservanti', 'nè coloranti', 'nè aromi artificiali', ' Contiene attosio']",['Non végétalien'],?,289,1209 kj(289 kcal),"21,1",2,"12,3","0,7","10,6",['Florette'],"['Céleri', 'Œufs', 'Gluten', 'Moutarde', 'Soja']",4,"0,69","0,276",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,21.1 g,en quantité élevée,2 g,en quantité modérée,0.7 g,en faible quantité,0.69 g,en quantité modérée,,+10%,+10%,+4%,-19%,+16%,-48%,+63%,-34%,-34%,-2,-140%,A,-140%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,['E330 - Acide citrique'],,,,
94,Fili di iceberg,8033331622551,,['France'],[],[],?,15,63 kj(15 kcal),"0,1","0,02",2,2,"0,9",,,,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Cantucci alle mandorole,8033355490150,,['France'],[],[],?,424,1774 kj(424 kcal),10,7,70,36,12,,,,"0,1","0,04",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",,10 g,en quantité modérée,7 g,en quantité élevée,36 g,en quantité élevée,0.1 g,en faible quantité,,-4%,-4%,-30%,+76%,+6%,+12%,+23%,-69%,-69%,18,+16%,D,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
96,Burratine tartufate senza testa,8033373201592,,['France'],[],[],?,251,1050 kj(251 kcal),"20,5","14,2","2,2","1,7","14,4",,,,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Il tajarin all'uovo,8033378090320,,['France'],[],[],?,298,1247 kj(298 kcal),4,1,53,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,La pappardella all'Uovo,8033378090542,,['France'],[],[],?,298,1247 kj(298 kcal),"4,2","1,1","52,8","0,3","12,4",,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Risotto Funghi Porgini - Allemandi - 250g,8033378091457,,['France'],"['riso superfino Carnaroli ', '92%', 'brodo ai funghi porcini senza glutammato ', 'sale', 'fecola di patate', 'estratto di lievito', 'maltodestrine di patate', 'funghi porcini disidratati ', '796', 'verdure disidratate ', 'cipolla', 'carota', 'aglio', 'olio di girasole', 'aromi', 'pepe', 'funghi porcini secchi ', '2%', ' ', 'Boletus Edulis e relativo gruppo di appartenenza', 'cipolla', 'aglio', 'prezzemolo']",[],?,346,1448 kj(346 kcal),1,"0,1","76,8","0,8","7,4",['Allemandi'],,4,"1,4","0,56",B,250 g,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']",,1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,,+40%,+45%,-68%,-92%,+77%,-40%,+27%,+59%,+59%,5,+14%,C,+14%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,,,,
100,Risotto Funghi Porgini - Allemandi - 250g,8033378091457,,['France'],"['riso superfino Carnaroli ', '92%', 'brodo ai funghi porcini senza glutammato ', 'sale', 'fecola di patate', 'estratto di lievito', 'maltodestrine di patate', 'funghi porcini disidratati ', '796', 'verdure disidratate ', 'cipolla', 'carota', 'aglio', 'olio di girasole', 'aromi', 'pepe', 'funghi porcini secchi ', '2%', ' ', 'Boletus Edulis e relativo gruppo di appartenenza', 'cipolla', 'aglio', 'prezzemolo']",[],?,346,1448 kj(346 kcal),1,"0,1","76,8","0,8","7,4",['Allemandi'],,4,"1,4","0,56",B,250 g,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']",,1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,,+40%,+45%,-68%,-92%,+77%,-40%,+27%,+59%,+59%,5,+14%,C,+14%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,,,,
101,Tagliatella tricolore - Filippo Filippi,8033378091730,['Fabriqué en Italie'],['France'],"['PATES AUX ŒUFS JAUNES: semoule de blé dur GLUTENj', '?tifs i5% INGREDIENTS PATES AUX ŒUFS VERTES: semoule de blé dur contient GLUTEN', 'œufs 20%', 'épinards en poudre 2% INGREDIENTS ŒUFS semoule de blé dur ', 'contient GLUTEN', 'œufs 20%', 'betterave en poudre I vin Baroio d', 'o', 'c', 'g', ' 1%']",['Non végétalien'],?,298,1247 kj(298 kcal),"4,2","1,1","52,8","0,3","12,4",['Filippo Filippi'],"['Œufs', 'Gluten']",,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Risotto Funghi Porcini,8033378091921,,['France'],[],[],?,346,1448 kj(346 kcal),1,"0,1","76,8","0,8","7,4",,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Leonardi - Condiment Balsamico, Pregiato, 10 Jahre",8033378340111,,['France'],[],[],?,240,1004 kj(240 kcal),0,0,55,55,"0,74",,,,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Aceto balsamico di Modena,8033378340487,,['France'],[],[],?,160,669 kj(160 kcal),0,0,"35,1","35,1",1,,,,"0,07","0,028",B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,35.1 g,en quantité élevée,0.07 g,en faible quantité,,+9%,+9%,-100%,-100%,+10%,+20%,+50%,-1%,-1%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
105,Balsama bianco,8033378340791,,['France'],[],[],?,199,833 kj(199 kcal),0,0,47,47,"0,31",,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Crema di Balsamico al Tartufo,8033378342504,,['France'],[],[],?,196,820 kj(196 kcal),0,0,"45,13","45,13","1,7",,,,"0,1","0,04",,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,0 g,en faible quantité,0 g,en faible quantité,45.1 g,en quantité élevée,0.1 g,en faible quantité,,-8%,-8%,-100%,-100%,-10%,+7%,+155%,-21%,-21%,12,+10%,D,+10%,,,,,,,,,,,,,,,,
107,Vinaigre Balsamique de Modène -  - 250mL,8033378342979,['IGP'],['France'],"['Vinaigre de vin', 'moût de raisin cuit', ' Contient des sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",749,?,749 kj(179 kcal),0,0,"38,7","38,7","0,88",,['Anhydride sulfureux et sulfites'],2,"0,04","0,016",B,250 mL,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,38.7 g,en quantité élevée,0.04 g,en faible quantité,+38%,,+22%,-100%,-100%,+22%,+33%,+32%,-44%,-44%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
108,Leonardi - Aceto Balsamico Di Modena,8033378343006,,['France'],"['Vinaigre de vin', 'Moût de raisin cuit', ' Contient des sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,176,736 kj(176 kcal),0,0,"38,7","38,7","0,88",['Leonardi'],['Anhydride sulfureux et sulfites'],2,"0,04","0,016",B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,38.7 g,en quantité élevée,0.04 g,en faible quantité,,+20%,+20%,-100%,-100%,+22%,+33%,+32%,-44%,-44%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
109,"Aceto Balsamico 4 Travasi Leonardi 0,25 L.",8033378343020,,['France'],[],[],?,257,1075 kj(257 kcal),"0,8",0,"58,5","58,5",0,,,,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Crema condimento balsamico - Gocce - 250ml,8033378348216,,['France'],"['moût de raisin concentré', 'Vinaigre balsamique de Modène 20% ', 'vinaigre de vin', 'moût de raisin cuit']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,294,1230 kj(294 kcal),0,0,"67,8","67,8","0,05",['Gocce'],,1,"0,34","0,136",,250 ml,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,0 g,en faible quantité,0 g,en faible quantité,67.8 g,en quantité élevée,0.34 g,en quantité modérée,,+39%,+39%,-100%,-100%,+36%,+61%,-92%,+168%,+168%,12,+10%,D,+10%,,,,,,,,,,,,,,,,
111,Casanova Balsamic Vinegar of Modena,8033378349176,,['France'],[],[],?,160,669 kj(160 kcal),0,0,"35,1","35,1",1,['Casanova'],,,"0,07","0,028",B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,35.1 g,en quantité élevée,0.07 g,en faible quantité,,+9%,+9%,-100%,-100%,+10%,+20%,+50%,-1%,-1%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
112,Aceto balsamico dit modena - Casanova,8033378349183,,['France'],"['cooked grape must', 'finaigre Balsamique de moût de raisin cuit', 'vinaigre de yin', ' Contientdessulfites', 'Balsamessig Modena-Zutaten: EingekochterTraubenmost', 'Weinessig', ' Enthalt Sulfite', ' 250"" 8,45 fl,ol Magreta ', 'Modem', ' Ph', '4 554315 Www', 'acetaialeonardi', 'it L ABM160/bl A Je?', ' Mn battbar bis: 28-02-2026 III I III 60105 FEB-2026 8 033378 349183 PRODUCT of ITALY']",[],?,228,954 kj(228 kcal),0,0,52,52,"0,67",['Casanova'],,,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Sauce Sriracha,8033378349343,,['France'],[],[],?,70,293 kj(70 kcal),"0,7","0,2",15,10,"0,5",,,,"3,2","1,28",,,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",,0.7 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité modérée,3.2 g,en quantité élevée,,-41%,-41%,-0%,+17%,-40%,-53%,-58%,-45%,-45%,12,-18%,D,-18%,,,,,,,,,,,,,,,,
114,Extra Vergine Di Oliva,8033378920153,,['France'],[],[],?,822,3439 kj(822 kcal),"91,3","14,4",0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Pates - Vecchio Pastificio Di Gragnano,8033406260213,,['France'],"['Durum WHEAT Ingréd', 'ents: Semouie de BLE Gravanc Ingred:entessêmoia de TRIGO % Ingredentes$émola de GRÀO a', 'a peso nettot']",[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,['Vecchio Pastificio Di Gragnano'],['Gluten'],,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,La Fabbrica Della Pasta - Senza Glutine - Lumaconi - 500G,8033406261531,,['France'],[],[],?,358,1498 kj(358 kcal),1,"0,2",79,"0,7",8,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Macarrão Di Gragnano Tagliatelle N03,8033406265034,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,,,,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,La Fabbrica Della Pasta - Bucatini E Perciatiell,8033406265041,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,,,,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,8033406265089,8033406265089,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,La Fabbrica Della Pasta - Candele Ca Pont - Gragnano,8033406265294,,['France'],"[""Semoule de BLÊ dur d'extractionl eau de Gragnano"", ' - Ingredientes: Sémola de TRIGO duro de extracciòn', 'agua de Gragnano', ' - Ingredientes: Sêmola de GRÀO duro e agua de Gragnano']",[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,['Gragnano'],['Gluten'],,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,La Fabbrica Della Pasta Pasta 'tubettone' (500g Packung),8033406265331,,['France'],[],[],?,350,1464 kj(350 kcal),1,1,73,"2,5",13,,,,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Macarrão Di Gragnano Mafaldine Tricolore N80 - La Fababrica Della Pasta,8033406265805,,['France'],"['setnoule de BLEI Ingredientes:$èmola de TRIGO duro,agua', 'tomete l%espirjeces remolacha colorado scadenza?est Before Mindestens haltbar 09/1012019 A consommer avant / Consumir preferentemente ante de Lotto e Produzione ad000002836PR Lot and Producti Lot et Productir? Anteil und Pruduktion Il Lote y pr04ucciòn conùene atine/contain gluten 8 03540611265805 conden gluten/mlt gluten/gluten']",[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,['La Fababrica Della Pasta'],,4,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,La Fabbrica Della Pasta - Paccheri Rigati Tricolore - 500G - La Fabrica Della Pasta Di Gragnano - 500g,8033406265836,,['France'],"['Semola di Grano duro di estrazione', 'Acqua - Ingtedienb: Durum Wheat semolina by extraction', 'Water', ' Zulaten: Extraktion HattweizengrieB', 'Wasser', "" Ingrédienls:Semoule de blê dur d'exqraction"", 'eau - Ingredienles:sémola de trigo duro de exdracciòn', 'agua']",[],?,195,816 kj(195 kcal),"0,58","0,06",42,"1,65","6,5",['La Fabrica Della Pasta Di Gragnano'],,,"0,04","0,016",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Pates au jus de citron,8033406265928,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,3",73,"2,5",13,,,,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,La Fabbrica Della Pasta - Bio / Organic 'E Fidanzati Capresi - 500G,8033406266321,['Bio'],['France'],"['Semoule de BLE dur*', 'eau de Gragnano', '                           *ingrédient biologique']",[],?,350,1464 kj(350 kcal),1,"0,3",73,0,"11,5",['La Fabbrica Della Pasta'],['Gluten'],,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
